t,L,V,Y,S,f_eff,L_eff,f_int
0.27,1.2542668831e-313,1.8145037659085711e-152,6.197507958756805e+223,1.288111951046412e-153,9.296030627594593e+199,-3.8049737239700653e+198,1.1519963909335492e+151
0.28,3.624819835616809e+228,2.4381298212991525e-152,2.983515940763296e+174,9.083667839631861e+223,4.7921763243778e-309,1.041462908959949e-152,6.22655304768775e+228
0.29,1.4485096033770223e+79,1.9129605649913036e+214,2.7186258112700717e-109,5.171252953100399e+58,3.655882806757633e+233,4.195581671012038e-153,9.296030627594593e+199
0.3,2.8874234723800523e+280,2.4623342074065584e+198,9.091548620666888e+223,1.1442849388767483e+243,4.240488790719763e+175,5.047587090516733e+223,3.813882588295107e+180
0.31,7.489590814323158e+247,4.538015635312767e+279,3.624819835623139e+228,2.4381298212991525e-152,8.91101592334932e+252,8.387524553877533e+242,1.0639992586024845e+248
0.32,9.696415936649142e+29,1.8145037689394077e-152,6.197507958756805e+223,1.3626953583584142e-153,9.296030627594593e+199,2.8874234723800523e+280,3.100553852961856e+169
0.33,6.964114558345015e+252,2.055272270436023e-115,4.823362766135082e+228,4.189454126887547e-256,1.3737175154358607e-153,6.22655304768775e+228,1.4485096033770223e+79
0.34,3.8138825882874196e+180,7.489590814323158e+247,4.538015669123617e+279,7.265845710422499e+223,3.946618425203878e+180,1.5811569680004258e-66,1.0626390044851579e+248
0.35000000000000003,5.176286373668973e-109,7.319320482279462e+29,1.3849676463424269e+219,6.518421611019248e+29,6.196351666538946e+223,1.3561657738919215e+248,1.0414631282695134e-152
0.36,6.22655304768775e+228,4.217532480898757e-153,9.296030627594593e+199,8.485374950536062e+241,1.3743413764607434e+219,3.100553855027516e+169,6.964114558345015e+252
0.37,1.1203938827841972e+219,3.6867651600491827e+180,3.164063095e-313,7.266114703157372e+223,3.946618425203878e+180,2.9835668952473647e+174,9.083667839631861e+223
0.38,2.212667506094147e-308,2.442416205493536e+198,9.091548620666888e+223,2.0731187478452176e-115,4.823362766135082e+228,8.787626155695592e-138,3.100553852877287e+169
0.39,6.964114558345015e+252,1.1203938828869342e+219,3.6867651600491827e+180,3.58846225317e-313,7.265841366970303e+223,3.946618425203878e+180,2.9835857650594888e+174
0.4,9.083667839631861e+223,2.490801738407547e-308,1.376990169726127e-153,6.22655304768775e+228,6.645063186309464e-153,9.296030627594593e+199,-3.8049737239700653e+198
0.41000000000000003,1.8832846205595175e+262,1.3849676463424225e+219,6.518421611019248e+29,6.196351666538956e+223,1.3561657738919215e+248,8.733238941394365e-138,3.100553852921223e+169
0.42,6.964114558345015e+252,1.1203938828869342e+219,3.6867651600491827e+180,4.43726056956e-313,1.8145040111765953e-152,6.197507958756805e+223,5.29996584845111e+199
0.43,2.651412321217839e+180,4.739539327592737e+170,5.437195043165564e-109,1.6032988762423875e+107,1.8145040182789441e-152,6.197507958756805e+223,5.29996584845111e+199
0.44,2.651412321217839e+180,4.739539327592737e+170,5.437195043165564e-109,605440.0000006828,1.384967646342431e+219,539191.1981081795,6.196351666538973e+223
0.45,1.3561657738919215e+248,7.266074864442603e+223,3.946618425203878e+180,2.9836159199037855e+174,9.083667839631861e+223,3.3252044353477477e-308,1.2231766868273593e-153
0.46,6.22655304768775e+228,1.3278472715226428e-152,9.296030627594593e+199,-3.8049737239700653e+198,2.5612392093944197e+185,1.3849676463424227e+219,539191.1981081795
0.47000000000000003,6.196351666538973e+223,1.3561657738919215e+248,1.3325865084630743e-142,3.6248198356259414e+228,2.4381298212991525e-152,3.8138825882935504e+180,7.489590814323158e+247
0.48,4.538015922704992e+279,3.624819835623648e+228,2.4381298212991525e-152,6.196351666538959e+223,1.3561657738919215e+248,1.8145038857893244e-152,6.197507958756805e+223
0.49,1.1203938828546013e+219,3.6867651600491827e+180,2.0358076755942216e+180,3.624819835625936e+228,2.4381298212991525e-152,6.011189680919117e+175,9.74645663567583e+199
0.5,3.8138825882934528e+180,7.489590814323158e+247,1.8162587302128072e+185,1.384967646342431e+219,5.164425667343257e+58,4.821559505063957e+199,2.0491942775735791e+214
0.51,3.8231759507459023e-76,3.655882806757633e+233,3.821811445911408e-76,1.0626390044851579e+248,5.176286373668973e-109,2.43248203281492e+198,9.091548620666888e+223
0.52,4.683901799850243e+25,9.096110996597444e+223,7.206597272607342e+252,3.624819835626967e+228,2.4381298212991525e-152,1.6933824267790406e-152,4.0497683421489793e-109
0.53,7.265960107746656e+223,3.946618425203878e+180,1.9032573948620178e+185,8.887964001170723e+247,3.179159405986926e-174,5.476180138648707e+247,3.655882806757633e+233
0.54,5.706160678792002e-153,5.034350659891691e+180,4.020539891634922e-308,1.30153273366417e-153,6.22655304768775e+228,2.0715587284723365e-115,4.823362766135082e+228
0.55,1.3654510044276666e-164,1.1501169529660927e-65,3.655882806757633e+233,5.706160678792002e-153,9.296030627594593e+199,-3.8049737239700653e+198,5.990213432983427e+247
0.56,1.3849676463424299e+219,2.6815231168683025e+92,1.0626390044851579e+248,5.176286373668973e-109,7.266017471539612e+223,3.946618425203878e+180,4.821559315819513e+199
0.5700000000000001,2.0491942775735791e+214,1.7334927205474e-310,2.444225673942429e+198,9.091548620666888e+223,1.2814426406679319e+184,7.295277417495727e+175,3.5114662576987417e+151
0.58,6.9605557256330044e+252,3.102669745093695e-152,3.100553854674654e+169,6.964114558345015e+252,1.9129605649937442e+214,2.7186258112700717e-109,2.281403659774046e+184
0.59,1.8145040042336702e-152,6.197507958756805e+223,1.1035094727116745e+161,4.652038180569904e+151,4.821559491197075e+199,2.0491942775735791e+214,1.7227053131976915e+185
0.6,2.4334573758844627e-152,6.22655304768775e+228,8.895752471342212e+247,1.5726955729332505e+161,1.2785022262352539e-152,2.980607941103859e+228,3.997250706520857e+252
0.61,2.875214170901796e+161,1.331196673620642e+185,3.655882806757633e+233,8.671969078132922e+199,1.3338918508720638e+185,3.813914673979358e+180,8.887964001170723e+247
0.62,1.552625546888251e-65,1.8145037658422493e-152,6.197507958756805e+223,1.1035094727116745e+161,4.652038180569904e+151,6.97438907107579e+199,9.07682851727674e+223
0.63,4.538016057948377e+279,7.265845503587654e+223,3.946618425203878e+180,3.510846900385903e+151,1.910849540832457e+214,6.653682359852715e+217,3.675914881680178e+228
0.64,7.62025406604e-313,2.4220500128326316e+198,9.091548620666888e+223,5.034373229455335e+180,1.171530268499574e+214,2.080630192009234e-115,6.476369322705028e+170
0.65,2.00510813315956e-310,1.5214934618765028e-153,6.22655304768775e+228,8.895752471342212e+247,1.5726955729332505e+161,1.2785022262352539e-152,5.034350659891691e+180
0.66,6.094140157076043e-308,6.18052321515152e+223,1.3849676463424335e+219,1.544184491630755e+256,5.357211834152722e+199,1.0639992585938695e+248,2.9836408288253087e+174
0.67,9.083667839631861e+223,6.372274638382095e-308,1.355074020061193e+248,3.655882806757633e+233,6.601161566536027e-153,2.587443973296657e+161,4.538016142475511e+279
0.68,3.100553852871761e+169,6.964114558345015e+252,1.3548898435911695e+243,1.141157116135997e+243,3.671432730497181e+228,2.8878579555386315e+280,3.100553852870037e+169
0.6900000000000001,6.964114558345015e+252,1.1203938824967743e+219,3.6867651600491827e+180,3.8820137564833784e+174,1.3365337233292012e-152,6.22655304768775e+228,2.0292019530852397e+180
0.7000000000000001,3.8138825882935675e+180,7.489590814323158e+247,4.624638124873433e+252,3.624819835622614e+228,2.4381298212991525e-152,6.196351666538953e+223,1.3561657738919215e+248
0.71,2.433369957424628e-152,1.384967646342429e+219,2.124521492889985e+121,1.0626390044851579e+248,5.176286373668973e-109,8.739691740657382e+183,1.8145040042336702e-152
0.72,6.197507958756805e+223,1.1035094727116745e+161,4.652038180569904e+151,4.821559491197075e+199,2.0491942775735791e+214,2.1325207669573527e-80,1.903257526560507e+185
0.73,3.655882806757633e+233,8.671969078132922e+199,1.3338918508720638e+185,3.813914673979358e+180,1.0626390044851579e+248,5.176286373668973e-109,7.547745099184636e+106
0.74,3.655882806757633e+233,6.601161566536027e-153,2.980607941103859e+228,3.997250706520857e+252,2.875214170901796e+161,3.8819986606337894e+174,3.1005538540927124e+169
0.75,6.964114558345015e+252,3.813882588290469e+180,7.489590814323158e+247,9.11000411900914e+199,7.500446444212449e+247,2.9282375521037714e+213,-2.628030992753658e+127
0.76,9.040681259261912e+223,8.55773569339777e-284,6.0143054639580845e+175,-5.25190945447752e+127,3.3439706051982597e+151,3.546030839693216e+212,1.1696943977764314e+214
0.77,-2.628030992753658e+127,3.3439706051982585e+151,1.193081126443226e+190,1.0639992585941546e+248,7.580521314888473e-309,-1.364460997602172e+126,4.100253057851295e-80
0.78,2.9033558877320387e+20,5.34910280815047e+39,4.301339159273202e+242,2.9537915241261664e+194,2.596929581341507e+73,4.069001587600078e+233,1.4403396868769137e+214
0.79,1.7101847070005556e+214,3.8088494630820906e+180,4.087911726294139e-80,9.800739357534603e+242,9.87497780843826e+165,7.002188964217647e+194,2.0279760277066417e+267
0.8,4.656442487296709e-66,2.166959291722819e+233,6.203675834194774e-242,9.20554049262619e+179,1.3599135899677697e-307,2.2673355825071387e-152,1.8263760448295818e-197
0.81,-5.863436081370473e-308,1.967671461243393e-103,5.847095679882537e-183,-1.568579816234935e+78,-2.0883292588462006e+117,5.968628563305457e-194,-1.6726827709643595e-307
0.8200000000000001,-3.2236021129422954e-231,-3.729630733196025e+78,-2.2674691170999053e+116,-5.33104934883968e+83,3.091280141935202e-212,3.3375488267105085e+87,8.702911691103317e-198
0.8300000000000001,7.808653993499643e+84,1.709172164139329e-285,2.3221908062886192e-179,1.8197721695889275e-285,-3.223602160895072e-231,-4.424383254816428e+78,-2.2674691170999053e+116
0.84,-5.33104934883968e+83,-3.800390001056643e-230,-9.775103140710351e+78,-2.2674691170999053e+116,1.8000707529555384e-285,-3.223602189689249e-231,-4.193703702038962e+78
0.85,-2.365974138462248e+116,-5.634591363250503e+83,3.091284683343484e-212,1.5625332306426003e-09,8.702911691103317e-198,5.117479480216825e+89,1.7083528601382224e-285
0.86,1.522117742618205e-174,1.820182623269057e-285,-3.2236021321008936e-231,-3.730535345089698e+78,-2.365974138462248e+116,-5.634591363249951e+83,3.0912756182324846e-212
0.87,6.9610291245231934,5.703544386426035e-193,5.117479480142718e+89,1.712046943259391e-285,1.522117742618205e-174,1.8201826232690622e-285,-3.2236021321008936e-231
0.88,-3.6021490111045917e+78,-2.365974138462248e+116,-5.634591363249951e+83,3.0912756182324846e-212,0.00010621687506901845,5.703544386426035e-193,-6.664144484489999e+82
0.89,-3.8003900010562916e-230,-3.3479730503567543e-307,8.2460657156764e-194,3.0917865616933324e-212,7.808653991690392e+84,1.7058901380329784e-285,1.522117742618205e-174
0.9,1.8201826232690578e-285,-3.223602160932565e-231,-3.370564839531706e+78,-2.365974138462248e+116,-5.634591363249675e+83,3.0912733519547347e-212,1.5625332306426003e-09
0.91,8.702911691103317e-198,5.117479480068611e+89,1.712046943259391e-285,1.522117742618205e-174,1.820182623269056e-285,5.099912221339377e-147,1.7210753207896996e-285
0.92,1.5218709668093095e-174,1.8201826232690622e-285,-3.2236022953053994e-231,-7.204298036012677e+78,-2.365974138462248e+116,-5.634591363254092e+83,3.091309612398733e-212
0.93,6.386044265184209e+106,5.703544386426035e-193,5.117479479772184e+89,1.711634886244573e-285,2.3221908062886192e-179,1.8197721695889264e-285,4.403314693164138e-224
0.9400000000000001,-3.671574880723303e-230,3.261809008858582e+60,-4.024989089951886e-307,2.840332750791553e+87,1.27039240977863e-198,-2.4826553380448074e+117,9.650438424939685e+74
0.9500000000000001,5.0812544998402216e+48,2.0166348533e-314,4.9e-322,4.345847379897e-311,1.1066266682764811e-296,5.651562446527298e-303,4.5e-322
0.96,1.3350443288330534e-306,1.2795732729827e-311,9.751065988108526e-284,4.674675261819315e-307,7.798619926195237e-288,8.2801968584e-313,6.405044832930368e-308
0.97,9.428596808220195e-264,4.681628598665988e-307,6.17870326899813e-259,8.28599919065e-313,6.412650065846958e-308,4.89560746626959e-230,4.687712784997843e-307
0.98,1.377896872593017e-215,8.27853906184e-313,6.420255298763549e-308,5.112303557369103e-283,4.681628598665988e-307,1.7391503587443018e-244,8.2959460459e-313
0.99,6.424601146142181e-308,4.689060544228756e-177,4.6972736492336164e-307,1.3197630081393525e-162,8.30174837816e-313,6.433292840906275e-308,2.434699257669017e-143
1.0,4.675544412334132e-307,1.0456239808920902e-133,8.3067218058e-313,6.439811611977638e-308,1.2641682774319538e-109,4.709442021897328e-307,3.5580740312739085e-95
1.01,8.28434138144e-313,6.447416844894228e-308,6.563937119700931e-76,4.677282751286091e-307,5.110903554842565e-283,8.28185468027e-313,6.407217773198156e-308
1.02,4.050383929299314e-254,3.0909368747328554e-302,1.847457661499045e-61,8.3191553749e-313,6.456108539656046e-308,2.2335921154639787e-37,4.722479564037018e-307
1.03,6.286572658425012e-23,8.32578661173e-313,6.464800234417863e-308,76.0052030859515,3.064164786067297e-302,6.286572658411772e-23,8.32993113476e-313
1.04,6.46914608179776e-308,2.139356276850688e+16,4.7276945808928946e-307,5.110903554847213e-283,8.3332467532e-313,6.474578391024908e-308,6.97141401953834e-309
1.05,7.01487249333731e-309,4.6726551715087856e-307,9.751065988501594e-284,4.4391727e-316,3.9957180743876e-311,4.672655102865123e-307,4.6726551031260425e-307
1.06,1.1788315442266363e-259,6.982278637988084e-309,7.655678363375416e-303,2.5861459885991323e+40,6.556966994305e-312,2.811644423029e-311,8.3365623716e-313
1.07,1.826917197602035e+49,2.92556e-319,-9.255963156048495e+61,1.155701003e-313,1.425232952817944e+247,1.6447556840537593e-246,2.1292970488515239e+242
1.08,-1.0297122691345043e-86,1.730868635536321e-308,1.333603037830046e+241,7.847140434996e-311,-1.4586894791490942e-244,-1.3923464600078296e+188,1.17
1.09,-1.9690403035139827e-106,1.8805392764688662e-229,4.667264063533614e-62,9.461105935778619e-13,2.4262045823640954e-308,3.0229954332641673e-280,3.9142938623e-313
1.1,2.8432706482999917e-308,-9.255963156048495e+61,5.191014183e-314,-9.124881235244858e+192,-5.793940648440485e+264,2.134264719604019e+242,-1.0297122691345062e-86
1.11,3.260879357625871e-308,1.3336030080216986e+241,-9.257347039705036e+61,3.678080957419848e-308,2.262041169604001e-111,5.8240914214e-313,-5.438853046443797e+183
1.12,-1.9377461672594527e+67,5.508180002424731e+244,-2.107120617794262e-37,-9.610556035745453e+61,3.323115463588919e-157,1.903599217656297e+185,1.76258278754476e-310
1.1300000000000001,-4.4342525532906085e-179,-2.2112096519642994e+189,0.088,7.762769882349511e-308,-1.392346563740681e+188,1.76,1.1070380490614242e-160
1.1400000000000001,2.632803520278214e-128,1.903599217656297e+185,2.0885211726658e-310,-2.353437368292411e-185,-5.980083045096034e+197,2.1971144419753e-310,3.139308632524182e-104
1.1500000000000001,9.2190770262e-313,8.189749387426909e-308,-4.161495270661354e+160,9.85588122495e-313,-3.105036184601577e+231,1.2826677505185856e-288,8.746017852054974e-308
1.16,-3.1727629428879303e+127,3.3038335303776784e-261,6.9605557256330044e+252,5.285622620897545e+180,5.966672585172975e-154,1.0035909377790038e+198,8.903897201101332e+252
1.17,4.672655107809905e-307,-4.4549413283e-314,4.103915895384734e-243,-4.250856353682815e-77,2.559812947789228e+263,-5.113226403638177e-302,6.829101132591131e+161
1.18,-9.653844925848113e-269,1.1482312276108087e+46,-2.931189812065544e-308,3.863245318587099e-207,4.5111657499434086e-213,-2.246339459538892e+117,3.4912709213709226e+60
1.19,-5.113226403706081e-302,4.3966031568777156e-70,-9.653839149225077e-269,4.079325183070943e+31,-3.0708001342715217e-308,7.485541291941794e-188,2.956912866026575e-208
1.2,-2.3251446743854833e+117,2.288553531203931e+65,-5.404871284488602e-302,4.475519707314153e+166,-9.65385072503539e-269,1.1476747979010352e+46,-2.9317330512772034e-308
1.21,1.1422029559237357e-192,2.956912866026575e-208,-2.3251446743854833e+117,2.288553531203931e+65,-5.404871284556506e-302,4.475519707314153e+166,-9.653839171791384e-269
1.22,1.1482323165309985e+46,-2.9317330512772034e-308,1.777675749616819e-226,1.6019149001579648e-227,-2.009869704522965e+117,1.2269681359951932e+46,-6.391516316407908e-303
1.23,4.475519718297827e+166,-9.653833395169382e-269,1.14851107584598e+46,-3.3489343997473037e-308,1.1422029559237357e-192,2.956912866026575e-208,-2.325144674385483e+117
1.24,2.288553531203811e+65,-6.391516315983508e-303,4.4755197073141505e+166,-9.653839171791384e-269,1.1482323165309985e+46,-3.2098672835906036e-308,4.057920065476621e-207
1.25,2.956912866026575e-208,-2.3251446743854836e+117,2.9967886983338894e-185,-3.6903344018097392e-115,6.569022810877432e-29,1.0927003590236647e+163,8.086481489988871e+136
1.26,3.428278302047958e+153,-1.66184937612763e+84,6.830757019842838e+252,2.1241056214763985e-208,-2.3251446743855093e+117,4.517791556338008e-164,4.7098120980359e-309
1.27,0.0,4.172013488586493e-309,-1.5573818980285064e-207,4.94365255701597e-310,6.136366831622158e-92,2.8536858590294665e-82,7.62684e-319
1.28,7.229511419054993e+221,1.6244144757486134e-284,7.44774526712232e-309,2.218135755296652e+130,3.5e-323,2.725330629552e-311,3.90826e-319
1.29,1.7925363030875152e-284,2.0881196848179153e-53,6.13636683162216e-92,2.799694746974325e+101,6.136366946485625e-92,2.799708096893293e+101,6.136366946574923e-92
1.3,1.0806598241230841e-120,1.708474106725963e-284,1.1774746219943152e-120,1.985226531e-313,1.579172291670028e-308,2.7996809277222553e+101,6.518515246571629e+91
1.31,7.14666e-319,2.740184632468e-311,2.4650236128502392e-284,1.678672326168455e-309,8.283415825641406e+91,8.283415825655869e+91,7.061194239842579e+91
1.32,1.41511655307956e-308,2.748672615632e-311,7.876008631434609e+91,2.5403502998331943e+130,2.5e-323,4.32438e-318,1.8765959341071445e-284
1.33,2.5490832436318705e-284,2.799694746974319e+101,6.136366946753513e-92,2.744463469262704e-284,2.9125852966438824e-284,6.136397120788027e-92,2.912585296643889e-284
1.34,4.683311023e-314,1.678587031884514e-309,1.415116553078921e-308,2.12248900323247e-310,4.32438e-318,2.044717761488326e-284,3.2488263860707446e-284
1.35,6.518578382426159e+91,7.14715e-319,2.7614045903777e-311,3.0807122547870445e-284,6.136426381265244e-92,2.799710766877091e+101,2.2181360781851877e+130
1.36,7.4e-323,2.6535521486646667e-53,1.491668146240043e-154,2.7635265861687e-311,2.7656485495806e-311,8.283415826606649e+91,1.554183669236265e-308
1.37,2.12354999789005e-310,2.7698926382997e-311,2.1205792037827e-310,2.757160598796e-311,2.7656485819596e-311,2.4135749887778155e-308,2.218135755296652e+130
1.3800000000000001,2.5e-323,2.733818612716e-311,2.7698925735416e-311,7.468601436167712e+91,1.415116553079562e-308,2.7656485819596e-311,1.678583554103785e-309
1.3900000000000001,7.027758009555553e-92,2.561315232e-314,2.799694746974319e+101,2.799680980942845e+101,6.136366946307034e-92,2.7996813970553473e+101,2.799681334653773e+101
1.4000000000000001,2.218135797397791e+130,2.5e-323,2.7741365651235e-311,2.733818612716e-311,2.7762585609145e-311,7.19780972624903e-309,3.90826e-319
1.41,6.136426381472787e-92,1.225882759568222e-120,1.1364282146e-313,1.857306523983428e-308,2.218135755296652e+130,3.5e-323,4.32438e-318
1.42,2.044717761488326e-284,4.9300472252180603e-284,4.683311023e-314,1.4151214850613256e-308,2.7805025524964e-311,1.678583554103785e-309,7.468601435107612e+91
1.43,3.069254712058647e-309,2.109508585045148e-53,2.799680927722256e+101,2.218136078185188e+130,4.4e-323,6.267124e-318,1.708474106725963e-284
1.44,3.06928281191831e-309,7.468601435107612e+91,7.061194239842614e+91,1.415116553079555e-308,2.7847465440783e-311,2.7868685398693e-311,2.7889905356603e-311
1.45,2.733818612716e-311,2.4445391679507e-310,2.725330629552e-311,2.4445391679507e-310,4.9561734396433155e+101,2.7996809813095116e+101,2.799680981350252e+101
1.46,2.799680981390993e+101,6.136366946664217e-92,2.7996813970553473e+101,2.218135797849685e+130,6.4e-323,2.733818612716e-311,4.6845843053e-314
1.47,6.136397120788027e-92,1.708474106725963e-284,6.136397120788027e-92,6.497657902812503e-284,1.708474106725963e-284,6.13636786031081e-92,1.67867232616851e-309
1.48,8.283415825641406e+91,8.28341582565589e+91,8.283415825643285e+91,8.283415825643286e+91,2.44453915125637e-310,2.7359407056443e-311,7.19780972301112e-309
1.49,2.7253307266895e-311,8.28341582565808e+91,8.283415825655895e+91,7.468601435109502e+91,7.19780972296057e-309,2.12439879944434e-310,2.801722510406e-311
1.5,2.7741366298817e-311,8.283415826606649e+91,8.283415825655898e+91,3.2063728593624097e+101,6.136366949610983e-92,2.799710766877091e+101,2.7996813346537727e+101
1.51,2.422690360776515e-22,1.919245724375e-312,1.452599486735394e-308,1.333603082542567e+241,2.197114441966e-310,6.590464514653986e-244,1.855585850646e-312
1.52,2.644112284834535e-128,2.64089007422e-313,4.2339418098690163e-308,1.3336030527342197e+241,7.847140434991e-311,1.30275e-319,1.3336030577071316e+241
1.53,8.390371357499e-311,1.215726122491296e-224,3.4896883906e-313,2.8432706482999917e-308,1.333602898724425e+241,1.2192987814897e-310,2.711159849273361e-181
1.54,5.82388376067e-313,3.2604719967712303e-308,1.3336030080216986e+241,4.901810277253e-312,1.313668178304453e-308,3.326531700570341e-111,2.4872165453936267e-75
1.55,1.961685640195e-312,1.7446197457573423e-227,1.9516693708394302e+233,5.034394081471172e+180,1.8214858829703203e-280,2.2382280705854773e+241,3.34398058561027e+151
1.56,2.1644973143396036e-256,5.224026821370959e+257,8.344422949393659e+228,1.3718621575765512e+142,3.9969374849503125e+252,3.037361847201259e+180,7.580180879578983e-309
1.57,5.376250068225937e+241,3.610324995158343e+228,3.9686328065302774e+252,-2.481041251413828e-265,2.5176402483815e-311,-5.116667936145729e-211,1.012569917839333e+95
1.58,-2.5619502916787546e-153,7.643921096806324e-65,1.094416370045908e+100,1.003646709657385e+153,-19695004.01665193,-5.825191174049206e+83,9.677186529060888e+131
1.59,2.5547293633955385e-184,-2.4438694614332663e+79,1.4376757095161424e+222,2.4439349232563438e-232,-8.140101112084716e-269,5.505589440028816e+99,1.8877829990189392e+196
1.6,-1230873.7509635582,-1.5139141909339114e+79,1.6868778546026454e+179,-5.113226409002577e-302,3.828353683644832e-248,1.1443599091450448e-227,-2.8135200743920835e+82
1.61,1.8653991435307216e+41,-1.3731161552263002e-115,-3.3336501732428114e-38,4.9146492433875416e+32,-1.4400371021006092e+40,1.5081263230178622e+110,-1.1740478442071383e+84
1.62,4.323631789533817e+228,9.735523275755368e-146,-2.6843671672656037e+84,3.491270921388278e+60,-2.9709838965228345e-225,-2.4312425330533983e+82,-1.6465479677826104e-76
1.6300000000000001,-3.232910305973749e+40,2.149366867068641e+28,-6.021447751964184e-307,3.910549673294868e-241,2.144890575409756e-285,2.50952195904699e-243,1.1484823072603902e-227
1.6400000000000001,-5.6270864663266014e+82,1.8653991435308207e+41,-2.539737102982967e-306,2.0059054822438614e-173,1.5039148482543106e-146,-1.2536070560703268e-56,-205.54122562462052
1.6500000000000001,1.432221248980626e+59,-8.73791349016716e+83,1.8538017323592404e+185,1.1245365432057035e-68,-8.445180664919262e+93,4.476331412163272e+286,3.7581039185666795e-304
1.6600000000000001,1.303802456945653e-309,2.0004596880174037,1.1082513848829819e-301,1.1983104888394463e-297,4.5111657499434086e-213,-7.324674007364324e-154,-2.6670994457086695e-37
1.67,-9.043737200204397e-34,-1.9002534841412888e+93,-6.719208679846338e+83,3.4912709213826146e+60,-4.536842421654622e-133,-2.216098738886288e-76,2.013083266438705e+20
