t,BMK1,MRNA,NFATc,NFATn,NFATpc,NFATpn,GSK3betac,GSK3betan,CaNc,CaNc_star,CaNn_star,CaNn,CaM,CaMCa,MCIP,MCIPp,MCIPpp,Comp1,Comp2,Comp3,P1433,MCIP_BMK1,MCIPp_CaNc_star,MCIPp_GSK3betac,MCIPpp_CaNc_star,NFATpc_CaNc_star,NFATc_GSK3betac,NFATpn_CaNn_star,NFATn_GSK3betan
0.1,0.012000012298877271,0.0003330214904624742,2.1884197441172274e-05,0.0004982361486556011,0.00493820783248189,8.089399593238818e-05,0.169995056183872,0.3390049645106964,0.8907138929093054,0.04665908739582113,0.05690881759869295,-0.01358610709069543,25.180634636571128,8.004433817165372e-05,0.00020608926458287664,0.007766849809121887,0.07979744628944987,0.005219640858124383,0.28299495408695347,0.013999879624183907,0.7080051662888632,2.1387701122724698e-05,0.00010773240075299355,0.0010999795823944181,0.0011075282416398435,8.180007292728854e-05,1.361404619044362e-06,2.2705227373175013e-06,8.459831841819382e-05
0.11,0.012000017453651233,0.00033302681517158837,2.214576888815961e-05,0.0004981647503901915,0.0049379542577401535,8.097277441152153e-05,0.16999456132565774,0.3390054570175169,0.8887798862668539,0.04856646477371542,0.05693167719836582,-0.01552011373314684,25.17870041487293,8.02593939183121e-05,0.0002043199885110368,0.007768285793098332,0.07979636051669627,0.005221566222433993,0.2829944427299732,0.013999864514454454,0.7080056927555728,2.1382546348761774e-05,0.00010788663036428097,0.0010999818996784466,0.0011091110856797154,8.190720149997495e-05,1.3617425508615039e-06,2.27062108811098e-06,8.459801459608772e-05
0.12,0.012000023686740451,0.0003330330140967421,2.2420315243414305e-05,0.0004980944777532055,0.004937687424407907,8.105144065826099e-05,0.1699940659139952,0.3390059488064009,0.8868462506331853,0.0504709860588422,0.05695669603136034,-0.017453749366815364,25.176766563393517,8.047523966359933e-05,0.0002024170072197841,0.007769856524461102,0.07979512740574518,0.005223640445695385,0.2829939279517389,0.013999848690894299,0.7080062233573673,2.137631325954384e-05,0.00010805541213406468,0.0010999854666530113,0.001110842608364266,8.20280816428405e-05,1.3621253087252192e-06,2.270728776746781e-06,8.459768764219427e-05
0.13,0.01200003105659874,0.0003330401382153992,2.270776359966722e-05,0.000498025379081844,0.004937407391142706,8.112999492857878e-05,0.16999356984846736,0.33900643987644624,0.8849129867439725,0.05237266262388535,0.056983869918726233,-0.019387013256028256,25.174833082865096,8.069187887360194e-05,0.0002003876608244489,0.007771561611312712,0.07979374776546881,0.00522585620012105,0.28299340927202715,0.013999832119216795,0.7080067586087566,2.1368943401254292e-05,0.00010823871134791674,0.0010999903822517827,0.0011127223036422346,8.216265228548874e-05,1.362554831273251e-06,2.270846020455459e-06,8.459733800334226e-05
0.14,0.012000039640500216,0.0003330482521897737,2.3008034418902465e-05,0.0004979575074856611,0.004937114221849519,8.120843744427805e-05,0.16999307301720715,0.33900693022708406,0.8829800953778661,0.05427150605054993,0.05701319430885998,-0.02131990462213455,25.172899974061753,8.090931611097077e-05,0.0001982391152690398,0.007773400619285384,0.07979222248261988,0.005228206332448816,0.28299288616114016,0.013999814761754704,0.7080072990771057,2.136035949977975e-05,0.00010843648775826962,0.0010999967563344992,0.0011147496223994956,8.23108470636859e-05,1.363033266785942e-06,2.2709730548657518e-06,8.459696610751666e-05
0.15,0.012000049460278436,0.0003330573810859806,2.3321056890265857e-05,0.0004978909090372767,0.004936807973695905,8.128676858700792e-05,0.169992575327845,0.3390074198564904,0.8810475773134115,0.05616752845865194,0.057044665130250694,-0.023252422686589044,25.17096723775492,8.112755849255263e-05,0.0001959796237906677,0.0077753731885663166,0.07979055233305245,0.005230682601819433,0.2829923581656921,0.013999796585796543,0.708007845248512,2.135053972155931e-05,0.00010864871323275733,0.0011000046807163027,0.0011169240664717917,8.247260606856275e-05,1.363562422172979e-06,2.2711100943640507e-06,8.459657252614366e-05
0.16,0.01200006059959528,0.00033306759408792495,2.3646751040859668e-05,0.0004978256372863442,0.004936488710902539,8.136498855699732e-05,0.16999207666701732,0.3390079087642556,0.8791154333226303,0.05806074130456282,0.057078277808614616,-0.02518456667737027,25.1690348747126,8.13466100277217e-05,0.00019361619438704137,0.007777478878873982,0.07978873821004039,0.005233278012909795,0.2829918247508557,0.013999777553368137,0.7080083976957768,2.1339400404715735e-05,0.00010887534634828615,0.0011000142665906253,0.0011192450848850604,8.264786267489498e-05,1.3641444704793274e-06,2.2712573752863363e-06,8.459615766600458e-05
0.17,0.012000073126409038,0.00033307894916716956,2.3985039323443758e-05,0.0004977617438193866,0.004936156495819107,8.144309760000798e-05,0.1699915769268223,0.3390083969496134,0.877183664178053,0.059951156202215104,0.05711402790300571,-0.0271163358219476,25.16710288570258,8.1566475470352e-05,0.00019115614568440483,0.007779717270827379,0.07978678097595322,0.005235985259685589,0.28299128540312174,0.013999757627877593,0.7080089569690013,2.1326873590957164e-05,0.00010911634909551701,0.0011000256201002527,0.0011217121407713136,8.283655204675891e-05,1.3647814892388403e-06,2.2714151280929307e-06,8.459572197489023e-05
0.18,0.012000087082609702,0.00033309148567320417,2.4335846289241254e-05,0.0004976992782164909,0.004935811389244484,8.152109604749732e-05,0.16999107600583446,0.339008884411162,0.8752522706745687,0.06183878500294235,0.05715191108362787,-0.02904772932543208,25.165171271514463,8.178716010343222e-05,0.0001886071832006271,0.007782087971017028,0.07978468146308883,0.005238796649060972,0.2829907396318883,0.01399973677413131,0.7080095235939811,2.1312917390293968e-05,0.00010937168835995325,0.0011000388415726928,0.001124324707171409,8.30386106906343e-05,1.3654754470962842e-06,2.271583579381623e-06,8.459526598381875e-05
0.19,0.012000102466845904,0.00033310521206397976,2.4699099603436446e-05,0.0004976382869678419,0.004935453449701038,8.159898437499626e-05,0.16999057381287813,0.3390093711464376,0.873321253648247,0.06372363994727596,0.05719192318408882,-0.030978746351753714,25.16324003297829,8.200866995314124e-05,0.00018597762971713514,0.007784590627454235,0.07978244045790286,0.005241703870416975,0.2829901869821766,0.013999714959084556,0.7080100980587395,2.1297533154091483e-05,0.00010964133899960798,0.0011000540221780691,0.0011270822709923902,8.325397702997641e-05,1.3662281415243018e-06,2.271762950464164e-06,8.459479036474637e-05
0.2,0.012000119361690265,0.0003331201967525766,2.5074720887554055e-05,0.0004975788225605895,0.004935082740129452,8.167676277841401e-05,0.16999007023688456,0.3390098571550378,0.871390613855233,0.06560573252038171,0.057234059720857745,-0.032909386144767794,25.161309170845627,8.223100960325445e-05,0.00018327461001364225,0.007787224807759735,0.07978005883582277,0.005244699811659523,0.28298962692986973,0.01399969214552201,0.708010680924609,2.1280638309730423e-05,0.00010992526039923293,0.0011000712708594026,0.001129984292229434,8.348258576772291e-05,1.3670417022109977e-06,2.2719534729115885e-06,8.459429551609285e-05
0.21,0.012000137817678119,0.0003331364852647016,2.5462634070235706e-05,0.0004975209351925919,0.004934699321783754,8.175443156040306e-05,0.169989565174379,0.33901034243577327,0.869460352082182,0.0674850744957799,0.057278316331468834,-0.03483964791781878,25.15937868589799,8.245418418817278e-05,0.00018050570619707615,0.007789990110242695,0.07977753743831176,0.005247776903167606,0.2829890589772435,0.013999668297820443,0.7080112727249367,2.1262182321876313e-05,0.00011022341785036895,0.0011000906897750582,0.0011330302411510986,8.372437302708818e-05,1.3679181320239801e-06,2.272155374378536e-06,8.459378194069822e-05
0.22,0.012000157816616326,0.00033315407321877485,2.586276714667119e-05,0.000497464670703165,0.0049343032530100766,8.183199125592098e-05,0.16998905853675703,0.3390108269857695,0.8675304691937015,0.06936167722456561,0.05732468886262364,-0.036769530806299223,25.157448578994163,8.267819953724366e-05,0.00017767839432601917,0.007792886196605492,0.07977487704406622,0.005250927680106709,0.2829884826771443,0.01399964338335175,0.7080118739395046,2.1242183383669203e-05,0.00011053578889558467,0.0011001123679173252,0.0011362196039891657,8.397927724212495e-05,1.3688591856330377e-06,2.2723688768892696e-06,8.459325037051847e-05
0.23,0.012000179385384103,0.00033317298896257797,2.6275045445194745e-05,0.0004974100777899709,0.004933894594061559,8.19094422475789e-05,0.16998855022566217,0.33901131080325725,0.865600966003278,0.07123555233486181,0.05737317302385107,-0.03869903399672279,25.15551885094225,8.290306102406636e-05,0.00017480022000590463,0.007795912686977028,0.07977207847294525,0.005254144608922991,0.28298789754925413,0.013999617367523615,0.7080124850832229,2.1220614615891306e-05,0.00011086234304318469,0.0011001364029128479,0.0011395518565066832,8.424723533143061e-05,1.3698667804768986e-06,2.272594206160471e-06,8.45927013872546e-05
0.24,0.012000202576538003,0.00033319327948952724,2.6699392774856025e-05,0.0004973572067790469,0.004933473406277746,8.19867848311975e-05,0.16998804013718244,0.3390117938870967,0.8636718432952742,0.07310671161261177,0.05742376444653398,-0.04062815670472641,25.15358950252151,8.312877376260434e-05,0.00017187876846240594,0.007799069177802158,0.07976914256825791,0.0052574201169138055,0.2829873030943617,0.01399959021462472,0.7080131066910142,2.1197423461991916e-05,0.0001112030452244229,0.001100162897307189,0.0011430264685027517,8.452818335026077e-05,1.370942926722351e-06,2.272831590012361e-06,8.459213548700864e-05
0.25,0.012000227416319741,0.00033321497257260695,2.7135734518765655e-05,0.0004973061063067979,0.0049330397498723345,8.206401939201263e-05,0.16998752817311802,0.3390122762355012,0.8617431018844534,0.07497516653502714,0.05747645884274837,-0.04255689811554739,25.151660534541335,8.335534311654656e-05,0.00016892143852299715,0.007802355290027455,0.07976607014909692,0.005260746817206031,0.2829866988327651,0.013999561890101266,0.7080137392771343,2.1172583680253232e-05,0.00011155786508521961,0.0011001919485880683,0.001146642915976514,8.482205825072774e-05,1.3720895387490087e-06,2.2730812540790657e-06,8.459155325396788e-05
0.26,0.012000253839775453,0.00033323802836736534,2.758400166870012e-05,0.0004972568189664536,0.004932593681045001,8.21411466293673e-05,0.16998701425523433,0.3390127578444291,0.8598147426959145,0.07684092618510474,0.05753125220968506,-0.044485257304086166,25.149731947920746,8.35827751676625e-05,0.00016593366955400325,0.007805770731580641,0.07976286194897242,0.005264119279646272,0.2829860843536963,0.013999532363507589,0.7080143832827968,2.1146160224542554e-05,0.00011192678882648308,0.0011002236365635959,0.0011504006972067604,8.512880020188776e-05,1.3733081921612085e-06,2.2733434161454146e-06,8.459095558083763e-05
0.27,0.012000281907034954,0.00033326249977329357,2.8044117523600783e-05,0.0004972093956400506,0.004932135261501044,8.221816681177573e-05,0.16998649827791257,0.3390132387129318,0.8578867665034197,0.07870400292974172,0.05758814015347195,-0.04641323349658099,25.147803743428405,8.381107501280378e-05,0.00016292358851482857,0.0078093150910862625,0.07975951881877942,0.005267529390248179,0.2829854591518377,0.013999501598763313,0.7080150392493996,2.1118092965041034e-05,0.00011230977994233249,0.0011002580652912002,0.0011542992799135603,8.544834496044308e-05,1.3746009272267954e-06,2.2736183047623166e-06,8.459034293716051e-05
0.28,0.012000311634821076,0.00033328840750554623,2.8516008052004318e-05,0.0004971638843332141,0.004931664551035184,8.22950803572599e-05,0.16998598014503696,0.3390137188389875,0.8559591741332484,0.08056440799624436,0.057647118415945005,-0.04834082586675231,25.145875921885157,8.404024809061176e-05,0.00015989838970666327,0.007812987998569883,0.0797560415686776,0.005270969966378766,0.28298482275468256,0.013999469561743435,0.7080157076835746,2.1088365178920356e-05,0.00011270680980667857,0.0011002953304132242,0.00115833814242158,8.578062981428689e-05,1.3759696229644132e-06,2.2739061447445972e-06,8.458971593932658e-05
0.29,0.012000342995082737,0.0003333157382596554,2.8999602303684942e-05,0.000497120329729897,0.004931181607232452,8.23718878476004e-05,0.1699854597709866,0.3390141982194109,0.8540319664714247,0.08242215048149425,0.05770818289172649,-0.05026803352857604,25.143948484171215,8.427030020553703e-05,0.00015686337089770386,0.007816789128695066,0.07975243096274205,0.0052744357202793215,0.2829841747267959,0.01399943622055609,0.7080163890526487,2.105700491725818e-05,0.00011311785846794554,0.0011003355182624419,0.0011625167756016462,8.612559385429123e-05,1.3774159765416315e-06,2.274207156343162e-06,8.458907536348379e-05
0.3,0.012000375950910781,0.0003333444720007018,2.949482993800974e-05,0.0004970787758568918,0.004930686487240711,8.244858989697581e-05,0.16998493707221704,0.3390146768507866,0.8521051444157924,0.08427723906088928,0.05777132950566596,-0.05219485558420823,25.142021431178556,8.450123723440195e-05,0.00015382345464555358,0.007820718164956556,0.07974868775593048,0.005277921739073562,0.28298351464007687,0.013999401543751202,0.7080170838161726,2.102404908921368e-05,0.0001135429076907257,0.0011003787133298205,0.0011668346728067214,8.648317652802996e-05,1.3789416491485554e-06,2.274521558905992e-06,8.458842201738658e-05
0.31,0.01200041053705731,0.00033337464314264705,3.0001615682782083e-05,0.0004970392720573736,0.004930179251744466,8.252518685746686e-05,0.16998441194838634,0.33901515473156113,0.8501787087685738,0.08612968581960166,0.05783655393807634,-0.05412129123142687,25.140094763704102,8.473306446854612e-05,0.00015078659893534045,0.007824774719405375,0.07974481277695963,0.005281420077112489,0.28298284200709106,0.013999365496304553,0.708017792496605,2.0989462942684613e-05,0.00011398192535593145,0.001100425015006421,0.0011712913073094633,8.685331439738416e-05,1.380548593030471e-06,2.274849579085681e-06,8.458775645309474e-05
0.32,0.012000446755551729,0.00033340626123644807,3.0519886517706396e-05,0.0004970018652468964,0.004929659959813281,8.26016792008361e-05,0.16998388430682282,0.33901563185933076,0.8482526603756546,0.08797950128579753,0.05790385198093338,-0.05604733962434611,25.138168482588185,8.49657874666583e-05,0.00014775937568424,0.007828958436715909,0.07974080682086565,0.005284924173602788,0.28298215636749763,0.013999328044823988,0.708018515587679,2.0953244448266642e-05,0.00011443488568418308,0.001100474515879471,0.0011758861615518037,8.72359453419294e-05,1.3822386275280724e-06,2.2751914401993167e-06,8.458707933942597e-05
0.33,0.012000484574256691,0.0003334393092677886,3.1049572096608985e-05,0.0004969665994281956,0.004929128668603077,8.267806753707046e-05,0.16998335406374254,0.33901610823071926,0.8463270001354339,0.08982669345001616,0.05797321955372039,-0.05797299986456669,25.13624258872329,8.51994121408839e-05,0.00014474601777721342,0.007833268996822362,0.07973667064317891,0.0052884298055657485,0.28298145729291063,0.01399928915785774,0.7080192535492322,2.0915425743302722e-05,0.00011490177020290572,0.0011005273006436268,0.0011806187288886246,8.763100881762674e-05,1.3840134153216562e-06,2.2755473614303726e-06,8.45863914792798e-05
0.34,0.01200052394908114,0.00033347376092811857,3.159060300889527e-05,0.0004969335175849158,0.0049285854346002534,8.275435252451674e-05,0.16998282113847096,0.33901658384201006,0.8444017289646838,0.0916712694149724,0.058044652620530976,-0.05989827103531681,25.134317083020154,8.543394452703012e-05,0.0001417499397559491,0.00783770609199508,0.0797324049856082,0.005291933567939933,0.2829807443661242,0.013999248804632918,0.7080200068292435,2.0876050918852242e-05,0.00011538256299591284,0.0011005834512322172,0.0011854885064928567,8.803844483195788e-05,1.38587456428168e-06,2.27591756051612e-06,8.458569372246622e-05
0.35000000000000003,0.012000564888383058,0.000333509630688978,3.214290573895238e-05,0.0004969026671721411,0.004928030317228835,8.283053460933467e-05,0.16998228543669022,0.3390170586909797,0.8424768476995632,0.09351324017886728,0.05811814694972316,-0.061823152300437445,25.13239196630944,8.566939011831627e-05,0.00013877814678754454,0.007842269360377411,0.07972801065050712,0.0052954284669076415,0.28298001712087845,0.013999206951397954,0.7080207759277242,2.0835111616935932e-05,0.0001158772369304134,0.0011006430616943806,0.0011904949747850678,8.845819097251059e-05,1.3878239227664382e-06,2.2763022615392984e-06,8.458498671296744e-05
0.36,0.012000607369475228,0.00033354690869146587,3.270640932586608e-05,0.0004968740928451285,0.004927463374087948,8.290661436928943e-05,0.1699817468725415,0.3390175327744815,0.8405523572271275,0.09535261424404906,0.05819369842931654,-0.06374764277287319,25.130467239472342,8.59057547833638e-05,0.0001358353365563316,0.007846958472452146,0.07972348840258572,0.005298909815127366,0.2829792751214763,0.013999163566261177,0.7080215613122631,2.0792630524765446e-05,0.00011638577181681896,0.0011007062185655837,0.0011956376245599095,8.889018633229734e-05,1.3898631892723215e-06,2.276701684588573e-06,8.458427122221059e-05
0.37,0.012000651330627018,0.0003335855539065072,3.3281046392841156e-05,0.0004968478352827882,0.004926884660225774,8.298259256552117e-05,0.16998120537194447,0.3390180060880908,0.838628258507896,0.09718939640900513,0.058271303109127,-0.06567174149210471,25.12854290346287,8.614304502413904e-05,0.00013292276332670187,0.007851773140268093,0.07971883895401843,0.005302376367708293,0.2829785179751965,0.013999118619957682,0.7080223634048464,2.074866937297509e-05,0.00011690815710109461,0.0011007729979146865,0.0012009159610207485,8.93343721147821e-05,1.3919938514875107e-06,2.2771160440217035e-06,8.458354819858679e-05
0.38,0.01200069676777789,0.0003336255713457375,3.386674426906686e-05,0.0004968239410373954,0.004926294234458433,8.305846968831132e-05,0.16998066084342117,0.33901847862927076,0.8367045523938762,0.09902359694310629,0.058350956799985074,-0.06759544760612445,25.126618959127466,8.638126640710991e-05,0.00013004676755539558,0.007856713014477901,0.07971406309457871,0.005305821794998911,0.28297774522583913,0.013999072079342631,0.7080231826948188,2.0703232222103436e-05,0.00011744436799676225,0.0011008434912705201,0.0012063294680881866,8.979068640613196e-05,1.394217708479896e-06,2.2775455626614304e-06,8.45828183290979e-05
0.39,0.012000743656773033,0.000333666949978604,3.4463432128351946e-05,0.0004968024546147408,0.004925692154289165,8.313424632231794e-05,0.1699801132015556,0.33901895039482666,0.834781239774885,0.10085522420947687,0.0584326553959921,-0.06951876022511559,25.124695407350057,8.662042482470458e-05,0.00012721191749248277,0.007861777767126783,0.07970916158700181,0.005309241539055542,0.28297695643932236,0.01399902391262309,0.7080240196480551,2.0656343226960234e-05,0.00011799438467642301,0.0011009177847751228,0.0012118776370984821,9.025906837868885e-05,1.3965364508218256e-06,2.2779904603810002e-06,8.45820823918229e-05
0.4,0.012000791936974257,0.00033370964826733474,3.507104348616622e-05,0.0004967834155483502,0.004925078474164276,8.320992327485896e-05,0.16997956237517844,0.33901942138003077,0.8328583216350187,0.10268428151925384,0.058516394971563745,-0.0714416783649819,25.12277224910846,8.686052655652155e-05,0.00012441803524100125,0.007866967110778078,0.07970413513071987,0.005312635788329088,0.28297615123439745,0.01399897409125923,0.7080248746743438,2.0608063025735845e-05,0.0001185581989356068,0.0011009959519028402,0.0012175599762396486,9.073945973646278e-05,1.3989515095308525e-06,2.2784509498775665e-06,8.458134137843008e-05
0.41000000000000003,0.012000841588105743,0.00033375365842496917,3.568950705470387e-05,0.0004967668688726758,0.004924453251912024,8.328550110691879e-05,0.16997900827735893,0.3390198915818515,0.8309357988540701,0.10451077777269951,0.05860217140162997,-0.07336420114593054,25.120849485276615,8.710157745382421e-05,0.00012167019367140504,0.007872280713169023,0.07969898449519869,0.005315999480229165,0.28297532917136525,0.013998922583112241,0.708025748245523,2.0558411894249887e-05,0.00011913578971114038,0.0011010780801425663,0.0012233759750562307,9.123179938262339e-05,1.4014646027757386e-06,2.278927251787353e-06,8.458059604428915e-05
0.42,0.012000892580189923,0.00033379896455199313,3.631875270070407e-05,0.0004967528582999329,0.004923816544547761,8.336098043869207e-05,0.16997845082495483,0.33902036099684935,0.8290136723369029,0.1063347205266395,0.058689980609070325,-0.07528632766309765,25.11892711675343,8.734358347083325e-05,0.00011897220354726003,0.007877718252811533,0.0796937104330703,0.005319328814338109,0.28297448982457624,0.013998869356908384,0.708026640818516,2.0507419810070708e-05,0.00011972713903064783,0.001101164253614572,0.0012293251275740321,9.173602689356762e-05,1.4040773797038084e-06,2.279419584838299e-06,8.457984720156806e-05
0.43,0.012000944862174052,0.00033384553218763596,3.6958713607488084e-05,0.0004967414236498696,0.004923168406773358,8.343636206128864e-05,0.16997788994574664,0.33902082962041863,0.8270919430643675,0.10815611342000434,0.05877981864404242,-0.07720805693563312,25.11700514451341,8.75865509512758e-05,0.00011632418549193802,0.00788327943261833,0.07968831364875635,0.00532262368165346,0.2829736328092905,0.013998814383906289,0.7080275528068036,2.0455137825941364e-05,0.00012033223777348501,0.001101254546720874,0.0012354069402727963,9.225208376141857e-05,1.4067912882298212e-06,2.2799281621264682e-06,8.457909582563001e-05
0.44,0.01200099840183462,0.0003338933435204721,3.7609319938253616e-05,0.0004967326082917848,0.004922508895396215,8.351164661013668e-05,0.16997732555756637,0.3390212974490155,0.8251706119479082,0.10997496366253984,0.05887168144136044,-0.07912938805209235,25.115083569462023,8.7830485879193e-05,0.00011372962386064939,0.007888963933631558,0.0796827948905717,0.005325880608222004,0.282972757703486,0.013998757633056061,0.7080284846634584,2.0401598165372584e-05,0.00012095106875994201,0.001101349042715268,0.001241620908313878,9.27799097347841e-05,1.4096079596712935e-06,2.280453201884384e-06,8.45783427432286e-05
0.45,0.012001053159810574,0.0003339423744278552,3.82705030010282e-05,0.0004967264542494594,0.0049218380664255955,8.358683477967819e-05,0.16997675758201716,0.3390217644786935,0.8232496799252792,0.11179127711041287,0.05896556497956148,-0.08105032007472138,25.1131623925309,8.807539437497121e-05,0.00011119072792816924,0.007894771445183784,0.07967715489019274,0.005329097395633014,0.282971864099273,0.013998699074182887,0.7080294368265445,2.0346840189419626e-05,0.00012158361786523649,0.0011014478214961306,0.0012479665311490623,9.331944522318153e-05,1.4125289558237704e-06,2.2809949203975063e-06,8.457758883745042e-05
0.46,0.012001109096275688,0.0003339925998745978,3.894219467223796e-05,0.0004967230028402941,0.004921155975484033,8.36619272939049e-05,0.16997618594259947,0.339022230705309,0.8213291479494728,0.11360505905696591,0.059061465253978734,-0.08297085205052784,25.111241614666667,8.832128279672017e-05,0.00010870918071390165,0.00790070165764023,0.0796713943711035,0.005332272372512437,0.28297095159601277,0.013998638677567002,0.7080304097264207,2.0290903724304928e-05,0.00012222987245540058,0.0011015509612695617,0.0012544433101729384,9.387063095662502e-05,1.4155558027090803e-06,2.2815535329115628e-06,8.45768350192355e-05
