t,G,I,beta
0.73,591.8689879710953,0.0,0.0
0.74,591.8065243124497,0.0,0.0
0.75,591.7449535828404,0.0,0.0
0.76,591.6842631135848,0.0,0.0
0.77,591.6244404387438,0.0,0.0
0.78,591.565473293486,0.0,0.0
0.79,591.507349612301,0.0,0.0
0.8,591.4500572348979,0.0,0.0
0.81,591.393584081583,0.0,0.0
0.8200000000000001,591.3379184410165,0.0,0.0
0.8300000000000001,591.2830487596055,0.0,0.0
0.84,591.2289636377601,0.0,0.0
0.85,591.1756518261495,0.0,0.0
0.86,591.1231022219597,0.0,0.0
0.87,591.0713038651489,0.0,0.0
0.88,591.0202459347047,0.0,0.0
0.89,590.969917755162,0.0,0.0
0.9,590.9203090370974,0.0,0.0
0.91,590.8714095766541,0.0,0.0
0.92,590.823209232089,0.0,0.0
0.93,590.7756980056076,0.0,0.0
0.9400000000000001,590.7288660410181,0.0,0.0
0.9500000000000001,590.6827036213853,0.0,0.0
0.96,590.6372011666846,0.0,0.0
0.97,590.5923492314563,0.0,0.0
0.98,590.5481385024592,0.0,0.0
0.99,590.5045598032375,0.0,0.0
1.0,590.4616041336946,0.0,0.0
1.01,590.4192625969895,0.0,0.0
1.02,590.3775264153911,0.0,0.0
1.03,590.3363869360064,0.0,0.0
1.04,590.2958356286875,0.0,0.0
1.05,590.2558640839403,0.0,0.0
1.06,590.2164640108317,0.0,0.0
1.07,590.177627234898,0.0,0.0
1.08,590.1393456960519,0.0,0.0
1.09,590.1016114563596,0.0,0.0
1.1,590.064416715172,0.0,0.0
1.11,590.0277537619248,0.0,0.0
1.12,589.9916149929766,0.0,0.0
1.1300000000000001,589.9559929114201,0.0,0.0
1.1400000000000001,589.9208801251536,0.0,0.0
1.1500000000000001,589.8862693449497,0.0,0.0
1.16,589.8521533825267,0.0,0.0
1.17,589.8185251486182,0.0,0.0
1.18,589.7853776510432,0.0,0.0
1.19,589.7527040274082,0.0,0.0
1.2,589.720497541081,0.0,0.0
1.21,589.6887515146219,0.0,0.0
1.22,589.6574593649485,0.0,0.0
1.23,589.6266146020005,0.0,0.0
1.24,589.5962108271275,0.0,0.0
1.25,589.5662417314771,0.0,0.0
1.26,589.5367010943825,0.0,0.0
1.27,589.5075827817506,0.0,0.0
1.28,589.4788807450625,0.0,0.0
1.29,589.4505890639853,0.0,0.0
1.3,589.4227018973761,0.0,0.0
1.31,589.3952134639509,0.0,0.0
1.32,589.3681180635391,0.0,0.0
1.33,589.3414100755917,0.0,0.0
1.34,589.3150839576892,0.0,0.0
1.35,589.2891342440498,0.0,0.0
1.36,589.2635555440369,0.0,0.0
1.37,589.238342540668,0.0,0.0
1.3800000000000001,589.2134899891223,0.0,0.0
1.3900000000000001,589.1889927152486,0.0,0.0
1.4000000000000001,589.1648456140736,0.0,0.0
1.41,589.141043649534,0.0,0.0
1.42,589.1175819485946,0.0,0.0
1.43,589.0944556986932,0.0,0.0
1.44,589.0716601058175,0.0,0.0
1.45,589.0491904433235,0.0,0.0
1.46,589.0270420507046,0.0,0.0
1.47,589.0052103323612,0.0,0.0
1.48,588.9836907563695,0.0,0.0
1.49,588.9624788532504,0.0,0.0
1.5,588.9415702147396,0.0,0.0
1.51,588.9209604925559,0.0,0.0
1.52,588.9006453971708,0.0,0.0
1.53,588.8806206965775,0.0,0.0
1.54,588.8608822159465,0.0,0.0
1.55,588.8414259115483,0.0,0.0
1.56,588.8222477911838,0.0,0.0
1.57,588.8033438794663,0.0,0.0
1.58,588.7847102568417,0.0,0.0
1.59,588.7663430585637,0.0,0.0
1.6,588.7482384736709,0.0,0.0
1.61,588.7303927439604,0.0,0.0
1.62,588.7128021629649,0.0,0.0
1.6300000000000001,588.6954630749274,0.0,0.0
1.6400000000000001,588.6783718737773,0.0,0.0
1.6500000000000001,588.6615250021059,0.0,0.0
1.6600000000000001,588.6449189501416,0.0,0.0
1.67,588.6285502554043,0.0,0.0
1.68,588.6124155643768,0.0,0.0
1.69,588.5965115670597,0.0,0.0
1.7,588.5808349665572,0.0,0.0
1.71,588.5653825122341,0.0,0.0
1.72,588.5501509988649,0.0,0.0
1.73,588.5351372657822,0.0,0.0
1.74,588.5203381960262,0.0,0.0
1.75,588.5057507154927,0.0,0.0
1.76,588.4913717920821,0.0,0.0
1.77,588.4771984348486,0.0,0.0
1.78,588.4632276931483,0.0,0.0
1.79,588.4494566557884,0.0,0.0
1.8,588.4358824507041,0.0,0.0
1.81,588.4225022975152,0.0,0.0
1.82,588.4093134526056,0.0,0.0
1.83,588.396313181969,0.0,0.0
1.84,588.3834987900033,0.0,0.0
1.85,588.370867618807,0.0,0.0
1.86,588.3584170474771,0.0,0.0
1.87,588.3461444914061,0.0,0.0
1.8800000000000001,588.3340474015794,0.0,0.0
1.8900000000000001,588.3221232638717,0.0,0.0
1.9000000000000001,588.3103695983453,0.0,0.0
1.9100000000000001,588.2987839585464,0.0,0.0
1.92,588.2873639308029,0.0,0.0
1.93,588.2761071923499,0.0,0.0
1.94,588.265011296921,0.0,0.0
1.95,588.2540740573232,0.0,0.0
1.96,588.2432932040416,0.0,0.0
1.97,588.2326664999426,0.0,0.0
1.98,588.2221917395949,0.0,0.0
1.99,588.2118667486,0.0,0.0
2.0,588.2016893829307,0.0,0.0
2.0100000000000002,588.1916575282805,0.0,0.0
2.02,588.1817690994209,0.0,0.0
2.0300000000000002,588.1720220395675,0.0,0.0
2.04,588.162414319757,0.0,0.0
2.05,588.1529439382309,0.0,0.0
2.06,588.1436089201416,0.0,0.0
2.07,588.1344073547717,0.0,0.0
2.08,588.1253373565893,0.0,0.0
2.09,588.1163970448507,0.0,0.0
2.1,588.1075845652654,0.0,0.0
2.11,588.0988980895763,0.0,0.0
2.12,588.0903358151558,0.0,0.0
2.13,588.0818959646127,0.0,0.0
2.14,588.0735767854142,0.0,0.0
2.15,588.065376549519,0.0,0.0
2.16,588.0572935530254,0.0,0.0
2.17,588.0493261158314,0.0,0.0
2.18,588.0414725813083,0.0,0.0
2.19,588.0337313159874,0.0,0.0
2.2,588.0261007092595,0.0,0.0
2.21,588.0185791730881,0.0,0.0
2.22,588.0111651417352,0.0,0.0
2.23,588.0038570745635,0.0,0.0
2.24,587.9966534644668,0.0,0.0
2.25,587.9895528172065,0.0,0.0
2.2600000000000002,587.9825536591447,0.0,0.0
2.27,587.9756545384007,0.0,0.0
2.2800000000000002,587.9688540246955,0.0,0.0
2.29,587.9621507092114,0.0,0.0
2.3000000000000003,587.9555432044656,0.0,0.0
2.31,587.9490301441975,0.0,0.0
2.32,587.9426101832713,0.0,0.0
2.33,587.9362819975915,0.0,0.0
2.34,587.9300442840344,0.0,0.0
2.35,587.9238957603911,0.0,0.0
2.36,587.9178351653285,0.0,0.0
2.37,587.9118612583607,0.0,0.0
2.38,587.9059728198373,0.0,0.0
2.39,587.900168650551,0.0,0.0
2.4,587.894447502555,0.0,0.0
2.41,587.8888081457538,0.0,0.0
2.42,587.8832494100942,0.0,0.0
2.43,587.877770142426,0.0,0.0
2.44,587.87236920631,0.0,0.0
2.45,587.8670454818322,0.0,0.0
2.46,587.861797865425,0.0,0.0
2.47,587.8566252696953,0.0,0.0
2.48,587.8515266232594,0.0,0.0
2.49,587.8465008705842,0.0,0.0
2.5,587.8415469718362,0.0,0.0
2.5100000000000002,587.8366639027358,0.0,0.0
2.52,587.83185065442,0.0,0.0
2.5300000000000002,587.8271062333109,0.0,0.0
2.54,587.8224296609911,0.0,0.0
2.5500000000000003,587.817819974086,0.0,0.0
2.56,587.8132762177436,0.0,0.0
2.57,587.8087974253771,0.0,0.0
2.58,587.8043826642314,0.0,0.0
2.59,587.8000310180885,0.0,0.0
2.6,587.795741583881,0.0,0.0
2.61,587.7915134715254,0.0,0.0
2.62,587.7873458037592,0.0,0.0
2.63,587.7832377159839,0.0,0.0
2.64,587.7791883561099,0.0,0.0
2.65,587.7751968844079,0.0,0.0
2.66,587.7712624733638,0.0,0.0
2.67,587.767384307537,0.0,0.0
2.68,587.7635615834248,0.0,0.0
2.69,587.7597935093294,0.0,0.0
2.7,587.7560793052304,0.0,0.0
2.71,587.7524182026608,0.0,0.0
2.72,587.7488094445612,0.0,0.0
2.73,587.7452522776942,0.0,0.0
2.74,587.7417459593025,0.0,0.0
2.75,587.7382897622396,0.0,0.0
2.7600000000000002,587.7348829699073,0.0,0.0
2.77,587.7315248761294,0.0,0.0
2.7800000000000002,587.7282147850269,0.0,0.0
2.79,587.7249520108987,0.0,0.0
2.8000000000000003,587.7217358781043,0.0,0.0
2.81,587.7185657209507,0.0,0.0
2.82,587.7154408835826,0.0,0.0
2.83,587.7123607198763,0.0,0.0
2.84,587.7093245933366,0.0,0.0
2.85,587.7063318769978,0.0,0.0
2.86,587.703381953327,0.0,0.0
2.87,587.7004742141331,0.0,0.0
2.88,587.6976080604767,0.0,0.0
2.89,587.6947828993328,0.0,0.0
2.9,587.691998132189,0.0,0.0
2.91,587.6892531797184,0.0,0.0
2.92,587.6865474727009,0.0,0.0
2.93,587.6838804500161,0.0,0.0
2.94,587.6812515585261,0.0,0.0
2.95,587.678660252962,0.0,0.0
2.96,587.6761059958105,0.0,0.0
2.97,587.6735882572043,0.0,0.0
2.98,587.671106514814,0.0,0.0
2.99,587.668660253742,0.0,0.0
3.0,587.666248966419,0.0,0.0
3.0100000000000002,587.6638721525018,0.0,0.0
3.02,587.6615293187741,0.0,0.0
3.0300000000000002,587.6592199790493,0.0,0.0
3.04,587.6569436540751,0.0,0.0
3.0500000000000003,587.6546998115763,0.0,0.0
3.06,587.652488124686,0.0,0.0
3.0700000000000003,587.6503080509474,0.0,0.0
3.08,587.6481591393032,0.0,0.0
3.09,587.6460409449778,0.0,0.0
3.1,587.6439530294264,0.0,0.0
3.11,587.6418949602835,0.0,0.0
3.12,587.6398663113125,0.0,0.0
3.13,587.6378666623544,0.0,0.0
3.14,587.6358955992768,0.0,0.0
3.15,587.6339527139227,0.0,0.0
3.16,587.6320376040597,0.0,0.0
3.17,587.6301498733294,0.0,0.0
3.18,587.6282891311955,0.0,0.0
3.19,587.6264549928935,0.0,0.0
3.2,587.6246470793792,0.0,0.0
3.21,587.6228650172782,0.0,0.0
3.22,587.6211084370108,0.0,0.0
3.23,587.6193769660265,0.0,0.0
3.24,587.6176702438295,0.0,0.0
3.25,587.6159879164222,0.0,0.0
3.2600000000000002,587.614329634998,0.0,0.0
3.27,587.6126950558835,0.0,0.0
3.2800000000000002,587.6110838404799,0.0,0.0
3.29,587.609495655205,0.0,0.0
3.3000000000000003,587.6079301714352,0.0,0.0
3.31,587.6063870654465,0.0,0.0
3.3200000000000003,587.6048660183568,0.0,0.0
3.33,587.6033667160676,0.0,0.0
3.34,587.6018888492056,0.0,0.0
3.35,587.6004321130645,0.0,0.0
3.36,587.5989962075465,0.0,0.0
3.37,587.5975808371048,0.0,0.0
3.38,587.5961857106845,0.0,0.0
3.39,587.5948105416645,0.0,0.0
3.4,587.5934550477999,0.0,0.0
3.41,587.5921189470814,0.0,0.0
3.42,587.590801952364,0.0,0.0
3.43,587.5895037900176,0.0,0.0
3.44,587.5882241909829,0.0,0.0
3.45,587.5869628899887,0.0,0.0
3.46,587.585719625484,0.0,0.0
3.47,587.5844941395699,0.0,0.0
3.48,587.5832861779322,0.0,0.0
3.49,587.5820954897737,0.0,0.0
3.5,587.5809218277456,0.0,0.0
3.5100000000000002,587.5797649478804,0.0,0.0
3.52,587.5786246095239,0.0,0.0
3.5300000000000002,587.5775005752671,0.0,0.0
3.54,587.5763926108787,0.0,0.0
3.5500000000000003,587.575300485237,0.0,0.0
3.56,587.5742239702622,0.0,0.0
3.5700000000000003,587.5731628408488,0.0,0.0
3.58,587.5721168747973,0.0,0.0
3.59,587.5710858527466,0.0,0.0
3.6,587.570069564771,0.0,0.0
3.61,587.5690678103073,0.0,0.0
3.62,587.5680803820214,0.0,0.0
3.63,587.5671070752821,0.0,0.0
3.64,587.566147688277,0.0,0.0
3.65,587.565202021955,0.0,0.0
3.66,587.5642698799682,0.0,0.0
3.67,587.5633510686148,0.0,0.0
3.68,587.5624453967821,0.0,0.0
3.69,587.5615526758876,0.0,0.0
3.7,587.5606727198225,0.0,0.0
3.71,587.5598053448938,0.0,0.0
3.72,587.5589503697666,0.0,0.0
3.73,587.5581076154068,0.0,0.0
3.74,587.5572769050233,0.0,0.0
3.75,587.5564580640106,0.0,0.0
3.7600000000000002,587.555650919891,0.0,0.0
3.77,587.5548553022576,0.0,0.0
3.7800000000000002,587.554071042719,0.0,0.0
3.79,587.5532979873087,0.0,0.0
3.8000000000000003,587.5525359863675,0.0,0.0
3.81,587.5517848821991,0.0,0.0
3.8200000000000003,587.5510445192995,0.0,0.0
3.83,587.5503147443138,0.0,0.0
3.84,587.5495954059917,0.0,0.0
3.85,587.5488863551432,0.0,0.0
3.86,587.548187444595,0.0,0.0
3.87,587.5474985291467,0.0,0.0
3.88,587.5468194655258,0.0,0.0
3.89,587.5461501123449,0.0,0.0
3.9,587.5454903300569,0.0,0.0
3.91,587.5448399809111,0.0,0.0
3.92,587.5441989289094,0.0,0.0
3.93,587.5435670397621,0.0,0.0
3.94,587.542944180844,0.0,0.0
3.95,587.54233022115,0.0,0.0
3.96,587.5417250312519,0.0,0.0
3.97,587.5411284835005,0.0,0.0
3.98,587.5405404625984,0.0,0.0
3.99,587.539960851994,0.0,0.0
4.0,587.539389531687,0.0,0.0
4.01,587.538826383323,0.0,0.0
4.0200000000000005,587.5382712901593,0.0,0.0
4.03,587.5377241370304,0.0,0.0
4.04,587.537184810313,0.0,0.0
4.05,587.5366531978918,0.0,0.0
4.0600000000000005,587.5361291891255,0.0,0.0
4.07,587.5356126748113,0.0,0.0
4.08,587.5351035471513,0.0,0.0
4.09,587.5346016997171,0.0,0.0
4.1,587.5341070274166,0.0,0.0
4.11,587.5336194264579,0.0,0.0
4.12,587.5331387943163,0.0,0.0
4.13,587.5326650296987,0.0,0.0
4.14,587.5321980325097,0.0,0.0
4.15,587.5317377038168,0.0,0.0
4.16,587.5312839466495,0.0,0.0
4.17,587.530836675951,0.0,0.0
4.18,587.53039580222,0.0,0.0
4.19,587.5299612341407,0.0,0.0
4.2,587.5295328816553,0.0,0.0
4.21,587.5291106559375,0.0,0.0
4.22,587.5286944693676,0.0,0.0
4.23,587.5282842355058,0.0,0.0
4.24,587.5278798690671,0.0,0.0
4.25,587.5274812858954,0.0,0.0
4.26,587.5270884029376,0.0,0.0
4.2700000000000005,587.5267011382177,0.0,0.0
4.28,587.5263194108115,0.0,0.0
4.29,587.5259431408206,0.0,0.0
4.3,587.525572249346,0.0,0.0
4.3100000000000005,587.5252066584637,0.0,0.0
4.32,587.5248462911976,0.0,0.0
4.33,587.5244910714944,0.0,0.0
4.34,587.5241409241977,0.0,0.0
4.3500000000000005,587.5237957768039,0.0,0.0
4.36,587.5234555676833,0.0,0.0
4.37,587.5231202283056,0.0,0.0
4.38,587.5227896892972,0.0,0.0
4.39,587.5224638822075,0.0,0.0
4.4,587.5221427394874,0.0,0.0
4.41,587.5218261944674,0.0,0.0
4.42,587.5215141813353,0.0,0.0
4.43,587.521206635115,0.0,0.0
4.44,587.520903491645,0.0,0.0
4.45,587.5206046875554,0.0,0.0
4.46,587.5203101602473,0.0,0.0
4.47,587.5200198478706,0.0,0.0
4.48,587.5197336893019,0.0,0.0
4.49,587.5194516241235,0.0,0.0
4.5,587.5191735926003,0.0,0.0
4.51,587.5188995356597,0.0,0.0
4.5200000000000005,587.5186293948683,0.0,0.0
4.53,587.518363112411,0.0,0.0
4.54,587.5181006310689,0.0,0.0
4.55,587.5178418941978,0.0,0.0
4.5600000000000005,587.5175868457055,0.0,0.0
4.57,587.5173354300315,0.0,0.0
4.58,587.5170875921239,0.0,0.0
4.59,587.5168432778613,0.0,0.0
4.6000000000000005,587.516602450465,0.0,0.0
4.61,587.516365068107,0.0,0.0
4.62,587.5161310817517,0.0,0.0
4.63,587.5159004430323,0.0,0.0
4.64,587.515673104235,0.0,0.0
4.65,587.5154490182853,0.0,0.0
4.66,587.5152281387324,0.0,0.0
4.67,587.5150104197346,0.0,0.0
4.68,587.5147958160445,0.0,0.0
4.69,587.5145842829941,0.0,0.0
4.7,587.5143757764797,0.0,0.0
4.71,587.5141702529476,0.0,0.0
4.72,587.5139676693788,0.0,0.0
4.73,587.5137679832743,0.0,0.0
4.74,587.5135711526403,0.0,0.0
4.75,587.5133771359734,0.0,0.0
4.76,587.5131858922455,0.0,0.0
4.7700000000000005,587.5129973808893,0.0,0.0
4.78,587.5128115617829,0.0,0.0
4.79,587.5126283952359,0.0,0.0
4.8,587.5124478419735,0.0,0.0
4.8100000000000005,587.5122698631224,0.0,0.0
4.82,587.5120944201955,0.0,0.0
4.83,587.5119214750774,0.0,0.0
4.84,587.5117509960234,0.0,0.0
4.8500000000000005,587.511582956331,0.0,0.0
4.86,587.5114173214558,0.0,0.0
4.87,587.5112540572213,0.0,0.0
4.88,587.5110931299106,0.0,0.0
4.89,587.5109345062552,0.0,0.0
4.9,587.5107781534248,0.0,0.0
4.91,587.5106240390162,0.0,0.0
4.92,587.5104721310429,0.0,0.0
4.93,587.5103223979238,0.0,0.0
4.94,587.5101748084733,0.0,0.0
4.95,587.5100293318897,0.0,0.0
4.96,587.5098859377453,0.0,0.0
4.97,587.5097445959749,0.0,0.0
4.98,587.5096052768657,0.0,0.0
4.99,587.5094679510465,0.0,0.0
5.0,587.5093325894763,0.0,0.0
5.01,587.5091991634343,0.0,0.0
5.0200000000000005,587.5090676445093,0.0,0.0
5.03,587.508938004588,0.0,0.0
5.04,587.5088102158452,0.0,0.0
5.05,587.5086842507329,0.0,0.0
5.0600000000000005,587.5085600819693,0.0,0.0
5.07,587.5084376825282,0.0,0.0
5.08,587.5083170274644,0.0,0.0
5.09,587.5081980991455,0.0,0.0
5.1000000000000005,587.5080808739276,0.0,0.0
5.11,587.507965327552,0.0,0.0
5.12,587.5078514360783,0.0,0.0
5.13,587.5077391758773,0.0,0.0
5.14,587.507628523623,0.0,0.0
5.15,587.5075194562849,0.0,0.0
5.16,587.5074119511198,0.0,0.0
5.17,587.5073059856653,0.0,0.0
5.18,587.5072015377307,0.0,0.0
5.19,587.5070985853899,0.0,0.0
5.2,587.5069971069737,0.0,0.0
5.21,587.506897081062,0.0,0.0
5.22,587.5067984864758,0.0,0.0
5.23,587.5067013022698,0.0,0.0
5.24,587.5066055077248,0.0,0.0
5.25,587.5065110823392,0.0,0.0
5.26,587.5064180058224,0.0,0.0
5.2700000000000005,587.5063262580859,0.0,0.0
5.28,587.5062358192364,0.0,0.0
5.29,587.5061466695676,0.0,0.0
5.3,587.5060587895526,0.0,0.0
5.3100000000000005,587.5059721598367,0.0,0.0
5.32,587.505886761579,0.0,0.0
5.33,587.5058025827924,0.0,0.0
5.34,587.5057196084955,0.0,0.0
5.3500000000000005,587.5056378215362,0.0,0.0
5.36,587.5055572049972,0.0,0.0
5.37,587.5054777421904,0.0,0.0
5.38,587.505399416652,0.0,0.0
5.39,587.5053222121377,0.0,0.0
5.4,587.505246112617,0.0,0.0
5.41,587.5051711022686,0.0,0.0
5.42,587.505097165475,0.0,0.0
5.43,587.5050242868175,0.0,0.0
5.44,587.5049524510711,0.0,0.0
5.45,587.504881643199,0.0,0.0
5.46,587.5048118483484,0.0,0.0
5.47,587.5047430518442,0.0,0.0
5.48,587.504675239185,0.0,0.0
5.49,587.504608396037,0.0,0.0
5.5,587.50454250823,0.0,0.0
5.51,587.504477561751,0.0,0.0
5.5200000000000005,587.5044135427399,0.0,0.0
5.53,587.5043504374845,0.0,0.0
5.54,587.504288232415,0.0,0.0
5.55,587.5042269140988,0.0,0.0
5.5600000000000005,587.5041664692358,0.0,0.0
5.57,587.5041066701688,0.0,0.0
5.58,587.504047983447,0.0,0.0
5.59,587.5039901304489,0.0,0.0
5.6000000000000005,587.5039331001101,0.0,0.0
5.61,587.5038768814461,0.0,0.0
5.62,587.5038214635524,0.0,0.0
5.63,587.5037668356046,0.0,0.0
5.64,587.5037129868581,0.0,0.0
5.65,587.5036599066487,0.0,0.0
5.66,587.5036075843921,0.0,0.0
5.67,587.5035560095839,0.0,0.0
5.68,587.5035051717998,0.0,0.0
5.69,587.5034550606955,0.0,0.0
5.7,587.5034056660069,0.0,0.0
5.71,587.5033569775496,0.0,0.0
5.72,587.5033089852196,0.0,0.0
5.73,587.5032616789927,0.0,0.0
5.74,587.5032150489246,0.0,0.0
5.75,587.5031690851516,0.0,0.0
5.76,587.5031237778893,0.0,0.0
5.7700000000000005,587.5030791174338,0.0,0.0
5.78,587.5030350941611,0.0,0.0
5.79,587.5029916985271,0.0,0.0
5.8,587.5029489210681,0.0,0.0
5.8100000000000005,587.5029067535792,0.0,0.0
5.82,587.5028651909284,0.0,0.0
5.83,587.5028242247474,0.0,0.0
5.84,587.5027838464625,0.0,0.0
5.8500000000000005,587.5027440475982,0.0,0.0
5.86,587.5027048197766,0.0,0.0
5.87,587.5026661547175,0.0,0.0
5.88,587.502628044239,0.0,0.0
5.89,587.5025904802565,0.0,0.0
5.9,587.5025534547835,0.0,0.0
5.91,587.5025169599314,0.0,0.0
5.92,587.5024809879093,0.0,0.0
5.93,587.5024455310241,0.0,0.0
5.94,587.5024105816806,0.0,0.0
5.95,587.5023761323813,0.0,0.0
5.96,587.5023421757269,0.0,0.0
5.97,587.5023087044153,0.0,0.0
5.98,587.502275711243,0.0,0.0
5.99,587.5022431891035,0.0,0.0
6.0,587.5022111309889,0.0,0.0
6.01,587.5021795299887,0.0,0.0
6.0200000000000005,587.5021483792901,0.0,0.0
6.03,587.5021176721785,0.0,0.0
6.04,587.5020874020371,0.0,0.0
6.05,587.5020575623466,0.0,0.0
6.0600000000000005,587.5020281466858,0.0,0.0
6.07,587.5019991487311,0.0,0.0
6.08,587.5019705622572,0.0,0.0
6.09,587.5019423811359,0.0,0.0
6.1000000000000005,587.5019145993376,0.0,0.0
6.11,587.5018872112806,0.0,0.0
6.12,587.5018602119683,0.0,0.0
6.13,587.5018335958092,0.0,0.0
6.140000000000001,587.5018073572865,0.0,0.0
6.15,587.5017814909845,0.0,0.0
6.16,587.5017559915898,0.0,0.0
6.17,587.5017308538902,0.0,0.0
6.18,587.5017060727749,0.0,0.0
6.19,587.5016816432353,0.0,0.0
6.2,587.5016575603639,0.0,0.0
6.21,587.5016338193551,0.0,0.0
6.22,587.5016104155047,0.0,0.0
6.23,587.5015873442103,0.0,0.0
6.24,587.5015646009709,0.0,0.0
6.25,587.5015421813875,0.0,0.0
6.26,587.5015200811623,0.0,0.0
6.2700000000000005,587.5014982960993,0.0,0.0
6.28,587.501476822104,0.0,0.0
6.29,587.5014556551837,0.0,0.0
6.3,587.5014347914472,0.0,0.0
6.3100000000000005,587.5014142271049,0.0,0.0
6.32,587.5013939584687,0.0,0.0
6.33,587.5013739819525,0.0,0.0
6.34,587.5013542940713,0.0,0.0
6.3500000000000005,587.5013348914422,0.0,0.0
6.36,587.5013157707834,0.0,0.0
6.37,587.5012969289153,0.0,0.0
6.38,587.5012783627593,0.0,0.0
6.390000000000001,587.5012600693389,0.0,0.0
6.4,587.501242045779,0.0,0.0
6.41,587.5012242849738,0.0,0.0
6.42,587.5012067772558,0.0,0.0
6.43,587.5011895189053,0.0,0.0
6.44,587.5011725063232,0.0,0.0
6.45,587.5011557359767,0.0,0.0
6.46,587.5011392043996,0.0,0.0
6.47,587.5011229081925,0.0,0.0
6.48,587.5011068440225,0.0,0.0
6.49,587.5010910086233,0.0,0.0
6.5,587.5010753987951,0.0,0.0
6.51,587.5010600114049,0.0,0.0
6.5200000000000005,587.5010448433859,0.0,0.0
6.53,587.5010298917382,0.0,0.0
6.54,587.5010151535283,0.0,0.0
6.55,587.5010006258897,0.0,0.0
6.5600000000000005,587.5009863060218,0.0,0.0
6.57,587.5009721911911,0.0,0.0
6.58,587.5009582787305,0.0,0.0
6.59,587.5009445660397,0.0,0.0
6.6000000000000005,587.5009310505847,0.0,0.0
6.61,587.500917729898,0.0,0.0
6.62,587.5009046015791,0.0,0.0
6.63,587.5008916632938,0.0,0.0
6.640000000000001,587.5008789127747,0.0,0.0
6.65,587.5008663478205,0.0,0.0
6.66,587.5008539662972,0.0,0.0
6.67,587.5008417661367,0.0,0.0
6.68,587.5008297453379,0.0,0.0
6.69,587.5008179019662,0.0,0.0
6.7,587.5008062341526,0.0,0.0
6.71,587.5007947361956,0.0,0.0
6.72,587.5007834022098,0.0,0.0
6.73,587.5007722297572,0.0,0.0
6.74,587.5007612164426,0.0,0.0
6.75,587.5007503599123,0.0,0.0
6.76,587.5007396578552,0.0,0.0
6.7700000000000005,587.500729108002,0.0,0.0
6.78,587.5007187081254,0.0,0.0
6.79,587.5007084560405,0.0,0.0
6.8,587.5006983496041,0.0,0.0
