t,v_c,v_n,mcln2_c,mcln2_n,mclb5_c,mclb5_n,sbf_n,sbfwhi5p_n,whi5_n,sbfwhi5_n,cln3_c,cln2_c,cdk1_c,cdk1cln2_c,clb5_c,cdk1clb5_c,cdk1_n,cln3_n,cdk1cln3_n,cdk1cln2_n,cdk1clb5sic1_c,sic1_c,cdk1clb5_n,cdk1clb5sic1p_n,cdk1cln3far1_n,far1_n,cdk1cln3far1p_n,cdk1clb5sic1_n,whi5_c,far1_c,whi5p_c,whi5p_n,sic1P_n,far1P_n
0.1,0.500255065035821,0.5,4.264235843957996e-11,2.2068915267114632e-09,4.264235843957996e-11,2.2068915267114632e-09,1.2771934713390685e-06,8.733285567552427e-10,3.67370373894389e-05,0.02554272193320011,0.00048502512474080914,5.696594873063936e-13,0.3329977568719519,2.6168107431668522e-14,5.627629797542594e-13,2.4459953085300798e-14,0.007578575292075313,2.421945369758982e-07,2.5160150885196466e-10,5.215026511724415e-17,1.6156517152781175e-15,0.039215857292645886,5.9757733487410075e-18,5.642958745250394e-32,8.44293957429847e-13,1.8949795681832698e-06,1.2253976767972182e-26,2.2317544652950206e-17,0.0734202808482364,0.003789180311987797,9.340233704170947e-15,3.8337180205296917e-11,6.752396142311946e-35,4.050238568023217e-29
0.11,0.5002805786946701,0.5,5.674939831858026e-11,2.66514422199103e-09,5.674939831858026e-11,2.66514422199103e-09,1.404917284816037e-06,1.1611444429864197e-09,4.040579706695667e-05,0.025542593921570746,0.00048502763443840835,7.897190707557079e-13,0.3329643073523833,3.6512422529990084e-14,7.800963910176453e-13,3.41282934521148e-14,0.007595157339484869,2.6638052464258363e-07,3.041654925068613e-10,7.278736159651292e-17,2.2550221561299846e-15,0.039214043610574935,8.340571913007749e-18,7.871114279348448e-32,1.1722134580475544e-12,2.084332223423169e-06,1.709255201968634e-26,3.114575216408679e-17,0.07340592481515816,0.0037888387210890336,1.303254886160515e-14,5.3156512117249003e-11,9.418618878824908e-35,5.649503599226343e-29
0.12,0.5003060936547531,0.5,7.372690964119795e-11,3.165501632450604e-09,7.372690964119795e-11,3.165501632450604e-09,1.5326427697313234e-06,1.507448492318899e-09,4.4073658204320254e-05,0.02554246584978178,0.0004850301436316153,1.0571340930344665e-12,0.332930871408823,4.9028468209905504e-14,1.0442128633834587e-12,4.582754168135378e-14,0.007611738392573147,2.9056045599935667e-07,3.6165993581613185e-10,9.772257655216306e-17,3.0275943490441e-15,0.03921223003550755,1.1197985004366926e-17,1.0558948858234425e-31,1.5707847415946234e-12,2.273658453913059e-06,2.292936085531325e-26,4.1805189022784513e-17,0.07339157166731673,0.0037884971988422877,1.7499887920434737e-14,7.116268487606263e-11,1.2634895568009308e-34,7.578707346958201e-29
0.13,0.5003316099161397,0.5,9.384825971681398e-11,3.7076885309762496e-09,9.384825971681398e-11,3.7076885309762496e-09,1.6603701214270354e-06,1.9178265162312477e-09,4.7740620897383096e-05,0.02554233771205206,0.00048503265232053655,1.376056282155362e-12,0.3328974490355298,6.388720451300376e-14,1.3592190575761539e-12,5.971786949677804e-14,0.007628318451937744,3.1473433824539135e-07,4.240721626039205e-10,1.2728491550081648e-16,3.943573902367097e-15,0.03921041656743708,1.4585743459338972e-17,1.374066190389432e-31,2.0461782047456275e-12,2.4629582585513e-06,2.9838673028045214e-26,5.4434220474448474e-17,0.07337722140410242,0.0037881557452330524,2.2803218847103322e-14,9.263430650607681e-11,1.6442149295192363e-34,9.862397341187261e-29
0.14,0.5003571274788995,0.5,1.1738681585480924e-10,4.291429690454026e-09,1.1738681585480924e-10,4.291429690454026e-09,1.7880995352452796e-06,2.3978643262020286e-09,5.1406685241998644e-05,0.025542209502600433,0.0004850351605052787,1.7506373661310866e-12,0.3328640402267628,8.125959148087376e-14,1.7292216343201844e-12,7.595944862214782e-14,0.007644897518176262,3.389021785798616e-07,4.913894966943709e-10,1.61803383959095e-16,5.013166424445603e-15,0.039208603206356885,1.854157811444431e-17,1.7450452838314136e-31,2.6045642441751395e-12,2.65223163623625e-06,3.78947582910745e-26,6.917121176448374e-17,0.07336287402490556,0.0037878143602468207,2.90035096080545e-14,1.178499850316304e-10,2.088130314570128e-34,1.2525121111881984e-28
0.15,0.500382646343102,0.5,1.4461594536456467e-10,4.916449883769996e-09,1.4461594536456467e-10,4.916449883769996e-09,1.915831206528162e-06,2.9531477337098053e-09,5.5071851334020324e-05,0.025542081215645742,0.00048503766818594837,2.1850290729743307e-12,0.3328306449767808,1.0131658915510439e-13,2.1583272543400028e-12,9.47124507812233e-14,0.007661475591886296,3.6306398420194125e-07,5.635992619116268e-10,2.0160698744362034e-16,6.246577523626246e-15,0.03920678995226033,2.3103219806203356e-17,2.1722521083479853e-31,3.2521132565577306e-12,2.8414785858662677e-06,4.7171886397593353e-26,8.615452813829535e-17,0.07334852952911647,0.003787473043869086,3.616172816973184e-14,1.470883284770623e-10,2.5993280204863267e-34,1.5591426189010822e-28
0.16,0.500408166508817,0.5,1.758072632904511e-10,5.5824755417484864e-09,1.758072632904511e-10,5.5824755417484864e-09,2.043565358289019e-06,3.589208914104133e-09,5.873611926906401e-05,0.0255419528454328,0.00048504017536265187,2.683780992229028e-12,0.3327972632798582,1.2427287930716325e-13,2.6510290277691427e-12,1.1617199529932084e-13,0.007678052673663797,3.872197622410104e-07,6.406882428231668e-10,2.473341776667349e-16,7.662135189389287e-15,0.039204976805140776,2.834020737173708e-17,4.188067464385623e-31,3.995602595890748e-12,3.0306991057203686e-06,5.97361117563486e-26,1.0594099209150546e-16,0.07333418791612706,0.003787131796085379,4.435534563160821e-14,1.8065535977258084e-10,9.35310314085068e-34,2.1547859586984328e-28
0.17,0.5004336879761009,0.5,2.1110094237269105e-10,6.289357461804215e-09,2.1110094237269105e-10,6.289357461804215e-09,2.1713042892374115e-06,4.307556646535223e-09,6.239948912492265e-05,0.02554182438815412,0.00048504268203547463,3.2812874207668157e-12,0.33276389513143256,1.5362283307183998e-13,3.240808716835796e-12,1.4315471893523812e-13,0.00769462876398091,4.1136951459100283e-07,7.226027728442168e-10,3.2283583182007437e-16,9.887449959800621e-15,0.03920316376499221,3.670808682418662e-17,1.2401650667073076e-29,4.8873391842155336e-12,3.2198931476188144e-06,2.2706283207216534e-25,1.6047707598863552e-16,0.07331984918544841,0.0037867906168840668,5.489977930451727e-14,2.2091357068951439e-10,4.9144394882858237e-32,2.1756244236303944e-27
0.18,0.5004592107450129,0.5,2.5066347353499863e-10,7.036921539911185e-09,2.5066347353499863e-10,7.036921539911185e-09,2.2990498824742866e-06,5.1105052991919055e-09,6.606196098295779e-05,0.02554169583961223,0.00048504518820450626,4.005966965297966e-12,0.3327305405267083,1.922041420847581e-13,3.9553437982306435e-12,1.7795236216505447e-13,0.007711203863334568,4.3551324419412563e-07,8.092972847675541e-10,4.473150930419633e-16,1.3428138087939759e-14,0.039201350831808486,5.018466320070975e-17,4.5491732326079063e-29,5.970513734497392e-12,3.4090606726841224e-06,6.707117908955873e-25,2.754242241712954e-16,0.0733055133365678,0.0037864495062529487,6.886257732388779e-14,2.6981369420772325e-10,1.8252778400690993e-31,7.538251392877193e-27
0.19,0.5004847348156193,0.5,2.947347959321478e-10,7.824924177628126e-09,2.947347959321478e-10,7.824924177628126e-09,2.426802861228833e-06,6.002617461150574e-09,6.972353493449023e-05,0.025541567194521313,0.0004850476938698481,4.869561402543035e-12,0.33269719946024023,2.4102185069401117e-13,4.806113271061548e-12,2.2139179599659847e-13,0.007727777972290884,4.596509569180841e-07,9.007488149578918e-10,6.270043063618155e-16,1.8449356750946737e-14,0.03919953800558313,6.941447210506533e-17,1.0260620936213733e-28,7.262875635803329e-12,3.5982016679993514e-06,1.428754755511741e-24,4.589037574157151e-16,0.07329118036890582,0.0037861084641782395,8.661953976152691e-14,3.28157335561701e-10,4.12858759146964e-31,1.677328336041716e-26
0.2,0.5005102601879867,0.5,3.435548487189125e-10,8.653121776513759e-09,3.435548487189125e-10,8.653121776513759e-09,2.554563948730241e-06,6.988455721487627e-09,7.338421107084068e-05,0.025541438447595554,0.0004850501990316014,5.88381250922256e-12,0.33266387192658303,3.0108100324769217e-13,5.804596134436365e-12,2.742998914376989e-13,0.007744351091415973,4.837826586305838e-07,9.969343997799422e-10,8.681358168090394e-16,2.511626312596172e-14,0.039197725286309645,9.504204914101211e-17,1.8666223941392618e-28,8.782174277200333e-12,3.7873161206475603e-06,2.5392634932057413e-24,7.190369964981183e-16,0.07327685028188312,0.0037857674906461524,1.0854646668924158e-13,3.9674609998594237e-10,7.519106017637556e-31,3.0350644183057307e-26
0.21,0.5005357868621813,0.5,3.9736357105006675e-10,9.521270738126814e-09,3.9736357105006675e-10,9.521270738126814e-09,2.682333868207699e-06,8.07258266927945e-09,7.704398948332995e-05,0.025541309593549128,0.0004850527036898675,7.060462062057094e-12,0.33263055792029134,3.7338664409389445e-13,6.9622713874629505e-12,3.375035194961836e-13,0.007760923221275947,5.079083551993298e-07,1.0978310755984177e-09,1.1769419694130467e-15,3.3594014390124795e-14,0.03919591267398156,1.2771192991230895e-16,3.005769801201257e-28,1.0546159047755387e-11,3.976404017711805e-06,4.0403097712627e-24,1.063945262194729e-15,0.07326252307492034,0.003785426585642903,1.3501915817883866e-13,4.76381592714942e-10,1.2114565933180099e-30,4.874025771760451e-26
0.22,0.5005613148382695,0.5,4.5640090208038424e-10,1.0429127464026017e-08,4.5640090208038424e-10,1.0429127464026017e-08,2.8101133428903975e-06,9.259560893602445e-09,8.070287026327877e-05,0.02554118062709622,0.0004850552078447476,8.411251837767183e-12,0.3325972574359199,4.589438175807113e-13,8.290618029249162e-12,4.1182955117988117e-13,0.007777494362436919,5.320280524920276e-07,1.2034158787780311e-09,1.559655109203248e-15,4.4047767720576175e-14,0.03919410016859237,1.680686500227146e-16,4.472675891194171e-28,1.257257933653549e-11,4.165465346275146e-06,5.9699653569677374e-24,1.501749875281776e-15,0.0732481987474381,0.003785085749154705,1.664134143021253e-13,5.678654189831941e-10,1.8032700152704592e-30,7.241204782086568e-26
0.23,0.5005868441163176,0.5,5.209067809646393e-10,1.1376448355770095e-08,5.209067809646393e-10,1.1376448355770095e-08,2.9379030960075255e-06,1.0553952983533009e-08,8.436085350200793e-05,0.025541051542951013,0.00048505771149634307,9.947923613073375e-12,0.3325639704680234,5.58757568056236e-13,9.801115058902861e-12,4.981048574966204e-13,0.007794064515465005,5.561417563763828e-07,1.3136658456834953e-09,2.022507581209055e-15,5.664268029445591e-14,0.039192287770135614,2.167567450759881e-16,6.296512240504777e-28,1.487918453260762e-11,4.3545000934206414e-06,8.366302017605975e-24,2.040572156535485e-15,0.07323387729885704,0.0037847449811677734,2.0310503513090847e-13,6.719991840251936e-10,2.539124149081833e-30,1.018359383496478e-25
0.24,0.5006123746963922,0.5,5.911211468576052e-10,1.2362989814917772e-08,5.911211468576052e-10,1.2362989814917772e-08,3.065703850788272e-06,1.1960321528147528e-08,8.801793929083816e-05,0.02554092233582769,0.00048506021464475514,1.1682219164696211e-11,0.33253069701115645,6.738329398685614e-13,1.1505241475531895e-11,5.971563094542291e-13,0.007810633680926316,5.802494727201004e-07,1.4285580126795225e-09,2.571731730459876e-15,7.154390928890409e-14,0.0391904754786048,2.744207506758879e-16,8.506450425519887e-28,1.7483724025038775e-11,4.543508246231346e-06,1.1267391520462517e-23,2.6885334267320795e-15,0.07321955872859778,0.003784404281668322,2.4546982073699497e-13,7.895844930754342e-10,3.43079227621286e-30,1.3748185316075764e-25
0.25,0.5006379065785596,0.5,6.672839389140568e-10,1.3388508243027777e-08,6.672839389140568e-10,1.3388508243027777e-08,3.1935163304618267e-06,1.3483229116522404e-08,9.167412772109026e-05,0.025540793000440425,0.0004850627172900851,1.3625880269356247e-11,0.3324974370598739,8.051749773657811e-13,1.3414476278244133e-11,7.098107780605364e-13,0.007827201859386967,6.04351207390886e-07,1.5480694161308252e-09,3.2135599019851248e-15,8.891661188106093e-14,0.039188663293993425,3.4170520242617323e-16,1.1131662022626299e-27,2.040394720289594e-11,4.7324897917903215e-06,1.4711305632822492e-23,3.4537550066477893e-15,0.07320524303608097,0.003784063650642565,2.93883571192192e-13,9.214229513684111e-10,4.490047678124272e-30,1.7981971611100238e-25
0.26,0.5006634397628861,0.5,7.496350962887673e-10,1.4452760041658837e-08,7.496350962887673e-10,1.4452760041658837e-08,3.3213412582573797e-06,1.5127238337734033e-08,9.532941888408495e-05,0.02554066353150341,0.00048506521943243426,1.5790648703774025e-11,0.33246419060873034,9.537887248959885e-13,1.5540298466147427e-11,8.368951343233704e-13,0.007843769051413069,6.284469662564449e-07,1.6721770924021163e-09,3.9542244408142115e-15,1.0892594524806653e-13,0.039186851216295025,4.1925463593060275e-16,1.420131860821081e-27,2.3657603455246112e-11,4.921444717180625e-06,1.8736116121971016e-23,4.344358217058839e-15,0.07319093022072724,0.0037837230880767175,3.487220865683065e-13,1.0683161641386184e-09,5.7286636362767986e-30,2.2931945105718877e-25
0.27,0.500688974249438,0.5,8.38414558136511e-10,1.5555501612369676e-08,8.38414558136511e-10,1.5555501612369676e-08,3.449179357404119e-06,1.6896911780858803e-08,9.898381287114303e-05,0.025540533923730818,0.00048506772107190384,1.8188266244670097e-11,0.3324309576522805,1.1206792268072765e-12,1.7894187038349637e-11,9.792362492505597e-13,0.007860335257570737,6.525367551844826e-07,1.8008580778581085e-09,4.799957691976546e-15,1.31737066567061e-13,0.039185039245503116,5.077135867929353e-16,1.7744591758660214e-27,2.7262442171156273e-11,5.110373009485314e-06,2.33798947551932e-23,5.3684643787414565e-15,0.07317662028195722,0.003783382593956994,4.103611669371454e-13,1.2310657366205507e-09,7.158413432131169e-30,2.8645098185612386e-25
0.28,0.5007145100382819,0.5,9.338622636120616e-10,1.6696489356719022e-08,9.338622636120616e-10,1.6696489356719022e-08,3.577031351131235e-06,1.8796812034973113e-08,0.00010263730977358524,0.02554040417183684,0.0004850702222085952,2.0830474668765007e-11,0.33239773818507906,1.3068515274477384e-12,2.0487620993958617e-11,1.1376609938499323e-12,0.007876900478426084,6.766205800427044e-07,1.934089408863514e-09,5.75699200050154e-15,1.5751513301518445e-13,0.0391832273816112,6.077265906169296e-16,2.1790653050361307e-27,3.1236212739693413e-11,5.299274655787448e-06,2.8680713299774165e-23,6.5341948124718646e-15,0.07316231321919155,0.003783042168269608,4.791766123705157e-13,1.4104732740487022e-09,8.791070347148112e-30,3.5168423236461444e-25
0.29,0.5007400471294842,0.5,1.0361607494769746e-09,1.7875537184012328e-08,1.0361607494769746e-09,1.7875537184012328e-08,3.7048993426895634e-06,2.082909583285181e-08,0.0001062899096824431,0.025540274271561483,0.0004850727228426089,2.374893139678146e-11,0.3323645322017451,1.5173863402305084e-12,2.3350926109309366e-11,1.3154981488233694e-12,0.007893464714534355,7.006984419475108e-07,2.0718216504300993e-09,6.89596819869679e-15,1.8784539524658947e-13,0.039181415624611256,7.25872278285274e-16,4.491962498032693e-27,3.562787105105036e-11,5.48814961201606e-06,3.849726910666547e-23,7.987045421760123e-15,0.07314800903185471,0.0037827018110008666,5.57209310386534e-13,1.6087158246813747e-09,5.350175110540603e-29,5.722593242454602e-25
0.3,0.5007655855231115,0.5,1.1454602054385946e-09,1.9092491409977483e-08,1.1454602054385946e-09,1.9092491409977483e-08,3.832786212991512e-06,2.299456417347804e-08,0.00010994161268858519,0.02554014421922284,0.0004850752229740452,2.698651659435044e-11,0.3323313396969341,1.759661075288272e-12,2.652504858421609e-11,1.5174863560992806e-12,0.00791002796644466,7.247703393378767e-07,2.213990450590727e-09,8.323822205414516e-15,2.2511334652052044e-13,0.03917960397449438,8.720732266544569e-16,1.1616535124910825e-26,4.050395829678279e-11,5.676997816544462e-06,5.884123566511446e-23,9.949924615518225e-15,0.0731337077193734,0.003782361522137128,6.474384486485624e-13,1.8287455182249223e-09,2.0831966804139783e-28,1.1781234455225364e-24
0.31,0.50079112521923,0.5,1.2619792039621703e-09,2.0347129842078084e-08,1.2619792039621703e-09,2.0347129842078084e-08,3.960693198946837e-06,2.52968841225579e-08,0.00011359241888322461,0.025540014009916935,0.00048507772260300515,3.056238516782401e-11,0.3322981606652248,2.0361978488303683e-12,3.002848268692411e-11,1.7453837636698726e-12,0.00792659023471907,7.48836276312946e-07,2.360562992372155e-09,1.007076090878757e-14,2.7001274037950825e-13,0.03917779243125352,1.049182798597076e-15,2.4246215819221135e-26,4.589383975134743e-11,5.865819244859361e-06,9.117282267187053e-23,1.2482088168912617e-14,0.07311940928116968,0.0037820213016646407,7.508596168312935e-13,2.0718759361991715e-09,4.892114649567475e-28,2.224378270964651e-24
0.32,0.5008166662179063,0.5,1.3859366904265307e-09,2.1639229914179753e-08,1.3859366904265307e-09,2.1639229914179753e-08,4.0886215285000165e-06,2.7739738375398244e-08,0.0001172423283575763,0.025539883638733128,0.0004850802217295897,3.44955626419433e-11,0.3322649951011953,2.349492299557844e-12,3.387960024794095e-11,2.000932265917553e-12,0.007943151519919719,7.728962570027294e-07,2.511506630771795e-09,1.2166572768408871e-14,3.232281047552169e-13,0.03917598099488162,1.260015806246092e-15,4.306238562374348e-26,5.182667795674671e-11,6.054613872649855e-06,1.369274192006229e-22,1.56418994056875e-14,0.0731051137166656,0.003781681149569653,8.684575873997857e-13,2.339411724583922e-09,9.118653247394385e-28,3.765171985479742e-24
0.33,0.5008422085192069,0.5,1.5175516102105044e-09,2.2968569060148098e-08,1.5175516102105044e-09,2.2968569060148098e-08,4.216572429595522e-06,3.0326809627305903e-08,0.0001208913412028553,0.025539753100760784,0.00048508272035389997,3.880507454144943e-11,0.33223184299942393,2.7020400661717454e-12,3.809677309777412e-11,2.2858737572247255e-12,0.007959711822608748,7.96950285537238e-07,2.6667887207870588e-09,1.4641046243871353e-14,3.854439675793099e-13,0.03917416966537163,1.5073870617344649e-15,6.874642558125772e-26,5.833163545498306e-11,6.2433816756050415e-06,1.975404143250614e-22,1.9487721649587053e-14,0.07309082102528322,0.003781341065838412,1.0012171328190978e-12,2.6326575293589737e-09,1.4919694302774554e-27,5.8546527739757666e-24
0.34,0.5008677521231981,0.5,1.6570429086929213e-09,2.433492471384873e-08,1.6570429086929213e-09,2.433492471384873e-08,4.3445471301778305e-06,3.3061780573587734e-08,0.00012453945751027655,0.025539622391089253,0.00048508521847603697,4.350994639108354e-11,0.33219870435448895,3.0963367873731173e-12,4.269837306693114e-11,2.6019501319737977e-12,0.007976271143348293,8.209983660464826e-07,2.826376617415358e-09,1.752396979476795e-14,4.573448567834511e-13,0.03917235844271651,1.7941113771951558e-15,1.01979716734544e-25,6.543787478805888e-11,6.432122629414019e-06,2.744471971188754e-22,2.4077918224355505e-14,0.07307653120644456,0.003781001050457167,1.150123025554289e-12,2.9529179965041267e-09,2.245211964458783e-27,8.546968821360651e-24
0.35000000000000003,0.5008932970299464,0.5,1.80462953125261e-09,2.573807430914726e-08,1.80462953125261e-09,2.573807430914726e-08,4.472546858191416e-06,3.594833390955057e-08,0.00012818667737105505,0.025539491504807905,0.0004850877160961017,4.8629203715586745e-11,0.33216557916096856,3.534878101863007e-12,4.770277198591955e-11,2.9509032845471754e-12,0.00799282948270049,8.450405026604741e-07,2.9902376756541054e-09,2.0845131880691575e-14,5.396153002993042e-13,0.03917054732690919,2.1230035647611267e-15,1.434436401263821e-25,7.317455849797666e-11,6.6208367097658875e-06,3.6908315665575455e-22,2.947085245373703e-14,0.07306224425957168,0.003780661103412166,1.3161600380704191e-12,3.3014977719991806e-09,3.187281110171406e-27,1.1896268312542358e-23
0.36,0.5009188432395182,0.5,1.960530423268399e-09,2.7177795279909295e-08,1.960530423268399e-09,2.7177795279909295e-08,4.600572841580753e-06,3.8990152330501254e-08,0.00013183300087640578,0.025539360437006095,0.0004850902132141953,5.418187203970017e-11,0.33213246741344116,4.020159648342459e-12,5.312834168524682e-11,3.3344751093272613e-12,0.008009386841227479,8.690766995092234e-07,3.15833925050071e-09,2.4634320961235145e-14,6.329398260585325e-13,0.03916873631794264,2.496878436565335e-15,1.9381957679955197e-25,8.157084912673873e-11,6.809523892349744e-06,4.8288368200938785e-22,3.5724887661475806e-14,0.07304796018408664,0.003780321224689656,1.5003129428325454e-12,3.6797015018239333e-09,4.333865050303306e-27,1.5956699432428796e-23
