t,OVA,O2VAD1
2.32,204.5071464864162,2.36525525463574e-07
2.33,204.5071464863947,2.3652434298329713e-07
2.34,204.5071464863732,2.3652316050302023e-07
2.35,204.5071464863517,2.3652197802274337e-07
2.36,204.5071464863302,2.365207955424665e-07
2.37,204.5071464863087,2.365196130621896e-07
2.38,204.5071464862872,2.3651843058191275e-07
2.39,204.5071464862657,2.3651724810163585e-07
2.4,204.5071464862442,2.36516065621359e-07
2.41,204.50714648622272,2.3651488314108212e-07
2.42,204.5071464862012,2.3651370066080523e-07
2.43,204.50714648617972,2.3651251818052836e-07
2.44,204.5071464861582,2.365113357002515e-07
2.45,204.50714648613672,2.365101532199746e-07
2.46,204.50714648611523,2.3650897073969774e-07
2.47,204.50714648609372,2.3650778825942087e-07
2.48,204.50714648607223,2.3650660577914398e-07
2.49,204.50714648605071,2.3650542329886712e-07
2.5,204.50714648602923,2.3650424081859022e-07
2.5100000000000002,204.50714648600774,2.3650305833831336e-07
2.52,204.50714648598623,2.365018758580365e-07
2.5300000000000002,204.50714648596474,2.365006933777596e-07
2.54,204.50714648594322,2.3649951089748274e-07
2.5500000000000003,204.50714648592174,2.3649832841720587e-07
2.56,204.50714648590025,2.3649714593692898e-07
2.57,204.5071464858789,2.3649596390198334e-07
2.58,204.50714648585938,2.3649478715064849e-07
2.59,204.50714648583988,2.3649361039931363e-07
2.6,204.50714648582036,2.364924336479788e-07
2.61,204.50714648580083,2.3649125689664396e-07
2.62,204.50714648578133,2.364900801453091e-07
2.63,204.5071464857618,2.3648890339397425e-07
2.64,204.50714648574228,2.3648772664263943e-07
2.65,204.50714648572276,2.3648654989130458e-07
2.66,204.50714648570326,2.3648537313996973e-07
2.67,204.50714648568373,2.3648419638863487e-07
2.68,204.5071464856642,2.3648301963730005e-07
2.69,204.5071464856447,2.364818428859652e-07
2.7,204.50714648562519,2.3648066613463035e-07
2.71,204.50714648560566,2.364794893832955e-07
2.72,204.50714648558616,2.3647831263196067e-07
2.73,204.50714648556664,2.3647713588062582e-07
2.74,204.5071464855471,2.3647595912929097e-07
2.75,204.5071464855276,2.3647478237795614e-07
2.7600000000000002,204.5071464855081,2.364736056266213e-07
2.77,204.50714648548856,2.3647242887528644e-07
2.7800000000000002,204.50714648546906,2.3647125212395159e-07
2.79,204.50714648544954,2.3647007537261676e-07
2.8000000000000003,204.50714648543,2.364688986212819e-07
2.81,204.50714648541052,2.3646772186994706e-07
2.82,204.507146485391,2.364665451186122e-07
2.83,204.50714648537146,2.3646536836727738e-07
2.84,204.50714648535194,2.3646419161594253e-07
2.85,204.50714648533244,2.3646301486460768e-07
2.86,204.50714648531292,2.3646183811327283e-07
2.87,204.5071464852934,2.36460661361938e-07
2.88,204.5071464852739,2.3645948461060315e-07
2.89,204.50714648525437,2.364583078592683e-07
2.9,204.50714648523484,2.3645713110793347e-07
2.91,204.50714648521534,2.3645595435659862e-07
2.92,204.50714648519582,2.3645477760526377e-07
2.93,204.5071464851763,2.3645360085392892e-07
2.94,204.5071464851568,2.364524241025941e-07
2.95,204.50714648513727,2.3645124735125924e-07
2.96,204.50714648511774,2.364500705999244e-07
2.97,204.50714648509825,2.3644889384858954e-07
2.98,204.50714648507872,2.3644771709725471e-07
2.99,204.5071464850592,2.3644654034591986e-07
3.0,204.5071464850397,2.36445363594585e-07
3.0100000000000002,204.50714648502017,2.3644418684325016e-07
3.02,204.50714648500065,2.3644301009191534e-07
3.0300000000000002,204.50714648498115,2.3644183334058048e-07
3.04,204.50714648496162,2.3644065658924563e-07
3.0500000000000003,204.5071464849421,2.364394798379108e-07
3.06,204.50714648492257,2.3643830308657596e-07
3.0700000000000003,204.50714648490307,2.364371263352411e-07
3.08,204.50714648488355,2.3643594958390625e-07
3.09,204.50714648486402,2.3643477283257143e-07
3.1,204.50714648484453,2.3643359608123658e-07
3.11,204.507146484825,2.3643241932990172e-07
3.12,204.50714648480547,2.3643124257856687e-07
3.13,204.50714648478598,2.3643006582723205e-07
3.14,204.50714648476645,2.364288890758972e-07
3.15,204.50714648474693,2.3642771232456234e-07
3.16,204.50714648472743,2.364265355732275e-07
3.17,204.5071464847079,2.3642535882189267e-07
3.18,204.50714648468838,2.3642418207055782e-07
3.19,204.50714648466888,2.3642300531922296e-07
3.2,204.50714648464935,2.3642182856788814e-07
3.21,204.50714648462983,2.364206518165533e-07
3.22,204.50714648461033,2.3641947506521844e-07
3.23,204.5071464845908,2.3641829831388359e-07
3.24,204.50714648457128,2.3641712156254876e-07
3.25,204.50714648455175,2.364159448112139e-07
3.2600000000000002,204.50714648453226,2.3641476805987906e-07
3.27,204.50714648451273,2.364135913085442e-07
3.2800000000000002,204.5071464844932,2.3641241455720938e-07
3.29,204.5071464844737,2.3641123780587453e-07
3.3000000000000003,204.50714648445418,2.3641006105453968e-07
3.31,204.50714648443466,2.3640888430320483e-07
3.3200000000000003,204.50714648441516,2.3640770755187e-07
3.33,204.50714648439563,2.3640653080053515e-07
3.34,204.5071464843761,2.364053540492003e-07
3.35,204.5071464843566,2.3640417729786547e-07
3.36,204.50714648433708,2.3640300054653062e-07
3.37,204.50714648431756,2.3640182379519577e-07
3.38,204.50714648429806,2.3640064704386092e-07
3.39,204.50714648427854,2.363994702925261e-07
3.4,204.507146484259,2.3639829354119124e-07
3.41,204.5071464842395,2.363971167898564e-07
3.42,204.50714648422,2.3639594003852154e-07
3.43,204.50714648420046,2.3639476328718671e-07
3.44,204.50714648418094,2.3639358653585186e-07
3.45,204.50714648416144,2.36392409784517e-07
3.46,204.5071464841419,2.3639123303318216e-07
3.47,204.5071464841224,2.3639005628184733e-07
3.48,204.5071464841029,2.3638887953051248e-07
3.49,204.50714648408336,2.3638770277917763e-07
3.5,204.50714648406384,2.363865260278428e-07
3.5100000000000002,204.50714648404434,2.3638534927650795e-07
3.52,204.50714648402482,2.363841725251731e-07
3.5300000000000002,204.5071464840053,2.3638299577383825e-07
3.54,204.5071464839858,2.3638181902250343e-07
3.5500000000000003,204.50714648396627,2.3638064227116857e-07
3.56,204.50714648394674,2.3637946551983372e-07
3.5700000000000003,204.50714648392724,2.3637828876849887e-07
3.58,204.50714648390772,2.3637711201716405e-07
3.59,204.5071464838882,2.363759352658292e-07
3.6,204.5071464838687,2.3637475851449434e-07
3.61,204.50714648384917,2.363735817631595e-07
3.62,204.50714648382964,2.3637240501182467e-07
3.63,204.50714648381015,2.3637122826048982e-07
3.64,204.50714648379062,2.3637005150915496e-07
3.65,204.5071464837711,2.3636887475782014e-07
3.66,204.50714648375157,2.363676980064853e-07
3.67,204.50714648373207,2.3636652125515044e-07
3.68,204.50714648371255,2.3636534450381558e-07
3.69,204.50714648369302,2.3636416775248076e-07
3.7,204.50714648367352,2.363629910011459e-07
3.71,204.507146483654,2.3636181424981106e-07
3.72,204.50714648363447,2.363606374984762e-07
3.73,204.50714648361497,2.3635946074714138e-07
3.74,204.50714648359545,2.3635828399580653e-07
3.75,204.50714648357592,2.3635710724447168e-07
3.7600000000000002,204.50714648355643,2.3635593049313682e-07
3.77,204.5071464835369,2.36354753741802e-07
3.7800000000000002,204.50714648351737,2.3635357699046715e-07
3.79,204.50714648349788,2.363524002391323e-07
3.8000000000000003,204.50714648347835,2.3635122348779747e-07
3.81,204.50714648345883,2.3635004673646262e-07
3.8200000000000003,204.50714648343933,2.3634886998512777e-07
3.83,204.5071464834198,2.3634769323379292e-07
3.84,204.50714648340028,2.363465164824581e-07
3.85,204.50714648338075,2.3634533973112324e-07
3.86,204.50714648336125,2.363441629797884e-07
3.87,204.50714648334173,2.3634298622845354e-07
3.88,204.5071464833222,2.363418094771187e-07
3.89,204.5071464833027,2.3634063272578386e-07
3.9,204.50714648328318,2.36339455974449e-07
3.91,204.50714648326365,2.3633827922311416e-07
3.92,204.50714648324416,2.3633710247177933e-07
3.93,204.50714648322463,2.3633592572044448e-07
3.94,204.5071464832051,2.3633474896910963e-07
3.95,204.5071464831856,2.363335722177748e-07
3.96,204.50714648316608,2.3633239546643995e-07
3.97,204.50714648314656,2.363312187151051e-07
3.98,204.50714648312706,2.3633004196377025e-07
3.99,204.50714648310753,2.3632886521243542e-07
4.0,204.507146483088,2.3632768846110057e-07
4.01,204.5071464830685,2.3632651170976572e-07
4.0200000000000005,204.50714648304898,2.3632533495843087e-07
4.03,204.50714648302946,2.3632415820709604e-07
4.04,204.50714648300993,2.363229814557612e-07
4.05,204.50714648299044,2.3632180470442634e-07
4.0600000000000005,204.5071464829709,2.363206279530915e-07
4.07,204.50714648295138,2.3631945120175667e-07
4.08,204.5071464829319,2.3631827445042181e-07
4.09,204.50714648291236,2.3631709769908696e-07
4.1,204.50714648289284,2.3631592094775214e-07
4.11,204.50714648287334,2.3631474419641729e-07
4.12,204.5071464828538,2.3631356744508243e-07
4.13,204.5071464828343,2.3631239069374758e-07
4.14,204.5071464828148,2.3631121394241276e-07
4.15,204.50714648279526,2.363100371910779e-07
4.16,204.50714648277574,2.3630886043974305e-07
4.17,204.50714648275624,2.363076836884082e-07
4.18,204.50714648273672,2.3630650693707338e-07
4.19,204.5071464827172,2.3630533018573853e-07
4.2,204.5071464826977,2.3630415343440367e-07
4.21,204.50714648267817,2.3630297668306882e-07
4.22,204.50714648265864,2.36301799931734e-07
4.23,204.50714648263911,2.3630062318039915e-07
4.24,204.50714648261962,2.362994464290643e-07
4.25,204.5071464826001,2.3629826967772947e-07
4.26,204.50714648258057,2.3629709292639462e-07
4.2700000000000005,204.50714648256107,2.3629591617505977e-07
4.28,204.50714648254154,2.3629473942372492e-07
4.29,204.50714648252202,2.362935626723901e-07
4.3,204.50714648250252,2.3629238592105524e-07
4.3100000000000005,204.507146482483,2.362912091697204e-07
4.32,204.50714648246347,2.3629003241838554e-07
4.33,204.50714648244397,2.362888556670507e-07
4.34,204.50714648242445,2.3628767891571586e-07
4.3500000000000005,204.50714648240492,2.36286502164381e-07
4.36,204.50714648238542,2.3628532541304616e-07
4.37,204.5071464823659,2.3628414866171133e-07
4.38,204.50714648234637,2.3628297191037648e-07
4.39,204.50714648232687,2.3628179515904163e-07
4.4,204.50714648230735,2.362806184077068e-07
4.41,204.50714648228782,2.3627944165637195e-07
4.42,204.50714648226833,2.362782649050371e-07
4.43,204.5071464822488,2.3627708815370225e-07
4.44,204.50714648222927,2.3627591140236742e-07
4.45,204.50714648220975,2.3627473465103257e-07
4.46,204.50714648219025,2.3627355789969772e-07
4.47,204.50714648217073,2.3627238114836287e-07
4.48,204.5071464821512,2.3627120439702804e-07
4.49,204.5071464821317,2.362700276456932e-07
4.5,204.50714648211218,2.3626885089435834e-07
4.51,204.50714648209265,2.362676741430235e-07
4.5200000000000005,204.50714648207315,2.3626649739168866e-07
4.53,204.50714648205363,2.362653206403538e-07
4.54,204.5071464820341,2.3626414388901896e-07
4.55,204.5071464820146,2.3626296713768414e-07
4.5600000000000005,204.50714648199508,2.3626179038634928e-07
4.57,204.50714648197555,2.3626061363501443e-07
4.58,204.50714648195606,2.3625943688367958e-07
4.59,204.50714648193653,2.3625826013234476e-07
4.6000000000000005,204.507146481917,2.362570833810099e-07
4.61,204.5071464818975,2.3625590662967505e-07
4.62,204.50714648187798,2.362547298783402e-07
4.63,204.50714648185846,2.3625355312700538e-07
4.64,204.50714648183893,2.3625237637567052e-07
4.65,204.50714648181943,2.3625119962433567e-07
4.66,204.5071464817999,2.3625002287300082e-07
4.67,204.50714648178038,2.36248846121666e-07
4.68,204.50714648176088,2.3624766937033115e-07
4.69,204.50714648174136,2.362464926189963e-07
4.7,204.50714648172183,2.3624531586766147e-07
4.71,204.50714648170234,2.3624413911632662e-07
4.72,204.5071464816828,2.3624296236499177e-07
4.73,204.50714648166328,2.3624178561365691e-07
4.74,204.5071464816438,2.362406088623221e-07
4.75,204.50714648162426,2.3623943211098724e-07
4.76,204.50714648160474,2.3623825535965239e-07
4.7700000000000005,204.50714648158524,2.3623707860831753e-07
4.78,204.5071464815657,2.362359018569827e-07
4.79,204.5071464815462,2.3623472510564786e-07
4.8,204.5071464815267,2.36233548354313e-07
4.8100000000000005,204.50714648150716,2.3623237160297815e-07
4.82,204.50714648148764,2.3623119485164333e-07
4.83,204.5071464814681,2.3623001810030848e-07
4.84,204.50714648144861,2.3622884134897363e-07
4.8500000000000005,204.5071464814291,2.362276645976388e-07
4.86,204.50714648140956,2.3622648784630395e-07
4.87,204.50714648139007,2.362253110949691e-07
4.88,204.50714648137054,2.3622413434363425e-07
4.89,204.50714648135101,2.3622295759229942e-07
4.9,204.50714648133152,2.3622178084096457e-07
4.91,204.507146481312,2.3622060408962972e-07
4.92,204.50714648129247,2.3621942733829487e-07
4.93,204.50714648127297,2.3621825058696004e-07
4.94,204.50714648125344,2.362170738356252e-07
4.95,204.50714648123392,2.3621589708429034e-07
4.96,204.50714648121442,2.362147203329555e-07
4.97,204.5071464811949,2.3621354358162066e-07
4.98,204.50714648117537,2.362123668302858e-07
4.99,204.50714648115587,2.3621119007895096e-07
5.0,204.50714648113635,2.3621001332761613e-07
5.01,204.50714648111682,2.3620883657628128e-07
5.0200000000000005,204.5071464810973,2.3620765982494643e-07
5.03,204.5071464810778,2.3620648307361158e-07
5.04,204.50714648105827,2.3620530632227675e-07
5.05,204.50714648103875,2.362041295709419e-07
5.0600000000000005,204.50714648101925,2.3620295281960705e-07
5.07,204.50714648099972,2.362017760682722e-07
5.08,204.5071464809802,2.3620059931693737e-07
5.09,204.5071464809607,2.3619942256560252e-07
5.1000000000000005,204.50714648094117,2.3619824581426767e-07
5.11,204.50714648092165,2.3619706906293282e-07
5.12,204.50714648090215,2.36195892311598e-07
5.13,204.50714648088262,2.3619471556026314e-07
5.14,204.5071464808631,2.361935388089283e-07
5.15,204.5071464808436,2.3619236205759347e-07
5.16,204.50714648082408,2.3619118530625862e-07
5.17,204.50714648080455,2.3619000855492376e-07
5.18,204.50714648078505,2.361888318035889e-07
5.19,204.50714648076553,2.361876550522541e-07
5.2,204.507146480746,2.3618647830091924e-07
5.21,204.5071464807265,2.3618530154958438e-07
5.22,204.50714648070698,2.3618412479824953e-07
5.23,204.50714648068745,2.361829480469147e-07
5.24,204.50714648066793,2.3618177129557986e-07
5.25,204.50714648064843,2.36180594544245e-07
5.26,204.5071464806289,2.3617941779291015e-07
5.2700000000000005,204.50714648060938,2.3617824104157533e-07
5.28,204.50714648058988,2.3617706429024048e-07
5.29,204.50714648057036,2.3617588753890563e-07
5.3,204.50714648055083,2.361747107875708e-07
5.3100000000000005,204.50714648053133,2.3617353403623595e-07
5.32,204.5071464805118,2.361723572849011e-07
5.33,204.50714648049228,2.3617118053356625e-07
5.34,204.50714648047278,2.3617000378223142e-07
5.3500000000000005,204.50714648045326,2.3616882703089657e-07
5.36,204.50714648043373,2.3616765027956172e-07
5.37,204.50714648041424,2.3616647352822687e-07
5.38,204.5071464803947,2.3616529677689204e-07
5.39,204.50714648037518,2.361641200255572e-07
5.4,204.5071464803557,2.3616294327422234e-07
5.41,204.50714648033616,2.3616176652288749e-07
5.42,204.50714648031664,2.3616058977155266e-07
5.43,204.5071464802971,2.361594130202178e-07
5.44,204.5071464802776,2.3615823626888296e-07
5.45,204.5071464802581,2.3615705951754813e-07
5.46,204.50714648023856,2.3615588276621328e-07
5.47,204.50714648021906,2.3615470601487843e-07
5.48,204.50714648019954,2.3615352926354358e-07
5.49,204.50714648018,2.3615235251220875e-07
5.5,204.50714648016051,2.361511757608739e-07
5.51,204.507146480141,2.3614999900953905e-07
5.5200000000000005,204.50714648012146,2.361488222582042e-07
5.53,204.50714648010197,2.3614764550686937e-07
5.54,204.50714648008244,2.3614646875553452e-07
5.55,204.50714648006291,2.3614529200419967e-07
5.5600000000000005,204.50714648004342,2.3614411525286482e-07
5.57,204.5071464800239,2.3614293850153e-07
5.58,204.50714648000437,2.3614176175019514e-07
5.59,204.50714647998487,2.361405849988603e-07
5.6000000000000005,204.50714647996534,2.3613940824752547e-07
5.61,204.50714647994582,2.3613823149619061e-07
5.62,204.5071464799263,2.3613705474485576e-07
5.63,204.5071464799068,2.361358779935209e-07
5.64,204.50714647988727,2.3613470124218609e-07
5.65,204.50714647986774,2.3613352449085123e-07
5.66,204.50714647984825,2.3613234773951638e-07
5.67,204.50714647982872,2.3613117098818153e-07
5.68,204.5071464798092,2.361299942368467e-07
5.69,204.5071464797897,2.3612881748551185e-07
5.7,204.50714647977017,2.36127640734177e-07
5.71,204.50714647975065,2.3612646398284215e-07
5.72,204.50714647973115,2.3612528723150733e-07
5.73,204.50714647971162,2.3612411048017248e-07
