t,Cdc25,UbE,UbE2,Wee1,G1K,G2K,PG2,G2R,R,G1R,PG2R,mass,IE
0.14,3.407409979416108e-05,0.9861396408625012,2.9507929035980806e-05,0.0317648245189306,0.0001877655548427408,0.00037979882622259645,4.0467174638810517e-07,0.0016774277953019345,0.4007800964376096,5.6694276366940586e-05,1.332052502941243e-06,0.5003466200899892,1.0057351094678765e-05
0.15,3.664969597616108e-05,0.9851496967491696,3.1308255899535116e-05,0.034029603276803586,0.0001976418906581091,0.0003812061839596318,4.1578560157264263e-07,0.0018197249893532918,0.4008057562785373,6.424522711798581e-05,1.48825838058202e-06,0.5003713878606809,1.053549759346635e-05
0.16,3.9173719939840503e-05,0.9841597635163718,3.301618412284668e-05,0.036293832366351995,0.00020714788726587148,0.00038247240335372967,4.2631027180709845e-07,0.0019617406340378236,0.4008309372983902,7.216283473832312e-05,1.647889081799428e-06,0.5003961568574077,1.0973247078974933e-05
0.17,4.164637796437074e-05,0.9831698411383153,3.4635994052817216e-05,0.0385575113765848,0.0002162992049491525,0.0003836447474062793,4.3642088985968194e-07,0.002103429381402528,0.4008557047127127,8.043157470298029e-05,1.8107245534353515e-06,0.5004209270802301,1.1373992361631826e-05
0.18,4.406822728046479e-05,0.9821799295900171,3.617208782975028e-05,0.040820639750301785,0.000225110853131911,0.0003847543751174709,4.4624757958433793e-07,0.002244761982329715,0.40088010622107767,8.903656789406799e-05,1.9766063388336674e-06,0.500445698529209,1.1740958793482203e-05
0.19,4.644009137419082e-05,0.9811900288475963,3.7628924673567085e-05,0.043083216796024906,0.0002335972940658782,0.0003858202385800256,4.5588457245561573e-07,0.002385721400287696,0.40090417617968344,9.796347779251457e-05,2.1454245915242102e-06,0.5004704712044051,1.2077199715462963e-05
0.2,4.876298410586833e-05,0.9802001388875853,3.9011152811113376e-05,0.04534524164905805,0.00024177340836158847,0.00038685601156222913,4.6540249029956083e-07,0.0025262960245195283,0.400927943789026,0.00010719755333580479,2.317098854597194e-06,0.5004952451058848,1.238571543666609e-05
0.21,5.103784650422512e-05,0.9792102596915953,4.032267158887321e-05,0.047606713478154275,0.000249651644282764,0.0003878701069790582,4.748443644871094e-07,0.002666479237970418,0.4009514302669413,0.00011672645473940633,2.491581237774595e-06,0.5005200202337059,1.2668903999129209e-05
0.22,5.326571532088159e-05,0.9782203912421163,4.156743738556828e-05,0.04986763130827524,0.00025724465390974304,0.0003888686408036866,4.842439667883413e-07,0.0028062668270413,0.4009746545865639,0.00012653764033005796,2.6688357200169688e-06,0.5005447965879297,1.29290903776092e-05
0.23,5.5447477961687304e-05,0.9772305335256424,4.274869348877761e-05,0.052127994264838565,0.000264562866839073,0.00038985582426360777,4.93625267200251e-07,0.0029456561945762345,0.40099763149163264,0.00013662077159041098,2.8488374587464574e-06,0.5005695741686087,1.3168125367371183e-05
0.24,5.758420913154395e-05,0.9762406865276928,4.3870187970001596e-05,0.05438780123976927,0.00027161840575612895,0.0003908354363759025,5.030108132246738e-07,0.0030846454965656484,0.4010203769161523,0.00014696383178303943,3.0315642217764065e-06,0.5005943529758056,1.338807668462486e-05
0.25,5.9676706184556425e-05,0.9752508502410531,4.493439357927573e-05,0.05664705130807592,0.0002784194065983212,0.000391808124106665,5.124067546246023e-07,0.0032232354963269566,0.4010428995097919,0.00015755875622854186,3.2170124725253593e-06,0.5006191330095671,1.3590185076554792e-05
0.26,6.172635917672978e-05,0.9742610246497966,4.5945913537750914e-05,0.05890574295483577,0.00028498086762637726,0.0003927770624631951,5.218338534706651e-07,0.0033614255015150733,0.40106521736275447,0.00016839067786700708,3.4051637463121414e-06,0.5006439142699741,1.3776892016545372e-05
0.27,6.373426285519395e-05,0.9732712097453184,4.690808824844373e-05,0.061163874855210805,0.00029131391207526283,0.0003937434771733658,5.31301579739771e-07,0.0034992162657383917,0.4010873426257099,0.00017944857088781648,3.5960118972387407e-06,0.5006686967570919,1.3949846678987532e-05
0.28,6.570127459820117e-05,0.9722814055259039,4.782316527727597e-05,0.06342144580500154,0.0002974263494317662,0.00039470660392973894,5.408081450226944e-07,0.0036366101296845016,0.4011092820153395,0.00019072469437405042,3.789563348200042e-06,0.5006934804709733,1.4109986923531907e-05
0.29,6.762839765639295e-05,0.9712916119863471,4.8694017951729226e-05,0.06567845449884821,0.00030332791624724544,0.0003956667185008969,5.503577601697431e-07,0.003773608648133355,0.4011310452737918,0.00020220939713584644,3.985817975896303e-06,0.5007182654116787,1.4258645484282947e-05
0.3,6.951659606546889e-05,0.9703018291273539,4.9523044603098416e-05,0.06793489947769765,0.0003090270989686335,0.0003966225929008661,5.599468685835532e-07,0.003910214855043426,0.4011526392284903,0.0002138942672776688,4.184785300926418e-06,0.5007430515792692,1.4396766086910006e-05
0.31,7.136884498327222e-05,0.9693120569526368,5.0317697846655184e-05,0.07019077597117426,0.0003145507492580467,0.00039757445780711577,5.695793333199895e-07,0.004046434352269943,0.4011740897128177,0.00022575268906404938,4.3864748837718485e-06,0.5007678389739413,1.452732049752988e-05
0.32,7.318043128832282e-05,0.9683222954512387,5.106637312033909e-05,0.07244609189135134,0.0003198563742225364,0.0003985196747578585,5.792420476533825e-07,0.004182260296210844,0.4011953536226743,0.00023782678188851044,4.590881258342759e-06,0.5007926275953742,1.4645778517474379e-05
0.33,7.495705985899663e-05,0.9673325446374106,5.1783074099477444e-05,0.07470083759719233,0.0003249953783805717,0.0003994617747828116,5.889518350580087e-07,0.004317700674493484,0.4012164834272568,0.00025006559309075056,4.798009689528754e-06,0.500817417443958,1.4757585480804036e-05
0.34,7.669882664674584e-05,0.9663428045126268,5.246798769038987e-05,0.07695501285639264,0.0003299685905887456,0.0004004011884701437,5.987082678578894e-07,0.004452755297134075,0.4012374803279715,0.0002624683011188934,5.007860491460488e-06,0.500842208519701,1.4862786428145964e-05
0.35000000000000003,7.840612018555105e-05,0.9653530750826783,5.312187475715905e-05,0.07920861673963973,0.0003347793529663464,0.0004013395196312368,6.085097272916018e-07,0.004587423524237296,0.4012583490351279,0.0002750315933059705,5.220435009848431e-06,0.5008670008226365,1.4961569774450112e-05
0.36,8.007976980933073e-05,0.9643633563545555,5.3746480728030886e-05,0.08146164760525752,0.00033943437311182746,0.0004022759819398667,6.183561622679873e-07,0.0047217078876447965,0.4012790949487655,0.0002877488211098502,5.435738337317911e-06,0.5008917943528248,1.5054519415271414e-05
0.37,8.172050615411613e-05,0.963373648335029,5.434331771470184e-05,0.08371410396601507,0.00034393951558215615,0.0004032099425264051,6.282481957498782e-07,0.004855610578874307,0.40129972282838955,0.00030061417161574466,5.653774252259408e-06,0.5009165891103197,1.5142132046314213e-05
0.38,8.332918652963964e-05,0.9623839510334118,5.49141090018085e-05,0.08596598398677534,0.00034830161112953025,0.0004041410177152991,6.381870493528349e-07,0.0049891338653260675,0.4013202385453975,0.00031362087423801566,5.874546278368284e-06,0.5009413850951865,1.522494951386084e-05
0.39,8.490687794535283e-05,0.9613942644641807,5.546088464679647e-05,0.08821728519441874,0.00035252900299467924,0.0004050692799614568,6.481724283356306e-07,0.005122280130591417,0.40134064974012496,0.00032676065924902624,6.098059973700291e-06,0.5009661823075111,1.5303562612390346e-05
0.4,8.645386961604316e-05,0.9604045886312834,5.5984193981223714e-05,0.09046800691708494,0.00035662395134964503,0.00040599475325397234,6.582042384141199e-07,0.005255050017288554,0.4013609584860971,0.0003400312863915264,6.324316854096126e-06,0.5009909807473168,1.53781308102237e-05
0.41000000000000003,8.797102782896258e-05,0.9594149235487757,5.6485589365924417e-05,0.09271814697082803,0.0003605930168315631,0.0004069175040198763,6.682819125258852e-07,0.0053874455305214855,0.40138117071775853,0.00035342625287091084,6.553321828133634e-06,0.5010157804146765,1.544908001283114e-05
0.42,8.945918133195325e-05,0.9584252692301045,5.6966555892233784e-05,0.09496770326634048,0.00036444247578105505,0.0004078375958076716,6.784049081814075e-07,0.005519468588505689,0.40140129211239245,0.00036693933768255866,6.785079591683948e-06,0.5010405813096602,1.551681766963392e-05
0.43,9.09181296128258e-05,0.9574356256713231,5.7426763419333557e-05,0.09721667636022939,0.00036817087672586375,0.0004087550244912507,6.885733144373754e-07,0.0056511186927478375,0.4014213213942957,0.00038057197949561755,7.019589007167418e-06,0.5010653834322499,1.5581261754798377e-05
0.44,9.23506412051979e-05,0.956445992926929,5.7870770303285384e-05,0.09946505856724898,0.0003717982605909396,0.0004096698470410542,6.98785901660634e-07,0.005782402726099018,0.4014412761774956,0.000394304314161618,7.256865781497004e-06,0.5010901867826928,1.5643544824298868e-05
0.45,9.375529380112334e-05,0.9554563709691438,5.829622648953815e-05,0.1017128538173108,0.00037531431194330617,0.00041058203343303774,7.090433125223597e-07,0.005913317161205763,0.40146114738637717,0.0004081465661252841,7.496901843703319e-06,0.5011149913608622,1.5703080906555827e-05
0.46,9.513304897540733e-05,0.9544667598207434,5.8704570699767885e-05,0.10396005912013917,0.000378725647880256,0.0004114915902001738,7.193453120668219e-07,0.006043864540218958,0.4014809406727914,0.00042209217668979235,7.739702619500606e-06,0.5011397971668503,1.576019092975574e-05
0.47000000000000003,9.648479943662167e-05,0.9534771595022042,5.909716368327478e-05,0.10620667175530282,0.0003820384711940876,0.0004123985257067507,7.296916488377113e-07,0.0061740471969307575,0.401500661364634,0.00043613499780084593,7.985273151167513e-06,0.501164604200741,1.5815185402954318e-05
0.48,9.781136881278797e-05,0.9524875700316979,5.947528797432759e-05,0.10845268927305474,0.0003852585690827585,0.00041330285015407224,7.400820548267894e-07,0.006303867256126157,0.4015203144648372,0.0004502692933246235,8.233618096353812e-06,0.5011894124626114,1.5868364383651383e-05
0.49,9.911358073192792e-05,0.9514979914273957,5.9840226107195056e-05,0.11069810922364784,0.0003883917287442263,0.00041420457374344207,7.505162620258173e-07,0.006433326842590155,0.401539904976333,0.0004644893271273038,8.484742112709275e-06,0.5012142219525378,1.5920027929346783e-05
0.5,0.00010039205347232211,0.950508423706409,6.019281916967823e-05,0.11294292946083276,0.0003914419913641797,0.0004151036978414414,7.609941406210949e-07,0.006562427695820441,0.40155943623977997,0.0004787910936977144,8.738648793205138e-06,0.5012390326705839,1.597034658441512e-05
0.51,0.00010164706075944404,0.9495188668840716,6.053316755412428e-05,0.11518714834759353,0.0003944104685242793,0.00041600020899102254,7.715157926731659e-07,0.006691170908847752,0.4015789088067358,0.0004931734913067307,8.99533994440679e-06,0.5012638446167917,1.6019273585380374e-05
0.52,0.0001028791656812967,0.9485293209772104,6.086199370414705e-05,0.1174307638192495,0.00039730073214786464,0.00041689410618432604,7.820811255098181e-07,0.00681955811761906,0.4015983255711024,0.0005076329795693792,9.254818873139969e-06,0.5012886577912213,1.6066944668366106e-05
0.53,0.00010408894153083904,0.9475397860027048,6.118004200125887e-05,0.11967377379603752,0.0004001164409272104,0.0004177853888525384,7.926900395911937e-07,0.006947590977228381,0.4016176895093891,0.0005221659320965455,9.517088939140133e-06,0.5013134721939334,1.6113502005714084e-05
0.54,0.00010527695488028014,0.9465502619776326,6.148803578680174e-05,0.12191617618552679,0.00040286117912833707,0.0004186740563038182,8.033424652692718e-07,0.007075271139366259,0.4016370035198476,0.0005367687962687846,9.782153450651514e-06,0.5013382878249888,1.6159080675061496e-05
0.55,0.00010644365887610055,0.9455607489224167,6.178634330831314e-05,0.1241579686814942,0.00040553727492944404,0.0004195601057699905,8.140388373789278e-07,0.007202600198283094,0.4016562691799823,0.0005514392644733226,1.0050014846903636e-05,0.5013631046844483,1.6203696017104117e-05
0.56,0.00010758953559714657,0.9445712468566271,6.207542338981572e-05,0.12639914903225033,0.00040814737690863216,0.00042044353501250646,8.247794620727372e-07,0.007329579762880981,0.4016754884041905,0.000566174711524038,1.0320675788792243e-05,0.5013879227723729,1.6247393914752663e-05
0.5700000000000001,0.00010871509700976508,0.9435817557989518,6.235582842198972e-05,0.1286397150424396,0.00041069446462116237,0.0004213243423399281,8.355645125728273e-07,0.007456211457197402,0.40169466345488436,0.0005809721841775142,1.0594139166197072e-05,0.5014127420888231,1.62902518014131e-05
0.58,0.00010982085508030297,0.9425922757680791,6.262811079551538e-05,0.1308796645167065,0.00041318151762229565,0.00042220252606081724,8.463941621013256e-07,0.007582496905269842,0.40171379659447626,0.0005958287291903347,1.0870407868997861e-05,0.50143756263386,1.6332347110491407e-05
0.59,0.00011090718743266288,0.9416028067850273,6.2892534858957e-05,0.13311899497965163,0.0004156102721651455,0.00042307812457265684,8.57268691337386e-07,0.007708437610129672,0.4017328888391027,0.0006107426256708827,1.1149484121089296e-05,0.5014623844075442,1.6373717167769592e-05
0.6,0.00011197473823888881,0.9406133488661916,6.314993646373535e-05,0.13535770451150914,0.00041798493133211683,0.0004239510967327112,8.68188167755238e-07,0.007834035314895859,0.4017519436776294,0.0006257097076247781,1.1431371467743528e-05,0.5014872074099366,1.6414478876356693e-05
0.61,0.00011302376385529467,0.9396239020346935,6.340031994994876e-05,0.13759579038409095,0.00042030610907834576,0.0004248215171257367,8.791529690328248e-07,0.00795929141337056,0.40177096100121057,0.0006407293665737733,1.1716071531687057e-05,0.501512031641098,1.645463335787845e-05
0.62,0.00011405474922923114,0.9386344663096898,6.36441797771532e-05,0.13983325034571903,0.00042257653490576007,0.0004256893921229922,8.901632900040656e-07,0.008084207505254473,0.4017899428216071,0.0006557988971254477,1.200358706885649e-05,0.5015368571010894,1.6494249979282423e-05
0.63,0.00011506816403075426,0.9376450417106131,6.388197769447447e-05,0.14207008211235714,0.00042479879774685273,0.00042655473168303425,9.012193423169974e-07,0.008208785177274861,0.40180889100887945,0.0006709157332178131,1.2293920755712478e-05,0.5015616837899713,1.65333928616653e-05
0.64,0.00011606440403776359,0.9366556282583648,6.411401781589916e-05,0.14430628323696976,0.0004269748170089147,0.0004274175507922717,9.123214772154144e-07,0.008333025963395347,0.40182780674803675,0.0006860779724007834,1.2587074836866013e-05,0.5015865117078049,1.657209206709151e-05
0.65,0.000117043863936028,0.9356662259738333,6.434060177754634e-05,0.14654185127177918,0.0004291064995404137,0.0004282778676757879,9.234700330433011e-07,0.008456931394235602,0.40184669121388206,0.0007012837246753032,1.2883051562728781e-05,0.5016113408546508,1.6610379384745108e-05
0.66,0.00011800693753102075,0.9346768348778896,6.456202918914768e-05,0.1487767837687377,0.0004311957415426497,0.00042913570379213474,9.346653348010974e-07,0.008580502997215161,0.401865545572976,0.0007165311105985856,1.3181853190786636e-05,0.5016361712305697,1.664828843506111e-05
0.67,0.00011895400154046751,0.933687454991717,6.477856309142158e-05,0.15101107824340426,0.0004332442823094891,0.0004299910842316568,9.459077280957489e-07,0.008703742285551113,0.4018843708333961,0.0007318184062518995,1.3483481888165618e-05,0.5016610028356228,1.6685846702663186e-05
0.68,0.0001198854155943462,0.9326980863368115,6.499042995607314e-05,0.15324473217494455,0.0004352537042273646,0.00043084403771649133,9.571975791407082e-07,0.008826650758258114,0.40190316784473695,0.0007471440432405694,1.378793973163195e-05,0.5016858356698707,1.6723075536363618e-05
0.6900000000000001,0.0001208015222348871,0.9317087289349817,6.519781968579424e-05,0.15547774300613096,0.00043722543277527527,0.000431694596600568,9.68535274755934e-07,0.008949229900148379,0.4019219372981099,0.0007625066086939754,1.4095228707592032e-05,0.5017106697333744,1.6759990149163337e-05
0.7000000000000001,0.00012170267771962106,0.9307193828078278,6.540096782730116e-05,0.1577101081931196,0.00043916106640189145,0.0004325427968115693,9.799211691037592e-07,0.009071481196284238,0.4019406800733899,0.0007779045182901537,1.4405350852467225e-05,0.5017355050261946,1.6796609698992627e-05
0.71,0.00012258926578485372,0.9297300479765096,6.560019230591405e-05,0.15994182522769165,0.0004410625239218451,0.0004333886778249972,9.91355559889313e-07,0.009193406138435868,0.40195939739437253,0.0007933358701560524,1.471830831541634e-05,0.5017603415483922,1.6832961793006075e-05
0.72,0.00012346162067253624,0.9287407244630468,6.579568798501964e-05,0.16217289151286682,0.00044293122019234155,0.0004342322828092073,1.0028388214612118e-06,0.009315006188966066,0.4019780899610469,0.0008087992619399042,1.5034103007555924e-05,0.5017851793000281,1.686905729701855e-05
0.73,0.00012432006412167377,0.9277514122896943,6.598762539578304e-05,0.1644033044226804,0.00044476846226287604,0.0004350736585557093,1.0143713408466134e-06,0.009436282798186346,0.4019967583666038,0.0008242933981461706,1.5352736770536427e-05,0.5018100182811631,1.690490244147592e-05
0.74,0.0001251649061855152,0.9267621114789283,6.617615291821876e-05,0.16663306130350378,0.000446575458126709,0.0004359128554776268,1.0259535163381454e-06,0.009557237404740354,0.40201540310664863,0.000839817081461048,1.5674211380266283e-05,0.5018348584918582,1.6940499088892065e-05
0.75,0.00012599644523155314,0.9257728220534459,6.636139678119062e-05,0.16886215947404468,0.0004483533167208657,0.00043674992760969744,1.0375857574939065e-06,0.009677871435603874,0.4020340245792007,0.000855369212752467,1.5998528546911907e-05,0.5018596999321742,1.69758447338489e-05
0.76,0.00012681497233264685,0.9247835440360459,6.654347573719079e-05,0.17109059623101988,0.00045010309969802467,0.00043758493217099293,1.0492683642882752e-06,0.009798186308323471,0.40205262313899426,0.000870948739755832,1.6325690047411586e-05,0.5018845426021717,1.7010936956919936e-05
0.77,0.00012762081165247234,0.9237942774485225,6.672263602725505e-05,0.17331836890132984,0.0004518262975760043,0.00043841792554322374,1.061000415653893e-06,0.0099181834516055,0.40207119959688414,0.0008865541851333512,1.6655698944214516e-05,0.501909386501912,1.7045814387700882e-05
0.78,0.00012841426246205627,0.9228050223132527,6.689905760489785e-05,0.17554547476714907,0.0004535241461054745,0.00043924896904489353,1.0727813652590589e-06,0.01003786427575541,0.4020897545028232,0.0009021843240635089,1.698855783547453e-05,0.5019342316314557,1.7080497892081465e-05
0.79,0.00012919560758194726,0.9218157786529653,6.707288234916702e-05,0.17777191107683266,0.0004551977258042062,0.00044007812809060404,1.0846108091686382e-06,0.010157230176981674,0.4021082882502579,0.0009178380855866268,1.7324269109815217e-05,0.5019590779908638,1.7114999135153975e-05
0.8,0.0001299651218827298,0.9208265464905078,6.724424247267636e-05,0.17999767505589817,0.0004568480621791923,0.00044090547134455064,1.0964882518992962e-06,0.01027628254172945,0.40212680118124594,0.000933514453268635,1.7662835202855672e-05,0.5019839255801971,1.7149329203299242e-05
0.81,0.00013072307228502447,0.9198373258488469,6.741326052160551e-05,0.18222276390702577,0.000458476125726648,0.0004417310707205222,1.1084131064194983e-06,0.010395022746680584,0.40214529358645584,0.0009492124652010704,1.800425859721051e-05,0.5020087743995165,1.7183498604186633e-05
0.8200000000000001,0.00013146971775948775,0.9188481167510683,6.758004937570005e-05,0.18444717481005804,0.0004600828319320105,0.00044255500138190107,1.1203846941495099e-06,0.010513452158753612,0.40216376570516726,0.0009649312140010788,1.8348541822489867e-05,0.502033624448883,1.7217517266774045e-05
0.8300000000000001,0.0001322053466738535,0.9178589192201239,6.774476202808397e-05,0.18667090489957652,0.0004616690892485401,0.0004433759535067558,1.1323125944546217e-06,0.010631573522697862,0.4021822162413445,0.000980669799260729,1.8695780390433962e-05,0.5020584757283573,1.7251420558294544e-05
0.84,0.00013293032315876856,0.9168697332785305,6.790765268332793e-05,0.1888939512373794,0.00046323586253552547,0.0004441895316513259,1.143909406440359e-06,0.010749392661070096,0.40220064055332866,0.0009964272646734071,1.9046274059735233e-05,0.5020833282380004,1.7285300442439378e-05
0.85,0.00013364484534483478,0.9158805589502687,6.806873972737376e-05,0.19111631096429266,0.00046478394394774915,0.00044499772175288926,1.1553565281813276e-06,0.010866909014233558,0.4022190409322929,0.0010122028250756723,1.939983871703192e-05,0.5021081819778732,1.731911304894598e-05
0.86,0.00013434901595112513,0.9148913962601222,6.822791093249368e-05,0.19333798125545623,0.0004663140228489752,0.0004458060963878287,1.167087325417725e-06,0.01098411843285822,0.40223742355027875,0.001027995797168424,1.9756029774520464e-05,0.5021330369480365,1.73527415666672e-05
0.87,0.0001350430576858167,0.9139022452315273,6.838525300258663e-05,0.19555895918230728,0.00046782688655487044,0.00044661517130338704,1.1790904106424326e-06,0.011101021813850085,0.4022557889787481,0.0010438054006061321,2.0114859165834988e-05,0.5021578931485513,1.7386198272956978e-05
0.88,0.00013572722816617818,0.9129131058880479,6.854088814128634e-05,0.19777924176453213,0.00046932327464603845,0.00044742372405241716,1.1912471227347612e-06,0.011217621784168531,0.40227413582460997,0.0010596309023604869,2.0476450312363253e-05,0.5021827505794785,1.7419510812296864e-05
0.89,0.00013640184212274442,0.911923978253382,6.869499547265239e-05,0.1999988259566211,0.00047080387728678786,0.0004482278843762451,1.2032875328113863e-06,0.011333923609887438,0.40229245973674116,0.0010754716183878645,2.0841084338699296e-05,0.5022076092408789,1.7452730092885072e-05
0.9,0.00013706709334511166,0.910934862351599,6.88476202045149e-05,0.20221770876148534,0.00047226935456172627,0.0004490285924915479,1.2152992894492158e-06,0.011449927744270253,0.40231076170480834,0.0010913268944435623,2.1208673124399025e-05,0.5022324691328136,1.7485846451308e-05
0.91,0.00013772315606138614,0.9099457582068701,6.899878644488347e-05,0.2044358871772989,0.00047372034801400147,0.0004498274651062992,1.2274033065926016e-06,0.01156563396086492,0.40232904343922243,0.0011071960946583844,2.157909358827269e-05,0.5022573302553434,1.7518841609392112e-05
0.92,0.00013837020680271223,0.9089566658434435,6.914852369093518e-05,0.20665335816961078,0.0004751574681425088,0.0004506257746961422,1.2396589287418808e-06,0.011681042370299818,0.40234730620183395,0.0011230786139347256,2.1952284947836024e-05,0.5022821926085291,1.755170258754486e-05
0.93,0.00013900847922594016,0.9079675852855278,6.929692926066207e-05,0.20887011863701532,0.0004765812991025775,0.00045142217783309486,1.2519671253933658e-06,0.011796155690087932,0.402365548347846,0.0011389738732950478,2.232835127399139e-05,0.5023070561924319,1.7584449358157803e-05
0.9400000000000001,0.00013963818686446708,0.906978516557466,6.944407943802453e-05,0.21108616546532724,0.0004779924010157647,0.00045221597747649184,1.2642839083933424e-06,0.011910975986314434,0.4023837689390946,0.0011548813175812044,2.270733997381463e-05,0.5023319210071125,1.761709334532696e-05
0.9500000000000001,0.0001402595230615516,0.9059894596842413,6.959002601941139e-05,0.2133014954671034,0.00047939132192360606,0.00045300729653693016,1.276623349856269e-06,0.012025504528108964,0.40240196792502153,0.0011708004036059467,2.3089238361042474e-05,0.5023567870526332,1.7649635290954764e-05
0.96,0.00014087266528104673,0.905000414690643,6.973480749876753e-05,0.21551610547413355,0.00048077857579159334,0.00045379658717874076,1.2890118533122136e-06,0.012139742230639213,0.40242014558891803,0.0011867306219559349,2.347402052087818e-05,0.5023816543290552,1.7682071499756343e-05
0.97,0.0001414778124879298,0.9040113816036148,6.987847560044637e-05,0.2177299920208316,0.00048215469751580704,0.0004545838683174549,1.3014472815096403e-06,0.012253690551213486,0.40243830169641337,0.0012026714424749607,2.3861690285901706e-05,0.502406522836445,1.7714403866020806e-05
0.98,0.00014207512868173326,0.9030223604458328,7.002107363181358e-05,0.2199431521721838,0.0004835201098496748,0.00045536903854897956,1.3139224895575791e-06,0.012367350819625226,0.4024564359023477,0.0012186224461570572,2.4252256485251746e-05,0.5024313925748586,1.774663532070812e-05
0.99,0.00014266476319543502,0.9020333512383828,7.01626394139873e-05,0.22215558319548787,0.0004848751980765383,0.0004561520585051046,1.3264346714398464e-06,0.012480724213117793,0.40247454794128207,0.0012345832511342781,2.4645723338314696e-05,0.5024562635443474,1.777876784083069e-05
1.0,0.00014324692000114607,0.9010443540112799,7.030322107682755e-05,0.22436728118640675,0.0004862204824892478,0.0004569329554831224,1.3389849279817396e-06,0.012593812309042692,0.4024926375068862,0.001250553341726692,2.504209149671539e-05,0.5024811357449848,1.7810803012396677e-05
1.01,0.00014382167102302982,0.9000553687778586,7.044283109469584e-05,0.22657824435759244,0.00048755611741765014,0.0004577117374585521,1.351573452412754e-06,0.012706615767140595,0.4025107044054321,0.001266532564975599,2.5441361418581836e-05,0.5025060091768022,1.7842741210946125e-05
