row_index,model_name_raw,file_raw,domain_raw,model_name,domain,output_dir,copied_cellml,generated_py_file,generated_py_size,validate_returncode,export_returncode,underconstrained,undefined_variables,status
10,fridlyand_tamarina_philipson_2003,models_cellml2/calcium_dynamics/fridlyand_tamarina_philipson_2003.cellml,calcium_dynamics,fridlyand_tamarina_philipson_2003,calcium_dynamics,exported_cellml_models/calcium_dynamics/fridlyand_tamarina_philipson_2003,exported_cellml_models/calcium_dynamics/fridlyand_tamarina_philipson_2003/fridlyand_tamarina_philipson_2003.cellml,,0,0,0.0,False,,export_failed
11,Guyton_Model_1-0,models_cellml2/cardiovascular_circulation/Guyton_Model_1-0.cellml,cardiovascular_circulation,Guyton_Model_1-0,cardiovascular_circulation,exported_cellml_models/cardiovascular_circulation/Guyton_Model_1-0,exported_cellml_models/cardiovascular_circulation/Guyton_Model_1-0/Guyton_Model_1-0.cellml,exported_cellml_models/cardiovascular_circulation/Guyton_Model_1-0/Guyton_Model_1-0.py,130514,0,0.0,False,,success_clean
12,ueda_hagiwara_kitano_2001,models_cellml2/circadian_rhythms/ueda_hagiwara_kitano_2001.cellml,circadian_rhythms,ueda_hagiwara_kitano_2001,circadian_rhythms,exported_cellml_models/circadian_rhythms/ueda_hagiwara_kitano_2001,exported_cellml_models/circadian_rhythms/ueda_hagiwara_kitano_2001/ueda_hagiwara_kitano_2001.cellml,exported_cellml_models/circadian_rhythms/ueda_hagiwara_kitano_2001/ueda_hagiwara_kitano_2001.py,10960,0,0.0,False,,success_clean
13,hund_rudy_2004_b,models_cellml2/electrophysiology/hund_rudy_2004_b.cellml,electrophysiology,hund_rudy_2004_b,electrophysiology,exported_cellml_models/electrophysiology/hund_rudy_2004_b,exported_cellml_models/electrophysiology/hund_rudy_2004_b/hund_rudy_2004_b.cellml,exported_cellml_models/electrophysiology/hund_rudy_2004_b/hund_rudy_2004_b.py,41404,0,0.0,False,,success_clean
14,faber_rudy_modified_version_2000,models_cellml2/electrophysiology/faber_rudy_modified_version_2000.cellml,electrophysiology,faber_rudy_modified_version_2000,electrophysiology,exported_cellml_models/electrophysiology/faber_rudy_modified_version_2000,exported_cellml_models/electrophysiology/faber_rudy_modified_version_2000/faber_rudy_modified_version_2000.cellml,exported_cellml_models/electrophysiology/faber_rudy_modified_version_2000/faber_rudy_modified_version_2000.py,45935,0,0.0,False,,success_clean
15,benson_mcell_2008,models_cellml2/electrophysiology/benson_mcell_2008.cellml,electrophysiology,benson_mcell_2008,electrophysiology,exported_cellml_models/electrophysiology/benson_mcell_2008,exported_cellml_models/electrophysiology/benson_mcell_2008/benson_mcell_2008.cellml,exported_cellml_models/electrophysiology/benson_mcell_2008/benson_mcell_2008.py,41409,0,0.0,False,,success_clean
16,revilla_garcia-ramos_2003,models_cellml2/immunology/revilla_garcia-ramos_2003.cellml,immunology,revilla_garcia-ramos_2003,immunology,exported_cellml_models/immunology/revilla_garcia-ramos_2003,exported_cellml_models/immunology/revilla_garcia-ramos_2003/revilla_garcia-ramos_2003.cellml,exported_cellml_models/immunology/revilla_garcia-ramos_2003/revilla_garcia-ramos_2003.py,4201,0,0.0,False,,success_clean
17,wein_1998,models_cellml2/immunology/wein_1998.cellml,immunology,wein_1998,immunology,exported_cellml_models/immunology/wein_1998,exported_cellml_models/immunology/wein_1998/wein_1998.cellml,exported_cellml_models/immunology/wein_1998/wein_1998.py,8873,0,0.0,False,,success_clean
18,guyton_atrial_natriuretic_peptide_2008,models_cellml2/cardiovascular_circulation/guyton_atrial_natriuretic_peptide_2008.cellml,cardiovascular_circulation,guyton_atrial_natriuretic_peptide_2008,cardiovascular_circulation,exported_cellml_models/cardiovascular_circulation/guyton_atrial_natriuretic_peptide_2008,exported_cellml_models/cardiovascular_circulation/guyton_atrial_natriuretic_peptide_2008/guyton_atrial_natriuretic_peptide_2008.cellml,exported_cellml_models/cardiovascular_circulation/guyton_atrial_natriuretic_peptide_2008/guyton_atrial_natriuretic_peptide_2008.py,4343,0,0.0,False,,success_clean
19,wang_2006,models_cellml2/calcium_dynamics/wang_2006.cellml,calcium_dynamics,wang_2006,calcium_dynamics,exported_cellml_models/calcium_dynamics/wang_2006,exported_cellml_models/calcium_dynamics/wang_2006/wang_2006.cellml,exported_cellml_models/calcium_dynamics/wang_2006/wang_2006.py,8303,0,0.0,False,,success_clean
20,heyd_drew_2003,models_cellml2/metabolism/heyd_drew_2003.cellml,metabolism,heyd_drew_2003,metabolism,exported_cellml_models/metabolism/heyd_drew_2003,exported_cellml_models/metabolism/heyd_drew_2003/heyd_drew_2003.cellml,exported_cellml_models/metabolism/heyd_drew_2003/heyd_drew_2003.py,6836,0,0.0,False,,success_clean
21,ciliberto_tyson_2000,models_cellml2/cell_cycle/ciliberto_tyson_2000.cellml,cell_cycle,ciliberto_tyson_2000,cell_cycle,exported_cellml_models/cell_cycle/ciliberto_tyson_2000,exported_cellml_models/cell_cycle/ciliberto_tyson_2000/ciliberto_tyson_2000.cellml,exported_cellml_models/cell_cycle/ciliberto_tyson_2000/ciliberto_tyson_2000.py,9194,0,0.0,False,,success_clean
22,faville_model_2008,models_cellml2/electrophysiology/faville_model_2008.cellml,electrophysiology,faville_model_2008,electrophysiology,exported_cellml_models/electrophysiology/faville_model_2008,exported_cellml_models/electrophysiology/faville_model_2008/faville_model_2008.cellml,,0,255,,False,,validation_failed
23,schuster_beny_meister_2003,models_cellml2/signal_transduction/schuster_beny_meister_2003.cellml,signal_transduction,schuster_beny_meister_2003,signal_transduction,exported_cellml_models/signal_transduction/schuster_beny_meister_2003,exported_cellml_models/signal_transduction/schuster_beny_meister_2003/schuster_beny_meister_2003.cellml,exported_cellml_models/signal_transduction/schuster_beny_meister_2003/schuster_beny_meister_2003.py,6634,0,0.0,False,,success_clean
24,shorten_robson_mckinnon_wall_2000,models_cellml2/calcium_dynamics/shorten_robson_mckinnon_wall_2000.cellml,calcium_dynamics,shorten_robson_mckinnon_wall_2000,calcium_dynamics,exported_cellml_models/calcium_dynamics/shorten_robson_mckinnon_wall_2000,exported_cellml_models/calcium_dynamics/shorten_robson_mckinnon_wall_2000/shorten_robson_mckinnon_wall_2000.cellml,,0,0,0.0,True,* V in component membrane | * i_Ca_L in component L_type_calcium_current | * i_Ca_T in component T_type_calcium_current | * i_K_DR in component voltage_sensitive_K_current | * i_K_Ca in component Ca_activated_K_current | * i_K_IR in component inward_rectifier_current | * V_Ca in component L_type_calcium_current | * m_L_infinity in component L_type_calcium_current_m_gate | * tau_m_L in component L_type_calcium_current_m_gate | * m_T_infinity in component T_type_calcium_current_m_gate | * tau_m_T in component T_type_calcium_current_m_gate | * h_T_infinity in component T_type_calcium_current_h_gate | * V_K in component voltage_sensitive_K_current | * n_infinity in component voltage_sensitive_K_current_n_gate | * J_in in component cytosolic_calcium | * J_eff in component cytosolic_calcium | * d/dt V in component membrane | * d/dt m_L in component L_type_calcium_current_m_gate | * d/dt m_T in component T_type_calcium_current_m_gate | * d/dt h_T in component T_type_calcium_current_h_gate | * d/dt n in component voltage_sensitive_K_current_n_gate | * d/dt Ca_i in component cytosolic_calcium,export_failed
25,vinnakota_rusk_palmer_shankland_kushmeric_2010_edl,models_cellml2/metabolism/vinnakota_rusk_palmer_shankland_kushmeric_2010_edl.cellml,metabolism,vinnakota_rusk_palmer_shankland_kushmeric_2010_edl,metabolism,exported_cellml_models/metabolism/vinnakota_rusk_palmer_shankland_kushmeric_2010_edl,exported_cellml_models/metabolism/vinnakota_rusk_palmer_shankland_kushmeric_2010_edl/vinnakota_rusk_palmer_shankland_kushmeric_2010_edl.cellml,exported_cellml_models/metabolism/vinnakota_rusk_palmer_shankland_kushmeric_2010_edl/vinnakota_rusk_palmer_shankland_kushmeric_2010_edl.py,125638,0,0.0,False,,success_clean
26,guyton_autonomics_2008,models_cellml2/cardiovascular_circulation/guyton_autonomics_2008.cellml,cardiovascular_circulation,guyton_autonomics_2008,cardiovascular_circulation,exported_cellml_models/cardiovascular_circulation/guyton_autonomics_2008,exported_cellml_models/cardiovascular_circulation/guyton_autonomics_2008/guyton_autonomics_2008.cellml,exported_cellml_models/cardiovascular_circulation/guyton_autonomics_2008/guyton_autonomics_2008.py,10583,0,0.0,False,,success_clean
27,saftenku_williams_sitsapesan_2001_H2_model,models_cellml2/calcium_dynamics/saftenku_williams_sitsapesan_2001_H2_model.cellml,calcium_dynamics,saftenku_williams_sitsapesan_2001_H2_model,calcium_dynamics,exported_cellml_models/calcium_dynamics/saftenku_williams_sitsapesan_2001_H2_model,exported_cellml_models/calcium_dynamics/saftenku_williams_sitsapesan_2001_H2_model/saftenku_williams_sitsapesan_2001_H2_model.cellml,exported_cellml_models/calcium_dynamics/saftenku_williams_sitsapesan_2001_H2_model/saftenku_williams_sitsapesan_2001_H2_model.py,3999,0,0.0,False,,success_clean
28,bertram_previte_sherman_kinard_satin_2000_medium,models_cellml2/calcium_dynamics/bertram_previte_sherman_kinard_satin_2000_medium.cellml,calcium_dynamics,bertram_previte_sherman_kinard_satin_2000_medium,calcium_dynamics,exported_cellml_models/calcium_dynamics/bertram_previte_sherman_kinard_satin_2000_medium,exported_cellml_models/calcium_dynamics/bertram_previte_sherman_kinard_satin_2000_medium/bertram_previte_sherman_kinard_satin_2000_medium.cellml,exported_cellml_models/calcium_dynamics/bertram_previte_sherman_kinard_satin_2000_medium/bertram_previte_sherman_kinard_satin_2000_medium.py,7418,0,0.0,False,,success_clean
29,neumann_lam_dahari_gretch_wiley_layden_perelson_1998,models_cellml2/immunology/neumann_lam_dahari_gretch_wiley_layden_perelson_1998.cellml,immunology,neumann_lam_dahari_gretch_wiley_layden_perelson_1998,immunology,exported_cellml_models/immunology/neumann_lam_dahari_gretch_wiley_layden_perelson_1998,exported_cellml_models/immunology/neumann_lam_dahari_gretch_wiley_layden_perelson_1998/neumann_lam_dahari_gretch_wiley_layden_perelson_1998.cellml,exported_cellml_models/immunology/neumann_lam_dahari_gretch_wiley_layden_perelson_1998/neumann_lam_dahari_gretch_wiley_layden_perelson_1998.py,3844,0,0.0,False,,success_clean
30,goodwin_1965_c,models_cellml2/circadian_rhythms/goodwin_1965_c.cellml,circadian_rhythms,goodwin_1965_c,circadian_rhythms,exported_cellml_models/circadian_rhythms/goodwin_1965_c,exported_cellml_models/circadian_rhythms/goodwin_1965_c/goodwin_1965_c.cellml,exported_cellml_models/circadian_rhythms/goodwin_1965_c/goodwin_1965_c.py,3578,0,0.0,False,,success_clean
31,chay_1997,models_cellml2/calcium_dynamics/chay_1997.cellml,calcium_dynamics,chay_1997,calcium_dynamics,exported_cellml_models/calcium_dynamics/chay_1997,exported_cellml_models/calcium_dynamics/chay_1997/chay_1997.cellml,exported_cellml_models/calcium_dynamics/chay_1997/chay_1997.py,12314,0,0.0,False,,success_clean
32,benson_epicardial_2008,models_cellml2/electrophysiology/benson_epicardial_2008.cellml,electrophysiology,benson_epicardial_2008,electrophysiology,exported_cellml_models/electrophysiology/benson_epicardial_2008,exported_cellml_models/electrophysiology/benson_epicardial_2008/benson_epicardial_2008.cellml,exported_cellml_models/electrophysiology/benson_epicardial_2008/benson_epicardial_2008.py,41404,0,0.0,False,,success_clean
33,warashina_ogura_2004,models_cellml2/signal_transduction/warashina_ogura_2004.cellml,signal_transduction,warashina_ogura_2004,signal_transduction,exported_cellml_models/signal_transduction/warashina_ogura_2004,exported_cellml_models/signal_transduction/warashina_ogura_2004/warashina_ogura_2004.cellml,,0,0,0.0,False,,export_failed
34,livshitz_rudy_2007,models_cellml2/electrophysiology/livshitz_rudy_2007.cellml,electrophysiology,livshitz_rudy_2007,electrophysiology,exported_cellml_models/electrophysiology/livshitz_rudy_2007,exported_cellml_models/electrophysiology/livshitz_rudy_2007/livshitz_rudy_2007.cellml,,0,255,,False,,validation_failed
35,proctor_soti_boys_gillespie_shanley_wilkinson_kirkwood_2005,models_cellml2/signal_transduction/proctor_soti_boys_gillespie_shanley_wilkinson_kirkwood_2005.cellml,signal_transduction,proctor_soti_boys_gillespie_shanley_wilkinson_kirkwood_2005,signal_transduction,exported_cellml_models/signal_transduction/proctor_soti_boys_gillespie_shanley_wilkinson_kirkwood_2005,exported_cellml_models/signal_transduction/proctor_soti_boys_gillespie_shanley_wilkinson_kirkwood_2005/proctor_soti_boys_gillespie_shanley_wilkinson_kirkwood_2005.cellml,exported_cellml_models/signal_transduction/proctor_soti_boys_gillespie_shanley_wilkinson_kirkwood_2005/proctor_soti_boys_gillespie_shanley_wilkinson_kirkwood_2005.py,10742,0,0.0,False,,success_clean
36,guyton_thirst_drinking_and_salt_appetite_2008,models_cellml2/cardiovascular_circulation/guyton_thirst_drinking_and_salt_appetite_2008.cellml,cardiovascular_circulation,guyton_thirst_drinking_and_salt_appetite_2008,cardiovascular_circulation,exported_cellml_models/cardiovascular_circulation/guyton_thirst_drinking_and_salt_appetite_2008,exported_cellml_models/cardiovascular_circulation/guyton_thirst_drinking_and_salt_appetite_2008/guyton_thirst_drinking_and_salt_appetite_2008.cellml,exported_cellml_models/cardiovascular_circulation/guyton_thirst_drinking_and_salt_appetite_2008/guyton_thirst_drinking_and_salt_appetite_2008.py,5252,0,0.0,False,,success_clean
37,marhl_schuster_brumen_heinrich_1997,models_cellml2/calcium_dynamics/marhl_schuster_brumen_heinrich_1997.cellml,calcium_dynamics,marhl_schuster_brumen_heinrich_1997,calcium_dynamics,exported_cellml_models/calcium_dynamics/marhl_schuster_brumen_heinrich_1997,exported_cellml_models/calcium_dynamics/marhl_schuster_brumen_heinrich_1997/marhl_schuster_brumen_heinrich_1997.cellml,,0,0,0.0,True,* CaPr in component free_protein_calcium_binding_sites | * Pr in component free_protein_calcium_binding_sites | * J_ch in component flux_through_the_channels | * J_leak in component leak_flux | * J_pump in component calcium_pump | * Ca_ER in component ER_calcium | * delta_psi in component potential_difference | * a in component potential_difference | * b in component potential_difference | * c in component potential_difference | * E_Ca in component calcium_reversal_potential | * g_Ca in component flux_through_the_channels | * k_ch in component flux_through_the_channels | * d/dt Pr in component free_protein_calcium_binding_sites | * d/dt Ca_cyt in component cytosolic_calcium,export_failed
38,macgregor_leng_2005_b,models_cellml2/endocrine/macgregor_leng_2005_b.cellml,endocrine,macgregor_leng_2005_b,endocrine,exported_cellml_models/endocrine/macgregor_leng_2005_b,exported_cellml_models/endocrine/macgregor_leng_2005_b/macgregor_leng_2005_b.cellml,exported_cellml_models/endocrine/macgregor_leng_2005_b/macgregor_leng_2005_b.py,13935,0,0.0,False,,success_clean
39,leloup_gonze_goldbeter_1999_b,models_cellml2/circadian_rhythms/leloup_gonze_goldbeter_1999_b.cellml,circadian_rhythms,leloup_gonze_goldbeter_1999_b,circadian_rhythms,exported_cellml_models/circadian_rhythms/leloup_gonze_goldbeter_1999_b,exported_cellml_models/circadian_rhythms/leloup_gonze_goldbeter_1999_b/leloup_gonze_goldbeter_1999_b.cellml,exported_cellml_models/circadian_rhythms/leloup_gonze_goldbeter_1999_b/leloup_gonze_goldbeter_1999_b.py,3969,0,0.0,False,,success_clean
40,dempsher_gann_phair_1984,models_cellml2/endocrine/dempsher_gann_phair_1984.cellml,endocrine,dempsher_gann_phair_1984,endocrine,exported_cellml_models/endocrine/dempsher_gann_phair_1984,exported_cellml_models/endocrine/dempsher_gann_phair_1984/dempsher_gann_phair_1984.cellml,exported_cellml_models/endocrine/dempsher_gann_phair_1984/dempsher_gann_phair_1984.py,9536,0,0.0,False,,success_clean
41,maleckar_greenstein_trayanova_giles_2009,models_cellml2/electrophysiology/maleckar_greenstein_trayanova_giles_2009.cellml,electrophysiology,maleckar_greenstein_trayanova_giles_2009,electrophysiology,exported_cellml_models/electrophysiology/maleckar_greenstein_trayanova_giles_2009,exported_cellml_models/electrophysiology/maleckar_greenstein_trayanova_giles_2009/maleckar_greenstein_trayanova_giles_2009.cellml,exported_cellml_models/electrophysiology/maleckar_greenstein_trayanova_giles_2009/maleckar_greenstein_trayanova_giles_2009.py,35195,0,0.0,False,,success_clean
42,viswanathan_shaw_rudy_1999_b,models_cellml2/calcium_dynamics/viswanathan_shaw_rudy_1999_b.cellml,calcium_dynamics,viswanathan_shaw_rudy_1999_b,calcium_dynamics,exported_cellml_models/calcium_dynamics/viswanathan_shaw_rudy_1999_b,exported_cellml_models/calcium_dynamics/viswanathan_shaw_rudy_1999_b/viswanathan_shaw_rudy_1999_b.cellml,exported_cellml_models/calcium_dynamics/viswanathan_shaw_rudy_1999_b/viswanathan_shaw_rudy_1999_b.py,45754,0,0.0,False,,success_clean
43,borghans_dupont_goldbeter_1997c,models_cellml2/calcium_dynamics/borghans_dupont_goldbeter_1997c.cellml,calcium_dynamics,borghans_dupont_goldbeter_1997c,calcium_dynamics,exported_cellml_models/calcium_dynamics/borghans_dupont_goldbeter_1997c,exported_cellml_models/calcium_dynamics/borghans_dupont_goldbeter_1997c/borghans_dupont_goldbeter_1997c.cellml,exported_cellml_models/calcium_dynamics/borghans_dupont_goldbeter_1997c/borghans_dupont_goldbeter_1997c.py,5595,0,0.0,False,,success_clean
44,butera_single_cell_1999,models_cellml2/neurobiology/butera_single_cell_1999.cellml,neurobiology,butera_single_cell_1999,neurobiology,exported_cellml_models/neurobiology/butera_single_cell_1999,exported_cellml_models/neurobiology/butera_single_cell_1999/butera_single_cell_1999.cellml,,0,255,,False,,validation_failed
45,borghans_dupont_goldbeter_1997a,models_cellml2/calcium_dynamics/borghans_dupont_goldbeter_1997a.cellml,calcium_dynamics,borghans_dupont_goldbeter_1997a,calcium_dynamics,exported_cellml_models/calcium_dynamics/borghans_dupont_goldbeter_1997a,exported_cellml_models/calcium_dynamics/borghans_dupont_goldbeter_1997a/borghans_dupont_goldbeter_1997a.cellml,exported_cellml_models/calcium_dynamics/borghans_dupont_goldbeter_1997a/borghans_dupont_goldbeter_1997a.py,5225,0,0.0,False,,success_clean
46,guyton_circulatory_dynamics_2008,models_cellml2/cardiovascular_circulation/guyton_circulatory_dynamics_2008.cellml,cardiovascular_circulation,guyton_circulatory_dynamics_2008,cardiovascular_circulation,exported_cellml_models/cardiovascular_circulation/guyton_circulatory_dynamics_2008,exported_cellml_models/cardiovascular_circulation/guyton_circulatory_dynamics_2008/guyton_circulatory_dynamics_2008.cellml,exported_cellml_models/cardiovascular_circulation/guyton_circulatory_dynamics_2008/guyton_circulatory_dynamics_2008.py,27798,0,0.0,False,,success_clean
47,mazhari_greenstein_winslow_marban_nuss_2001,models_cellml2/electrophysiology/mazhari_greenstein_winslow_marban_nuss_2001.cellml,electrophysiology,mazhari_greenstein_winslow_marban_nuss_2001,electrophysiology,exported_cellml_models/electrophysiology/mazhari_greenstein_winslow_marban_nuss_2001,exported_cellml_models/electrophysiology/mazhari_greenstein_winslow_marban_nuss_2001/mazhari_greenstein_winslow_marban_nuss_2001.cellml,,0,255,,False,,validation_failed
48,shannon_wang_puglisi_weber_bers_2004_a,models_cellml2/calcium_dynamics/shannon_wang_puglisi_weber_bers_2004_a.cellml,calcium_dynamics,shannon_wang_puglisi_weber_bers_2004_a,calcium_dynamics,exported_cellml_models/calcium_dynamics/shannon_wang_puglisi_weber_bers_2004_a,exported_cellml_models/calcium_dynamics/shannon_wang_puglisi_weber_bers_2004_a/shannon_wang_puglisi_weber_bers_2004_a.cellml,exported_cellml_models/calcium_dynamics/shannon_wang_puglisi_weber_bers_2004_a/shannon_wang_puglisi_weber_bers_2004_a.py,62425,0,0.0,False,,success_clean
49,mears_sheppard_atwater_rojas_bertram_sherman_1997,models_cellml2/calcium_dynamics/mears_sheppard_atwater_rojas_bertram_sherman_1997.cellml,calcium_dynamics,mears_sheppard_atwater_rojas_bertram_sherman_1997,calcium_dynamics,exported_cellml_models/calcium_dynamics/mears_sheppard_atwater_rojas_bertram_sherman_1997,exported_cellml_models/calcium_dynamics/mears_sheppard_atwater_rojas_bertram_sherman_1997/mears_sheppard_atwater_rojas_bertram_sherman_1997.cellml,exported_cellml_models/calcium_dynamics/mears_sheppard_atwater_rojas_bertram_sherman_1997/mears_sheppard_atwater_rojas_bertram_sherman_1997.py,13031,0,0.0,False,,success_clean
50,sarkar_lauffenburger_2003,models_cellml2/signal_transduction/sarkar_lauffenburger_2003.cellml,signal_transduction,sarkar_lauffenburger_2003,signal_transduction,exported_cellml_models/signal_transduction/sarkar_lauffenburger_2003,exported_cellml_models/signal_transduction/sarkar_lauffenburger_2003/sarkar_lauffenburger_2003.cellml,,0,0,0.0,True,* Rs in component Rs | * N in component parameters | * d/dt Rs in component Rs | * d/dt Cs in component Cs | * d/dt Li in component Li | * d/dt Ri in component Ri | * d/dt Ci in component Ci | * d/dt L in component L | * d/dt Ld in component Ld | * d/dt n in component N | * d/dt L4 in component PKPD | * d/dt n1 in component PKPD | * d/dt n2 in component PKPD,export_failed
51,kholodenko_demin_moehren_hoek_1999,models_cellml2/signal_transduction/kholodenko_demin_moehren_hoek_1999.cellml,signal_transduction,kholodenko_demin_moehren_hoek_1999,signal_transduction,exported_cellml_models/signal_transduction/kholodenko_demin_moehren_hoek_1999,exported_cellml_models/signal_transduction/kholodenko_demin_moehren_hoek_1999/kholodenko_demin_moehren_hoek_1999.cellml,exported_cellml_models/signal_transduction/kholodenko_demin_moehren_hoek_1999/kholodenko_demin_moehren_hoek_1999.py,18207,0,0.0,False,,success_clean
52,lemon_2003,models_cellml2/calcium_dynamics/lemon_2003.cellml,calcium_dynamics,lemon_2003,calcium_dynamics,exported_cellml_models/calcium_dynamics/lemon_2003,exported_cellml_models/calcium_dynamics/lemon_2003/lemon_2003.cellml,exported_cellml_models/calcium_dynamics/lemon_2003/lemon_2003.py,10507,0,0.0,False,,success_clean
53,gall_susa_1999_a,models_cellml2/calcium_dynamics/gall_susa_1999_a.cellml,calcium_dynamics,gall_susa_1999_a,calcium_dynamics,exported_cellml_models/calcium_dynamics/gall_susa_1999_a,exported_cellml_models/calcium_dynamics/gall_susa_1999_a/gall_susa_1999_a.cellml,exported_cellml_models/calcium_dynamics/gall_susa_1999_a/gall_susa_1999_a.py,8634,0,0.0,False,,success_clean
54,chen_popel_2006,models_cellml2/signal_transduction/chen_popel_2006.cellml,signal_transduction,chen_popel_2006,signal_transduction,exported_cellml_models/signal_transduction/chen_popel_2006,exported_cellml_models/signal_transduction/chen_popel_2006/chen_popel_2006.cellml,exported_cellml_models/signal_transduction/chen_popel_2006/chen_popel_2006.py,9047,0,0.0,False,,success_clean
55,mcallister_noble_tsien_1975_b,models_cellml2/electrophysiology/mcallister_noble_tsien_1975_b.cellml,electrophysiology,mcallister_noble_tsien_1975_b,electrophysiology,exported_cellml_models/electrophysiology/mcallister_noble_tsien_1975_b,exported_cellml_models/electrophysiology/mcallister_noble_tsien_1975_b/mcallister_noble_tsien_1975_b.cellml,exported_cellml_models/electrophysiology/mcallister_noble_tsien_1975_b/mcallister_noble_tsien_1975_b.py,14501,0,0.0,False,,success_clean
