t,S,R_1,R_2,R_12,P_1,P_2,I_1,I_2,I_12,I_21
0.26,34.57784881303906,0.3062795072661849,0.2742870409281236,0.0007695087479399934,4.588516038941567,4.255571511574033,33.21464939941365,28.835897390085464,0.07488031721090449,0.0763046203592766
0.27,31.598714550766033,0.32630234221646937,0.29023332270023816,0.0009334017162405689,4.905418928130408,4.52847394861237,34.73969130728956,29.96445367021063,0.08788088225444525,0.08959880653758842
0.28,28.706905766450834,0.3460179628892402,0.30556953446362495,0.0011252079139637073,5.235884715497721,4.811131525688625,36.2209644665736,31.035676843250403,0.10253669833762638,0.10458217324389807
0.29,25.921496682256958,0.36525305904487215,0.32012878058828836,0.0013483720191891741,5.579375681131737,5.102898831430413,37.64838654946332,32.04130502553921,0.11895349408461982,0.12135796009163706
0.3,23.259973922386365,0.38383419989734807,0.3337488320295967,0.0016065358475830776,5.93526080393193,5.40305662888244,39.012646885388726,32.973989136576634,0.1372263265555284,0.1400168219648923
0.31,20.737734635963648,0.40159175022760646,0.34627628874169736,0.0019035120397520066,6.3028251532789055,5.710822331338033,40.305476069445845,33.82751289626265,0.1574367069931104,0.16063370898173865
0.32,18.367656041013444,0.4183639004784519,0.3575707238426592,0.002243251939274612,6.681281725605835,6.025362408650543,41.519880770010694,34.59697370326266,0.1796498953560037,0.183264969361374
0.33,16.159766099582534,0.43400061822745517,0.3675085922033005,0.002629808195218075,7.069785297130024,6.345806256087048,42.650327594651195,35.2789113780733,0.2039125117360813,0.20794584607242717
0.34,14.121030502139064,0.4483673539988701,0.37598672485993107,0.003067292936531385,7.467447740872968,6.671260987219936,43.69286736632565,35.87137889369221,0.23025057252914533,0.23468849147955426
0.35000000000000003,12.255266082217501,0.46134831558397293,0.3829252167124529,0.0035598325859700648,7.87335413773083,7.000826507700609,44.645193695192994,36.37395186713517,0.2586680652440364,0.26348062768320746
0.36,10.563183348677292,0.4728491710275054,0.3882695710556656,0.00411152056641094,8.286579071894426,7.3336103206498064,45.506633593694005,36.787677059151974,0.28914613386189747,0.29428493244460024
0.37,9.042549717864404,0.4827990498860617,0.39199198408581126,0.004726369314926275,8.706202403392398,7.668741437153913,46.27807376330398,37.11496544737439,0.32164292681240797,0.32703920336150416
0.38,7.688459192519606,0.49115176648226744,0.3940917153658917,0.005408263035111418,9.131323945321462,8.005382915647106,46.961829349286255,37.35943793357871,0.356094118180647,0.36165730451041256
0.39,6.493687122318445,0.4978862282656143,0.3945945384890053,0.006160912644503753,9.561076528903795,8.342742618153002,47.561465864553824,37.52573487722482,0.39241407864209904,0.39803085785073833
0.4,5.449104653311544,0.5030060376800797,0.3935513175232786,0.006987814229106312,9.994637063733027,8.680081896595334,48.08158730359633,37.619302205507076,0.43049764026996384,0.43603160282366404
0.41000000000000003,4.544126069222078,0.5065383416026437,0.39103580470285837,0.007892212184519177,10.431235347063545,9.016722061925307,48.52760441573848,37.64616713745337,0.4702223688341409,0.4755143116638357
0.42,3.7671625985823103,0.5085320172875089,0.387141791007654,0.008877067983091472,10.870160508332281,9.35204860918926,48.90549711537818,37.6127160321063,0.5114512367914699,0.5163201240365057
0.43,3.1060589094808715,0.509055312248218,0.3819797684306561,0.009945035252032622,11.310765109158677,9.68551328916379,49.22158378455061,37.52548529973031,0.5540355763995712,0.5582801494855494
0.44,2.548492855624138,0.508193074942846,0.37567327824546504,0.011098441566295539,11.752467040947066,10.016634219293646,49.48230806934099,37.390973998703515,0.5978181866782702,0.6012191812341487
0.45,2.082323824630416,0.5060437187635325,0.36835511916762115,0.012339277073996275,12.194749444786634,10.344994289716523,49.694051331903836,37.215484311546,0.6426364722210665,0.6449593720337778
0.46,1.695880390026203,0.5027160611259888,0.3601635817402644,0.013669189855169775,12.637158942312352,10.67023816785199,49.86297611339494,37.00499348738417,0.6883255002237212,0.6893237354169843
0.47000000000000003,1.378183842107328,0.49832617167806365,0.3512388579153717,0.015089487598031925,13.079302523574274,10.992068239636476,49.994902893165374,36.76505798564886,0.7347208775301747,0.7341393570587164
0.48,1.1191074901747733,0.4929943410104816,0.3417197446607297,0.016601145060383408,13.520843409990645,11.310239792509947,50.0952205986933,36.5007491061895,0.7816613701497526,0.7792402280592075
0.49,0.9094767310745138,0.486842268511505,0.3317407388646386,0.018204816618846,13.961496240700384,11.624555757885947,50.16882856815808,36.21661702132403,0.8289912045076718,0.8244696350763142
0.5,0.7411159811443637,0.47999053670563835,0.32142958207559746,0.019900853083074876,14.401021861098691,11.934861261839332,50.22010701842913,35.916679752632575,0.8765620149914061,0.8696820744002423
0.51,0.6068517250228351,0.4725564245067363,0.3109052925910847,0.02168932194709788,14.839221990150449,12.24103822187563,50.252911294436196,35.60443226721404,0.9242344171699676,0.9147446770508615
0.52,0.5004802301201576,0.46465208328871244,0.30027668898817733,0.02357003020201913,15.27593396399686,12.543000153062527,50.2705854931038,35.28287134406104,0.9718792071844291,0.9595381581466709
0.53,0.4167094308742146,0.45638308481012496,0.28964139090839464,0.025542548885983347,15.71102572795927,12.84068732010498,50.27599046255911,34.954531530327095,1.0193781999506408,1.0039573193821076
0.54,0.35108311352193844,0.4478473311433237,0.2790852624090891,0.027606238592787945,16.144391187333163,13.13406231603062,50.27154186247166,34.62152826309595,1.0666247314383843,1.0479111483841494
0.55,0.29989497166311563,0.43913430532792447,0.26868225111973915,0.029760275243391802,16.575945994656433,13.423106118289951,50.259254217350694,34.28560458336793,1.1135238580881572,1.0913225677384024
0.56,0.260098482495377,0.4303246312734843,0.2584945672271881,0.03200367551388781,17.005623808492388,13.707814636443727,50.24078773496811,33.94817869422489,1.1599922919616008,1.1341278919532158
0.5700000000000001,0.22921751496167295,0.4214899060076015,0.2485731425349721,0.0343353214145203,17.43337303446165,13.988195745156448,50.217495192383225,33.61039014921521,1.2059581127226953,1.1762760522534792
0.58,0.20526111227913216,0.4126927635366512,0.23895830865016662,0.03675398361518399,17.859154033086867,14.264266775115676,50.190466971002635,33.2731431735064,1.2513602982565555,1.2177276480665953
0.59,0.1866448804540917,0.4039871292133767,0.22968063597757954,0.03925834321110721,18.282936765735112,14.536052424665845,50.16057285938048,32.93714610698937,1.296148114260627,1.2584538803308791
0.6,0.1721203801502454,0.3954186244079763,0.22076187948553372,0.04184701171454741,18.70469883848485,14.803583046943881,50.12849980118206,32.60294644484152,1.3402804006029927,1.2984354165561631
0.61,0.16071315057755842,0.38702508388126095,0.21221598324775884,0.044518549141441745,19.12442389863535,15.066893264699567,50.09478518517797,32.27096130448654,1.3837247886707784,1.337661231154951
0.62,0.15166941833043496,0.37883715183104055,0.2040501026579127,0.047271480133623645,19.542100337175583,15.326020865473076,50.05984559235968,31.9415034057133,1.4264568798115427,1.3761274576206315
0.63,0.1444110886032369,0.37087892657156774,0.1962656103322529,0.05010430811839522,19.95772025099834,15.58100593173754,50.02400117051136,31.61480284941416,1.4684594106717903,1.4138362821176187
0.64,0.1384983655086661,0.3631686285068621,0.188859059255911,0.05301552755744697,20.371278622411037,15.831890165196263,49.987495951222996,31.29102508157477,1.50972142660366,1.4507949008913974
0.65,0.1335991689500363,0.3557192698416369,0.181823082801217,0.05600363437486897,20.782772676512675,16.07871636802348,49.95051452945897,30.970285499427106,1.5502374805948687,1.4870145581376462
0.66,0.12946447390148702,0.3485393094281608,0.17514721827033836,0.05906713468285177,21.192201382932815,16.321528049938284,49.91319555685999,30.65266116027834,1.5900068706097719,1.5225096745062927
0.67,0.12590868051361762,0.34163327952626726,0.16881864543628222,0.06220455194282548,21.599565072475535,16.56036913411286,49.87564251559746,30.338200050634107,1.6290329251159934,1.5572970719736394
0.68,0.1227941779565257,0.33500237483882733,0.16282283630500952,0.06541443271279265,22.00486514399414,16.79528373957222,49.83793221538599,30.026928337553187,1.6673223433528552,1.5913952965072224
0.6900000000000001,0.1200193625552151,0.32864499748798887,0.1571441161165873,0.06869535113160953,22.4081038418434,17.026316022499845,49.80012140798703,29.718855969181558,1.7048845940512447,1.6248240366181028
0.7000000000000001,0.11750941992829107,0.32255725373447053,0.1517661383769512,0.07204591229802956,22.809284086914147,17.25351006139692,49.7622518895968,29.41398096324953,1.7417313743775404,1.6576036333619741
0.71,0.11520932510351375,0.3167334008273771,0.14667227899256818,0.07546475468998386,23.20840934885484,17.476909775248327,49.72435438579614,29.11229264870274,1.7778761287713998,1.6897546754954709
0.72,0.11307856900790547,0.31116624380760627,0.1418459560400774,0.0789505517671824,23.605483548986637,17.696558865613905,49.686451485756216,28.813774097095564,1.813333626090184,1.7212976722101303
0.73,0.11108722888034886,0.3058474835414803,0.1372708825478555,0.08250201288603581,24.00051098625548,17.912500776104014,49.64855983406511,28.518403926448403,1.848119592348431,1.752252795286318
0.74,0.1092130638476087,0.30076801818039955,0.13293126016751958,0.08611788364701038,24.393496280173842,18.12477866414319,49.61069175452341,28.226157628826822,1.8822503956098238,1.7826396821599568
0.75,0.10743938476344717,0.29591820123352564,0.12881192183620577,0.08979694578179938,24.784444326286465,18.333435381340873,49.572856443817656,27.93700853972989,1.9157427787990018,1.8124772913250342
0.76,0.10575350448925754,0.29128805945101505,0.12489843096584193,0.0935380166750887,25.17336026081574,18.53851345974888,49.53506084167472,27.650928540375347,1.948613636363291,1.8417838021674497
0.77,0.1041456282020048,0.28686747389140776,0.12117714391738447,0.09733994859739448,25.560249432255485,18.740055102246735,49.49731025527349,27.367888558132996,1.9808798307381357,1.8705765522182038
0.78,0.1026080425851936,0.28264632881457136,0.11763524354979182,0.10120162773043519,25.945117377731137,18.938102175410936,49.45960881637111,27.087858930333198,2.0125580432513526,1.8988720037884965
0.79,0.1011345472859733,0.27861463139847625,0.11426074877666147,0.10512197303613546,26.327969803276364,19.132696204259652,49.421959802301124,26.810809657992184,2.043664656060613,1.9266857349401874
0.8,0.09972004831078657,0.274762605955812,0.11104250563470472,0.10909993502171383,26.70881256690428,19.323878368093936,49.384365865914965,26.536710586028114,2.0742156609939424,1.954032449155719
0.81,0.09836026811931477,0.27108076661754715,0.10797016477294016,0.11313449444427151,27.087651663846845,19.511689497075466,49.346829199717114,26.265531530729707,2.1042265909557867,1.98092599871798
0.8200000000000001,0.09705154211542989,0.2675599709980052,0.10503414864135241,0.11722466098459192,27.46449321356691,19.696170069318953,49.309351651181544,25.997242368286646,2.133712471136449,2.007379418468588
0.8300000000000001,0.0957906738328201,0.26419145799139654,0.10222561157267077,0.12136947191147551,27.83934344813607,19.87736020832661,49.27193480484791,25.731813096907537,2.1626877866585943,2.0334049667109726
0.84,0.09457483062991899,0.2609668730054105,0.09953639644117311,0.12556799077607067,28.212208701826018,20.055299680710633,49.23458004143202,25.46921388081205,2.191166463049997,2.0590141695311086
0.85,0.09340147469442517,0.25787828042576083,0.0969589889444205,0.1298193061629975,28.58309540200464,20.23002789422676,49.19728857690964,25.209415078432556,2.2191618596128944,2.084217867465437
0.86,0.0922683009265625,0.2549181700866862,0.09448646936475842,0.13412253041554134,28.952010060190734,20.40158389586843,49.160061497739676,24.95238726731512,2.246686769112566,2.1090262647105793
0.87,0.09117320260547677,0.2520794546258769,0.09211246729948053,0.13847679846920122,29.318959264491465,20.57000637034867,49.12289978017602,24.698101256856017,2.273753426364611,2.133448975292773
0.88,0.09011424351816891,0.24935546184782398,0.08983111709842113,0.14288126673214935,29.683949672597137,20.735333638789562,49.085804305929514,24.446528098087605,2.30037352173894,2.1574950684980974
0.89,0.08908963221227742,0.24673992296857644,0.08763701485188942,0.1473351120117337,30.046988005251094,20.89760365761408,49.04877587670269,24.19763909236471,2.3265582186920852,2.1811731127198994
0.9,0.0880977058095788,0.24422695787217374,0.08552517898210933,0.15183753052740204,30.408081040492615,21.056854017752748,49.011815223220296,23.951405795920856,2.3523181739696977,2.204491215645908
0.91,0.08713691556042644,0.24181105804523592,0.08349101245660487,0.15638773696240418,30.767235608252744,21.213121944074793,48.97492301329504,23.70780002355319,2.3776635600181844,2.2274570628006165
0.92,0.08620581495249216,0.23948706773062653,0.08153026783671005,0.160984963565072,31.1244585853709,21.36644429509446,48.93809985844564,23.466793851103336,2.4026040890074603,2.2500779532237876
0.93,0.08530305129050127,0.23725016612676214,0.07963901816584587,0.1656284593810913,31.479756891435834,21.51685756294814,48.90134631854292,23.22835961664303,2.427149035127665,2.2723608292143838
0.9400000000000001,0.08442735582350984,0.2350958464358788,0.07781362510900589,0.17031748943941177,31.833137484424032,21.664397873575446,48.86466290732272,22.992469921928034,2.45130726035389,2.294312308871692
0.9500000000000001,0.08357753660000077,0.2330198964675569,0.07605071288421453,0.17505133403437062,32.18460735694318,21.809100987178997,48.8280500963325,22.75909763278647,2.475087238160748,2.3159387127792903
0.96,0.08275247338839901,0.231018380247268,0.07434714617545732,0.17982928808169038,32.53417353293768,21.951002298933048,48.79150831768997,22.528215878683213,2.498497075847392,2.3372460866598392
0.97,0.08195111268323708,0.2290876194432907,0.07270000879545879,0.18465066049270176,32.881843064515856,22.090136839899216,48.7550379668048,22.299798052149832,2.5215445369570433,2.358240223276574
0.98,0.08117246097442275,0.22722417464705685,0.07110658240878183,0.18951477356985852,33.227623028884615,22.226539278177754,48.718639406158175,22.073817808817992,2.544237063720882,2.37892668427031
0.99,0.08041558079073442,0.2254248296447367,0.06956433091536812,0.19442096250169022,33.57152052585177,22.360243920194467,48.682312967471034,21.850249066521574,2.566581795947064,2.3993108162617536
1.0,0.07967958679089247,0.22368657520094257,0.06807088420338113,0.19936857486394113,33.91354267537062,22.491284712176615,48.64605895385364,21.629066004266598,2.588585590361491,2.4193977675908456
1.01,0.07896364212624765,0.2220065940327544,0.06662402380677626,0.20435697015072374,34.25369661524591,22.6196952417365,48.609877641804495,21.41024306111219,2.6102550385835355,2.439192503132941
1.02,0.07826695491509772,0.2203822456333969,0.06522166963167697,0.2093855192980354,34.591989498832156,22.745508739899755,48.57376928314364,21.193754934672192,2.63159648532473,2.458699818077992
1.03,0.07758877558679811,0.21881105425137878,0.06386186999684694,0.2144536043094366,34.92842849324384,22.868758083007545,48.537734106467056,20.9795765796793,2.652616042795396,2.477924348305361
1.04,0.0769283938564225,0.2172906970347252,0.06254279113579526,0.21956061788832795,35.26302077758676,22.989475794691128,48.501772318831165,20.767683206675134,2.673319604891568,2.496870581296495
1.05,0.07628513593678964,0.21581899278609631,0.061262707633094673,0.22470596308618082,35.59577354127693,23.107694047959555,48.46588410730277,20.558050280578204,2.6937128606768836,2.515542866107062
1.06,0.07565836172229376,0.2143938896076803,0.060019992659162955,0.22988905290645967,35.926693982168075,23.223444667930256,48.430069640513366,20.3506535186833,2.713801309268341,2.5339454236144707
1.07,0.07504746382025713,0.21301345746745431,0.05881311272136152,0.23510931005312852,36.25578930538277,23.336759133899328,48.39432906914908,20.145468888842004,2.733590268884629,2.5520823520931177
1.08,0.0744518650328475,0.21167587874271615,0.0576406199482421,0.24036616662249263,36.58306672185776,23.447668581856295,48.358662527363315,19.942472607780417,2.7530848882648336,2.5699576353290676
1.09,0.07387101604345025,0.21037943994609934,0.05650114553156367,0.24565906382536176,36.908533447038124,23.556203806989014,48.323070134080325,19.741641139440343,2.7722901567126677,2.5875751495519386
1.1,0.07330439345269085,0.20912252399693018,0.055393393947271795,0.25098745171673326,37.23219669961788,23.66239526638145,48.28755199409173,19.542951193077315,2.79121091355077,2.604938669593293
1.11,0.07275149907786987,0.2079036034739816,0.05431613830396089,0.2563507889505453,37.55406370041772,23.766273081722122,48.25210819839259,19.346379720935673,2.809851856438432,2.622051873898168
1.12,0.07221185837102323,0.2067212344348531,0.053268215537707116,0.26174854255382796,37.87414167133881,23.867867041926797,48.21673882506406,19.151903916397256,2.8282175489874173,2.6389183496697073
1.1300000000000001,0.07168501861340183,0.20557405049960337,0.05224852201472276,0.2671801877014254,38.192437834322234,23.967206605934685,48.18144394029636,18.959501212102587,2.846312428110683,2.655541597615849
1.1400000000000001,0.07117054751655248,0.20446075770916686,0.05125600977605424,0.27264520751391846,38.50895941042294,24.064320905406554,48.14622359917364,18.76914927805356,2.864140810448162,2.671925036029506
1.1500000000000001,0.07066803237598068,0.20338012930048083,0.05028968275294414,0.2781430928481401,38.82371361886038,24.15923874767997,48.1110778461188,18.580826019306198,2.8817068989226278,2.6880720049197144
1.16,0.07017707918085575,0.20233100127390874,0.04934859344148922,0.2836733421105746,39.136707676173955,24.251988618597252,48.07600671537386,18.39450957384366,2.8990147883532207,2.7039857696575673
1.17,0.06969731118556892,0.20131226834372587,0.048431839957938747,0.2892354610808078,39.44794879542296,24.34259868532292,48.04101023181761,18.210178310696474,2.916068470621587,2.7196695242326294
1.18,0.06922836788242775,0.20032288009696375,0.047538563226220465,0.2948289627394684,39.75744418541412,24.43109679922622,48.00608841154,18.027810827878724,2.9328718395998896,2.735126394377606
1.19,0.06876990428627229,0.1993618375033983,0.04666794440308098,0.3004533671062598,40.06520104998064,24.51751049873487,47.97124126222832,17.847385950256655,2.949428695662311,2.750359440445668
1.2,0.06832159032934138,0.19842818957003255,0.04581920238925164,0.3061082010787285,40.37122658726916,24.601867012315342,47.93646878348636,17.66888272729505,2.9657427500455924,2.7653716602089036
1.21,0.06788310981680619,0.1975210303413453,0.04499159161306972,0.3117929982815703,40.6755279890737,24.684193261405877,47.901770967430615,17.492280431038175,2.9818176287956217,2.7801659913728947
1.22,0.0674541595309933,0.19663949620627408,0.044184400028008,0.31750729892659807,40.97811244022117,24.764515863258957,47.86714779920064,17.31755855412671,2.9976568763389273,2.7947453138634275
1.23,0.0670344476906789,0.19578276010474524,0.04339694461447712,0.3232506491223388,41.27898711870569,24.842861160037618,47.83259925778451,17.144696788646357,3.013263965426302,2.8091124566888483
1.24,0.06662369864157963,0.1949500453007511,0.04262858248151416,0.329022603503735,41.578159191457964,24.919255090797744,47.798125313495675,16.973675118878102,3.028642267760214,2.823270176734217
1.25,0.06622164222600715,0.19414059248991103,0.04187868461173511,0.33482271990565127,41.87563582059049,24.993723440400032,47.763725933723364,16.80447364096314,3.0437951186096734,2.8372212048168084
1.26,0.06582802153185044,0.19335368519231064,0.04114665594945576,0.34065056390797416,42.17142415686206,25.066291621914775,47.72940107882716,16.63707272083655,3.0587257644096955,2.8509682083684647
1.27,0.06544258888569178,0.19258863711037563,0.040431925523062046,0.34650570689347376,42.46553134136699,25.136984764979537,47.69515070428997,16.471452930184586,3.073437386995883,2.8645138083782995
1.28,0.06506510667206247,0.1918447887350318,0.0397339450009376,0.35238772543474955,42.757964506146905,25.20582774421643,47.660974760089445,16.30759502509057,3.0879331106708987,2.877860583099086
1.29,0.06469534932209793,0.19112151145746303,0.0390521923405913,0.35829620221101033,43.0487307722125,25.27284513271455,47.6268731895817,16.145479979543104,3.1022159926820385,2.8910110607530015
1.3,0.0643330996276685,0.19041820383858366,0.038386166487428666,0.3642307258646977,43.337837248710464,25.338061204664722,47.59284593177615,15.985088984652787,3.116289027824503,2.903967725105135
1.31,0.06397814613530477,0.1897342872256264,0.037735384340991274,0.37019089011402906,43.62529103409391,25.401499977813515,47.55889292283026,15.826403418253548,3.130155158101361,2.91673302185733
1.32,0.06363028404875655,0.189069207009403,0.037099381914371427,0.37617629420287013,43.911099214760085,25.46318518922486,47.52501409554539,15.669404862344319,3.143817268830311,2.9293093556081677
1.33,0.06328931618750669,0.18842243094824906,0.03647771340761097,0.3821865427742657,44.195268864649414,25.52314029927686,47.49120937873294,15.5140750996778,3.1572781911061027,2.9416990911245477
1.34,0.06295505474839479,0.18779344848761093,0.03586995134720473,0.3882212457693959,44.47780704491242,25.581388494988047,47.45747869606131,15.360396110600947,3.170540703108561,2.9539045534855966
1.35,0.06262731940153209,0.18718176909880258,0.035275685004641,0.39428001822457825,44.758720803797715,25.63795269852682,47.42382196721689,15.20835006742825,3.1836075329811218,2.9659280303538593
1.36,0.06230593563788224,0.18658692063254967,0.03469451882339941,0.40036248001382463,45.03801717680058,25.69285557899342,47.39023910890628,15.057919326329213,3.1964813620098007,2.977771774487725
1.37,0.06199073433074008,0.1860084496724486,0.03412607252353487,0.40646825611841725,45.315703185428355,25.746119536672147,47.356730035167914,14.909086439003305,3.2091648227007914,2.989438002429104
1.3800000000000001,0.06168155199949697,0.18544592023656656,0.033569979974680315,0.41259697648605176,45.59178583696491,25.797766708530144,47.32329465717688,14.761834148474227,3.2216605009326678,3.0009288960817355
1.3900000000000001,0.06137823172385765,0.18489891272768463,0.033025888746988405,0.4187482758482362,45.866272124475245,25.84781897640282,47.289932882622594,14.616145382702301,3.233970938105019,3.0122466038140905
1.4000000000000001,0.061080622489226986,0.18436702313631254,0.032493459464869257,0.4249217936396221,46.13916902653501,25.896297969855905,47.25664461610479,14.472003252682162,3.24609863242795,3.0233932413443156
1.41,0.060788578232422244,0.18384986193142175,0.03197236482922694,0.43111717379864534,46.410483507374494,25.943225075586525,47.22342975970732,14.329391045854136,3.258046041217031,3.034370893462524
1.42,0.06050195749078193,0.18334705418084202,0.03146228961607196,0.4373340649544064,46.68022251579239,25.98862142601835,47.190288213243896,14.188292234566623,3.269815579692774,3.045181613161367
1.43,0.06022062329896994,0.18285823854721164,0.030962929754137662,0.44357212028288157,46.94839298507517,26.032507905628542,47.15721987429846,14.048690471433428,3.2814096228468235,3.0558274230648097
1.44,0.05994444367540806,0.18238306659676404,0.03047399200032989,0.44983099738266347,47.215001832944154,26.074905156536786,47.124224637886584,13.910569585036331,3.2928305068808026,3.066310316197687
1.45,0.059673291322477486,0.18192120220599478,0.029995193479008055,0.45611035820425033,47.48005596133336,26.115833581228497,47.09130239663096,13.773913578015316,3.3040805302298497,3.076632256668709
1.46,0.05940704305028166,0.18147232089931742,0.029526261090848143,0.4624098689399432,47.74356225633276,26.15531334753263,47.05845304111095,13.638706623607302,3.315161954883198,3.086795180657384
1.47,0.059145579424238176,0.181036109465727,0.029066931108803023,0.4687292000152079,48.00552758777448,26.193364388058527,47.025676460084554,13.50493306616896,3.326077006831479,3.0968009967843533
1.48,0.058888784701996405,0.18061226551792006,0.028616948772251453,0.4750680260610442,48.26595880886604,26.230006400656922,46.99297254052135,13.37257742084645,3.336827876684152,3.1066515865627498
1.49,0.05863654710493949,0.1802004970347706,0.028176068070809298,0.4814260258378092,48.524862756036015,26.265258851692295,46.96034116741038,13.241624371072266,3.3474167205882757,3.1163488048756314
1.5,0.05838875862067329,0.17980052183001397,0.02774405131740223,0.48780288214375284,48.782246248858435,26.29914098022412,46.927782223869976,13.112058765564324,3.3578456613076493,3.125894480733839
1.51,0.058145314566448364,0.17941206711907104,0.027320668721235872,0.4941982817532008,49.03811608987461,26.331671800588943,46.89529559141828,12.983865616583765,3.3681167890286248,3.1352904179097303
1.52,0.05790611338186551,0.17903486914138053,0.026905698050305054,0.5006119153696013,49.29247906436675,26.362870104200535,46.86288115009818,12.857030098686458,3.378232162023898,3.144538395420282
1.53,0.05767105658202545,0.1786686726671822,0.026498924244128735,0.5070434775139007,49.545341940440096,26.392754465093557,46.83053877848888,12.731537544676767,3.388193807808398,3.153640168347885
