t,M2T2,M2C1,MT1T2,MT1T2M2proMT1,MT1C1,M2,MT1,M2_p,T2,C1_D,C1,MT1_cat,MT1_t,MT1T2M2pro,MT1T2_star,M2T2_star
0.13,5.042443196514623e-11,8.492710492037793e-06,1.427499789754199e-09,5.584805481794651e-10,2.545824773764822e-06,8.433982894613389e-09,3.5412344727106e-07,1.999338916072616e-17,1.1055211388220882e-09,5.66673199155558e-09,3.5579800220582684e-07,1.5798646178261383e-11,1.5798646178261383e-11,6.54080006485051e-14,1.4540238264972745e-12,6.006554659451955e-09
0.14,3.4974083616427886e-11,8.492150075313785e-06,1.4366517570219287e-09,5.583638386895818e-10,2.520444634922559e-06,8.996512247305215e-09,3.794907760425467e-07,2.3185529284244645e-17,1.0983701189896397e-09,6.0987945871718916e-09,3.813064951764833e-07,1.9573462369070442e-11,1.9573462369070442e-11,7.042985923760729e-14,1.5657082656514e-12,6.020004063557533e-09
0.15,2.440206252686648e-11,8.491589707106113e-06,1.446517986874262e-09,5.58247153699949e-10,2.495317629518131e-06,9.558184095085362e-09,4.0460371991233284e-07,2.6613654383031514e-17,1.0896958715736283e-09,6.530334651962739e-09,4.0656232872379244e-07,2.3885455576346578e-11,2.3885455576346578e-11,7.545032085220266e-14,1.6773693655444443e-12,6.0293841056388975e-09
0.16,1.7248674615042453e-11,8.491029388009283e-06,1.457064233702022e-09,5.58130493212247e-10,2.4704415164766275e-06,1.011923286028994e-08,4.294645275929868e-07,3.027770536773565e-17,1.0797676590172906e-09,6.96135661293146e-09,4.315677389011594e-07,2.876123374982239e-11,2.876123374982239e-11,8.046937950804369e-14,1.7890071305396894e-12,6.03591946294335e-09
0.17,1.2340673318179737e-11,8.49046911874214e-06,1.4682491167990164e-09,5.580138572284127e-10,2.4458135742686804e-06,1.067984712252645e-08,4.540759304687186e-07,3.417760939547753e-17,1.068816160479628e-09,7.3918658456741675e-09,4.563254411435054e-07,3.423232275183497e-11,3.423232275183497e-11,8.548702798862236e-14,1.9006215659893686e-12,6.0405940835807856e-09
0.18,8.98530196508014e-12,8.48990889997445e-06,1.480033749393384e-09,5.578972457501377e-10,2.4214312512816234e-06,1.124013841393309e-08,4.784404904109595e-07,3.8313296853258825e-17,1.0569924646256305e-09,7.82186738958389e-09,4.808379813543438e-07,4.032735058771174e-11,4.032735058771174e-11,9.050325958883702e-14,2.012212676976638e-12,6.043988522329203e-09
0.19,6.73614870641127e-12,8.4893487322613e-06,1.4923856881590236e-09,5.577806587787688e-10,2.3972924245424174e-06,1.1800178705104618e-08,5.02560339461651e-07,4.268470917782793e-17,1.044401540463797e-09,8.25136543722003e-09,5.05107477759062e-07,4.706969167933338e-11,4.706969167933338e-11,9.551806875943836e-14,2.123780467762618e-12,6.046476665355478e-09
0.2,5.21033467473783e-12,8.488788616281248e-06,1.5052649369252041e-09,5.5766409631587e-10,2.373394486480532e-06,1.2360029891070839e-08,5.264380971335772e-07,4.7291773480328906e-17,1.031145957743471e-09,8.68036513774154e-09,5.29136532100477e-07,5.448739994186e-11,5.448739994186e-11,1.0053144872817486e-13,2.2353249436284748e-12,6.048378817948361e-09
0.21,4.1768818482510115e-12,8.488228552691457e-06,1.5186322731090577e-09,5.575475583628383e-10,2.349734893361294e-06,1.291972953115761e-08,5.500763199315961e-07,5.2134417286522316e-17,1.0173031555324426e-09,9.10887151368202e-09,5.52927682433565e-07,6.26069277729747e-11,6.26069277729747e-11,1.0554339295043313e-13,2.3468461097939954e-12,6.049887741644666e-09
0.22,3.5246538905384858e-12,8.487668542260473e-06,1.5324421179120182e-09,5.574310449211331e-10,2.3263106542741168e-06,1.347929607858565e-08,5.734780144382013e-07,5.721255293914001e-17,1.002937934388152e-09,9.536890469802074e-09,5.764839129956067e-07,7.145818206137866e-11,7.145818206137866e-11,1.1055389379487896e-13,2.458343972519156e-12,6.051095351021845e-09
0.23,3.1996667699223962e-12,8.487108586105585e-06,1.5466284487993163e-09,5.573145559927547e-10,2.303117410482891e-06,1.4038739123126566e-08,5.966475626407911e-07,6.252605100469248e-17,9.881270238992512e-10,9.964430610790582e-09,5.998095728007319e-07,8.108393405239062e-11,8.108393405239062e-11,1.1556294018280102e-13,2.5698185410115594e-12,6.0520449230575616e-09
0.24,3.200035366749636e-12,8.48654868426581e-06,1.561188960267381e-09,5.571980915777731e-10,2.280155009780771e-06,1.4598058999654695e-08,6.195851175581431e-07,6.807490696336883e-17,9.728731034590916e-10,1.0391492237122842e-08,6.229048137162937e-07,9.148567731573169e-11,9.148567731573169e-11,1.205705317273313e-13,2.681269815592734e-12,6.052737968981685e-09
0.25,3.525759681020205e-12,8.48598883674115e-06,1.576123652316212e-09,5.570816516761882e-10,2.2574234521677576e-06,1.515725570817004e-08,6.422906791902578e-07,7.385912081516909e-17,9.571761730676728e-10,1.0818075348798857e-08,6.457696357422925e-07,1.0266341185140193e-10,1.0266341185140193e-10,1.255766684284698e-13,2.792697796262681e-12,6.0531744887942156e-09
0.26,4.135643976570872e-12,8.485429044004377e-06,1.591403486692528e-09,5.569652362886203e-10,2.2349208442575118e-06,1.5716336327775914e-08,6.647661530994269e-07,7.987863412103397e-17,9.410728228534177e-10,1.1244183682511448e-08,6.684059280555982e-07,1.1463399995887801e-10,1.1463399995887801e-10,1.3058134561516783e-13,2.9041024871305895e-12,6.053388126356118e-09
0.27,4.880521164046261e-12,8.484869307767386e-06,1.6069233177641492e-09,5.568488454173154e-10,2.212640330220875e-06,1.6275326491446372e-08,6.870184392031456e-07,8.613323527691947e-17,9.246955432987e-10,1.166983076858302e-08,6.908205312431556e-07,1.2745849893114816e-10,1.2745849893114816e-10,1.355845463738612e-13,3.0154839030755745e-12,6.05350070390634e-09
0.28,5.746859927160031e-12,8.484309628185464e-06,1.622673607510247e-09,5.567324790624774e-10,2.190581288148597e-06,1.6834228524411998e-08,7.090481634100269e-07,9.262290508769838e-17,9.080563529434646e-10,1.2095017834382648e-08,7.130140658315563e-07,1.4114244742654898e-10,1.4114244742654898e-10,1.405862691702785e-13,3.1268420454473562e-12,6.053523272242034e-09
0.29,6.734660265912178e-12,8.48375000525861e-06,1.6386543559308218e-09,5.566161372241062e-10,2.168743718040677e-06,1.7393042426672792e-08,7.308553257200705e-07,9.934764355337068e-17,8.911552517877114e-10,1.2519744879910328e-08,7.349865318208001e-07,1.5568584544508035e-10,1.5568584544508035e-10,1.4558651400441981e-13,3.2381769142459344e-12,6.053455831363198e-09
0.3,7.81359009953044e-12,8.483190439246778e-06,1.6548496990057918e-09,5.564998199023742e-10,2.1471265507644575e-06,1.7951773349117472e-08,7.524410027191338e-07,1.0630741573850058e-16,8.740135146862374e-10,1.2944014014475108e-08,7.567389959742881e-07,1.7109710380774181e-10,1.7109710380774181e-10,1.505852783210714e-13,3.3494885118891772e-12,6.053323302515857e-09
0.31,8.792316024202578e-12,8.482630931789706e-06,1.6711595672086645e-09,5.56383527098368e-10,2.125723042279127e-06,1.8510453783320757e-08,7.738119854624717e-07,1.1350200127192716e-16,8.567653424680066e-10,1.3367838543503752e-08,7.782781873876611e-07,1.8742927759580952e-10,1.8742927759580952e-10,1.5558254600206014e-13,3.460776853628882e-12,6.053282887801128e-09
0.32,9.637339941702284e-12,8.482071483174478e-06,1.6875664406565496e-09,5.562672588122778e-10,2.1045320118575524e-06,1.9069089417813456e-08,7.949694629083708e-07,1.209313615717057e-16,8.394342306255009e-10,1.3791220796471843e-08,7.996052841714963e-07,2.0469165553926264e-10,2.0469165553926264e-10,1.6057831422546286e-13,3.5720419421352884e-12,6.053362109707609e-09
0.33,1.034866185202956e-11,8.481512093401093e-06,1.7040703193494467e-09,5.561510150441039e-10,2.0835534594997326e-06,1.9627680252595567e-08,8.159134350568313e-07,1.2859549663783627e-16,8.2202017915872e-10,1.4214160773379381e-08,8.207202863257934e-07,2.2288423763810115e-10,2.2288423763810115e-10,1.655725829912796e-13,3.683283777408397e-12,6.053560968235301e-09
0.34,1.093802018476796e-11,8.48095276266228e-06,1.7206616209668285e-09,5.560347957937814e-10,2.0627865742388266e-06,2.0186224569528795e-08,8.366447171111237e-07,1.3649437737632138e-16,8.045312449753827e-10,1.463666007360517e-08,8.416240030252875e-07,2.42012369783393e-10,2.42012369783393e-10,1.7056535042488933e-13,3.794502361416527e-12,6.0538692503673985e-09
0.35000000000000003,1.1552928888930933e-11,8.480393493379995e-06,1.7372199268503423e-09,5.559186010604985e-10,2.0422211648545845e-06,2.074470077719299e-08,8.571735535296627e-07,1.4462763817007214e-16,7.870686772473611e-10,1.505873879614811e-08,8.623266029692713e-07,2.6214323246949845e-10,2.6214323246949845e-10,1.7555659296839168e-13,3.905697718895066e-12,6.054158611641004e-09
0.36,1.223781631569262e-11,8.479834286283686e-06,1.753708969226824e-09,5.558024308440108e-10,2.021854161948382e-06,2.1303102372669597e-08,8.775030297453791e-07,1.529951689022858e-16,7.696629702688841e-10,1.5480402994438312e-08,8.828311487734913e-07,2.8329705916325524e-10,2.8329705916325524e-10,1.8054630352660226e-13,4.016869857293832e-12,6.054390397183768e-09
0.37,1.2992682465053027e-11,8.479275141373357e-06,1.770128748096274e-09,5.556862851443183e-10,2.0016855655202187e-06,2.1861429355958615e-08,8.976331457582728e-07,1.6159696957296246e-16,7.523141240399514e-10,1.5901652668475782e-08,9.031376404379479e-07,3.0547384986466355e-10,3.0547384986466355e-10,1.8553448209952108e-13,4.128018776612827e-12,6.054564606995691e-09
0.38,1.3817527337012151e-11,8.478716058649001e-06,1.7864792634586918e-09,5.555701639614208e-10,1.981715375570095e-06,2.241968172706004e-08,9.17563901568344e-07,1.7043304018210202e-16,7.350221385605631e-10,1.632248781826052e-08,9.232460779626411e-07,3.286736045737233e-10,3.286736045737233e-10,1.9052112868714814e-13,4.2391444768520495e-12,6.054681241076773e-09
0.39,1.471235093156999e-11,8.478157038110625e-06,1.8027605153140778e-09,5.554540672953185e-10,1.961943592098011e-06,2.2977859485973878e-08,9.372952971755924e-07,1.7950338072970451e-16,7.177870138307193e-10,1.674290844379252e-08,9.431564613475706e-07,3.528963232904345e-10,3.528963232904345e-10,1.9550624328948345e-13,4.3502469580115005e-12,6.054740299427014e-09
0.4,1.5677153248726553e-11,8.477598079758224e-06,1.8189725036624319e-09,5.553379951460113e-10,1.9423702151039664e-06,2.3535962632700125e-08,9.568273325800182e-07,1.8880799121576994e-16,7.006087498504198e-10,1.7162914545071788e-08,9.628687905927367e-07,3.781420060147971e-10,3.781420060147971e-10,2.00489825906527e-13,4.4613262200911804e-12,6.054741782046413e-09
0.41000000000000003,1.6711934288481828e-11,8.4770391835918e-06,1.835115228503754e-09,5.552219475134992e-10,1.9229952445879613e-06,2.4093991167238785e-08,9.761600077816214e-07,1.983468716402983e-16,6.834873466196648e-10,1.758250612209832e-08,9.823830656981392e-07,4.0441065274681117e-10,4.0441065274681117e-10,2.054718765382788e-13,4.5723822630910884e-12,6.054685688934971e-09
0.42,1.7816694050835817e-11,8.476480349611353e-06,1.851188689838044e-09,5.551059243977822e-10,1.9038186805499962e-06,2.4651945089589848e-08,9.952933227804017e-07,2.0812002200328955e-16,6.664228041384542e-10,1.8001683174872115e-08,1.001699286663778e-06,4.3170226348647654e-10,4.3170226348647654e-10,2.1045239518473879e-13,4.683415087011224e-12,6.054572020092688e-09
0.43,1.899143253578853e-11,8.475921577816881e-06,1.867192887665302e-09,5.549899257988604e-10,1.88484052299007e-06,2.5209824399753327e-08,1.0142272775763595e-06,2.1812744230474378e-16,6.494151224067881e-10,1.8420445703393178e-08,1.0208174534896534e-06,4.600168382337934e-10,4.600168382337934e-10,2.1543138184590705e-13,4.794424691851589e-12,6.054400775519564e-09
0.44,2.045344587460573e-11,8.47536286884796e-06,1.883105304736418e-09,5.548739517155197e-10,1.8660578980949526e-06,2.5767594556791806e-08,1.0329647549498686e-06,2.283690203676493e-16,6.324529172995805e-10,1.8838799372050586e-08,1.0397404336850364e-06,4.893679270959227e-10,4.893679270959227e-10,2.2040883040978008e-13,4.905411085050243e-12,6.053988560458416e-09
0.45,2.324902128668654e-11,8.474804225784137e-06,1.89881751983918e-09,5.547580021419155e-10,1.8474569683699919e-06,2.6325089245082675e-08,1.0515196355726366e-06,2.3884421605641815e-16,6.154813739220071e-10,1.925677145504319e-08,1.0584820343908282e-06,5.198207742346511e-10,5.198207742346511e-10,2.253847114468821e-13,5.01637430242167e-12,6.052452323796343e-09
0.46,2.751568108538955e-11,8.474245649030184e-06,1.914315282263416e-09,5.546420770772794e-10,1.8290359150370926e-06,2.6882286604367356e-08,1.0698937438978818e-06,2.495529583764953e-16,5.984932874922419e-10,1.967436553724793e-08,1.0770440703954755e-06,5.513839552379202e-10,5.513839552379202e-10,2.303590210890501e-13,5.127314348673265e-12,6.049675998711911e-09
0.47000000000000003,3.325342527071477e-11,8.4736871385861e-06,1.9295985920091267e-09,5.545261765216114e-10,1.810794738096255e-06,2.7439186634645846e-08,1.0880870799256038e-06,2.6049524732788067e-16,5.814886580102849e-10,2.009158161866481e-08,1.095426541698978e-06,5.840574701057299e-10,5.840574701057299e-10,2.3533175933628414e-13,5.238231223805031e-12,6.045659585205121e-09
0.48,4.046225384266215e-11,8.47312869445189e-06,1.944667449076312e-09,5.544103004749116e-10,1.7927334375474792e-06,2.7995789335918146e-08,1.1060996436558027e-06,2.716710829105744e-16,5.644674854761364e-10,2.050841969929382e-08,1.113629448301336e-06,6.1784131883808e-10,6.1784131883808e-10,2.4030292618858414e-13,5.349124927816966e-12,6.040403083275972e-09
0.49,4.9142166801231777e-11,8.47257031662755e-06,1.9595218534649715e-09,5.5429444893718e-10,1.7748520133907647e-06,2.8552094708184263e-08,1.1239314350884787e-06,2.830804651245764e-16,5.47429769889796e-10,2.092487977913497e-08,1.1316527902025495e-06,6.527355014349709e-10,6.527355014349709e-10,2.4527252164595015e-13,5.4599954607090715e-12,6.033906492924466e-09
0.5,5.929316414642361e-11,8.472012005113081e-06,1.9741618051751053e-09,5.541786219084164e-10,1.757150465626112e-06,2.9108102751444185e-08,1.1415824542236316e-06,2.947233939698867e-16,5.30375511251264e-10,2.134096185818826e-08,1.1494965674026184e-06,6.887400178964025e-10,6.887400178964025e-10,2.5024054570838217e-13,5.570842822481347e-12,6.026169814150601e-09
0.51,7.091524587823764e-11,8.471453759908482e-06,1.9885873042067135e-09,5.54062819388621e-10,1.7396287942535207e-06,2.9663813465697924e-08,1.1590527010612615e-06,3.065998694465054e-16,5.133047095605401e-10,2.1756665936453683e-08,1.1671607799015428e-06,7.258548682223747e-10,7.258548682223747e-10,2.552069983758802e-13,5.6816670131337915e-12,6.017193046954379e-09
0.52,8.40084119966739e-11,8.470895581013755e-06,2.002798350559796e-09,5.539470413777937e-10,1.722286999272991e-06,3.021922685094547e-08,1.1763421756013683e-06,3.187098915544323e-16,4.962173648176246e-10,2.2171992013931243e-08,1.1846454276993229e-06,7.640800524128875e-10,7.640800524128875e-10,2.6017187964844426e-13,5.792468032666407e-12,6.006976191335797e-09
0.53,9.857266250173235e-11,8.470337468428897e-06,2.016794944234353e-09,5.538312878759345e-10,1.705125080684523e-06,3.077434290718683e-08,1.1934508778439522e-06,3.310534602936675e-16,4.791134770225173e-10,2.2586940090620938e-08,1.2019505107959583e-06,8.034155704679411e-10,8.034155704679411e-10,2.651351895260743e-13,5.903245881079191e-12,5.995519247294858e-09
0.54,1.190619405447685e-10,8.469779423261241e-06,2.030641575740335e-09,5.537155588786802e-10,1.6881379996163965e-06,3.1328443810381143e-08,1.2103837683861764e-06,3.436303539834021e-16,4.612118389411357e-10,2.3001520092610138e-08,1.2190810570297504e-06,8.438752064382591e-10,8.438752064382591e-10,2.7009691822084833e-13,6.01400057274511e-12,5.979084988404114e-09
0.55,1.5549939173637298e-10,8.469221448002725e-06,2.044483374404672e-09,5.535998543762112e-10,1.6713144166008083e-06,3.187991417060542e-08,1.2271520105469242e-06,3.5644007375354397e-16,4.40754423227111e-10,2.341575435754789e-08,1.2360483810389173e-06,8.854899799266536e-10,8.854899799266536e-10,2.7505704370604407e-13,6.124732140009056e-12,5.949263167071917e-09
0.56,2.0826315245653713e-10,8.468663542747358e-06,2.0583258154225225e-09,5.534841743681574e-10,1.6546539038413883e-06,3.242869304514552e-08,1.243756025477115e-06,3.694826007835616e-16,4.176749059814887e-10,2.3829643728151447e-08,1.2528529096831e-06,9.282610611885291e-10,9.282610611885291e-10,2.8001556515067454e-13,6.2354405840912835e-12,5.905736495622051e-09
0.5700000000000001,2.7735322270526116e-10,8.468105707495142e-06,2.0721688987938862e-09,5.533685188545185e-10,1.6381564613381368e-06,3.297478043400144e-08,1.2601958131767486e-06,3.8275793507345484e-16,3.919732872042688e-10,2.424318820442081e-08,1.2694946429622984e-06,9.721884502238856e-10,9.721884502238856e-10,2.849724825547397e-13,6.346125904991792e-12,5.848504974054518e-09
0.58,3.6276960248254423e-10,8.467547942246076e-06,2.0860126245187624e-09,5.532528878352947e-10,1.6218220890910538e-06,3.3518176337173183e-08,1.2764713736458254e-06,3.962660766232236e-16,3.6364956689545165e-10,2.465638778635597e-08,1.2859735808765124e-06,1.0172721470327224e-09,1.0172721470327224e-09,2.8992779591823945e-13,6.456788102710579e-12,5.777568602369317e-09
0.59,4.64512291788388e-10,8.46699024700016e-06,2.099856992597152e-09,5.531372813104858e-10,1.605650787100139e-06,3.405888075466075e-08,1.2925827068843452e-06,4.1000702543286817e-16,3.3270374505503655e-10,2.5069242473956947e-08,1.3022897234257422e-06,1.0635121516150408e-09,1.0635121516150408e-09,2.9488150524117394e-13,6.5674271772476484e-12,5.692927380566448e-09
0.6,5.825812906227918e-10,8.466432621757394e-06,2.113702003029055e-09,5.53021699280092e-10,1.5896425553653927e-06,3.459689368646414e-08,1.3085298128923081e-06,4.2398078150238845e-16,2.9913582168302386e-10,2.5481752267223728e-08,1.3184430706099877e-06,1.11090846397084e-09,1.11090846397084e-09,2.998336105235431e-13,6.6780431286029995e-12,5.59458130864591e-09
0.61,7.169765989857555e-10,8.465875066517778e-06,2.1275476558144707e-09,5.529061417441133e-10,1.5737973938868145e-06,3.513221513258335e-08,1.324312691669714e-06,4.381873448317844e-16,2.6294579677941355e-10,2.5893917166156312e-08,1.3344336224292489e-06,1.1594610841001202e-09,1.1594610841001202e-09,3.04784111765347e-13,6.788635956776631e-12,5.482530386607704e-09
0.62,8.67698216877279e-10,8.465317581281313e-06,2.1413939509534e-09,5.527906087025496e-10,1.558115302664405e-06,3.566484509301839e-08,1.3399313432165628e-06,4.52626715421056e-16,2.241336703442057e-10,2.6305737170754705e-08,1.350261378883526e-06,1.2091700120028813e-09,1.2091700120028813e-09,3.0973300896658553e-13,6.899205661768543e-12,5.35677461445183e-09
0.63,1.0347461442973625e-09,8.464760166047997e-06,2.155240888445842e-09,5.526751001554009e-10,1.5425962816981637e-06,3.619478356776924e-08,1.3553857675328548e-06,4.672988932702033e-16,1.826994423774002e-10,2.6717212281018905e-08,1.3659263399728185e-06,1.2600352476791234e-09,1.2600352476791234e-09,3.146803021272588e-13,7.009752243578737e-12,5.217313992178288e-09
0.64,1.0043653907900537e-09,8.46420285927358e-06,2.1653788002666978e-09,5.525596157753784e-10,1.527034981577367e-06,3.675644189519339e-08,1.3708848727262889e-06,4.821924102268394e-16,1.7680257427430397e-10,2.7128746855031826e-08,1.3816334122940199e-06,1.3122077624851638e-09,1.3122077624851638e-09,3.196256139602022e-13,7.120276418251383e-12,5.243453716854466e-09
0.65,9.718312906860041e-10,8.463645625826908e-06,2.17519664431731e-09,5.524441558614759e-10,1.5116189987401058e-06,3.731838368361554e-08,1.386237811320096e-06,4.973177429927562e-16,1.715825859780468e-10,2.753997149248304e-08,1.3971954039405012e-06,1.3655496369178536e-09,1.3655496369178536e-09,3.2456928913515683e-13,7.230777531646128e-12,5.271389976322008e-09
0.66,9.388421574487954e-10,8.463088465402445e-06,2.184723894431898e-09,5.523287204162939e-10,1.4963499647163306e-06,3.788033553011253e-08,1.401442923509978e-06,5.126749826840373e-16,1.667362952007562e-10,2.7950882980690702e-08,1.4126106869005305e-06,1.4200596714885336e-09,1.4200596714885336e-09,3.2951133064972213e-13,7.341255578073901e-12,5.2996981655711324e-09
0.67,9.053979910784272e-10,8.462531378000193e-06,2.193960550610462e-09,5.522133094398323e-10,1.4812278795060411e-06,3.8442297434684365e-08,1.4165002092959344e-06,5.282641293006827e-16,1.622637019424321e-10,2.836148131965482e-08,1.4278792611741076e-06,1.4757378661972033e-09,1.4757378661972033e-09,3.344517385038982e-13,7.4517105575347e-12,5.328378284601839e-09
0.68,8.714987915748999e-10,8.46197436362015e-06,2.2029066128530028e-09,5.520979229320912e-10,1.4662527431092376e-06,3.900426939733104e-08,1.4314096686779657e-06,5.440851828426922e-16,1.5816480620307454e-10,2.877176650937538e-08,1.4430011267612326e-06,1.5325842210438627e-09,1.5325842210438627e-09,3.393905126976849e-13,7.562142470028529e-12,5.357430333414129e-09
0.6900000000000001,8.371445589382131e-10,8.461417422262318e-06,2.211562081159519e-09,5.519825608930704e-10,1.4514245555259198e-06,3.9566251418052544e-08,1.4461713016560715e-06,5.60138143310066e-16,1.544396079826835e-10,2.918173854985239e-08,1.4579762836619053e-06,1.5905987360285122e-09,1.5905987360285122e-09,3.443276532310824e-13,7.672551315555384e-12,5.386854312008002e-09
0.7000000000000001,8.023352931683671e-10,8.460860553926694e-06,2.2199269555300114e-09,5.518672233227703e-10,1.436743316756088e-06,4.0128243496848895e-08,1.460785108230252e-06,5.764230107028039e-16,1.51088107281259e-10,2.959139744108585e-08,1.4728047318761262e-06,1.649781411151151e-09,1.649781411151151e-09,3.4926316010409057e-13,7.782937094115266e-12,5.416650220383457e-09
0.71,7.670709942653621e-10,8.460303758613281e-06,2.22800123596448e-09,5.517519102211904e-10,1.422209026799742e-06,4.069024563372008e-08,1.475251088400507e-06,5.929397850209062e-16,1.4811030409880108e-10,3.0000743183075755e-08,1.4874864714038944e-06,1.710132246411779e-09,1.710132246411779e-09,3.541970333167094e-13,7.893299805708174e-12,5.446818058540496e-09
0.72,7.313516622291973e-10,8.459747036322077e-06,2.235784922462925e-09,5.51636621588331e-10,1.407821685656882e-06,4.125225782866611e-08,1.4895692421668368e-06,6.096884662643727e-16,1.4550619843530965e-10,3.0409775775822117e-08,1.502021502245211e-06,1.7716512418103978e-09,1.7716512418103978e-09,3.5912927286893903e-13,8.003639450334112e-12,5.477357826479116e-09
0.73,6.951772970598733e-10,8.459190387053084e-06,2.2432780150253457e-09,5.515213574241921e-10,1.3935812933275077e-06,4.1814280081686974e-08,1.5037395695292412e-06,6.266690544332034e-16,1.4327579029078475e-10,3.081849521932493e-08,1.5164098244000753e-06,1.834338397347006e-09,1.834338397347006e-09,3.640598787607794e-13,8.113956027993076e-12,5.50826952419932e-09
