t,Arg,Fe3,Fe3_Arg,Fe2_Arg,Fe2,Fe3_NO,Fe2_NO,Fe3_NOHA,NOHA,Fe2_NOHA,Fe3_O2_Arg,Fe3_O2_NOHA,NO,citrulline,NO3
0.23,100.0,0.004045936775163198,0.0326798051232896,0.0006470088405933746,6.0829310249864126e-05,4.996639134169261e-05,2.4630040637354728e-06,0.004796968359202212,6.537311978572439e-05,2.3690650970517273e-05,0.0025861960954190197,0.0001071354497067905,0.00019055489700342662,0.00024373844894387826,7.541565350236783e-07
0.24,100.0,0.003690158955890905,0.032735874322706304,0.0006485787429912933,5.922239170280802e-05,5.4099648709763775e-05,2.787553487646673e-06,0.005073595267222283,7.310130098310788e-05,2.5317616732034855e-05,0.0025953884629750755,0.00011497703758188631,0.00021859880620093508,0.00027638908410629895,9.030757079535303e-07
0.25,100.0,0.0033735906614373924,0.03275796907955277,0.000649494726195297,5.777291293225444e-05,5.826429215959477e-05,3.1309097866573235e-06,0.005348403398701961,8.129160666140974e-05,2.695428325508045e-05,0.0026015939309546234,0.00012282580502436888,0.00024887959020573365,0.00031134574557659393,1.0709534246083105e-06
0.26,100.0,0.003092145975199967,0.03275014067380579,0.0006498250148164023,5.646519232808202e-05,6.244842692494732e-05,3.4922596539373085e-06,0.005621057528503415,8.994208095169439e-05,2.8588039013463905e-05,0.0026051626768534273,0.000130674212900589,0.0002814110391785634,0.0003486105615701617,1.2588358127137602e-06
0.27,100.0,0.002842182526508033,0.03271599061032835,0.0006496390671454292,5.528480656087431e-05,6.664181776471082e-05,3.870734904042087e-06,0.0058912690686263765,9.904992448234973e-05,3.0215307618070768e-05,0.0026063982212128738,0.00013850783933127902,0.00031620073851657335,0.0003881810103081872,1.4677191228610933e-06
0.28,100.0,0.0026204342446084538,0.03265873893867136,0.0006489981360447379,5.421881334149553e-05,7.083540759766014e-05,4.265429780078229e-06,0.006158788665598976,0.00010861173163043716,3.183461516328307e-05,0.002605573564543474,0.00014631218465049284,0.00035325103976618455,0.00043005042595729956,1.698548813376831e-06
0.29,100.0,0.002423954621676968,0.03258128190289132,0.0006479573433268153,5.325556314987668e-05,7.502103826900714e-05,4.675414940268912e-06,0.006423400174791589,0.0001186236423817593,3.3443608323955694e-05,0.002602934881382175,0.00015407545124803513,0.00039255989040524536,0.00047420856318758776,1.9522195730663988e-06
0.3,100.0,0.0022501039477184495,0.032486204968575044,0.0006465662152329505,5.238461532431497e-05,7.919147340612055e-05,5.0997434731780236e-06,0.006684919249375839,0.00012908135434048186,3.5040078650843735e-05,0.0025987022788881184,0.00016178742935516865,0.0004341210405684171,0.0005206418302438746,2.2295727961588883e-06
0.31,100.0,0.0020965176994581364,0.032375814981065516,0.0006448689733955521,5.159660996273591e-05,8.334034413825134e-05,5.53746005063695e-06,0.0069431899248251034,0.00013998017500435958,3.6622456309234914e-05,0.002593072724531797,0.000169438826263068,0.00047792452295157247,0.0005693337226721231,2.5313955316623247e-06
0.32,100.0,0.0019610742461368593,0.03225217301370463,0.0006429051710303367,5.088315045261397e-05,8.746203842573216e-05,5.987609309566423e-06,0.0071980811475300345,0.00015131509092705415,3.818928754502636e-05,0.002586222705125919,0.00017702163073931936,0.000523957148430281,0.0006202652166347061,2.858420469126631e-06
0.33,100.0,0.0018418676581567434,0.03211712203466129,0.0006407102915947378,5.02366919405124e-05,9.155162583454921e-05,6.449242657191226e-06,0.007449483845614968,0.00016308081852918328,3.973925914576069e-05,0.0025783104132121215,0.00018452893718215674,0.0005722029315446771,0.0006734151263533573,3.2113263169396867e-06
0.34,100.0,0.0017371939065669536,0.03197230095404215,0.0006383159650326977,4.965048540420472e-05,9.560482185378079e-05,6.921421622759082e-06,0.00769730943551899,0.00017527182867156305,4.127129990289424e-05,0.002569476947350217,0.00019195476270538348,0.0006226433106984016,0.0007287602923431943,3.5907381682528916e-06
0.35000000000000003,100.0,0.0016455193176378399,0.031819176728117564,0.0006357505716095322,4.911845350240624e-05,9.961789258423258e-05,7.4032254333903525e-06,0.007941486415495217,0.00018788240755802298,4.278450652667581e-05,0.0025598489442004075,0.00019929394489277109,0.000675257648610278,0.0007862759950022165,3.99722837431564e-06
0.36,100.0,0.0015654662881870165,0.03165905890174614,0.0006330395363911465,4.8635138126677615e-05,0.00010358759901398637,7.893753865343518e-06,0.008181958819177455,0.00020090668736686947,4.4277923225942266e-05,0.002549539756701495,0.00020654228356486415,0.0007300234651911931,0.0008459361356954204,4.4313176248974016e-06
0.37,100.0,0.0014957988868314713,0.0314931142605467,0.0006302055190265802,4.819563298307061e-05,0.00010751117927070717,8.392130019737415e-06,0.008418684656964456,0.00021433866390842702,4.575109150616247e-05,0.0025386507515546917,0.00021369589129651792,0.0007869166667069252,0.0009077134520389182,4.893476041548331e-06
0.38,100.0,0.001435410810222946,0.03132237909378751,0.00062726869651966,4.779554919551242e-05,0.00011138627600769461,8.897502118002155e-06,0.008651634612343884,0.00022817222992308666,4.720339739345323e-05,0.00252727227287489,0.00022075178953656104,0.0008459117469930858,0.0009715796498980665,5.384124779283707e-06
0.39,100.0,0.0013833114128519088,0.031147773405969123,0.000624247065916563,4.743094670313171e-05,0.00011521091878272536,9.409045845541958e-06,0.008880790534482586,0.000242401192155334,4.863458602766607e-05,0.0025154847849938647,0.0002277072984270116,0.0009069820071187637,0.0010375056091385595,5.9036373915280745e-06
0.4,100.0,0.0013386131525561832,0.030970113693168117,0.000621156636369172,4.709829813256946e-05,0.00011898345751783656,9.925966088436824e-06,0.009106144080717396,0.00025701930323440204,5.004422990243694e-05,0.0025033599779457467,0.0002345605076022217,0.0009700997596460033,0.0011054615247942272,6.45234154195024e-06
0.41000000000000003,100.0,0.0013005183146870018,0.030790126451107222,0.0006180116986190873,4.67944349641074e-05,0.00012270252173861624,1.0447498984130128e-05,0.009327695282866193,0.0002720202856601806,5.143175230731605e-05,0.002490961871447731,0.00024131017327870324,0.0010352365411300868,0.0011754170823942763,7.030520541442758e-06
0.42,100.0,0.0012683131206201702,0.03060845416106281,0.0006148249342317165,4.651650546074573e-05,0.0001263670388975201,1.0972911469021336e-05,0.009545451912298707,0.0002873978279168674,5.279724463397715e-05,0.002478347331228703,0.00024795484009673056,0.0011023632034847038,0.0012473415691943036,7.638415343058068e-06
0.43,100.0,0.0012413532011148257,0.030425670074644223,0.0006116076976841066,4.626193470160379e-05,0.0001299761512000795,1.1501503826922149e-05,0.009759427910836595,0.00030314562441302947,5.414068872717395e-05,0.00246556728258188,0.00025449355468268596,0.0011714501495896177,0.0013212040305879635,8.27622597134411e-06
0.44,100.0,0.0012190645245277046,0.030242277257543134,0.0006083699611786376,4.6028430873203416e-05,0.00013352921124947824,1.2032607116673427e-05,0.009969643494616409,0.0003192573727706142,5.5461906879230826e-05,0.0024526666888802146,0.0002609259171354102,0.0012424673177826235,0.0013969732499816785,8.94411383290332e-06
0.45,100.0,0.0012009302932657119,0.030058721917908694,0.0006051206181235848,4.581392330267301e-05,0.00013702575892177716,1.2565585193054414e-05,0.010176123742581299,0.00033572679175892,5.676091604895718e-05,0.0024396856042992955,0.00026725164035505553,0.0013153843877491424,0.0014746179350355155,9.642203171541482e-06
0.46,100.0,0.0011864888267225533,0.029875395550791592,0.000601867513312069,4.5616560361817425e-05,0.00014046549924772882,1.3099833209362846e-05,0.010378898372323152,0.0003525476279156571,5.803767713201793e-05,0.0024266593753248735,0.00027347079157493857,0.0013901708135638795,0.0015541067291445052,1.0370583123533808e-05
0.47000000000000003,100.0,0.001175327093383268,0.029692641505048818,0.0005986175523505737,4.543467895320278e-05,0.0001438482936455764,1.3634777612674671e-05,0.010578001050390794,0.00036971366233767166,5.929232410834765e-05,0.002413619205338674,0.0002795835191681788,0.0014667959193614456,0.0016354082999572802,1.112930933758349e-05
0.48,100.0,0.0011670741161671553,0.029510761689396953,0.0005953768418277864,4.5266782244157785e-05,0.00014717412756417843,1.4169876052993353e-05,0.010773468681749575,0.0003872187250795401,6.052497960213779e-05,0.0024005927052233897,0.0002855902001717808,0.0015452290060150027,0.0017184914154989152,1.191840586674045e-05
0.49,100.0,0.0011613983109178265,0.02933001926072169,0.0005921507203379491,4.511152920565299e-05,0.0001504431038649101,1.4704616337284234e-05,0.010965341136097217,0.00040505669776664106,6.17357804707892e-05,0.0023876041430214113,0.0002914913990253744,0.001625439383499773,0.0018033249704627313,1.273786676076387e-05
0.5,100.0,0.0011580029887559935,0.029150643191310693,0.000588943869014496,4.496771553372248e-05,0.00015365542766111571,1.5238515850777332e-05,0.011153660768116006,0.00042322152026767935,6.292490214333803e-05,0.0023746748080963297,0.00029728781351762986,0.001707396440639768,0.0018898780419740228,1.35876578223616e-05
0.51,100.0,0.0011566209171121925,0.028972833790701993,0.0005857604012158284,4.483425336923282e-05,0.00015681138696987975,1.5771121193240355e-05,0.011338471837603871,0.0004417071999870093,6.409252382832525e-05,0.002361823490178533,0.0003029802778270018,0.00179106972677727,0.0019781199532901425,1.4467718349752504e-05
0.52,100.0,0.0011570135136036394,0.028796763508197147,0.0005826038885471633,4.4710167246370674e-05,0.00015991135050984803,1.6302006772965666e-05,0.011519820436014934,0.00046050781103056104,6.523885614830912e-05,0.0023490665445323397,0.00030856972842738326,0.0018764289570299465,0.002068020276944196,1.537796263143601e-05
0.53,100.0,0.0011589671156668438,0.02862258071488469,0.0005794774345849902,4.4594579799812755e-05,0.00016295575392589494,1.683077404358838e-05,0.011697754093008942,0.0004796174999551594,6.636411943556826e-05,0.0023364182113159108,0.00031405720333385585,0.001963444066402698,0.002159548875995132,1.6318281622950663e-05
0.54,100.0,0.001162289573616601,0.028450413155110765,0.000576383729180301,4.4486698198590686e-05,0.00016594508958643188,1.735705081071188e-05,0.01187232141939104,0.0004990304901916349,6.746856290719957e-05,0.0023238909192745743,0.00031944380192388194,0.002052085257350578,0.002252675942190981,1.7288544443258907e-05
0.55,100.0,0.0011668111456012917,0.02828036701462599,0.0005733250379983968,4.438581712964134e-05,0.00016887990986604764,1.788048949192308e-05,0.012043572220895554,0.0005187410779213693,6.855248552451145e-05,0.0023114952103948923,0.00032473066847185265,0.0021423229756391358,0.002347371974704286,1.8288599707179202e-05
0.56,100.0,0.0011723777979885705,0.028112533728835452,0.000570303335761154,4.4291294427557774e-05,0.0001717608002477197,1.8400767202239133e-05,0.012211556780337373,0.0005387436450951808,6.961613450528696e-05,0.0022992403048456636,0.0003299190558490893,0.002234128014488888,0.00244360785913707,1.931827719822261e-05
0.5700000000000001,100.0,0.0011788538818293174,0.027946987233911882,0.0005673202527172352,4.42025623513299e-05,0.00017458838743121378,1.8917583993714652e-05,0.012376326169597291,0.0005590326525075503,7.065968340703325e-05,0.002287133879601141,0.0003350103651599544,0.0023274714585797365,0.002541354818688271,2.037738868360557e-05
0.58,100.0,0.0011861165521475747,0.02778378963516807,0.0005643771774927844,4.4119100718502334e-05,0.00017736333015838643,1.9430662272376654e-05,0.012537931650867149,0.0005796026452774908,7.168344591913638e-05,0.002275182554529659,0.0003400058907264833,0.002422324770110107,0.0026405844924911317,2.1465729950261513e-05
0.59,100.0,0.0011940577982562904,0.02762298911611531,0.0005614752134262579,4.404044239087594e-05,0.00018008633267248581,1.9939745615451894e-05,0.012696424920054144,0.0006004482449452701,7.268799389827055e-05,0.0022633917248304743,0.000344906712740569,0.0025186597425375136,0.0027412689020320613,2.258308120661002e-05
0.6,100.0,0.0012025795903931227,0.02746462486747807,0.0005586152911012867,4.3966166288076555e-05,0.00018275810100564112,2.0444597987982285e-05,0.012851857588511439,0.0006215641663447149,7.367360530779108e-05,0.002251765957752351,0.000349714234174368,0.0026164485764609666,0.002843380484601663,2.3729209147072995e-05
0.61,100.0,0.0012115959918359035,0.027308724916969465,0.000555798144169395,4.389591535021365e-05,0.00018537932945988887,2.0945002823028432e-05,0.013004281435245747,0.0006429452190460217,7.46398277418507e-05,0.0022403087928827004,0.00035443064352194307,0.002715663835412481,0.0029468920348208923,2.4903867125493976e-05
0.62,100.0,0.0012210288969455594,0.027155310447050482,0.0005530243457622524,4.38293501710835e-05,0.00018795075099431658,2.1440761932104555e-05,0.013153747953182585,0.0006645862911000834,7.558681767668868e-05,0.0022290231645763193,0.00035905751170875477,0.002816278503525587,0.0030517768136703355,2.610679721832743e-05
0.63,100.0,0.0012308104581087121,0.027004393300803814,0.0005502942366574825,4.3766139262136044e-05,0.00019047318808079216,2.1931694715704032e-05,0.013300308634323788,0.0006864823280186773,7.651621060990843e-05,0.0022179112238143095,0.00036359491362350727,0.0029182659321070705,0.0031580085450156445,2.7337730112077675e-05
0.64,100.0,0.0012408776694686195,0.026855981488244522,0.0005476081077089329,4.3705991631842845e-05,0.00019294741584816375,2.241763710301301e-05,0.013444014392218671,0.000708628382198012,7.742868401142511e-05,0.0022069747144086043,0.00036804389935636377,0.003021599930179479,0.003265561370822881,2.859638769222494e-05
0.65,100.0,0.00125117741886794,0.026710074026323083,0.0005449661119974369,4.364868984416538e-05,0.00019537415147284246,2.2898441226215893e-05,0.013584916135737023,0.0007310196115702138,7.832337856195478e-05,0.0021962145246168106,0.0003724071213526926,0.0031262546738223354,0.0033744097483597115,2.9882481838317038e-05
0.66,100.0,0.001261660116148803,0.026566667398463542,0.000542368323085667,4.359401189743198e-05,0.0001977541479699895,2.3373973830696097e-05,0.013723064084435275,0.0007536512495462355,7.920027601517219e-05,0.002185631317378422,0.0003766863507751662,0.0032322047934665345,0.003484528632754791,3.1195717487570064e-05
0.67,100.0,0.0012722824971229348,0.026425752684241754,0.0005398146974889094,4.3541754581171434e-05,0.0002000881773018579,2.384411596974323e-05,0.013858508094759634,0.0007765186075284867,8.005964597306754e-05,0.0021752252680794118,0.00038088306448168013,0.0033394253207211654,0.0035958934060351996,3.253579204243229e-05
0.68,100.0,0.0012830070862024166,0.026287316086744537,0.0005373050738755078,4.349172195923855e-05,0.00020237704927196357,2.4308762196967194e-05,0.013991297618228564,0.000799617067095105,8.090246777475493e-05,0.002164996125141887,0.0003849980086043295,0.0034478916866618543,0.003708479894280058,3.390239614927191e-05
0.6900000000000001,100.0,0.0012937991105937748,0.02615134206101664,0.0005348392721368812,4.344374632254704e-05,0.00020462152873839884,2.4767819351891028e-05,0.014121481380204618,0.0008229421088646167,8.17289465940744e-05,0.0021549434305186566,0.000389032704522679,0.003557579769566995,0.0038222643333760075,3.529521571872058e-05
0.7000000000000001,100.0,0.001304629616711788,0.02601781012446955,0.0005324170088214964,4.339768550710897e-05,0.000206822380014839,2.5221206895854213e-05,0.014249107738262231,0.0008464892940998265,8.253919189956411e-05,0.00214506627515031,0.0003929887722674165,0.00366846583327095,0.003937223350730625,3.671393054898002e-05
0.71,100.0,0.0013154715443977531,0.02588669882847908,0.0005300379673697324,4.335339490241398e-05,0.00020898037990780532,2.566885479657438e-05,0.01437422426976564,0.0008702542603588058,8.333376916977199e-05,0.0021353636524471466,0.00039686733876424086,0.00378052657900322,0.004053334031024068,3.8158217316467e-05
0.72,100.0,0.0013263020061262335,0.02575798343014563,0.0005277017763089425,4.331075551415713e-05,0.00021109628447121183,2.6110704204446945e-05,0.014496878036901646,0.0008942327308070301,8.411284284747295e-05,0.002125834229508966,0.0004006699339714525,0.0038937391052503473,0.004170573842147865,3.962774822185764e-05
0.73,100.0,0.001337100517938671,0.025631637670374335,0.0005254080303905863,4.326965859648133e-05,0.00021317084160136512,2.6546705992836562e-05,0.014617115411150974,0.0009184205089680899,8.487655863100778e-05,0.0021164765180551456,0.0004043980872687569,0.0040080809249869575,0.00428892066532187,4.112219274070949e-05
0.74,100.0,0.001347848925796349,0.02550763383255777,0.0005231562885894829,4.323000276256265e-05,0.00021520479669111166,2.6976820291883878e-05,0.014734982081095131,0.000942813475420811,8.562516036583551e-05,0.0021072888844528488,0.00040805320739717806,0.00412352995862653,0.004408352793580169,4.264121797064197e-05
0.75,100.0,0.0013585319226365182,0.025385942202262403,0.0005209460623074125,4.319169370647263e-05,0.00021719889960565363,2.740101639444565e-05,0.014850523123767358,0.0009674075839044429,8.635909182198292e-05,0.0020982695058386304,0.00041163648165927784,0.0042400645184131605,0.004528848922875143,4.418448846188047e-05
0.76,100.0,0.0013691353192507374,0.025266532806183916,0.0005187768618227946,4.315464714090868e-05,0.00021915387770257575,2.781927125494898e-05,0.0149637828356113,0.0009921988696636132,8.707855933330825e-05,0.0020894165065310877,0.00041514931516857935,0.00435766332723587,0.004650388144229444,4.5751668036046256e-05
0.77,100.0,0.001379648156195228,0.02514937325631868,0.0005166481414367119,4.3118790600571836e-05,0.00022107045785361773,2.8231570527494576e-05,0.015074804972113066,0.0010171834402087647,8.778383001218441e-05,0.002080727786844436,0.0004185930380981694,0.004476305480358313,0.004772949926841359,4.734241810193151e-05
0.78,100.0,0.0013900594770495207,0.025034432002638284,0.0005145593706870637,4.308405069137111e-05,0.00022294935516925342,2.863790589895201e-05,0.015183632421481125,0.0010423574782228565,8.847522476610392e-05,0.0020722012984088077,0.0004219688932096818,0.004595970482717386,0.004896514144737714,4.8956400952120765e-05
0.79,100.0,0.001400359865963541,0.024921676761142597,0.0005125100002655085,4.3050360277341e-05,0.0002247912763879645,2.9038275803320746e-05,0.015290307382652578,0.0010677172389367568,8.915307352505613e-05,0.002063834911939509,0.0004252780920427452,0.004716638220362583,0.005021061051120308,5.059327856643717e-05
0.8,100.0,0.0014105430990970051,0.024811072830307052,0.0005104994371411713,4.301767158159975e-05,0.00022659691146948284,2.943268651102675e-05,0.015394871553301388,0.0010932590518959015,8.98174181569087e-05,0.002055626261248068,0.0004285221311864505,0.004838288932601472,0.00514657124163436,5.225271105237477e-05
0.81,100.0,0.0014206018736617268,0.024702587394158475,0.0005085271164350835,4.298592752600131e-05,0.00022836694473350193,2.9821148192103277e-05,0.015497365696743664,0.0011189793156290945,9.046854378807073e-05,0.0020475731348355186,0.0004317022199259858,0.004960903259316079,0.005273025713622453,5.3934361380765626e-05
0.8200000000000001,100.0,0.0014305302842036018,0.02459618700437565,0.0005065924602687528,4.295507893917479e-05,0.00023010204749115772,3.0203676669801337e-05,0.015597829916598345,0.0011448744990649128,9.110664407425613e-05,0.002039673247010926,0.00043481964036842764,0.005084462202225731,0.0054004058193648586,5.563789297816557e-05
0.8300000000000001,100.0,0.001440324860974597,0.0244918365213279,0.0005046948493213403,4.292507556190188e-05,0.00023180290974956138,3.058029460738841e-05,0.015696303773399912,0.0011709411300925051,9.173239536085957e-05,0.0020319241555183006,0.0004378751641783067,0.005208947105799972,0.005528693278374732,5.736296821780597e-05
0.84,100.0,0.0014499812085118455,0.02438950248847148,0.0005028336991730232,4.2895872018920684e-05,0.00023347018802002766,3.095102721988255e-05,0.015792825959409375,0.0011971758109127987,9.234611688634111e-05,0.0020243235447618526,0.0004408698955273201,0.005334339690704237,0.005657870159216678,5.910925327252668e-05
0.85,100.0,0.0014594959871371647,0.024289151121374183,0.0005010084149784995,4.286742400014399e-05,0.0002351045370741194,3.131590438649019e-05,0.015887434512700586,0.0012235752067796131,9.294827854476408e-05,0.002016869057855918,0.00044380476194823786,0.005460622023302984,0.005787918880251052,6.087641548745632e-05
0.86,100.0,0.0014688676850578165,0.02419074752786437,0.0004992183981394105,4.2839730491903926e-05,0.00023670652886399483,3.167496169461626e-05,0.015980166904903243,0.0012501360737015637,9.353777546295765e-05,0.002009558194733003,0.0004466822927887812,0.005587776509540044,0.00591882212233134,6.26641222326832e-05
0.87,100.0,0.0014780940899960927,0.024094258221715282,0.0004974630612008269,4.281276209630936e-05,0.000238276776379646,3.2028236488926754e-05,0.016071059807521028,0.0012768552124421057,9.411464692725896e-05,0.002002388587662005,0.0004495038100126549,0.005715785901215289,0.006050562959044027,6.447204496016258e-05
0.88,100.0,0.0014871737871548867,0.02399964961291432,0.0004957418199981809,4.2786505519451826e-05,0.00023981585627940472,3.237576986146761e-05,0.016160149251846192,0.0013037294953751643,9.467837621498617e-05,0.0019953578350879082,0.0004522711851230489,0.005844633282377623,0.006183124765502368,6.629985698386892e-05
0.89,100.0,0.0014961063908828206,0.023906887754975296,0.0004940540380566499,4.27608730163914e-05,0.00024132450528411585,3.271760704591816e-05,0.016247470656269983,0.0013307557982316425,9.523191260416988e-05,0.0019884635548857335,0.00045498270697859615,0.005974302049377948,0.00631649139445676,6.81472327487745e-05
0.9,100.0,0.0015048912548164554,0.02381593963553193,0.0004923991301106041,4.27358380102595e-05,0.0002428033155590145,3.305379481932563e-05,0.016333058729027218,0.001357931102249804,9.577548552620519e-05,0.0019817033838065807,0.00045763943279188135,0.00610477593296307,0.006450646894143545,7.001385080212886e-05
