t,Rs,RL,Ri,L,R2L2,R2_CPP,Li,R2i,Shc,ShcP,ShcGS,GS,GSP,RasGDP,Ras_ShcGS,RasGTP,GAP,Ras_GAP,Raf,Ras_Raf,Rafa,MEK,MEKP,MEKPP,ERK,ERKP,ERKPP,t,X
0.17,11100.387601967886,9.971479810609834e-08,3900.387602068139,1.706772612618899e-20,2.3033172058434114e-18,3.933076212482954e-20,2.852018915426241e-10,1.7458338959739896e-21,30000.0,0.0,0.0,20000.0,0.0,19998.949074861477,0.0,0.3493288009904258,14999.96535612944,0.034643870552019555,9976.375557325679,0.6669524669443478,0.43473545500650324,359980.8660925881,19.110223681932716,0.02368372975539741,749984.0619068175,15.936512891588386,0.0015802911679667858,0.17,0.0
0.18,11100.410260931518,9.969804502802345e-08,3900.410261031789,1.706482332021979e-20,2.4358681861714457e-18,4.40523529051514e-20,3.019549694800227e-10,1.961636003493336e-21,30000.0,0.0,0.0,20000.0,0.0,19999.171110197127,0.0,0.2755054358754463,14999.972677610924,0.02732238906442113,9976.418730303556,0.5260619778984734,0.3431820394860337,359980.9695066621,19.006764046443163,0.023729291308198005,749982.7029051817,17.29523357297061,0.0018612454062251658,0.18,0.0
0.19,11100.432878621137,9.968129432975715e-08,3900.4328787214245,1.7061908530444116e-20,2.568097079845468e-18,4.903666753864106e-20,3.187056676088737e-10,2.1905115651073748e-21,30000.0,0.0,0.0,20000.0,0.0,19999.34622606874,0.0,0.21729273572790092,14999.978450763856,0.02154923613222751,9976.452819782819,0.4149319593679134,0.2708346056037004,359981.1108265312,18.865486898865342,0.023686569786979524,749981.3575402639,18.640297731191577,0.0021620049869698426,0.19,0.0
0.2,11100.455449495388,9.966454596141977e-08,3900.4554495956922,1.705875726683444e-20,2.7000045713179855e-18,5.428295124920091e-20,3.3545403580886425e-10,2.4325396434417777e-21,30000.0,0.0,0.0,20000.0,0.0,19999.484342290165,0.0,0.17138411684051302,14999.983003624942,0.01699637504471777,9976.47972712437,0.3272772179217521,0.21370016061849076,359981.281184558,18.69524014314384,0.023575298685432733,749980.0282299551,19.96928876135682,0.0024812834972018894,0.2,0.0
0.21,11100.477967712375,9.964779987048344e-08,3900.477967812695,1.7064187224545018e-20,2.8315913433363283e-18,5.979045091477551e-20,3.522001266078353e-10,2.68779917312539e-21,30000.0,0.0,0.0,20000.0,0.0,19999.593278503948,0.0,0.13517659524685102,14999.986594384232,0.013405615753383487,9976.500960487772,0.2581392850236676,0.16859851503625192,359981.4735766079,18.503012137519587,0.023411254350299133,749978.7167996331,21.280382566472234,0.0028178003001951687,0.21,0.0
0.22,11100.500427129571,9.963105600177457e-08,3900.500427229907,1.7053262059711678e-20,2.9628580769324175e-18,6.555841505979993e-20,3.6894399517942885e-10,2.9563689712497103e-21,30000.0,0.0,0.0,20000.0,0.0,19999.67920052181,0.0,0.10661920506232005,14999.989426458478,0.01057354150819303,9976.517713788407,0.203606731596362,0.13300523259313346,359981.6824794385,18.294313602518777,0.0232069588044891,749977.4246073433,22.572222358565085,0.003170298157466685,0.22,0.0
0.23,11100.522821303734,9.961431429747601e-08,3900.522821404087,1.7050319053474863e-20,3.0938054514126136e-18,7.158609384746484e-20,3.8568569934072373e-10,3.2383277479337242e-21,30000.0,0.0,0.0,20000.0,0.0,19999.74697077379,0.0,0.08409516308327762,14999.991660194015,0.008339805970136022,9976.530930968964,0.1605942571320947,0.10492079376403653,359981.90354357834,18.07348412544864,0.0229722959932018,749976.1526431141,23.843819331060175,0.003537554973170554,0.23,0.0
0.24,11100.54514349083,9.959757469712968e-08,3900.5451435912028,1.7047419603130418e-20,3.224434144347637e-18,7.787273907180058e-20,4.024252995498602e-10,3.53375411699291e-21,30000.0,0.0,0.0,20000.0,0.0,19999.800424141722,0.0,0.06632961824822073,14999.993422022462,0.006577977521847226,9976.541357726033,0.12666826248182797,0.08276371821640181,359982.13334822364,17.843936742686427,0.022715033394709424,749974.9016076116,25.094473997324666,0.003918391218146564,0.24,0.0
0.25,11100.567386645957,9.958083713763871e-08,3900.5673867463447,1.704452073882049e-20,3.3547448315625693e-18,8.441760414958063e-20,4.191628589036525e-10,3.8427266067113745e-21,30000.0,0.0,0.0,20000.0,0.0,19999.842585220104,0.0,0.052317201368531775,14999.994811648618,0.005188351363301758,9976.549582830694,0.0999092271431308,0.06528434913284427,359982.3692064642,17.608352282093442,0.02244125331049438,749973.6719743188,26.32371400711356,0.004311674231308291,0.25,0.0
0.26,11100.589543423246,9.956410155327006e-08,3900.589543523649,1.7041620810438174e-20,3.48473818712692e-18,9.121994411204606e-20,4.3589844313518786e-10,4.165323670715926e-21,30000.0,0.0,0.0,20000.0,0.0,19999.87583960104,0.0,0.041264994833374306,14999.995907707433,0.004092292547341684,9976.556070996061,0.07880311155388559,0.05149583421519309,359982.60901086155,17.368833434108165,0.022155703915605618,749972.4640386577,27.531245022097643,0.00471632030732623,0.26,0.0
0.27,11100.611606175802,9.954736787565675e-08,3900.611606276221,1.703875452134259e-20,3.614414883344779e-18,9.827901559645216e-20,4.526321206114129e-10,4.5016236989511864e-21,30000.0,0.0,0.0,20000.0,0.0,19999.90206887176,0.0,0.032547621918242065,14999.996772218334,0.003227781647279448,9976.561188930043,0.06215572464676164,0.04061918462306495,359982.8511113005,17.12702661736212,0.021862081628793183,749971.2779567463,28.71691195867111,0.005131295245094575,0.27,0.0
0.28,11100.633566955625,9.953063603380044e-08,3900.6335670560597,1.7035835678288068e-20,3.743775590745034e-18,1.0559407683743833e-19,4.69363962330705e-10,4.85170502875444e-21,30000.0,0.0,0.0,20000.0,0.0,19999.9227571156,0.0,0.025671831977295983,14999.997454097545,0.0025459024351491655,9976.565225963841,0.04902514995656716,0.032039652219146765,359983.09421840386,16.884218339182265,0.02156325652228884,749970.1137759847,29.88066840155637,0.005555613858740192,0.28,0.0
0.29,11100.65541751353,9.951390595407374e-08,3900.6554176139825,1.7032929425473853e-20,3.872820978071668e-18,1.1316438765822274e-19,4.860940419204302e-10,5.215645956029117e-21,30000.0,0.0,0.0,20000.0,0.0,19999.939074903876,0.0,0.020248577377805353,14999.997991927332,0.002008072644909801,9976.568410359323,0.03866844607006464,0.025272181085972744,359983.3373272459,16.641411302471877,0.021261451106974392,749968.9714591756,31.022552485593064,0.005988338812978736,0.29,0.0
0.3,11100.677149299083,9.949717756022276e-08,3900.6771493995543,1.7030032833260062e-20,4.0015517122741305e-18,1.2098920946162267e-19,5.02822435634484e-10,5.5935247465161066e-21,30000.0,0.0,0.0,20000.0,0.0,19999.951945508543,0.0,0.01597100397996247,14999.998416138742,0.0015838612365348783,9976.570922184444,0.030499626206987776,0.0199340974320626,359983.57965715905,16.39938445898131,0.020958381405523273,749967.8509035272,32.14266789354679,0.006428579038029617,0.3,0.0
0.31,11100.698753460529,9.948045077336955e-08,3900.6987535610165,1.7027136719483196e-20,4.129968458497776e-18,1.2906780522090147e-19,5.195492223508179e-10,5.985419647161427e-21,30000.0,0.0,0.0,20000.0,0.0,19999.962097152584,0.0,0.012597084001430616,14999.99875073391,0.0012492660690053793,9976.572903483793,0.02405649731482598,0.015723520028864835,359983.82060420426,16.158740427182195,0.02065536799088091,749966.751955637,33.24116887492883,0.0068754879105198275,0.31,0.0
0.32,11100.720220844716,9.94637255120146e-08,3900.7202209452194,1.7024241054866082e-20,4.258071880074387e-18,1.3739943947044475e-19,5.362744835689478e-10,6.3914088975791634e-21,30000.0,0.0,0.0,20000.0,0.0,19999.97010423334,0.0,0.00993591461282649,14999.999014644864,0.000985355114870511,9976.574466308162,0.018974496905362865,0.012402306938599431,359984.0597036595,15.919942916795572,0.020353423127097342,749965.6744232966,34.31824844199747,0.0073282613234560935,0.32,0.0
0.33,11100.741541997037,9.944700169203929e-08,3900.7415420975567,1.702134599284781e-20,4.385862638512762e-18,1.4598337829626476e-19,5.529983034074471e-10,6.811570741609119e-21,30000.0,0.0,0.0,20000.0,0.0,19999.97641979103,0.0,0.007836926617454701,14999.999222803706,0.0007771962733868392,9976.575699041676,0.014966086052378034,0.00978261355204015,359984.2966004691,15.68334621156219,0.02005331889445539,749964.6180847752,35.374129088918814,0.007786135730942781,0.33,0.0
0.34,11100.762707161364,9.943027922670857e-08,3900.7627072619007,1.7018459910144132e-20,4.5133413934893744e-18,1.5481888932633654e-19,5.697207686014187e-10,7.245983438967133e-21,30000.0,0.0,0.0,20000.0,0.0,19999.981401168738,0.0,0.006181356132807813,14999.999386988371,0.0006130116085911984,9976.576671403629,0.011804463488318016,0.0077162641241561745,359984.5310258872,15.44921847186963,0.01975564054275253,749963.5826961403,36.40905547335924,0.008248386221846309,0.34,0.0
0.35000000000000003,11100.78370627999,9.941355802667334e-08,3900.7837063805414,1.7015686995585724e-20,4.640508802839116e-18,1.63905241720765e-19,5.864419684999522e-10,7.694725276987896e-21,30000.0,0.0,0.0,20000.0,0.0,19999.985330217853,0.0,0.004875529192377517,14999.999516488604,0.0004835113766783958,9976.577438387978,0.009310741548617473,0.006086379710456009,359984.7627790872,15.21776008430235,0.019460828065345267,749962.567997005,37.42328867022082,0.008714324657176973,0.35000000000000003,0.0
0.36,11100.804528993556,9.939683799997307e-08,3900.804529094125,1.701269342975829e-20,4.767365522546102e-18,1.732417061617853e-19,6.031619950635588e-10,8.157874582458666e-21,30000.0,0.0,0.0,20000.0,0.0,19999.988429241403,0.0,0.00384556288705847,14999.99961863145,0.0003813685330091634,9976.578043372303,0.007343827142734717,0.004800770596434507,359984.9917126511,14.989118139820627,0.019169208633348915,749961.5737150483,38.41710165367948,0.009183297891210031,0.36,0.0
0.37,11100.825164641015,9.938011905203844e-08,3900.825164741601,1.700977191643438e-20,4.8939122067345566e-18,1.8282755484359888e-19,6.198809428615887e-10,8.635509733542324e-21,30000.0,0.0,0.0,20000.0,0.0,19999.99087358961,0.0,0.003033179202726392,14999.999699196393,0.000300803586340077,9976.578520574249,0.005792427565357975,0.0037867154164700784,359985.21772110724,14.7633978703537,0.01888102190969666,749960.5995695698,39.39077574388336,0.009654686085009776,0.37,0.0
0.38,11100.84560225956,9.936340108569383e-08,3900.8456023601616,1.70068774432398e-20,5.0201495076597636e-18,1.9266206146204225e-19,6.365989090696263e-10,9.127709171789958e-21,30000.0,0.0,0.0,20000.0,0.0,19999.992801563356,0.0,0.002392413557333808,14999.999762741798,0.0002372581810753244,9976.578896983105,0.004568764869711096,0.0029868556346195705,359985.4407319204,14.54067163937256,0.018596439689652397,749959.6452742695,40.34459782911138,0.010127901116010647,0.38,0.0
0.39,11100.865830584578,9.934668400116008e-08,3900.8658306851958,1.7003985229377022e-20,5.146078075699095e-18,2.027445012040944e-19,6.533159934668651e-10,9.634551414240719e-21,30000.0,0.0,0.0,20000.0,0.0,19999.99432224393,0.0,0.0018870125666298233,14999.999812862949,0.00018713703116586525,9976.579193887095,0.003603606436066233,0.0023559494599776597,359985.6606983704,14.320986047945267,0.01831558122463186,749958.7105394296,41.27885818507805,0.010602385082088236,0.39,0.0
0.4,11100.885838049602,9.932996769605702e-08,3900.8858381502364,1.700109357810546e-20,5.271698559343106e-18,2.1307415073722258e-19,6.700322984334605e-10,1.015611506560747e-20,30000.0,0.0,0.0,20000.0,0.0,19999.995521677913,0.0,0.001488378480065757,14999.999852395913,0.00014760406768785575,9976.579428079833,0.002842339498961539,0.001858307512588751,359985.8775939284,14.104367545967062,0.018038525161144167,749957.7950736233,42.193848767653115,0.011077608895855904,0.4,0.0
0.41000000000000003,11100.905612786264,9.93132520654062e-08,3900.9056128869133,1.699820228902105e-20,5.397011605186711e-18,2.236502881985653e-19,6.867479289478607e-10,1.0692478830548983e-20,30000.0,0.0,0.0,20000.0,0.0,19999.996467729856,0.0,0.0011739563857584992,14999.999883577484,0.00011642249631881984,9976.579612807023,0.0022418912196623003,0.0014657807374994674,359986.09140784823,13.8908268325947,0.01776531877050721,749956.89858504,43.08986188879202,0.011553070965626584,0.41000000000000003,0.0
0.42,11100.925142624243,9.929653700163356e-08,3900.92514272491,1.6995307764345668e-20,5.522017857920422e-18,2.3447219318395625e-19,7.034629925841138e-10,1.1243721526026009e-20,30000.0,0.0,0.0,20000.0,0.0,19999.997213922597,0.0,0.0009259578680582907,14999.999908171761,9.182822116200413e-05,9976.579758515685,0.001768291274947779,0.0011561679977601415,359986.3021416778,13.680362336574767,0.017495985149952313,749956.0207825204,43.96718918341845,0.01202829595522504,0.42,0.0
0.43,11100.944415091239,9.92798223945722e-08,3900.9444151919224,1.6992374820462582e-20,5.646717960321659e-18,2.455391467367918e-19,7.201775995091524e-10,1.1809922093739107e-20,30000.0,0.0,0.0,20000.0,0.0,19999.99780247994,0.0,0.0007303497644201098,14999.999927570425,7.242955870016989e-05,9976.579873447798,0.0013947407008494239,0.0009119543619444234,359986.5098064991,13.472962971585103,0.01723052884266613,749955.1613763608,44.826120805341546,0.012502833615216214,0.43,0.0
0.44,11100.96341741292,9.926310813146502e-08,3900.9634175136207,1.698945980348713e-20,5.7711125532461445e-18,2.568504313367382e-19,7.368918624800515e-10,1.2391159612650336e-20,30000.0,0.0,0.0,20000.0,0.0,19999.99826670505,0.0,0.0005760637043224154,14999.999942871136,5.712884697758612e-05,9976.579964104352,0.0011001023600456779,0.0007193248144725388,359986.71442077163,13.268610287776202,0.0169689401609824,749954.3200789284,45.666944813704376,0.012976257683117942,0.44,0.0
0.45,11100.982136512894,9.924639409696756e-08,3900.9821366136116,1.6988876436877327e-20,5.8952022756193496e-18,2.684053308882841e-19,7.536058968412642e-10,1.2987513311584823e-20,30000.0,0.0,0.0,20000.0,0.0,19999.998632862644,0.0,0.0004543705625266409,14999.999954939572,4.506040949203898e-05,9976.580035612638,0.0008677063435558606,0.0005673837056414269,359986.9160086286,13.067280172298592,0.016711198557873265,749953.4966051334,46.48994670151542,0.013448164844473809,0.45,0.0
0.46,11101.000559012675,9.922968017315082e-08,3901.0005591134095,1.6982286186602468e-20,6.018987764428027e-18,2.8020313070913633e-19,7.703198205218293e-10,1.3599062581912988e-20,30000.0,0.0,0.0,20000.0,0.0,19999.99892166595,0.0,0.00035838626055578775,14999.999964458437,3.5541544624750664e-05,9976.580092016386,0.0006844062061262036,0.000447538077586162,359987.1145985336,12.868944190630597,0.01645727524653586,749952.6906727888,47.295409037111035,0.013918173749595746,0.46,0.0
0.47000000000000003,11101.018671231652,9.921296623950394e-08,3901.0186713324047,1.6980784587913492e-20,6.142469654711808e-18,2.922431175184698e-19,7.870337540325549e-10,1.4225886990307305e-20,30000.0,0.0,0.0,20000.0,0.0,19999.99914946071,0.0,0.0002826782590298971,14999.99997196648,2.8033502026246143e-05,9976.580136506831,0.0005398274897138707,0.0003530066142139566,359987.3102222117,12.673570652553108,0.016207135255651803,749951.9020028836,48.083611192014246,0.014385924079437732,0.47000000000000003,0.0
0.48,11101.036459187068,9.919625217293723e-08,3901.036459287838,1.697802191781118e-20,6.2656485795548714e-18,3.045245794250126e-19,8.037478204631727e-10,1.4868066291582653e-20,30000.0,0.0,0.0,20000.0,0.0,19999.999329134618,0.0,0.0002229633104149094,14999.999977888476,2.211150742211885e-05,9976.580171600193,0.0004257905254258522,0.00027844245908665357,359987.50291383197,12.481125428582494,0.015960738976073762,749951.1303197772,48.85482914687912,0.014851075662033314,0.48,0.0
0.49,11101.05390859399,9.917953784778488e-08,3901.0539086947797,1.6975089148272053e-20,6.388525170077685e-18,3.1704680591498985e-19,8.204621454794665e-10,1.552568044160795e-20,30000.0,0.0,0.0,20000.0,0.0,19999.99947085327,0.0,0.000175862859419792,14999.999982559477,1.7440505840614024e-05,9976.580199281316,0.00033584332467746737,0.00021962796511362478,359987.69270934735,12.291572608795844,0.015718043393648448,749950.3753513457,49.60933534650578,0.015313307628391368,0.49,0.0
0.5,11101.0710048653,9.916282313580797e-08,3901.0710049661056,1.6972201238094488e-20,6.511100055428815e-18,3.2980908783990736e-19,8.371768573203695e-10,1.6198809610297638e-20,30000.0,0.0,0.0,20000.0,0.0,19999.99958263071,0.0,0.00013871342460897677,14999.999986243625,1.3756357046188593e-05,9976.580221115015,0.0002648994672169266,0.00017323804719466526,359987.8796459852,12.104875011356153,0.015479003028173231,749949.6368290808,50.34739860149152,0.01577231761077329,0.5,0.0
0.51,11101.087733111666,9.914610790619735e-08,3901.087733212487,1.6969317258273422e-20,6.6333738627768074e-18,3.428107174042034e-19,8.53892086795038e-10,1.6887534194668783e-20,30000.0,0.0,0.0,20000.0,0.0,19999.999670793415,0.0,0.00010941239016507802,14999.99998914944,1.0850542530803299e-05,9976.580238336646,0.00020894361145967126,0.00013664772273915796,359988.06376183464,11.920994594263917,0.015243570683875777,749948.9144881591,51.06928401972183,0.016227820972999112,0.51,0.0
0.52,11101.104078141534,9.912939202557658e-08,3901.1040782423734,1.6966427526368788e-20,6.755347217302135e-18,3.560509881527398e-19,8.706079672798906e-10,1.7591934831977275e-20,30000.0,0.0,0.0,20000.0,0.0,19999.999740333333,0.0,8.630067210990958e-05,14999.999991441453,8.558528944528058e-06,9976.580251921016,0.0001648074234562371,0.00010778566704703748,359988.24509553524,11.739892766352284,0.015011698006308267,749948.2080674809,51.775252968785566,0.016679550077969934,0.52,0.0
0.53,11101.120024461132,9.911267535800498e-08,3901.1200245619857,1.6963539366268656e-20,6.877020742189223e-18,3.6952919495814444e-19,8.873246347156182e-10,1.8312092412926756e-20,30000.0,0.0,0.0,20000.0,0.0,19999.99979518483,0.0,6.807067711449816e-05,14999.99999324934,6.750641093986245e-06,9976.580262636446,0.00012999380702779245,8.501933213935639e-05,359988.42368603445,11.561530629204412,0.014783335910361278,749947.5173096869,52.465563059344255,0.017127253587210303,0.53,0.0
0.54,11101.135556274441,9.90959577649806e-08,3901.1355563753127,1.6960722604626147e-20,6.998395058618546e-18,3.832446340080145e-19,9.040422276041634e-10,1.9048088094944748e-20,30000.0,0.0,0.0,20000.0,0.0,19999.999838449687,0.0,5.369152519178998e-05,14999.999994675334,5.324645542866481e-06,9976.580271088682,0.0001025341022946612,6.706161096378549e-05,359988.5995723927,11.385869171955601,0.014558434921876721,749946.8419611615,53.140468142560294,0.017570695787965426,0.54,0.0
0.55,11101.150657483218,9.907923910544332e-08,3901.1506575841063,1.6957772784072604e-20,7.119470785758784e-18,3.971966027919675e-19,9.207608870056673e-10,1.980000331553195e-20,30000.0,0.0,0.0,20000.0,0.0,19999.999872572866,0.0,4.235062459927961e-05,14999.999995800023,4.199956381786408e-06,9976.580277755236,8.087651191101476e-05,5.289791074117796e-05,359988.7727936326,11.21286942148956,0.014336945436497741,749946.1817720231,53.80021832070845,0.0180096559490758,0.55,0.0
0.56,11101.16531168698,9.906251923577787e-08,3901.1653117878855,1.6954891700763468e-20,7.240248540759053e-18,4.1138440008857656e-19,9.374807565353886e-10,2.0567919805666565e-20,30000.0,0.0,0.0,20000.0,0.0,19999.999899486626,0.0,3.3405788587020916e-05,14999.999996687091,3.3128873591448626e-06,9976.580283013487,6.379465908835562e-05,4.172638177970672e-05,359988.9433886177,11.042492563892857,0.014118817927721194,749945.5364961058,54.44505996617387,0.018443927698087496,0.56,0.0
0.5700000000000001,11101.179502183022,9.9045798009817e-08,3901.179502283944,1.6952006773157378e-20,7.360728938741205e-18,4.258073259521377e-19,9.542019823605857e-10,2.1351919603288105e-20,30000.0,0.0,0.0,20000.0,0.0,19999.999920715858,0.0,2.6350214197288585e-05,14999.9999973868,2.6131786055178866e-06,9976.58028716127,5.0320707975260786e-05,3.291419941023735e-05,359989.11139596556,10.87470003086868,0.013904003092247796,749944.9058909308,55.075235750510075,0.01887331842788865,0.5700000000000001,0.0
