t,V,K_i,Na_i,Ca_i,xr1,xr2,xs,m,h,Ca_ds,d,f,s,r,Ca_up,Ca_rel,ActFrac,ProdFrac,Ca_Calmod,Ca_Trop
0.34,-93.05501674043676,138.4960741495483,5.689290875739809,5.6086704824592135e-06,9.887135649524977e-06,2.1513707346292977e-07,6.721910735559609e-07,0.00157541563312532,0.9946539830492693,2.1562340044955034e-07,2.276431752228843e-08,4.0308164836569675e-09,0.9998700169592822,1.8398377647102098e-08,0.18747076104740468,0.18560972530416683,0.00018302996258272777,0.01099310575781931,0.00022185816416261055,0.00013982464743712348
0.35000000000000003,-93.05501705532942,138.49607579133982,5.689290882646964,5.608670437246416e-06,9.887135096046082e-06,2.1513703600808567e-07,6.721910453335965e-07,0.0015754155650995055,0.9946539834259281,2.1562338505471107e-07,2.2764315730645944e-08,4.030816142814808e-09,0.999870016966805,1.8398376488399622e-08,0.18747075960443496,0.18560972387567526,0.00018302995965633882,0.0109931055820139,0.00022185816239399063,0.00013982464631311523
0.36,-93.05501737022206,138.49607743313135,5.689290889554118,5.608670392033617e-06,9.887134542567188e-06,2.1513699855324158e-07,6.721910171112323e-07,0.0015754154970736912,0.9946539838025871,2.156233696598718e-07,2.2764313939003456e-08,4.030815801972649e-09,0.9998700169743278,1.839837532969715e-08,0.18747075816146527,0.18560972244718368,0.00018302995672994985,0.01099310540620849,0.0002218581606253707,0.00013982464518910698
0.37,-93.05501768511472,138.49607907492287,5.689290896461273,5.60867034682082e-06,9.887133989088295e-06,2.1513696109839748e-07,6.721909888888679e-07,0.0015754154290478768,0.9946539841792459,2.1562335426503252e-07,2.2764312147360967e-08,4.030815461130489e-09,0.9998700169818506,1.8398374170994674e-08,0.18747075671849556,0.18560972101869208,0.0001830299538035609,0.010993105230403082,0.0002218581588567508,0.00013982464406509873
0.38,-93.05501800000738,138.4960807167144,5.689290903368427,5.608670301608021e-06,9.887133435609401e-06,2.151369236435534e-07,6.721909606665037e-07,0.0015754153610220622,0.9946539845559047,2.1562333887019324e-07,2.276431035571848e-08,4.0308151202883305e-09,0.9998700169893734,1.8398373012292202e-08,0.18747075527552584,0.1856097195902005,0.00018302995087717192,0.010993105054597671,0.00022185815708813088,0.0001398246429410905
0.39,-93.05501831490002,138.49608235850593,5.689290910275582,5.608670256395224e-06,9.887132882130508e-06,2.151368861887093e-07,6.721909324441393e-07,0.0015754152929962479,0.9946539849325635,2.1562332347535397e-07,2.2764308564075993e-08,4.030814779446171e-09,0.9998700169968961,1.839837185358973e-08,0.18747075383255615,0.18560971816170893,0.00018302994795078297,0.010993104878792261,0.00022185815531951096,0.00013982464181708226
0.4,-93.05501862979268,138.4960840002975,5.689290917182736,5.608670211182425e-06,9.887132328651614e-06,2.151368487338652e-07,6.721909042217751e-07,0.0015754152249704335,0.9946539853092224,2.156233080805147e-07,2.2764306772433508e-08,4.0308144386040115e-09,0.999870017004419,1.8398370694887254e-08,0.18747075238958644,0.18560971673321736,0.00018302994502439402,0.010993104702986853,0.00022185815355089104,0.00013982464069307402
0.41000000000000003,-93.05501894468533,138.496085642089,5.689290924089891,5.608670165969628e-06,9.88713177517272e-06,2.151368112790211e-07,6.721908759994108e-07,0.0015754151569446191,0.9946539856858813,2.1562329268567542e-07,2.276430498079102e-08,4.030814097761852e-09,0.9998700170119418,1.8398369536184782e-08,0.18747075094661672,0.18560971530472578,0.00018302994209800505,0.010993104527181443,0.0002218581517822711,0.00013982463956906577
0.42,-93.05501925957799,138.49608728388054,5.6892909309970445,5.608670120756829e-06,9.887131221693827e-06,2.15136773824177e-07,6.721908477770465e-07,0.0015754150889188045,0.9946539860625401,2.1562327729083614e-07,2.2764303189148534e-08,4.0308137569196926e-09,0.9998700170194645,1.8398368377482306e-08,0.18747074950364703,0.1856097138762342,0.0001830299391716161,0.010993104351376034,0.00022185815001365118,0.00013982463844505754
0.43,-93.05501957447065,138.49608892567207,5.689290937904199,5.608670075544032e-06,9.887130668214933e-06,2.151367363693329e-07,6.721908195546822e-07,0.0015754150208929902,0.9946539864391989,2.1562326189599687e-07,2.2764301397506045e-08,4.030813416077534e-09,0.9998700170269873,1.8398367218779834e-08,0.18747074806067732,0.18560971244774263,0.00018302993624522712,0.010993104175570624,0.00022185814824503126,0.0001398246373210493
0.44,-93.0550198893633,138.4960905674636,5.689290944811353,5.608670030331233e-06,9.88713011473604e-06,2.1513669891448882e-07,6.721907913323179e-07,0.0015754149528671758,0.9946539868158578,2.156232465011576e-07,2.276429960586356e-08,4.0308130752353745e-09,0.9998700170345102,1.839836606007736e-08,0.1874707466177076,0.18560971101925106,0.00018302993331883817,0.010993103999765214,0.00022185814647641134,0.00013982463619704105
0.45,-93.05502020425595,138.49609220925512,5.689290951718507,5.608669985118436e-06,9.887129561257146e-06,2.1513666145964472e-07,6.721907631099536e-07,0.0015754148848413614,0.9946539871925166,2.1562323110631832e-07,2.276429781422107e-08,4.030812734393215e-09,0.9998700170420329,1.8398364901374886e-08,0.18747074517473789,0.18560970959075948,0.00018302993039244923,0.010993103823959805,0.00022185814470779142,0.0001398246350730328
0.46,-93.05502051914861,138.49609385104665,5.689290958625662,5.608669939905637e-06,9.887129007778253e-06,2.1513662400480063e-07,6.721907348875894e-07,0.001575414816815547,0.9946539875691754,2.1562321571147905e-07,2.2764296022578583e-08,4.0308123935510555e-09,0.9998700170495557,1.8398363742672414e-08,0.1874707437317682,0.1856097081622679,0.00018302992746606025,0.010993103648154395,0.0002218581429391715,0.00013982463394902455
0.47000000000000003,-93.05502083404126,138.49609549283818,5.689290965532816,5.6086698946928395e-06,9.887128454299359e-06,2.1513658654995653e-07,6.72190706665225e-07,0.0015754147487897325,0.9946539879458343,2.1562320031663977e-07,2.2764294230936097e-08,4.030812052708896e-09,0.9998700170570786,1.8398362583969938e-08,0.18747074228879848,0.1856097067337763,0.0001830299245396713,0.010993103472348985,0.00022185814117055158,0.00013982463282501633
0.48,-93.05502114893392,138.49609713462974,5.689290972439971,5.608669849480041e-06,9.887127900820464e-06,2.1513654909511244e-07,6.721906784428608e-07,0.0015754146807639181,0.9946539883224932,2.156231849218005e-07,2.276429243929361e-08,4.030811711866737e-09,0.9998700170646013,1.8398361425267466e-08,0.18747074084582876,0.18560970530528473,0.00018302992161328235,0.010993103296543577,0.00022185813940193164,0.00013982463170100808
0.49,-93.05502146382656,138.49609877642126,5.689290979347125,5.6086698042672435e-06,9.88712734734157e-06,2.1513651164026834e-07,6.721906502204964e-07,0.0015754146127381038,0.994653988699152,2.1562316952696122e-07,2.2764290647651123e-08,4.030811371024578e-09,0.9998700170721241,1.8398360266564993e-08,0.18747073940285908,0.18560970387679315,0.00018302991868689338,0.010993103120738167,0.00022185813763331172,0.00013982463057699983
0.5,-93.05502177871922,138.4961004182128,5.68929098625428,5.608669759054445e-06,9.887126793862677e-06,2.1513647418542425e-07,6.721906219981322e-07,0.0015754145447122894,0.9946539890758108,2.1562315413212195e-07,2.2764288856008635e-08,4.0308110301824184e-09,0.999870017079647,1.8398359107862518e-08,0.18747073795988936,0.18560970244830158,0.00018302991576050443,0.010993102944932756,0.0002218581358646918,0.00013982462945299158
0.51,-93.05502209361188,138.49610206000432,5.689290993161434,5.608669713841647e-06,9.887126240383783e-06,2.1513643673058015e-07,6.721905937757678e-07,0.0015754144766864748,0.9946539894524696,2.1562313873728267e-07,2.276428706436615e-08,4.030810689340259e-09,0.9998700170871697,1.8398357949160046e-08,0.18747073651691964,0.18560970101981,0.00018302991283411545,0.010993102769127348,0.00022185813409607188,0.00013982462832898336
0.52,-93.05502240850453,138.49610370179585,5.689291000068589,5.608669668628849e-06,9.88712568690489e-06,2.1513639927573606e-07,6.721905655534035e-07,0.0015754144086606605,0.9946539898291286,2.156231233424434e-07,2.276428527272366e-08,4.0308103484980995e-09,0.9998700170946925,1.839835679045757e-08,0.18747073507394996,0.18560969959131843,0.0001830299099077265,0.010993102593321938,0.00022185813232745196,0.0001398246272049751
0.53,-93.05502272339719,138.49610534358737,5.6892910069757425,5.608669623416051e-06,9.887125133425996e-06,2.1513636182089196e-07,6.721905373310393e-07,0.001575414340634846,0.9946539902057874,2.1562310794760412e-07,2.2764283481081176e-08,4.030810007655941e-09,0.9998700171022153,1.8398355631755098e-08,0.18747073363098024,0.18560969816282685,0.00018302990698133755,0.010993102417516528,0.00022185813055883205,0.00013982462608096686
0.54,-93.05502303828985,138.4961069853789,5.689291013882897,5.608669578203253e-06,9.887124579947102e-06,2.1513632436604787e-07,6.721905091086749e-07,0.0015754142726090317,0.9946539905824462,2.1562309255276485e-07,2.2764281689438687e-08,4.030809666813781e-09,0.9998700171097381,1.8398354473052625e-08,0.18747073218801052,0.18560969673433528,0.00018302990405494858,0.01099310224171112,0.00022185812879021213,0.00013982462495695862
0.55,-93.05502335318249,138.49610862717043,5.689291020790051,5.608669532990455e-06,9.887124026468209e-06,2.1513628691120377e-07,6.721904808863107e-07,0.0015754142045832171,0.994653990959105,2.1562307715792557e-07,2.2764279897796202e-08,4.030809325971622e-09,0.9998700171172609,1.839835331435015e-08,0.18747073074504084,0.1856096953058437,0.00018302990112855963,0.010993102065905709,0.00022185812702159218,0.00013982462383295037
0.56,-93.05502366807515,138.49611026896196,5.689291027697206,5.608669487777657e-06,9.887123472989315e-06,2.1513624945635968e-07,6.721904526639463e-07,0.0015754141365574028,0.9946539913357639,2.156230617630863e-07,2.2764278106153713e-08,4.0308089851294624e-09,0.9998700171247836,1.8398352155647678e-08,0.18747072930207112,0.18560969387735213,0.00018302989820217068,0.010993101890100299,0.00022185812525297226,0.00013982462270894214
0.5700000000000001,-93.05502398296781,138.4961119107535,5.68929103460436,5.608669442564859e-06,9.887122919510422e-06,2.1513621200151558e-07,6.721904244415821e-07,0.0015754140685315884,0.9946539917124227,2.1562304636824702e-07,2.2764276314511224e-08,4.030808644287303e-09,0.9998700171323065,1.8398350996945202e-08,0.1874707278591014,0.18560969244886052,0.0001830298952757817,0.01099310171429489,0.00022185812348435234,0.0001398246215849339
0.58,-93.05502429786046,138.49611355254504,5.689291041511514,5.608669397352061e-06,9.887122366031528e-06,2.151361745466715e-07,6.721903962192177e-07,0.001575414000505774,0.9946539920890816,2.1562303097340775e-07,2.276427452286874e-08,4.030808303445144e-09,0.9998700171398293,1.839834983824273e-08,0.1874707264161317,0.18560969102036895,0.00018302989234939275,0.01099310153848948,0.00022185812171573243,0.00013982462046092565
0.59,-93.05502461275312,138.49611519433657,5.689291048418669,5.608669352139263e-06,9.887121812552634e-06,2.151361370918274e-07,6.721903679968535e-07,0.0015754139324799597,0.9946539924657404,2.1562301557856847e-07,2.276427273122625e-08,4.030807962602985e-09,0.999870017147352,1.8398348679540257e-08,0.187470724973162,0.18560968959187737,0.00018302988942300378,0.01099310136268407,0.0002218581199471125,0.0001398246193369174
0.6,-93.05502492764576,138.4961168361281,5.689291055325823,5.608669306926465e-06,9.887121259073741e-06,2.151360996369833e-07,6.721903397744892e-07,0.001575413864454145,0.9946539928423993,2.156230001837292e-07,2.2764270939583765e-08,4.030807621760825e-09,0.9998700171548749,1.8398347520837782e-08,0.18747072353019228,0.1856096881633858,0.00018302988649661483,0.010993101186878662,0.0002218581181784926,0.00013982461821290918
0.61,-93.05502524253842,138.49611847791962,5.689291062232978,5.608669261713667e-06,9.887120705594847e-06,2.151360621821392e-07,6.721903115521249e-07,0.0015754137964283307,0.9946539932190581,2.1562298478888993e-07,2.2764269147941277e-08,4.030807280918666e-09,0.9998700171623977,1.839834636213531e-08,0.18747072208722257,0.18560968673489422,0.00018302988357022588,0.010993101011073252,0.00022185811640987267,0.00013982461708890093
0.62,-93.05502555743108,138.49612011971115,5.689291069140132,5.608669216500869e-06,9.887120152115952e-06,2.151360247272951e-07,6.721902833297606e-07,0.0015754137284025164,0.9946539935957169,2.1562296939405065e-07,2.276426735629879e-08,4.0308069400765064e-09,0.9998700171699204,1.8398345203432834e-08,0.18747072064425288,0.18560968530640265,0.0001830298806438369,0.010993100835267843,0.00022185811464125272,0.00013982461596489268
0.63,-93.05502587232372,138.49612176150268,5.689291076047287,5.608669171288071e-06,9.887119598637058e-06,2.1513598727245101e-07,6.721902551073963e-07,0.001575413660376702,0.9946539939723757,2.1562295399921138e-07,2.2764265564656303e-08,4.030806599234348e-09,0.9998700171774433,1.839834404473036e-08,0.18747071920128316,0.18560968387791107,0.00018302987771744796,0.010993100659462433,0.0002218581128726328,0.00013982461484088443
0.64,-93.05502618721637,138.49612340329426,5.689291082954455,5.608669126075397e-06,9.887119045158356e-06,2.1513594981764345e-07,6.721902268850386e-07,0.0015754135923509059,0.9946539943490346,2.1562293850352693e-07,2.2764263773014668e-08,4.030806258392367e-09,0.9998700171849662,1.8398342886028336e-08,0.18747071775831484,0.1856096824494208,0.0001830298747907327,0.010993100483631647,0.00022185811110401853,0.00013982461371687938
0.65,-93.05502650210894,138.4961250450861,5.6892910898617375,5.608669080863737e-06,9.887118491681196e-06,2.1513591236313263e-07,6.721901986627339e-07,0.0015754135243252593,0.9946539947256919,2.1562292218826073e-07,2.2764261981379984e-08,4.030805917551849e-09,0.9998700171924889,1.8398341727329947e-08,0.18747071631535778,0.18560968102094108,0.00018302987186136555,0.010993100307594629,0.00022185810933544994,0.00013982461259290046
0.66,-93.05502681700152,138.49612668687791,5.68929109676902,5.608669035652077e-06,9.887117938204035e-06,2.1513587490862182e-07,6.721901704404294e-07,0.0015754134562996128,0.9946539951023493,2.1562290587299453e-07,2.2764260189745298e-08,4.03080557671133e-09,0.9998700172000118,1.8398340568631557e-08,0.18747071487240072,0.18560967959246136,0.0001830298689319984,0.010993100131557609,0.00022185810756688134,0.00013982461146892157
