t,Ca,Gd,Gt,R,Rl,Rg,Rlg,Rlgp,IP3,Pc,Pcg,P,Pg
0.25,0.1,10000.003695242936,0.0,13.903695242940456,0.0,5.056304757059539,0.0,0.0,0.015002911568493364,9.09,0.0,90.9,0.0
0.26,0.1,10000.003724966296,0.0,13.903724966300992,0.0,5.056275033699003,0.0,0.0,0.015003010162669672,9.09,0.0,90.9,0.0
0.27,0.1,10000.003751775026,0.0,13.903751775029013,0.0,5.056248224970982,0.0,0.0,0.01500310753208995,9.09,0.0,90.9,0.0
0.28,0.1,10000.003775953994,0.0,13.9037759539959,0.0,5.056224046004096,0.0,0.0,0.015003203691968118,9.09,0.0,90.9,0.0
0.29,0.1,10000.003797762925,0.0,13.9037977629276,0.0,5.056202237072395,0.0,0.0,0.015003298657329068,9.09,0.0,90.9,0.0
0.3,0.1,10000.003817442059,0.0,13.90381744206172,0.0,5.056182557938275,0.0,0.0,0.015003392443011392,9.09,0.0,90.9,0.0
0.31,0.1,10000.003835196536,0.0,13.903835196538113,0.0,5.056164803461883,0.0,0.0,0.015003485063669187,9.09,0.0,90.9,0.0
0.32,0.1,10000.003851210737,0.0,13.903851210739388,0.0,5.056148789260607,0.0,0.0,0.015003576533774654,9.09,0.0,90.9,0.0
0.33,0.1,10000.003865651062,0.0,13.903865651064363,0.0,5.056134348935632,0.0,0.0,0.015003666867620322,9.09,0.0,90.9,0.0
0.34,0.1,10000.003878672813,0.0,13.903878672813857,0.0,5.056121327186138,0.0,0.0,0.015003756079320857,9.09,0.0,90.9,0.0
0.35000000000000003,0.1,10000.00389041734,0.0,13.903890417340763,0.0,5.05610958265923,0.0,0.0,0.015003844182815841,9.09,0.0,90.9,0.0
0.36,0.1,10000.003901012815,0.0,13.903901012816728,0.0,5.056098987183268,0.0,0.0,0.015003931191872264,9.09,0.0,90.9,0.0
0.37,0.1,10000.003910568821,0.0,13.903910568822527,0.0,5.05608943117747,0.0,0.0,0.015004017120083682,9.09,0.0,90.9,0.0
0.38,0.1,10000.003919189421,0.0,13.90391918942396,0.0,5.056080810576035,0.0,0.0,0.015004101980878249,9.09,0.0,90.9,0.0
0.39,0.1,10000.003926965903,0.0,13.90392696590646,0.0,5.056073034093534,0.0,0.0,0.015004185787515896,9.09,0.0,90.9,0.0
0.4,0.1,10000.003933980062,0.0,13.903933980066519,0.0,5.056066019933476,0.0,0.0,0.015004268553092523,9.09,0.0,90.9,0.0
0.41000000000000003,0.1,10000.003940306946,0.0,13.90394030694911,0.0,5.056059693050885,0.0,0.0,0.01500435029053956,9.09,0.0,90.9,0.0
0.42,0.1,10000.003946013885,0.0,13.903946013888868,0.0,5.056053986111124,0.0,0.0,0.015004431012625967,9.09,0.0,90.9,0.0
0.43,0.1,10000.00395116315,0.0,13.903951163152984,0.0,5.056048836847009,0.0,0.0,0.015004510731971838,9.09,0.0,90.9,0.0
0.44,0.1,10000.00395580894,0.0,13.903955808942912,0.0,5.056044191057081,0.0,0.0,0.01500458946103296,9.09,0.0,90.9,0.0
0.45,0.1,10000.00395999772,0.0,13.90395999772311,0.0,5.056040002276883,0.0,0.0,0.01500466721210252,9.09,0.0,90.9,0.0
0.46,0.1,10000.003963773344,0.0,13.903963773347412,0.0,5.056036226652582,0.0,0.0,0.015004743997327534,9.09,0.0,90.9,0.0
0.47000000000000003,0.1,10000.003967180011,0.0,13.903967180015089,0.0,5.056032819984906,0.0,0.0,0.01500481982871794,9.09,0.0,90.9,0.0
0.48,0.1,10000.00397025289,0.0,13.903970252892853,0.0,5.056029747107142,0.0,0.0,0.01500489471811779,9.09,0.0,90.9,0.0
0.49,0.1,10000.003973022309,0.0,13.903973022311686,0.0,5.056026977688309,0.0,0.0,0.015004968677218624,9.09,0.0,90.9,0.0
0.5,0.1,10000.003975520192,0.0,13.903975520195658,0.0,5.0560244798043374,0.0,0.0,0.01500504171758661,9.09,0.0,90.9,0.0
0.51,0.1,10000.003977774233,0.0,13.903977774235752,0.0,5.056022225764243,0.0,0.0,0.015005113850637904,9.09,0.0,90.9,0.0
0.52,0.1,10000.00397980728,0.0,13.903979807282482,0.0,5.056020192717512,0.0,0.0,0.015005185087636083,9.09,0.0,90.9,0.0
0.53,0.1,10000.00398164016,0.0,13.903981640163671,0.0,5.056018359836322,0.0,0.0,0.015005255439707247,9.09,0.0,90.9,0.0
0.54,0.1,10000.00398329438,0.0,13.90398329438443,0.0,5.056016705615565,0.0,0.0,0.015005324917856824,9.09,0.0,90.9,0.0
0.55,0.1,10000.00398478702,0.0,13.90398478702257,0.0,5.056015212977425,0.0,0.0,0.015005393532937806,9.09,0.0,90.9,0.0
0.56,0.1,10000.00398613255,0.0,13.903986132553571,0.0,5.056013867446423,0.0,0.0,0.01500546129566224,9.09,0.0,90.9,0.0
0.5700000000000001,0.1,10000.00398734653,0.0,13.903987346535532,0.0,5.056012653464462,0.0,0.0,0.015005528216629123,9.09,0.0,90.9,0.0
0.58,0.1,10000.003988442715,0.0,13.90398844272046,0.0,5.056011557279534,0.0,0.0,0.01500559430630241,9.09,0.0,90.9,0.0
0.59,0.1,10000.003989431823,0.0,13.9039894318279,0.0,5.056010568172095,0.0,0.0,0.01500565957500169,9.09,0.0,90.9,0.0
0.6,0.1,10000.003990322659,0.0,13.903990322663516,0.0,5.056009677336478,0.0,0.0,0.015005724032910705,9.09,0.0,90.9,0.0
0.61,0.1,10000.003991124264,0.0,13.903991124268346,0.0,5.056008875731647,0.0,0.0,0.015005787690097907,9.09,0.0,90.9,0.0
0.62,0.1,10000.00399184767,0.0,13.903991847674718,0.0,5.056008152325277,0.0,0.0,0.01500585055653326,9.09,0.0,90.9,0.0
0.63,0.1,10000.003992500504,0.0,13.90399250050893,0.0,5.056007499491063,0.0,0.0,0.015005912642036595,9.09,0.0,90.9,0.0
0.64,0.1,10000.00399308921,0.0,13.903993089214541,0.0,5.056006910785452,0.0,0.0,0.015005973956298893,9.09,0.0,90.9,0.0
0.65,0.1,10000.003993619413,0.0,13.903993619418411,0.0,5.056006380581583,0.0,0.0,0.01500603450888838,9.09,0.0,90.9,0.0
0.66,0.1,10000.003994097955,0.0,13.903994097960611,0.0,5.0560059020393835,0.0,0.0,0.015006094309287165,9.09,0.0,90.9,0.0
0.67,0.1,10000.003994530185,0.0,13.903994530190447,0.0,5.056005469809546,0.0,0.0,0.01500615336684245,9.09,0.0,90.9,0.0
0.68,0.1,10000.00399492042,0.0,13.903994920425875,0.0,5.056005079574119,0.0,0.0,0.015006211690774816,9.09,0.0,90.9,0.0
0.6900000000000001,0.1,10000.00399527224,0.0,13.903995272245837,0.0,5.056004727754155,0.0,0.0,0.0150062692901836,9.09,0.0,90.9,0.0
0.7000000000000001,0.1,10000.003995589666,0.0,13.903995589672279,0.0,5.056004410327713,0.0,0.0,0.015006326174078072,9.09,0.0,90.9,0.0
0.71,0.1,10000.003995876468,0.0,13.90399587647386,0.0,5.05600412352613,0.0,0.0,0.015006382351359069,9.09,0.0,90.9,0.0
0.72,0.1,10000.003996135423,0.0,13.903996135428532,0.0,5.05600386457146,0.0,0.0,0.01500643783079954,9.09,0.0,90.9,0.0
0.73,0.1,10000.003996368801,0.0,13.903996368808057,0.0,5.056003631191935,0.0,0.0,0.01500649262105733,9.09,0.0,90.9,0.0
0.74,0.1,10000.003996580883,0.0,13.903996580889599,0.0,5.056003419110394,0.0,0.0,0.015006546731453888,9.09,0.0,90.9,0.0
0.75,0.1,10000.003996768986,0.0,13.903996768993565,0.0,5.056003231006427,0.0,0.0,0.015006600168375826,9.09,0.0,90.9,0.0
0.76,0.1,10000.003996939662,0.0,13.903996939668419,0.0,5.056003060331573,0.0,0.0,0.015006652941871972,9.09,0.0,90.9,0.0
0.77,0.1,10000.003997093962,0.0,13.903997093967526,0.0,5.056002906032467,0.0,0.0,0.01500670505995096,9.09,0.0,90.9,0.0
0.78,0.1,10000.00399723298,0.0,13.903997232986972,0.0,5.05600276701302,0.0,0.0,0.01500675653060603,9.09,0.0,90.9,0.0
0.79,0.1,10000.003997358237,0.0,13.903997358244519,0.0,5.056002641755472,0.0,0.0,0.015006807361678462,9.09,0.0,90.9,0.0
0.8,0.1,10000.003997471067,0.0,13.903997471074518,0.0,5.056002528925472,0.0,0.0,0.015006857561075636,9.09,0.0,90.9,0.0
0.81,0.1,10000.003997572718,0.0,13.903997572724334,0.0,5.056002427275658,0.0,0.0,0.015006907136736271,9.09,0.0,90.9,0.0
0.8200000000000001,0.1,10000.003997664435,0.0,13.903997664441325,0.0,5.0560023355586665,0.0,0.0,0.015006956096599097,9.09,0.0,90.9,0.0
0.8300000000000001,0.1,10000.003997747464,0.0,13.903997747470786,0.0,5.056002252529205,0.0,0.0,0.015007004448600411,9.09,0.0,90.9,0.0
0.84,0.1,10000.003997822443,0.0,13.903997822449599,0.0,5.056002177550392,0.0,0.0,0.015007052199963868,9.09,0.0,90.9,0.0
0.85,0.1,10000.00399788989,0.0,13.90399788989564,0.0,5.05600211010435,0.0,0.0,0.015007099357773725,9.09,0.0,90.9,0.0
0.86,0.1,10000.00399795069,0.0,13.903997950696583,0.0,5.056002049303407,0.0,0.0,0.01500714592954739,9.09,0.0,90.9,0.0
0.87,0.1,10000.003998005734,0.0,13.903998005740101,0.0,5.05600199425989,0.0,0.0,0.015007191922802279,9.09,0.0,90.9,0.0
0.88,0.1,10000.003998055907,0.0,13.903998055913865,0.0,5.056001944086125,0.0,0.0,0.0150072373450558,9.09,0.0,90.9,0.0
0.89,0.1,10000.003998101758,0.0,13.903998101764984,0.0,5.056001898235007,0.0,0.0,0.015007282203444593,9.09,0.0,90.9,0.0
0.9,0.1,10000.003998143078,0.0,13.903998143084674,0.0,5.056001856915315,0.0,0.0,0.015007326504260196,9.09,0.0,90.9,0.0
0.91,0.1,10000.00399818028,0.0,13.903998180286706,0.0,5.056001819713283,0.0,0.0,0.015007370254490171,9.09,0.0,90.9,0.0
0.92,0.1,10000.003998213819,0.0,13.903998213824426,0.0,5.056001786175564,0.0,0.0,0.015007413461166335,9.09,0.0,90.9,0.0
0.93,0.1,10000.003998244145,0.0,13.903998244151179,0.0,5.05600175584881,0.0,0.0,0.015007456131320505,9.09,0.0,90.9,0.0
0.9400000000000001,0.1,10000.00399827716,0.0,13.903998277165583,0.0,5.056001722834407,0.0,0.0,0.015007498403152245,9.09,0.0,90.9,0.0
0.9500000000000001,0.1,10000.003998299208,0.0,13.903998299213512,0.0,5.056001700786479,0.0,0.0,0.015007539955276641,9.09,0.0,90.9,0.0
0.96,0.1,10000.00399831976,0.0,13.90399831976467,0.0,5.056001680235321,0.0,0.0,0.015007581015975898,9.09,0.0,90.9,0.0
0.97,0.1,10000.003998338814,0.0,13.903998338819056,0.0,5.056001661180933,0.0,0.0,0.015007621585250019,9.09,0.0,90.9,0.0
0.98,0.1,10000.003998356371,0.0,13.903998356376674,0.0,5.056001643623317,0.0,0.0,0.015007661663099001,9.09,0.0,90.9,0.0
0.99,0.1,10000.003998372435,0.0,13.903998372438018,0.0,5.0560016275619715,0.0,0.0,0.015007701249563006,9.09,0.0,90.9,0.0
1.0,0.1,10000.00399838711,0.0,13.903998387113798,0.0,5.05600161288619,0.0,0.0,0.015007740353575254,9.09,0.0,90.9,0.0
1.01,0.1,10000.003998400485,0.0,13.90399840048832,0.0,5.05600159951167,0.0,0.0,0.01500777898193815,9.09,0.0,90.9,0.0
1.02,0.1,10000.003998412558,0.0,13.90399841256158,0.0,5.056001587438411,0.0,0.0,0.015007817134651692,9.09,0.0,90.9,0.0
1.03,0.1,10000.00399842333,0.0,13.903998423333576,0.0,5.056001576666413,0.0,0.0,0.015007854811715881,9.09,0.0,90.9,0.0
1.04,0.1,10000.0039984328,0.0,13.903998432804315,0.0,5.0560015671956755,0.0,0.0,0.015007892013130715,9.09,0.0,90.9,0.0
1.05,0.1,10000.003998441045,0.0,13.903998441049279,0.0,5.05600155895071,0.0,0.0,0.015007928742861942,9.09,0.0,90.9,0.0
1.06,0.1,10000.003998448521,0.0,13.90399844852567,0.0,5.05600155147432,0.0,0.0,0.015007965024927888,9.09,0.0,90.9,0.0
1.07,0.1,10000.003998455306,0.0,13.903998455310397,0.0,5.056001544689591,0.0,0.0,0.015008000863369148,9.09,0.0,90.9,0.0
1.08,0.1,10000.0039984614,0.0,13.903998461403464,0.0,5.056001538596524,0.0,0.0,0.015008036258185722,9.09,0.0,90.9,0.0
1.09,0.1,10000.0039984668,0.0,13.90399846680487,0.0,5.0560015331951185,0.0,0.0,0.01500807120937761,9.09,0.0,90.9,0.0
1.1,0.1,10000.003998471511,0.0,13.903998471514615,0.0,5.056001528485374,0.0,0.0,0.015008105716944813,9.09,0.0,90.9,0.0
1.11,0.1,10000.003998475684,0.0,13.903998475689773,0.0,5.056001524310214,0.0,0.0,0.015008139793646132,9.09,0.0,90.9,0.0
1.12,0.1,10000.003998479535,0.0,13.903998479540189,0.0,5.0560015204598,0.0,0.0,0.015008173456526101,9.09,0.0,90.9,0.0
1.1300000000000001,0.1,10000.003998483062,0.0,13.903998483066921,0.0,5.056001516933068,0.0,0.0,0.015008206705671108,9.09,0.0,90.9,0.0
1.1400000000000001,0.1,10000.003998486265,0.0,13.90399848626997,0.0,5.056001513730018,0.0,0.0,0.01500823954108115,9.09,0.0,90.9,0.0
1.1500000000000001,0.1,10000.003998489145,0.0,13.90399848914934,0.0,5.05600151085065,0.0,0.0,0.015008271962756229,9.09,0.0,90.9,0.0
1.16,0.1,10000.003998491711,0.0,13.903998491713802,0.0,5.0560015082861876,0.0,0.0,0.015008303972405209,9.09,0.0,90.9,0.0
1.17,0.1,10000.003998494065,0.0,13.90399849406744,0.0,5.056001505932548,0.0,0.0,0.015008335590294892,9.09,0.0,90.9,0.0
1.18,0.1,10000.003998496237,0.0,13.903998496240451,0.0,5.056001503759537,0.0,0.0,0.015008366822304527,9.09,0.0,90.9,0.0
1.19,0.1,10000.003998498229,0.0,13.903998498232832,0.0,5.056001501767157,0.0,0.0,0.01500839766843411,9.09,0.0,90.9,0.0
1.2,0.1,10000.003998500042,0.0,13.903998500044583,0.0,5.056001499955404,0.0,0.0,0.015008428128683644,9.09,0.0,90.9,0.0
1.21,0.1,10000.003998501672,0.0,13.903998501675707,0.0,5.056001498324282,0.0,0.0,0.015008458203053129,9.09,0.0,90.9,0.0
1.22,0.1,10000.003998503142,0.0,13.903998503146475,0.0,5.056001496853513,0.0,0.0,0.015008487899376616,9.09,0.0,90.9,0.0
1.23,0.1,10000.003998504499,0.0,13.90399850450217,0.0,5.056001495497819,0.0,0.0,0.015008517235151205,9.09,0.0,90.9,0.0
1.24,0.1,10000.003998505741,0.0,13.90399850574447,0.0,5.0560014942555185,0.0,0.0,0.015008546211025233,9.09,0.0,90.9,0.0
1.25,0.1,10000.003998506869,0.0,13.903998506873375,0.0,5.0560014931266135,0.0,0.0,0.015008574826998695,9.09,0.0,90.9,0.0
1.26,0.1,10000.003998507886,0.0,13.903998507888884,0.0,5.056001492111104,0.0,0.0,0.015008603083071597,9.09,0.0,90.9,0.0
1.27,0.1,10000.00399850879,0.0,13.903998508791943,0.0,5.056001491208048,0.0,0.0,0.015008630979742707,9.09,0.0,90.9,0.0
1.28,0.1,10000.00399850961,0.0,13.903998509612817,0.0,5.056001490387172,0.0,0.0,0.015008658533046107,9.09,0.0,90.9,0.0
1.29,0.1,10000.003998510363,0.0,13.903998510366046,0.0,5.056001489633945,0.0,0.0,0.015008685750679377,9.09,0.0,90.9,0.0
1.3,0.1,10000.003998511049,0.0,13.903998511051626,0.0,5.0560014889483655,0.0,0.0,0.015008712632642524,9.09,0.0,90.9,0.0
1.31,0.1,10000.003998511667,0.0,13.903998511669556,0.0,5.056001488330434,0.0,0.0,0.015008739178935544,9.09,0.0,90.9,0.0
1.32,0.1,10000.003998512217,0.0,13.90399851221984,0.0,5.056001487780152,0.0,0.0,0.015008765389558438,9.09,0.0,90.9,0.0
1.33,0.1,10000.003998512706,0.0,13.903998512708355,0.0,5.056001487291633,0.0,0.0,0.01500879126898479,9.09,0.0,90.9,0.0
1.34,0.1,10000.003998513155,0.0,13.903998513156903,0.0,5.056001486843086,0.0,0.0,0.01500881683378663,9.09,0.0,90.9,0.0
1.35,0.1,10000.003998513565,0.0,13.903998513567522,0.0,5.056001486432468,0.0,0.0,0.015008842085517463,9.09,0.0,90.9,0.0
1.36,0.1,10000.003998513937,0.0,13.903998513940213,0.0,5.0560014860597775,0.0,0.0,0.015008867024177287,9.09,0.0,90.9,0.0
1.37,0.1,10000.003998514272,0.0,13.903998514274974,0.0,5.056001485725015,0.0,0.0,0.015008891649766107,9.09,0.0,90.9,0.0
1.3800000000000001,0.1,10000.003998514569,0.0,13.903998514571834,0.0,5.056001485428156,0.0,0.0,0.015008915962316403,9.09,0.0,90.9,0.0
1.3900000000000001,0.1,10000.003998514838,0.0,13.90399851484,0.0,5.056001485159989,0.0,0.0,0.015008939973472244,9.09,0.0,90.9,0.0
1.4000000000000001,0.1,10000.003998515083,0.0,13.903998515086908,0.0,5.0560014849130805,0.0,0.0,0.015008963692634708,9.09,0.0,90.9,0.0
1.41,0.1,10000.003998515309,0.0,13.903998515312558,0.0,5.056001484687429,0.0,0.0,0.015008987119803793,9.09,0.0,90.9,0.0
1.42,0.1,10000.003998515514,0.0,13.903998515516951,0.0,5.056001484483036,0.0,0.0,0.015009010254979503,9.09,0.0,90.9,0.0
1.43,0.1,10000.003998515696,0.0,13.903998515700088,0.0,5.056001484299901,0.0,0.0,0.015009033098161834,9.09,0.0,90.9,0.0
1.44,0.1,10000.00399851586,0.0,13.90399851586301,0.0,5.056001484136978,0.0,0.0,0.015009055651632729,9.09,0.0,90.9,0.0
1.45,0.1,10000.00399851601,0.0,13.903998516012477,0.0,5.056001483987513,0.0,0.0,0.015009077930129622,9.09,0.0,90.9,0.0
1.46,0.1,10000.003998516146,0.0,13.903998516149692,0.0,5.056001483850298,0.0,0.0,0.015009099936291707,9.09,0.0,90.9,0.0
1.47,0.1,10000.003998516271,0.0,13.903998516274656,0.0,5.056001483725332,0.0,0.0,0.015009121670118985,9.09,0.0,90.9,0.0
1.48,0.1,10000.003998516384,0.0,13.903998516387373,0.0,5.056001483612616,0.0,0.0,0.015009143131611455,9.09,0.0,90.9,0.0
1.49,0.1,10000.003998516484,0.0,13.90399851648784,0.0,5.056001483512149,0.0,0.0,0.015009164320769116,9.09,0.0,90.9,0.0
1.5,0.1,10000.003998516571,0.0,13.903998516576285,0.0,5.056001483423706,0.0,0.0,0.015009185252623037,9.09,0.0,90.9,0.0
1.51,0.1,10000.003998516648,0.0,13.903998516653024,0.0,5.056001483346967,0.0,0.0,0.015009205948440157,9.09,0.0,90.9,0.0
1.52,0.1,10000.003998516713,0.0,13.903998516718058,0.0,5.056001483281931,0.0,0.0,0.015009226408374295,9.09,0.0,90.9,0.0
1.53,0.1,10000.003998516766,0.0,13.903998516771392,0.0,5.056001483228598,0.0,0.0,0.015009246632425447,9.09,0.0,90.9,0.0
1.54,0.1,10000.003998516808,0.0,13.903998516813022,0.0,5.056001483186967,0.0,0.0,0.015009266620593615,9.09,0.0,90.9,0.0
1.55,0.1,10000.003998516839,0.0,13.90399851684295,0.0,5.05600148315704,0.0,0.0,0.015009286372878797,9.09,0.0,90.9,0.0
1.56,0.1,10000.003998516857,0.0,13.903998516861176,0.0,5.056001483138814,0.0,0.0,0.015009305889280997,9.09,0.0,90.9,0.0
1.57,0.1,10000.003998516862,0.0,13.903998516867698,0.0,5.056001483132291,0.0,0.0,0.015009325169800209,9.09,0.0,90.9,0.0
1.58,0.1,10000.003998516859,0.0,13.903998516862519,0.0,5.056001483137471,0.0,0.0,0.015009344214436438,9.09,0.0,90.9,0.0
1.59,0.1,10000.00399851684,0.0,13.903998516845636,0.0,5.056001483154353,0.0,0.0,0.015009363023189682,9.09,0.0,90.9,0.0
1.6,0.1,10000.003998516813,0.0,13.903998516817053,0.0,5.056001483182938,0.0,0.0,0.015009381596059941,9.09,0.0,90.9,0.0
1.61,0.1,10000.003998516771,0.0,13.903998516776765,0.0,5.056001483223225,0.0,0.0,0.015009399933047216,9.09,0.0,90.9,0.0
1.62,0.1,10000.00399851672,0.0,13.903998516724775,0.0,5.056001483275216,0.0,0.0,0.015009418034151505,9.09,0.0,90.9,0.0
1.6300000000000001,0.1,10000.003998516657,0.0,13.903998516661082,0.0,5.056001483338908,0.0,0.0,0.01500943589937281,9.09,0.0,90.9,0.0
1.6400000000000001,0.1,10000.00399851658,0.0,13.903998516585688,0.0,5.056001483414303,0.0,0.0,0.01500945352871113,9.09,0.0,90.9,0.0
1.6500000000000001,0.1,10000.003998516493,0.0,13.90399851649859,0.0,5.056001483501401,0.0,0.0,0.015009470922166465,9.09,0.0,90.9,0.0
1.6600000000000001,0.1,10000.003998516395,0.0,13.903998516399788,0.0,5.056001483600202,0.0,0.0,0.015009488079738816,9.09,0.0,90.9,0.0
1.67,0.1,10000.003998516284,0.0,13.903998516289287,0.0,5.056001483710705,0.0,0.0,0.015009505001428182,9.09,0.0,90.9,0.0
1.68,0.1,10000.003998516162,0.0,13.903998516167134,0.0,5.056001483832857,0.0,0.0,0.015009521688669859,9.09,0.0,90.9,0.0
1.69,0.1,10000.003998516031,0.0,13.903998516034587,0.0,5.056001483965403,0.0,0.0,0.015009538175329361,9.09,0.0,90.9,0.0
1.7,0.1,10000.003998515887,0.0,13.903998515892175,0.0,5.056001484107814,0.0,0.0,0.01500955447571192,9.09,0.0,90.9,0.0
1.71,0.1,10000.003998515736,0.0,13.9039985157399,0.0,5.056001484260089,0.0,0.0,0.015009570589817537,9.09,0.0,90.9,0.0
1.72,0.1,10000.003998515573,0.0,13.903998515577761,0.0,5.056001484422228,0.0,0.0,0.015009586517646207,9.09,0.0,90.9,0.0
1.73,0.1,10000.003998515402,0.0,13.903998515405759,0.0,5.056001484594232,0.0,0.0,0.015009602259197934,9.09,0.0,90.9,0.0
1.74,0.1,10000.00399851522,0.0,13.90399851522389,0.0,5.056001484776099,0.0,0.0,0.015009617814472718,9.09,0.0,90.9,0.0
1.75,0.1,10000.003998515029,0.0,13.903998515032159,0.0,5.0560014849678305,0.0,0.0,0.015009633183470558,9.09,0.0,90.9,0.0
1.76,0.1,10000.003998514827,0.0,13.903998514830564,0.0,5.056001485169427,0.0,0.0,0.015009648366191453,9.09,0.0,90.9,0.0
1.77,0.1,10000.003998514614,0.0,13.903998514619103,0.0,5.056001485380887,0.0,0.0,0.015009663362635404,9.09,0.0,90.9,0.0
1.78,0.1,10000.003998514394,0.0,13.90399851439778,0.0,5.056001485602211,0.0,0.0,0.01500967817280241,9.09,0.0,90.9,0.0
1.79,0.1,10000.003998514163,0.0,13.90399851416659,0.0,5.0560014858333995,0.0,0.0,0.015009692796692474,9.09,0.0,90.9,0.0
1.8,0.1,10000.003998513921,0.0,13.903998513925538,0.0,5.056001486074452,0.0,0.0,0.015009707234305593,9.09,0.0,90.9,0.0
1.81,0.1,10000.00399851367,0.0,13.90399851367462,0.0,5.056001486325369,0.0,0.0,0.015009721485641768,9.09,0.0,90.9,0.0
1.82,0.1,10000.00399851341,0.0,13.903998513413839,0.0,5.056001486586149,0.0,0.0,0.015009735550700998,9.09,0.0,90.9,0.0
1.83,0.1,10000.003998513139,0.0,13.903998513143195,0.0,5.056001486856795,0.0,0.0,0.015009749429483285,9.09,0.0,90.9,0.0
1.84,0.1,10000.003998512859,0.0,13.903998512862685,0.0,5.056001487137304,0.0,0.0,0.015009763121988628,9.09,0.0,90.9,0.0
1.85,0.1,10000.003998512568,0.0,13.903998512572311,0.0,5.056001487427678,0.0,0.0,0.015009776628217028,9.09,0.0,90.9,0.0
1.86,0.1,10000.003998512268,0.0,13.903998512272073,0.0,5.056001487727915,0.0,0.0,0.015009789948168482,9.09,0.0,90.9,0.0
1.87,0.1,10000.003998511957,0.0,13.903998511962564,0.0,5.056001488037425,0.0,0.0,0.01500980308828594,9.09,0.0,90.9,0.0
