t,v,w
1.07,-0.6871406173269977,-0.01290725276935827
1.08,-0.680064695556065,-0.012939493632681931
1.09,-0.6731672316202364,-0.01297138038301141
1.1,-0.6664409834393501,-0.013002921812738938
1.11,-0.6598791101992145,-0.01303412636136259
1.12,-0.6534751449330797,-0.013065002134593415
1.1300000000000001,-0.6472229680969964,-0.013095556922697532
1.1400000000000001,-0.6411167890797672,-0.01312579821498211
1.1500000000000001,-0.6351511150091796,-0.013155733219958431
1.16,-0.6293207364135346,-0.013185368877355521
1.17,-0.623620710984924,-0.013214711870803482
1.18,-0.6180463396754834,-0.01324376864391115
1.19,-0.6125931580629673,-0.013272545408907077
1.2,-0.607256918958418,-0.013301048159360384
1.21,-0.6020335768378055,-0.013329282681858411
1.22,-0.5969192803536375,-0.013357254563383247
1.23,-0.5919103565766798,-0.013384969202887584
1.24,-0.5870033020477585,-0.013412431819152549
1.25,-0.582194774142837,-0.013439647458365931
1.26,-0.5774815788166447,-0.013466621003530257
1.27,-0.5728606648697867,-0.013493357180251608
1.28,-0.5683291150924649,-0.013519860564149366
1.29,-0.5638841375971969,-0.013546135588086969
1.3,-0.5595230610671594,-0.013572186547079593
1.31,-0.555243325978632,-0.013598017605461109
1.32,-0.5510424799729776,-0.013623632801561036
1.33,-0.5469181736196689,-0.013649036052082132
1.34,-0.5428681538309797,-0.013674231157825545
1.35,-0.538890254892158,-0.01369922181082926
1.36,-0.5349823996506367,-0.013724011595250664
1.37,-0.5311425940597129,-0.013748603992251276
1.3800000000000001,-0.5273689202585885,-0.013773002385724762
1.3900000000000001,-0.5236595341858111,-0.01379721006519793
1.4000000000000001,-0.5200126635147205,-0.013821230228480795
1.41,-0.5164266031701275,-0.013845065985792245
1.42,-0.5128997099798726,-0.013868720364473444
1.43,-0.5094304026931703,-0.013892196310073155
1.44,-0.5060171586284911,-0.013915496689658111
1.45,-0.5026585094113923,-0.013938624295736406
1.46,-0.4993530391522081,-0.013961581848472059
1.47,-0.49609938299829376,-0.013984371997613262
1.48,-0.49289622428164687,-0.014006997325364888
1.49,-0.48974229120485385,-0.01402946034956037
1.5,-0.48663635643587105,-0.014051763524777437
1.51,-0.4835772349570927,-0.014073909244646627
1.52,-0.4805637813766135,-0.014095899844558652
1.53,-0.47759488855118254,-0.014117737603377355
1.54,-0.4746694865394052,-0.014139424744887857
1.55,-0.4717865406242429,-0.014160963439924673
1.56,-0.46894504897757544,-0.014182355808757173
1.57,-0.46614404279080424,-0.0142036039215892
1.58,-0.46338258472267946,-0.01422470980031714
1.59,-0.46065976779717843,-0.014245675419930215
1.6,-0.45797471241194593,-0.01426650271139673
1.61,-0.45532656561024437,-0.014287193562744237
1.62,-0.4527145018370152,-0.014307749818951065
1.6300000000000001,-0.4501377211416365,-0.01432817328384762
1.6400000000000001,-0.447595448144287,-0.014348465721400146
1.6500000000000001,-0.445086929499281,-0.014368628858174717
1.6600000000000001,-0.4426114348489263,-0.014388664383017807
1.67,-0.44016825586832226,-0.014408573948239385
1.68,-0.4377567053437252,-0.014428359170756537
1.69,-0.4353761158725633,-0.01444802163357506
1.7,-0.43302583850616766,-0.01446756288731301
1.71,-0.4307052435643605,-0.014486984449827213
1.72,-0.42841371945408846,-0.014506287807568052
1.73,-0.4261506720616606,-0.01452547441642833
1.74,-0.4239155232831687,-0.014544545703358664
1.75,-0.42170771109678123,-0.014563503066593871
1.76,-0.4195266892791523,-0.014582347876191842
1.77,-0.41737192669704914,-0.014601081474946731
1.78,-0.4152429066689248,-0.014619705179234655
1.79,-0.4131391258838963,-0.014638220280254199
1.8,-0.41106009480868877,-0.014656628043912523
1.81,-0.40900533702999803,-0.014674929711669839
1.82,-0.40697438882182685,-0.014693126501173869
1.83,-0.4049667983657825,-0.014711219607229445
1.84,-0.40298212540671186,-0.014729210202341324
1.85,-0.40101994127395224,-0.014747099436897858
1.86,-0.39907982834863265,-0.014764888439887956
1.87,-0.3971613796750583,-0.014782578319474963
1.8800000000000001,-0.39526419808262026,-0.014800170164048833
1.8900000000000001,-0.393387896588872,-0.014817665042012044
1.9000000000000001,-0.3915320980196042,-0.01483506400233303
1.9100000000000001,-0.389696434660259,-0.01485236807506474
1.92,-0.3878805480177003,-0.014869578271750533
1.93,-0.38608408848037284,-0.014886695585931727
1.94,-0.3843067137863481,-0.014903720994880522
1.95,-0.38254809026891956,-0.01492065545846782
1.96,-0.38080789252456193,-0.014937499919653652
1.97,-0.37908580295979283,-0.014954255305099372
1.98,-0.3773815115945506,-0.014970922525512504
1.99,-0.37569471582253416,-0.014987502476033003
2.0,-0.3740251193779763,-0.015003996037435626
2.0100000000000002,-0.3723724330279013,-0.015020404075548287
2.02,-0.3707363744092023,-0.015036727441550107
2.0300000000000002,-0.3691166676737376,-0.015052966972464629
2.04,-0.36751304332919216,-0.01506912349144796
2.05,-0.3659252380597697,-0.015085197808097932
2.06,-0.36435299391859766,-0.015101190719472765
2.07,-0.36279605879093485,-0.015117103009669064
2.08,-0.3612541863358777,-0.015132935449988439
2.09,-0.35972713567815084,-0.01514868879938524
2.1,-0.3582146712763625,-0.015164363804712673
2.11,-0.3567165627855534,-0.015179961200974038
2.12,-0.35523258447998546,-0.015195481712086277
2.13,-0.3537625155028302,-0.015210926050675862
2.14,-0.3523061398664631,-0.015226294918164539
2.15,-0.350863246200424,-0.015241589005148383
2.16,-0.34943362764233044,-0.015256808991608316
2.17,-0.34801708172946405,-0.015271955547118368
2.18,-0.34661340997605194,-0.01528702933142313
2.19,-0.3452224179951756,-0.01530203099437153
2.2,-0.3438439155345776,-0.015316961175950706
2.21,-0.34247771626680035,-0.015331820506608099
2.22,-0.3411236376985053,-0.015346609607431583
2.23,-0.33978150108293564,-0.01536132909032462
2.24,-0.3384511311063175,-0.015375979558466419
2.25,-0.33713235592947655,-0.0153905616063217
2.2600000000000002,-0.3358250072449681,-0.015405075819629823
2.27,-0.3345289201001196,-0.01541952277568909
2.2800000000000002,-0.33324393282115583,-0.01543390304351217
2.29,-0.33196988694076623,-0.01544821718397618
2.3000000000000003,-0.33070662689489233,-0.015462465750268169
2.31,-0.32945400008663756,-0.015476649287858305
2.32,-0.32821185701145117,-0.015490768334393468
2.33,-0.32698005106231354,-0.0155048234200008
2.34,-0.3257584384705396,-0.015518815067416208
2.35,-0.3245468782502682,-0.015532743792107211
2.36,-0.3233452321466403,-0.015546610102390137
2.37,-0.3221533645855632,-0.015560414499544492
2.38,-0.3209711420830952,-0.015574157478652756
2.39,-0.31979843351865994,-0.015587839528278724
2.4,-0.3186351104991421,-0.015601461130023033
2.41,-0.3174810470127731,-0.015615022759032324
2.42,-0.31633611938104256,-0.015628524884107237
2.43,-0.31520020621330613,-0.01564196796780609
2.44,-0.3140731883640887,-0.01565535246654422
2.45,-0.31295494889130615,-0.015668678830691448
2.46,-0.311845372657622,-0.01568194750514893
2.47,-0.3107443465153489,-0.015695158929140248
2.48,-0.3096517595230551,-0.015708313535959067
2.49,-0.30856750271624694,-0.015721411753316154
2.5,-0.3074914690688546,-0.015734454003428936
2.5100000000000002,-0.30642355345676775,-0.015747440703107636
2.52,-0.30536365262342136,-0.015760372263837932
2.5300000000000002,-0.30431166514567304,-0.015773249091862795
2.54,-0.3032674911159125,-0.015786071588683212
2.5500000000000003,-0.30223103229750986,-0.01579884015085904
2.56,-0.30120219228353795,-0.015811555169804564
2.57,-0.30018087631850393,-0.015824217032081665
2.58,-0.2991669912668181,-0.015836826119475695
2.59,-0.2981604455828052,-0.015849382809068654
2.6,-0.2971611492822573,-0.015861887473309695
2.61,-0.296169013913998,-0.015874340480085215
2.62,-0.29518395232791594,-0.015886742193099344
2.63,-0.2942058787893669,-0.015899092971725315
2.64,-0.29323470908092564,-0.015911393170875827
2.65,-0.2922703603744693,-0.015923643141223624
2.66,-0.29131275120530925,-0.01593584322926599
2.67,-0.29036180144750706,-0.01594799377738703
2.68,-0.28941743229037353,-0.015960095123917866
2.69,-0.28847956621478593,-0.015972147603196738
2.7,-0.2875481268177998,-0.01598415154586221
2.71,-0.28662303890037993,-0.0159961072787412
2.72,-0.2857042285349087,-0.016008015124767763
2.73,-0.2847916229700896,-0.01601987540315177
2.74,-0.28388515060962133,-0.016031688429433737
2.75,-0.28298474099178966,-0.01604345451553791
2.7600000000000002,-0.28209032476997814,-0.0160551739698236
2.77,-0.281201833692869,-0.016066847097136794
2.7800000000000002,-0.2803192004685692,-0.016078474199053554
2.79,-0.27944235883372315,-0.01609005557378411
2.8000000000000003,-0.2785712435991671,-0.016101591516115586
2.81,-0.2777057905774658,-0.01611308231754979
2.82,-0.2768459365652029,-0.016124528266350278
2.83,-0.2759916193259876,-0.016135929647587966
2.84,-0.27514277757418054,-0.016147286743185354
2.85,-0.27429935095767255,-0.016158599831962106
2.86,-0.2734612799107223,-0.016169869189898458
2.87,-0.272628505760904,-0.016181095089972074
2.88,-0.27180097077578,-0.016192277802095787
2.89,-0.2709786180846152,-0.016203417593264824
2.9,-0.2701613916646075,-0.016214514727595566
2.91,-0.26934923632776026,-0.01622556946636302
2.92,-0.26854209770839704,-0.016236582068037
2.93,-0.2677399222513178,-0.01624755278831702
2.94,-0.26694265720059823,-0.016258481880165935
2.95,-0.2661502505890302,-0.016269369593842238
2.96,-0.2653626511577507,-0.01628021617705491
2.97,-0.26457980806059306,-0.016291021875496404
2.98,-0.26380167138694127,-0.016301786931937172
2.99,-0.2630281919810928,-0.016312511586556236
3.0,-0.26225932138874264,-0.0163231960770482
3.0100000000000002,-0.2614950118460567,-0.016333840638655273
3.02,-0.26073521626921337,-0.016344445504198335
3.0300000000000002,-0.2599798882444121,-0.016355010904106983
3.04,-0.25922898201835104,-0.016365537066448627
3.0500000000000003,-0.2584824524891713,-0.016376024216956594
3.06,-0.25774025519787,-0.016386472579057256
3.0700000000000003,-0.25700234617006196,-0.01639688237416017
3.08,-0.25626868195286395,-0.016407253821604906
3.09,-0.25553921982103994,-0.016417587138310125
3.1,-0.25481391763549266,-0.01642788253903379
3.11,-0.25409273383415093,-0.016438140236400455
3.12,-0.253375627423391,-0.016448360440927418
3.13,-0.252662557969813,-0.01645854336105011
3.14,-0.25195348559237124,-0.016468689203146713
3.15,-0.25124837095485847,-0.016478798171561976
3.16,-0.2505471752587449,-0.016488870468630273
3.17,-0.24984986021941163,-0.016498906294730664
3.18,-0.24915638789125105,-0.016508905848634268
3.19,-0.24846672090620026,-0.016518869327051707
3.2,-0.24778082242797458,-0.01652879692473046
3.21,-0.2470986561053631,-0.016538688834553943
3.22,-0.24642018606506072,-0.016548545247563978
3.23,-0.24574537690476625,-0.016558366352982704
3.24,-0.24507419368654576,-0.016568152338233832
3.25,-0.24440660193046196,-0.016577903388963307
3.2600000000000002,-0.2437425676084686,-0.016587619689059387
3.27,-0.24308205713857106,-0.01659730142067207
3.2800000000000002,-0.24242503732387788,-0.016606948764342662
3.29,-0.2417714753050724,-0.01661656189910648
3.3000000000000003,-0.24112133872373642,-0.016626141002173734
3.31,-0.24047459563517548,-0.016635686249111332
3.3200000000000003,-0.23983121449930236,-0.016645197813868494
3.33,-0.23919116417485992,-0.01665467586879562
3.34,-0.23855441391384663,-0.01666412058466264
3.35,-0.23792093335614542,-0.01667353213067693
3.36,-0.23729069252435536,-0.01668291067450071
3.37,-0.2366636618188262,-0.016692256382267963
3.38,-0.23603981201017948,-0.01670156941860636
3.39,-0.2354191141489608,-0.016710849946825975
3.4,-0.2348015396567056,-0.016720098128742596
3.41,-0.23418706033672576,-0.016729314124662626
3.42,-0.2335756483370186,-0.016738498093464328
3.43,-0.23296727614542181,-0.016747650192614066
3.44,-0.23236191658492583,-0.016756770578182142
3.45,-0.23175954280914265,-0.016765859404858252
3.46,-0.23116012829793237,-0.016774916825966553
3.47,-0.23056364685318612,-0.01678394299348032
3.48,-0.22997007259476657,-0.016792938058036232
3.49,-0.22937937993782667,-0.016801902168988993
3.5,-0.2287915435404475,-0.016810835474530196
3.5100000000000002,-0.22820653840544702,-0.01681973812147296
3.52,-0.2276243398365542,-0.0168286102553522
3.5300000000000002,-0.22704492342867208,-0.016837452020450963
3.54,-0.22646826506391807,-0.016846263559814206
3.5500000000000003,-0.22589434090778593,-0.016855045015262225
3.56,-0.22532312740543073,-0.016863796527403788
3.5700000000000003,-0.22475460127807553,-0.01687251823564896
3.58,-0.22418873951954116,-0.016881210278221592
3.59,-0.2236255193927842,-0.01688987279217175
3.6,-0.22306491836564799,-0.01689850591352178
3.61,-0.22250691415569612,-0.016907109777172448
3.62,-0.2219514847774268,-0.01691568451680378
3.63,-0.22139860849716325,-0.016924230264978912
3.64,-0.22084826382992048,-0.016932747153155552
3.65,-0.22030042953638154,-0.01694123531169718
3.66,-0.21975508461998308,-0.016949694869883934
3.67,-0.21921220832411062,-0.01695812595592325
3.68,-0.21867178012940278,-0.016966528696960165
3.69,-0.21813377975116563,-0.016974903219087373
3.7,-0.21759818713689566,-0.01698324964735497
3.71,-0.21706498246391298,-0.01699156810577993
3.72,-0.2165341461371033,-0.01699985871735527
3.73,-0.21600565878676992,-0.017008121604058943
3.74,-0.21547950114397965,-0.017016356887145093
3.75,-0.21495565409720335,-0.01702456468701733
3.7600000000000002,-0.21443409885502135,-0.017032745122857566
3.77,-0.21391481683188354,-0.017040898312893106
3.7800000000000002,-0.21339778964550404,-0.017049024374406436
3.79,-0.21288299911442074,-0.017057123423744575
3.8000000000000003,-0.2123704272556337,-0.01706519557632821
3.81,-0.21186005628232366,-0.01707324094666061
3.8200000000000003,-0.21135186860164903,-0.017081259648336344
3.83,-0.21084584681262347,-0.017089251794049742
3.84,-0.2103419737040717,-0.017097217495603174
3.85,-0.20984023225266568,-0.017105156863915096
3.86,-0.20934060562103973,-0.017113070009027866
3.87,-0.20884307715598513,-0.01712095704011538
3.88,-0.2083476303189911,-0.017128818065646527
3.89,-0.2078542486907889,-0.01713665319337815
3.9,-0.2073629161042746,-0.01714446253005199
3.91,-0.20687361656298298,-0.01715224618158593
3.92,-0.20638633423830746,-0.017160004253083654
3.93,-0.20590105346755408,-0.017167736848842378
3.94,-0.2054177587520555,-0.017175444072360407
3.95,-0.2049364347553446,-0.017183126026344496
3.96,-0.2044570663013883,-0.017190782812717076
3.97,-0.20397963837288094,-0.01719841453262327
3.98,-0.20350413610959764,-0.017206021286437764
3.99,-0.20303054480680746,-0.017213603173771484
4.0,-0.20255884991374662,-0.017221160293478116
4.01,-0.2020890370321512,-0.01722869274366044
4.0200000000000005,-0.20162109187092614,-0.017236200621788125
4.03,-0.20115500022790916,-0.01724368402474667
4.04,-0.20069074810968304,-0.01725114304853541
4.05,-0.20022832166578552,-0.017258577788437295
4.0600000000000005,-0.19976770718528727,-0.017265988339030064
4.07,-0.19930889109520655,-0.017273374794192765
4.08,-0.1988518599589681,-0.017280737247112144
4.09,-0.19839660047490726,-0.017288075790288897
4.1,-0.19794309947481842,-0.017295390515543758
4.11,-0.1974913439225484,-0.0173026815140235
4.12,-0.1970413209126344,-0.01730994887620678
4.13,-0.19659301766898646,-0.017317192691909827
4.14,-0.19614642154361486,-0.01732441305029203
4.15,-0.19570152001540225,-0.017331610039861393
4.16,-0.1952583006635331,-0.0173387837485465
4.17,-0.19481675114139593,-0.01734593426376729
4.18,-0.19437685926936873,-0.017353061672193446
4.19,-0.19393861298852874,-0.017360166059868155
4.2,-0.19350200035679255,-0.017367247512220376
4.21,-0.19306700954762118,-0.017374306114070356
4.22,-0.19263362884875967,-0.01738134194963503
4.23,-0.19220184666101045,-0.017388355102533323
4.24,-0.19177165149704076,-0.017395345655791355
4.25,-0.19134303198022412,-0.01740231369184752
4.26,-0.19091597684351577,-0.01740925929255745
4.2700000000000005,-0.19049047492836219,-0.01741618253919893
4.28,-0.19006651518364479,-0.017423083512476623
4.29,-0.18964408666465726,-0.017429962292526753
4.3,-0.18922317851713044,-0.01743681895896131
4.3100000000000005,-0.18880377994997127,-0.017443653590942076
4.32,-0.18838588030732978,-0.017450466266991888
4.33,-0.18796946903602876,-0.01745725706508271
4.34,-0.18755453568137992,-0.017464026062648554
4.3500000000000005,-0.1871410698861211,-0.01747077333659016
4.36,-0.18672906138937992,-0.01747749896327958
4.37,-0.18631850002566339,-0.017484203018564664
4.38,-0.18590937572387392,-0.017490885577773497
4.39,-0.1855016785063516,-0.01749754671571869
4.4,-0.1850953984879425,-0.017504186506701658
4.41,-0.18469052587509344,-0.01751080502451674
4.42,-0.18428705096497275,-0.017517402342455295
4.43,-0.18388496414461736,-0.017523978533309673
4.44,-0.18348425588124295,-0.01753053366940238
4.45,-0.18308491669678048,-0.017537067822660214
4.46,-0.18268693722355556,-0.017543581064457022
4.47,-0.1822903081817954,-0.017550073465679352
4.48,-0.1818950203752433,-0.017556545096740452
4.49,-0.18150106469028016,-0.017562996027584248
4.5,-0.18110843209506586,-0.01756942632768927
4.51,-0.18071711363870152,-0.017575836066072516
4.5200000000000005,-0.18032710045041175,-0.01758222531129322
4.53,-0.17993838373874754,-0.017588594131456567
4.54,-0.1795509547908093,-0.01759494259421735
4.55,-0.17916480497149032,-0.017601270766783535
4.5600000000000005,-0.17877992572274065,-0.017607578715919774
4.57,-0.17839630856285146,-0.01761386650795083
4.58,-0.17801394507793866,-0.017620134208787577
4.59,-0.177632826890082,-0.017626381884020464
4.6000000000000005,-0.17725294572338313,-0.01763260959872985
4.61,-0.17687429337993413,-0.017638817417556803
4.62,-0.17649686173334972,-0.017645005404723142
4.63,-0.17612064272808597,-0.01765117362403469
4.64,-0.17574562837877747,-0.017657322138884515
4.65,-0.17537181076959238,-0.017663451012256047
4.66,-0.1749991820536062,-0.01766956030672619
4.67,-0.1746277344521931,-0.01767565008446834
4.68,-0.1742574602544359,-0.01768172040725535
4.69,-0.17388835181655415,-0.017687771336462415
4.7,-0.17352040156135048,-0.017693802933069932
4.71,-0.173153601977675,-0.017699815257666247
4.72,-0.17278794561990787,-0.017705808370450393
4.73,-0.17242342510746045,-0.017711782331234712
4.74,-0.17206003312429427,-0.017717737199447456
4.75,-0.17169776241845833,-0.0177236730341353
4.76,-0.17133660580164467,-0.01772958989396581
4.7700000000000005,-0.17097655611298682,-0.017735487837338387
4.78,-0.1706176061827041,-0.017741366922495644
4.79,-0.17025974897457727,-0.017747227207092237
4.8,-0.16990297751536615,-0.017753068748410088
4.8100000000000005,-0.16954728488986362,-0.017758891603374467
4.82,-0.16919266424035434,-0.017764695828556692
4.83,-0.16883910876608624,-0.0177704814801768
4.84,-0.16848661172275572,-0.017776248614106142
4.8500000000000005,-0.16813516642200554,-0.01778199728586997
4.86,-0.1677847662309362,-0.01778772755064994
4.87,-0.16743540457163011,-0.017793439463286584
4.88,-0.16708707492068936,-0.01779913307828173
4.89,-0.16673977080878624,-0.017804808449800886
4.9,-0.1663934858202272,-0.017810465631675564
4.91,-0.1660482135925299,-0.01781610467740554
4.92,-0.16570394781601325,-0.017821725640161126
4.93,-0.1653606822334008,-0.017827328572785316
4.94,-0.1650184106394373,-0.017832913527795938
4.95,-0.16467712688051828,-0.01783848055738775
4.96,-0.16433682481559747,-0.01784402971355181
4.97,-0.1639974983318275,-0.01784956104802904
4.98,-0.16365914140701412,-0.01785507461212201
4.99,-0.1633217480671386,-0.01786057045682453
5.0,-0.1629853123857641,-0.017866048632824382
5.01,-0.16264982848360945,-0.01787150919050554
5.0200000000000005,-0.16231529052813226,-0.017876952179950324
5.03,-0.16198169273312224,-0.017882377650941566
5.04,-0.16164902935830425,-0.017887785652964696
5.05,-0.1613172947089512,-0.017893176235209803
5.0600000000000005,-0.16098648313550679,-0.017898549446573667
5.07,-0.16065658903321842,-0.017903905335661743
5.08,-0.16032760684177938,-0.017909243950790115
5.09,-0.15999953104498146,-0.017914565339987417
5.1000000000000005,-0.15967235617037714,-0.017919869550996684
5.11,-0.1593460767889517,-0.01792515663127721
5.12,-0.15902068751480525,-0.01793042662800635
5.13,-0.15869618300484442,-0.01793567958808127
5.14,-0.15837255795783325,-0.017940915558122862
5.15,-0.1580498070724348,-0.017946134584617128
5.16,-0.15772792509533157,-0.017951336713754578
5.17,-0.15740690683502248,-0.017956521991384675
5.18,-0.15708674713964205,-0.017961690463090915
5.19,-0.15676744089660927,-0.01796684217419271
5.2,-0.1564489830322842,-0.017971977169747213
5.21,-0.15613136851163123,-0.01797709549455118
5.22,-0.15581459233789044,-0.017982197193142722
5.23,-0.15549864955225562,-0.0179872823098031
5.24,-0.15518353523356018,-0.01799235088855843
5.25,-0.15486924449796988,-0.017997402973181413
5.26,-0.15455577249868324,-0.018002438607193003
5.2700000000000005,-0.15424311442563915,-0.018007457833864052
5.28,-0.15393126550523192,-0.01801246069621692
5.29,-0.15362022100003336,-0.018017447237027074
5.3,-0.15330997620852252,-0.01802241749882466
5.3100000000000005,-0.15300052646482265,-0.018027371523896003
5.32,-0.15269186713844546,-0.018032309354285136
5.33,-0.15238399363130642,-0.018037231031804716
5.34,-0.1520769013468796,-0.018042136598143375
5.3500000000000005,-0.15177058573964355,-0.01804702609469524
5.36,-0.1514650423063021,-0.0180518995625909
5.37,-0.15116026657652168,-0.018056757042730083
5.38,-0.15085625411264836,-0.018061598575783197
5.39,-0.15055300050942974,-0.018066424202192902
5.4,-0.15025050139374269,-0.01807123396217563
5.41,-0.1499487524243267,-0.01807602789572309
5.42,-0.14964774929152266,-0.01808080604260377
5.43,-0.14934748771701709,-0.018085568442364364
5.44,-0.14904796345359228,-0.018090315134331243
5.45,-0.1487491722848817,-0.018095046157611854
5.46,-0.14845111002513098,-0.01809976155109611
5.47,-0.14815377251896455,-0.018104461353457762
5.48,-0.1478571556411578,-0.01810914560315575
5.49,-0.1475612552964149,-0.018113814338435518
5.5,-0.1472660674191518,-0.018118467597330316
5.51,-0.1469715879732853,-0.01812310541766248
5.5200000000000005,-0.14667781294690826,-0.01812772783706255
5.53,-0.14638473833416824,-0.01813233489303302
5.54,-0.146092360175111,-0.01813692662280985
5.55,-0.1458006745407509,-0.018141503063415103
5.5600000000000005,-0.14550967752970276,-0.0181460642516692
5.57,-0.14521936526795146,-0.01815061022419224
5.58,-0.1449297339086258,-0.018155141017405323
5.59,-0.14464077963177666,-0.018159656667531818
5.6000000000000005,-0.14435249864415944,-0.018164157210598646
5.61,-0.14406488717902072,-0.018168642682437515
5.62,-0.1437779414958891,-0.01817311311868616
5.63,-0.1434916578803705,-0.018177568554789546
5.64,-0.1432060326439476,-0.01818200902600108
5.65,-0.1429210621237835,-0.018186434567383766
5.66,-0.14263674268252982,-0.01819084521381138
5.67,-0.1423530707081388,-0.018195240999969584
5.68,-0.14207004261367995,-0.018199621960357078
5.69,-0.14178765483716074,-0.01820398812928668
