t,V1,V2,V3,V4,h,m,m_1,m_2
0.54,-45.60254293906216,-51.06796936640596,-50.74468628765355,-49.682352001357515,0.9199614867679148,0.9197516335314165,0.9197516335316371,0.9195033341129047
0.55,-45.512580887002095,-51.083238233210736,-50.75528093912635,-49.67785053469314,0.9199606014967597,0.9197470347847528,0.9197470347849774,0.9194941391255587
0.56,-45.422226007060296,-51.09836944663779,-50.76577832167476,-49.67339067059952,0.9199597087330107,0.9197424360610829,0.9197424360613115,0.9194849442301621
0.5700000000000001,-45.33147348980906,-51.11336423805748,-50.77617932086466,-49.668972009628085,0.9199588083934376,0.9197378373604064,0.919737837360639,0.9194757494267141
0.58,-45.24031850300942,-51.1282238271096,-50.78648481369853,-49.6645941564183,0.9199579003934878,0.9197332386827233,0.9197332386829599,0.9194665547152135
0.59,-45.148756269351715,-51.142949426302735,-50.79669567204801,-49.66025671797809,0.919956984645902,0.9197286400280335,0.919728640028274,0.9194573600956597
0.6,-45.0567820142036,-51.15754223792287,-50.806812760346766,-49.655959304839584,0.9199560610616445,0.9197240413963369,0.9197240413965815,0.9194481655680516
0.61,-44.96439090161109,-51.172003450247104,-50.81683693276462,-49.65170153247474,0.9199551295510437,0.9197194427876334,0.919719442787882,0.9194389711323885
0.62,-44.87157808044719,-51.1863342402739,-50.82676903524528,-49.64748302027456,0.9199541900229701,0.9197148442019228,0.9197148442021754,0.9194297767886692
0.63,-44.778338684411914,-51.2005357737231,-50.83660990550625,-49.64330339154911,0.9199532423848358,0.9197102456392051,0.9197102456394617,0.919420582536893
0.64,-44.68466783203222,-51.21460920503586,-50.84636037303892,-49.63916227352753,0.919952286542595,0.9197056470994801,0.9197056470997407,0.9194113883770587
0.65,-44.59056063306337,-51.22855567772751,-50.85602125937206,-49.63505929722555,0.9199513224006386,0.9197010485827478,0.9197010485830124,0.9194021943091656
0.66,-44.496012320223095,-51.242376331647286,-50.86559338349574,-49.6309940947201,0.9199503498596338,0.9196964500890079,0.9196964500892765,0.9193930003332128
0.67,-44.401018103640624,-51.25607229495707,-50.87507755586856,-49.626966302160604,0.9199493688189107,0.9196918516182605,0.919691851618533,0.9193838064491994
0.68,-44.305573156568734,-51.26964468334411,-50.884474577829344,-49.622975560064525,0.9199483791766978,0.9196872531705053,0.9196872531707818,0.9193746126571243
0.6900000000000001,-44.20967265280616,-51.283094602083224,-50.893785243138,-49.6190215125432,0.9199473808295076,0.9196826547457422,0.9196826547460227,0.9193654189569866
0.7000000000000001,-44.11331176669756,-51.29642314603687,-50.903010337975445,-49.615103807301814,0.9199463736721364,0.9196780563439713,0.9196780563442557,0.9193562253487856
0.71,-44.01648571059317,-51.30963140078083,-50.912150641785004,-49.61122209521963,0.9199453575972144,0.9196734579651922,0.9196734579654806,0.9193470318325202
0.72,-43.919189805066935,-51.32272044471426,-50.921206928849564,-49.60737602956318,0.9199443324943611,0.9196688596094049,0.9196688596096974,0.9193378384081895
0.73,-43.821419318865594,-51.33569134425011,-50.930179964696705,-49.6035652677797,0.9199432982521099,0.9196642612766094,0.9196642612769057,0.9193286450757927
0.74,-43.723169528686725,-51.348545155611475,-50.93907050744137,-49.59978947082732,0.919942254757189,0.9196596629668053,0.9196596629671058,0.9193194518353287
0.75,-43.624435724659044,-51.361282924996274,-50.94787930790895,-49.59604830311361,0.919941201894456,0.9196550646799929,0.9196550646802972,0.9193102586867966
0.76,-43.52521321219925,-51.373905688627396,-50.95660710967279,-49.592341432476914,0.9199401395468768,0.9196504664161717,0.9196504664164801,0.9193010656301956
0.77,-43.42549745489668,-51.38641447661154,-50.96525465194014,-49.58866852874657,0.9199390675939246,0.9196458681753418,0.9196458681756541,0.9192918726655248
0.78,-43.32528396109381,-51.39881030987615,-50.973822667261366,-49.58502926488577,0.9199379859128519,0.9196412699575031,0.9196412699578193,0.9192826797927831
0.79,-43.22456820982847,-51.411094198169316,-50.98231188003407,-49.58142331773779,0.9199368943795183,0.9196366717626553,0.9196366717629755,0.9192734870119698
0.8,-43.123345712331336,-51.423267141720686,-50.990723007745274,-49.577850367406334,0.9199357928677026,0.9196320735907983,0.9196320735911225,0.9192642943230838
0.81,-43.02161201202598,-51.43533013124139,-50.99905676097139,-49.5743100972555,0.9199346812491026,0.9196274754419324,0.9196274754422604,0.9192551017261242
0.8200000000000001,-42.919362726182996,-51.447284148769874,-51.00731384401137,-49.57080219359496,0.9199335593929323,0.9196228773160569,0.919622877316389,0.9192459092210903
0.8300000000000001,-42.81659371157656,-51.45913017103534,-51.01549495740462,-49.56732634442785,0.9199324271643198,0.919618279213172,0.9196182792135081,0.9192367168079808
0.84,-42.71330077840444,-51.47086916364919,-51.02360079358269,-49.56388224161308,0.9199312844270738,0.9196136811332776,0.9196136811336176,0.9192275244867951
0.85,-42.609479771524846,-51.482502082754436,-51.031632038104014,-49.56046958025135,0.9199301310428986,0.9196090830763735,0.9196090830767175,0.9192183322575321
0.86,-42.50512659059854,-51.494029875434684,-51.03958936996009,-49.55708805853285,0.9199289668711982,0.9196044850424596,0.9196044850428076,0.9192091401201911
0.87,-42.40023719008878,-51.50545347971413,-51.04747346157548,-49.55373737773731,0.9199277917690774,0.9195998870315357,0.9195998870318877,0.9191999480747709
0.88,-42.29480771855524,-51.51677382683394,-51.05528498051378,-49.55041724138803,0.9199266055901343,0.919595289043602,0.9195952890439578,0.9191907561212708
0.89,-42.18883449455641,-51.52799184085848,-51.06302458918253,-49.54712735539823,0.91992540818467,0.919590691078658,0.9195906910790178,0.9191815642596897
0.9,-42.082313833591286,-51.53910843584708,-51.070692942713634,-49.54386742912205,0.9199241994011865,0.9195860931367038,0.9195860931370676,0.9191723724900268
0.91,-41.97524213824538,-51.55012451732727,-51.078290690067476,-49.540637174807095,0.9199229790856069,0.9195814952177392,0.919581495218107,0.9191631808122811
0.92,-41.86761591217583,-51.5610409824695,-51.08581847416408,-49.537436307529624,0.9199217470811698,0.9195768973217642,0.9195768973221358,0.9191539892264519
0.93,-41.75943189305775,-51.57185872174856,-51.09327693313026,-49.53426454457881,0.9199205032274312,0.9195722994487785,0.9195722994491541,0.919144797732538
0.9400000000000001,-41.65068688866632,-51.58257861689513,-51.10066669876197,-49.53112160621594,0.9199192473614953,0.9195677015987822,0.9195677015991617,0.9191356063305386
0.9500000000000001,-41.54137779218905,-51.59320154108714,-51.107988396667885,-49.528007215603516,0.9199179793178996,0.919563103771775,0.9195631037721584,0.9191264150204528
0.96,-41.43150160578736,-51.60372835924425,-51.11524264649047,-49.52492109869612,0.919916698928438,0.9195585059677569,0.9195585059681441,0.9191172238022796
0.97,-41.321055520320584,-51.61415992897318,-51.122430062616324,-49.52186298388983,0.9199154060215795,0.9195539081867278,0.9195539081871189,0.9191080326760183
0.98,-41.21003699374221,-51.624497101497326,-51.12955125487471,-49.51883260167752,0.9199141004218977,0.9195493104286874,0.9195493104290825,0.9190988416416677
0.99,-41.09844352767052,-51.634740719007375,-51.13660682654677,-49.515829685631324,0.9199127819516982,0.9195447126936358,0.9195447126940348,0.9190896506992269
1.0,-40.986272758121245,-51.64489161573715,-51.14359737517391,-49.51285397200363,0.9199114504303579,0.9195401149815727,0.9195401149819757,0.9190804598486952
1.01,-40.873522464357876,-51.65495061806087,-51.15052349263099,-49.50990519969115,0.9199101056742631,0.9195355172924982,0.9195355172929052,0.9190712690900715
1.02,-40.760190743070076,-51.66491854631832,-51.15738576649955,-49.50698310955898,0.9199087474956323,0.9195309196264121,0.9195309196268229,0.919062078423355
1.03,-40.64627585426399,-51.67479621319992,-51.16418477885279,-49.5040874450387,0.9199073757035582,0.9195263219833141,0.9195263219837289,0.9190528878485448
1.04,-40.53177617278585,-51.68458442323878,-51.170921105873326,-49.501217952316345,0.9199059901043347,0.9195217243632043,0.919521724363623,0.9190436973656397
1.05,-40.41669024092072,-51.69428397336192,-51.1775953182679,-49.49837438012837,0.9199045905011022,0.9195171267660827,0.9195171267665052,0.9190345069746392
1.06,-40.30101676408313,-51.70389565284825,-51.184207981235815,-49.49555647977713,0.9199031766938743,0.9195125291919488,0.9195125291923752,0.919025316675542
1.07,-40.1847550204981,-51.71342024731406,-51.190759657471695,-49.49276400365677,0.9199017484769151,0.9195079316408028,0.9195079316412331,0.9190161264683474
1.08,-40.06790411804693,-51.72285853148353,-51.197250901718505,-49.48999670792727,0.9199003056434976,0.9195033341126444,0.9195033341130787,0.9190069363530544
1.09,-39.95046349663233,-51.73221127407576,-51.20368226444967,-49.487254350706806,0.9198988479826868,0.9194987366074737,0.9194987366079118,0.9189977463296621
1.1,-39.83243278141998,-51.74147923637705,-51.21005429079333,-49.48453669259987,0.9198973752802801,0.9194941391252903,0.9194941391257324,0.9189885563981697
1.11,-39.71381191320155,-51.75066317346333,-51.21636752145466,-49.4818434962455,0.9198958873180099,0.9194895416660944,0.9194895416665404,0.918979366558576
1.12,-39.59460111930526,-51.759763833930386,-51.2226224925122,-49.479174526417,0.9198943838737191,0.9194849442298857,0.9194849442303354,0.9189701768108803
1.1300000000000001,-39.4748008083121,-51.76878195891111,-51.22881973467632,-49.476529550384996,0.9198928647220014,0.919480346816664,0.9194803468171178,0.9189609871550818
1.1400000000000001,-39.35441164784353,-51.77771828280592,-51.23495977384027,-49.47390833764754,0.9198913296337237,0.9194757494264294,0.919475749426887,0.9189517975911793
1.1500000000000001,-39.233434575918,-51.786573533391504,-51.241043131162094,-49.471310659889916,0.9198897783759563,0.9194711520591816,0.9194711520596431,0.9189426081191719
1.16,-39.11187079871891,-51.79534843179614,-51.247070323046785,-49.46873629099407,0.9198882107120085,0.9194665547149206,0.919466554715386,0.9189334187390589
1.17,-38.98972176349743,-51.80404369223089,-51.25304186094531,-49.46618500713903,0.9198866264016629,0.9194619573936462,0.9194619573941155,0.9189242294508392
1.18,-38.86698923355669,-51.812660022723115,-51.25895825190467,-49.46365658652803,0.9198850252005988,0.9194573600953585,0.9194573600958316,0.918915040254512
1.19,-38.743675277425034,-51.82119812500737,-51.264819998486715,-49.46115080942944,0.9198834068604975,0.9194527628200571,0.9194527628205341,0.9189058511500763
1.2,-38.619782275877256,-51.82965869459165,-51.27062759881822,-49.4586674581524,0.919881771129005,0.919448165567742,0.9194481655682228,0.9188966621375311
1.21,-38.495312925585125,-51.83804242079729,-51.27638154662111,-49.45620631703215,0.9198801177497148,0.919443568338413,0.9194435683388978,0.9188874732168757
1.22,-38.370270108819255,-51.84634998562886,-51.28208233036185,-49.45376717284964,0.9198784464630535,0.9194389711320703,0.9194389711325589,0.918878284388109
1.23,-38.24465702933999,-51.854582064969264,-51.28773043415129,-49.4513498143882,0.9198767570053719,0.9194343739487134,0.9194343739492059,0.9188690956512301
1.24,-38.118477240534105,-51.86273932883348,-51.29332633793589,-49.448954032339465,0.9198750491087612,0.9194297767883424,0.9194297767888387,0.9188599070062382
1.25,-37.99173461509138,-51.870822441111784,-51.29887051730455,-49.44657961939886,0.9198733225012649,0.9194251796509572,0.9194251796514574,0.9188507184531323
1.26,-37.864433350838034,-51.87883205962874,-51.30436344353321,-49.444226370243896,0.9198715769068463,0.9194205825365575,0.9194205825370616,0.9188415299919115
1.27,-37.736577952991524,-51.88676883611444,-51.309805583563296,-49.44189408154562,0.9198698120455362,0.9194159854451434,0.9194159854456513,0.9188323416225748
1.28,-37.608173226516385,-51.894633416213274,-51.31519740000854,-49.43958255196583,0.9198680276335022,0.9194113883767145,0.9194113883772264,0.9188231533451214
1.29,-37.47922433001827,-51.90242643972193,-51.32053935133431,-49.437291582067736,0.9198662233826514,0.919406791331271,0.9194067913317867,0.9188139651595503
1.3,-37.34973675825023,-51.910148540561494,-51.32583189183673,-49.43502097432707,0.9198643990007753,0.9194021943088128,0.9194021943093323,0.9188047770658606
1.31,-37.219716346358645,-51.917800346830575,-51.331075471682894,-49.43277053311255,0.9198625541915292,0.9193975973093395,0.9193975973098628,0.9187955890640513
1.32,-37.08916926865909,-51.92538248084495,-51.336270536940475,-49.43054006467181,0.9198606886544718,0.9193930003328511,0.9193930003333783,0.9187864011541217
1.33,-36.9581020075946,-51.93289555910204,-51.34141752954898,-49.42832937714721,0.9198588020854251,0.9193884033793476,0.9193884033798787,0.9187772133360708
1.34,-36.826521404614006,-51.940340192451984,-51.34651688745152,-49.426138280509356,0.9198568941759542,0.9193838064488287,0.9193838064493637,0.9187680256098975
1.35,-36.6944346542669,-51.94771698612556,-51.351569044615395,-49.42396658654768,0.9198549646134564,0.9193792095412944,0.9193792095418333,0.9187588379756011
1.36,-36.56184930304582,-51.95502653977399,-51.35657443106182,-49.42181410885624,0.9198530130812013,0.9193746126567446,0.9193746126572874,0.9187496504331806
1.37,-36.428773252711366,-51.96226944751995,-51.36153347290443,-49.419680662815104,0.9198510392583221,0.9193700157951792,0.9193700157957257,0.918740462982635
1.3800000000000001,-36.29521474356345,-51.96944629793991,-51.366446592332146,-49.41756606560017,0.9198490428202346,0.9193654189565981,0.9193654189571484,0.9187312756239635
1.3900000000000001,-36.161182368554634,-51.97655767415204,-51.37131420767751,-49.4154701361492,0.9198470234384002,0.919360822141001,0.9193608221415551,0.9187220883571652
1.4000000000000001,-36.02668508883396,-51.983604153909056,-51.376136733489005,-49.413392695125935,0.9198449807800588,0.9193562253483879,0.9193562253489459,0.918712901182239
1.41,-35.891732228009914,-51.99058630961819,-51.38091458054441,-49.41133356491425,0.9198429145084139,0.9193516285787587,0.9193516285793206,0.9187037140991842
1.42,-35.756333474964755,-51.99750470839042,-51.38564815588784,-49.409292569600325,0.9198408242826358,0.9193470318321134,0.9193470318326791,0.9186945271079997
1.43,-35.620498892813494,-52.00435991205899,-51.39033786283995,-49.40726953496832,0.9198387097581666,0.9193424351084517,0.9193424351090212,0.9186853402086848
1.44,-35.48423893229123,-52.0111524771757,-51.394984100988864,-49.40526428850596,0.9198365705872437,0.9193378384077735,0.9193378384083469,0.9186761534012383
1.45,-35.34756441090862,-52.0178829551786,-51.39958726633046,-49.40327665933415,0.9198344064177395,0.9193332417300788,0.919333241730656,0.9186669666856594
1.46,-35.21048652534458,-52.02455189239326,-51.40414775126354,-49.401306478210294,0.9198322168936365,0.9193286450753674,0.9193286450759485,0.9186577800619473
1.47,-35.07301685527747,-52.031159830076966,-51.40866594462251,-49.399353577512684,0.9198300016550794,0.9193240484436391,0.9193240484442241,0.918648593530101
1.48,-34.935167366490845,-52.037707304466466,-51.41314223171312,-49.39741779122322,0.9198277603383939,0.919319451834894,0.9193194518354828,0.9186394070901195
1.49,-34.79695041679741,-52.044194846822926,-51.41757699434547,-49.395498954911574,0.9198254925761435,0.9193148552491319,0.9193148552497244,0.918630220742002
1.5,-34.658378884364126,-52.05062298335344,-51.42197061074868,-49.39359690577948,0.9198231979989447,0.9193102586863526,0.919310258686949,0.9186210344857475
1.51,-34.51946606374994,-52.05699223536679,-51.42632345571024,-49.391711482590864,0.919820876233948,0.9193056621465562,0.9193056621471564,0.9186118483213551
1.52,-34.380225627587315,-52.06330311936302,-51.43063590065183,-49.38984252563417,0.9198185269042612,0.9193010656297422,0.9193010656303463,0.918602662248824
1.53,-34.240671677647065,-52.06955614703283,-51.43490831361867,-49.387989876728746,0.9198161496296551,0.9192964691359109,0.9192964691365187,0.9185934762681531
1.54,-34.10081875023661,-52.07575182530308,-51.43914105931312,-49.386153379208665,0.9198137440266139,0.919291872665062,0.9192918726656736,0.9185842903793415
1.55,-33.960681821598236,-52.08189065638224,-51.4433344991282,-49.38433287790665,0.9198113097083861,0.9192872762171952,0.9192872762178107,0.9185751045823884
1.56,-33.820276375198716,-52.0879731377887,-51.447488991158835,-49.3825282191492,0.9198088462855748,0.9192826797923107,0.91928267979293,0.9185659188772929
1.57,-33.67961860991264,-52.09399976233991,-51.45160489016242,-49.38073925077745,0.9198063533679584,0.9192780833904083,0.9192780833910315,0.918556733264054
1.58,-33.538725152854354,-52.09997101827911,-51.4556825476977,-49.37896582207773,0.9198038305619874,0.9192734870114877,0.9192734870121148,0.9185475477426707
1.59,-33.39761316215868,-52.105887389293756,-51.45972231212325,-49.37720778378312,0.9198012774716852,0.9192688906555491,0.9192688906561799,0.9185383623131421
1.6,-33.25630035692607,-52.11174935455418,-51.46372452862219,-49.37546498806188,0.9197986936989118,0.9192642943225922,0.9192642943232268,0.9185291769754674
1.61,-33.11480506255792,-52.117557388771885,-51.467689539235934,-49.373737288501104,0.9197960788438468,0.9192596980126168,0.9192596980132552,0.9185199917296456
1.62,-32.973146241841654,-52.12331196225055,-51.4716176828962,-49.37202454009139,0.9197934325053071,0.9192551017256229,0.9192551017262651,0.9185108065756759
1.6300000000000001,-32.83134345661855,-52.129013540901454,-51.47550929544862,-49.37032659921581,0.9197907542802697,0.9192505054616104,0.9192505054622565,0.9185016215135572
1.6400000000000001,-32.6894169094284,-52.13466258629993,-51.47936470968598,-49.368643323633904,0.919788043764312,0.9192459092205791,0.9192459092212291,0.9184924365432887
1.6500000000000001,-32.54738746384563,-52.14025955572926,-51.483184255377765,-49.36697457246759,0.9197853005518145,0.919241313002529,0.9192413130031828,0.9184832516648695
1.6600000000000001,-32.405276799683335,-52.14580490221976,-51.486968259256756,-49.36532020620876,0.9197825242380804,0.9192367168074599,0.9192367168081175,0.9184740668782986
1.67,-32.26310734715394,-52.15129907459564,-51.49071704507569,-49.363680086691446,0.9197797144183156,0.9192321206353716,0.9192321206360331,0.9184648821835751
1.68,-32.12090225373478,-52.15674251752066,-51.49443093365357,-49.36205407706931,0.9197768706870726,0.9192275244862643,0.9192275244869296,0.9184556975806981
1.69,-31.978685451049195,-52.16213567154027,-51.49811024289021,-49.360442041809016,0.9197739926391151,0.9192229283601376,0.9192229283608067,0.9184465130696667
1.7,-31.83648167784991,-52.16747897312944,-51.50175528779146,-49.35884384667842,0.9197710798699532,0.9192183322569915,0.9192183322576643,0.9184373286504799
1.71,-31.69431650015111,-52.17277285476924,-51.50536638047114,-49.35725935874619,0.9197681319783871,0.9192137361768258,0.9192137361775023,0.9184281443231369
1.72,-31.5522163382061,-52.178017744954325,-51.5089438302085,-49.355688446353795,0.9197651485642256,0.9192091401196404,0.9192091401203208,0.9184189600876367
1.73,-31.41020848929295,-52.18321406824275,-51.51248794347171,-49.35413097910442,0.9197621292289594,0.9192045440854353,0.9192045440861195,0.9184097759439784
1.74,-31.26832115052006,-52.188362245305576,-51.51599902394152,-49.35258682785181,0.9197590735764206,0.9191999480742102,0.9191999480748984,0.9184005918921612
1.75,-31.126583370910055,-52.19346269298797,-51.51947737252888,-49.35105586469214,0.9197559812140286,0.9191953520859651,0.9191953520866571,0.918391407932184
1.76,-30.9850249216774,-52.198515824388856,-51.52292328738148,-49.34953796296147,0.9197528517550764,0.9191907561207,0.9191907561213958,0.9183822240640459
1.77,-30.843676574560828,-52.20352204884826,-51.52633706394576,-49.348032997205344,0.9197496848158276,0.9191861601784147,0.9191861601791141,0.918373040287746
1.78,-30.702570026850236,-52.20848177201456,-51.52971899498083,-49.346540843172555,0.9197464800171066,0.9191815642591089,0.9191815642598122,0.9183638566032835
1.79,-30.561737908198275,-52.21339539589327,-51.53306937058363,-49.345061377803226,0.9197432369848481,0.9191769683627827,0.9191769683634898,0.9183546730106573
1.8,-30.421213539355236,-52.21826331892453,-51.53638847820054,-49.34359447922367,0.9197399553519636,0.919172372489436,0.9191723724901468,0.9183454895098667
1.81,-30.28103084612212,-52.22308593604208,-51.53967660264796,-49.3421400267368,0.9197366347593483,0.9191677766390685,0.9191677766397831,0.9183363061009105
1.82,-30.141224648615392,-52.227863638687516,-51.54293402615387,-49.340697900802034,0.9197332748548109,0.9191631808116801,0.9191631808123987,0.918327122783788
