t,ATP,ADP,PCr,Cr,Pi,ATP_i,ADP_i,PCr_i,Cr_i,Pi_i
0.27,9467.160308663382,232.841614413558,10923.505622569626,15076.494377430374,9751.98612342972,9531.494674638216,168.5072484387229,10861.50821932854,15138.49178067146,9772.697450080703
0.28,9465.203488252007,234.79843482493317,10859.010273662305,15140.989726337695,9818.450374848324,9529.417898952232,170.58402412470693,10796.569576456945,15203.430423543055,9839.567883439331
0.29,9463.220661225025,236.78126185191502,10794.441029709757,15205.558970290243,9885.014834345671,9527.308723464737,172.69319961220017,10731.554894166236,15268.445105833764,9906.543079003755
0.3,9461.211212899412,238.7907101775304,10729.797385518048,15270.202614481952,9951.680626416346,9525.166427937065,174.83549513987495,10666.463644357524,15333.536355642476,9973.624229699919
0.31,9459.174535586271,240.82738749067198,10665.078810735937,15334.921189264063,10018.448894373041,9522.990287057122,177.0116360198193,10601.295276751433,15398.704723248567,10040.812547848624
0.32,9457.110022993043,242.89190008389616,10600.284758663729,15399.715241336271,10085.320796795113,9520.779563780345,179.22235929659976,10536.049236533869,15463.950763466131,10108.109258263272
0.33,9455.017063324665,244.98485975227317,10535.41467091646,15464.58532908354,10152.2975098063,9518.533507480113,181.4684155968287,10470.724960204678,15529.275039795322,10175.515603746222
0.34,9452.895037017965,247.10688605897624,10470.467982544249,15529.532017455751,10219.38022410233,9516.251352500172,183.75057057676824,10405.32188226518,15594.67811773482,10243.032841260247
0.35000000000000003,9450.743311823922,249.2586112530169,10405.444122888963,15594.555877111037,10286.570149010864,9513.932314477912,186.06960859902952,10339.839434005404,15660.160565994596,10310.662246831833
0.36,9448.561243463426,251.44067961351368,10340.34251998766,15659.65748001234,10353.868507369285,9511.575592099189,188.42633097774907,10274.277047844842,15725.722952155158,10378.405110211674
0.37,9446.34817071238,253.65375236455907,10275.162599149651,15724.837400850349,10421.276541883346,9509.180361877523,190.82156119941564,10208.63415549842,15791.36584450158,10446.262741679704
0.38,9444.103417840644,255.89850523629636,10209.903787355164,15790.096212644836,10488.795508240564,9506.745781817957,193.2561412589823,10142.910192071042,15857.089807928958,10514.236464874728
0.39,9441.82628957778,258.1756334991595,10144.565510854745,15855.434489145255,10556.426682579266,9504.270985590529,195.73093748641242,10077.104593557075,15922.895406442925,10582.32762471108
0.4,9439.516074055275,260.4858490216662,10079.147199181625,15920.852800818375,10624.171354490707,9501.75508652515,198.24683655178902,10011.216800715782,15988.783199284218,10650.537580027953
0.41000000000000003,9437.172038349401,262.8298847275397,10013.648282978857,15986.351717021143,10692.030833684077,9499.197172313037,200.80475076390226,9945.24625691415,16054.75374308585,10718.867710624967
0.42,9434.793430639065,265.2084924378753,9948.068196978651,16051.931803021349,10760.006444818913,9496.596307893667,203.40561518327405,9879.192411046213,16120.807588953787,10787.319411820738
0.43,9432.37947735495,267.62244572199023,9882.406379061427,16117.593620938573,10828.099531318396,9493.951532074987,206.05039100195202,9813.054716642027,16186.945283357973,10855.8940984659
0.44,9429.929383250226,270.0725398267155,9816.662271518288,16183.337728481712,10896.311454028879,9491.26185776688,208.74006531005944,9746.832633142463,16253.167366857537,10924.593203522138
0.45,9427.442331129845,272.5595919470972,9750.835322002271,16249.164677997729,10964.643590536123,9488.526271773992,211.47565130294933,9680.525626877585,16319.474373122415,10993.418177329777
0.46,9424.917479135705,275.0844439412361,9684.924982889337,16315.075017110663,11033.097338540023,9485.743731553455,214.25819152348603,9614.133170521245,16385.866829478757,11062.370491144731
0.47000000000000003,9422.353967774447,277.647955302497,9618.930717264158,16381.069282735842,11101.674102704155,9482.913169552057,217.08875352488587,9547.65475630355,16452.345243696454,11131.451621231543
0.48,9419.750899719402,280.2510233575404,9552.851989230061,16447.148010769943,11170.375325097333,9480.03348310071,219.9684399762342,9481.089859012262,16518.910140987744,11200.663089325757
0.49,9417.107361456297,282.89456162064386,9486.688272074784,16513.311727925222,11239.202454362487,9477.103544598567,222.89837847837603,9414.437984186221,16585.562015813786,11270.006416492666
0.5,9414.422406667989,285.5795164089521,9420.439046314154,16579.56095368585,11308.156965375674,9474.122189222078,225.879733854865,9347.698634978722,16652.301365021285,11339.48315550569
0.51,9411.69507008184,288.30685299510424,9354.103804773382,16645.89619522662,11377.24033941337,9471.088225415742,228.91369766119942,9280.871341499995,16719.12865850001,11409.09486186147
0.52,9408.92434641056,291.07757666638577,9287.682045975847,16712.317954024158,11446.454092738737,9468.000423366377,232.00149971056743,9213.955622279558,16786.04437772045,11478.84313285264
0.53,9406.109207882419,293.89271519452626,9221.173281312926,16778.826718687083,11515.799750912061,9464.857515718173,235.14440735877216,9146.951034846865,16853.048965153142,11548.729568146373
0.54,9403.24860576169,296.7533173152536,9154.577039347556,16845.422960652457,11585.278843815297,9461.658224219693,238.34369885725255,9079.857129894986,16920.14287010502,11618.75577879109
0.55,9400.341433178484,299.66048989845655,9087.89284850989,16912.10715149012,11654.892959595885,9458.40118733921,241.600735737734,9012.673487790677,16987.326512209336,11688.92342945924
0.56,9397.386580915165,302.61534216177387,9021.120264750205,16978.879735249804,11724.64366159019,9455.085058134002,244.91686494294095,8945.39968868507,17054.60031131494,11759.234166114424
0.5700000000000001,9394.382876865955,305.61904621098404,8954.258845895625,17045.741154104384,11794.532574115226,9451.70839847377,248.29352460317116,8878.035349420712,17121.96465057929,11829.689689584025
0.58,9391.329143027628,308.6727800493112,8887.30817749392,17112.691822506087,11864.561300099725,9448.26978239343,251.7321406835083,8810.580083342176,17189.41991665784,11900.291686809325
0.59,9388.224132241672,311.77779083526644,8820.267849356671,17179.73215064334,11934.731507342058,9444.767684472703,255.23423860423492,8743.03354519681,17256.966454803198,11971.041903045865
0.6,9385.066601090415,314.9353219865248,8753.137483522478,17246.862516477537,12005.044828014621,9441.200604161255,258.8013189156856,8675.395389745221,17324.60461025479,12041.942054563553
0.61,9381.855226862797,318.14669621413987,8685.916707514196,17314.083292485822,12075.50296814109,9437.566929211578,262.4349938653609,8607.665315084492,17392.334684915524,12112.99392548709
0.62,9378.588662332395,321.4132607445404,8618.605176272811,17381.3948237272,12146.1076314638,9433.865037936264,266.13688514067195,8539.843014718785,17460.156985281235,12184.199306517006
0.63,9375.265529454042,324.7363936228919,8551.202566720254,17448.79743327976,12216.86053009335,9430.093257543629,269.90866553330716,8471.928240861671,17528.071759138347,12255.559986383032
0.64,9371.884389369032,328.1175337079027,8483.708577303343,17516.291422696675,12287.763416346015,9426.249859160012,273.7520639169232,8403.920740384721,17596.079259615297,12327.077804234706
0.65,9368.44377024211,331.55815283482616,8416.122931465346,17583.87706853467,12358.818050151742,9422.333065814852,277.6688572620841,8335.820312436792,17664.179687563228,12398.75459943815
0.66,9364.942146839525,335.05977623741086,8348.445379903449,17651.554620096565,12430.026218233505,9418.341046058307,281.66087701862745,8267.626771609495,17732.373228390526,12470.59224261464
0.67,9361.377953812269,338.62396926466727,8280.675700397967,17719.32429960205,12501.38972025674,9414.271922812602,285.7300002643326,8199.339966855232,17800.660033144784,12542.592616728622
0.68,9357.749566403005,342.25235667393,8212.81370081512,17787.186299184894,12572.91038558708,9410.123744333012,289.87817874392414,8130.959791573524,17869.04020842649,12614.757630431162
0.6900000000000001,9354.055315863905,345.9466072130276,8144.859220272453,17855.140779727564,12644.59005660699,9405.894524202298,294.1073988746352,8062.486147776185,17937.51385222383,12687.089215101445
0.7000000000000001,9350.293477123772,349.70844595316083,8076.812131467872,17923.187868532143,12716.430598354356,9401.582190414498,298.419732662433,7993.919017528019,18006.080982471995,12759.589308705603
0.71,9346.462267856712,353.53965522022344,8008.672343375035,17991.327656624977,12788.433897614941,9397.184631343316,302.81729173361504,7925.258370237915,18074.741629762102,12832.259892258659
0.72,9342.559852839979,357.4420702369576,7940.439800216038,18059.560199783973,12860.601858698918,9392.699660791937,307.3022622849964,7856.504255372731,18143.495744627282,12905.102942776237
0.73,9338.584334193698,361.4175888832402,7872.114487327451,18127.88551267256,12932.936407665406,9388.125017710567,311.87690536636774,7787.656767983289,18212.343232016723,12978.120464067655
0.74,9334.533751642555,365.46817143438227,7803.69643347059,18196.303566529423,13005.439489627051,9383.45839495012,316.5435281268158,7718.715997730844,18281.284002269167,13051.314510436814
0.75,9330.406082882695,369.5958401942442,7735.185706105492,18264.814293894524,13078.11307395933,9378.697382992912,321.3045400840252,7649.682176838627,18350.31782316139,13124.687084798414
0.76,9326.199242224127,373.80268085281364,7666.582425983235,18333.41757401678,13150.959139863764,9373.839533525608,326.16238955133065,7580.555485506242,18419.444514493774,13198.240284114803
0.77,9321.911068623593,378.0908544533493,7597.886759585292,18402.113240414725,13223.97969533818,9368.882287567281,331.119635509661,7511.336237187567,18488.66376281245,13271.976192680566
0.78,9317.539334568637,382.46258850830156,7529.098926488811,18470.901073511206,13297.176764947533,9363.823036231111,336.1788868458299,7442.024752881966,18557.97524711805,13345.896898827274
0.79,9313.081736347265,386.920186729675,7460.219200360095,18539.780799639924,13370.552392715994,9358.659069144489,341.34285393245153,7372.621447314699,18627.378552685317,13420.004530460768
0.8,9308.535899676242,391.4660234006966,7391.247913097362,18608.752086902652,13444.108636522596,9353.387609859743,346.6143132171972,7303.12677152958,18696.873228470435,13494.301227056427
0.81,9303.89935929119,396.1025637857498,7322.185458824306,18677.814541175707,13517.847583163712,9348.005763423036,351.99615965390393,7233.541275280495,18766.458724719523,13568.789145946132
0.8200000000000001,9299.169577764762,400.83234531217886,7253.0322922149435,18746.96770778507,13591.771330559774,9342.510577346058,357.49134573088173,7163.865561215747,18836.13443878427,13643.470454964618
0.8300000000000001,9294.343927989781,405.65799508716225,7183.788939924355,18816.211060075664,13665.881996096163,9336.898991846288,363.10293123065253,7094.100285556905,18905.899714443112,13718.347354473446
0.84,9289.419698897022,410.5822241799187,7114.455996805223,18885.544003194795,13740.181712070103,9331.167857266111,368.83406581082767,7024.246201156097,18975.753798843914,13793.422048309832
0.85,9284.3940759733,415.60784710364055,7045.034135028332,18954.965864971688,13814.672637373196,9325.313896229938,374.68802684700233,6954.304161231573,19045.695838768443,13868.69676204078
0.86,9279.264161892328,420.73776118461245,6975.524100161102,19024.475899838915,13889.356939921232,9319.333762596423,380.66816048051805,6884.275088073012,19115.724911927,13944.173725634852
0.87,9274.026948418463,425.9749746584768,6905.926728085174,19094.07327191484,13964.236810101149,9313.22398123501,386.7779418419271,6814.1599700382885,19185.840029961728,14019.855209469491
0.88,9268.679351225182,431.3225718517563,6836.242932008874,19163.757067991137,14039.314436163073,9306.980994788168,393.0209282887728,6743.959907708095,19256.04009229193,14095.743464738385
0.89,9263.218139278164,436.783783798777,6766.473725006532,19233.52627499348,14114.592053256349,9300.60106709566,399.4008559812808,6673.676150299842,19326.323849700173,14171.840772112162
0.9,9257.63999853345,442.361924543489,6696.620212613758,19303.37978738626,14190.071888256114,9294.080410109986,405.9215129669537,6603.309958652446,19396.69004134757,14248.149438397884
0.91,9251.941493585993,448.060429490946,6626.683599717145,19373.31640028287,14265.75618964734,9287.415078563245,412.5868445136944,6532.8627623562625,19467.137237643758,14324.671763674938
0.92,9246.119069068738,453.88285400820115,6556.665198151333,19443.33480184868,14341.647219535462,9280.60100446072,419.40091861622324,6462.336089478403,19537.66391052162,14401.410064994645
0.93,9240.169047921365,459.8328751555742,6486.566428601637,19513.43357139838,14417.747252591413,9273.633987246196,426.36793583074456,6391.731588314385,19608.268411685625,14478.366675066613
0.9400000000000001,9234.087624325439,465.9142987515007,6416.388827087306,19583.61117291271,14494.05857774591,9266.509684893606,433.49223818333206,6321.051049440447,19678.948950559567,14555.54391576227
0.9500000000000001,9227.870858360307,472.13106471663156,6346.134054799431,19653.865945200585,14570.583493246544,9259.22362086687,440.778302210069,6250.296352801045,19749.703647198974,14632.944149456865
0.96,9221.51467287473,478.48725020220945,6275.803896641356,19724.196103358663,14647.324310799819,9251.771163451469,448.2307596254703,6179.469557728518,19820.5304422715,14710.5697150293
0.97,9215.014847464368,484.98707561257174,6205.400273015878,19794.59972698414,14724.283348702304,9244.147532005565,455.8543910713752,6108.572836808062,19891.42716319196,14788.423000995926
0.98,9208.367013202711,491.6349098742265,6134.925242408637,19865.074757591385,14801.462941065089,9236.347784543495,463.654138533445,6037.608533082045,19962.391466917972,14866.506322257339
0.99,9201.566647060574,498.43527601636623,6064.381010049414,19935.61898995061,14878.865419420983,9228.36681614372,471.6351069332194,5966.5791367465445,20033.420863253476,14944.822128738226
1.0,9194.609066294835,505.3928567821026,5993.769934030601,20006.230065969423,14956.493139751003,9220.199351928453,479.8025711484861,5895.48729946106,20104.512700538966,15023.37266769335
1.01,9187.489422211982,512.5125008649557,5923.094531538159,20076.905468461864,15034.348439499268,9211.839939156393,488.16198392054736,5824.335856297639,20175.66414370239,15102.160485553197
1.02,9180.202687780922,519.799235296013,5852.357491584557,20147.64250841547,15112.433692676774,9203.282939073202,496.71898400373857,5753.127805546918,20246.87219445311,15181.187790872966
1.03,9172.74368495186,527.2582381250772,5781.561663296051,20218.438336703974,15190.751246083895,9194.522555866717,505.47936721021784,5681.866318757091,20318.133681242947,15260.456993394633
1.04,9165.107003993593,534.8949190833442,5710.710100807471,20289.28989919256,15269.303463178225,9185.55272191902,514.4492011579141,5610.554843642502,20389.445156357528,15339.970618687143
1.05,9157.28707594661,542.7148471303286,5639.806033788009,20360.19396621202,15348.092719324015,9176.36724809929,523.6346749776473,5539.196925709289,20460.803074290743,15419.730877487942
1.06,9149.278133947219,550.7237891297199,5568.8528906528545,20431.147109347177,15427.121372528098,9166.959693916631,533.0422291603056,5467.796384269411,20532.203615730607,15499.740156276059
1.07,9141.07418466137,558.927738415569,5497.85431842096,20502.14568157907,15506.391790626098,9157.323411154393,542.6785119225439,5396.357229636905,20603.642770363127,15580.000834707707
1.08,9132.66903700556,567.3328860713766,5426.814171593587,20573.185828406436,15585.906332607592,9147.451523334154,552.5503997427841,5324.8837199548725,20675.116280045157,15660.51526223021
1.09,9124.05627202368,575.9456510532588,5355.7365340768265,20644.263465923195,15665.667356468097,9137.33692028499,562.6650027919468,5253.38036533019,20746.61963466983,15741.285763561684
1.1,9115.229241837123,584.7726812398149,5284.625726111732,20715.37427388829,15745.67721318136,9126.97225298002,573.0296700969175,5181.851908135042,20818.148091864983,15822.31466532248
1.11,9106.181057717793,593.8208653591458,5213.4863165491315,20786.513683450896,15825.938245322493,9116.349921783547,583.6520012933912,5110.303353858295,20889.696646141703,15903.604289285258
1.12,9096.90458994115,603.0973331357889,5142.3231255854325,20857.676874414592,15906.452785637523,9105.462073660558,594.5398494163835,5038.739962360165,20961.260037639848,15985.156950010141
1.1300000000000001,9087.392450439902,612.6094726370383,5071.141238656873,20928.858761343145,15987.223161601965,9094.300569860014,605.7013532169254,4967.16735196866,21032.832648031403,16066.974869786576
1.1400000000000001,9077.636986322279,622.3649367546626,4999.94602069799,21000.053979302036,16068.251694675568,9082.857011035201,617.144912041737,4895.591399049215,21104.408600950785,16149.060169565682
1.1500000000000001,9067.63026883342,632.3716542435203,4928.743137328887,21071.256862671136,16149.54065219058,9071.122723915008,628.8791991619305,4824.018157099114,21175.981842900906,16231.415418751352
1.16,9057.364087808946,642.6378352679933,4857.538539160361,21142.461460839666,16231.092332556402,9059.088714154037,640.913208922902,4752.454189181638,21247.54581081839,16314.042582355933
1.17,9046.82993766213,653.171985414809,4786.338498887846,21213.661501112183,16312.908990386404,9046.745694532206,653.256228544733,4680.906287153072,21319.093712846978,16396.943895078253
1.18,9036.019011846234,663.9829112307051,4715.1496101020675,21284.850389897958,16394.99286294915,9034.084063240927,665.9178598360141,4609.38160118163,21390.61839881844,16480.121516808133
1.19,9024.922191962532,675.0797311144073,4643.978800568103,21356.02119943193,16477.346170552824,9021.093886931794,678.9080361451445,4537.887659457473,21462.112340542502,16563.577496609312
1.2,9013.530034013716,686.4718890632221,4572.833350875828,21427.166649124192,16559.97109846327,9007.764902681674,692.237020395266,4466.432338091173,21533.567661908914,16647.31395899351
1.21,9001.832759431265,698.1691636456746,4501.720907362772,21498.279092637255,16642.869794405826,8994.08650270335,705.9154203735912,4395.023860620928,21604.976139379105,16731.3331022775
1.22,8989.82024654911,710.1816765278281,4430.6494819332875,21569.350518066738,16726.0444188535,8980.04770931706,719.9542137598784,4323.670959720665,21676.329040279332,16815.63656293155
1.23,8977.482015235024,722.5199078419145,4359.627489740434,21640.372510259578,16809.497053092986,8965.637196525106,734.3647265518313,4252.3826210506395,21747.61737894946,16900.226485602987
1.24,8964.80722246742,735.1947006095181,4288.663735455934,21711.33626454409,16893.22973760256,8950.843243499685,749.158679577255,4181.16838051383,21818.8316194862,16985.10502967564
1.25,8951.784642329192,748.2172807477472,4217.767450540048,21782.23254945998,16977.244522963378,8935.653747391596,764.348175685343,4110.038146050921,21889.961853949106,17070.27371656625
1.26,8938.402658078468,761.5992649984703,4146.948297582519,21853.051702417506,17061.543381024196,8920.05619855984,779.9457245170993,4039.0023012749084,21960.997698725107,17155.734459943244
1.27,8924.649261748336,775.3526613286025,4076.2163745008897,21923.783625499138,17146.128248664692,8904.037688815743,795.9642342611977,3968.071671299379,22031.928328700615,17241.489020918092
1.28,8910.512035790392,789.489887286547,4005.5822323063876,21994.417767693638,17231.00101784667,8887.584863623377,812.4170594535627,3897.2576315367123,22102.74236846331,17327.53907351878
1.29,8895.978127672868,804.0237954040695,3935.056914744258,22064.943085255767,17316.16352646201,8870.68396436498,829.3179587119597,3826.571942956827,22173.4280570432,17413.886266128764
1.3,8881.034253166184,818.9676699107526,3864.6519462767187,22135.348053723304,17401.617561018425,8853.320767018666,846.6811560582693,3756.026950309434,22243.97304969065,17500.532157136146
1.31,8865.66669588624,834.3352271906963,3794.3793389937136,22205.620661006313,17487.364852971066,8835.480606532774,864.521316544161,3685.6354980230935,22314.364501977016,17587.47824123205
1.32,8849.86128255267,850.1406405242673,3724.2516213077442,22275.74837869229,17573.40707444618,8817.148343759947,882.8535793169923,3615.4109821637085,22384.58901783633,17674.725934397327
1.33,8833.603365347406,866.3985577295318,3654.2818619608524,22345.718138039185,17659.74583249579,8798.308377886668,901.6935451902717,3545.367312354234,22454.632687645804,17762.27659211059
1.34,8816.877821292108,883.1241017848282,3584.48366985417,22415.51633014587,17746.382668667426,8778.944615025152,921.057308051794,3475.518987789265,22524.481012210756,17850.13147942122
1.35,8799.669062938265,900.3328601386702,3514.871183890712,22485.128816109325,17833.31905831808,8759.040481288068,940.9614417888737,3405.8810818997695,22594.11891810026,17938.29177504753
1.36,8781.960997727307,918.0409253496302,3445.4591243235736,22554.54087567646,17920.556401519585,8738.578899467648,961.4230236092884,3336.4692382998933,22663.530761700145,18026.758579386875
1.37,8763.73702918879,936.2648938881483,3376.262791496067,22623.737208503968,18008.096021766418,8717.542291650201,982.4596314267342,3267.299698463713,22732.700301536315,18115.532900470876
1.3800000000000001,8744.980053341853,955.0218697350836,3307.2980731650405,22692.701926834998,18095.9391624539,8695.912568062453,1004.089355014485,3198.389309683537,22801.610690316444,18204.615654724592
1.3900000000000001,8725.672476091415,974.3294469855223,3238.581423920861,22761.41857607917,18184.08698893676,8673.671129481889,1026.3307935950486,3129.7555573236004,22870.244442676412,18294.007645806116
1.4000000000000001,8705.796161840743,994.2057612361945,3170.129933665131,22829.870066334897,18272.54057426381,8650.798859910732,1049.2030631662067,3061.41650427794,22938.583495722087,18383.709598575122
1.41,8685.33245660243,1014.6694664745077,3101.961298235488,22898.03870176454,18361.30090250798,8627.276123940004,1072.7257991369327,2993.390865806847,23006.609134193186,18473.72212210241
1.42,8664.262188199287,1035.7397348776487,3034.093824956918,22965.906175043103,18450.3688643209,8603.082777711135,1096.9191453658048,2925.6979676302903,23074.30203236985,18564.045724933316
1.43,8642.565673555326,1057.4362495216105,2966.5464226836384,23033.453577316395,18539.745257778206,8578.19815066441,1121.8037724125286,2858.35782553227,23141.642174467775,18654.680775597306
1.44,8620.222686216319,1079.7792368606176,2899.3386534277356,23100.66134657229,18629.430772796586,8552.601081355195,1147.400841721743,2791.390997616566,23208.609002383462,18745.627571740613
1.45,8597.212484708902,1102.7894383680348,2832.4906935286135,23167.509306471416,18719.425997582992,8526.269891751863,1173.7320313250793,2724.818735389263,23275.181264610754,18836.886263012806
1.46,8573.513827533568,1126.488095543367,2766.0233251471595,23233.97667485288,18809.731414078648,8499.182432782252,1200.8194902947005,2658.662871299732,23341.337128700245,18928.456894805473
1.47,8549.104971322573,1150.8969517543667,2699.9579374690247,23300.042062531003,18900.34739689417,8471.316052842527,1228.6858702344186,2592.945932126635,23407.054067873385,19020.33934680167
1.48,8523.963652030401,1176.0382710465383,2634.3165641262603,23365.68343587377,18991.274197470437,8442.647662305199,1257.3542607717425,2527.6909383360467,23472.309061663982,19112.533435833593
1.49,8498.067188939736,1201.9347341372043,2569.121765364861,23430.878234635165,19082.51195427426,8413.153751757156,1286.8481713197837,2462.921547688843,23537.078452311187,19205.03879760768
1.5,8471.392348225107,1228.6095748518323,2504.3967734991575,23495.603226500865,19174.06068566586,8382.810334411219,1317.191588665719,2398.662028829656,23601.337971170375,19297.854948077642
1.51,8443.915524452981,1256.0863986239592,2440.165316486057,23559.83468351397,19265.920283698473,8351.593089310896,1348.4088337660432,2334.9371343026696,23665.06286569736,19390.981280736367
1.52,8415.61271111517,1284.3892119617701,2376.451646923689,23623.548353076338,19358.090514917007,8319.477367291338,1380.5245557856013,2271.7721242938846,23728.22787570614,19484.417032944442
1.53,8386.459440933453,1313.5424821434872,2313.2806063257535,23686.71939367427,19450.57101493805,8286.438101360602,1413.5638217163385,2209.1928537956155,23790.80714620441,19578.161298476738
1.54,8356.43095500984,1343.5709680670977,2250.6774551346957,23749.322544865325,19543.361288926357,8252.45006363652,1447.5518594404239,2147.225514447088,23852.77448555294,19672.213033065662
1.55,8325.502220009112,1374.499703067826,2188.667863314213,23811.33213668581,19636.46070460968,8217.48781704965,1482.5141060272904,2085.8966588462513,23914.103341153776,19766.571068908022
1.56,8293.647820709934,1406.3541023670043,2127.2780162349823,23872.72198376504,19729.868491973193,8181.525626105992,1518.4762969709452,2025.2333715184022,23974.766628481626,19861.234055358214
1.57,8260.842216765479,1439.1597063114614,2066.534356337931,23933.465643662093,19823.583744866275,8144.5377984426195,1555.4641246343194,1965.26287484293,24034.73712515709,19956.20051107815
1.58,8227.059676948587,1472.9422461283505,2006.4636609051447,23993.536339094884,19917.605409296768,8106.498546168832,1593.5033769081103,1906.012674638226,24093.9873253618,20051.468813386837
1.59,8192.274368742077,1507.7275543348612,1947.092946661769,24052.907053338255,20011.93228787633,8067.38213747874,1632.6197855982018,1847.5104496126357,24152.48955038739,20147.037173546418
1.6,8156.460429236361,1543.5414938405784,1888.4493914618315,24111.55060853819,20106.563047411288,8027.162963691269,1672.838959385671,1789.7839527963447,24210.21604720368,20242.90366619853
1.61,8119.592029640298,1580.40989343664,1830.5602795828363,24169.439720417184,20201.49620819635,7985.815631682665,1714.1862913942746,1732.8609433355537,24267.139056664466,20339.06621594784
1.62,8081.6434585640945,1618.3584645128435,1773.4529234767404,24226.547076523282,20296.730138229435,7943.315066542056,1756.6868565348825,1676.7690981262892,24323.23090187373,20435.522592088295
