t,NatP,MisP,Ub,E1,E2,E3,DUB,Proteasome,ROS,E1_Ub,E2_Ub,E3_MisP,MisP_Ub,MisP_Ub2,MisP_Ub3,MisP_Ub4,MisP_Ub5,MisP_Ub6,MisP_Ub7,MisP_Ub8,MisP_Ub4_Proteasome,MisP_Ub5_Proteasome,MisP_Ub6_Proteasome,MisP_Ub7_Proteasome,MisP_Ub8_Proteasome,ATP,ADP,AMP,degUb4,degUb5,degUb6,degUb7,degUb8,MisP_total,NatP_refolded,AggP,SeqAggP,AggP_Proteasome
0.1,500.0000000001999,0.0009999148059076216,499.33598358552456,99.33929694752231,99.99668663800233,99.9999999150054,200.0,100.0,10.0,0.6607030524777141,0.0033133619976369096,8.49945975139131e-08,5.999742188144596e-15,9.092464588303634e-22,2.9883105648790066e-28,2.9334946288162783e-35,1.2078783259992712e-42,2.965361514826062e-50,4.964099919274067e-58,5.987627851471247e-66,1.0005450227834263e-40,2.4589748616594918e-48,4.119600467805716e-56,4.97146581026732e-64,4.4062699681973786e-72,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0010000000000001327,1.999886362583008e-10,-2.498024221334922e-13,-8.331600458180681e-18,-8.331600458180656e-18
0.11,500.0000000002419,0.0010998969158018271,499.26987149939794,99.27387825847511,99.99599324092296,99.9999998971572,200.0,100.0,10.0,0.726121741524925,0.004006759077006419,1.0284280795367178e-07,1.0038157161442414e-14,2.4139558231849968e-21,8.585899265113128e-28,8.463666165481413e-35,3.486842590712185e-42,8.561423197953969e-50,1.4332745126611782e-57,1.7288298583502301e-65,2.885356485893683e-40,7.096677090209291e-48,1.1892429883514278e-55,1.4353134194800897e-63,1.2721979483821453e-71,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0011000000000001761,2.41984876374476e-10,-3.022370535964645e-13,-1.1087612768595253e-17,-1.1087612768595229e-17
0.12,500.0000000002879,0.0011998773220627808,499.20381167046406,99.20857717865411,99.9952344918101,99.99999987760934,200.0,100.0,10.0,0.7914228213459189,0.004765508189881265,1.2239066057936107e-07,1.5876735845184304e-14,4.897503803367463e-21,1.787342299148415e-27,1.7637639774433043e-34,7.267060206462026e-42,1.7843455079026757e-49,2.987190025728698e-57,3.603173739004385e-65,6.012708003530283e-40,1.4790544600230527e-47,2.4786151959922024e-55,2.991470156206921e-63,2.6514933520342827e-71,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.001200000000000228,2.879803668143509e-10,-3.59658652537213e-13,-1.4392900805983347e-17,-1.4392900805983328e-17
0.13,500.0000000003379,0.001299856024722912,499.13780400202876,99.14339349235276,99.99441050967614,99.99999985636188,200.0,100.0,10.0,0.8566065076472666,0.005589490323821318,1.43638122601701e-07,2.3942806090387288e-14,8.575730158232273e-21,3.1595722066669066e-27,3.1183071092981424e-34,1.2847627571633142e-41,3.1545185024477326e-49,5.280936593658328e-57,6.369858187697431e-65,1.0631667262622492e-39,2.6150951310943616e-47,4.382160255173183e-55,5.288685325862813e-63,4.68752627782092e-71,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0013000000000002894,3.3797503943281e-10,-4.2206603460963795e-13,-1.8297332286719205e-17,-1.8297332286719174e-17
0.14,500.0000000003919,0.0013998330238146482,499.07184839761123,99.07832698417191,99.99352141343945,99.99999983341483,200.0,100.0,10.0,0.9216730158281141,0.006478586560510505,1.6658516117868574e-07,3.471697506325074e-14,1.36856274978089e-20,5.055451446135018e-27,4.988115260272923e-34,2.0549463216855193e-41,5.0453706026816044e-49,8.446210924765021e-57,1.0187691318755098e-64,1.700987595694856e-39,4.183320324452945e-47,7.009426035180529e-55,8.458992447855515e-63,7.497234095029835e-71,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0014000000000003608,3.919688260861041e-10,-4.894580155481437e-13,-2.2850762449151212e-17,-2.285076244915118e-17
0.15,500.00000000044986,0.001499808319370417,499.0059447609439,99.01337743901985,99.99256732192421,99.99999980876825,200.0,100.0,10.0,0.9866225609801837,0.007432678075756832,1.9123174341558374e-07,4.8733129245156307e-14,2.0485341283301818e-20,7.560839579421536e-27,7.4566613629571795e-34,3.0715307805003e-41,7.5409476204631e-49,1.2623626373150367e-56,1.522622560024106e-64,2.5433549787135663e-39,6.25375385261293e-47,1.0477424689116224e-54,1.2643390026344825e-62,1.1205478472191887e-70,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.001500000000000443,4.499616586318505e-10,-5.618334111676386e-13,-2.810303405360196e-17,-2.8103034053601925e-17
0.16,500.0000000005119,0.0015997819114226463,498.9400929959726,98.94854464211225,99.99154835386048,99.99999978242217,200.0,100.0,10.0,1.0514553578877737,0.008451646139492381,2.17577836364938e-07,6.657843443266817e-14,2.92541698270906e-20,1.0767283933195822e-26,1.0612772034369721e-33,4.370972413119676e-41,1.0730631880258798e-48,1.7962712938702567e-56,2.166575785395699e-64,3.620747846066004e-39,8.900912738384506e-47,1.4910632653898135e-54,1.7991841550242734e-62,1.594504537708101e-70,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0016000000000005376,5.119534689290332e-10,-6.391910373635358e-13,-3.410397738236828e-17,-3.410397738236823e-17
0.17,500.00000000057787,0.0016997538000037625,498.87429300685625,98.88382837897227,99.9904646278842,99.99999975437659,200.0,100.0,10.0,1.1161716210277581,0.009535372115773294,2.4562340702656557e-07,8.889333573753268e-14,4.029256429272975e-20,1.4772019598927773e-26,1.4550627575958603e-33,5.991909712280186e-41,1.470914221914303e-48,2.4621917267096447e-56,2.9697329255442427e-64,4.965502569184688e-39,1.2203807214873897e-46,2.044099065025994e-54,2.4663275493213282e-62,2.185664507671416e-70,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.001700000000000645,5.779441888380021e-10,-7.21529710111752e-13,-4.09034102397211e-17,-4.090341023972105e-17
0.18,500.00000000064784,0.001799723985146191,498.8085446979674,98.81922843543045,99.98931626253719,99.99999972463158,200.0,100.0,10.0,1.1807715645695864,0.010683737462779787,2.753684223475578e-07,1.1637155758667856e-13,5.3922128694948795e-20,1.967796943288783e-26,1.9369761973601128e-33,7.975163383942889e-41,1.9576533986797883e-48,3.276860264979341e-56,3.952272533397486e-64,6.611812920187027e-39,1.6245940725483364e-46,2.720790368275116e-54,3.282558531367263e-62,2.908891213735134e-70,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0018000000000007663,6.479337502204736e-10,-8.088482454687078e-13,-4.855113795190559e-17,-4.8551137951905527e-17
0.19,500.00000000072185,0.0018996924668823582,498.7428479738916,98.75474459762474,99.98810337626715,99.99999969318715,200.0,100.0,10.0,1.2452554023752849,0.011896623732816154,3.0681284922228055e-07,1.497601037222171e-13,7.048561989965236e-20,2.5593744056147037e-26,2.517506289760391e-33,1.0363736347293387e-40,2.5438199045513243e-48,4.257904902404156e-56,5.13544759725698e-64,8.595730071875346e-39,2.1115309923911254e-46,3.535824103973723e-54,4.26556294547891e-62,3.779840542449566e-70,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0019000000000009027,7.219220849395312e-10,-9.011454595713288e-13,-5.709695336714114e-17,-5.709695336714108e-17
0.2,500.00000000079984,0.0019996592452446883,498.6772027393663,98.69037665197881,99.9868260873878,99.99999966004334,200.0,100.0,10.0,1.3096233480212192,0.013173912612178599,3.399566538104157e-07,1.9054099928814958e-13,9.450886410577356e-20,3.834628311156611e-26,5.9878151582171854e-33,1.0192390179992121e-39,8.820809893202514e-47,3.525908983826435e-54,8.55768867801515e-62,4.137186769319033e-38,3.187004716487783e-45,1.2376997619440444e-52,2.9721167085325337e-60,4.9225503188793116e-68,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0020000000000010543,7.999091248594801e-10,-9.984201686287457e-13,-6.659063822662762e-17,-6.659063822662759e-17
0.21,500.0000000008818,0.002099624320265606,498.61160889928465,98.62612438520344,99.98548451408158,99.99999962520019,200.0,100.0,10.0,1.3738756147965943,0.014515485918403877,3.747998015840251e-07,2.4088424221641715e-13,1.3441353326664608e-19,6.908661254594583e-26,1.7727874465602802e-32,4.5402235367839407e-39,4.230335082672636e-46,1.7186705488853073e-53,4.195723340986935e-61,1.6371427407727722e-37,1.4725530147074304e-44,5.937393316616225e-52,1.4455595925719998e-59,2.409592470189119e-67,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.002100000000001222,8.818948018458589e-10,-1.1006711889228687e-12,-7.708196306992928e-17,-7.708196306992925e-17
0.22,500.0000000009678,0.002199587691977536,498.54606635882584,98.56198758434246,99.98407877448376,99.99999958865773,200.0,100.0,10.0,1.4380124156575653,0.015921225516212893,4.113422587653742e-07,3.0221043476698883e-13,1.9374226144933243e-19,1.2224545051189807e-25,3.9844889994456096e-32,1.1335688191206253e-38,1.0710637477889153e-45,4.3641421160465305e-53,1.0665000694212612e-60,3.985865897699066e-37,3.7026718183610016e-44,1.5033391326512954e-51,3.6692133010339693e-59,6.123144837262396e-67,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0022000000000014066,9.678790477657418e-10,-1.207897336825882e-12,-8.862068434437797e-17,-8.862068434437792e-17
0.23,500.0000000010578,0.0022995493604129006,498.48057502337934,98.49796603674615,99.98260898663366,99.999999550416,200.0,100.0,10.0,1.5020339632538824,0.017391013366317605,4.4958399149206696e-07,3.760253841321284e-13,2.762537358938255e-19,2.0252672285999894e-25,7.457679527005133e-32,2.2116299685561446e-38,2.1003220388463346e-45,8.566909398490075e-53,2.094337268817019e-60,7.703787107408037e-37,7.242724908753973e-44,2.9480504999095514e-51,7.201741461461914e-59,1.2023092165048005e-66,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.002300000000001609,1.0578617944875624e-09,-1.3200974287900847e-12,-1.0125654608348317e-16,-1.0125654608348312e-16
0.24,500.00000000115176,0.0023995093256041224,498.4151347985442,98.43405953007083,99.98107526847399,99.99999951047502,200.0,100.0,10.0,1.565940469929202,0.018924731525991632,4.895249658072849e-07,4.63929859967767e-13,3.859822650394844e-19,3.1498932613593056e-25,1.2433204268400014e-31,3.7646992490010254e-38,3.584027235395124e-45,1.462610361205547e-52,3.5762535704433704e-60,1.305342131836896e-36,1.234422583196403e-43,5.030647435100182e-51,1.2294553542222097e-58,2.052941839152234e-66,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0024000000000018295,1.1518429738811116e-09,-1.4372702813477735e-12,-1.1503927992655473e-16,-1.1503927992655468e-16
0.25,500.00000000124976,0.002499467587583625,498.34974559012915,98.37026785227894,99.97947773785091,99.99999946883484,200.0,100.0,10.0,1.6297321477210884,0.020522262149070297,5.31165147659788e-07,5.676195943935039e-13,5.272377785250336e-19,4.650471275804835e-25,1.9168960349425368e-31,5.874696884057876e-38,5.600593823997155e-45,2.286208338979838e-52,5.590611074546015e-60,2.0315899467822937e-36,1.9276533654002198e-43,7.861196820804695e-51,1.9216899814824333e-58,3.2091911360698254e-66,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.002500000000002069,1.2498225178175387e-09,-1.5594147111112417e-12,-1.3001860511870305e-16,-1.3001860511870298e-16
0.26,500.00000000135174,0.002599424146383829,498.28440730415224,98.30659079163902,99.97781651251402,99.99999942549549,200.0,100.0,10.0,1.6934092083610108,0.022183487485950573,5.745045029039141e-07,6.888852819926058e-13,7.046058271885641e-19,6.584689651295541e-25,2.79398967825101e-31,8.628969873915819e-38,8.233631923820554e-45,3.361643478199041e-52,8.22096434345891e-60,2.979096848178288e-36,2.832685296081272e-43,1.1557058420522264e-50,2.825587135392197e-58,4.7190162822624885e-66,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0026000000000023287,1.3518003581693502e-09,-1.6865295347727789e-12,-1.4624422851083883e-16,-1.4624422851083878e-16
0.27,500.0000000014577,0.002699379002037156,498.2191198468411,98.24302813672568,99.97609171011639,99.999999380457,200.0,100.0,10.0,1.7569718632743463,0.023908289883591127,6.195429972995787e-07,8.296125798120069e-13,9.229475830675316e-19,9.013786474141454e-25,3.9038014466716976e-31,1.2120291995350504e-37,1.157194728663971e-44,4.7251971256119094e-52,1.1556060401604257e-59,4.179699127503365e-36,3.980023385827314e-43,1.6242884878669735e-50,3.971640003731185e-58,6.633356843338769e-66,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.002700000000002609,1.45777642681041e-09,-1.8186135691046724e-12,-1.6376584455967326e-16,-1.6376584455967318e-16
0.28,500.0000000015677,0.0027993321545760263,498.153883124633,98.17957967641965,99.97430344821447,99.9999993337194,200.0,100.0,10.0,1.8204203235803778,0.025696551785512285,6.662805965122754e-07,9.917821073623092e-13,1.187399839398757e-18,1.200254953760367e-24,5.277236618774263e-31,1.6446863801724106e-37,1.5709541296835266e-44,6.4152733696887956e-52,1.568983873549255e-59,5.667094675113189e-36,5.4019571972194246e-43,2.205062172058165e-50,5.392125854593436e-58,9.006132775510841e-66,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0028000000000029113,1.5677506556159404e-09,-1.9556656309592052e-12,-1.8263313532771784e-16,-1.8263313532771777e-16
0.29,500.00000000168166,0.00289928360403286,498.08869704417464,98.11624519990774,99.97245184426818,99.99999928528273,200.0,100.0,10.0,1.8837548000922948,0.027548155731796045,7.147172661130755e-07,1.1774694466177814e-12,1.5033750106184263e-18,1.5619316341894332e-24,6.946905661791739e-31,2.1712312622985304e-37,2.07456109713941e-44,8.472399040621635e-52,2.0721431293722507e-59,7.476842980240604e-36,7.132560844831999e-43,2.911950735251019e-50,7.121106036387331e-58,1.1894244425594497e-65,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0029000000000032355,1.6817229764625196e-09,-2.097684537268657e-12,-2.0289577048328444e-16,-2.0289577048328437e-16
0.3,500.00000000179966,0.002999233350440079,498.02356151231317,98.05302449667413,99.97053701564056,99.99999923514703,200.0,100.0,10.0,1.9469755033258958,0.029462984359417143,7.648529715349141e-07,1.388888823544971e-12,1.8775525985111464e-18,1.9977495465664818e-24,9.028026778383423e-31,2.889785432736706e-37,3.078955399090569e-44,2.3101052319285557e-51,1.418699217173234e-58,9.807414393482098e-36,9.955521427596373e-43,6.036239167356814e-50,3.0749561275077685e-57,1.0312989809013295e-64,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.003000000000003584,1.7996933212280455e-09,-2.2446691050429246e-12,-2.246034076777971e-16,-2.246034076777971e-16
0.31,500.0000000019216,0.0030991813938301,497.95847643573984,97.98991735615695,99.96855907958467,99.99999918331233,200.0,100.0,10.0,2.010082643843071,0.03144092041531059,8.166876763468816e-07,1.6301174852092789e-12,2.357018425285608e-18,2.6874669058683704e-24,1.4912144257203636e-30,7.429185251896231e-37,2.1206301336257302e-43,5.54771424167441e-50,5.153757976535846e-57,1.9377789553891094e-35,4.4925501248909513e-42,1.0601915788995655e-48,9.703384210202044e-56,3.9232311437940265e-63,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.003100000000003956,1.9216616217901172e-09,-2.396618151275519e-12,-2.4780570744057985e-16,-2.4780570744057985e-16
0.32,500.00000000204756,0.003199127734235345,497.8934417214199,97.92692356816258,99.96651815325936,99.99999912977866,200.0,100.0,10.0,2.073076431837447,0.03348184674060786,8.702213443359981e-07,1.905015531209155e-12,2.982049785950456e-18,3.781529363716009e-24,2.741444886149868e-30,1.8795639379898044e-36,7.021765708750658e-43,2.0210580569849397e-49,1.900850424638897e-56,4.1758093777615026e-35,1.3775562041791093e-41,3.810358500691497e-48,3.565936288120146e-55,1.4485574877753475e-62,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.003200000000004353,2.047627810027984e-09,-2.553530493056961e-12,-2.725523152108208e-16,-2.725523152108208e-16
0.33,500.00000000217756,0.003299072371688231,497.8284572766718,97.86404292294192,99.96441435373224,99.99999907454605,200.0,100.0,10.0,2.1359570770581,0.0355856462677346,9.254539398904893e-07,2.2168429308501345e-12,3.7774226548223145e-18,5.36466566837787e-24,4.8064455445628104e-30,3.8608050921127566e-36,1.5750154048669934e-42,4.646009613528377e-49,4.382644147493238e-56,7.995757912650104e-35,3.0226078505974853e-41,8.730347399332758e-48,8.214592311011541e-55,3.340684288319413e-62,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0033000000000047757,2.1775918178229036e-09,-2.7154049475956598e-12,-2.9889285802945054e-16,-2.9889285802945054e-16
0.34,500.0000000023115,0.0033990153062211773,497.7635230090102,97.80127521103908,99.9622477979738,99.99999901761457,200.0,100.0,10.0,2.1987247889609467,0.03775220202617023,9.823854272391679e-07,2.569019557196936e-12,4.7696626393904885e-18,7.528132517973838e-24,7.851366180764808e-30,6.861552988072379e-36,2.910424127257578e-42,8.671757860683347e-49,8.189904862369707e-56,1.3722679107790798e-34,5.53369481815898e-41,1.6273496478635518e-47,1.5345403425541817e-54,6.24342109737029e-62,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0034000000000052244,2.3115535770574292e-09,-2.8822403321764827e-12,-3.2687695110414874e-16,-3.2687695110414874e-16
0.35000000000000003,500.00000000244944,0.0034989565378666008,497.6986388261457,97.73862022329128,99.96001860285753,99.99999895898422,200.0,100.0,10.0,2.2613797767087482,0.039981397142448014,1.0410157704514329e-06,2.96512518707347e-12,5.987044980316947e-18,1.0369714560475064e-23,1.205355486893124e-29,1.1069739316457853e-35,4.79420678354672e-42,1.4358517669464344e-48,1.356889508720898e-55,2.17057568524706e-34,9.07123777844158e-41,2.692699790394053e-47,2.5419514354969164e-54,1.0344534899322837e-61,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0035000000000057004,2.4495130196154127e-09,-3.054035464160752e-12,-3.56554197809344e-16,-3.56554197809344e-16
0.36,500.00000000259143,0.003598896066656918,497.6338046359852,97.67607775082892,99.95772688515981,99.99999889865506,200.0,100.0,10.0,2.3239222491711065,0.042273114840154995,1.1013449334372697e-06,3.408899501062829e-12,7.459594551436315e-18,1.39937243937041e-23,1.7602557977607197e-29,1.6686316457933684e-35,7.318126852814955e-42,2.1984587015014737e-48,2.078299196173921e-55,3.2318304377527686e-34,1.380679320818654e-40,4.1211897802117084e-47,3.8930117609962396e-54,1.584484208160805e-61,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.003600000000006204,2.5914700773820014e-09,-3.2307891609862463e-12,-3.879741896862137e-16,-3.879741896862137e-16
0.37,500.00000000273735,0.0036988338926245467,497.5690203466316,97.61364758507555,99.95537276156004,99.99999883662711,200.0,100.0,10.0,2.386352414924468,0.044627238439932077,1.1633728799472515e-06,3.904242083507302e-12,9.219085859755923e-18,1.8511002565334878e-23,2.4700120169707576e-29,2.3925257483239726e-35,1.0579907247723527e-41,3.184634697660698e-48,3.01126872474762e-55,4.595776425535156e-34,1.9923053389298432e-40,5.968309626156331e-47,5.640245348860145e-54,2.2958208434693155e-61,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.003700000000006737,2.737424682243641e-09,-3.412500240167204e-12,-4.21186506442685e-16,-4.21186506442685e-16
0.38,500.0000000028873,0.0037987700158019022,497.50428586638384,97.5513295177479,99.9529563486405,99.99999877290043,200.0,100.0,10.0,2.44867048225212,0.047043651359473915,1.2270995735725366e-06,4.455212422508355e-12,1.1299043045455733e-17,2.403891757289261e-23,3.356018440251692e-29,3.3013556153191096e-35,1.4683230314514264e-41,4.425826173764235e-48,4.185558732772319e-55,6.304570839988269e-34,2.7613846408845024e-40,8.292934733220575e-47,7.83938100763767e-54,3.191154915208143e-61,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0038000000000072993,2.887376766088073e-09,-3.599167519294317e-12,-4.56240715953433e-16,-4.56240715953433e-16
0.39,500.0000000030413,0.003898704436221401,497.43960110373706,97.48912334085583,99.95047776288645,99.99999870747502,200.0,100.0,10.0,2.5108766591441927,0.049522237113529016,1.2925249777448708e-06,5.066029909926647e-12,1.3734739881888388e-17,3.070136586375391e-23,4.4408891927689535e-29,4.419122691867824e-35,1.9737737833009692e-41,5.955287858565109e-48,5.632641320757097e-55,8.402783806661278e-34,3.708413615905737e-40,1.1157325902549968e-46,1.0549352324618945e-53,4.2944828830312384e-61,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0039000000000078924,3.0413262608043353e-09,-3.790789816034735e-12,-4.931863742598824e-16,-4.931863742598824e-16
