t,I,E4,VI,VNI,E1,E2,E3
0.34,1.343955383111972,7901.663461370011,72118.98803461944,70.690846058044,83221.65652423473,53491.59386503157,23599.037714311777
0.35000000000000003,1.4945861364555562,8542.384088325007,69987.54982224411,79.41916771179616,82742.86876197226,54650.926974389535,24797.165694392006
0.36,1.656939568108476,9204.966899288038,67919.10512901946,89.08278302417267,82200.37336682668,55744.59399104861,25992.469336833426
0.37,1.8313659677479535,9888.392386773774,65911.79221507782,99.74479165003808,81599.11351839015,56772.77058648679,27182.48139639846
0.38,2.0181938294734305,10591.586260054944,63963.80436331515,111.46901640494643,80943.76601089467,57735.81451771025,28364.842167701503
0.39,2.217728974916689,11313.42587196059,62073.388253164725,124.31981230582035,80238.75385580889,58634.24824502908,29537.302076842963
0.4,2.4302538006585688,12052.746490095946,60238.84238251552,138.36187498055952,79488.25832402047,59468.7427252119,30697.723498027484
0.41000000000000003,2.656026648013116,12808.347377211488,58458.51553626162,153.66004946931648,78696.23045382851,60240.102303312546,31844.08188572127
0.42,2.8952812909316883,13578.997659121991,56730.805300051004,170.27914041265447,77866.40204876315,60949.25063521378,32974.466297340325
0.43,3.148226535716689,14363.441980282092,55054.15661805516,188.28372424556576,77002.29618329072,61597.21759431648,34087.0793485847
0.44,3.4150459295547484,15160.405918031163,53427.06039328714,207.73796441309366,76107.23724155844,62185.12708983026,35180.236684709016
0.45,3.6958975715127678,15968.601156325123,51848.052129299256,228.70543020916926,75184.36050700997,62714.1857508901,36252.36600866155
0.46,3.990914020915658,16786.730413711553,50315.71061208076,251.24891981537158,74236.62132121086,63185.67242821428,37302.00571251465
0.47000000000000003,4.300202298501265,17613.492110654366,48828.656630824946,275.4302883638785,73266.8038336088,63600.92845331394,38327.803175561734
0.48,4.623843974060925,18447.584786336705,47385.5517365881,301.3102812916253,72277.52935590915,63961.348623405276,39328.51275086574
0.49,4.961895335834934,19287.711259497897,45985.09703768958,328.94837351098636,71271.26433886543,64268.37286528574,40302.99348517353
0.5,5.314387636794097,20132.582502616424,44626.03203017977,358.4026158061183,70250.32800058568,64523.478493620365,41250.206668973
0.51,5.681327410549605,20980.921313730953,43307.13346381107,389.72948636753847,69216.89958918202,64728.173135916026,42169.21309346158
0.52,6.062696853223346,21831.46570956697,42027.214241023,422.9837502151856,68173.02532681865,64883.98817861567,43059.170197212065
0.53,6.458454266919771,22682.972031039426,40785.12234775874,458.21832709921324,67120.62505377248,64992.472684510656,43919.329152409315
0.54,6.86853455875417,23534.21790310829,39579.73981784227,495.4841636530163,66061.49852768704,65055.187945356265,44749.031643710005
0.55,7.292849788336873,24384.004839410733,38409.981725379555,534.830117593744,64997.33149005127,65073.70230923422,45547.70681171182
0.56,7.731289765616888,25231.160708465773,37274.79520920869,576.3028459414242,63929.70140761038,65049.58659931506,46314.86791849258
0.5700000000000001,8.18372268654623,26074.5419308982,36173.15852494394,619.9467032637536,62860.08297585306,64984.409851139906,47050.109076911845
0.58,8.649995805495212,26913.03545549587,35104.08012493206,665.8036481473584,61789.85337181139,64879.7354207072,47753.10195979329
0.59,9.129936144608266,27745.560572243325,34066.59776677997,713.9131555600152,60720.297236460356,64737.11753782698,48423.592377071735
0.6,9.623351223599993,28571.07045959103,33059.777646061244,764.3121405570828,59652.61147052988,64558.09804797593,49061.39703040279
0.61,10.130029825562572,29388.553590475552,32082.713556863964,817.034886599968,58587.90976446321,64344.20360203827,49666.40011076749
0.62,10.649742773758566,30197.034924976888,31134.526075556125,872.1129842518886,57527.226948761236,64096.943036125085,50238.55003391981
0.63,11.18224372959109,30995.576934570738,30214.361769232306,929.5752769337183,56471.52313112949,63817.80505295995,50777.85617140392
0.64,11.727270008456728,31783.280467895405,29321.392428161955,989.4478135517086,55421.687628574764,63508.25618899889,51284.385582610616
0.65,12.284543396166052,32559.285437115177,28454.814319398014,1051.7538107813896,54378.542744183025,63169.738925857884,51758.259896520605
0.66,12.853770986813958,33322.77137187268,27613.84746434756,1116.5136203913062,53342.84733097088,62803.67012555703,52199.65213280748
0.67,13.434646012490736,34072.95781931881,26797.73493599848,1183.7447059048604,52315.300218854696,62411.439573730204,52608.78368490265
0.68,14.026848684162157,34809.10461229812,26005.742177984688,1253.4616251172995,51296.54346042935,61994.40876635432,52985.92131314541
0.6900000000000001,14.630047030329985,35530.512011779196,25237.15634356737,1325.6760197116566,50287.165426369975,61553.90985906945,53331.374220390884
0.7000000000000001,15.243897724813747,36236.52073073572,24491.285653189334,1400.3966125924671,49287.70377079102,61091.24472801227,53645.49125225867
0.71,15.86804692809662,36926.51184411545,23767.45877314544,1477.6292095627514,48298.6482176195,60607.6842857611,53928.65807332689
0.72,16.502131102523894,37599.90660121665,23065.02421040598,1557.3767092767687,47320.44325189874,60104.46782516932,54181.294529029175
0.73,17.145777827038952,38256.16613748919,22383.349726234137,1639.6391183777212,46353.49066634731,59582.802534061055,54403.852050704125
0.74,17.798606608560824,38894.79109120714,21721.821767905054,1724.4135717763238,45398.15197202797,59043.86316163973,54596.81111543589
0.75,18.46022966370056,39515.32115576103,21079.844915334223,1811.6943597246986,44454.75072372389,58488.79170775021,54760.67886374809
0.76,19.130252705982574,40117.33453587932,20456.841346086087,1901.472958774529,43523.57469900942,57918.697300654705,54895.98672968925
0.77,19.808275707460883,40700.44734738207,19852.25031503518,1993.7380683701144,42604.87798985724,57334.65611457193,55003.28819940324
0.78,20.493893642205247,41264.312956468486,19265.527649165968,2088.4756522714333,41698.88299589729,56737.71136005422,55083.156665118084
0.79,21.186697225671054,41808.62124443729,18696.145258743396,2185.6689837764975,40805.78229666444,56128.87340956689,55136.18332020848
0.8,21.886273619351087,42333.09784637005,18143.590661076738,2285.29869574406,39925.74046053953,55509.11991743382,55162.97519534446
0.81,22.592207128491285,42837.50332326388,17607.36651963409,2387.3428341456092,39058.895744419315,54879.39605221472,55164.1532460387
0.8200000000000001,23.304079879688526,43321.632294057315,17086.990196714036,2491.776915256646,38205.36170965418,54240.61478297465,55140.35052685284
0.8300000000000001,24.02147246809012,43785.31255214011,16581.993318261226,2598.5739864118473,37365.228773456445,53593.65717769558,55092.2104727928
0.84,24.743964597984423,44228.40412257665,16091.92135314258,2707.7046897314335,36538.5656584772,52939.37280575857,55020.385226925355
0.85,25.471135691003003,44650.79831503326,15616.333203535172,2819.1373287242336,35725.42078871948,52278.58013461463,54925.53407703898
0.86,26.202565476127386,45052.41674660128,15154.800807812582,2932.837937537408,34925.82360905122,51612.066977083996,54808.32196350583
0.87,26.93783456406904,45433.21033109041,14706.908755899161,3048.7703526731607,34139.78582692658,50940.590995200626,54669.41805234994
0.88,27.676524987354515,45793.15828375225,14272.253914563202,3166.8962865785634,33367.30261066111,50264.880187453346,54509.494404594756
0.89,28.41822072934695,46132.26708599566,13850.445065122842,3287.17540345233,32608.353707358703,49585.633443226194,54329.224700461666
0.9,29.162508226130825,46450.56945470984,13441.102551255433,3409.5653965425668,31862.9045111785,48903.521100627644,54129.283042784664
0.91,29.908976843464895,46748.12331341633,13043.857936874101,3534.0220668007505,31130.907080732697,48219.185513035605,53910.34283411079
0.92,30.65721933924895,47025.01073912638,12658.353675180508,3660.4994032558584,30412.30108883157,47533.24166226702,53673.07570990191
0.93,31.406832295077383,47281.33693566832,12284.242786270373,3788.9496637913376,29707.014738428174,46846.27775074678,53418.15054827356
0.9400000000000001,32.15741653093461,47517.229194023894,11921.188544996248,3919.3234571640846,29014.965620530937,46158.85582442547,53146.2325372431
0.9500000000000001,32.90857749907707,47732.83585472444,11568.864178201668,4051.569825741471,28336.061524365323,45471.51240794264,52857.98230222148
0.96,33.65992565039877,47928.325297118165,11226.952570036648,4185.636328188266,27670.201215119014,44784.75912415592,52554.05509730153
0.97,34.41107678745516,48103.88491017294,10895.145977273656,4321.469123347788,27017.275153418705,44099.08334990527,52235.10004779396
0.98,35.161652388695735,48259.72010297381,10573.145751693957,4459.01305318832,26377.166192188888,43414.9488425168,51901.75945227151
0.99,35.911279912641,48396.053325981404,10260.662070769442,4598.211725783254,25749.75023429237,42732.79637019381,51554.66813669154
1.0,36.65959309087117,48513.12307196274,9957.413677954983,4739.00759942179,25134.89683358526,42053.04437995652,51194.45285506827
1.01,37.40623219683969,48611.182909278694,9663.12762989869,4881.342065719718,24532.46977138783,41376.08964618581,50821.731740300376
1.02,38.15084428389293,48690.50057608351,9377.539049037616,5025.155530528201,23942.327626016835,40702.307869345146,50437.113805694426
1.03,38.893083417063785,48751.357041834395,9100.390885891857,5170.387496247472,23364.324281532165,40032.05432434245,50041.19848739761
1.04,39.63261088869715,48794.04557383543,8831.433689100239,5316.9766441508755,22798.309399257527,39365.66451550418,49634.57523314244
1.05,40.369095401440745,48818.87089215677,8570.425378970349,5464.86091262987,22244.12889964965,38703.454761120964,49217.823125492585
1.06,41.10221324292022,48826.14830144244,8317.131029798998,5613.9775765212835,21701.625392661535,38045.722812548076,48791.51054802425
1.07,41.831648448120625,48816.202817303376,8071.322660011267,5764.26332682733,21170.63856722456,37392.748490131366,48356.19489370343
1.08,42.557092934570925,48789.36837102559,7832.779025694352,5915.654346271207,20651.005588656346,36744.79425931475,47912.422299153666
1.09,43.278246624625936,48745.98702000695,7601.28542104024,6068.086384460288,20142.561463478927,36102.10581334898,47460.727415103705
1.1,43.99481755653867,48686.40815424481,7376.633486174012,6221.49483325903,19645.139365908537,35464.91267214719,47001.633214362046
1.11,44.70652197738856,48610.98774525789,7158.621019630571,6375.814799600627,19158.570955126852,34833.42875350691,46535.65082557566
1.12,45.41308441847058,48520.087638352445,6947.051795243431,6530.981175588741,18682.68668498484,34207.85291561169,46063.27939058872
1.1300000000000001,46.11423776066681,48414.0748391734,6741.735386079544,6686.928708884486,18217.316077230287,33588.36951487653,45585.00595817606
1.1400000000000001,46.8097232865724,48293.32081554794,6542.4869940472945,6843.59207215418,17762.28797276566,32975.1489568798,45101.30541030025
1.1500000000000001,47.49929071574052,48158.200867902844,6349.127282070759,7000.905927626151,17317.430790859486,32368.348204710568,44612.64038827692
1.16,48.182698230140915,48009.09349236826,6161.482212919534,7158.8049921569345,16882.57275499147,31768.111297761618,44119.46125869809
1.17,48.85971248831084,47846.37975580597,5979.382893727214,7317.224101491527,16457.542094264725,31174.56987158986,43622.20610578814
1.18,49.530108626023,47670.44272625716,5802.665422934999,7476.098270229438,16042.167252326248,30587.84363691116,43121.30072865449
1.19,50.193670246864336,47481.66691503201,5631.170742551801,7635.362750865002,15636.2770742991,30008.040858056756,42617.15866269014
1.2,50.850189402216564,47280.43772751775,5464.744495844672,7794.953092309495,15239.700970782173,29435.25883071502,42110.181229698115
1.21,51.499466561419176,47067.14095077007,5303.236888250952,7954.805195263389,14852.269078913745,28869.58433728204,41600.7575942115
1.22,52.14131057266087,46842.16227148763,5146.502551827015,8114.855364963666,14473.812416986913,28311.094084690405,41089.264829098
1.23,52.77553861448074,46605.886801173154,4994.4004148283275,8275.040363436134,14104.163017581606,27759.85514150679,40576.06800804653
1.24,53.40197613858803,46358.6986203303,4846.793575407655,8435.297460083164,13743.154048068123,27215.92536528113,40061.520314294554
1.25,54.02045680568194,46100.98036510436,4703.549177411154,8595.564478395985,13390.6199359145,26679.353803205162,39545.96314324665
1.26,54.630822412685085,45833.112820129325,4564.538291074102,8755.779842205473,13046.39647350343,26150.18109232741,39029.7262304062
1.27,55.23292281160039,45555.474533179025,4429.635797431241,8915.882620226605,12710.320912779654,25628.439849008195,38513.1277914274
1.28,55.826615824696816,45268.441457178415,4298.720275088877,9075.812567383853,12382.23206035319,25114.155039228433,37996.474660434855
1.29,56.41176715152397,44972.386608030494,4171.673890985383,9235.510165004727,12061.970359247956,24607.344342299824,37480.06244420593
1.3,56.9882502692105,44667.679734813515,4048.3822950067743,9394.91665978285,11749.377958079513,24108.01850738082,36964.17569283884
1.31,57.5559463294792,44354.68702272435,3928.734516432423,9553.974099391733,11444.2987838131,23616.181690581605,36449.08806069018
1.32,58.11474404963414,44033.770808267,3812.622864018014,9712.625366872635,11146.57860300521,23131.831785067716,35935.06248166478
1.33,58.66453959677931,43705.2893107082,3699.9428295604853,9870.814213693657,10856.065072797037,22654.960743013875,35422.35135650539
1.34,59.20523647079547,43369.59638477331,3590.5929934848423,10028.485290097475,10572.607792354922,22185.554882950066,34911.19673535446
1.35,59.73674538260119,43027.04128994091,3484.4749333919854,10185.584173809882,10296.058347383425,21723.595187669,34401.8305069672
1.36,60.258984126426704,42677.968473597466,3381.493135922245,10342.057397591432,10026.270344880559,21269.05759443369,33894.47459997417
1.37,60.77187745110976,42322.71737326532,3281.5549106114454,10497.852474374762,9763.099447523877,20821.913272841328,33389.34117943048
1.3800000000000001,61.27535692878714,41961.62223492317,3184.570306183695,10652.91792055924,9506.403404169745,20382.128892580677,32886.63284497048
1.3900000000000001,61.7693608186155,41595.01194381759,3090.4520299385626,10807.203278140005,9256.042071476391,19949.666884038576,32386.54283926802
1.4000000000000001,62.25383392933125,41223.20987112638,2999.115369205941,10960.659134876869,9011.87743375205,19524.485688438526,31889.25525443051
1.41,62.72872748116036,40846.53373601869,2910.4781147385006,11113.237142518657,8773.773621678727,19106.539997536114,31394.945235302177
1.42,63.19399896329942,40465.29548008959,2824.4604869596233,11264.890033893294,8541.596923324347,18695.78098609063,30903.779191370522
1.43,63.64961198987186,40079.80115542965,2740.985064346373,11415.571638390864,8315.215792211227,18292.15653527748,30415.91500890481
1.44,64.09553615793583,39690.35082500209,2659.9767133226987,11565.236895371565,8094.5008561312325,17895.611446934945,29931.50225537468
1.45,64.53174690128782,39297.23847534631,2581.362520803388,11713.84186654603,7879.324919249498,17506.087650297257,29450.68239160872
1.46,64.95822534307244,38900.75194061363,2505.0717288557344,11861.343746908013,7669.5629606792245,17123.524401011317,28973.58898493694
1.47,65.3749581509821,38501.17283827466,2431.0356705865684,12007.700873835667,7465.0921350728595,16747.858471093434,28500.347913126174
1.48,65.78193738934894,38098.776515512116,2359.1877084904336,12152.87273511438,7265.791767170391,16379.024332116029,28031.07757441115
1.49,66.17916036922486,37693.83200722791,2289.4631749089285,12296.81997574921,7071.543342534589,16016.95433080546,27565.889099810967
1.5,66.56662950525121,37286.60200013729,2221.7993131003054,12439.504402852954,6882.2305029968975,15661.57885741605,27104.886550075622
1.51,66.94435216856078,36877.342808534435,2156.1352207358964,12580.888989630972,6697.7390360743075,15312.826507120362,26648.167119539896
1.52,67.31234054059007,36466.30435866125,2092.4117949726688,12720.937878080744,6517.956863157299,14970.624234610774,26195.821337052177
1.53,67.67061145696536,36053.73018706411,2030.5716809837272,12859.616381367468,6342.774015448784,14634.897501968982,25747.933286995914
1.54,68.01918626999426,35639.85743750445,1970.559218911572,12996.890983559955,6172.08262655548,14305.570420435726,25304.58079032429
1.55,68.35809070628645,35224.91686847534,1912.3203933500085,13132.729338736153,6005.776917881069,13982.565885941885,24865.83559534219
1.56,68.68735472218198,34809.13286955133,1855.802784864047,13267.10026929195,5843.753179497578,13665.805708648493,24431.763572749613
1.57,69.00701235545,34392.72348904686,1800.955523765521,13399.973763309406,5685.909745610221,13355.210735581206,24002.424916985256
1.58,69.31710158259862,33975.9004646275,1747.7292445321186,13531.320970761275,5532.146972966399,13050.700968371568,23577.874336404
1.59,69.61766418750632,33558.8692519855,1696.0760398707162,13661.11419837925,5382.367227424495,12752.195677220945,23158.16122143313
1.6,69.90874562018364,33141.82906833594,1645.9494180341271,13789.326904044387,5236.474859241747,12459.61350776374,22743.329831587667
1.61,70.19039485807416,32724.97294115035,1597.3042612150673,13915.933690197837,5094.376178778097,12172.872582643704,22333.419477080086
1.62,70.46266426232782,32308.487768889863,1550.0967862514772,14040.910296507349,4955.979426137335,11891.890596161069,21928.464708970732
1.6300000000000001,70.725609455738,31892.55436585414,1504.2845033098924,14164.233591449985,4821.194756191774,11616.584910152264,21528.495471281953
1.6400000000000001,70.97928918831117,31477.34752612592,1459.826178019905,14285.881563338966,4689.93421165425,11346.872641033788,21133.53727467393
1.6500000000000001,71.2237652071611,31063.0360891462,1416.6817943499625,14405.833310577898,4562.1116975830155,11082.670743161369,20743.611362559153
1.6600000000000001,71.4591021209208,30649.78301765132,1374.8125198934301,14524.069031073244,4437.64294910471,10823.896085603008,20358.73488650737
1.67,71.68536728023938,30237.74546303576,1334.1806697523782,14640.570011251555,4316.44551064993,10570.465529249563,19978.921054428225
1.68,71.90263065490628,29827.074840145953,1294.749672413541,14755.318614362344,4198.43871020815,10322.295998300513,19604.179284657865
1.69,72.11096471147461,29417.916906848302,1256.4840369159776,14868.298268174005,4083.543631882084,10079.304547484424,19234.515359458917
1.7,72.31044428849003,29010.411854222326,1219.3493216389822,14979.49345177339,3971.6830858809417,9841.40842243503,18869.931580826942
1.71,72.50114647887546,28604.69439143652,1183.3121032865477,15088.889682152301,3862.7815812938948,9608.52511949992,18510.426916103796
1.72,72.68315052052942,28200.89382344153,1148.3399458860165,15196.473500678778,3756.765302295223,9380.57244573543,18155.99713200742
1.73,72.85653768122981,27799.13414339642,1114.4013718646117,15302.232458620041,3653.562079579601,9157.468570779352,17806.63493604164
1.74,73.02139114660481,27399.534125682112,1081.4658339243572,15406.155102245575,3553.1013619451105,8939.132076128928,17462.330113583354
1.75,73.17779590692368,27002.20742603544,1049.5036883778794,15508.2309572382,3455.314185297392,8725.48199945481,17123.069666608408
1.76,73.32583865812943,26607.262664391194,1018.4861671768153,15608.450513757665,3360.1331503438655,8516.437882612116,16788.83793192207
1.77,73.46560769638305,26214.80352281113,988.3853523039003,15706.805210420085,3267.4923938645525,8311.919811981654,16459.616708774163
1.78,73.59719281656817,25824.92884210753,959.1741506430394,15803.287418085689,3177.327561264943,8111.8484569624825,16135.385380715741
1.79,73.72068520803562,25437.732729546915,930.8262704721424,15897.890422638793,3089.5757761555924,7916.145102187039,15816.121039834841
1.8,73.83617736275188,25053.30464757494,903.3161969494382,15990.60840890399,3004.1756161322314,7724.73168444968,15501.798596374776
1.81,73.94376298132863,24671.729511949507,876.6191690701444,16081.4364437092,2921.0670859876323,7537.530824067415,15192.390890147872
1.82,74.04353688075061,24293.08779161452,850.7111574151746,16170.370458652484,2840.1915906879726,7354.465853509344,14887.868799478374
1.83,74.13559490198259,23917.45561389516,825.5688430082151,16257.407232307505,2761.4919071542577,7175.460841511149,14588.201350081017
1.84,74.22003382277202,23544.90486410584,801.1695963011658,16342.544372702057,2684.9121578790255,7000.440617616064,14293.355817361858
1.85,74.29695127524637,23175.503280216475,777.4914563383817,16425.780300036116,2610.3977861723397,6829.330796889953,14003.297822670154
1.86,74.36644566222758,22809.31455467917,754.5131111690893,16507.11422874826,2537.895529587538,6662.057799532526,13717.991430932947
1.87,74.42861607661976,22446.398435772335,732.213878791753,16586.546149341237,2467.3533938416426,6498.548869269511,13437.399243427071
1.8800000000000001,74.48356222373737,22086.810825894623,710.5736884550613,16664.076810532366,2398.720627579028,6338.732090661756,13161.48248790557
1.8900000000000001,74.53138434610979,21730.603878809747,689.5730624589166,16739.707701428742,2331.947697551884,6182.5364049538975,12890.201105756967
1.9000000000000001,74.57218315022102,21377.82609793987,669.193098607941,16813.44103343027,2266.986263765032,6029.891624003342,12623.513836024698
1.9100000000000001,74.60605973287376,21028.52243951149,649.4154536429983,16885.279721733183,2203.78915363579,5880.728439981485,12361.378299850969
1.92,74.63311551362203,20682.734406449024,630.2223264606725,16955.22736751427,2142.3103384430265,5734.97843765825,12103.7510778094
1.93,74.65345216878336,20340.500142794364,611.5964419290864,17023.28824003961,2082.504909782198,5592.574104697867,11850.587785266216
1.94,74.66717156632933,20001.854530159693,593.5210354187525,17089.467258574892,2024.3290556736933,5453.448839291408,11601.843146556195
1.95,74.67437570297591,19666.829284619136,575.9798379199733,17153.769974000876,1967.7400368288922,5317.53695597863,11357.471065889375
1.96,74.67516664427362,19335.453048209572,558.9570612182499,17216.20255122402,1912.6961640233787,5184.773692240414,11117.424695728245
1.97,74.66964646653904,19007.75148072525,542.4373836224587,17276.771751429547,1859.1567755710741,5055.095213376799,10881.656502631973
1.98,74.65791720061071,18683.747351413185,526.4059361939429,17335.484914278353,1807.082214976743,4928.438615902508,10650.118330680609
1.99,74.6400807763611,18363.460633507882,510.848289651668,17392.349939824668,1756.4338083639386,4804.741928390377,10422.761462999135
2.0,74.61623897166244,18046.9085894838,495.75044110431196,17447.37527139161,1707.1738434440563,4683.944114571458,10199.536680050027
2.0100000000000002,74.58649336215767,17734.10585881182,481.0988014237296,17500.569878192782,1659.26554829079,4565.985074071654,9980.39431605843
2.02,74.55094527275665,17425.064545071556,466.8801830512265,17551.943238011754,1612.6730703249805,4450.805641977516,9765.284313398271
2.0300000000000002,74.50969573064754,17119.79430306282,453.0817883707094,17601.505319774864,1567.3614551576493,4338.347586593449,9554.156275619585
2.04,74.46284542129341,16818.302420538006,439.6911979217442,17649.26656695252,1523.2966269581925,4228.553609014355,9346.959516677294
2.05,74.41049464562974,16520.593900666176,426.69635923243743,17695.237880772806,1480.445368512559,4121.367340587773,9143.643109116887
2.06,74.35274327896967,16226.671543635066,414.08557600693814,17739.43060354263,1438.7753016289796,4016.733339520053,8944.155930064551
2.07,74.28969073125435,15936.536029427554,401.84749777994597,17781.856501806236,1398.2548677840061,3914.597085867701,8748.446704591615
2.08,74.22143591009737,15650.185992495288,389.9711094658564,17822.527750607587,1358.8533095297441,3814.904978596845,8556.46404856341
2.09,74.14807718481477,15367.618099194553,378.44572146676626,17861.456917379423,1320.540652002516,3717.6043304210284,8368.156508731197
2.1,74.06971235208763,15088.827123630943,367.2609600944116,17898.656946046627,1283.2876846969543,3622.6433620567846,8183.4726012657775
2.11,73.98643860302188,14813.80602296246,356.40675840134105,17934.141141192213,1247.065943325905,3529.9711953664587,8002.360848833403
2.12,73.89835249244985,14542.54600774507,345.8733468782554,17967.923152987554,1211.8476927979148,3439.5378481535877,7824.769815356675
2.13,73.80554990927347,14275.03661314353,335.6512447029982,18000.01696197827,1177.6059099786846,3351.294227079219,7650.648139626685
2.14,73.7081260483825,14011.265768817952,325.73125125547483,18030.436864036958,1144.314266833373,3265.1921201132063,7479.944567031844
2.15,73.60617538402607,13751.219867980017,316.1044379479552,18059.197455405396,1111.9471138439471,3181.184188251355,7312.607979508347
2.16,73.49979164467852,13494.883831758818,306.7621399970235,18086.31361861988,1080.4794640528332,3099.2239586297096,7148.587424913906
2.17,73.38906778923644,13242.24117446882,297.69594866235474,18111.800508182398,1049.8869772042692,3019.2658160096726,6987.832144239316
2.18,73.27409598445797,12993.274067734059,288.8977037396501,18135.673536474118,1020.1459441813587,2941.2649938179916,6830.291597424409
2.19,73.15496758369615,12747.963403154241,280.3594862785719,18157.948359917336,991.2332717580908,2865.1775649091874,6675.91548781576
2.2,73.03177310718952,12506.288850963225,272.07361130022554,18178.64086572574,963.1264678810359,2790.960433374299,6524.653785754828
2.21,72.90460222331546,12268.228919444327,264.03262091400404,18197.767158617437,935.8036270703761,2718.571325000468,6376.456750514186
2.22,72.7735437312989,12033.7610127838,256.22927768269915,18215.34354767578,909.2434160766778,2647.9687773772107,6231.274950822304
2.23,72.63868554498572,11802.861487066768,248.6565581207622,18231.38653359086,883.4250599037664,2579.11213014496,6089.059284392986
2.24,72.50011467754304,11575.505704090845,241.30764626107782,18245.912796396384,858.3283282537159,2511.9615156916243,5949.760996676213
2.25,72.35791722751212,11351.66808450133,234.17592754612073,18258.93918319708,833.9335221186108,2446.4778490397607,5813.331698093724
2.2600000000000002,72.21217836586652,11131.322160377857,227.25498295931328,18270.482696060273,810.221460664097,2382.6228171973007,5679.723379875777
2.27,72.06298232408582,10914.440625194798,220.5385832191817,18280.560480362907,787.1734684435792,2320.358869078742,5548.888429358688
