t,Pfr,Pr,Xi,Xa,prepreS,preS,Ya,S,V
0.66,9.36130874216684,0.0,6.0,0.0,200.0,0.0,0.842517786795015,0.00011595076852232095,49.999999999986514
0.67,9.351952112039713,0.0,6.0,0.0,200.0,0.0,0.8416756900835738,0.00011718529019230105,49.99999999998586
0.68,9.342604833828329,0.0,6.0,0.0,200.0,0.0,0.8408344350445491,0.0001184075344391519,49.999999999985185
0.6900000000000001,9.333266898205718,0.0,6.0,0.0,200.0,0.0,0.8399940208385142,0.00011961761694021189,49.999999999984496
0.7000000000000001,9.323938295858179,0.0,6.0,0.0,200.0,0.0,0.8391544466272356,0.00012081565115101465,49.999999999983785
0.71,9.314619017485276,0.0,6.0,0.0,200.0,0.0,0.8383157115736743,0.00012200174830528895,49.99999999998306
0.72,9.305309053799842,0.0,6.0,0.0,200.0,0.0,0.8374778148419852,0.00012317601741495884,49.999999999982315
0.73,9.296008395527974,0.0,6.0,0.0,200.0,0.0,0.836640755597517,0.00012433856527014353,49.99999999998155
0.74,9.286717033409035,0.0,6.0,0.0,200.0,0.0,0.8358045330068126,0.00012548949643915742,49.99999999998076
0.75,9.277434958141964,0.0,6.0,0.0,200.0,0.0,0.8349691462327762,0.00012662892882780581,49.999999999979956
0.76,9.26816216020294,0.0,6.0,0.0,200.0,0.0,0.8341345944182641,0.00012775704651664366,49.99999999997913
0.77,9.258898630285042,0.0,6.0,0.0,200.0,0.0,0.8333008767256532,0.0001288739723550022,49.999999999978286
0.78,9.249644359128094,0.0,6.0,0.0,200.0,0.0,0.832467992321528,0.00012997981726809438,49.99999999997742
0.79,9.240399337482996,0.0,6.0,0.0,200.0,0.0,0.8316359403734692,0.00013107469059424933,49.99999999997654
0.8,9.231163556111724,0.0,6.0,0.0,200.0,0.0,0.8308047200500547,0.00013215870008491225,49.999999999975635
0.81,9.221937005787327,0.0,6.0,0.0,200.0,0.0,0.8299743305208589,0.00013323195190464445,49.99999999997472
0.8200000000000001,9.21271967729393,0.0,6.0,0.0,200.0,0.0,0.8291447709564532,0.0001342945506311234,49.999999999973774
0.8300000000000001,9.203511561426737,0.0,6.0,0.0,200.0,0.0,0.8283160405284058,0.00013534659925514272,49.999999999972815
0.84,9.194312648992021,0.0,6.0,0.0,200.0,0.0,0.8274881384092814,0.00013638819918061204,49.999999999971834
0.85,9.185122930807136,0.0,6.0,0.0,200.0,0.0,0.8266610637726417,0.0001374194502245572,49.99999999997084
0.86,9.175942397700508,0.0,6.0,0.0,200.0,0.0,0.8258348157930452,0.00013844045061712015,49.99999999996982
0.87,9.16677104051164,0.0,6.0,0.0,200.0,0.0,0.825009393646047,0.00013945129700155897,49.999999999968786
0.88,9.157608850091107,0.0,6.0,0.0,200.0,0.0,0.8241847965081992,0.00014045208443424782,49.99999999996773
0.89,9.148455817300565,0.0,6.0,0.0,200.0,0.0,0.8233610235570504,0.000141442906384677,49.999999999966654
0.9,9.139311933012742,0.0,6.0,0.0,200.0,0.0,0.8225380739711463,0.00014242385473545296,49.99999999996557
0.91,9.13017718811144,0.0,6.0,0.0,200.0,0.0,0.8217159469300293,0.00014339501978229821,49.99999999996445
0.92,9.12105157349154,0.0,6.0,0.0,200.0,0.0,0.8208946416142382,0.00014435649023405143,49.99999999996332
0.93,9.111935080058995,0.0,6.0,0.0,200.0,0.0,0.820074157205309,0.00014530835321266742,49.99999999996218
0.9400000000000001,9.102827698730833,0.0,6.0,0.0,200.0,0.0,0.8192544928857745,0.00014625069425321707,49.99999999996101
0.9500000000000001,9.09372942043516,0.0,6.0,0.0,200.0,0.0,0.8184356478391639,0.00014718359730388743,49.999999999959826
0.96,9.084640236111158,0.0,6.0,0.0,200.0,0.0,0.8176176212500036,0.00014810714472598163,49.999999999958625
0.97,9.075560136656183,0.0,6.0,0.0,200.0,0.0,0.8168004122990559,0.00014902143363082411,49.99999999995741
0.98,9.066489112780891,0.0,6.0,0.0,200.0,0.0,0.8159840201502796,0.000149926620626828,49.99999999995617
0.99,9.057427155387701,0.0,6.0,0.0,200.0,0.0,0.8151684439848926,0.00015082280493045085,49.999999999954916
1.0,9.048374255414469,0.0,6.0,0.0,200.0,0.0,0.8143536829873016,0.00015171007664696796,49.99999999995364
1.01,9.039330403808227,0.0,6.0,0.0,200.0,0.0,0.8135397363427398,0.00015258852488081066,49.99999999995235
1.02,9.030295591525187,0.0,6.0,0.0,200.0,0.0,0.8127266032372662,0.0001534582377355663,49.99999999995104
1.03,9.021269809530736,0.0,6.0,0.0,200.0,0.0,0.8119142828577657,0.00015431930231397833,49.99999999994971
1.04,9.012253048799442,0.0,6.0,0.0,200.0,0.0,0.8111027743919492,0.00015517180471794618,49.999999999948365
1.05,9.00324530031505,0.0,6.0,0.0,200.0,0.0,0.8102920770283539,0.00015601583004852537,49.99999999994701
1.06,8.994246555070482,0.0,6.0,0.0,200.0,0.0,0.8094821899563429,0.00015685146240592747,49.99999999994563
1.07,8.98525680406784,0.0,6.0,0.0,200.0,0.0,0.808673112366105,0.00015767878488952004,49.99999999994423
1.08,8.976276038318398,0.0,6.0,0.0,200.0,0.0,0.8078648434486553,0.00015849787959782674,49.999999999942816
1.09,8.967304248842614,0.0,6.0,0.0,200.0,0.0,0.8070573823958347,0.00015930882762852728,49.99999999994139
1.1,8.958341426670122,0.0,6.0,0.0,200.0,0.0,0.8062507284003104,0.00016011170907845735,49.999999999939945
1.11,8.949387562839734,0.0,6.0,0.0,200.0,0.0,0.8054448806555755,0.00016090660304360875,49.99999999993848
1.12,8.940442648399438,0.0,6.0,0.0,200.0,0.0,0.8046398383559488,0.0001616935876191293,49.999999999937
1.1300000000000001,8.9315066744064,0.0,6.0,0.0,200.0,0.0,0.8038356006965754,0.00016247273989932287,49.99999999993551
1.1400000000000001,8.922579631926967,0.0,6.0,0.0,200.0,0.0,0.8030321668734265,0.00016324413597764936,49.999999999934005
1.1500000000000001,8.913661512036661,0.0,6.0,0.0,200.0,0.0,0.8022295360832989,0.00016400785094672474,49.99999999993248
1.16,8.904752305820184,0.0,6.0,0.0,200.0,0.0,0.801427707523816,0.000164763958898321,49.99999999993094
1.17,8.895852004371411,0.0,6.0,0.0,200.0,0.0,0.8006266803934264,0.00016551253292336617,49.999999999929386
1.18,8.886960598793399,0.0,6.0,0.0,200.0,0.0,0.7998264538914054,0.0001662536451119444,49.999999999927816
1.19,8.878078080192289,0.0,6.0,0.0,200.0,0.0,0.7990270272173056,0.00016698737170880204,49.99999999992624
1.2,8.869204439664003,0.0,6.0,0.0,200.0,0.0,0.7982283995697598,0.00016771380435606306,49.99999999992464
1.21,8.860339668332415,0.0,6.0,0.0,200.0,0.0,0.7974305701499169,0.00016843301782141183,49.99999999992303
1.22,8.851483757332629,0.0,6.0,0.0,200.0,0.0,0.7966335381599361,0.00016914508413650884,49.9999999999214
1.23,8.842636697808729,0.0,6.0,0.0,200.0,0.0,0.7958373028027851,0.00016985007449598987,49.99999999991976
1.24,8.833798480913789,0.0,6.0,0.0,200.0,0.0,0.7950418632822405,0.00017054805925746595,49.9999999999181
1.25,8.824969097809861,0.0,6.0,0.0,200.0,0.0,0.794247218802887,0.00017123910794152343,49.99999999991643
1.26,8.816148539667985,0.0,6.0,0.0,200.0,0.0,0.7934533685701182,0.00017192328923172384,49.999999999914756
1.27,8.807336797668185,0.0,6.0,0.0,200.0,0.0,0.7926603117901362,0.00017260067097460405,49.99999999991306
1.28,8.79853386299947,0.0,6.0,0.0,200.0,0.0,0.7918680476699518,0.00017327132017967616,49.999999999911346
1.29,8.789739726859827,0.0,6.0,0.0,200.0,0.0,0.791076575417384,0.00017393530301942754,49.999999999909626
1.3,8.780954380456235,0.0,6.0,0.0,200.0,0.0,0.7902858942410607,0.00017459268482932083,49.99999999990789
1.31,8.772177815004651,0.0,6.0,0.0,200.0,0.0,0.7894960033504181,0.00017524353010779398,49.999999999906144
1.32,8.763410021730023,0.0,6.0,0.0,200.0,0.0,0.7887069019557015,0.0001758879025162601,49.99999999990438
1.33,8.754650991866274,0.0,6.0,0.0,200.0,0.0,0.7879185892679641,0.00017652586487910772,49.99999999990261
1.34,8.745900716656317,0.0,6.0,0.0,200.0,0.0,0.7871310644990681,0.0001771574791837005,49.99999999990083
1.35,8.73715918735205,0.0,6.0,0.0,200.0,0.0,0.7863443268616841,0.0001777828065803774,49.99999999989903
1.36,8.728426395214353,0.0,6.0,0.0,200.0,0.0,0.7855583755692913,0.00017840190738245272,49.99999999989723
1.37,8.719702331513089,0.0,6.0,0.0,200.0,0.0,0.7847732098361775,0.00017901484106621596,49.99999999989541
1.3800000000000001,8.710986987527106,0.0,6.0,0.0,200.0,0.0,0.783988828877439,0.00017962166627093188,49.99999999989358
1.3900000000000001,8.702280354544238,0.0,6.0,0.0,200.0,0.0,0.7832052319089808,0.00018022244079884053,49.99999999989174
1.4000000000000001,8.693582423861299,0.0,6.0,0.0,200.0,0.0,0.7824224181475165,0.00018081722161515724,49.999999999889894
1.41,8.684893187105454,0.0,6.0,0.0,200.0,0.0,0.7816403868394902,0.00018140578808420845,49.99999999988804
1.42,8.67621263483903,0.0,6.0,0.0,200.0,0.0,0.7808591371355122,0.00018198884352855365,49.99999999988617
1.43,8.66754075879034,0.0,6.0,0.0,200.0,0.0,0.78007866829113,0.00018256609400340974,49.99999999988429
1.44,8.658877550285627,0.0,6.0,0.0,200.0,0.0,0.7792989795257059,0.0001831375987299686,49.9999999998824
1.45,8.650223000660098,0.0,6.0,0.0,200.0,0.0,0.7785200700594083,0.00018370341611287228,49.999999999880494
1.46,8.641577101257909,0.0,6.0,0.0,200.0,0.0,0.7777419391132112,0.0001842636037479313,49.99999999987858
1.47,8.632939843432162,0.0,6.0,0.0,200.0,0.0,0.7769645859088941,0.0001848182184298429,49.999999999876664
1.48,8.62431121854489,0.0,6.0,0.0,200.0,0.0,0.7761880096690394,0.00018536731615990937,49.99999999987474
1.49,8.615691217967049,0.0,6.0,0.0,200.0,0.0,0.7754122096170339,0.00018591095215375616,49.9999999998728
1.5,8.607079833078515,0.0,6.0,0.0,200.0,0.0,0.7746371849770658,0.00018644918084905032,49.99999999987085
1.51,8.598477055268068,0.0,6.0,0.0,200.0,0.0,0.7738629349741255,0.00018698205591321872,49.9999999998689
1.52,8.589882875933384,0.0,6.0,0.0,200.0,0.0,0.7730894588340039,0.00018750963025116623,49.99999999986694
1.53,8.58129728648103,0.0,6.0,0.0,200.0,0.0,0.7723167557832921,0.00018803195601299413,49.99999999986497
1.54,8.57272027832645,0.0,6.0,0.0,200.0,0.0,0.77154482504938,0.00018854908460171817,49.99999999986299
1.55,8.564151842893965,0.0,6.0,0.0,200.0,0.0,0.7707736658604563,0.0001890610666809871,49.999999999861004
1.56,8.55559197161675,0.0,6.0,0.0,200.0,0.0,0.7700032774455069,0.00018956795218280073,49.999999999859014
1.57,8.547040655936836,0.0,6.0,0.0,200.0,0.0,0.7692336590343147,0.00019006979031522829,49.99999999985701
1.58,8.5384978873051,0.0,6.0,0.0,200.0,0.0,0.7684648098574586,0.00019056662957012667,49.99999999985501
1.59,8.529963657181252,0.0,6.0,0.0,200.0,0.0,0.7676967291463122,0.0001910585177308587,49.99999999985299
1.6,8.521437957033825,0.0,6.0,0.0,200.0,0.0,0.7669294161330438,0.0001915455018800114,49.99999999985097
1.61,8.512920778340174,0.0,6.0,0.0,200.0,0.0,0.7661628700506151,0.0001920276284071143,49.99999999984894
1.62,8.50441211258646,0.0,6.0,0.0,200.0,0.0,0.7653970901327808,0.00019250494301635757,49.99999999984691
1.6300000000000001,8.495911951258655,0.0,6.0,0.0,200.0,0.0,0.7646320756132785,0.00019297749685849108,49.99999999984487
1.6400000000000001,8.487420285831547,0.0,6.0,0.0,200.0,0.0,0.7638678257248388,0.00019344535403437884,49.99999999984282
1.6500000000000001,8.478937107811795,0.0,6.0,0.0,200.0,0.0,0.7631043397030611,0.0001939085622385712,49.99999999984077
1.6600000000000001,8.470462408716424,0.0,6.0,0.0,200.0,0.0,0.7623416167844776,0.000194367167429298,49.999999999838714
1.67,8.461996180071026,0.0,6.0,0.0,200.0,0.0,0.7615796562063918,0.00019482121504788642,49.99999999983665
1.68,8.453538413409756,0.0,6.0,0.0,200.0,0.0,0.7608184572068775,0.00019527075002883214,49.999999999834586
1.69,8.445089100275316,0.0,6.0,0.0,200.0,0.0,0.760058019024778,0.0001957158168098701,49.99999999983252
1.7,8.436648232218946,0.0,6.0,0.0,200.0,0.0,0.7592983408997047,0.00019615645934204577,49.999999999830436
1.71,8.428215800800405,0.0,6.0,0.0,200.0,0.0,0.7585394220720361,0.00019659272109978605,49.99999999982836
1.72,8.419791797587967,0.0,6.0,0.0,200.0,0.0,0.7577812617829166,0.00019702464509097032,49.99999999982627
1.73,8.4113762141584,0.0,6.0,0.0,200.0,0.0,0.7570238592742555,0.00019745227386700143,49.99999999982418
1.74,8.402969042096961,0.0,6.0,0.0,200.0,0.0,0.756267213788726,0.00019787564953287684,49.999999999822094
1.75,8.394570272997376,0.0,6.0,0.0,200.0,0.0,0.7555113245697633,0.00019829481375725942,49.99999999981999
1.76,8.386179898461839,0.0,6.0,0.0,200.0,0.0,0.754756190861565,0.00019870980778254873,49.999999999817895
1.77,8.377797910100984,0.0,6.0,0.0,200.0,0.0,0.7540018119090881,0.00019912067243495183,49.99999999981579
1.78,8.36942429953389,0.0,6.0,0.0,200.0,0.0,0.7532481869580496,0.00019952744813455444,49.99999999981368
1.79,8.361059058388053,0.0,6.0,0.0,200.0,0.0,0.7524953152549243,0.0001999301749053919,49.99999999981157
1.8,8.352702178299381,0.0,6.0,0.0,200.0,0.0,0.751743196046944,0.0002003288923855202,49.99999999980946
1.81,8.344353650912188,0.0,6.0,0.0,200.0,0.0,0.7509918285820963,0.00020072363983708702,49.99999999980734
1.82,8.336013467879162,0.0,6.0,0.0,200.0,0.0,0.7502412121091242,0.0002011144561564027,49.999999999805226
1.83,8.327681620861378,0.0,6.0,0.0,200.0,0.0,0.7494913458775235,0.00020150137988401133,49.9999999998031
1.84,8.319358101528262,0.0,6.0,0.0,200.0,0.0,0.7487422291375432,0.00020188444921476176,49.999999999800984
1.85,8.311042901557599,0.0,6.0,0.0,200.0,0.0,0.7479938611401834,0.00020226370200787856,49.99999999979886
1.86,8.302736012635501,0.0,6.0,0.0,200.0,0.0,0.7472462411371946,0.0002026391757970331,49.99999999979673
1.87,8.294437426456412,0.0,6.0,0.0,200.0,0.0,0.7464993683810766,0.00020301090780041462,49.9999999997946
1.8800000000000001,8.286147134723082,0.0,6.0,0.0,200.0,0.0,0.745753242125077,0.0002033789349308011,49.99999999979247
1.8900000000000001,8.277865129146567,0.0,6.0,0.0,200.0,0.0,0.7450078616231905,0.0002037432938056304,49.99999999979034
1.9000000000000001,8.269591401446206,0.0,6.0,0.0,200.0,0.0,0.744263226130158,0.00020410402075707128,49.99999999978821
1.9100000000000001,8.261325943349613,0.0,6.0,0.0,200.0,0.0,0.7435193349014647,0.0002044611518420944,49.99999999978608
1.92,8.253068746592666,0.0,6.0,0.0,200.0,0.0,0.7427761871933395,0.00020481472285254328,49.99999999978394
1.93,8.24481980291949,0.0,6.0,0.0,200.0,0.0,0.7420337822627537,0.00020516476932520546,49.99999999978181
1.94,8.236579104082452,0.0,6.0,0.0,200.0,0.0,0.7412921193674202,0.00020551132655188343,49.99999999977967
1.95,8.22834664184214,0.0,6.0,0.0,200.0,0.0,0.7405511977657921,0.0002058544295894656,49.99999999977753
1.96,8.220122407967356,0.0,6.0,0.0,200.0,0.0,0.7398110167170615,0.00020619411326999742,49.99999999977539
1.97,8.211906394235102,0.0,6.0,0.0,200.0,0.0,0.7390715754811586,0.00020653041221075242,49.99999999977326
1.98,8.203698592428964,0.0,6.0,0.0,200.0,0.0,0.7383328733186062,0.0002068633578356482,49.99999999977112
1.99,8.195498994337129,0.0,6.0,0.0,200.0,0.0,0.7375949094903411,0.00020719297472728264,49.99999999976898
2.0,8.187307591760076,0.0,6.0,0.0,200.0,0.0,0.7368576832584064,0.00020751929496697026,49.99999999976684
2.0100000000000002,8.179124376506723,0.0,6.0,0.0,200.0,0.0,0.7361211938856046,0.00020784235098949243,49.99999999976471
2.02,8.170949340394085,0.0,6.0,0.0,200.0,0.0,0.7353854406354671,0.00020816217500184788,49.99999999976257
2.0300000000000002,8.16278247524727,0.0,6.0,0.0,200.0,0.0,0.7346504227722539,0.00020847879899217576,49.99999999976044
2.04,8.15462377289947,0.0,6.0,0.0,200.0,0.0,0.7339161395609519,0.00020879225473867836,49.9999999997583
2.05,8.146473225191935,0.0,6.0,0.0,200.0,0.0,0.7331825902672737,0.00020910257381854402,49.99999999975617
2.06,8.13833082397397,0.0,6.0,0.0,200.0,0.0,0.7324497741576569,0.00020940978761687005,49.99999999975404
2.07,8.130196561102919,0.0,6.0,0.0,200.0,0.0,0.7317176904992622,0.00020971392733558537,49.999999999751914
2.08,8.12207042844415,0.0,6.0,0.0,200.0,0.0,0.7309863385599731,0.00021001502400237366,49.99999999974978
2.09,8.113952417871047,0.0,6.0,0.0,200.0,0.0,0.7302557176083938,0.00021031310847959597,49.99999999974766
2.1,8.105842521264993,0.0,6.0,0.0,200.0,0.0,0.7295258269138489,0.00021060821147321374,49.99999999974553
2.11,8.097740730515357,0.0,6.0,0.0,200.0,0.0,0.7287966657463816,0.00021090036354171155,49.99999999974341
2.12,8.089647037519478,0.0,6.0,0.0,200.0,0.0,0.7280682333767526,0.00021118959510502006,49.99999999974129
2.13,8.081561434182667,0.0,6.0,0.0,200.0,0.0,0.7273405290764396,0.00021147593645343878,49.999999999739174
2.14,8.073483912418173,0.0,6.0,0.0,200.0,0.0,0.726613552117635,0.00021175941775655906,49.99999999973706
2.15,8.06541446414718,0.0,6.0,0.0,200.0,0.0,0.7258873017732457,0.00021204006907218673,49.999999999734946
2.16,8.057353081298798,0.0,6.0,0.0,200.0,0.0,0.7251617773168914,0.00021231792035526518,49.999999999732836
2.17,8.049299755810045,0.0,6.0,0.0,200.0,0.0,0.7244369780229036,0.00021259300146679813,49.999999999730726
2.18,8.041254479625833,0.0,6.0,0.0,200.0,0.0,0.7237129031663245,0.00021286534218277242,49.999999999728615
2.19,8.033217244698957,0.0,6.0,0.0,200.0,0.0,0.7229895520229056,0.00021313497220308095,49.99999999972651
2.2,8.02518804299008,0.0,6.0,0.0,200.0,0.0,0.7222669238691068,0.00021340192116044555,49.999999999724416
2.21,8.017166866467727,0.0,6.0,0.0,200.0,0.0,0.721545017982095,0.00021366621862933975,49.99999999972232
2.22,8.009153707108261,0.0,6.0,0.0,200.0,0.0,0.7208238336397431,0.0002139278941349117,49.999999999720224
2.23,8.00114855689588,0.0,6.0,0.0,200.0,0.0,0.7201033701206286,0.000214186977161907,49.99999999971813
2.24,7.993151407822592,0.0,6.0,0.0,200.0,0.0,0.7193836267040328,0.00021444349716359163,49.99999999971604
2.25,7.985162251888217,0.0,6.0,0.0,200.0,0.0,0.718664602669939,0.00021469748357067468,49.99999999971396
2.2600000000000002,7.9771810811003645,0.0,6.0,0.0,200.0,0.0,0.7179462972990324,0.0002149489658002313,49.999999999711875
2.27,7.969207887474421,0.0,6.0,0.0,200.0,0.0,0.7172287098726975,0.0002151979732646255,49.99999999970979
2.2800000000000002,7.96124266303354,0.0,6.0,0.0,200.0,0.0,0.7165118396730181,0.0002154445353804331,49.99999999970772
2.29,7.953285399808625,0.0,6.0,0.0,200.0,0.0,0.7157956859827758,0.0002156886815773644,49.99999999970564
2.3000000000000003,7.945336089838321,0.0,6.0,0.0,200.0,0.0,0.7150802480854485,0.00021593044130718735,49.999999999703576
2.31,7.937394725168998,0.0,6.0,0.0,200.0,0.0,0.7143655252652094,0.00021616984405265004,49.99999999970151
2.32,7.929461297854741,0.0,6.0,0.0,200.0,0.0,0.7136515168069262,0.0002164069193364038,49.99999999969944
