t,T2,LT2,T2R,T3,Bp,T2p,Yp,LT3,T3R,T4,T3p,LT4,T4p,LT2p,T2pR,LT3p,T3pR,LT4p,LT2R,LT3R,LT2pR,LT3pR
0.22,2.125375453e-314,2.1253808244e-314,2.129013033e-314,2.1745824545e-314,2.174582494e-314,2.125379358e-314,2.174421666e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1738953317e-314,2.1253755004e-314,2.1253815833e-314,2.1253755004e-314,2.1253808244e-314,2.1290304557e-314,2.174600905e-314,2.1745474035e-314,2.125379358e-314,2.1744216974e-314,2.1290304557e-314,2.125381536e-314
0.23,2.1290304557e-314,2.1738953555e-314,2.125375516e-314,2.1253815833e-314,2.125375516e-314,2.1253808244e-314,2.1290304557e-314,2.174601332e-314,2.174547459e-314,2.125379358e-314,2.174421729e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.173895379e-314,2.125375532e-314,2.1253815833e-314,2.125375532e-314,2.1253808244e-314,2.1290304557e-314,2.1746014267e-314,2.174547514e-314
0.24,2.125379358e-314,2.1744217607e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.173895403e-314,2.125375548e-314,2.1253815833e-314,2.125375548e-314,2.1253808244e-314,2.1290304557e-314,2.1745475695e-314,2.174547625e-314,2.125379358e-314,2.1744217923e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1738954266e-314,2.1253755636e-314,2.1253815833e-314,2.1253755636e-314
0.25,2.1253808244e-314,2.1290304557e-314,2.174601711e-314,2.17454768e-314,2.125379358e-314,2.174421824e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1738954503e-314,2.1253755794e-314,2.1253815833e-314,2.1253755794e-314,2.1253808244e-314,2.1290304557e-314,2.1745477356e-314,2.174547791e-314,2.125379358e-314,2.1744218555e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314
0.26,2.173895474e-314,2.125375595e-314,2.1253815833e-314,2.125375595e-314,2.1253808244e-314,2.1290304557e-314,2.1746017587e-314,2.174547846e-314,2.125379358e-314,2.173895498e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1738955215e-314,2.125375469e-314,2.1253815833e-314,2.125375469e-314,2.1253808244e-314,2.129013033e-314,2.1745825336e-314,2.174582573e-314,2.125379358e-314
0.27,2.173895545e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.173895569e-314,2.1253754846e-314,2.1253815833e-314,2.1253754846e-314,2.1253808244e-314,2.129013033e-314,2.1745826126e-314,2.174582652e-314,2.125379358e-314,2.174421887e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1738955926e-314,2.125375611e-314,2.1253815833e-314,2.125375611e-314,2.1253808244e-314
0.28,2.1290304557e-314,2.174601047e-314,2.1745479016e-314,2.125379358e-314,2.174421919e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1738956163e-314,2.125375627e-314,2.1253815833e-314,2.125375627e-314,2.1253808244e-314,2.1290304557e-314,2.174601474e-314,2.174547957e-314,2.125379358e-314,2.1744219504e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.17389564e-314
0.29,2.1253756427e-314,2.1253815833e-314,2.1253756427e-314,2.1253808244e-314,2.1290304557e-314,2.174601901e-314,2.174548012e-314,2.125379358e-314,2.174421982e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.1253805636e-314,2.1253753265e-314,2.1253815833e-314,2.1253753265e-314,2.1253808244e-314,2.129030361e-314,2.1744192627e-314,2.1745826917e-314,2.125379358e-314,2.1744192943e-314
0.3,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.173895664e-314,2.1253759114e-314,2.1253815833e-314,2.1253759114e-314,2.1253808244e-314,2.1290304557e-314,2.174419326e-314,2.174582731e-314,2.125379358e-314,2.1738956875e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.173895711e-314,2.1253755004e-314,2.1253815833e-314,2.1253755004e-314,2.1253808244e-314,2.129013033e-314
0.31,2.1745827707e-314,2.1745828103e-314,2.125379358e-314,2.173895735e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1738957586e-314,2.125375516e-314,2.1253815833e-314,2.125375516e-314,2.1253808244e-314,2.129013033e-314,2.17458285e-314,2.1745828893e-314,2.125379358e-314,2.1744193575e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.1253805873e-314,2.1253753423e-314
0.32,2.1253815833e-314,2.1253753423e-314,2.1253808244e-314,2.129030361e-314,2.174419389e-314,2.174582929e-314,2.125379358e-314,2.174419421e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1738957823e-314,2.1253759272e-314,2.1253815833e-314,2.1253759272e-314,2.1253808244e-314,2.1290304557e-314,2.1744194524e-314,2.1745829684e-314,2.125379358e-314,2.173895806e-314,2.129013033e-314
0.33,2.125381536e-314,2.129013033e-314,2.17389583e-314,2.125375532e-314,2.1253815833e-314,2.125375532e-314,2.1253808244e-314,2.129013033e-314,2.174583008e-314,2.1745830474e-314,2.125379358e-314,2.1738958535e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.173895877e-314,2.125375548e-314,2.1253815833e-314,2.125375548e-314,2.1253808244e-314,2.129013033e-314,2.174583087e-314
0.34,2.1745831265e-314,2.125379358e-314,2.1738959246e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1738959483e-314,2.1253755636e-314,2.1253815833e-314,2.1253755636e-314,2.1253808244e-314,2.129013033e-314,2.174583166e-314,2.1745832055e-314,2.125379358e-314,2.174419484e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.125380611e-314,2.125375358e-314,2.1253815833e-314
0.35000000000000003,2.125375358e-314,2.1253808244e-314,2.129030361e-314,2.1744195156e-314,2.174583245e-314,2.125379358e-314,2.1744195473e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.173895972e-314,2.125375943e-314,2.1253815833e-314,2.125375943e-314,2.1253808244e-314,2.1290304557e-314,2.174419579e-314,2.1745832846e-314,2.125379358e-314,2.1738960195e-314,2.129013033e-314,2.125381536e-314
0.36,2.129013033e-314,2.173896043e-314,2.1253755794e-314,2.1253815833e-314,2.1253755794e-314,2.1253808244e-314,2.129013033e-314,2.174583324e-314,2.1745833636e-314,2.125379358e-314,2.1744196105e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.173896067e-314,2.1253756585e-314,2.1253815833e-314,2.1253756585e-314,2.1253808244e-314,2.1290304557e-314,2.174601806e-314,2.1745480676e-314
0.37,2.125379358e-314,2.174419642e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1738961143e-314,2.1253756743e-314,2.1253815833e-314,2.1253756743e-314,2.1253808244e-314,2.1290304557e-314,2.174548123e-314,2.174548178e-314,2.125379358e-314,2.1744196737e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.173896138e-314,2.12537569e-314,2.1253815833e-314,2.12537569e-314
0.38,2.1253808244e-314,2.1290304557e-314,2.174601996e-314,2.1745482336e-314,2.125379358e-314,2.1744197054e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.173896162e-314,2.125375706e-314,2.1253815833e-314,2.125375706e-314,2.1253808244e-314,2.1290304557e-314,2.174548289e-314,2.174548344e-314,2.125379358e-314,2.174419737e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314
0.39,2.1738961855e-314,2.1253757217e-314,2.1253815833e-314,2.1253757217e-314,2.1253808244e-314,2.1290304557e-314,2.1746011895e-314,2.1745483996e-314,2.125379358e-314,2.1744197686e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.1253806347e-314,2.125375374e-314,2.1253815833e-314,2.125375374e-314,2.1253808244e-314,2.129030361e-314,2.1744198e-314,2.174583403e-314,2.125379358e-314
0.4,2.174419832e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.173896209e-314,2.125375959e-314,2.1253815833e-314,2.125375959e-314,2.1253808244e-314,2.1290304557e-314,2.1744198635e-314,2.1745834427e-314,2.125379358e-314,2.173896233e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1738962566e-314,2.125375595e-314,2.1253815833e-314,2.125375595e-314,2.1253808244e-314
0.41000000000000003,2.129013033e-314,2.174583482e-314,2.1745835217e-314,2.125379358e-314,2.174419895e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1738962804e-314,2.1253757375e-314,2.1253815833e-314,2.1253757375e-314,2.1253808244e-314,2.1290304557e-314,2.1746019484e-314,2.174548455e-314,2.125379358e-314,2.1744199267e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.173896304e-314
0.42,2.1253757533e-314,2.1253815833e-314,2.1253757533e-314,2.1253808244e-314,2.1290304557e-314,2.17454851e-314,2.1745485656e-314,2.125379358e-314,2.1744199583e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1738963515e-314,2.125375769e-314,2.1253815833e-314,2.125375769e-314,2.1253808244e-314,2.1290304557e-314,2.174601664e-314,2.174548621e-314,2.125379358e-314,2.17441999e-314
0.43,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.173896375e-314,2.125375785e-314,2.1253815833e-314,2.125375785e-314,2.1253808244e-314,2.1290304557e-314,2.1745486763e-314,2.1745487316e-314,2.125379358e-314,2.1736720773e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.173896399e-314,2.125375801e-314,2.1253815833e-314,2.125375801e-314,2.1253808244e-314,2.1290304557e-314
0.44,2.1746018535e-314,2.174548787e-314,2.125379358e-314,2.173672109e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1738964464e-314,2.1253758166e-314,2.1253815833e-314,2.1253758166e-314,2.1253808244e-314,2.1290304557e-314,2.174602233e-314,2.1745488423e-314,2.125379358e-314,2.1736721406e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.1253806584e-314,2.1253753897e-314
0.45,2.1253815833e-314,2.1253753897e-314,2.1253808244e-314,2.129030361e-314,2.173672172e-314,2.174583561e-314,2.125379358e-314,2.173672204e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.17389647e-314,2.1253759747e-314,2.1253815833e-314,2.1253759747e-314,2.1253808244e-314,2.1290304557e-314,2.1736722354e-314,2.174583601e-314,2.125379358e-314,2.173896494e-314,2.129013033e-314
0.46,2.125381536e-314,2.129013033e-314,2.173896541e-314,2.125375611e-314,2.1253815833e-314,2.125375611e-314,2.1253808244e-314,2.129013033e-314,2.1745836403e-314,2.17458368e-314,2.125379358e-314,2.173672267e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.125380682e-314,2.1253754055e-314,2.1253815833e-314,2.1253754055e-314,2.1253808244e-314,2.129030361e-314,2.1736722987e-314
0.47000000000000003,2.1745837193e-314,2.125379358e-314,2.1736723303e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.173896565e-314,2.1253759905e-314,2.1253815833e-314,2.1253759905e-314,2.1253808244e-314,2.1290304557e-314,2.173672362e-314,2.174583759e-314,2.125379358e-314,2.1738965887e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1738966124e-314,2.125375627e-314,2.1253815833e-314
0.48,2.125375627e-314,2.1253808244e-314,2.129013033e-314,2.1745837984e-314,2.174583838e-314,2.125379358e-314,2.1736723935e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.125380706e-314,2.1253754213e-314,2.1253815833e-314,2.1253754213e-314,2.1253808244e-314,2.129030361e-314,2.173672425e-314,2.1745838774e-314,2.125379358e-314,2.173672457e-314,2.1290304557e-314,2.125381536e-314
0.49,2.1290304557e-314,2.173896636e-314,2.1253758324e-314,2.1253815833e-314,2.1253758324e-314,2.1253808244e-314,2.1290304557e-314,2.1736724884e-314,2.174583917e-314,2.125379358e-314,2.17367252e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.17389666e-314,2.125375848e-314,2.1253815833e-314,2.125375848e-314,2.1253808244e-314,2.1290304557e-314,2.1745488976e-314,2.174548953e-314
0.5,2.125379358e-314,2.1736725516e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1738966835e-314,2.125375864e-314,2.1253815833e-314,2.125375864e-314,2.1253808244e-314,2.1290304557e-314,2.1746022804e-314,2.1745490083e-314,2.125379358e-314,2.173896731e-314,2.1290302976e-314,2.125381536e-314,2.1290302976e-314,2.125380516e-314,2.125375295e-314,2.1253815833e-314,2.125375295e-314
0.51,2.1253808244e-314,2.1290302976e-314,2.1745839565e-314,2.174583996e-314,2.125379358e-314,2.1738967547e-314,2.1290302976e-314,2.125381536e-314,2.1290302976e-314,2.1253805873e-314,2.1253753423e-314,2.1253815833e-314,2.1253753423e-314,2.1253808244e-314,2.1290302976e-314,2.1745840355e-314,2.174584075e-314,2.125379358e-314,2.173896802e-314,2.1290302976e-314,2.125381536e-314,2.1290302976e-314
0.52,2.1253807296e-314,2.125375437e-314,2.1253815833e-314,2.125375437e-314,2.1253808244e-314,2.1290302976e-314,2.1745841146e-314,2.174584154e-314,2.125379358e-314,2.173896826e-314,2.1290302976e-314,2.125381536e-314,2.1290302976e-314,2.1253806347e-314,2.125375374e-314,2.1253815833e-314,2.125375374e-314,2.1253808244e-314,2.1290302976e-314,2.1745841936e-314,2.174584233e-314,2.125379358e-314
0.53,2.173896873e-314,2.1290302976e-314,2.125381536e-314,2.1290302976e-314,2.173896897e-314,2.125375453e-314,2.1253815833e-314,2.125375453e-314,2.1253808244e-314,2.1290302976e-314,2.1745842727e-314,2.174584312e-314,2.125379358e-314,2.1738969207e-314,2.1290302976e-314,2.125381536e-314,2.1290302976e-314,2.173896968e-314,2.1253754846e-314,2.1253815833e-314,2.1253754846e-314,2.1253808244e-314
0.54,2.1290302976e-314,2.1745843517e-314,2.1745843913e-314,2.125379358e-314,2.173896992e-314,2.1290302976e-314,2.125381536e-314,2.1290302976e-314,2.12538054e-314,2.1253753107e-314,2.1253815833e-314,2.1253753107e-314,2.1253808244e-314,2.1290302976e-314,2.174584431e-314,2.1745844703e-314,2.125379358e-314,2.173897039e-314,2.1290302976e-314,2.125381536e-314,2.1290302976e-314,2.125380682e-314
0.55,2.1253754055e-314,2.1253815833e-314,2.1253754055e-314,2.1253808244e-314,2.1290302976e-314,2.17458451e-314,2.1745845494e-314,2.125379358e-314,2.173897063e-314,2.1290302976e-314,2.125381536e-314,2.1290302976e-314,2.1738970867e-314,2.125375469e-314,2.1253815833e-314,2.125375469e-314,2.1253808244e-314,2.1290302976e-314,2.174584589e-314,2.1745846284e-314,2.125379358e-314,2.173897134e-314
0.56,2.1290302976e-314,2.125381536e-314,2.1290302976e-314,2.173897158e-314,2.1253755004e-314,2.1253815833e-314,2.1253755004e-314,2.1253808244e-314,2.1290302976e-314,2.174584668e-314,2.1746021855e-314,2.125379358e-314,2.1738971815e-314,2.1290302976e-314,2.125381536e-314,2.1290302976e-314,2.173897229e-314,2.125375532e-314,2.1253815833e-314,2.125375532e-314,2.1253808244e-314,2.1290302976e-314
0.5700000000000001,2.1745847075e-314,2.1746023753e-314,2.125379358e-314,2.1738972527e-314,2.1290302976e-314,2.125381536e-314,2.1290302976e-314,2.1738972764e-314,2.1253755636e-314,2.1253815833e-314,2.1253755636e-314,2.1253808244e-314,2.1290302976e-314,2.174584747e-314,2.1746024227e-314,2.125379358e-314,2.1738973475e-314,2.1290302976e-314,2.125381536e-314,2.1290302976e-314,2.1253806584e-314,2.1253753897e-314
0.58,2.1253815833e-314,2.1253753897e-314,2.1253808244e-314,2.1290302976e-314,2.1745847865e-314,2.174584826e-314,2.125379358e-314,2.173897395e-314,2.1290302976e-314,2.125381536e-314,2.1290302976e-314,2.125380611e-314,2.125375358e-314,2.1253815833e-314,2.125375358e-314,2.1253808244e-314,2.1290302976e-314,2.1745848656e-314,2.174584905e-314,2.125379358e-314,2.1738974424e-314,2.1290302976e-314
0.59,2.125381536e-314,2.1290302976e-314,2.1253805636e-314,2.1253753265e-314,2.1253815833e-314,2.1253753265e-314,2.1253808244e-314,2.1290302976e-314,2.1745849446e-314,2.174584984e-314,2.125379358e-314,2.1738975135e-314,2.1290302976e-314,2.125381536e-314,2.1290302976e-314,2.125380706e-314,2.1253754213e-314,2.1253815833e-314,2.1253754213e-314,2.1253808244e-314,2.1290302976e-314,2.1745850237e-314
0.6,2.174585063e-314,2.125379358e-314,2.1738975373e-314,2.1290302976e-314,2.125381536e-314,2.1290302976e-314,2.1738975847e-314,2.125375516e-314,2.1253815833e-314,2.125375516e-314,2.1253808244e-314,2.1290302976e-314,2.1745851027e-314,2.174602328e-314,2.125379358e-314,2.173897632e-314,2.1290302976e-314,2.125381536e-314,2.1290302976e-314,2.173897656e-314,2.125375548e-314,2.1253815833e-314
0.61,2.125375548e-314,2.1253808244e-314,2.1290302976e-314,2.1745851423e-314,2.1746025176e-314,2.125379358e-314,2.1738976795e-314,2.1290302976e-314,2.125381536e-314,2.1290302976e-314,2.1738977033e-314,2.1253755794e-314,2.1253815833e-314,2.1253755794e-314,2.1253808244e-314,2.1290302976e-314,2.174585182e-314,2.174601e-314,2.125379358e-314,2.173897727e-314,2.1290302976e-314,2.125381536e-314
0.62,2.1290302976e-314,2.1738977507e-314,2.125375595e-314,2.1253815833e-314,2.125375595e-314,2.1253808244e-314,2.1290302976e-314,2.1745852213e-314,2.17460247e-314,2.125379358e-314,2.1738977744e-314,2.1290302976e-314,2.125381536e-314,2.1290302976e-314,2.173897798e-314,2.125375611e-314,2.1253815833e-314,2.125375611e-314,2.1253808244e-314,2.1290302976e-314,2.174585261e-314,2.17460266e-314
0.63,2.125379358e-314,2.173897822e-314,2.1290302976e-314,2.125381536e-314,2.1290302976e-314,2.1738978456e-314,2.125375627e-314,2.1253815833e-314,2.125375627e-314,2.1253808244e-314,2.1290302976e-314,2.1745853004e-314,2.1746027073e-314,2.125379358e-314,2.1738978693e-314,2.1253803264e-314,2.173897893e-314,2.129013033e-314,2.1253804213e-314,2.129013033e-314,2.129013033e-314,2.173672583e-314
0.64,2.129030361e-314,2.1253804213e-314,2.129030361e-314,2.129030361e-314,2.1738979167e-314,2.1290303925e-314,2.1253804213e-314,2.1290303925e-314,2.1290303925e-314,2.173672615e-314,2.1290304557e-314,2.12538035e-314,2.1290304557e-314,2.1290304557e-314,2.125379358e-314,2.129013033e-314,2.129030361e-314,2.1290303925e-314,2.1290304557e-314,2.125379358e-314,2.1738979404e-314,2.173897988e-314
