t,mos,mosstar,mose1,mosstare2,mekstarmosstar,mekmosstar,mekstar,mekstarstar,mekstarmekpase,mekstarstarmekpase,mapkmekstarstar,mapkstarmekstarstar,mek,mapkstar,mapkstarstar,mapkstarmapkpase,mapkstarstarmapkpase,mapk
0.1,0.0029543758580587148,8.77144003358598e-06,2.926511376320587e-06,8.479429419546985e-09,6.440018944663442e-09,3.391127108448117e-05,0.000243931476180472,5.153610555979652e-09,2.275227507752635e-07,4.520021533052297e-12,1.8093215072512566e-08,3.3125843667284904e-16,1.199721900038617,2.3636458408939312e-08,3.051037340203427e-16,8.151522054637227e-09,9.372301931834662e-17,1.1999999501188046
0.11,0.002950006164960924,9.6456703030197e-06,2.9224238577751743e-06,9.354098976959783e-09,8.712995551732638e-09,3.740767378506906e-05,0.00029697838964941385,7.600599994211398e-09,2.7876512275914077e-07,6.740914238119584e-12,2.6987721109589927e-08,7.725181500761418e-16,1.1996652918633819,3.691658304302851e-08,7.554863121301576e-16,1.2904672716088797e-08,2.3721632292251854e-16,1.199999923191022
0.12,0.002945644211430453,1.0518359860123195e-05,2.918321569065465e-06,1.0227223059533055e-08,1.1456234321605255e-08,4.089742368413474e-05,0.0003551744799504324,1.0837026437492595e-08,3.351349868956973e-07,9.702115131381173e-12,3.885018252591614e-08,1.6756559833106432e-15,1.1996035318082292,5.532021741902017e-08,1.7260242767087023e-15,1.9559537252960645e-08,5.523178397937287e-16,1.1999998862700596
0.13,0.0029412900859224736,1.1389511967666295e-05,2.9140030146093933e-06,1.1098829127598167e-08,1.4700705946569292e-08,4.438059956108626e-05,0.0004185014713164169,1.5019949629567034e-08,3.9660882501985925e-07,1.35562038492418e-11,5.429407815535009e-08,3.4487676695515435e-15,1.199536637292003,8.010980679206946e-08,3.772986241232338e-15,2.8603108697079e-08,1.2333151954866082e-15,1.199999836992999
0.14,0.002936943572212136,1.2259124572385814e-05,2.9098703959816707e-06,1.1968871249629543e-08,1.852100081908742e-08,4.785694294773231e-05,0.0004869410835879529,2.0331499111568062e-08,4.631602892653332e-07,1.8479845094727268e-11,7.40308035583961e-08,6.855735052123976e-15,1.1994646259113846,1.1285071795354468e-07,8.056772651119251e-15,4.064574228671537e-08,2.696104049875179e-15,1.1999997724727196
0.15,0.0029326047912462743,1.3127202047936292e-05,2.9056570901481503e-06,1.2837384761116558e-08,2.2944217035031043e-08,5.1326568013219965e-05,0.0005604746840364713,2.6911383654394466e-08,5.347663654914274e-07,2.4608157792510732e-11,9.8603018532715e-08,1.2109957229066839e-14,1.199387515498346,1.5461144701740786e-07,1.4827562539786205e-14,5.6096168819498436e-08,5.0244017371169814e-15,1.1999996906893347
0.16,0.002928273700278046,1.3993748254110978e-05,2.901421363726507e-06,1.370436485839281e-08,2.801125636094236e-08,5.4789414481351334e-05,0.0006390835272048043,3.4978010600752685e-08,6.113999637108872e-07,3.215279423427334e-11,1.2886602242961663e-07,2.12891160732687e-14,1.1993053237708882,2.0728074717672053e-07,2.70724312201924e-14,7.569352435584932e-08,9.280676165628324e-15,1.1999995881596492
0.17,0.0029239502743503873,1.4858766624464164e-05,2.8971861688485544e-06,1.4569811220037334e-08,3.376313812278662e-08,5.82454399047196e-05,0.0007227489427231449,4.4731415541880515e-08,6.930348666504378e-07,4.1307587041545896e-11,1.656022207260385e-07,3.598986322165604e-14,1.1992180684443898,2.725609096983364e-07,4.708147582183739e-14,1.001019644546361e-07,1.6278740050157342e-14,1.1999994617348066
0.18,0.0029196345199694095,1.5722259739849667e-05,2.8929120033083707e-06,1.5433731477004296e-08,4.02412137283956e-08,6.169463333951851e-05,0.0008114523708045904,5.6342391963688626e-08,7.796462544571857e-07,5.2238026201142966e-11,2.0947826462098862e-07,5.719837968483501e-14,1.1991257672354385,3.518579031541293e-07,7.628166760108451e-14,1.2986642671098722e-07,2.6526036456320726e-14,1.1999993087972463
0.19,0.002915326389465722,1.658422920109569e-05,2.8886669828233497e-06,1.62961201872409e-08,4.7489338039279344e-08,6.513692888901517e-05,0.0009051745109850036,7.011258763270432e-08,8.712032833089726e-07,6.523700145214896e-11,2.61686221568922e-07,9.29032319814443e-14,1.1990284380033684,4.479165394429035e-07,1.267391550335751e-13,1.6606884486778752e-07,4.436162763393713e-14,1.199999124328131
0.2,0.0029110258765074645,1.7444678086565885e-05,2.884437083667001e-06,1.7156981699003587e-08,5.5548539075235305e-08,6.857230279818249e-05,0.001003896791975733,8.621980925710696e-08,9.676807841965453e-07,8.047676542671352e-11,3.229200503797633e-07,1.4397609137615474e-13,1.1989260984554255,5.622130705444871e-07,1.9967387431138599e-13,2.0928253431280234e-07,7.021609597219179e-14,1.1999989055839315
0.21,0.00290673296896644,1.830360908097412e-05,2.8802200229530916e-06,1.801631899780422e-08,6.445898720669728e-08,7.200072661997965e-05,0.0011076001102511381,1.0493279030189617e-07,1.06904965823481e-06,9.821774296650766e-11,3.9423859970208593e-07,2.1835398768756407e-13,1.1988187663846606,6.971512133899882e-07,3.0833495908891273e-13,2.604526782905777e-07,1.0896523079163419e-13,1.1999986481568736
0.22,0.0029024476547495582,1.916102486928897e-05,2.8760134492362286e-06,1.8874135077522938e-08,7.426084367763658e-08,7.542217194968219e-05,0.0012162653605986345,1.265205535972526e-07,1.1752807945484557e-06,1.1872063863527838e-10,4.7670187759439977e-07,3.2400044840911185e-13,1.198706459584341,8.551376278831381e-07,4.660186917132884e-13,3.2052564005194566e-07,1.655024039402726e-13,1.1999983476338996
0.23,0.0028981699195628754,2.001692812051199e-05,2.871819309187308e-06,1.973043240741461e-08,8.499484188896246e-08,7.883660772966686e-05,0.0013298735435636488,1.512339810677939e-07,1.2863458339538705e-06,1.4222862063753086e-10,5.712972062927625e-07,4.672178066373675e-13,1.1985891958341512,1.038394472847482e-06,6.83065504833035e-13,3.9037380579722466e-07,2.436187020176238e-13,1.1999979999331218
0.24,0.002893899752051138,2.087132153516524e-05,2.8676341778626184e-06,2.0585214109447973e-08,9.669748805321036e-08,8.224400953032384e-05,0.0014484051063791098,1.7943694172574415e-07,1.4022122537487968e-06,1.6909086574822106e-10,6.794655922392464e-07,6.830931618645676e-13,1.1984669929020446,1.2502991081149573e-06,1.0224543759677275e-12,4.713329591387539e-07,3.6694563624591147e-13,1.1999975989002687
0.25,0.0028896371382033017,2.1724207784736446e-05,2.8634594650775035e-06,2.1438482718281042e-08,1.0940929475904306e-07,8.564434676624915e-05,0.0015718410184725118,2.113864238809001e-07,1.5228514637612241e-06,1.9955630842511637e-10,8.022188657940142e-07,9.792720773010308e-13,1.1983398685681812,1.4931360553666464e-06,1.4969762132640053e-12,5.643005000976419e-07,5.401970731869689e-13,1.199997140341563
0.26,0.0028853820657443185,2.2575589553800425e-05,2.859293208104387e-06,2.2290241180080148e-08,1.231701560507884e-07,8.903759109361102e-05,0.0017001621459511514,2.473580114685277e-07,1.6482341283112394e-06,2.338917038878119e-10,9.406434121525446e-07,1.3659933228952963e-12,1.1982078406219931,1.7693792552825714e-06,2.1241047383514085e-12,6.702497878176887e-07,7.698433496755472e-13,1.1999966197232854
0.27,0.0028811345247900183,2.342546954630001e-05,2.855128847845799e-06,2.3140493001458275e-08,1.3801865778616028e-07,9.242371766231841e-05,0.0018333491583288682,2.8766459437778253e-07,1.778329468648138e-06,2.723992330239288e-10,1.0959752848834186e-06,1.8605674882751633e-12,1.1980709268617467,2.0818832705581833e-06,2.9341785255853836e-12,7.903068364749625e-07,1.0671940812396404e-12,1.1999960318287468
0.28,0.0028768945071092266,2.427385047846905e-05,2.8509566077759005e-06,2.3989242081659474e-08,1.5399285468758614e-07,9.580270370514589e-05,0.0019713826336212716,3.326352866735549e-07,1.913106048926265e-06,3.153966661404621e-10,1.2695155720884163e-06,2.4823307258169923e-12,1.1979291450950356,2.4336678487679496e-06,3.961181926235013e-12,9.256638985076204e-07,1.444924621617777e-12,1.1999953711447928
0.29,0.002872661982155923,2.5120734900820323e-05,2.8468110591661057e-06,2.483648689834175e-08,1.7112924386277503e-07,9.917450615099694e-05,0.0021142432922552764,3.826146424613865e-07,2.0525311544427936e-06,3.632070124504135e-10,1.4626286676848927e-06,3.3292753252163165e-12,1.1977825129313522,2.8279256928334166e-06,5.38111665914712e-12,1.0775830888490638e-06,1.9691130741695446e-12,1.199994631851872
0.3,0.0028684369415453493,2.596612552847505e-05,2.842682856307944e-06,2.568223129677384e-08,1.8946466959917888e-07,0.00010253910316702434,0.0022619115630130777,4.3796411097377556e-07,2.196571945415581e-06,4.161777270826127e-10,1.6767454793139514e-06,4.435849597789353e-12,1.1976310481670038,3.268008041694328e-06,7.255231503175507e-12,1.2473896595917834e-06,2.662677411006654e-12,1.1999938078424663
0.31,0.0028642193806025997,2.6810025104121983e-05,2.8385553541449352e-06,2.652648001381599e-08,2.090355331386646e-07,0.00010589647692441591,0.0024143677631051474,4.990614329113163e-07,2.3451949783254904e-06,4.746727428384613e-10,1.9133620975037845e-06,5.831951187941905e-12,1.1974747686254263,3.757430652328783e-06,9.636546336603014e-12,1.4364747900684212e-06,3.545435666189357e-12,1.199992892713447
0.32,0.00286000929030916,2.7652436338203398e-05,2.8344205907095153e-06,2.7369236724279335e-08,2.2987744776917997e-07,0.00010924660607620586,0.00257159217676641,5.663003769647214e-07,2.4983659969974783e-06,5.39068992306044e-10,2.1740392148016184e-06,7.568675785775409e-12,1.1973136920874854,4.299876410715646e-06,1.261634650757808e-11,1.646296804633821e-06,4.651590941668208e-12,1.199991879762734
0.33,0.002855806662546689,2.8493361947861266e-05,2.8302688806194953e-06,2.8210505312982752e-08,2.52025463401883e-07,0.00011258947065513127,0.0027335650040806094,6.400909113709203e-07,2.6560500686321297e-06,6.097586723853695e-10,2.460402503989221e-06,9.701551594386588e-12,1.1971478363368588,4.899193631781567e-06,1.629390936375285e-11,1.8783803797413192e-06,6.01834654919942e-12,1.1999907619914714
0.34,0.002851611465491722,2.9332804468840955e-05,2.8261373046285105e-06,2.905028395961165e-08,2.755191055099071e-07,0.00011592502334317438,0.002900267104409519,7.207688435024306e-07,2.818218461771566e-06,6.870516816937789e-10,2.773780026134593e-06,1.242496260642832e-11,1.1969772188863357,5.558480380102374e-06,2.1050670281476082e-11,2.133949195953368e-06,7.791387588287969e-12,1.1999895337491315
0.35000000000000003,0.002847423686468668,3.0170766583082935e-05,2.8220252594014437e-06,2.988857544062835e-08,3.0039359922702985e-07,0.00011925323950901579,0.003071678701624005,8.0875319309313e-07,2.9848366675172105e-06,7.71345537237625e-10,3.1158337268871692e-06,1.5838034742695105e-11,1.1968018574544983,6.281679232520824e-06,2.7072730453096035e-11,2.41456571743863e-06,1.004117243861243e-11,1.199988187868372
0.36,0.0028432433195052253,3.10072510235896e-05,2.817918982002947e-06,3.072538413757981e-08,3.266824178843108e-07,0.00012257410267707314,0.0032477797601071197,9.045004907864454e-07,3.1558678781884728e-06,8.63076030322484e-10,3.4883760488821017e-06,2.0012622914744245e-11,1.1966217698272925,7.073114156376253e-06,3.448952143578142e-11,2.721945398920375e-06,1.2816282022358682e-11,1.1999867164970783
0.37,0.0028390703519440815,3.1842260472077776e-05,2.8138179341722985e-06,3.1560712818533863e-08,3.544200248120713e-07,0.0001258875888946011,0.003428550389270965,1.008455610966588e-06,3.331276729781518e-06,9.626641405111611e-10,3.893172637157475e-06,2.506645380810113e-11,1.1964369737091016,7.936992267428251e-06,4.3522985166683595e-11,3.0577568032228377e-06,1.6200814746413183e-11,1.1999851119935028
0.38,0.002834904771196234,3.2675797610604776e-05,2.809721493576052e-06,3.239456426158611e-08,3.836404903210303e-07,0.00012919367461723365,0.0036139706395104253,1.1210765726458439e-06,3.511027414199426e-06,1.070542813267741e-09,4.332041858423643e-06,3.11262312233215e-11,1.1962474867978676,8.87765515296289e-06,5.441232462816229e-11,3.423722425913529e-06,2.0285435364271478e-11,1.1999833664747397
0.39,0.0028307465624174727,3.3507865135880764e-05,2.805633294026932e-06,3.322694074865923e-08,4.1437887924722556e-07,0.0001324923332940226,0.003804021072558981,1.2427628403522684e-06,3.695086732866198e-06,1.1870773450247857e-09,4.806567075255486e-06,3.853069501572431e-11,1.1960533265730107,9.898848278627255e-06,6.785021943238431e-11,3.821324856011594e-06,2.5337129968584395e-11,1.199981473128073
0.4,0.002826595712256165,3.43384657361833e-05,2.8015542248067264e-06,3.40578448819935e-08,4.46669012872738e-07,0.00013578354087569495,0.003998681841517397,1.3739709732124284e-06,3.883419171314893e-06,1.3126938003095042e-09,5.3185607414581195e-06,4.750309151563937e-11,1.19585451063751,1.1004899419050507e-05,8.427921972895929e-11,4.252280732267871e-06,3.152539494180128e-11,1.1999794240958004
0.41000000000000003,0.002822452208369775,3.5167602094335364e-05,2.7974833337803442e-06,3.488727947881639e-08,4.805437576464567e-07,0.00013906727510406693,0.00419793280953353,1.5151997057785016e-06,4.075987534584546e-06,1.4478624454445389e-09,5.870004531994092e-06,5.8193426093788e-11,1.1956510566737748,1.220056663579779e-05,1.0398251407525673e-10,4.718479600996518e-06,3.895755962618249e-11,1.1999772107480986
0.42,0.002818316037615779,3.5995276898849014e-05,2.793421206681959e-06,3.5715247177215666e-08,5.16036105523905e-07,0.00014234351285316108,0.004401753993880275,1.666934123236328e-06,4.2727553247582064e-06,1.5930357605132884e-09,6.462825320218821e-06,7.083656446406576e-11,1.1954429822785182,1.3490469438926501e-05,1.2742356605772316e-10,5.221755133363555e-06,4.781095723688853e-11,1.1999748247040374
0.43,0.0028141871868350887,3.682149283909963e-05,2.789368503714454e-06,3.654175060681617e-08,5.531787061258591e-07,0.0001456122312806362,0.004610125373647525,1.8296698363429453e-06,4.473685711369602e-06,1.7486752832909636e-09,7.098992190984466e-06,8.568376688214353e-11,1.1952303050342652,1.4879335122590324e-05,1.5509903458378593e-10,5.763984199786708e-06,5.827568822112382e-11,1.1999722573894291
0.44,0.00281006564451849,3.7646252624730615e-05,2.7853226933070675e-06,3.736679280853386e-08,5.920034825670926e-07,0.00014887340979152092,0.004823027156422271,2.0038855262820173e-06,4.6787426411799324e-06,1.9152127033126475e-09,7.780406190009816e-06,1.0331840278110637e-10,1.1950130423774121,1.637172395011895e-05,1.8819819152828588e-10,6.3469756287563975e-06,7.081002671925231e-11,1.1999695005319053
0.45,0.002805951398362473,3.846955895719248e-05,2.781282842724748e-06,3.8190376618921e-08,6.325421949217316e-07,0.00015212702715799843,0.005040439387147941,2.19008321322266e-06,4.88788921046428e-06,2.093106925342948e-09,8.509062028874146e-06,1.241928909851479e-10,1.1947912117917434,1.7972432226045445e-05,2.27635751510832e-10,6.9726333646712095e-06,8.57658149939599e-11,1.1999665454347868
0.46,0.002801844435052239,3.929141452721599e-05,2.7772500433769566e-06,3.901250461550852e-08,6.748264902475321e-07,0.00015537306126370187,0.005262341913399044,2.388791831349499e-06,5.101087520503698e-06,2.2828491354529796e-09,9.287062441135984e-06,1.4858758940656788e-10,1.1945648308256136,1.9686528080714713e-05,2.7396600682592544e-10,7.642970952939495e-06,1.0335520606483657e-10,1.1999633829126173
0.47000000000000003,0.002797744742002988,4.011182203508853e-05,2.7732239978708296e-06,3.983317955541352e-08,7.188875011594324e-07,0.0001586114911556499,0.005488714664039322,2.6005385405601488e-06,5.318299837208047e-06,2.4849221476141423e-09,1.0116502979755286e-05,1.7694069012078857e-10,1.1943339169540796,2.1519064311949732e-05,3.280718630763464e-10,8.359995302361771e-06,1.2391754184495325e-10,1.1999600038084768
0.48,0.0027936523066794104,4.0930784182729964e-05,2.7692043538147594e-06,4.065240420392834e-08,7.647560027098266e-07,0.00016184229624233585,0.005719537540320186,2.825859938055242e-06,5.5394881379272424e-06,2.6998162913346717e-09,1.0999517039069605e-05,2.097192940550631e-10,1.19409848763278,2.3475190608544334e-05,3.9089555921036334e-10,9.125752111607694e-06,1.4781505529151275e-10,1.1999563987918118
0.49,0.002789567115828399,4.174830368091439e-05,2.7651922776269383e-06,4.1470181154023665e-08,8.124626547889969e-07,0.00016506545523527379,0.005954790611494659,3.0652923977942716e-06,5.764615773055905e-06,2.9280050308805885e-09,1.1938236005825712e-05,2.4803098202134005e-10,1.1938585601503986,2.5560062656307618e-05,4.648593539698334e-10,9.942287526488852e-06,1.7599267331893367e-10,1.1999525585249293
0.5,0.0027854891566702657,4.2564383238058354e-05,2.7611880111985426e-06,4.2286513106569894e-08,8.620376257985875e-07,0.00016828094779224766,0.006194453811126847,3.3193870684845867e-06,5.993644886393146e-06,3.1699828164205277e-09,1.2934851124679052e-05,2.9267435105510767e-10,1.1936141518577141,2.7778983250875363e-05,5.516599110329222e-10,1.0811707667019724e-05,2.091089231125572e-10,1.1999484734045152
0.51,0.0027814184170655352,4.337902555865099e-05,2.757190529766063e-06,4.3101402909575126e-08,9.135105399565722e-07,0.00017148875474740682,0.006438506894567752,3.5887119736713466e-06,6.226536053929051e-06,3.4262703841235632e-09,1.3991622160896092e-05,3.440060659855383e-10,1.1933652801996757,3.0137422056998982e-05,6.519594583031443e-10,1.1736186962680688e-05,2.474142374859583e-10,1.1999441335254406
0.52,0.0027773548844983974,4.419223335282182e-05,2.7531996269971156e-06,4.3914853319050784e-08,9.669107984454034e-07,0.00017468885670895624,0.006686929698117577,3.873839212808628e-06,6.463250485248579e-06,3.697382454887942e-09,1.5110824605801034e-05,4.027511092549253e-10,1.1931119625199333,3.2640895186211555e-05,7.672680074328399e-10,1.2717917353432843e-05,2.9149261886578543e-10,1.1999395289013437
0.53,0.0027732985464878923,4.500400933247061e-05,2.7492150715870625e-06,4.472686709573989e-08,1.0222674495097153e-06,0.00017788123462638138,0.006939702034196282,4.1753501383412756e-06,6.7037491330782854e-06,3.983840799991075e-09,1.6294771031822465e-05,4.696750402405483e-10,1.1928542161399043,3.52950139068632e-05,8.991820085093904e-10,1.3759128837570597e-05,3.4196164112883776e-10,1.199934649375406
0.54,0.0027692493905879132,4.581435621126742e-05,2.7452366072590086e-06,4.553744700511706e-08,1.079609188456324e-06,0.00018106586979044835,0.007196803691343594,4.493835355704901e-06,6.947992693286322e-06,4.286174241089541e-09,1.7545811092493366e-05,5.455839952546731e-10,1.1925920583587735,3.810548464412111e-05,1.0493843500552187e-09,1.4862089471721665e-05,3.994724496020654e-10,1.1999294846203519
0.55,0.0027652074043872047,4.662327670465255e-05,2.741263952763803e-06,4.634659581738851e-08,1.1389643576542277e-06,0.00018424274383320381,0.007458214434219004,4.829894723325884e-06,7.195941604882438e-06,4.604918650219086e-09,1.886633152245109e-05,6.313246875445524e-10,1.1923255064534917,4.1078108979969514e-05,1.2196443590277904e-09,1.6029105370847073e-05,4.647097610625695e-10,1.1999240241384488
0.56,0.0027611725741104125,4.7430773577624536e-05,2.737299529416141e-06,4.715431601845855e-08,1.2003619483189433e-06,0.000187411836348348,0.007723914495731499,5.184109706770989e-06,7.447561642934314e-06,4.9405434619465786e-09,2.025864044351264e-05,7.303165399717267e-10,1.1920545773233142,4.4218515461567855e-05,1.417167544460748e-09,1.7262403999968155e-05,5.404677350089662e-10,1.199918257752144
0.5700000000000001,0.0027571448877558155,4.8236849537555636e-05,2.733342343454283e-06,4.796061045820805e-08,1.2638293535922149e-06,0.00019057313022854342,0.007993883473232842,5.557105386127493e-06,7.702811374113889e-06,5.2936165005996045e-09,2.1725226856680525e-05,8.428723186185879e-10,1.1917792882870748,4.75327611331571e-05,1.6425965602502123e-09,1.8564395941272546e-05,6.269939642697558e-10,1.199912174503607
0.58,0.002753124333006507,4.904150730554562e-05,2.7293920586120286e-06,4.876548191892926e-08,1.329393864338463e-06,0.000193726608112317,0.00826810106333232,5.949509177093862e-06,7.961650507660827e-06,5.6646942531944656e-09,2.3268587895818752e-05,9.699789416190487e-10,1.191499656552433,5.102693109048439e-05,1.897999079631325e-09,1.993750063323415e-05,7.250890252355267e-10,1.1999057633873143
0.59,0.0027491108973761546,4.984474961144264e-05,2.7254487119320704e-06,4.9568933145440706e-08,1.3970825647671643e-06,0.00019687225263199782,0.00854654701062092,6.361953711448129e-06,8.224039312647013e-06,6.054329526260575e-09,2.4891240882000445e-05,1.11303365193039e-09,1.1912156992529088,5.470716642414825e-05,2.1863103962521615e-09,2.138415853064742e-05,8.358901892860872e-10,1.1998990132989298
0.6,0.002745104568396057,5.064657918745332e-05,2.721512349059128e-06,5.0370966883734644e-08,1.4669221984813217e-06,0.00020001004673190356,0.008829201041867194,6.795080533655762e-06,8.489937870131259e-06,6.463081272116539e-09,2.659573879328241e-05,1.273505438432228e-09,1.1909274334954145,5.85797000802909e-05,2.5106180942316456e-09,2.2906846710033403e-05,9.60593851942977e-10,1.1998919129696999
0.61,0.002741105333615145,5.144699876814282e-05,2.717583024239947e-06,5.117158588097712e-08,1.5389391684774657e-06,0.00020313997366834093,0.009116042866017275,7.249540100869679e-06,8.759306073159317e-06,6.891514588870172e-09,2.838467026470517e-05,1.4529350359265203e-09,1.1906348763602534,6.265085686059839e-05,2.874162048159565e-09,2.4508078869639813e-05,1.1004555328694714e-09,1.1998844509664532
0.62,0.0027371131806307528,5.224601109577756e-05,2.713660734147057e-06,5.197079289897969e-08,1.6131596229277818e-06,0.00020626201695400257,0.009407052247027583,7.725986155570667e-06,9.032104244728115e-06,7.340189817086408e-09,3.026063628087665e-05,1.653352415927557e-09,1.190338044856168,6.692699796515273e-05,3.281300249832473e-09,2.6190381516734774e-05,1.2571698285831628e-09,1.1998766157924154
0.63,0.0027331280973161235,5.304361895982533e-05,2.7097449286260306e-06,5.2768590813798395e-08,1.6896100893826246e-06,0.00020937615994688565,0.009702209542330028,8.225034121497394e-06,9.308297706505213e-06,7.809581929514416e-09,3.2226077860098576e-05,1.8803633703085986e-09,1.1900369555879962,7.141411098787634e-05,3.744649337050933e-09,2.795611791603536e-05,1.4356794704214509e-09,1.1998683966325445
0.64,0.0027291500711331147,5.383982507762509e-05,2.7058359887334785e-06,5.356498231484414e-08,1.7683155588376294e-06,0.00021248238709217375,0.010001494076122623,8.747386790006968e-06,9.587842976676225e-06,8.300324055623184e-09,3.428379662254692e-05,2.1338249075979127e-09,1.1897316257606838,7.611904854487796e-05,4.263512976293165e-09,2.980801994347318e-05,1.6356891290230129e-09,1.1998597811018628
0.65,0.0027251790897405287,5.463463220000727e-05,2.7019339185115794e-06,5.435997017120298e-08,1.849301181544113e-06,0.00021558068282303538,0.010304885579185416,9.293723073883159e-06,9.8706999863612e-06,8.812991935721547e-09,3.64364940304299e-05,2.41609854830278e-09,1.1894220722906244,8.104843195273642e-05,4.842975106145346e-09,3.1748717337373754e-05,1.859176626601833e-09,1.1998507572384298
0.66,0.002721215140818156,5.542804308074367e-05,2.6980387233848674e-06,5.515355715460446e-08,1.9325917765055463e-06,0.00021867103187856176,0.010612363772421906,9.864730184665643e-06,1.0156828546085543e-05,9.348166266379962e-09,3.868690466015581e-05,2.729663106104295e-09,1.189108312062698,8.620896833333162e-05,5.488377325062531e-09,3.3780873859879665e-05,2.1082203614502093e-09,1.1998413129268866
0.67,0.0027172582120667775,5.62200604765475e-05,2.6941504101602335e-06,5.594574603942162e-08,2.018211831477554e-06,0.0002217534193037668,0.01092390836685904,1.0461103632650018e-05,1.0446188345780036e-05,9.906432700430518e-09,4.1037796202333014e-05,3.077114687857368e-09,1.1887903619302724,9.160745061384433e-05,6.205318891368661e-09,3.590718729695058e-05,2.3849993079387523e-09,1.1998314358984548
0.68,0.0027133082912081615,5.701068714707333e-05,2.690268987026924e-06,5.6736539602671025e-08,2.106185502967914e-06,0.00022482783044958717,0.011239499063647223,1.108354722688778e-05,1.073873895478081e-05,1.048838184696692e-08,4.349196946176996e-05,3.461166693590724e-09,1.1884682387152028,9.725075752675636e-05,6.999656723256561e-09,3.813038945836322e-05,2.691793016516385e-09,1.1998211137309374
