t,V,Na_i,m,h,j,K_i,X_kr,X_ks,X_to1,Y_to1,Ca_i,MgATP_i,O,O_Ca,C0,C1,C2,C3,C4,C_Ca0,C_Ca1,C_Ca2,C_Ca3,C_Ca4,Ca_ss,y,P_O1,P_O2,P_C1,P_C2,Ca_JSR,Ca_NSR,HTRPNCa,LTRPNCa,CaADP_i,CaADP_ss,CaATP_ss,CaATP_i,Mg_ss,Mg_i,MgADP_i,MgADP_ss,MgATP_ss
0.12,-96.31970363421671,10.0,0.0328302,0.998815152758998,0.9989611798638722,159.48,0.42475543810683264,0.04969723743223994,3.5829149498873254e-05,0.999999787592075,7.671847450438056e-05,6.43952840595489,1.5121078823505324e-22,1.8306126611274874e-29,0.9983080225486183,1.8079997664600603e-06,1.2279021896086042e-12,3.706370968847802e-19,-1.378331985474887e-24,0.00169100771611894,1.225145271334138e-08,3.328525144687311e-14,4.0190486621754403e-20,1.8078672796416534e-26,0.00011739000247822215,0.8335560685466477,0.0005802178180303295,1.971706452582856e-09,0.5111046885755569,0.4883150916347052,0.2688129868859564,0.26927862470857217,0.9764065737548152,0.07199733499188471,9.99491971488961e-08,1.1712956509929575e-07,0.00022635372516894794,0.00021491684098445512,0.9999696445534388,0.9999683982084349,0.002983195894509186,0.0029831929026431733,6.43952591625499
0.13,-96.32069829930859,10.0,0.0328302,0.9988154208620453,0.998961392793341,159.48,0.418329428270507,0.043249552132209865,3.582565065095401e-05,0.9999998091193949,7.642556035325223e-05,6.439528904235379,-5.751064072321908e-23,1.7707193819018133e-29,0.9983534920395378,1.8077639884276063e-06,1.2275253752044375e-12,3.704558111579279e-19,-9.02121657346746e-25,0.0016455387931969855,1.1919234309528784e-08,3.237536287067074e-14,3.908353810587675e-20,1.7663124703281418e-26,0.00011688642744559512,0.8362199426557724,0.0005762720542705672,1.933081984701942e-09,0.514423637439559,0.4850000885730876,0.26926436292560124,0.26971722686226485,0.9761257017919894,0.07168864189137106,9.956760772115574e-08,1.166589548889499e-07,0.00022547388226012475,0.00021409626363394838,0.9999691401835493,0.9999679002990786,0.002983195523035513,0.0029831925466788866,6.4395264274415815
0.14,-96.32158725566832,10.0,0.0328302,0.9988156604027022,0.9989615823920048,159.48,0.4120005633358988,0.03764064263792156,3.58225243550023e-05,0.9999998166047596,7.61544658559152e-05,6.439529365403709,-1.6030001007247166e-24,1.7241120560966507e-29,0.9983951136377968,1.8075550192680792e-06,1.2271902164162029e-12,3.7029654007725177e-19,-1.758338091459256e-26,0.0016039177074119594,1.1615730692665144e-08,3.154557305574631e-14,3.807546584582306e-20,1.7233836910400865e-26,0.00011640456868792812,0.8388411823449143,0.0005723541436499636,1.896265277978206e-09,0.5177200603304637,0.48170758362962,0.26969860809775403,0.27013949630395945,0.9758479381762318,0.07140314349743074,9.921444263617362e-08,1.1621675736718253e-07,0.00022465516171726063,0.00021333680992468117,0.9999686728990363,0.9999674394741788,0.002983195179226377,0.0029831922183766787,6.439526901513223
0.15,-96.322383468857,10.0,0.0328302,0.9988158748786626,0.9989617518186195,159.48,0.4057673833354603,0.03276140518741845,3.581972460765029e-05,0.9999998192272498,7.59033962626326e-05,6.439529792510134,-3.8654023420137966e-23,1.679132987781307e-29,0.99843323479841,1.807369370101584e-06,1.2268912936877724e-12,3.7015481622647884e-19,5.199551264910972e-25,0.0015657970101558183,1.133802411860304e-08,3.078700150205789e-14,3.7154623338283815e-20,1.681282728763763e-26,0.00011594184120849196,0.8414204699732898,0.0005684637127307059,1.8610049606881728e-09,0.5209941093310835,0.4784374250951795,0.27011685470026753,0.2705465033216133,0.9755733035101675,0.07113896614307058,9.888736393029102e-08,1.1580027665216923e-07,0.0002238922930106727,0.00021263345279390574,0.9999682396266067,0.9999670126858601,0.002983194860809932,0.002983191915531517,6.439527341572354
0.16,-96.32309787562477,10.0,0.0328302,0.9988160672989261,0.9989619035711765,159.48,0.399628449107723,0.028516928915514415,3.581721186080224e-05,0.9999998201260163,7.567070493338697e-05,6.439530188349213,3.4328321706396134e-22,1.61673952219891e-29,0.9984681713332456,1.8072042157322034e-06,1.226623845603559e-12,3.7006045586351405e-19,2.652400334767522e-23,0.0015308608958466616,1.1082653261891305e-08,3.008785455558361e-14,3.63049202855585e-20,1.6440970167926178e-26,0.00011549243050859512,0.8439584769774569,0.0005646005105219275,1.8273048522391066e-09,0.5242459355067863,0.4751894621553853,0.2705201481648467,0.27093923616859666,0.9753018136148772,0.07089438491553542,9.85842265120563e-08,1.1540551663752765e-07,0.00022317941262085198,0.00021198158128831807,0.9999678374676308,0.9999666171416174,0.002983194565709836,0.002983191636421957,6.43952775063276
0.17,-96.32373978668211,10.0,0.0328302,0.9988162400461871,0.9989620397440976,159.48,0.3935823421810003,0.024824629119493572,3.5814956995279734e-05,0.9999998204793299,7.545488050416211e-05,6.43953055550899,-3.893195605125613e-22,1.6385422220685255e-29,0.9985002104187964,1.807056744008773e-06,1.2263850197873066e-12,3.6987170889281826e-19,-3.227426820282174e-23,0.0014988221887819353,1.0851639696820507e-08,2.946145943115011e-14,3.55479034705895e-20,1.6065789122974496e-26,0.00011507225866754668,0.8464558640481588,0.0005607642966826026,1.7942711254458948e-09,0.5274756889749099,0.47196354493413467,0.2709094536621634,0.27131860729305834,0.9750334798645579,0.07066781230392508,9.830306192213555e-08,1.1503822668935033e-07,0.0002225174994776568,0.00021137695531570823,0.9999674642582608,0.9999662502552521,0.002983194291971106,0.0029831913776046156,6.439528130405847
0.18,-96.32431717915067,10.0,0.0328302,0.998816395517792,0.9989621620994307,159.48,0.3876276646227776,0.021612682390713796,3.581292583485207e-05,0.9999998206124971,7.525453826155929e-05,6.439530896316654,1.8033082296936078e-22,1.5658413341434314e-29,0.9985296129875958,1.8069254500259501e-06,1.2261702444212445e-12,3.698194459043535e-19,7.204850733769158e-24,0.0014694199666882971,1.063622841013423e-08,2.8870945717655563e-14,3.482996509007627e-20,1.5750685644111652e-26,0.00011465125551374995,0.8489132812993504,0.0005569547113611809,1.7631230635421346e-09,0.5306835190139199,0.46875952451159464,0.27128566205359056,0.27168545896727075,0.9747683094939018,0.07045778792166939,9.804206570005772e-08,1.1468390020626781e-07,0.00022189409477605217,0.00021081570629266817,0.9999671169838396,0.999965909701406,0.0029831940379011963,0.0029831911398405264,6.439528484650058
0.19,-96.32483694905957,10.0,0.0328302,0.9988165353765951,0.998962272156086,159.48,0.38176303886075463,0.018818598529358226,3.581109906817851e-05,0.9999998206740788,7.506840635151589e-05,6.439531212958917,-3.8355265651211866e-23,1.549561319611314e-29,0.9985566163887695,1.8068080836044508e-06,1.2259779596792962e-12,3.6971049108751663e-19,-6.152183280622411e-24,0.001442416878848812,1.0440260923050751e-08,2.833725738109276e-14,3.418354913014073e-20,1.5449655105095436e-26,0.00011425208160221232,0.8513313684400086,0.0005531716849921356,1.7327397134426483e-09,0.5338695737327269,0.4655772528495404,0.2716495956965136,0.2720405688128447,0.9745063059063958,0.07026296884972838,9.779958152542043e-08,1.1435146913101393e-07,0.00022131278577148015,0.00021029426280834724,0.9999667940353647,0.9999655932949157,0.00298319380183519,0.0029831909194220504,6.439528814356821
0.2,-96.32530509624615,10.0,0.0328302,0.9988166613441406,0.9989623712242135,159.48,0.37598710748380315,0.016388018731601693,3.580945326327655e-05,0.9999998207061715,7.489531983451095e-05,6.439531507406454,-1.8101299335981411e-22,1.5329630180225471e-29,0.9985814363356024,1.8067033381981958e-06,1.2258052572664908e-12,3.696303050083604e-19,-3.532738106809324e-24,0.0014175972174541255,1.0259568371871846e-08,2.7844005431530972e-14,3.358522560994413e-20,1.521738732302016e-26,0.00011386315919992668,0.8537107549397789,0.0005494147935315337,1.7034508532335024e-09,0.5370340005926088,0.46241658291040855,0.2720020136450249,0.2723846546699426,0.9742474689524859,0.0700821203668061,9.757409162834386e-08,1.1403479858873635e-07,0.00022076718937527715,0.00020980936546676504,0.9999664931955868,0.9999652990665796,0.0029831935823202323,0.0029831907157905732,6.439529122012918
0.21,-96.32572687225007,10.0,0.0328302,0.9988167748506797,0.9989624604456886,159.48,0.37029853302766796,0.014273654038104494,3.58079711176848e-05,0.9999998207281315,7.473420997668741e-05,6.439531781483532,1.475468443602157e-22,1.4924490562117315e-29,0.9986042689606618,1.8066097598226381e-06,1.2256504460528878e-12,3.6954765364290015e-19,-1.117430017503876e-23,0.0013947648515260254,1.0094016403393713e-08,2.7393694478697248e-14,3.3040554977295025e-20,1.4909805014215566e-26,0.0001134872496109586,0.8560520601932957,0.0005456838578566486,1.675098552638834e-09,0.5401769459369952,0.45927736853004897,0.27234361660103046,0.2727183793390279,0.9739917952039672,0.06991410783799508,9.736420382086472e-08,1.1373421390664098e-07,0.00022025547538284692,0.00020935801829532764,0.9999662127312912,0.999965025193581,0.002983193377987507,0.0029831905272402325,6.439529409253081
0.22,-96.32610690368826,10.0,0.0328302,0.9988168770664211,0.998962540820171,159.48,0.36469599774919653,0.01243436753956682,3.5806634385048726e-05,0.9999998207454374,7.458409651472052e-05,6.439532036847459,-1.4181290959128125e-22,1.4739837979182308e-29,0.9986252926467969,1.8065264012009117e-06,1.22551115534206e-12,3.695082643323774e-19,1.157851648184992e-23,0.0013737414026352196,9.9401314473137e-09,2.6972036662161432e-14,3.2527996770631394e-20,1.4746859405431449e-26,0.00011311723780422262,0.8583558936813989,0.0005419787711815465,1.647589821756882e-09,0.543298555051252,0.456159464529976,0.272675051445424,0.2730423547971891,0.9737392782063808,0.0697578886651663,9.716864104245415e-08,1.1344568244629488e-07,0.00021977302981316524,0.00020893747868818587,0.9999659508462571,0.9999647700197974,0.0029831931876160567,0.002983190353093805,6.439529678031715
0.23,-96.32644928540304,10.0,0.0328302,0.9988169692114108,0.9989626132291342,159.48,0.35917820339226186,0.01083437277994769,3.580543180636921e-05,0.9999998207587781,7.44440811878438e-05,6.4395322750425015,5.246928349112665e-22,1.4159284006274026e-29,0.9986446696001167,1.8064519115065392e-06,1.2253867078942042e-12,3.694327091289378e-19,-3.0838173688208037e-24,0.0013543646637288946,9.800208047082527e-09,2.659282456223132e-14,3.207069358002015e-20,1.4407351763143598e-26,0.00011276291192798856,0.8606228551299028,0.0005382991484205747,1.6208786771409412e-09,0.5463989725477333,0.45306272668296665,0.27299691543111143,0.27335714620876944,0.9734899087187556,0.06961250506084093,9.698623327604092e-08,1.1317281435932767e-07,0.000219320573049706,0.00020854522476522653,0.9999657062439045,0.9999645320021162,0.002983193010031214,0.0029831901912386353,6.439529929373082
0.24,-96.32675765628542,10.0,0.0328302,0.9988170520533839,0.9989626784529142,159.48,0.35374387094769616,0.009442538406086947,3.58043459667409e-05,0.9999998207716276,7.43133405114474e-05,6.439532497443678,-1.5585665141652963e-21,1.5456205361366413e-29,0.9986625472499501,1.8063859257079326e-06,1.2252741529513676e-12,3.694047967324109e-19,2.6064985538754586e-23,0.0013364872119426617,9.668147167601845e-09,2.6227415554451383e-14,3.162241920114851e-20,1.4683006201528255e-26,0.00011241279346963259,0.862853534665815,0.0005346449613743556,1.595395317235576e-09,0.5494783418196674,0.44998701162356214,0.2733097601500082,0.27366327565051274,0.9732436749443221,0.06947707758740344,9.681590775606944e-08,1.1290968138213294e-07,0.00021889249552505238,0.00020817895792578207,0.9999654773176233,0.9999643097664078,0.002983192844243953,0.002983190041662232,6.439530165157278
0.25,-96.32703526777988,10.0,0.0328302,0.998817126839071,0.9989627371855604,159.48,0.34839174040905285,0.008231783700332123,3.580337253849228e-05,0.9999998207827249,7.419111959720862e-05,6.439532705376076,4.026798341884736e-22,1.418920046820917e-29,0.9986790597503025,1.8063267998635235e-06,1.225174762163281e-12,3.6931515667424847e-19,-1.3054598099450303e-23,0.0013199748881984714,9.55066526897249e-09,2.591317436334842e-14,3.124740996515931e-20,1.4158710110798133e-26,0.00011207990477067607,0.865048512970953,0.0005310157486053846,1.5699737211546944e-09,0.552536805670668,0.446932177010752,0.27361409507249707,0.2739612254699301,0.9730005627419029,0.06935079868629694,9.665668099329658e-08,1.126616438961724e-07,0.00021849100810777765,0.0002078365505924757,0.9999652630354283,0.9999641019886831,0.0029831926892095184,0.0029831899020277518,6.439530386063347
0.26,-96.32728503010634,10.0,0.0328302,0.9988171939120596,0.9989627900472936,159.48,0.3431205705255374,0.00717855052297182,3.580249315307744e-05,0.9999998207925263,7.40767266724707e-05,6.43953289997158,-1.5753306989270362e-21,1.4860287955510646e-29,0.9986943290139324,1.806274754128536e-06,1.225084740134085e-12,3.6929732385448706e-19,1.0571502613626386e-23,0.0013047057892761756,9.438003816868957e-09,2.5602406618120758e-14,3.086775574629063e-20,1.4156364678277162e-26,0.00011174429273345257,0.8672083614331902,0.0005274115801708444,1.545913623716867e-09,0.5555745055300236,0.4438980813438912,0.2739103909544887,0.2742514414628398,0.9727605558276685,0.06923292704789873,9.650765176768202e-08,1.1241904561503467e-07,0.00021810822163299132,0.0002075160794099748,0.99996506184428,0.9999639075379126,0.002983192544147361,0.002983189773310487,6.439530594136626
0.27,-96.32750955870975,10.0,0.0328302,0.9988172543959979,0.9989628375933607,159.48,0.33792913855350504,0.006262345597773921,3.580170190908886e-05,0.9999998208015833,7.396952698887167e-05,6.439533082320115,-7.833007652064594e-22,1.7218961559905082e-29,0.9987084660095568,1.8062289321109224e-06,1.2250033254406464e-12,3.692857972723145e-19,5.436621880837843e-23,0.0012905689442431639,9.333234792202548e-09,2.5309326558848613e-14,3.05028551438897e-20,1.5329723382589154e-26,0.00011142748762759194,0.8693336422952416,0.0005238320090848965,1.5218985089362512e-09,0.5585915823400408,0.4408845841289751,0.2741990828556669,0.27453433579171616,0.9725236359654892,0.06912278234401179,9.636799384132045e-08,1.1219074323896438e-07,0.0002177488754687493,0.00020721576098464548,0.9999648731954975,0.9999637253250503,0.0029831924082276444,0.0029831896528383756,6.439530789365255
0.28,-96.32771120987233,10.0,0.0328302,0.9988173086771568,0.9989628803231483,159.48,0.3328162400070492,0.005465341515583729,3.5801006301401944e-05,0.9999998208095425,7.386894164647083e-05,6.43953325353053,2.6805535292280095e-21,5.0711567382040824e-30,0.9987215715510696,1.8061862434439026e-06,1.224938683136093e-12,3.690709548070519e-19,-1.82274206837353e-22,0.001277463527131514,9.251522625736763e-09,2.5128326280065776e-14,3.033295685884104e-20,9.737132583464324e-27,0.00011110176858822996,0.8714249088010643,0.0005202771094314002,1.4981998258189483e-09,0.5615881756752883,0.43789154571708006,0.274480573059846,0.27481028964318827,0.9722897831422125,0.06901974020518838,9.623695029663572e-08,1.1196539495501814e-07,0.00021740444009280715,0.00020693394222669258,0.9999646951407968,0.9999635542421021,0.0029831922804628226,0.002983189541301166,6.439530974372264
0.29,-96.32789210683133,10.0,0.0328302,0.9988173574028154,0.99896291868624,159.48,0.32778068840865826,0.004772030258793911,3.580035206644683e-05,0.9999998208168128,7.377443402375113e-05,6.43953341417324,1.2151261857888723e-21,1.9172577194067488e-29,0.9987337374938492,1.8061531364241418e-06,1.2248658528477381e-12,3.69352720895196e-19,1.9243693920859223e-22,0.0012652977248479133,9.144134051759237e-09,2.4778627206862668e-14,2.984324591051255e-20,1.697310276657468e-26,0.00011079856570105201,0.8734827053399005,0.000516746476077726,1.4756796334221703e-09,0.5645644245680191,0.43491882748022276,0.2747552336239401,0.27507965578812077,0.972058975742492,0.06892322802797823,9.611382821371019e-08,1.1175293746870667e-07,0.0002170799984074011,0.0002066692107701015,0.9999645283608292,0.9999633937187395,0.002983192160878387,0.0029831894375858202,6.439531147699572
0.3,-96.32805418255792,10.0,0.0328302,0.9988174000552544,0.9989629530888194,159.48,0.322821315040313,0.004168921352016134,3.5799767312245406e-05,0.9999998208232798,7.368551495622615e-05,6.439533565350983,-2.2558183049986085e-20,3.821071552981802e-29,0.9987450471927486,1.8061237204940782e-06,1.2248035003306895e-12,3.6938604044772023e-19,3.1545291077955874e-22,0.0012539881536678358,9.045830956061055e-09,2.4466486953015113e-14,2.941677044427922e-20,2.0785929079609387e-26,0.0001104857048439886,0.8755075675880255,0.0005132398379163515,1.458212569393859e-09,0.5675204670569856,0.4319662916468849,0.27502340885260906,0.2753427605905777,0.9718311906720574,0.0688327197053775,9.59979851941218e-08,1.1154159512709456e-07,0.00021676714862980923,0.000206420127214347,0.9999643705999054,0.9999632426533289,0.0029831920482989733,0.002983189341920843,6.439531312377888
0.31,-96.32819917264659,10.0,0.0328302,0.9988174394849005,0.9989629838994347,159.48,0.3179369686946284,0.003644278773458461,3.579919223909908e-05,0.9999998208290739,7.360174032367579e-05,6.439533707396295,-2.022615234004196e-20,8.061536766312722e-29,0.998755576600299,1.8061059509428185e-06,1.2247207577461178e-12,3.706064505941169e-19,1.7410452811525426e-21,0.0012434589079085056,8.90181007375541e-09,2.3874975226582707e-14,2.847317644751921e-20,4.584391074075309e-26,0.00011019691560444876,0.8775000226485261,0.0005097573430774163,1.435519880987066e-09,0.5704564399360738,0.4290338012853286,0.2752854174033861,0.2755999065231977,0.9716064035515011,0.06874773307490016,9.588885030303028e-08,1.1134151538987569e-07,0.00021647114232782412,0.0002061855543518832,0.9999642229622614,0.9999631007129306,0.0029831919430287988,0.002983189253684011,6.439531466472683
