t,Chk1P,Rad3,p53,preMPF,MPF,p21,p21_MPF,iCdc25,iCdc25Ps216,iCdc25Ps216_protein1433,aCdc25,aCdc25Ps216,protein1433,Wee1,Wee1P
0.1,3.677343668923808e-07,0.0,0.0,5.0999998411757306e-05,1.0001540031579168e-08,0.000995016665367074,4.821103323593242e-14,2.0009994896985105e-06,6.255777393992283e-09,0.027163292696394434,9.99000495021146e-07,7.308480837905019e-15,2.0795815286096064,0.001019999999899047,1.0045206047125024e-13
0.11,3.327347254827182e-07,0.0,0.0,5.599999797943717e-05,1.0001962435922372e-08,0.0010939721642220979,5.812679105385046e-14,2.1010993838305845e-06,-5.258441542843041e-10,0.026893019755251425,9.989005998227318e-07,7.656938988883727e-15,2.087497981534898,0.0010219999998888455,1.1054779596846352e-13
0.12,3.010688831128391e-07,0.0,0.0,6.0999997497432476e-05,1.0002433638605603e-08,0.0011928287561539742,6.892878447807568e-14,2.2011992680001958e-06,-4.1784704974217574e-11,0.026625429083948486,9.988007146567342e-07,7.97164727423254e-15,2.0954065291557873,0.001023999999878625,1.2065288123347645e-13
0.13,2.7240881836170667e-07,0.0,0.0,6.599999696575412e-05,1.0002953638743997e-08,0.0012915865438047716,8.060699463224731e-14,2.3012991422078953e-06,1.3186092419588013e-12,0.026360500651180202,9.987008395188274e-07,8.256265204503892e-15,2.1033071719733214,0.0010259999998683848,1.3076735936231628e-13
0.14,2.464670672975905e-07,0.0,0.0,7.099999638441271e-05,1.000352243535594e-08,0.0013902456270635003,9.315177919695933e-14,2.401399006454009e-06,6.543674364087518e-11,0.026098207218423087,9.986009744051191e-07,8.513653275128358e-15,2.1111999184408323,0.001027999999858125,1.408912725880407e-13
0.15,2.2299844501940608e-07,0.0,0.0,7.599999575341821e-05,1.0004140027418102e-08,0.0014888060995092585,1.0655419767295282e-13,2.501498860738624e-06,1.4944246520127581e-10,0.025838523921025112,9.985011193122057e-07,8.74626989450694e-15,2.1190847760435374,0.0010299999998478458,1.5102466075088114e-13
0.16,2.0178800600811185e-07,0.0,0.0,8.099999507278054e-05,1.000480641377594e-08,0.0015872680539880247,1.2080550385197644e-13,2.6015987050616285e-06,4.016261574511801e-10,0.02558142623084434,9.984012742369926e-07,8.956263039346326e-15,2.1269617523574933,0.0010319999998375468,1.6116756374893217e-13
0.17,1.826817754442374e-07,0.0,0.0,8.599999434250891e-05,1.000552159310374e-08,0.0016856315768539222,1.358977875957764e-13,2.701698539422589e-06,1.5600643959881586e-09,0.025326891258153558,9.983014391770607e-07,9.145141523581327e-15,2.1348308550294646,0.001033999999827228,1.7132001937551326e-13
0.18,1.6544207852260763e-07,0.0,0.0,9.099999356261516e-05,1.0006285563922429e-08,0.0017838967789160093,1.5182070074037934e-13,2.8017983638212384e-06,4.017192196596786e-09,0.025074889724396886,9.982016141289059e-07,9.31526963330336e-15,2.1426920933168137,0.0010359999998168896,1.8148207552138868e-13
0.19,1.498314162175955e-07,0.0,0.0,9.599999273311095e-05,1.0007098324795094e-08,0.0018820637692734438,1.685640375682263e-13,2.9018981782573397e-06,8.111084968439228e-09,0.02482539281095136,9.981017990890427e-07,9.469012460733725e-15,2.1505454762857275,0.0010379999998065314,1.9165377928559603e-13
0.2,1.3561577545161207e-07,0.0,0.0,0.00010099999185400786,1.000795987427777e-08,0.0019801326565610402,1.8611764749392772e-13,3.001997982730656e-06,1.2235124973892034e-08,0.02457837380173298,9.980019940540253e-07,9.608790322031138e-15,2.1583910110196487,0.0010399999997961532,2.018351776009436e-13
0.21,1.227100418646353e-07,0.0,0.0,0.00010599999092531552,1.000887021058835e-08,0.002078103530367223,2.0447368571719045e-13,3.102097777240989e-06,1.5984365164959915e-09,0.024333825438563886,9.979021990220896e-07,9.736141487917191e-15,2.166228689887939,0.001041999999785755,2.120263106888821e-13
0.22,1.1103200006617074e-07,0.0,0.0,0.0001109999899470438,1.0009829331803695e-08,0.002175976482748088,2.236241737337551e-13,3.202197561788055e-06,1.5989481447296166e-10,0.02409170112065974,9.978024139914755e-07,9.850778732426972e-15,2.17405854422508,0.001043999999775337,2.2222722012653447e-13
0.23,1.0046561231639258e-07,0.0,0.0,0.00011599998891920314,1.0010837236013529e-08,0.002273751610822569,2.435605875172951e-13,3.302297336371512e-06,2.0290642498084774e-11,0.023851984757362128,9.977026389600327e-07,9.954230976771662e-15,2.1818805738977343,0.001045999999764899,2.3243794951487704e-13
0.24,9.090795529370972e-08,0.0,0.0,0.00012099998784180397,1.0011893921191641e-08,0.0023714290113445156,2.642745440127445e-13,3.4023971009910416e-06,-1.6982787634147826e-10,0.02361465402495883,9.976028739257453e-07,1.0047591426764328e-14,2.1896947852961555,0.0010479999997544409,2.426585426332049e-13
0.25,8.226816363320275e-08,0.0,0.0,0.00012599998671485664,1.0012999385211921e-08,0.002469008780162225,2.857578436735153e-13,3.5024968556463527e-06,-1.2540869469942428e-09,0.02337968656066627,9.975031188867269e-07,1.0131808562209861e-14,2.1975011852442154,0.0010499999997439626,2.5288904318658787e-13
0.26,7.444594029875897e-08,0.0,0.0,0.00013099998553837224,1.0014153625828907e-08,0.002566491020019285,3.080016674093747e-13,3.6025966003371293e-06,-3.846613404387567e-09,0.02314705803164337,9.974033738409259e-07,1.020791497494544e-14,2.2052997813470148,0.001051999999733464,2.631294979276248e-13
0.27,6.736099697068335e-08,0.0,0.0,0.0001359999843123612,1.0015356640736627e-08,0.00266387582862686,3.309977785780836e-13,3.7026963350631604e-06,-2.3883188201546906e-09,0.022916739481980683,9.97303638786542e-07,1.0276462546430117e-14,2.2130905869830735,0.0010539999997229454,2.7337995179105526e-13
0.28,6.094908428234067e-08,0.0,0.0,0.0001409999830368342,1.0016608427427998e-08,0.002761163303676352,3.547381199814875e-13,3.802796059824319e-06,3.429959675446478e-09,0.022688707654479133,9.972039137219339e-07,1.033808095098501e-14,2.2208736102770215,0.0010559999997124063,2.8364045027197e-13
0.29,5.515048375522208e-08,0.0,0.0,0.00014599998171180078,1.00179089835928e-08,0.0028583535346419693,3.7921532423349877e-13,3.902895774620482e-06,1.754163903606067e-10,0.022462955054269172,9.971041986455898e-07,1.0393975158011417e-14,2.2286488449479434,0.001057999999701847,2.9391103508949613e-13
0.3,4.9901948145735224e-08,0.0,0.0,0.0001509999803372725,1.0019258306396548e-08,0.0029554466269775333,4.044208063171857e-13,4.002995479451563e-06,4.248149802348128e-11,0.022239444926768905,9.970044935557979e-07,1.0444228020740357e-14,2.2364163116320928,0.001059999999691267,3.041917557356446e-13
0.31,4.514846505157958e-08,0.0,0.0,0.00015599997891326052,1.0020656392923058e-08,0.0030524426843937242,4.303462359258187e-13,4.103095174317549e-06,2.1292561997720077e-10,0.02201815627083973,9.969047984509461e-07,1.0489517274492212e-14,2.244176015806845,0.001061999999680667,3.1448266125167183e-13
0.32,4.0847966762742626e-08,0.0,0.0,0.00016099997743977438,1.0022103240640744e-08,0.0031493417939899853,4.569846892734715e-13,4.203194859218471e-06,1.3122501751985022e-09,0.021799068614851248,9.96805113329722e-07,1.0530236212645865e-14,2.251927965065952,0.0010639999996700461,3.2478379306194585e-13
0.33,3.6959729948508816e-08,0.0,0.0,0.0001659999759168238,1.0023598846868249e-08,0.0032461440458138777,4.843290643164438e-13,4.303294534154378e-06,7.033652176850426e-10,0.021582164222476052,9.967054381907948e-07,1.0566909675004084e-14,2.2596721639749755,0.001065999999659405,3.3509519420459084e-13
0.34,3.34383399908474e-08,0.0,0.0,0.00017099997434442114,1.0025143208078082e-08,0.0033428495536670312,5.123705068977557e-13,4.40339419912541e-06,4.131858129748905e-11,0.02136741595611975,9.966057730325432e-07,1.0599918620103113e-14,2.2674086232938495,0.0010679999996487432,3.4541691948423563e-13
0.35000000000000003,3.0246735603988825e-08,0.0,0.0,0.00017599997272257773,1.002673632094039e-08,0.003439458421469415,5.411010264626181e-13,4.503493854131774e-06,-3.925341102788319e-11,0.021154800146311013,9.965061178535299e-07,1.0629605756635763e-14,2.275137351971109,0.0010699999996380603,3.557490192228346e-13
0.36,2.7350912185921478e-08,0.0,0.0,0.00018099997105130544,1.002837818184361e-08,0.003535970757564664,5.705124142871921e-13,4.603593499173749e-06,-5.029968782872102e-11,0.0209442935819518,9.96406472652301e-07,1.0656334009615056e-14,2.2828583581620903,0.001071999999627357,3.660915463236557e-13
0.37,2.4736650535275105e-08,0.0,0.0,0.00018599996933060976,1.0030068789036376e-08,0.0036323866127682767,6.006008702863798e-13,4.703693134251492e-06,-1.2975738592688504e-11,0.020735885274963235,9.96306837428192e-07,1.068024652502928e-14,2.2905716459108802,0.0010739999996166327,3.764445257766416e-13
0.38,2.2373105408884315e-08,0.0,0.0,0.00019099996756050287,1.0031808138676527e-08,0.0037287060981866433,6.313580969148133e-13,4.803792759365336e-06,1.0753116142033374e-11,0.020529551238334796,9.962072121797514e-07,1.0701654596221574e-14,2.298277224044018,0.0010759999996058877,3.868080122950729e-13
0.39,2.0236898275013673e-08,0.0,0.0,0.00019599996574099488,1.003359622748891e-08,0.003824929306080376,6.627772777062537e-13,4.903892374515577e-06,9.486323055907782e-12,0.020325271682320303,9.96107596905796e-07,1.072079262825067e-14,2.3059750999309627,0.0010779999995951218,3.971820516190305e-13
0.4,1.830470253955335e-08,0.0,0.0,0.00020099996387209723,1.0035433051630815e-08,0.003921056341162141,6.948507850505581e-13,5.0039919797026245e-06,6.538519551302586e-13,0.02012302437544085,9.960079916050136e-07,1.0737893175293161e-14,2.313665281966185,0.0010799999995843347,4.075666960423413e-13
0.41000000000000003,1.656378586943128e-08,0.0,0.0,0.00020599996195381766,1.0037318608387858e-08,0.00401708727383244,7.275736042092582e-13,5.1040915749267965e-06,-7.109974180450097e-12,0.01992279463650175,9.959083962765508e-07,1.0753083099038942e-14,2.3213477757903793,0.0010819999995735265,4.179619811879873e-13
0.42,1.499067446242692e-08,0.0,0.0,0.00021099995998616753,1.0039252893946316e-08,0.004113022208206512,7.609381448940458e-13,5.204191160188494e-06,-5.1854667012420156e-12,0.019724560355506286,9.958088109191e-07,1.076659682735791e-14,2.329022589741407,0.0010839999995626974,4.283679590264478e-13
0.43,1.3574250883460833e-08,0.0,0.0,0.00021599995796915735,1.0041235904364079e-08,0.004208861238910299,7.949379204682468e-13,5.304290735488288e-06,-7.427170777656784e-12,0.019528302434754195,9.957092355315718e-07,1.0778546041833746e-14,2.3366897313755017,0.0010859999995518471,4.3878467831789696e-13
0.44,1.2288707808332564e-08,0.0,0.0,0.00022099995590280018,1.004326763519313e-08,0.004304604485878558,8.295642348695239e-13,5.404390300826663e-06,-4.1932163014743316e-12,0.019333995515964437,9.956096701124718e-07,1.0789188432030317e-14,2.3443492102971133,0.0010879999995409757,4.4921219911664196e-13
0.45,1.1127885880152533e-08,0.0,0.0,0.00022599995378710556,1.0045348082638879e-08,0.004400252034381705,8.648114513578487e-13,5.504489856204238e-06,-1.900631362295277e-12,0.01914162288218872,9.955101146608541e-07,1.0798585781594301e-14,2.3520010333214723,0.0010899999995300827,4.596505661255536e-13
0.46,1.0075140576875778e-08,0.0,0.0,0.00023099995162208478,1.0047477242561247e-08,0.004495803988301406,9.006722861632343e-13,5.604589401621556e-06,-5.235031354648202e-13,0.01895116316796951,9.9541056917548e-07,1.0806904505148596e-14,2.3596452087591566,0.0010919999995191688,4.700998322737741e-13
0.47000000000000003,9.121245119428585e-09,0.0,0.0,0.00023599994940774836,1.004965511082446e-08,0.0045912604420502105,9.37140440649878e-13,5.704688937079268e-06,4.0788516556433413e-13,0.018762597718932846,9.953110336552782e-07,1.0814236796413708e-14,2.36728174416366,0.0010939999995082331,4.805600468746633e-13
0.48,8.257833279996582e-09,0.0,0.0,0.0002409999471441065,1.0051881683326591e-08,0.004686621488428638,9.742097554765318e-13,5.804788462578025e-06,7.200771181319174e-13,0.018575908275429095,9.952115080992035e-07,1.0820666266273208e-14,2.374910646958868,0.0010959999994972762,4.910312585160264e-13
0.49,7.47518114320767e-09,0.0,0.0,0.00024599994483116995,1.0054156955800582e-08,0.004781887224180725,1.0118738009073985e-12,5.904887978118481e-06,5.374076411458024e-13,0.01839107577992715,9.951119925061559e-07,1.0826290089962643e-14,2.3825319248844465,0.0010979999994862977,5.015135178478275e-13
0.5,6.768387787055349e-09,0.0,0.0,0.00025099994246894903,1.005648092382003e-08,0.0048770577420849575,1.0501266977789157e-12,6.004987483701369e-06,7.460055061075273e-13,0.01820808263695267,9.950124868751214e-07,1.0831157160524605e-14,2.3901455853635794,0.0010999999994752976,5.120068745541997e-13
0.51,6.126816652194859e-09,0.0,0.0,0.0002559999400574543,1.0058853583259126e-08,0.004972133138139978,1.0889619732299344e-12,6.105086979327314e-06,1.055043394309029e-12,0.018026909716696578,9.949129912049996e-07,1.0835373803932345e-14,2.3977516360758853,0.0011019999994642759,5.225113785206898e-13
0.52,5.547643459741912e-09,0.0,0.0,0.00026099993759669634,1.0061274929272702e-08,0.005067113506664018,1.1283739443813997e-12,6.205186464997133e-06,9.323158857041493e-13,0.01784753982863422,9.948135054947784e-07,1.0838968191354042e-14,2.4053500845663094,0.0011039999994532325,5.330270814871956e-13
0.53,5.022920565177883e-09,0.0,0.0,0.0002659999350866856,1.0063744957556898e-08,0.005161998942470221,1.1683564144659436e-12,6.305285940711504e-06,4.177939917881688e-13,0.017669954544226915,9.947140297433948e-07,1.0842019732382627e-14,2.4129409384199607,0.0011059999994421671,5.435540334998587e-13
0.54,4.5471273642553405e-09,0.0,0.0,0.00027099993252743256,1.006626366350589e-08,0.005256789540298997,1.2089034515906215e-12,6.4053854064711844e-06,-2.274540033419271e-13,0.017494136065814094,9.946145639498072e-07,1.0844583560613184e-14,2.4205242052163523,0.0011079999994310801,5.540922856369265e-13
0.55,4.117548521785975e-09,0.0,0.0,0.0002759999299189479,1.0068831042144061e-08,0.005351485394880474,1.2500094397953825e-12,6.50548486227702e-06,-2.6224772672261697e-13,0.01732006734519084,9.945151081129996e-07,1.0846686748960861e-14,2.4280998925346537,0.001109999999419971,5.646418902744221e-13
0.56,3.727539546051934e-09,0.0,0.0,0.00028099992726124217,1.0071447089024248e-08,0.005446086600921865,1.2916683156674512e-12,6.605584308129726e-06,2.685676823763841e-13,0.01714773027419202,9.944156622319212e-07,1.08483956738661e-14,2.435668007951416,0.0011119999994088402,5.752028979176466e-13
0.5700000000000001,3.375354615879591e-09,0.0,0.0,0.00028599992455432584,1.0074111798938735e-08,0.005540593252856712,1.3338746897311528e-12,6.705683744030187e-06,3.2061512295023707e-13,0.01697710835642653,9.94316226305566e-07,1.084972776657862e-14,2.4432285590202962,0.0011139999993976873,5.857753616918425e-13
0.58,3.05614015047205e-09,0.0,0.0,0.0002909999217982095,1.007682516718576e-08,0.005635005445361868,1.3766227181931313e-12,6.805783169979178e-06,-5.991425982675404e-14,0.016808184006046046,9.942168003328995e-07,1.0850731496595795e-14,2.4507815533155073,0.001115999999386512,5.963593329938157e-13
0.59,2.7670970115384767e-09,0.0,0.0,0.0002959999189929038,1.0079587188632572e-08,0.005729323272642186,1.4199069696272725e-12,6.9058825859775515e-06,-5.716986676961436e-13,0.016640940635492728,9.941173843129076e-07,1.0851434798762747e-14,2.458326998373757,0.0011179999993753149,6.069548646420425e-13
0.6,2.50700527828377e-09,0.0,0.0,0.00030099991613841923,1.0082397857748711e-08,0.005823546828325612,1.4637224066667216e-12,7.005981992026214e-06,-4.575553241391072e-14,0.01647536261590348,9.940179782445944e-07,1.085184981208906e-14,2.465864901686469,0.0011199999993640956,6.175620107398064e-13
0.61,2.2709143011730837e-09,0.0,0.0,0.0003059999132347664,1.008525716994226e-08,0.005917676207399753,1.5080630621782801e-12,7.106081388125937e-06,6.472119958850028e-13,0.016311432056472036,9.939185821269224e-07,1.0852025991351933e-14,2.4733952708517988,0.0011219999993528538,6.281808223580518e-13
0.62,2.0562745238908225e-09,0.0,0.0,0.00031099991028195583,1.0088165120078241e-08,0.006011711504173746,1.5529234966382267e-12,7.206180774277577e-06,1.3325121261053659e-12,0.01614913234646943,9.938191959588792e-07,1.0851988785199282e-14,2.4809181134143214,0.0011239999993415898,6.388113523430137e-13
0.63,1.8610770851831577e-09,0.0,0.0,0.0003159999072799981,1.0091121702928142e-08,0.006105652812896625,1.5982983559636907e-12,7.306280150482012e-06,1.7014524270995552e-12,0.015988447080593052,9.937198197394576e-07,1.0851758241247007e-14,2.4884334369136694,0.0011259999993303033,6.494536538575795e-13
0.64,1.683853818858028e-09,0.0,0.0,0.00032099990422890386,1.0094126913169908e-08,0.006199500227757325,1.6441823715126525e-12,7.406379516740136e-06,1.311339827667564e-12,0.01582936005896664,9.936204534676559e-07,1.0851349006078995e-14,2.4959412488845327,0.0011279999993189945,6.601077803812899e-13
0.65,1.5211753461426751e-09,0.0,0.0,0.00032599990112868355,1.0097180745380514e-08,0.00629325384204392,1.6905704433637927e-12,7.5064788730528065e-06,1.3253847751206269e-12,0.015671855520883876,9.935210971424594e-07,1.0850795321363325e-14,2.503441556791139,0.0011299999993076631,6.707737856535803e-13
0.66,1.3703486109343765e-09,0.0,0.0,0.0003309998979793478,1.0100283194043972e-08,0.0063869137490501215,1.7374575505248765e-12,7.606578219420908e-06,2.636751571530213e-12,0.015515917892788054,9.934217507628607e-07,1.0850124073255268e-14,2.5109343680978973,0.001131999999296309,6.814517237349768e-13
0.67,1.2324528568326007e-09,0.0,0.0,0.00033599989478090716,1.0103434253560369e-08,0.006480480043095514,1.7848386498755815e-12,7.70667755584541e-06,3.757245800112159e-12,0.015361531504632436,9.933224143278795e-07,1.0849324460488399e-14,2.5184196903489036,0.0011339999992849323,6.921416490759703e-13
0.68,1.1072643072001987e-09,0.0,0.0,0.0003409998915333723,1.0106633918230764e-08,0.006573952817820006,1.83270884510734e-12,7.806776882327264e-06,4.3468491960200255e-12,0.015208681064047849,9.93223087836528e-07,1.0848398700997322e-14,2.5258975310350293,0.0011359999992735328,7.028436164018783e-13
0.6900000000000001,9.950142845237413e-10,0.0,0.0,0.0003459998882367538,1.010988218226243e-08,0.006667332166774639,1.881063328201628e-12,7.906876198867437e-06,3.991068923997397e-12,0.01505735149208837,9.931237712878224e-07,1.0847344466858492e-14,2.5333678976399607,0.0011379999992621106,7.135576807527298e-13
0.7000000000000001,8.963892104135202e-10,0.0,0.0,0.0003509998848910622,1.0113179039768842e-08,0.00676061818342159,1.9298973794299635e-12,8.006975505466913e-06,2.2009375783778933e-12,0.014907527923231322,9.93024464680784e-07,1.0846154884290208e-14,2.540830797640202,0.0011399999992506653,7.24283897483264e-13
0.71,8.036075403438651e-10,0.0,0.0,0.00035599988149630804,1.0116524485455716e-08,0.0068538109606727,1.979205810332919e-12,8.107074802126382e-06,1.3291419154797051e-12,0.014759194406772942,9.92925168014359e-07,1.0844907649341053e-14,2.548286238471072,0.0011419999992391971,7.350223201352988e-13
0.72,7.16419485406585e-10,0.0,0.0,0.00036099987805250194,1.01199185133909e-08,0.006946910591716929,2.028983962500315e-12,8.2071740888468e-06,1.341186466366902e-12,0.014612336235322832,9.92825881287561e-07,1.0843605236811672e-14,2.55573422758767,0.0011439999992277061,7.457730042527347e-13
0.73,6.376436200621308e-10,0.0,0.0,0.0003659998745596545,1.0123361117347534e-08,0.007039917169789514,2.079227428944637e-12,8.307273365629231e-06,1.274065641334221e-12,0.014466939295231166,9.927266044994314e-07,1.084221947667123e-14,2.563174772447871,0.001145999999216192,7.56536006317295e-13
0.74,5.674778118223972e-10,0.0,0.0,0.00037099987101777635,1.0126852291241442e-08,0.007132830787877762,2.129931698961688e-12,8.407372632474643e-06,1.0954971804949769e-12,0.014322989238638738,9.926273376489888e-07,1.0840748371462982e-14,2.5706078804906456,0.0011479999992046546,7.673113823920129e-13
0.75,5.063635076955026e-10,0.0,0.0,0.00037599986742687806,1.0130392028910915e-08,0.007225651538869172,2.181092336933235e-12,8.507471889384017e-06,7.678505509916697e-13,0.014180471900326412,9.925280807352545e-07,1.0839187490343103e-14,2.578033559146974,0.001149999999193094,7.780991888041975e-13
0.76,4.5498573418578883e-10,0.0,0.0,0.0003809998637869702,1.0133980324116716e-08,0.0073183795155514425,2.2327049823270067e-12,8.607571136358346e-06,2.481469469959815e-13,0.01403937329771512,9.924288337572524e-07,1.083752996908068e-14,2.585451815839847,0.0011519999991815102,7.888994821454338e-13
0.77,4.0504774240543184e-10,0.0,0.0,0.0003859998600980634,1.0137617171380947e-08,0.007411014810746548,2.2847645917548356e-12,8.70767037339824e-06,-1.373384967425743e-14,0.013899677836494278,9.923295967139215e-07,1.083585865992123e-14,2.592862657995491,0.001153999999169903,7.997123170237116e-13
0.78,3.596403151117841e-10,0.0,0.0,0.0003909998563601681,1.0141302564134847e-08,0.007503557517014691,2.337267112485562e-12,8.807769600504788e-06,-1.750792826313124e-13,0.013761372272540448,9.92230369604309e-07,1.083414266745052e-14,2.600266093018583,0.0011559999991582726,8.105377510266574e-13
0.79,3.194358475254178e-10,0.0,0.0,0.000395999852573295,1.0145036495974182e-08,0.007596007726854959,2.3902083481706146e-12,8.90786881767898e-06,-2.547679713467428e-13,0.013624443026606118,9.921311524274396e-07,1.0832375252619253e-14,2.607662128309049,0.0011579999991466186,8.213758413575527e-13
0.8,2.842789357357283e-10,0.0,0.0,0.00040099984873745475,1.0148818960514607e-08,0.007688365532682209,2.4435840895244615e-12,9.007968024921771e-06,-2.1916798451609494e-13,0.013488876493696051,9.920319451823308e-07,1.083055794473591e-14,2.6150507712601296,0.001159999999134941,8.322266452229005e-13
0.81,2.5409430350020693e-10,0.0,0.0,0.0004059998448526578,1.015264995130911e-08,0.007780631026813866,2.497390188918567e-12,9.108067222234113e-06,-3.1168597190011476e-14,0.013354659219662982,9.91932747868e-07,1.0828691472403106e-14,2.622432029257274,0.0011619999991232396,8.430902200536524e-13
0.8200000000000001,2.2868837778779394e-10,0.0,0.0,0.00041099984091891496,1.0156529461871654e-08,0.0078728043014862,2.5516225368844817e-12,9.208166409616964e-06,3.2221131000945035e-13,0.013221777845399784,9.918335604834656e-07,1.0826777752840222e-14,2.629805909679414,0.0011639999991115146,8.539666234648392e-13
0.8300000000000001,2.046279332140109e-10,0.0,0.0,0.0004159998369362366,1.0160457486049152e-08,0.007964885449110264,2.6062766924909996e-12,9.308265587071268e-06,3.955238102489633e-13,0.013090218228943039,9.917343830277112e-07,1.0824851185320552e-14,2.6371724199190085,0.001165999999099766,8.648559126205231e-13
0.84,1.8345657281850805e-10,0.0,0.0,0.00042099983290463336,1.0164434017042313e-08,0.008056874561598166,2.6613488563185333e-12,9.408364754597991e-06,4.2811734378852784e-13,0.012959967756398195,9.916352154997724e-07,1.082289627608796e-14,2.644531567329282,0.0011679999990879934,8.757581459054607e-13
0.85,1.6483215215613e-10,0.0,0.0,0.000425999828824116,1.0168459048223451e-08,0.008148771730925783,2.7168350578106476e-12,9.5084639121981e-06,3.892910374240054e-13,0.012831013411806739,9.915360578986662e-07,1.082091643974251e-14,2.651883359268292,0.001169999999076197,8.866733815288955e-13
0.86,1.484355680071852e-10,0.0,0.0,0.00043099982469469496,1.0172532572909012e-08,0.00824057704897624,2.772731381307874e-12,9.60856305987256e-06,2.438799132020903e-13,0.01270334231400229,9.914369102234094e-07,1.0818914862503773e-14,2.6592278030866727,0.0011719999990643765,8.976016779129055e-13
0.87,1.3397075837744516e-10,0.0,0.0,0.0004359998205163809,1.0176654584359578e-08,0.008332290607539922,2.829033966047712e-12,9.70866219762234e-06,-4.7745111579687534e-14,0.012576941716610612,9.913377724730196e-07,1.0816894502210834e-14,2.666564906127632,0.0011739999990525321,9.085430936924034e-13
0.88,1.2117661803582546e-10,0.0,0.0,0.00044099981628918444,1.0180825075812489e-08,0.008423912498346006,2.88573896814647e-12,9.808761325448395e-06,-3.927054382837264e-13,0.012451798918970105,9.912386446465146e-07,1.0814857962437342e-14,2.673894675729616,0.0011759999990406634,9.194976877643205e-13
0.89,1.0984347911140784e-10,0.0,0.0,0.0004459998120131162,1.0185044040526964e-08,0.008515442813106087,2.9428425080156554e-12,9.908860443351671e-06,-3.76166616786178e-13,0.012327901142924326,9.911395267429118e-07,1.0812807318377734e-14,2.681217119229984,0.0011779999990287706,9.304655193556368e-13
0.9,9.972535925008037e-11,0.0,0.0,0.00045099980768818673,1.0189311471543852e-08,0.008606881643281895,3.000340950346284e-12,1.0008959551333154e-05,-2.700655250285013e-13,0.012205236188846972,9.910404187612306e-07,1.0810745043925558e-14,2.6885322439454202,0.0011799999990168536,9.414466476611582e-13
0.91,9.062579700914368e-11,0.0,0.0,0.00045599980331440665,1.019362736192063e-08,0.008698229080312501,3.0582306302392638e-12,1.0109058649393816e-05,-4.6413199002210186e-14,0.012083791793944105,9.909413207004906e-07,1.0808673104841999e-14,2.6958400571910976,0.0011819999990049122,9.52441132197828e-13
