t,NO,O_2m,NO_2,N2O3,GSNO,CcOX,FeLn,ONOO_m,GSH
0.21,0.13188517833400415,4.018735866458181e-06,5.422452976609765e-08,1.0590965410992888e-11,0.0009377120320507536,0.023169397103080778,0.049999987910622136,3.6163572702364555e-05,9999.999062277882
0.22,0.13883394139235092,4.0112319627302215e-06,5.72433564439307e-08,1.1771224581968556e-11,0.001024671368041801,0.020236596255380126,0.04999998727365551,3.8035291310509194e-05,9999.998975317272
0.23,0.1460233179253579,4.003497340811737e-06,6.036383436440497e-08,1.305695431793346e-11,0.0011161720448070397,0.01755053074788341,0.04999998661463275,3.996594018182635e-05,9999.998883815226
0.24,0.15345205637391157,3.99553688171009e-06,6.358673768458436e-08,1.4453957184931292e-11,0.0012123680926482063,0.015110150678859026,0.04999998593366858,4.195546850836728e-05,9999.998787617711
0.25,0.16111580180157944,3.987356741057596e-06,6.691113492855401e-08,1.5968340995405887e-11,0.0013134118126958657,0.012911299771993246,0.04999998523116199,4.400291943815704e-05,9999.998686572426
0.26,0.16900733361090198,3.9789703852526386e-06,7.033447738906883e-08,1.7607823503151136e-11,0.0014194518340005806,0.010946950401967137,0.049999984507774854,4.6106414709033175e-05,9999.998580530733
0.27,0.17711685840291305,3.970384510258221e-06,7.385264932876967e-08,1.9375509132343277e-11,0.0015306313525609526,0.009207494332095284,0.049999983764404836,4.8263439509189556e-05,9999.998469349437
0.28,0.18543235787405665,3.96162845558835e-06,7.746075586366904e-08,2.1276752311403366e-11,0.0016470865741885132,0.007681088107665239,0.04999998300215371,5.047049787261995e-05,9999.998352892328
0.29,0.1939399843353646,3.952731469811443e-06,8.115294669772822e-08,2.3175040377804803e-11,0.0017689453613750615,0.006354046473370245,0.049999982222285085,5.272308732283599e-05,9999.998231031539
0.3,0.20262449143431233,3.943604700963005e-06,8.492145227118974e-08,2.5591994069785716e-11,0.0018963262442164928,0.00521127515492565,0.04999998142621765,5.501877892643613e-05,9999.998103648537
0.31,0.21146969309726904,3.934445071969993e-06,8.876000619687637e-08,2.7747134467789915e-11,0.002029337739045965,0.0042367245605071996,0.04999998061540332,5.7352448335529064e-05,9999.997970634802
0.32,0.22045891109808408,3.9251305016032724e-06,9.266144794668554e-08,3.027767535344935e-11,0.002168077726990028,0.0034138375198940274,0.04999997979139679,5.97181643367422e-05,9999.99783189245
0.33,0.22957539994769266,3.915740631835731e-06,9.661818456519877e-08,3.2907413913938745e-11,0.0023126332688292606,0.00272597495257362,0.04999997895572183,6.211062989148247e-05,9999.997687334417
0.34,0.2388027624003871,3.906295904700897e-06,1.0062224184335225e-07,3.5545393712378386e-11,0.0024630804892308055,0.002156832393773208,0.049999978109877885,6.452625500689907e-05,9999.997536884573
0.35000000000000003,0.2481252712497158,3.896788352699408e-06,1.0466669441604454e-07,3.8461177210144856e-11,0.002619485318125525,0.001690761157794004,0.04999997725531761,6.696040306885177e-05,9999.997380476985
0.36,0.25752815101588733,3.8872054093070895e-06,1.0874536926748828e-07,4.1781263773064126e-11,0.0027819039378701653,0.001313051004472298,0.04999997639340061,6.940810187731826e-05,9999.99721805547
0.37,0.2669977865697163,3.877648456680649e-06,1.1285196069418856e-07,4.4746646676033004e-11,0.002950383315447805,0.0010101396485717054,0.04999997552534422,7.186489250056312e-05,9999.997049573056
0.38,0.27652186743334367,3.868191313922529e-06,1.1698036310191523e-07,4.715809179600807e-11,0.0031249618970521126,0.0007697588045279537,0.049999974652268936,7.4327938497647e-05,9999.996874991293
0.39,0.28608945905780225,3.858586649536871e-06,1.2112602192640755e-07,5.120566536187418e-11,0.0033056706049782838,0.000581005736704647,0.04999997377526611,7.67942479896553e-05,9999.996694279256
0.4,0.29569101303278794,3.848743346804608e-06,1.252853024097751e-07,5.698277445703889e-11,0.0034925338041402014,0.0004343527743623004,0.049999972895214836,7.925842527222964e-05,9999.99650741258
0.41000000000000003,0.30531832271965853,3.839390271689385e-06,1.2945431544728773e-07,5.841434449521072e-11,0.003685570153052202,0.00032160912677166623,0.049999972012620846,8.171792560058056e-05,9999.9963143726
0.42,0.31496444170496685,3.830602850705388e-06,1.3362931512151356e-07,5.6547501619198255e-11,0.003884793414586867,0.00023584558489141873,0.04999997112816372,8.417822773932114e-05,9999.996115145552
0.43,0.3246235992703423,3.820451773770349e-06,1.3780750482935877e-07,6.789975168825577e-11,0.004090213017545249,0.00017129087192818118,0.049999970243043035,8.66340997663495e-05,9999.995909722007
0.44,0.33429108737371516,3.8093390408487917e-06,1.419883192421964e-07,8.595530174055321e-11,0.004301834779106592,0.00012320974451407793,0.04999996935742536,8.905994643477386e-05,9999.995698096143
0.45,0.3439630581423301,3.80225140449978e-06,1.4617116468628137e-07,6.65440083685199e-11,0.004519662459950613,8.777297514801889e-05,0.04999996846987053,9.147516775330497e-05,9999.9954802642
0.46,0.3536364141464952,3.7923691381202803e-06,1.5034937737439201e-07,7.981325892406142e-11,0.004743698084620132,6.192687299106747e-05,0.049999967583511155,9.392329462131933e-05,9999.995256224147
0.47000000000000003,0.36330884153724086,3.7830298654218138e-06,1.5452771669087315e-07,8.316154153026573e-11,0.004973939994496439,4.3270866062342336e-05,0.04999996669682951,9.633372896473723e-05,9999.995025977641
0.48,0.37297846849069743,3.773773848113622e-06,1.5870329377985108e-07,8.768064310226486e-11,0.005210386324695236,2.9943921225393652e-05,0.049999965810446884,9.872691069576461e-05,9999.994789526552
0.49,0.38264387657373655,3.7645683809239677e-06,1.6287524980973214e-07,9.231767746832771e-11,0.005453033684142034,2.0521439717783634e-05,0.049999964924451,0.00010111115544245154,9999.994546874264
0.5,0.3923040037828293,3.755418064801455e-06,1.6704370901444212e-07,9.7070641649756e-11,0.005701878684728641,1.3928412556645509e-05,0.04999996403893914,0.00010348345236542051,9999.994298024163
0.51,0.4019580612242071,3.7463178559990865e-06,1.7120812757573908e-07,1.0193897206374475e-10,0.005956916925195063,9.361026466361658e-06,0.04999996315398363,0.00010584260313328727,9999.99404298065
0.52,0.4116054722872247,3.7372678035552042e-06,1.7536844733553709e-07,1.0692218358287981e-10,0.0062181434997179985,6.228534508690938e-06,0.04999996226963733,0.00010818921605260967,9999.99378174863
0.53,0.42124582328355625,3.7282679776605164e-06,1.795245855775979e-07,1.1201981820188195e-10,0.006485553282250245,4.10273553055874e-06,0.04999996138593816,0.00011052324396921676,9999.993514333226
0.54,0.4308788214960249,3.7193182084262635e-06,1.8367646461793039e-07,1.1723141864489965e-10,0.006759140947813206,2.675982005867111e-06,0.049999960502912943,0.00011284433160690476,9999.993240739765
0.55,0.44050426227399336,3.710418274289868e-06,1.878240498780442e-07,1.2255661554475264e-10,0.007038900983280541,1.728526673804841e-06,0.04999995962058045,0.00011515238552349857,9999.992960973756
0.56,0.45012200758207566,3.701567896679013e-06,1.9196735566612757e-07,1.2799503576568623e-10,0.007324827750316081,1.107246038046585e-06,0.049999958738953326,0.00011744755207362868,9999.99267504084
0.5700000000000001,0.4597319655980773,3.6927667526729407e-06,1.9610639999452472e-07,1.3354636744932487e-10,0.007616915560219618,7.052817989075793e-07,0.049999957858039984,0.00011972997555882528,9999.992382946699
0.58,0.4693340752451995,3.6840145036790134e-06,2.00241232969412e-07,1.392102367803077e-10,0.00791515870136049,4.465660084765856e-07,0.04999995697784605,0.0001219997573825647,9999.99208469705
0.59,0.4789283001610082,3.6753107740534208e-06,2.0437185876911728e-07,1.4498644517877213e-10,0.00821955144500365,2.7976657716726115e-07,0.049999956098374806,0.00012425694450029297,9999.991780297618
0.6,0.48851462305883925,3.6666552051857374e-06,2.0849836478545264e-07,1.5087447790639335e-10,0.00853008804777895,1.7267265499743465e-07,0.049999955219627905,0.00012650159489077282,9999.991469754144
0.61,0.4980930387072915,3.6580473840172743e-06,2.126207108124738e-07,1.5687434964983686e-10,0.00884676276634325,1.0521290759259695e-07,0.04999995434160574,0.00012873379353390115,9999.991153072373
0.62,0.5076635483431378,3.6494869480614264e-06,2.1673904469932117e-07,1.6298548736392202e-10,0.009169569865112713,6.388846580757232e-08,0.04999995346430826,0.00013095367278024336,9999.99083025804
0.63,0.5172261586548265,3.6409735028310403e-06,2.2085336038319467e-07,1.6920770030728852e-10,0.009498503623683647,4.0734604914109155e-08,0.049999952587734826,0.00013316133436397208,9999.990501316866
0.64,0.5267808750373238,3.6325066506125994e-06,2.2496361965655257e-07,1.7554090708138365e-10,0.009833558345206456,2.662016514453896e-08,0.04999995171188492,0.0001353569136223001,9999.990166254544
0.65,0.5363277095607676,3.6240860270832104e-06,2.2906993983037333e-07,1.8198456850641357e-10,0.010174728346185456,1.9147821427898343e-08,0.04999995083675747,0.00013754048362752926,9999.989825076758
0.66,0.5458666712393734,3.615711259079162e-06,2.331723680620907e-07,1.885383615876722e-10,0.010522007970263744,1.2981539340172571e-08,0.049999949962351666,0.00013971212637999906,9999.989477789168
0.67,0.5553977751017458,3.607381951943951e-06,2.3727090845672e-07,1.9520224259755501e-10,0.01087539156829779,8.86990644964355e-09,0.04999994908866608,0.00014187193077405823,9999.989124397416
0.68,0.5649210340870322,3.599097741117623e-06,2.4136562246622737e-07,2.0197584807582554e-10,0.011234873513732157,5.573209346692321e-09,0.049999948215699544,0.00014401998605150342,9999.988764907132
0.6900000000000001,0.5744364623261289,3.5908582634351417e-06,2.4545655489446893e-07,2.088588336358686e-10,0.011600448193376744,3.132259004168338e-09,0.049999947343450764,0.00014615640472120605,9999.988399323927
0.7000000000000001,0.5839440739268386,3.5826631444077436e-06,2.495436776591496e-07,2.1585100345367563e-10,0.011972110018268213,1.6647046376261888e-09,0.04999994647191844,0.00014828128379035753,9999.988027653393
0.71,0.5934438834609275,3.574512027977475e-06,2.536270571089307e-07,2.229520453445468e-10,0.01234985341571053,1.8340334912178284e-09,0.049999945601101235,0.00015039471654318734,9999.987649901099
0.72,0.6029359054624821,3.5664045664439678e-06,2.5770680707498423e-07,2.3016163127246094e-10,0.012733672834347566,4.3549231055028805e-09,0.04999994473099781,0.0001524967775818714,9999.9872660726
0.73,0.6124201517518298,3.5583403898308412e-06,2.6178280172663516e-07,2.374796038014813e-10,0.013123562744324633,7.348488509860889e-09,0.04999994386160709,0.0001545875939687507,9999.98687617342
0.74,0.621896633214771,3.5503191349239836e-06,2.658549416232685e-07,2.4490580062489255e-10,0.013519517638089059,8.093594118024783e-09,0.04999994299292809,0.0001566672798864727,9999.98648020907
0.75,0.6313653637833091,3.5423404599890963e-06,2.6992328539555176e-07,2.524399253208488e-10,0.013921532021204637,6.976929988426552e-09,0.04999994212495954,0.00015873592001846762,9999.986078185048
0.76,0.6408263575947655,3.534404031947316e-06,2.739879342457779e-07,2.6008164959772155e-10,0.014329600418057347,4.673616864766011e-09,0.04999994125770013,0.00016079358743352744,9999.98567010682
0.77,0.6502796250419969,3.526509508177388e-06,2.78048867997311e-07,2.678307578399899e-10,0.01474371737978163,-1.7720654723539864e-09,0.04999994039114891,0.00016284036939084415,9999.985255979844
0.78,0.6597251825782576,3.518656579790368e-06,2.821062786800043e-07,2.756867738919685e-10,0.015163877465780405,-9.196837678175623e-09,0.04999993952530434,0.00016487633421151057,9999.984835809553
0.79,0.6691630459002962,3.5108449448973144e-06,2.8616038834141637e-07,2.8364920780452167e-10,0.015590075256215558,-1.5108763956165688e-08,0.04999993866016496,0.00016690153688683713,9999.984409601373
0.8,0.6785932309167385,3.503074313237771e-06,2.902114798935105e-07,2.91717514116005e-10,0.016022305350306423,-1.6723245913524593e-08,0.049999937795729255,0.00016891601738990586,9999.9839773607
0.81,0.6880157479344902,3.4953443071382846e-06,2.942590941908582e-07,2.998918353097541e-10,0.016460562358082388,-1.6755941261305137e-08,0.049999936931996336,0.0001709199165146567,9999.983539092927
0.8200000000000001,0.6974306122920836,3.4876546137108445e-06,2.983032476084743e-07,3.081718423158222e-10,0.016904840907969135,-1.2829495476637329e-08,0.04999993606896478,0.00017291330696163644,9999.983094803425
0.8300000000000001,0.7068378378690878,3.480004895491441e-06,3.02343747247141e-07,3.165574203431163e-10,0.017355135643078494,-3.941744483169448e-09,0.04999993520663333,0.0001748962888016965,9999.98264449755
0.84,0.7162374324961661,3.4723947594853403e-06,3.0638048449625525e-07,3.2504897383478956e-10,0.017811441232842905,4.961831313573026e-09,0.04999993434500136,0.00017686898644864656,9999.982188180631
0.85,0.7256294065804211,3.464823819449077e-06,3.1041304633511024e-07,3.3364683617793326e-10,0.018273752353284253,1.1577552185430678e-08,0.049999933484068,0.0001788315409157115,9999.981725857995
0.86,0.7350137687080369,3.4572917066291266e-06,3.144412141910121e-07,3.423512298915325e-10,0.018742063702065947,1.1866224893865489e-08,0.049999932623832524,0.00018078408786199835,9999.981257534942
0.87,0.7443905358201715,3.449798415183984e-06,3.1846643732867087e-07,3.5115940170353067e-10,0.019216370010323287,1.0208810328030284e-08,0.04999993176429311,0.0001827265770919134,9999.980783216743
0.88,0.753759719871329,3.442343816625598e-06,3.224896360421877e-07,3.6006963205569425e-10,0.019696666021621727,6.086132453374203e-09,0.0499999309054485,0.00018465903396213743,9999.980302908652
0.89,0.7631213340416102,3.4349273645579377e-06,3.265094648094674e-07,3.6908398834010413e-10,0.02018294648112196,2.761989411947232e-10,0.04999993004729768,0.00018658156763918705,9999.979816615927
0.9,0.7724753941080779,3.427548656161576e-06,3.305252497339709e-07,3.782033885447365e-10,0.020675206158320157,-3.773163555939189e-09,0.049999929189839254,0.00018849421364741805,9999.979324343796
0.91,0.7818219140517866,3.420207404831031e-06,3.3453703932809936e-07,3.8742743980450485e-10,0.021173439835752175,-4.3356562713733655e-09,0.04999992833307194,0.00019039703290526933,9999.978826097476
0.92,0.7911609036129322,3.4129034897810565e-06,3.3854598415183247e-07,3.967537444528712e-10,0.021677642304357283,-3.850811950131412e-09,0.04999992747699478,0.00019229015476338702,9999.97832188218
0.93,0.8004923754588263,3.4056365793373227e-06,3.425519422171781e-07,4.0618214369736453e-10,0.022187808369667977,-1.7614129251937506e-09,0.04999992662160668,0.00019417369635287723,9999.977811703098
0.9400000000000001,0.8098163412127675,3.398406329625304e-06,3.4655417885438964e-07,4.1571397698214657e-10,0.02270393286891797,1.5259846120660217e-09,0.049999925766906525,0.00019604769290276254,9999.977295565395
0.9500000000000001,0.8191328098360843,3.3912124793845782e-06,3.505527064517206e-07,4.2534904324570137e-10,0.023226010641263704,3.011132815189007e-09,0.04999992491289348,0.00019791227053308211,9999.976773474233
0.96,0.8284417943672034,3.384054764089006e-06,3.545480384152948e-07,4.3508640098064e-10,0.023754036548345715,3.8379529162728645e-09,0.04999992405956637,0.00019976748235391378,9999.97624543475
0.97,0.8377433066991842,3.3769329252539736e-06,3.5854064926035914e-07,4.4492533246561046e-10,0.024288005469562,4.0769406088131205e-09,0.04999992320692411,0.00020161337381174968,9999.975711452063
0.98,0.8470373582414742,3.3698466919111914e-06,3.625303301820361e-07,4.5486569669242353e-10,0.024827912298273542,3.3849945677298435e-09,0.049999922354965656,0.0002034500011479383,9999.975171531285
0.99,0.8563239605399441,3.362795763943315e-06,3.665156089379813e-07,4.6490824373680896e-10,0.02537375193842191,1.6236240572961824e-09,0.04999992150368994,0.00020527744757343585,9999.974625677505
1.0,0.865603126224487,3.3557798703798106e-06,3.7049618878198847e-07,4.750527880046951e-10,0.02592551931371109,-1.950882447665038e-10,0.049999920653095796,0.00020709575453106685,9999.974073895806
1.01,0.874874866149435,3.3487988116398043e-06,3.7447669974293555e-07,4.852968042138575e-10,0.026483209351484592,-2.7713266035329123e-09,0.04999991980318224,0.0002089050204074729,9999.973516191256
1.02,0.8841391931213012,3.341852321747429e-06,3.7845775557455507e-07,4.956398827440908e-10,0.02704681699832964,-4.785302979966685e-09,0.049999918953948085,0.0002107053154460131,9999.97295256891
1.03,0.8933961191239514,3.3349401292030057e-06,3.824378216942291e-07,5.060826017461073e-10,0.027616337217781922,-5.670202750529652e-09,0.04999991810539225,0.00021249671521145157,9999.972383033804
1.04,0.9026456546289368,3.328061848773756e-06,3.8640152092180867e-07,5.16632057080177e-10,0.02819176501042742,-6.286708940151689e-09,0.049999917257513744,0.00021427924938941214,9999.97180759094
1.05,0.9118878113385398,3.321217171597785e-06,3.9034246886874906e-07,5.272912114343961e-10,0.028773095372489694,-6.214207198741708e-09,0.049999916410311505,0.00021605299767542667,9999.971226245321
1.06,0.9211226005615358,3.3144059657665465e-06,3.942796039406828e-07,5.380505192225622e-10,0.0293603232901519,-5.3899889749921625e-09,0.04999991556378449,0.00021781803221433788,9999.97063900196
1.07,0.9303500338082404,3.307628404733144e-06,3.9827435474195946e-07,5.488796099446768e-10,0.02995344371816178,-3.5361504970716584e-09,0.04999991471793167,0.0002195744383232187,9999.970045865903
1.08,0.9395701217986014,3.3008844491424606e-06,4.0235964343548085e-07,5.597620288917005e-10,0.030552451656304488,-1.0684724888208047e-09,0.049999913872752065,0.00022132229010151815,9999.96944684215
1.09,0.9487828747485618,3.2941730931320273e-06,4.063772632697051e-07,5.707723843795579e-10,0.03115734231414575,1.3719451969773316e-09,0.04999991302824471,0.00022306164421836852,9999.96884193549
1.1,0.9579883024212895,3.28749295746332e-06,4.100928254216805e-07,5.820214585497577e-10,0.03176811099305758,2.8390227003810073e-09,0.04999991218440868,0.0002247925509003699,9999.968231150624
1.11,0.9671864143759896,3.280842976849536e-06,4.1332266502001833e-07,5.935954253968089e-10,0.03238475295518852,2.185396239026246e-09,0.04999991134124307,0.00022651506978742461,9999.96761449229
1.12,0.976377225075417,3.2742270104878476e-06,4.172359080778605e-07,6.049697879291599e-10,0.03300726211090244,1.72318473493864e-09,0.04999991049874666,0.00022822921493876813,9999.966991966574
1.1300000000000001,0.9855607475178749,3.2676475184040356e-06,4.2266273406311424e-07,6.157760903030961e-10,0.033635632728156624,2.739276868988688e-09,0.049999909656918314,0.0002299349963718842,9999.966363579215
1.1400000000000001,0.9947369953086497,3.261107641487067e-06,4.3063168238550555e-07,6.255567431134743e-10,0.034269858888877396,6.966164048774025e-09,0.04999990881575687,0.00023163240918640726,9999.965729336127
1.1500000000000001,1.003905962482419,3.2545873812682613e-06,4.3299448367786244e-07,6.377349519420248e-10,0.03490994387553937,6.574543510922703e-09,0.04999990797526244,0.0002333219661591747,9999.965089234027
1.16,1.0130676563170504,3.2480820402709772e-06,4.2735078767580187e-07,6.532817719962697e-10,0.035555885224126636,7.824727090025045e-10,0.04999990713543429,0.0002350038622255737,9999.964443275381
1.17,1.0222220848250538,3.2415924294328126e-06,4.1411259854632905e-07,6.684333785397802e-10,0.03620767770139199,-1.3026967304847794e-08,0.04999990629627167,0.0002366783431777127,9999.963791465421
1.18,1.0313693383106513,3.235201437964016e-06,4.417623447701877e-07,6.748993373619615e-10,0.03686526811763573,-5.858608167998977e-09,0.04999990545776787,0.00023834302501028154,9999.963133857334
1.19,1.0405093376844645,3.2288045617024e-06,4.455448339081466e-07,6.867112691698795e-10,0.037528715834900715,-1.891064463648138e-09,0.049999904619928266,0.0002400000998324983,9999.962470391765
1.2,1.0496421209510278,3.222437916918089e-06,4.4944129348640275e-07,6.987988218314097e-10,0.03819799081136223,-2.3114300436937977e-10,0.049999903782749995,0.00024164954780024107,9999.961801098752
1.21,1.0587676973202929,3.216101378873197e-06,4.533644325941116e-07,7.110273080391532e-10,0.03887308939679305,3.2797604958764247e-10,0.04999990294623221,0.0002432912974550001,9999.961125981947
1.22,1.067886080249311,3.209794622432303e-06,4.572810272893555e-07,7.233476090744189e-10,0.03955400567559549,4.891096417648376e-10,0.04999990211037368,0.00024492535280590553,9999.960445047263
1.23,1.0769972696787495,3.2035176488939967e-06,4.6119122272498567e-07,7.357599580502754e-10,0.040240739673896346,2.492252770738449e-10,0.049999901275174424,0.0002465517138360786,9999.959758294677
1.24,1.0861012933769705,3.1972698719652194e-06,4.6509707286351147e-07,7.482607453376637e-10,0.04093327871658882,2.448429788946673e-10,0.04999990044063188,0.00024817046489872925,9999.959065736863
1.25,1.0951981420689243,3.1910514549232038e-06,4.6900009675151813e-07,7.608586850012908e-10,0.041631626888088906,2.4958325073673325e-11,0.04999989960674689,0.0002497816076533707,9999.958367369736
1.26,1.1042878317288125,3.1848620321573157e-06,4.7289945396064816e-07,7.73552143189987e-10,0.042335776797030905,-1.999188032330951e-10,0.049999898773518,0.0002513852112920359,9999.957663200688
1.27,1.1133703733791127,3.1787013653609812e-06,4.767942706330839e-07,7.863377786819621e-10,0.043045723402317014,-1.908021246206743e-10,0.04999989794094419,0.0002529813116319223,9999.956953234761
1.28,1.12244577562235,3.1725693616703275e-06,4.806868455325087e-07,7.992199759971169e-10,0.043761462386249464,-3.0786653466074274e-10,0.04999989710902469,0.0002545699864896804,9999.956237476272
1.29,1.1315140518322344,3.1664657201350626e-06,4.845762365403803e-07,8.121959787844083e-10,0.04448298760296829,-3.094724416205261e-10,0.04999989627775825,0.0002561512859915256,9999.955515931366
1.3,1.1405752128026514,3.1603902356438493e-06,4.884624481935067e-07,8.252654688238122e-10,0.045210293938511614,-1.9236503742497425e-10,0.049999895447143894,0.00025772526446378555,9999.954788605159
1.31,1.1496292659755432,3.1543428061135787e-06,4.923456764357376e-07,8.38429461483115e-10,0.04594337767558853,-1.508494301484612e-10,0.04999989461718093,0.0002592919678043648,9999.954055501366
1.32,1.1586762234593662,3.148323186860394e-06,4.962258909992216e-07,8.516871866408731e-10,0.04668223315032005,-1.0853990374553327e-10,0.04999989378786824,0.00026085145418335714,9999.953316625655
1.33,1.1677160942555342,3.1423311869626405e-06,5.001030184572415e-07,8.650383498936126e-10,0.04742685600870632,-6.697954662823434e-11,0.04999989295920501,0.00026240376954167076,9999.952571982378
1.34,1.17674888754608,3.1363666147058067e-06,5.039769988664388e-07,8.784826695694158e-10,0.048177241819819513,-2.897516008065274e-11,0.0499998921311904,0.0002639489607609555,9999.951821575964
1.35,1.185774613674452,3.1304292732771474e-06,5.078478589842644e-07,8.920199458629293e-10,0.04893338565806893,-5.45948319072162e-12,0.04999989130382345,0.0002654870807720275,9999.951065411342
1.36,1.1947932808759087,3.124519003375918e-06,5.117157131575313e-07,9.056499467272873e-10,0.04969528338244851,2.1198025153405297e-11,0.04999989047710341,0.00026701817026652006,9999.950303492653
1.37,1.2038048994151123,3.1186356009139545e-06,5.155805161931374e-07,9.193724354202268e-10,0.05046293013148716,3.689037424448691e-11,0.04999988965102934,0.00026854228210440237,9999.949535824755
1.3800000000000001,1.2128094789245316,3.1127788757551254e-06,5.194422725973409e-07,9.3318717666218e-10,0.051236321268150725,3.739734702721151e-11,0.049999888825600344,0.0002700594653550029,9999.948762412288
1.3900000000000001,1.221807028913784,3.1069486420460387e-06,5.233009866215301e-07,9.470939403903942e-10,0.0520154521894071,2.173146629981881e-11,0.049999888000815555,0.0002715697681608896,9999.947983259855
1.4000000000000001,1.2307975579008958,3.101144753203806e-06,5.271566307951363e-07,9.610925534102316e-10,0.05280031853790313,1.892268328327291e-11,0.0499998871766742,0.00027307323061537394,9999.947198371814
1.41,1.2397810758253758,3.0953670063497996e-06,5.310092231222067e-07,9.751827610044765e-10,0.05359091560409563,1.4969839002376902e-11,0.04999988635317536,0.0002745699043506785,9999.946407752874
1.42,1.2487575921193896,3.089615218697971e-06,5.348587653763883e-07,9.893643375522366e-10,0.05438723880414202,1.1230060515597653e-11,0.049999885530318165,0.0002760598368806591,9999.94561140762
1.43,1.2577271160072718,3.0838892155018943e-06,5.387052650399582e-07,1.003637057204289e-09,0.05518928359659496,8.21107482906035e-12,0.049999884708101766,0.00027754307374633683,9999.94480934059
1.44,1.2666896560186587,3.078188848888472e-06,5.425487486769307e-07,1.0180006933481905e-09,0.05599704558171804,3.5813943332447907e-12,0.0499998838865254,0.0002790196538943117,9999.944001556189
1.45,1.2756452218700265,3.07251392507355e-06,5.463892102516117e-07,1.032455020675402e-09,0.05681052011767241,-1.3988447634910064e-13,0.04999988306558815,0.0002804896275372548,9999.943188059055
