t,F,D,B,R,C
0.58,0.5305418435499616,0.3823433305051116,0.087114825944922,2065.906969648496,53.03703035150064
0.59,0.5401608919930437,0.3809433799822797,0.07889572802467175,2065.1552883400336,53.856711659963395
0.6,0.5497352538401282,0.3788126621843358,0.07145208397553117,2064.4173128112793,54.6626871887176
0.61,0.5592476722665263,0.3760415986098028,0.06471072912366617,2063.691763554271,55.45623644572591
0.62,0.5686830554802771,0.37271153530456214,0.05860540921515605,2062.9774825288764,56.23851747112008
0.63,0.578028253815145,0.3688956334391075,0.05307611274574273,2062.2734213305257,57.01057866947084
0.64,0.587271867477895,0.3646596389592372,0.04806849356286306,2061.578630990992,57.77336900900434
0.65,0.596404067734628,0.3600625990643432,0.04353333320102414,2060.8922524778936,58.52774752210296
0.66,0.6054164355183844,0.35515750984643946,0.03942605463517132,2060.2135081138144,59.274491886182226
0.67,0.614301818390018,0.3499918914179076,0.0357062901920697,2059.5416939622314,60.01430603776486
0.68,0.6230541968687254,0.3446083258988817,0.0323374772323881,2058.8761727023216,60.74782729767485
0.6900000000000001,0.6316685678992469,0.33904492768855904,0.02928650441218942,2058.216367406354,61.47563259364229
0.7000000000000001,0.6401408374194429,0.33333577765944805,0.026523384921104225,2057.5617557921423,62.198244207854046
0.71,0.6484677229271169,0.3275113177415159,0.024020959331362435,2056.911865000699,62.91613499929753
0.72,0.6566466675213194,0.32159870008516334,0.02175463239351248,2056.2662669754804,63.62973302451585
0.73,0.6646757599167413,0.3156221124740979,0.019702127609156034,2055.624574153686,64.3394258463105
0.74,0.6725536658723287,0.30960305855489045,0.017843275572776103,2054.986435756873,65.04556424312315
0.75,0.6802795600791173,0.3035606360434985,0.016159803877379395,2054.351534104197,65.7484658957992
0.76,0.6878530698304369,0.29751176829822185,0.014635161871336422,2053.7195815432474,66.44841845674885
0.77,0.6952742260318319,0.29147140677822686,0.013254367189936559,2053.090317767107,67.14568223288903
0.78,0.7025434118297348,0.2854527426588315,0.012003845511428904,2052.463507003573,67.84049299642338
0.79,0.7096613241155924,0.27946736753173024,0.01087130835267265,2051.8389358836735,68.5330641163228
0.8,0.7166289324764439,0.27352544395098166,0.009845623572569746,2051.216411172847,69.22358882714916
0.81,0.7234474464722986,0.2676358429821772,0.00891671054551944,2050.595757942106,69.91224205789011
0.8200000000000001,0.730118283674083,0.26180627855424154,0.008075437771670621,2049.976817777764,70.59918222223176
0.8300000000000001,0.7366430433214917,0.256043419487459,0.0073135371910444886,2049.359447285849,71.28455271414715
0.84,0.7430234806199538,0.2503529988025574,0.006623520577484024,2048.7435166324044,71.9684833675919
0.85,0.7492614843541033,0.2447399097795726,0.005998605866319279,2048.128908258988,72.6510917410084
0.86,0.7553590567682922,0.23920829290477508,0.005432650326927845,2047.515515716538,73.33248428345838
0.87,0.7613182960526278,0.2337616123734228,0.004920091573944523,2046.9032426374024,74.01275736259409
0.88,0.7671413797223471,0.22840272889279714,0.004455891384850977,2046.2920017559895,74.69199824400683
0.89,0.7728305506563977,0.22313396183948983,0.0040354875041075525,2045.6817140694209,75.37028593057549
0.9,0.7783881039171834,0.21795714816723674,0.0036547479155750948,2045.0723080409812,76.04769195901544
0.91,0.7838163753347444,0.2128736941970244,0.0033099304682263947,2044.4637188976303,76.72428110236618
0.92,0.7891177310933514,0.2078846232963966,0.0029976456102471676,2043.8558879812765,77.40011201871997
0.93,0.794294558972772,0.2029906168814558,0.0027148241457673724,2043.2487621879761,78.07523781202042
0.9400000000000001,0.7993492599828227,0.19819205371165707,0.002458686305515358,2042.6422934299924,78.74970657000395
0.9500000000000001,0.8042842412718331,0.19348904401315278,0.0022267147150092236,2042.0364381660613,79.4235618339351
0.96,0.8091019095469565,0.18888146143843135,0.002016629014607148,2041.4311569599472,80.09684304004915
0.97,0.8138046657664507,0.18436896986783244,0.0018263643657119107,2040.8264141075456,80.76958589245085
0.98,0.8183949000439401,0.1799510492262297,0.0016540507298252384,2040.2221772767184,81.44182272327808
0.99,0.8228749872230425,0.1756270185348913,0.001497994242061179,2039.6184171839216,82.11358281607485
1.0,0.8272472832691079,0.17139605559455384,0.0013566611363332972,2039.01510731536,82.78489268463643
1.01,0.8315141220514142,0.16725721498732907,0.0012286629612517346,2038.4122236704202,83.45577632957634
1.02,0.8356778117910455,0.1632094473138003,0.0011127408951491912,2037.8097444894615,84.12625551053486
1.03,0.8397406335078745,0.15925161034413202,0.001007756147988375,2037.2076500877215,84.79634991227502
1.04,0.8437048380894504,0.1553824855698016,0.0009126763407428827,2036.6059226188477,85.46607738114872
1.05,0.8475726450833067,0.15160078775824265,0.0008265671584455315,2036.0045459305243,86.13545406947217
1.06,0.851346240870603,0.14790517688580057,0.0007485822435914076,2035.4035053892728,86.80449461072367
1.07,0.8550277774082804,0.14429426769149242,0.0006779549002221169,2034.8027877367715,87.47321226322495
1.08,0.8586193714519291,0.14076663720802757,0.0006139913400381561,2034.2023809730433,88.14161902695332
1.09,0.8621231032537517,0.13732083430305944,0.0005560624431835973,2033.6022742136888,88.80972578630775
1.1,0.8655410164269823,0.13395538443890911,0.0005035991341033611,2033.0024576100757,89.47754238992084
1.11,0.8688751170035599,0.13066879759604924,0.00045608540038562527,2032.4029222283787,90.1450777716178
1.12,0.8721273735136387,0.12745957197336033,0.00041305451299572613,2031.8036599844093,90.8123400155871
1.1300000000000001,0.8752997165349504,0.1243261997517946,0.0003740837132497727,2031.2046635516826,91.47933644831373
1.1400000000000001,0.878394038442219,0.1212671719603734,0.00033878959740238454,2030.6059262815952,92.14607371840107
1.1500000000000001,0.8814121938061171,0.11828098062332242,0.0003068255705552456,2030.0074421596025,92.81255784039396
1.16,0.8843559990768168,0.11536612374024555,0.00027787718293248085,2029.4092057244993,93.47879427549708
1.17,0.8872272330614126,0.11252110693913182,0.0002516599994504752,2028.8112120317674,94.144787968229
1.18,0.8900276370375784,0.10974444654655219,0.00022791641586436222,2028.2134565985657,94.81054340143073
1.19,0.8927589149717987,0.10703467214996426,0.00020641287823185662,2027.6159353557118,95.47606464428463
1.2,0.8954227340908877,0.10439032762825073,0.00018693828085649246,2027.0186446201412,96.14135537985516
1.21,0.8980207250061103,0.10180997395846023,0.00016930103542429312,2026.4215810442704,96.80641895572607
1.22,0.9005544823485281,0.09929218982874138,0.00015332782272542157,2025.824741594551,97.47125840544527
1.23,0.9030255651735866,0.09683557314748643,0.0001388616789218647,2025.2281235184546,98.13587648154167
1.24,0.9054354974160773,0.09443874226987391,0.00012576031404361196,2024.6317243154733,98.80027568452289
1.25,0.9077857685289655,0.09210033638184933,0.00011389508918004174,2024.0355417195633,99.46445828043294
1.26,0.9100778338841448,0.08981901679941245,0.00010314931643763986,2023.4395736698134,100.12842633018286
1.27,0.9123131154264408,0.08759346719861338,9.341737494087491e-05,2022.8438182952643,100.79218170473206
1.28,0.9144930021936671,0.08542239425026885,8.460355605905304e-05,2022.2482738950125,101.45572610498385
1.29,0.9166188509033577,0.08330452798323558,7.662111340169455e-05,2021.6529389218683,102.11906107812804
1.3,0.9186919866947362,0.08123862142145356,6.939188380526887e-05,2021.057811975906,102.78218802409047
1.31,0.9207137035553561,0.07922345138756046,6.284505707848999e-05,2020.4628917832401,103.4451082167562
1.32,0.9226852647967365,0.07725781910354715,5.691609971131743e-05,2019.868177177474,104.10782282252231
1.33,0.9246079039220045,0.07534054953599761,5.154654199282107e-05,2019.273667096146,104.77033290385032
1.34,0.9264828251170184,0.07347049145937391,4.6683423602766755e-05,2018.6793605711669,105.43263942882939
1.35,0.9283112038247499,0.07164651682431294,4.2279350932242934e-05,2018.0852567298166,106.09474327017958
1.36,0.9300941873800848,0.06986752186204674,3.82907578635899e-05,2017.4913547648348,106.75664523516136
1.37,0.9318328955959542,0.06813242637804302,3.4678025997840134e-05,2016.8976539365071,107.41834606348937
1.3800000000000001,0.9335284213573156,0.06644017240372516,3.140623895419504e-05,2016.3041535856742,108.07984641432226
1.3900000000000001,0.9351818312243939,0.06478972557929463,2.84431963064908e-05,2015.710853099556,108.7411469004403
1.4000000000000001,0.9367941659996489,0.0631800744898252,2.5759510520818933e-05,2015.1177519134476,109.40224808654877
1.41,0.9383664411694955,0.06161022966454283,2.332916595666288e-05,2014.5248495203955,110.06315047960096
1.42,0.9398996476289352,0.06007922413663533,2.1128234424483574e-05,2013.9321454490782,110.72385455091809
1.43,0.9413947528135655,0.058586112691427175,1.9134495002151942e-05,2013.339639257309,111.38436074268738
1.44,0.9428526981868467,0.05712997238738508,1.732942576316779e-05,2012.7473305662133,112.04466943378297
1.45,0.9442744056118773,0.05570989984980914,1.5694538308561717e-05,2012.155218997375,112.70478100262146
1.46,0.9456607724970963,0.05432501375046404,1.4213752434561863e-05,2011.5633042135391,113.36469578645726
1.47,0.9470126747980112,0.05297445245854077,1.2872743442889365e-05,2010.971585907459,114.02441409253744
1.48,0.9483309669792933,0.051657374706086924,1.1658314614722127e-05,2010.3800637911124,114.683936208884
1.49,0.9496164820127134,0.050372959624242236,1.0558363039200279e-05,2009.7887375951154,115.34326240488109
1.5,0.9508700329201374,0.04912040513388607,9.561945971507438e-06,2009.1976070698897,116.00239293010677
1.51,0.9520924141671266,0.0478989265965699,8.659236298439139e-06,2008.6066719849234,116.661328015073
1.52,0.9532843981732132,0.046707760192724414,7.841634057311683e-06,2008.0159321306235,117.32006786937285
1.53,0.9544467371188543,0.04554616125810651,7.101623034214949e-06,2007.4253873158868,117.97861268410963
1.54,0.955580169203124,0.0444133993413505,6.431455520427716e-06,2006.8350373456412,118.63696265435534
1.55,0.9566854127540297,0.04330876285094052,5.8243950247905835e-06,2006.2448820420664,119.29511795793026
1.56,0.9577631659185358,0.0422315592997813,5.2747816778349155e-06,2005.6549212457103,119.9530787542862
1.57,0.9588141107331944,0.04118111194670619,4.777320094403295e-06,2005.0651548033316,120.61084519666491
1.58,0.9598389158179561,0.04015675753892004,4.326643118918152e-06,2004.4755825604507,121.26841743954579
1.59,0.9608382296028013,0.039157851988441586,3.918408752141972e-06,2003.8862043800773,121.92579561991927
1.6,0.96181268334653,0.03818376781979632,3.548833668669499e-06,2003.2970201347455,122.58297986525089
1.61,0.9627628968544804,0.0372338890881024,3.214057412322208e-06,2002.7080296956558,123.23997030434052
1.62,0.9636894731151772,0.036307616148656414,2.9107361614406538e-06,2002.1192329428152,123.89676705718117
1.6300000000000001,0.9645929980277924,0.035404365899301384,2.6360729012499204e-06,2001.530629765553,124.5533702344435
1.6400000000000001,0.9654740439506181,0.034523568601629286,2.38744774766223e-06,2000.94222005622,125.20977994377631
1.6500000000000001,0.9663331719977205,0.03366466581788554,2.1621843889866044e-06,2000.3540037062132,125.86599629378316
1.6600000000000001,0.967170926240219,0.03282711561998891,1.9581397870757577e-06,1999.765980616015,126.52201938398152
1.67,0.967987836292517,0.0320103902560637,1.7734514143848583e-06,1999.17815069089,127.17784930910622
1.68,0.9687844221722796,0.03121397165269222,1.6061750233257004e-06,1998.590513834723,127.8334861652733
1.69,0.9695611897337848,0.030437355642390206,1.454623820026193e-06,1998.0030699557879,128.48893004420853
1.7,0.9703186304441138,0.02968005217079411,1.3173850871431878e-06,1997.4158189670318,129.14418103296464
1.71,0.9710572240656686,0.028941582774540026,1.193159786272603e-06,1996.828760783346,129.79923921665016
1.72,0.9717774422687795,0.028221477161275703,1.0805699397752937e-06,1996.2418953182898,130.45410468170638
1.73,0.9724797404584877,0.02751928094709417,9.785944131079889e-07,1995.6552224915026,131.1087775084937
1.74,0.9731645630897734,0.02683455062034318,8.862898783277903e-07,1995.068742223958,131.76325777603816
1.75,0.973832346518232,0.02616685078972987,8.026920330542054e-07,1994.482454436289,132.41754556370728
1.76,0.9744835149296576,0.025515758093511684,7.269768256478436e-07,1993.896359051524,133.07164094847212
1.77,0.9751184809230654,0.02488086064425621,6.584326733177808e-07,1993.3104559946164,133.72554400537987
1.78,0.9757376467631829,0.02426175683132341,5.964054886313869e-07,1992.7247451915086,134.37925480848767
1.79,0.9763414048296761,0.023658054892956464,5.402773623665179e-07,1992.1392265687712,135.0327734312252
1.8,0.9769301377591874,0.0230693726997205,4.895410870638934e-07,1991.5539000548836,135.6860999451128
1.81,0.9775042190750627,0.022495337202407425,4.437225247893705e-07,1990.9687655789066,136.33923442108988
1.82,0.9780640137989821,0.021935583892391787,4.0230862108731293e-07,1990.38382306925,136.99217693074638
1.83,0.9786098787729258,0.021389756461277186,3.6476579197389014e-07,1989.7990724539923,137.64492754600408
1.84,0.9791421631011274,0.020857506377991386,3.3052087609097756e-07,1989.2145136605563,138.29748633943996
1.85,0.9796612051279183,0.020338495666815507,2.9920526104613413e-07,1988.6301466198502,138.9498533801461
1.86,0.9801673312369051,0.01983239800244979,2.707606399756269e-07,1988.04597126806,139.60202873193631
1.87,0.9806608627602115,0.019338892311150647,2.4492863277292834e-07,1987.4619875379935,140.2540124620028
1.8800000000000001,0.9811421132098642,0.018857665314480278,2.2147565044584272e-07,1986.8781953628938,140.90580463710256
1.8900000000000001,0.9816113884960216,0.018388411313129373,2.001908439840879e-07,1986.2945946764037,141.55740532359258
1.9000000000000001,0.9820689868314617,0.017930832279549072,1.808889840295804e-07,1985.7111854126197,142.2088145873768
1.9100000000000001,0.982515198063478,0.017484638511089057,1.6342542778359196e-07,1985.1279675063558,142.86003249364046
1.92,0.9829503054445606,0.017049546895830235,1.4765960400273034e-07,1984.5449408925065,143.51105910748987
1.93,0.9833745853388778,0.016625281199044505,1.3346207253917028e-07,1983.9621055061705,144.16189449382594
1.94,0.9837883073700059,0.01621157191771963,1.2071226926349035e-07,1983.379461282615,144.81253871738127
1.95,0.9841917345307462,0.01580815617649218,1.0929275646538617e-07,1982.7970081571814,145.4629918428151
1.96,0.9845851225443731,0.01541477838763697,9.906798471136854e-08,1982.2147460649437,146.1132539350528
1.97,0.9849687210750853,0.015031189023593204,8.990131634599867e-08,1981.6326749409752,146.7633250590212
1.98,0.9853427737795288,0.014657144572396176,8.164806976619397e-08,1981.050794720234,147.41320527976242
1.99,0.985707518361875,0.014292407489482621,7.414863720691013e-08,1980.4691053374497,148.06289466254668
2.0,0.9860631867399409,0.013936746031303559,6.722875037552425e-08,1979.8876067271283,148.71239327286813
2.0100000000000002,0.9864100045049012,0.013589934636412815,6.085868077928116e-08,1979.3062988262118,149.3617011737846
2.02,0.9867481916490094,0.01325175332383396,5.502715147087897e-08,1978.7251815719715,150.01081842802498
2.0300000000000002,0.9870779629603234,0.012921987349502253,4.9690169190785854e-08,1978.144254901152,150.65974509884455
2.04,0.9873995279616945,0.012600427215907881,4.48223923947803e-08,1977.5635187508296,151.3084812491668
2.05,0.9877130910725628,0.012286868509061726,4.041837028896476e-08,1976.9829730584333,151.95702694156302
2.06,0.9880188513125986,0.011981112243680933,3.644371530055255e-08,1976.4026177609303,152.605382239066
2.07,0.9883170024888348,0.011682964672049122,3.2839110904222e-08,1975.822452794893,153.25354720510327
2.08,0.9886077339682965,0.011392236443396214,2.9588302118649136e-08,1975.2424780976314,153.90152190236483
2.09,0.9888912304944424,0.011108742823957875,2.6681594607931e-08,1974.6626936065852,154.5493063934111
2.1,0.9891676723332357,0.010832303551383808,2.411537539207641e-08,1974.0830992593148,155.19690074068143
2.11,0.989437235413967,0.010562742694683437,2.1891344414414272e-08,1973.5036949934893,155.84430500650674
2.12,0.9897000906638836,0.010299889366428509,1.9969682648479597e-08,1972.9244807461125,156.49151925388347
2.13,0.9899564046000834,0.010043577105854923,1.8294056497204756e-08,1972.3454564539356,157.1385435460604
2.14,0.990206340003856,0.009793643174805808,1.682133300299196e-08,1971.7666220539472,157.7853779460488
2.15,0.9904500556703166,0.009549928831218184,1.549846002872914e-08,1971.187977482992,158.43202251700407
2.16,0.9906877065326919,0.009312279206549888,1.426075297520083e-08,1970.6095226777416,159.0784773222545
2.17,0.9909194437664204,0.00908054320012246,1.303345197144642e-08,1970.0312575747207,159.72474242527528
2.18,0.9911454142490466,0.00885457391329832,1.1837649954406704e-08,1969.4531821120681,160.37081788792784
2.19,0.9913657612539589,0.008634228049716074,1.069631974939692e-08,1968.875296227974,161.0167037720219
2.2,0.9915806247389833,0.008419365655030793,9.605980634204284e-09,1968.2975998602094,161.66240013978674
2.21,0.9917901412458854,0.00820985018270607,8.571403288338283e-09,1967.720092946702,162.30790705329406
2.22,0.9919944440087476,0.008005548384773058,7.606474120886528e-09,1967.1427754255521,162.953224574444
2.23,0.9921936630146794,0.007806330253291806,6.732023629591453e-09,1966.565647234995,163.59835276500104
2.24,0.9923879244461081,0.0076120696196203775,5.934266202620313e-09,1965.9887083127105,164.24329168728534
2.25,0.9925773515159634,0.007422643272074903,5.2119564693562356e-09,1965.4119585966075,164.88804140338843
2.2600000000000002,0.9927620645550802,0.007237930868996689,4.575917854244245e-09,1964.8353980248144,165.53260197518145
2.27,0.9929421809587756,0.007057815001617753,4.039601433274746e-09,1964.259026535524,166.1769734644719
2.2800000000000002,0.9931178152800144,0.006882181100998846,3.6189814892417836e-09,1963.6828440669901,166.8211559330057
2.29,0.9932890792441235,0.006710917429351763,3.3265195335722738e-09,1963.1068505574297,167.46514944256637
2.3000000000000003,0.9934560812733944,0.006543915598527589,3.128072754701811e-09,1962.5310459443115,168.10895405568442
2.31,0.9936189273235139,0.006381069677495638,2.9989851845562546e-09,1961.9554301652818,168.75256983471417
2.32,0.9937777208317135,0.006222276255262219,2.9130190506721385e-09,1961.3800031579797,169.39599684201627
2.33,0.99393256270881,0.006067434456580157,2.8346045683582744e-09,1960.8047648599108,170.03923514008508
2.34,0.9940835514190824,0.005916445863181556,2.717730695650289e-09,1960.2297152084288,170.68228479156716
2.35,0.9942307829607019,0.005769214515287003,2.524005802367519e-09,1959.6548541410332,171.32514585896277
2.36,0.9943743505484172,0.0056256471534641885,2.298113411458277e-09,1959.0801815966165,171.9678184033794
2.37,0.994514345311415,0.005485652641003122,2.0475765067364437e-09,1958.5056975134776,172.6103024865182
2.38,0.9946508561867556,0.005349142035651046,1.7775879780879616e-09,1957.9314018298976,173.25259817009834
2.39,0.9947839699467326,0.0052160285532375445,1.5000246249121761e-09,1957.3572944842874,173.89470551570838
2.4,0.9949137712684323,0.005086227497235682,1.2343267083173108e-09,1956.7833754152043,174.53662458479164
2.41,0.9950403427328242,0.004959656259381547,1.0077889905112577e-09,1956.2096445613536,175.17835543864217
2.42,0.9951637645530332,0.004836234593371299,8.535901228239712e-10,1955.6361018615546,175.81989813844135
2.43,0.9952841148624989,0.004715884346779769,7.907160532713706e-10,1955.0627472544109,176.46125274558486
2.44,0.9954014702000181,0.004598529046927663,7.530488658507467e-10,1954.4895806771538,177.10241932284194
2.45,0.995515905201224,0.00448409412794298,6.708276612890155e-10,1953.916602066974,177.74339793302155
2.46,0.9956274924791221,0.004372506933965679,5.869068263652768e-10,1953.343811362932,178.38418863706337
2.47,0.9641691967702567,0.004780194068314768,0.031050609161421838,1952.7627373621324,179.03326263786255
2.48,0.8754415798090799,0.011848310217851031,0.11271010997305865,1952.0716101843836,179.79238981561167
2.49,0.7951552187800959,0.025952226743882548,0.1788925544759899,1951.2613488602294,180.67065113976594
2.5,0.7226808958207367,0.045513024109721856,0.23180608006950168,1950.355334780245,181.64466521975038
2.5100000000000002,0.657412510577147,0.06919390681331966,0.27339358260949326,1949.3735677124978,182.6944322874975
2.52,0.5987703879087667,0.09586957109573746,0.3053600409954558,1948.3330714100407,183.80292858995475
2.5300000000000002,0.5462035778848626,0.12459891364233192,0.32919750847276524,1947.2482590859815,184.95574091401403
2.54,0.5323793478378156,0.15352299612469184,0.31409765603745243,1946.148928156355,186.12307184364042
2.5500000000000003,0.5365761504756942,0.17896064491793,0.28446320460633506,1945.0958611900417,187.24413880995385
2.56,0.5413704702587248,0.2010048080066485,0.2576247217345852,1944.0889248092292,188.3190751907661
2.57,0.546681201096066,0.22000041169828888,0.23331838720560344,1943.1237529040593,189.35224709593592
2.58,0.5524355139703879,0.23625918588179365,0.2113053001477768,1942.19639630572,190.3476036942753
2.59,0.5585680515167721,0.250062847615015,0.19136910086817116,1941.3032822666091,191.30871773338623
2.6,0.5650202063572157,0.26166595479755095,0.1733138388451917,1940.4411782585805,192.2388217414146
2.61,0.5717394720558694,0.2712984738418446,0.15696205410224434,1939.6071594929551,193.14084050704
2.62,0.5603699201559822,0.279467492686821,0.16016258715715492,1938.7937044967398,194.0222955032552
2.63,0.5155283683180578,0.2899386690653356,0.19453296261657005,1937.9395571714308,194.94444282856392
2.64,0.4751084997311976,0.3031515562578726,0.22173994401089347,1937.0364685539096,195.91553144608565
2.65,0.4387594314187784,0.3183904538543091,0.24285011472687615,1936.095144513978,196.92485548601718
2.66,0.40614689190932074,0.3350552281006419,0.2587978799900009,1935.1246677376835,197.96333226231212
2.67,0.37695427685266,0.3526461985833689,0.2703995245639348,1934.132700853098,199.02329914689756
2.68,0.35088325431710365,0.3707507595049473,0.2783659861779127,1933.1256675416093,200.0983324583863
2.69,0.34927813686410375,0.38833086497878877,0.2623909981570711,1932.1203159360998,201.17168406389652
2.7,0.3592562098296516,0.4031088216008189,0.23763496856949304,1931.154231222611,202.20576877738546
2.71,0.36957237077284116,0.4152130106417541,0.21521461858536828,1930.2264219880924,203.20157801190396
2.72,0.3801628811632332,0.42492753757210117,0.19490958126462912,1929.3332713782206,204.16272862177587
2.73,0.3909708071667362,0.4325089156958471,0.17652027713738,1928.4715070008494,205.09249299914694
2.74,0.40194536127806585,0.43818867590095545,0.15986596282094195,1927.6381680887207,205.99383191127558
2.75,0.41304130204820416,0.442175747460784,0.14478295049097517,1926.8305756121497,206.86942438784658
2.7600000000000002,0.42421838850625143,0.44465862326068767,0.13112298823302418,1926.046305156761,207.7216948432352
2.77,0.4354408935950077,0.4458072924188775,0.11875181398607809,1925.283162781063,208.55283721893292
2.7800000000000002,0.4466771597788019,0.4457750066097405,0.10754783361142087,1924.5391629858943,209.36483701410182
2.79,0.45789919743507657,0.44469987766804986,0.09740092489683688,1923.8125088243346,210.15949117566143
2.8000000000000003,0.4690823214781455,0.4427063243902227,0.08821135413159507,1923.1015739154302,210.9384260845656
2.81,0.48020482418749727,0.439906376512166,0.07988879930030002,1922.404886259842,211.7031137401537
2.82,0.4912476774482025,0.4364008625960421,0.07235145995571865,1921.7211135110065,212.45488648898936
