t,NatP,MisP,MCom,Hsp90,HCom,HSF1,DiH,TriH,HSE_TriH,HSE,AggP,ROS,ATP,ADP
0.19,5997731.385366101,0.0008062330328475031,2270.513826711593,297624.66420230956,5999.999959074167,4.031923882277452e-05,3.0292858552109046e-07,2.435241048015807e-10,1.256121772618359e-12,0.9999999999987438,1.2258939700744315e-14,100.01880998213056,10874.798168831461,125.20183116853794
0.2,5997612.522824288,0.000806548201269024,2389.476368157164,297505.44200405496,5999.99995906102,4.0335396336471e-05,3.014069715983104e-07,2.5434156285277785e-10,1.3795391074085158e-12,0.9999999999986204,1.290920552104493e-14,100.01979998020008,10885.704582756467,114.29541724353072
0.21,5997493.714238275,0.0008068634832872463,2508.3849538034756,297386.2736210698,5999.999959047852,4.035155950321532e-05,2.99893056758391e-07,2.6504359494171834e-10,1.5082354275484876e-12,0.9999999999984918,1.3559979830030759e-14,100.02078997817058,10895.3259199775,104.67408002249782
0.22,5997374.959556742,0.000807178878921436,2627.2396349682376,297267.159031058,5999.999959034663,4.036772832405557e-05,2.9838680176673105e-07,2.7563110021001547e-10,1.642149046621697e-12,0.9999999999983579,1.4211263009798766e-14,100.02177997604208,10903.807799047367,96.19220095263105
0.23,5997256.258725802,0.0008074943882064824,2746.040465538543,297148.0982058487,5999.999959021454,4.038390280083862e-05,2.9688816759011184e-07,2.861049715891515e-10,1.781218775378183e-12,0.9999999999982188,1.486305544270505e-14,100.02276997381459,10911.279345511759,88.72065448823912
0.24,5997137.611689881,0.0008078100111896596,2864.7875010896887,297029.0911126531,5999.999959008223,4.0400082936042446e-05,2.953971153956553e-07,2.9646609584096195e-10,1.925383918243333e-12,0.9999999999980745,1.5515357511387538e-14,100.02375997148809,10917.855059325893,82.14494067410718
0.25,5997019.0183924325,0.000808125747927921,2983.480798170756,296910.13771511184,5999.999958994973,4.041626873263597e-05,2.939136065497885e-07,3.06715353597817e-10,2.074584269849561e-12,0.9999999999979253,1.6168169598783936e-14,100.0247499690626,10923.636471085632,76.36352891436736
0.26,5996900.478776504,0.0008084415984856481,3102.1204137304294,296791.2379741641,5999.999958981703,4.043246019396272e-05,2.924376026172131e-07,3.168536194025101e-10,2.2287601115907758e-12,0.9999999999977711,1.6821492088145706e-14,100.0257399665381,10928.713610526733,71.2863894732657
0.27,5996781.992785206,0.0008087575629327816,3220.7064046602845,296672.39184876607,5999.999958968411,4.0448657323644344e-05,2.909690653598804e-07,3.2688176174786463e-10,2.3878522081994656e-12,0.9999999999976121,1.7475325363048753e-14,100.0267299639146,10933.166308912798,66.83369108719822
0.28,5996663.560362061,0.0008090736413432824,3339.238827436348,296553.59929648106,5999.999958955101,4.046486012550115e-05,2.895079567359718e-07,3.368006431160644e-10,2.5518018043462553e-12,0.9999999999974482,1.8129669807401368e-14,100.02771996119213,10937.065353969288,62.93464603070635
0.29,5996545.181451284,0.000809389833793865,3457.7177378425185,296434.8602739618,5999.99995894177,4.0481068603487014e-05,2.880542388988844e-07,3.4661112001771715e-10,2.720550621261755e-12,0.9999999999972794,1.878452580544995e-14,100.02870995837063,10940.473514060242,59.526485939752895
0.3,5996426.8559979955,0.0008097061403629716,3576.1431907619112,296316.174737341,5999.99995892842,4.049728276163662e-05,2.866078741962219e-07,3.5631404303065585e-10,2.8940408533805924e-12,0.999999999997106,1.943989374178288e-14,100.02969995545016,10943.446446411783,56.553553588212495
0.31,5996308.583948364,0.0008100225611299374,3694.51524002408,296197.5426425457,5999.9999589150475,4.051350260402264e-05,2.851688251687914e-07,3.659102568384832e-10,3.0722151650074272e-12,0.9999999999969278,2.0095774001332867e-14,100.03068995243065,10946.03350250613,53.96649749386565
0.32,5996190.3652497195,0.0008103390961743255,3812.833938298576,296078.96394554706,5999.999958901656,4.0529728134721785e-05,2.8373705454960403e-07,3.7540060026886425e-10,3.2550166870048853e-12,0.9999999999967449,2.075216696937814e-14,100.03167994931216,10948.278442206558,51.72155779343925
0.33,5996072.199850622,0.0008106557455753973,3931.0993370257916,295960.43860255583,5999.999958888245,4.054595935778792e-05,2.8231252526288244e-07,3.847859063315712e-10,3.4423890135031686e-12,0.9999999999965576,2.1409073031542632e-14,100.03266994609467,10950.220067158909,49.77993284108884
0.34,5995954.087700899,0.0008109725094117053,4049.311486378135,295841.96657017444,5999.999958874813,4.056219627723127e-05,2.808952004230722e-07,3.9406700225628535e-10,3.6342761986311514e-12,0.9999999999963657,2.206649257379544e-14,100.03365994277817,10951.892782763809,48.107217236190415
0.35000000000000003,5995836.028751662,0.0008112893877607678,4167.4704352459585,295723.54780550976,5999.999958861364,4.057843889700276e-05,2.794850433338592e-07,4.032447095301545e-10,3.830622753269209e-12,0.9999999999961693,2.2724425982449676e-14,100.03464993936268,10953.327095563902,46.672904436097184
0.36,5995718.022955297,0.0008116063806988099,4285.576231242462,295605.1822662573,5999.999958847894,4.059468722098357e-05,2.780820174871915e-07,4.1231984393511566e-10,4.0313736418231025e-12,0.9999999999959686,2.338287364416088e-14,100.03563993584817,10954.55005521036,45.4499447896383
0.37,5995600.070265444,0.0008119234883004485,4403.628920723931,295486.869910759,5999.999958834404,4.061094125298212e-05,2.766860865623067e-07,4.212932155849803e-10,4.236474279019125e-12,0.9999999999957634,2.4041835945925117e-14,100.03662993223469,10955.585646050487,44.414353949511906
0.38,5995482.170636977,0.0008122407106379428,4521.628548821549,295368.6106980407,5999.999958820895,4.0627200996752685e-05,2.7529721442476414e-07,4.301656289622877e-10,4.445870526720275e-12,0.999999999995554,2.4701313275076822e-14,100.0376199285222,10956.455134353753,43.544865646246464
0.39,5995364.324025947,0.0008125580477763352,4639.575159481973,295250.4045878334,5999.999958807366,4.064346645617348e-05,2.739153651254825e-07,4.3893788295492945e-10,4.659508690763346e-12,0.9999999999953403,2.5361306019286592e-14,100.03860992471071,10957.177376286136,42.82262371386442
0.4,5995246.530389544,0.0008128754998191196,4757.468795514289,295132.2515405805,5999.999958793817,4.0659737633516535e-05,2.7254050289978187e-07,4.4761077089253335e-10,4.877335517816841e-12,0.9999999999951226,2.6021814566558584e-14,100.03959992080023,10957.769090893553,42.23090910644482
0.41000000000000003,5995128.789686046,0.0008131930667876842,4875.309498641194,295014.15151743504,5999.99995878025,4.0676014534006954e-05,2.711725921664312e-07,4.561850805826169e-10,5.099298192259418e-12,0.9999999999949005,2.6682839305227775e-14,100.04058991679075,10958.245102285207,41.7548977147902
0.42,5995011.101874763,0.000813510748820879,4993.097309553144,294896.10448024847,5999.999958766663,4.069229715827677e-05,2.698115975267006e-07,4.646615943465773e-10,5.3253443330787524e-12,0.9999999999946745,2.73443806239588e-14,100.04157991268225,10958.618554583954,41.381445416044144
0.43,5994893.466915981,0.0008138285461248259,5110.832267963974,294778.1103915531,5999.999958753057,4.070858550426523e-05,2.684574837634185e-07,4.730410890553274e-10,5.555421990791249e-12,0.9999999999944444,2.8006438911741522e-14,100.04256990847476,10958.901101872889,41.09889812711159
0.44,5994775.884770906,0.0008141464587071462,5228.514412666831,294660.1692145396,5999.999958739432,4.072487957727722e-05,2.671102158400339e-07,4.813243361648313e-10,5.789479644381588e-12,0.9999999999942103,2.8669014557889816e-14,100.04355990416828,10959.103077191792,40.896922808206554
0.45,5994658.355401611,0.0008144644835529031,5346.143781589878,294542.28091303114,5999.999958725788,4.0741179496845374e-05,2.657697588996826e-07,4.895121017520818e-10,6.027466198262474e-12,0.9999999999939724,2.933210795205852e-14,100.0445498997628,10959.233642318033,40.766357681966014
0.46,5994540.878770979,0.0008147826120999005,5463.720411850961,294424.44545145513,5999.999958712124,4.075748559230776e-05,2.6443607826425746e-07,4.97605146551507e-10,6.269330979254462e-12,0.9999999999937305,2.99957194842786e-14,100.04553989525832,10959.300920433545,40.69907956645383
0.47000000000000003,5994423.454842648,0.0008151007682233184,5581.24433981079,294306.66279481375,5999.999958698439,4.077380074956848e-05,2.631091394334739e-07,5.056042260013005e-10,6.515023733585028e-12,0.9999999999934849,3.065984954527183e-14,100.04652989065482,10959.312113741493,40.687886258505756
0.48,5994306.083580962,0.0008154197154815648,5698.715601123364,294188.932908654,5999.999958684759,4.0790096079578085e-05,2.617889080841183e-07,5.135100901119606e-10,6.764494623918217e-12,0.9999999999932354,3.132449852188812e-14,100.04751988595234,10959.273607962992,40.72639203700684
0.49,5994188.7649509255,0.0008157410727425449,5816.134230785203,294071.25575903687,5999.999958671148,4.0806310315049354e-05,2.604753500694599e-07,5.213234831762742e-10,7.0176942263750284e-12,0.9999999999929823,3.1989666788166166e-14,100.04850988115085,10959.191064996585,40.808935003415996
0.5,5994071.498918148,0.0008160488442351378,5933.500263200654,293953.6313124893,5999.999958657,4.0823048837020133e-05,2.591684314184661e-07,5.290451436695528e-10,7.274573526379313e-12,0.9999999999927254,3.2655354701562793e-14,100.04949987625037,10959.06950473355,40.930495266452624
0.51,5993954.285448807,0.0008163750725707834,6050.813732160598,293836.0595360369,5999.999958643527,4.08390989639014e-05,2.57868118328234e-07,5.366758109392495e-10,7.535083918754215e-12,0.9999999999924649,3.332156278572064e-14,100.05048987125089,10958.91337791032,41.08662208968294
0.52,5993837.124509605,0.0008166939080523236,6168.074670990427,293718.54039707343,5999.999958629751,4.085543901400417e-05,2.565743771769568e-07,5.442162114303587e-10,7.799177203136506e-12,0.9999999999922008,3.3988291352168524e-14,100.0514798661524,10958.726630436304,41.27336956370005
0.53,5993720.016067724,0.0008170128592482225,6285.2831124983,293601.07386342017,5999.9999586159565,4.087178482025941e-05,2.552871745126638e-07,5.516670690249626e-10,8.066805580194316e-12,0.9999999999919331,3.465554078189237e-14,100.05246986095503,10958.512760724609,41.487239275394785
0.54,5993602.9600907955,0.0008173319260274521,6402.439089053237,293483.6599032593,5999.999958602143,4.088813639018134e-05,2.5400647705366527e-07,5.590291037481628e-10,8.337921649469773e-12,0.999999999991662,3.5323311489731645e-14,100.05345985565856,10958.274870627329,41.72512937267331
0.55,5993485.956546864,0.0008176511086131174,6519.5426326122615,293366.29848511564,5999.999958588311,4.0904493721565035e-05,2.527322516897856e-07,5.663030296975716e-10,8.612478407014507e-12,0.9999999999913874,3.599160386650178e-14,100.05444985026307,10958.015710437123,41.984289562879624
0.56,5993369.00540435,0.000817970407036764,6636.5937747522585,293248.98957783246,5999.999958574461,4.092085681740409e-05,2.514644654809348e-07,5.734895556249729e-10,8.890429242032162e-12,0.9999999999911094,3.6660418293850295e-14,100.05543984476861,10957.737718082923,42.26228191708083
0.5700000000000001,5993252.10663203,0.0008182898213034426,6753.592546700487,293131.7331505483,5999.999958560592,4.093722568134947e-05,2.502030856554066e-07,5.805893857832653e-10,9.171727933947064e-12,0.9999999999908282,3.7329755166726185e-14,100.05642983917515,10957.443055197458,42.55694480254478
0.58,5993135.260198994,0.0008186093514805718,6870.5389793625,293014.5291726748,5999.999958546706,4.095360031530139e-05,2.4894807960935104e-07,5.876032196160239e-10,9.456328649948202e-12,0.9999999999905436,3.799961488405624e-14,100.05741983348267,10957.133638518173,42.86636148183042
0.59,5993018.466074635,0.0008189289976133235,6987.433103347687,292897.37761387735,5999.9999585328005,4.096998072171992e-05,2.4769941490626074e-07,5.94531751441983e-10,9.74418594229313e-12,0.9999999999902557,3.8669997839149357e-14,100.0584098276912,10956.811167260767,43.188832739237256
0.6,5992901.724228617,0.0008192487597500881,7104.274948993167,292780.2784440553,5999.999958518878,4.098636690293436e-05,2.4645705927596156e-07,6.013756706329324e-10,1.0035254745368704e-11,0.9999999999899647,3.9340904423643935e-14,100.05939982180071,10956.477147735968,43.52285226403484
0.61,5992785.034630851,0.0008195686379381244,7221.064546385964,292663.2316333246,5999.999958504936,4.10027588612655e-05,2.4522098061360213e-07,6.081356617949105e-10,1.032949037288647e-11,0.9999999999896705,4.00123350316092e-14,100.06038981581123,10956.132915421029,43.86708457897493
0.62,5992668.397251479,0.0008198886322243392,7337.801925383337,292546.2371520009,5999.999958490977,4.101915659900767e-05,2.4399114697881473e-07,6.148124047853535e-10,1.0626848515249633e-11,0.9999999999893731,4.068429005917851e-14,100.06137980972275,10955.779654357177,44.22034564282666
0.63,5992551.812060858,0.0008202087426551968,7454.487115631429,292429.294970585,5999.999958476999,4.103556011843434e-05,2.4276752659496655e-07,6.214065746452916e-10,1.0927285236923683e-11,0.9999999999890726,4.1356769901829063e-14,100.06236980353529,10955.418414270072,44.581585729932335
0.64,5992435.279029532,0.0008205289692767957,7571.120146582417,292312.405059748,5999.999958463005,4.1051969421798855e-05,2.4155008784830925e-07,6.279188416361543e-10,1.1230756973712777e-11,0.9999999999887692,4.2029774954514723e-14,100.06335979724881,10955.05012575684,44.94987424316386
0.65,5992318.7981282305,0.0008208493121348992,7687.701047510296,292195.56739031844,5999.999958448992,4.106838451133624e-05,2.4033879928709544e-07,6.343498713130798e-10,1.1537220530057334e-11,0.9999999999884628,4.270330561281756e-14,100.06434979086332,10954.67561382521,45.32438617479208
0.66,5992202.369327842,0.0008211697712749561,7804.229847525277,292078.7819332704,5999.9999584349625,4.10848053892652e-05,2.391336296207434e-07,6.407003245551068e-10,1.1846633076409028e-11,0.9999999999881534,4.3377362272935544e-14,100.06533978437885,10954.295609817347,45.70439018265363
0.67,5992085.992599405,0.0008214903467421299,7920.706575587172,291962.048659712,5999.999958420914,4.1101232057789324e-05,2.379345477190151e-07,6.469708575857175e-10,1.2158952146613304e-11,0.9999999999878411,4.405194533140439e-14,100.06632977779537,10953.910762175079,46.08923782492045
0.68,5991969.667914101,0.0008218110385813416,8037.1312605174535,291845.3675408753,5999.999958406847,4.111766451909866e-05,2.3674152261119703e-07,6.531621219952025e-10,1.2474135635302822e-11,0.9999999999875259,4.472705518487244e-14,100.0673197711129,10953.52164579387,46.47835420612917
0.6900000000000001,5991853.395243233,0.0008221318468372506,8153.503931010259,291728.7385481069,5999.999958392764,4.1134102775370574e-05,2.3555452348527334e-07,6.592747647746538e-10,1.2792141795296967e-11,0.9999999999872078,4.540269223019826e-14,100.06830976433143,10953.128770296775,46.871229703222944
0.7000000000000001,5991737.174558226,0.0008224527715543733,8269.824615642476,291612.1616528594,5999.999958378663,4.1150546828771924e-05,2.3437351968710114e-07,6.65309428351798e-10,1.3112929235021137e-11,0.999999999986887,4.607885686460575e-14,100.06929975745095,10952.732587432996,47.26741256700172
0.71,5991621.005830611,0.0008227738127768878,8386.09334288297,291495.6368266834,5999.999958364544,4.116699668145786e-05,2.3319848071959572e-07,6.71266750620892e-10,1.3436456915949832e-11,0.9999999999865634,4.675554948568286e-14,100.07028975047147,10952.333497668786,47.66650233121334
0.72,5991504.889032017,0.0008230949705492328,8502.310141100988,291379.16404122015,5999.999958350408,4.1183452335579e-05,2.320293762419232e-07,6.771473649696425e-10,1.3762684150068701e-11,0.9999999999862372,4.743277049130374e-14,100.07127974339299,10951.931855987235,48.06814401276431
0.73,5991388.824134169,0.0008234162449143737,8618.475038573903,291262.7432681949,5999.999958336254,4.119991379326345e-05,2.308661760686942e-07,6.829519003083685e-10,1.4091570597347904e-11,0.9999999999859084,4.8110520279616157e-14,100.07226973621552,10951.527977115154,48.47202288484445
0.74,5991272.811108873,0.0008237376359172167,8734.588063494282,291146.374479411,5999.999958322083,4.121638105665438e-05,2.2970885016916134e-07,6.886809810995714e-10,1.4423076263232446e-11,0.9999999999855768,4.878879924904544e-14,100.07325972893904,10951.122140127387,48.87785987261284
0.75,5991156.849928016,0.0008240591436021848,8850.649243976022,291030.057646744,5999.999958307895,4.123285412788439e-05,2.28557368666421e-07,6.943352273881897e-10,1.475716149615164e-11,0.9999999999852427,4.946760779832314e-14,100.07424972156356,10950.7145923714,49.28540762859872
0.76,5991040.940563556,0.0008243807680100158,8966.658608059985,290913.79274213716,5999.999958293691,4.124933300904137e-05,2.2741170183661913e-07,6.999152548307911e-10,1.509378698504388e-11,0.9999999999849061,5.0146946326491354e-14,100.07523971408908,10950.305553050921,49.69444694907788
0.77,5990925.082987521,0.0008247025091871002,9082.616183719421,290797.5797375965,5999.999958279468,4.126581770227008e-05,2.2627182010816202e-07,7.054216747239736e-10,1.543291375689821e-11,0.9999999999845669,5.082681523289021e-14,100.0762297065156,10949.895216474848,50.10478352515002
0.78,5990809.277172,0.0008250243671753443,9198.521998864744,290681.41860518657,5999.999958265229,4.1282308209662885e-05,2.2513769406093117e-07,7.10855094032823e-10,1.577450317431323e-11,0.9999999999842253,5.150721491715226e-14,100.07721969884314,10949.483754872652,50.516245127345336
0.79,5990693.523089141,0.0008253463420187938,9314.376081347871,290565.3093170267,5999.999958250972,4.1298804533331994e-05,2.2400929442550122e-07,7.16216115419472e-10,1.6118516933068844e-11,0.9999999999838813,5.218814577920341e-14,100.07820969107168,10949.071320936217,50.928679063779086
0.8,5990577.820711145,0.0008256684337589498,9430.178458966131,290449.2518452874,5999.999958236698,4.131530667535873e-05,2.2288659208236252e-07,7.215053372715329e-10,1.646491705971707e-11,0.999999999983535,5.2869608219266704e-14,100.07919968320121,10948.658050023467,51.34194997652919
0.81,5990462.17001027,0.0008259906424413082,9545.929159465788,290333.2461621873,5999.999958222407,4.133181463786539e-05,2.2176955806114788e-07,7.267233537302534e-10,1.6813665909187532e-11,0.9999999999831862,5.355160263786246e-14,100.08018967523174,10948.244062131038,51.75593786895929
0.8200000000000001,5990346.570958814,0.0008263129681088635,9661.628210545285,290217.29223999026,5999.999958208099,4.13483284229445e-05,2.206581635398622e-07,7.318707547186004e-10,1.716472616240701e-11,0.9999999999828351,5.423412943581121e-14,100.08117966716327,10947.829463650569,52.17053634942573
0.8300000000000001,5990231.023529124,0.0008266354107971996,9777.275639857988,290101.3900510029,5999.9999581937755,4.1364848032605455e-05,2.1955237984411916e-07,7.369481259688693e-10,1.7518060823944917e-11,0.9999999999824817,5.491718901423134e-14,100.0821696589958,10947.414348800336,52.585651199660596
0.84,5990115.52769359,0.000826957970575107,9892.871475014961,289985.539567572,5999.9999581794345,4.138137346921879e-05,2.184521784463788e-07,7.419560490503012e-10,1.787363321966243e-11,0.9999999999821261,5.560078177453714e-14,100.08315965072933,10946.998801092626,53.00119890737011
0.85,5990000.083424641,0.0008272806474331152,10008.415743587351,289869.74076208245,5999.999958165076,4.139790473429796e-05,2.1735753096519023e-07,7.468951013965096e-10,1.8231406994382735e-11,0.9999999999817684,5.6284908118441824e-14,100.08414964236385,10946.582894537873,53.41710546212463
0.86,5989884.690694743,0.0008276034414474932,10123.908473108539,289753.9936069554,5999.999958150702,4.141444183029221e-05,2.1626840916443855e-07,7.517658563327472e-10,1.8591346109577652e-11,0.9999999999814083,5.69695684479545e-14,100.08513963389939,10946.16669471297,53.83330528702593
0.87,5989769.349476397,0.0008279263527230106,10239.349691076268,289638.2980746462,5999.999958136311,4.143098475996105e-05,2.1518478495259233e-07,7.56568883103134e-10,1.8953414841055662e-11,0.9999999999810463,5.765476316538133e-14,100.08612962533591,10945.750259821985,54.24974017800954
0.88,5989654.059742142,0.000828249381191677,10354.739424954087,289522.6541376431,5999.999958121903,4.144753352417453e-05,2.1410663038196218e-07,7.613047468973944e-10,1.9317577776695177e-11,0.9999999999806821,5.834049267332842e-14,100.08711961667346,10945.333641367235,54.66635863276139
0.89,5989538.821464545,0.0008285725269349423,10470.077702173174,289407.0617684656,5999.999958107479,4.1464088125435356e-05,2.1303391764795643e-07,7.659740088777175e-10,1.968379981416457e-11,0.9999999999803159,5.902675737469917e-14,100.088109607912,10944.91688502046,55.0831149795356
0.9,5989423.634616207,0.0008288957900370442,10585.36455013379,289291.5209396633,5999.999958093038,4.148064856627598e-05,2.1196661908834112e-07,7.70577226205423e-10,2.0052046158661138e-11,0.9999999999799477,5.971355767269637e-14,100.08909959905155,10944.500031295043,55.49996870495252
0.91,5989308.499169757,0.0008292191704956186,10700.599996206378,289176.0316238145,5999.999958078581,4.149721484828144e-05,2.1090470718251206e-07,7.751149520670743e-10,2.042228232069527e-11,0.9999999999795774,6.040089397082326e-14,100.09008959009209,10944.083116000636,55.916883999357815
0.92,5989193.415097851,0.0008295426683682255,10815.784067732897,289060.59379352536,5999.999958064107,4.151378697369143e-05,2.098481545507608e-07,7.795877357009355e-10,2.0794474113852943e-11,0.9999999999792052,6.108876667287873e-14,100.09107958103363,10943.66617087444,56.33382912555699
0.93,5989078.382373178,0.0008298662836965019,10930.916792027992,288945.2074214289,5999.999958049618,4.153036494457116e-05,2.0879693395354486e-07,7.839961224231649e-10,2.116858765257314e-11,0.999999999978831,6.177717618296031e-14,100.09206957187617,10943.249224085173,56.75077591482231
0.9400000000000001,5988963.400968448,0.0008301900165263476,11045.998196379733,288829.87248018367,5999.999958035111,4.154694876303209e-05,2.0775101829077154e-07,7.883406536534433e-10,2.1544589349979145e-11,0.9999999999784551,6.246612290546624e-14,100.09305956261971,10942.832300539001,57.16769946099477
0.9500000000000001,5988848.470856399,0.0008305138668954941,11161.02830805048,288714.5889424738,5999.999958020589,4.1563538431096185e-05,2.0671038060107965e-07,7.926218669407043e-10,2.1922445915702237e-11,0.9999999999780772,6.315560724509322e-14,100.09404955326427,10942.415422242984,57.584577757010706
0.96,5988733.592009794,0.0008308378348465095,11276.007154278108,288599.3567810073,5999.99995800605,4.1580133950838145e-05,2.0567499406110848e-07,7.96840295989411e-10,2.2302124353653857e-11,0.9999999999776975,6.384562960683808e-14,100.09503954380982,10941.998608847849,58.001391152148045
0.97,5988618.764401417,0.0008311619204357294,11390.934762276062,288484.1759685163,5999.999957991496,4.1596735324483086e-05,2.0464483198481113e-07,8.009964706838977e-10,2.2683591959973456e-11,0.999999999977316,6.453619039599651e-14,100.09602953425636,10941.58187759611,58.4181224038853
0.98,5988503.98800408,0.0008314861237035679,11505.811159234661,288369.0464777556,5999.9999579769255,4.161334255408209e-05,2.0361986782271936e-07,8.050909171148305e-10,2.306681632078411e-11,0.9999999999769329,6.522729001816498e-14,100.09701952460391,10941.165243923282,58.834756076713575
0.99,5988389.262790615,0.0008318104446489137,11620.63637232106,288253.9682815029,5999.999957962339,4.162995564123226e-05,2.0260007516126542e-07,8.091241576031652e-10,2.345176531017312e-11,0.9999999999765479,6.591892887924069e-14,100.09800951485245,10940.748721358086,59.25127864190953
1.0,5988274.588733876,0.0008321348833571695,11735.410428680194,288138.94135255786,5999.999957947736,4.164657458847666e-05,2.015854277220629e-07,8.13096710725943e-10,2.3838407088011287e-11,0.9999999999761613,6.661110738541853e-14,100.098999505002,10940.33232195166,59.66767804833487
1.01,5988159.965806742,0.0008324594399866984,11850.13335543505,288023.9656637419,5999.999957933118,4.166319939915617e-05,2.0057589936121756e-07,8.170090913407438e-10,2.4226710097889113e-11,0.9999999999757729,6.730382594319123e-14,100.09998949505254,10939.916056338285,60.08394366170992
