t,O2,O2_radical,NADH,NAD,NAD_radical,NAD2,H2O2,Per3,Per2,coI,coII,coIII,Ar_radical,ArH
0.1,5.33000630879543e-06,2.602251553764302e-08,9.500180309124777e-07,0.0005580079753349694,5.021136845364738e-10,1.200022602167636e-07,1.0413826261938082e-08,5.919320475287606e-08,1.0000000930234267e-10,8.431715511179334e-10,2.5861614521315814e-08,1.3099920091653881e-06,1.1997224861295276e-07,0.0002998800277513872
0.11,5.330005739054848e-06,2.6025219785836964e-08,9.500201433956107e-07,0.0005580087747764583,5.002569153130129e-10,1.2000241161535157e-07,1.0168805844583764e-08,5.922399925470691e-08,1.0000243365527227e-10,8.382050713222898e-10,2.5836540659812647e-08,1.3099912525805013e-06,1.1995546885498174e-07,0.0002998800445311452
0.12,5.3300058182797025e-06,2.6027097154783853e-08,9.500223885223341e-07,0.0005580095732729411,4.992132563771521e-10,1.200025626400624e-07,9.926289681773803e-09,5.925672098953e-08,1.0000451432383264e-10,8.328894159397954e-10,2.5809415522619136e-08,1.3099909695575826e-06,1.1993590880275727e-07,0.0002998800640911974
0.13,5.3300067175632755e-06,2.6027975458363656e-08,9.500247583691852e-07,0.0005580103705725564,4.992426755824024e-10,1.2000271319938768e-07,9.686286896328308e-09,5.9291396560002405e-08,1.000060756673361e-10,8.271027804742901e-10,2.5780252783678034e-08,1.3099912418001692e-06,1.1991360158973613e-07,0.00029988008639841043
0.14,5.3300082113609835e-06,2.602808109047072e-08,9.500272734894397e-07,0.0005580111670047605,4.999949074071002e-10,1.2000286342137133e-07,9.448773706910566e-09,5.932795859863713e-08,1.0000735755014049e-10,8.21009796894005e-10,2.57490594923846e-08,1.3099919647545205e-06,1.1988850576244022e-07,0.0002998801114942377
0.15,5.330009274393785e-06,2.6028443190925262e-08,9.50030027314039e-07,0.0005580119640671927,4.99877717232743e-10,1.2000301388807454e-07,9.21364200848243e-09,5.936610086677135e-08,1.0000945034600703e-10,8.153588480768362e-10,2.5715867693831766e-08,1.3099926631409555e-06,1.1986043288193155e-07,0.0002998801395671182
0.16,5.330010568655564e-06,2.602839727304781e-08,9.500329595172481e-07,0.0005580127607928693,4.999191662360491e-10,1.2000316422367674e-07,8.980961601431003e-09,5.940602109410922e-08,1.0001165003122025e-10,8.096667242161727e-10,2.568065669740299e-08,1.3099936438342166e-06,1.1982950461794027e-07,0.0002998801704953822
0.17,5.330012094146318e-06,2.6027943336838373e-08,9.500360700990672e-07,0.0005580135571817904,5.001192544170188e-10,1.2000331442817795e-07,8.750732485756283e-09,5.944771928065073e-08,1.0001395660578013e-10,8.039334253120146e-10,2.5643426503098263e-08,1.3099949068343036e-06,1.1979572097046636e-07,0.0002998802042790297
0.18,5.3300131344898775e-06,2.6028609851261692e-08,9.500383319722089e-07,0.000558014354323798,5.004144264195333e-10,1.2000346490179686e-07,8.511980473604533e-09,5.948372139090773e-08,1.0001545089688065e-10,7.980319627525252e-10,2.5612964781376774e-08,1.3099952664140288e-06,1.1977215723753735e-07,0.00029988022784276265
0.19,5.330015152196814e-06,2.6026858350498604e-08,9.500425921772111e-07,0.0005580151499203599,5.002577892899378e-10,1.2000361483687686e-07,8.292453943268418e-09,5.9532394140231195e-08,1.0001893920813105e-10,7.926240915225522e-10,2.5567327623964016e-08,1.309997635205035e-06,1.1972543280702253e-07,0.00029988027456719313
0.2,5.330017169903749e-06,2.6025106849735516e-08,9.500468523822133e-07,0.000558015945516922,5.001011521603421e-10,1.2000376477195685e-07,8.072927412932303e-09,5.958106688955467e-08,1.0002242751938144e-10,7.872162202925792e-10,2.5521690466551262e-08,1.3100000039960416e-06,1.1967870837650768e-07,0.00029988032129162366
0.21,5.330019187610685e-06,2.6023355348972427e-08,9.500511125872155e-07,0.0005580167411134839,4.999445150307466e-10,1.2000391470703685e-07,7.853400882596187e-09,5.962973963887814e-08,1.0002591583063183e-10,7.818083490626062e-10,2.5476053309138504e-08,1.3100023727870479e-06,1.1963198394599283e-07,0.0002998803680160542
0.22,5.33003509634009e-06,2.6008881444056116e-08,9.500845074762193e-07,0.0005580175079478247,4.994369810939818e-10,1.2000405385918888e-07,7.697098925815474e-09,5.969136448208505e-08,1.0002836627858729e-10,7.774711460253374e-10,2.540276196924835e-08,1.3100183741582714e-06,1.1950544492921304e-07,0.0002998804945550709
0.23,5.330051358265136e-06,2.5994084056998933e-08,9.501186431489495e-07,0.000558018274050852,4.989205251917581e-10,1.2000419273717225e-07,7.542404528436518e-09,5.975331864756533e-08,1.0003079033764355e-10,7.731611659904957e-10,2.53287674891306e-08,1.310034722153936e-06,1.1937687653237844e-07,0.00029988062312346774
0.24,5.330067620190182e-06,2.597928666994175e-08,9.501527788216795e-07,0.0005580190401538792,4.984040692895345e-10,1.2000433161515562e-07,7.387710131057563e-09,5.98152728130456e-08,1.000332143966998e-10,7.68851185955654e-10,2.5254773009012848e-08,1.310051070149601e-06,1.1924830813554384e-07,0.00029988075169186455
0.25,5.330083882115228e-06,2.5964489282884567e-08,9.501869144944096e-07,0.0005580198062569066,4.978876133873107e-10,1.2000447049313899e-07,7.2330157336786075e-09,5.987722697852587e-08,1.0003563845575607e-10,7.645412059208123e-10,2.51807785288951e-08,1.3100674181452657e-06,1.1911973973870926e-07,0.0002998808802602614
0.26,5.3301001440402736e-06,2.5949691895827384e-08,9.502210501671398e-07,0.0005580205723599339,4.973711574850871e-10,1.2000460937112236e-07,7.078321336299651e-09,5.993918114400614e-08,1.0003806251481234e-10,7.602312258859706e-10,2.5106784048777347e-08,1.3100837661409303e-06,1.1899117134187466e-07,0.00029988100882865823
0.27,5.3301164059653195e-06,2.5934894508770204e-08,9.502551858398698e-07,0.0005580213384629611,4.968547015828634e-10,1.200047482491057e-07,6.9236269389206964e-09,6.00011353094864e-08,1.000404865738686e-10,7.559212458511288e-10,2.5032789568659598e-08,1.3101001141365952e-06,1.1886260294504007e-07,0.0002998811373970551
0.28,5.330132667890365e-06,2.592009712171302e-08,9.502893215125999e-07,0.0005580221045659884,4.963382456806398e-10,1.2000488712708907e-07,6.768932541541741e-09,6.006308947496668e-08,1.0004291063292486e-10,7.516112658162872e-10,2.495879508854185e-08,1.31011646213226e-06,1.1873403454820547e-07,0.0002998812659654519
0.29,5.330148929815411e-06,2.5905299734655837e-08,9.503234571853301e-07,0.0005580228706690158,4.958217897784162e-10,1.2000502600507244e-07,6.614238144162785e-09,6.012504364044695e-08,1.0004533469198112e-10,7.473012857814454e-10,2.4884800608424097e-08,1.3101328101279248e-06,1.1860546615137087e-07,0.00029988139453384873
0.3,5.3301651917404566e-06,2.5890502347598654e-08,9.503575928580601e-07,0.000558023636772043,4.953053338761924e-10,1.200051648830558e-07,6.4595437467838305e-09,6.018699780592722e-08,1.0004775875103739e-10,7.429913057466038e-10,2.4810806128306348e-08,1.3101491581235895e-06,1.1847689775453628e-07,0.0002998815231022456
0.31,5.3301814536655025e-06,2.587570496054147e-08,9.503917285307902e-07,0.0005580244028750703,4.947888779739688e-10,1.2000530376103918e-07,6.304849349404874e-09,6.024895197140749e-08,1.0005018281009365e-10,7.38681325711762e-10,2.4736811648188596e-08,1.3101655061192544e-06,1.1834832935770168e-07,0.0002998816516706424
0.32,5.3301977155905485e-06,2.5860907573484288e-08,9.504258642035204e-07,0.0005580251689780977,4.942724220717451e-10,1.2000544263902255e-07,6.150154952025919e-09,6.031090613688776e-08,1.0005260686914991e-10,7.343713456769204e-10,2.4662817168070847e-08,1.310181854114919e-06,1.182197609608671e-07,0.00029988178023903923
0.33,5.3302139775155945e-06,2.5846110186427105e-08,9.504599998762504e-07,0.0005580259350811249,4.937559661695215e-10,1.200055815170059e-07,5.995460554646963e-09,6.037286030236803e-08,1.0005503092820617e-10,7.300613656420786e-10,2.4588822687953098e-08,1.3101982021105838e-06,1.1809119256403249e-07,0.0002998819088074361
0.34,5.3302302394406404e-06,2.5831312799369922e-08,9.504941355489805e-07,0.0005580267011841522,4.932395102672978e-10,1.2000572039498926e-07,5.8407661572680075e-09,6.04348144678483e-08,1.0005745498726244e-10,7.257513856072369e-10,2.4514828207835346e-08,1.3102145501062487e-06,1.1796262416719789e-07,0.0002998820373758329
0.35000000000000003,5.3302465013656855e-06,2.581651541231274e-08,9.505282712217107e-07,0.0005580274672871794,4.927230543650741e-10,1.2000585927297263e-07,5.686071759889052e-09,6.049676863332857e-08,1.000598790463187e-10,7.214414055723952e-10,2.4440833727717597e-08,1.3102308981019133e-06,1.178340557703633e-07,0.0002998821659442298
0.36,5.3302627632907315e-06,2.5801718025255556e-08,9.505624068944407e-07,0.0005580282333902068,4.922065984628504e-10,1.20005998150956e-07,5.531377362510096e-09,6.055872279880884e-08,1.0006230310537496e-10,7.171314255375535e-10,2.4366839247599848e-08,1.3102472460975782e-06,1.177054873735287e-07,0.0002998822945126266
0.37,5.3302790252157775e-06,2.5786920638198373e-08,9.505965425671708e-07,0.0005580289994932341,4.916901425606268e-10,1.2000613702893937e-07,5.376682965131141e-09,6.062067696428911e-08,1.0006472716443122e-10,7.128214455027118e-10,2.4292844767482095e-08,1.310263594093243e-06,1.1757691897669412e-07,0.0002998824230810234
0.38,5.3302952871408234e-06,2.5772123251141193e-08,9.50630678239901e-07,0.0005580297655962613,4.911736866584032e-10,1.2000627590692272e-07,5.221988567752185e-09,6.068263112976938e-08,1.0006715122348749e-10,7.085114654678701e-10,2.4218850287364347e-08,1.3102799420889078e-06,1.1744835057985952e-07,0.0002998825516494203
0.39,5.330311549065869e-06,2.575732586408401e-08,9.50664813912631e-07,0.0005580305316992887,4.906572307561795e-10,1.200064147849061e-07,5.0672941703732305e-09,6.074458529524965e-08,1.0006957528254376e-10,7.042014854330284e-10,2.4144855807246594e-08,1.3102962900845725e-06,1.1731978218302493e-07,0.0002998826802178171
0.4,5.330327810990915e-06,2.5742528477026827e-08,9.506989495853611e-07,0.000558031297802316,4.901407748539558e-10,1.2000655366288946e-07,4.912599772994274e-09,6.080653946072992e-08,1.0007199934160001e-10,6.998915053981867e-10,2.4070861327128845e-08,1.3103126380802372e-06,1.1719121378619033e-07,0.0002998828087862139
0.41000000000000003,5.330344072915961e-06,2.5727731089969643e-08,9.507330852580913e-07,0.0005580320639053432,4.896243189517321e-10,1.2000669254087283e-07,4.7579053756153185e-09,6.086849362621019e-08,1.0007442340065627e-10,6.955815253633449e-10,2.3996866847011096e-08,1.310328986075902e-06,1.1706264538935573e-07,0.0002998829373546108
0.42,5.3303603348410064e-06,2.571293370291246e-08,9.507672209308213e-07,0.0005580328300083705,4.891078630495085e-10,1.200068314188562e-07,4.603210978236364e-09,6.093044779169046e-08,1.0007684745971254e-10,6.912715453285033e-10,2.3922872366893344e-08,1.3103453340715668e-06,1.1693407699252114e-07,0.0002998830659230076
0.43,5.330376596766052e-06,2.5698136315855277e-08,9.508013566035514e-07,0.0005580335961113979,4.885914071472848e-10,1.2000697029683957e-07,4.448516580857408e-09,6.099240195717073e-08,1.0007927151876881e-10,6.869615652936615e-10,2.3848877886775595e-08,1.3103616820672317e-06,1.1680550859568654e-07,0.00029988319449140446
0.44,5.330392858691098e-06,2.5683338928798094e-08,9.508354922762816e-07,0.0005580343622144251,4.880749512450612e-10,1.200071091748229e-07,4.293822183478453e-09,6.1054356122651e-08,1.0008169557782506e-10,6.826515852588199e-10,2.3774883406657843e-08,1.3103780300628963e-06,1.1667694019885196e-07,0.00029988332305980127
0.45,5.330409120616144e-06,2.566854154174091e-08,9.508696279490116e-07,0.0005580351283174524,4.875584953428374e-10,1.2000724805280628e-07,4.139127786099497e-09,6.111631028813127e-08,1.0008411963688133e-10,6.783416052239781e-10,2.3700888926540094e-08,1.3103943780585612e-06,1.1654837180201736e-07,0.0002998834516281981
0.46,5.33042538254119e-06,2.5653744154683728e-08,9.509037636217417e-07,0.0005580358944204798,4.870420394406138e-10,1.2000738693078965e-07,3.984433388720541e-09,6.117826445361154e-08,1.0008654369593759e-10,6.740316251891364e-10,2.3626894446422345e-08,1.310410726054226e-06,1.1641980340518276e-07,0.00029988358019659495
0.47000000000000003,5.330441644466236e-06,2.5638946767626545e-08,9.509378992944719e-07,0.000558036660523507,4.865255835383902e-10,1.2000752580877302e-07,3.829738991341585e-09,6.124021861909181e-08,1.0008896775499386e-10,6.697216451542948e-10,2.3552899966304593e-08,1.3104270740498906e-06,1.1629123500834817e-07,0.00029988370876499177
0.48,5.330457906391282e-06,2.562414938056936e-08,9.509720349672019e-07,0.0005580374266265343,4.860091276361665e-10,1.200076646867564e-07,3.6750445939626304e-09,6.130217278457208e-08,1.0009139181405011e-10,6.65411665119453e-10,2.3478905486186844e-08,1.3104434220455555e-06,1.1616266661151357e-07,0.0002998838373333886
0.49,5.330474168316327e-06,2.5609351993512182e-08,9.51006170639932e-07,0.0005580381927295615,4.854926717339429e-10,1.2000780356473976e-07,3.520350196583675e-09,6.136412695005235e-08,1.0009381587310638e-10,6.611016850846114e-10,2.3404911006069095e-08,1.3104597700412202e-06,1.1603409821467898e-07,0.00029988396590178545
0.5,5.330490430241373e-06,2.5594554606455e-08,9.510403063126622e-07,0.0005580389588325889,4.849762158317192e-10,1.200079424427231e-07,3.3656557992047192e-09,6.142608111553262e-08,1.0009623993216264e-10,6.567917050497696e-10,2.3330916525951343e-08,1.310476118036885e-06,1.1590552981784438e-07,0.00029988409447018226
0.51,5.330506692166419e-06,2.5579757219397816e-08,9.510744419853922e-07,0.0005580397249356162,4.844597599294955e-10,1.2000808132070647e-07,3.2109614018257637e-09,6.148803528101289e-08,1.0009866399121891e-10,6.52481725014928e-10,2.3256922045833594e-08,1.3104924660325498e-06,1.1577696142100978e-07,0.00029988422303857913
0.52,5.330522954091465e-06,2.5564959832340633e-08,9.511085776581223e-07,0.0005580404910386434,4.839433040272718e-10,1.2000822019868984e-07,3.056267004446808e-09,6.154998944649316e-08,1.0010108805027516e-10,6.481717449800862e-10,2.3182927565715842e-08,1.3105088140282147e-06,1.156483930241752e-07,0.00029988435160697595
0.53,5.330539216016511e-06,2.555016244528345e-08,9.511427133308525e-07,0.0005580412571416708,4.834268481250482e-10,1.2000835907667321e-07,2.901572607067852e-09,6.161194361197343e-08,1.0010351210933143e-10,6.438617649452445e-10,2.3108933085598093e-08,1.3105251620238793e-06,1.155198246273406e-07,0.00029988448017537276
0.54,5.330555477941557e-06,2.5535365058226266e-08,9.511768490035825e-07,0.0005580420232446981,4.829103922228245e-10,1.2000849795465658e-07,2.7468782096888966e-09,6.16738977774537e-08,1.001059361683877e-10,6.395517849104028e-10,2.3034938605480344e-08,1.310541510019544e-06,1.1539125623050601e-07,0.00029988460874376963
0.55,5.330571739866603e-06,2.5520567671169083e-08,9.512109846763126e-07,0.0005580427893477253,4.823939363206009e-10,1.2000863683263995e-07,2.592183812309941e-09,6.173585194293397e-08,1.0010836022744396e-10,6.352418048755611e-10,2.2960944125362592e-08,1.310557858015209e-06,1.1526268783367141e-07,0.00029988473731216644
0.56,5.330588001791648e-06,2.55057702841119e-08,9.512451203490428e-07,0.0005580435554507526,4.818774804183771e-10,1.200087757106233e-07,2.4374894149309854e-09,6.179780610841424e-08,1.0011078428650021e-10,6.309318248407193e-10,2.2886949645244843e-08,1.3105742060108736e-06,1.151341194368368e-07,0.00029988486588056326
0.5700000000000001,5.330604263716694e-06,2.5490972897054717e-08,9.512792560217728e-07,0.00055804432155378,4.813610245161535e-10,1.2000891458860667e-07,2.2827950175520295e-09,6.185976027389451e-08,1.0011320834555648e-10,6.266218448058777e-10,2.281295516512709e-08,1.3105905540065385e-06,1.1500555104000222e-07,0.0002998849944489601
0.58,5.330637320635565e-06,2.5467599944728266e-08,9.513502188254792e-07,0.0005580450510604004,4.806403238692213e-10,1.2000904022679255e-07,2.1719953423469325e-09,6.191825714646348e-08,1.0010583941160253e-10,6.229603023124092e-10,2.2730340050012986e-08,1.3106183412643265e-06,1.1482488248508382e-07,0.000299885175117515
0.59,5.330673414810273e-06,2.5442676162080546e-08,9.514278415553328e-07,0.0005580457739488198,4.798826870048959e-10,1.200091634706547e-07,2.0691337171657458e-09,6.197612879206398e-08,1.000966994841316e-10,6.194160251616948e-10,2.2646165954036263e-08,1.310648197231756e-06,1.1463479198509686e-07,0.00029988536520801504
0.6,5.330709508984982e-06,2.5417752379432826e-08,9.515054642851864e-07,0.0005580464968372392,4.791250501405706e-10,1.200092867145169e-07,1.9662720919845577e-09,6.203400043766446e-08,1.0008755955666069e-10,6.158717480109803e-10,2.2561991858059537e-08,1.3106780531991856e-06,1.144447014851099e-07,0.000299885555298515
0.61,5.33074560315969e-06,2.539282859678511e-08,9.5158308701504e-07,0.0005580472197256584,4.783674132762454e-10,1.2000940995837906e-07,1.863410466803371e-09,6.209187208326496e-08,1.0007841962918977e-10,6.123274708602658e-10,2.2477817762082814e-08,1.3107079091666152e-06,1.1425461098512292e-07,0.000299885745389015
0.62,5.330781697334399e-06,2.536790481413739e-08,9.516607097448936e-07,0.0005580479426140778,4.776097764119201e-10,1.2000953320224121e-07,1.7605488416221838e-09,6.214974372886545e-08,1.0006927970171885e-10,6.087831937095513e-10,2.239364366610609e-08,1.3107377651340448e-06,1.1406452048513595e-07,0.000299885935479515
0.63,5.330817791509107e-06,2.5342981031489672e-08,9.517383324747472e-07,0.0005580486655024972,4.768521395475947e-10,1.2000965644610337e-07,1.6576872164409966e-09,6.220761537446595e-08,1.0006013977424793e-10,6.052389165588367e-10,2.230946957012937e-08,1.3107676211014745e-06,1.1387442998514899e-07,0.00029988612557001497
0.64,5.330853885683816e-06,2.5318057248841952e-08,9.518159552046008e-07,0.0005580493883909166,4.760945026832695e-10,1.2000977968996556e-07,1.5548255912598098e-09,6.226548702006644e-08,1.0005099984677701e-10,6.016946394081223e-10,2.2225295474152646e-08,1.310797477068904e-06,1.1368433948516202e-07,0.00029988631566051495
0.65,5.330889979858524e-06,2.5293133466194235e-08,9.518935779344544e-07,0.0005580501112793358,4.753368658189442e-10,1.2000990293382771e-07,1.4519639660786226e-09,6.232335866566694e-08,1.0004185991930607e-10,5.981503622574078e-10,2.214112137817592e-08,1.3108273330363336e-06,1.1349424898517504e-07,0.00029988650575101493
0.66,5.330926074033232e-06,2.5268209683546518e-08,9.51971200664308e-07,0.0005580508341677552,4.745792289546189e-10,1.2001002617768987e-07,1.3491023408974354e-09,6.238123031126742e-08,1.0003271999183515e-10,5.946060851066933e-10,2.2056947282199197e-08,1.3108571890037632e-06,1.1330415848518808e-07,0.0002998866958415149
0.67,5.330962168207941e-06,2.5243285900898798e-08,9.520488233941615e-07,0.0005580515570561746,4.738215920902935e-10,1.2001014942155203e-07,1.2462407157162483e-09,6.243910195686792e-08,1.0002358006436423e-10,5.910618079559788e-10,2.1972773186222475e-08,1.3108870449711928e-06,1.1311406798520111e-07,0.0002998868859320149
0.68,5.330998262382649e-06,2.5218362118251078e-08,9.521264461240151e-07,0.0005580522799445939,4.730639552259683e-10,1.2001027266541422e-07,1.143379090535061e-09,6.249697360246841e-08,1.0001444013689331e-10,5.875175308052643e-10,2.1888599090245752e-08,1.3109169009386223e-06,1.1292397748521415e-07,0.00029988707602251487
0.6900000000000001,5.331034356557358e-06,2.519343833560336e-08,9.522040688538687e-07,0.0005580530028330132,4.72306318361643e-10,1.2001039590927637e-07,1.0405174653538743e-09,6.255484524806891e-08,1.000053002094224e-10,5.839732536545498e-10,2.180442499426903e-08,1.3109467569060519e-06,1.1273388698522719e-07,0.0002998872661130149
0.7000000000000001,5.331070450732066e-06,2.516851455295564e-08,9.522816915837223e-07,0.0005580537257214326,4.715486814973177e-10,1.2001051915313853e-07,9.376558401726871e-10,6.26127168936694e-08,9.999616028195148e-11,5.804289765038354e-10,2.1720250898292303e-08,1.3109766128734814e-06,1.1254379648524021e-07,0.0002998874562035149
0.71,5.331106544906774e-06,2.5143590770307924e-08,9.523593143135759e-07,0.000558054448609852,4.707910446329925e-10,1.200106423970007e-07,8.347942149915012e-10,6.26705885392699e-08,9.998702035448056e-11,5.768846993531209e-10,2.163607680231558e-08,1.311006468840911e-06,1.1235370598525324e-07,0.00029988764629401487
0.72,5.331142639081483e-06,2.5118666987660207e-08,9.524369370434295e-07,0.0005580551714982713,4.700334077686671e-10,1.2001076564086287e-07,7.31932589810314e-10,6.272846018487039e-08,9.997788042700962e-11,5.733404222024063e-10,2.1551902706338858e-08,1.3110363248083406e-06,1.1216361548526628e-07,0.00029988783638451485
0.73,5.331178733256191e-06,2.5093743205012487e-08,9.525145597732831e-07,0.0005580558943866906,4.692757709043418e-10,1.2001088888472503e-07,6.290709646291268e-10,6.278633183047089e-08,9.99687404995387e-11,5.697961450516919e-10,2.1467728610362135e-08,1.3110661807757701e-06,1.1197352498527931e-07,0.00029988802647501483
0.74,5.3312148274309e-06,2.506881942236477e-08,9.525921825031367e-07,0.00055805661727511,4.685181340400166e-10,1.200110121285872e-07,5.262093394479396e-10,6.284420347607137e-08,9.995960057206778e-11,5.662518679009773e-10,2.1383554514385412e-08,1.3110960367431997e-06,1.1178343448529235e-07,0.0002998882165655148
0.75,5.331250921605608e-06,2.504389563971705e-08,9.526698052329903e-07,0.0005580573401635293,4.677604971756913e-10,1.2001113537244935e-07,4.233477142667524e-10,6.290207512167186e-08,9.995046064459686e-11,5.627075907502629e-10,2.129938041840869e-08,1.3111258927106295e-06,1.1159334398530538e-07,0.0002998884066560148
0.76,5.3312870157803165e-06,2.5018971857069333e-08,9.527474279628439e-07,0.0005580580630519487,4.670028603113659e-10,1.2001125861631153e-07,3.2048608908556543e-10,6.295994676727236e-08,9.994132071712594e-11,5.591633135995484e-10,2.1215206322431963e-08,1.311155748678059e-06,1.114032534853184e-07,0.0002998885967465148
0.77,5.3313231099550245e-06,2.4994048074421613e-08,9.528250506926975e-07,0.000558058785940368,4.662452234470407e-10,1.200113818601737e-07,2.1762446390437804e-10,6.301781841287285e-08,9.993218078965502e-11,5.556190364488339e-10,2.113103222645524e-08,1.3111856046454886e-06,1.1121316298533144e-07,0.00029988878683701476
0.78,5.3313592041297326e-06,2.4969124291773896e-08,9.52902673422551e-07,0.0005580595088287873,4.654875865827154e-10,1.2001150510403585e-07,1.1476283872319106e-10,6.307569005847335e-08,9.99230408621841e-11,5.520747592981194e-10,2.1046858130478518e-08,1.3112154606129181e-06,1.1102307248534448e-07,0.0002998889769275148
0.79,5.331395298304441e-06,2.4944200509126175e-08,9.529802961524046e-07,0.0005580602317172067,4.647299497183901e-10,1.20011628347898e-07,1.1901213542004075e-11,6.313356170407383e-08,9.991390093471318e-11,5.48530482147405e-10,2.0962684034501795e-08,1.3112453165803477e-06,1.1083298198535751e-07,0.0002998891670180148
0.8,5.3314313924791494e-06,2.491927672647846e-08,9.530579188822582e-07,0.0005580609546056261,4.639723128540648e-10,1.200117515917602e-07,-9.096041163918311e-11,6.319143334967433e-08,9.990476100724225e-11,5.449862049966904e-10,2.0878509938525072e-08,1.3112751725477772e-06,1.1064289148537053e-07,0.00029988935710851476
0.81,5.331467486653858e-06,2.489435294383074e-08,9.531355416121118e-07,0.0005580616774940453,4.6321467598973953e-10,1.2001187483562235e-07,-1.938220368203703e-10,6.324930499527482e-08,9.989562107977133e-11,5.414419278459759e-10,2.0794335842548346e-08,1.3113050285152068e-06,1.1045280098538357e-07,0.00029988954719901474
0.8200000000000001,5.331503580828566e-06,2.486942916118302e-08,9.532131643419655e-07,0.0005580624003824647,4.624570391254142e-10,1.200119980794845e-07,-2.966836620015575e-10,6.330717664087532e-08,9.988648115230041e-11,5.378976506952614e-10,2.0710161746571623e-08,1.3113348844826364e-06,1.102627104853966e-07,0.0002998897372895147
0.8300000000000001,5.331539675003275e-06,2.48445053785353e-08,9.532907870718191e-07,0.0005580631232708841,4.6169940226108893e-10,1.2001212132334667e-07,-3.9954528718274447e-10,6.336504828647581e-08,9.987734122482949e-11,5.343533735445469e-10,2.06259876505949e-08,1.311364740450066e-06,1.1007261998540964e-07,0.0002998899273800147
0.84,5.331575769177983e-06,2.4819581595887584e-08,9.533684098016727e-07,0.0005580638461593035,4.6094176539676366e-10,1.2001224456720885e-07,-5.024069123639304e-10,6.342291993207631e-08,9.986820129735857e-11,5.308090963938325e-10,2.0541813554618178e-08,1.3113945964174955e-06,1.0988252948542267e-07,0.0002998901174705147
0.85,5.331611863352691e-06,2.4794657813239864e-08,9.534460325315263e-07,0.0005580645690477227,4.6018412853243834e-10,1.20012367811071e-07,-6.052685375451177e-10,6.34807915776768e-08,9.985906136988765e-11,5.27264819243118e-10,2.0457639458641455e-08,1.311424452384925e-06,1.096924389854357e-07,0.00029989030756101466
