t,volumeCa_i,volumeCa_er,volume_iIP3,PIP2,ATP_e,O,I1,I2
1.3,75.83324861510899,1199.7352832067183,-2.789973572999995e-82,1.0,0.0,2.3324041895216145e-89,1.1772357216096514e-81,9.867752039473494e-41
1.31,75.83324600140436,1199.7352663552867,-2.862081622637635e-82,1.0,0.0,2.4118455653522513e-89,1.171457443989704e-81,9.865778693379785e-41
1.32,75.83324338777473,1199.7352495043394,-2.9353198532830663e-82,1.0,0.0,2.492479341451211e-89,1.1657059992981067e-81,9.86380574176981e-41
1.33,75.8332407742201,1199.7352326538764,-3.009695655701673e-82,1.0,0.0,2.574317122836299e-89,1.1599811521097408e-81,9.861833184559344e-41
1.34,75.83323816074048,1199.7352158038975,-3.0852164206588387e-82,1.0,0.0,2.6573705145253196e-89,1.1542826669994872e-81,9.859861021664168e-41
1.35,75.83323554733586,1199.7351989544031,-3.1618895389199485e-82,1.0,0.0,2.741651121536079e-89,1.1486103085422275e-81,9.857889253000058e-41
1.36,75.83323293400623,1199.7351821053928,-3.239722401250386e-82,1.0,0.0,2.827170548886382e-89,1.1429638413128428e-81,9.855917878482791e-41
1.37,75.8332303207516,1199.7351652568666,-3.318722398415536e-82,1.0,0.0,2.9139404015940338e-89,1.1373430298862148e-81,9.853946898028143e-41
1.3800000000000001,75.83322770757196,1199.7351484088247,-3.398896921180782e-82,1.0,0.0,3.0019722846768393e-89,1.131747638837224e-81,9.851976311551893e-41
1.3900000000000001,75.83322509446732,1199.7351315612668,-3.480253360311509e-82,1.0,0.0,3.0912778031526045e-89,1.1261774327407527e-81,9.85000611896982e-41
1.4000000000000001,75.83322248143767,1199.7351147141933,-3.562799106573101e-82,1.0,0.0,3.1818685620391336e-89,1.1206321761716815e-81,9.8480363201977e-41
1.41,75.83321986848301,1199.7350978676038,-3.64654155073094e-82,1.0,0.0,3.273756166354231e-89,1.1151116337048918e-81,9.846066915151308e-41
1.42,75.83321725560333,1199.7350810214984,-3.731488083550416e-82,1.0,0.0,3.366952221115704e-89,1.1096155699152649e-81,9.844097903746425e-41
1.43,75.83321464279865,1199.7350641758771,-3.817646095796908e-82,1.0,0.0,3.461468331341357e-89,1.104143749377682e-81,9.842129285898825e-41
1.44,75.83321203006895,1199.73504733074,-3.905022978235803e-82,1.0,0.0,3.557316102048995e-89,1.0986959366670244e-81,9.840161061524287e-41
1.45,75.83320941741424,1199.7350304860868,-3.993626121632484e-82,1.0,0.0,3.654507138256425e-89,1.0932718963581738e-81,9.83819323053859e-41
1.46,75.8332068048345,1199.735013641918,-4.0834629167523366e-82,1.0,0.0,3.753053044981448e-89,1.087871393026011e-81,9.83622579285751e-41
1.47,75.83320419232975,1199.734996798233,-4.174540754360744e-82,1.0,0.0,3.852965427241874e-89,1.0824941912454172e-81,9.834258748396822e-41
1.48,75.83320157989996,1199.7349799550318,-4.266867025223089e-82,1.0,0.0,3.9542558900555045e-89,1.0771400555912742e-81,9.832292097072306e-41
1.49,75.83319896754517,1199.734963112315,-4.3604491201047586e-82,1.0,0.0,4.056936038440146e-89,1.0718087506384628e-81,9.830325838799739e-41
1.5,75.83319635526536,1199.734946270082,-4.455294429771136e-82,1.0,0.0,4.161017477413604e-89,1.0665000409618647e-81,9.8283599734949e-41
1.51,75.8331937430605,1199.734929428333,-4.551410344987605e-82,1.0,0.0,4.266511811993684e-89,1.0612136911363606e-81,9.82639450107356e-41
1.52,75.83319113093063,1199.734912587068,-4.6488042565195506e-82,1.0,0.0,4.3734306471981906e-89,1.0559494657368323e-81,9.824429421451505e-41
1.53,75.83318851887573,1199.734895746287,-4.747483555132357e-82,1.0,0.0,4.481785588044929e-89,1.0507071293381611e-81,9.822464734544507e-41
1.54,75.8331859068958,1199.73487890599,-4.8474556315914076e-82,1.0,0.0,4.591588239551704e-89,1.0454864465152279e-81,9.820500440268345e-41
1.55,75.83318329499085,1199.734862066177,-4.9487278766620874e-82,1.0,0.0,4.7028502067363205e-89,1.0402871818429143e-81,9.818536538538795e-41
1.56,75.83318068316085,1199.7348452268475,-5.051307681109781e-82,1.0,0.0,4.815583094616586e-89,1.0351090998961014e-81,9.816573029271635e-41
1.57,75.83317807140583,1199.7348283880021,-5.1552024356998717e-82,1.0,0.0,4.9297985082103025e-89,1.0299519652496706e-81,9.814609912382643e-41
1.58,75.83317545972575,1199.7348115496407,-5.2604195311977445e-82,1.0,0.0,5.045508052535278e-89,1.024815542478503e-81,9.812647187787597e-41
1.59,75.83317284812065,1199.734794711763,-5.366966358368784e-82,1.0,0.0,5.162723332609316e-89,1.0196995961574801e-81,9.810684855402273e-41
1.6,75.83317023659052,1199.7347778743692,-5.474850307978373e-82,1.0,0.0,5.281455953450222e-89,1.0146038908614832e-81,9.80872291514245e-41
1.61,75.83316762513533,1199.7347610374593,-5.584078770791897e-82,1.0,0.0,5.401717520075802e-89,1.0095281911653934e-81,9.806761366923903e-41
1.62,75.8331650137551,1199.7347442010332,-7.22799167281005e-82,1.0,0.0,7.038997571627221e-89,1.0044746536371395e-81,9.804800210795394e-41
1.6300000000000001,75.83316240244983,1199.734727365091,-1.2957883379261876e-81,1.0,0.0,1.2714886708311174e-88,9.99447022849787e-82,9.802839446893977e-41
1.6400000000000001,75.8331597912195,1199.7347105296326,-2.287638185298245e-81,1.0,0.0,2.253082216133517e-88,9.944452234659272e-82,9.800879075144325e-41
1.6500000000000001,75.83315718006412,1199.734693694658,-3.7050062195256604e-81,1.0,0.0,3.655260811109983e-88,9.894691239058225e-82,9.798919095467992e-41
1.6600000000000001,75.83315456898369,1199.7346768601672,-5.554549950735958e-81,1.0,0.0,5.484604873801719e-88,9.845185925897345e-82,9.796959507786526e-41
1.67,75.8331519579782,1199.7346600261603,-7.842926889061456e-81,1.0,0.0,7.747694822249931e-88,9.795934979379252e-82,9.79500031202148e-41
1.68,75.83314934704765,1199.7346431926371,-1.0576794544627761e-80,1.0,0.0,1.0451111074495822e-87,9.746937083706564e-82,9.793041508094407e-41
1.69,75.83314673619205,1199.7346263595978,-1.3762810427566233e-80,1.0,0.0,1.3601434048579455e-87,9.698190923081901e-82,9.791083095926851e-41
1.7,75.83314412541138,1199.734609527042,-1.7407632048003438e-80,1.0,0.0,1.7205244162542606e-87,9.649695181707884e-82,9.789125075440368e-41
1.71,75.83314151470566,1199.7345926949702,-2.1517916916071692e-80,1.0,0.0,2.1269121834425907e-87,9.601448543787129e-82,9.787167446556507e-41
1.72,75.83313890407486,1199.734575863382,-2.6100322541896604e-80,1.0,0.0,2.579964748226942e-87,9.553449693522257e-82,9.78521020919682e-41
1.73,75.833136293519,1199.7345590322775,-3.1161506435608573e-80,1.0,0.0,3.0803401524115495e-87,9.505697315115889e-82,9.783253363282855e-41
1.74,75.83313368303807,1199.7345422016567,-3.670812610733704e-80,1.0,0.0,3.6286964378005333e-87,9.458190092770639e-82,9.781296908736164e-41
1.75,75.83313107263209,1199.7345253715198,-4.2746839067210494e-80,1.0,0.0,4.225691646197957e-87,9.410926710689131e-82,9.7793408454783e-41
1.76,75.83312846230102,1199.7345085418663,-4.928430282535645e-80,1.0,0.0,4.871983819407769e-87,9.363905853073984e-82,9.777385173430812e-41
1.77,75.83312585204487,1199.7344917126966,-5.632717489190532e-80,1.0,0.0,5.568230999234205e-87,9.317126204127814e-82,9.775429892515251e-41
1.78,75.83312324186366,1199.7344748840105,-6.3882112776986536e-80,1.0,0.0,6.315091227481385e-87,9.270586448053244e-82,9.773475002653167e-41
1.79,75.83312063175738,1199.7344580558079,-7.195577399072858e-80,1.0,0.0,7.113222545953201e-87,9.224285269052891e-82,9.77152050376611e-41
1.8,75.83311802172601,1199.734441228089,-8.055481604325899e-80,1.0,0.0,7.963282996454059e-87,9.178221351329374e-82,9.769566395775633e-41
