t,MPF_n,MPF_c,FZY,Wee1_n,StgP_n,preMPF_n,preMPF_c,N,StgP_c,Wee1_c,IE,Stg_m,Xp,Xm,Stg_n,Stg_c,Wee1P_n
0.21,0.03139796709599878,0.9964580538043734,2.6109746009906712e-05,0.0027443859256652665,0.0013857086081632969,6.973699269880374e-05,0.0035397433574858423,1.0,0.16267143606849346,0.017758580323026785,0.0007220014077219879,0.9996000036561645,1.1025000000744995e-08,0.000105,0.015361477045308786,0.8383749004179889,0.00396903097707151
0.22,0.03288689761882274,0.9962500844107287,2.806214429308397e-05,0.002952040228409079,0.0015105548873996385,7.771206103902841e-05,0.003747607969539854,1.0,0.16974086829367085,0.017931210139532534,0.0007636670517269391,0.9995809563856014,1.2100000000744996e-08,0.00011,0.01603148709485891,0.8313551697867129,0.004080711574734419
0.23,0.034375195436843024,0.9960422017663695,3.0037919092136098e-05,0.003162950669024974,0.0016399452227848221,8.618442690933677e-05,0.003955385842796934,1.0,0.1767808610650701,0.01808649388183433,0.0008056340076662683,0.9995619091301298,1.3225000000744998e-08,0.00011500000000000002,0.016696714687040305,0.8243648673537114,0.004189104093690716
0.24,0.035862854612794336,0.9958346249503857,3.203570812236883e-05,0.0033768057570494666,0.0017737921591674019,9.516091740996695e-05,0.00416285789816613,1.0,0.1837927942483231,0.018226302369829646,0.0008479043645684168,0.9995428618896506,1.4400000000744995e-08,0.00012,0.017357247351428094,0.817402613255041,0.004294520027598704
0.25,0.03734986952012714,0.995627553714733,3.4054421647754685e-05,0.003593313944570413,0.0019120114875948017,0.00010464806102005003,0.004369824383690875,1.0,0.19077790907574121,0.018352289345881952,0.0008904805268846673,0.9995238146640645,1.5625000000744998e-08,0.000125,0.018013169371373837,0.8104671662600788,0.0043972509275650275
0.26,0.03883623482423638,0.9954211707456774,3.609318995208342e-05,0.003812202315806514,0.002054522275395155,0.00011465210575233626,0.00457610261310399,1.0,0.19773732823067253,0.018465922741241644,0.0009333650734379876,0.9995047674532723,1.6900000000744998e-08,0.00013000000000000002,0.018664561753923694,0.8035574036871644,0.004497569712565165
0.27,0.04032194546876432,0.9952156432393533,3.8151335489013985e-05,0.004033215496355046,0.0022012468557184033,0.00012517903230098662,0.004781525390270109,1.0,0.2046720678164779,0.018568504558536682,0.0009765606544860243,0.9994857202571746,1.8225000000744998e-08,0.000135,0.019311502240277344,0.7966723094346249,0.004595731760195696
0.28,0.04180699666214361,0.9950111244957408,4.022832980716383e-05,0.004256114566057553,0.00235211081635663,0.00013623456694817964,0.004985939415208049,1.0,0.21158305074396463,0.01866119196151642,0.0010200701207591784,0.9994666730756724,1.9600000000745e-08,0.00014000000000000001,0.019954065316967657,0.7898109605933401,0.004691975993808621
0.29,0.04329138386492032,0.9948077553677797,4.2323765210165815e-05,0.004480676024968257,0.0025070429785076496,0.00014782419370978076,0.005189203834976783,1.0,0.21847111795730195,0.01874501569617254,0.0010638964840510305,0.9994476259086663,2.102500000074499e-08,0.00014499999999999997,0.020592322237097112,0.782972516220828,0.004786525916542935
0.3,0.04477510277972483,0.9946056653362396,4.443734021493441e-05,0.004706690910125018,0.002665975347246005,0.00015995316388291533,0.005391189168805861,1.0,0.22533703600188168,0.018820893049989365,0.0011080428356576332,0.9994285787560571,2.2500000000744995e-08,0.00015,0.021226341069866806,0.7761562097733838,0.004879590494553681
0.31,0.04625814934122236,0.9944049736046388,4.656884203951004e-05,0.004933963910151508,0.0028288430656155904,0.0001726265056219801,0.005591776213175971,1.0,0.23218150525812078,0.01888964143431434,0.0011525123188040407,0.9994095316177457,2.4025000000744997e-08,0.000155,0.021856186746483843,0.769361340872277,0.0049713650424097686
0.32,0.047740519705299224,0.9942057902936864,4.8718125985926515e-05,0.00516231243420797,0.002995584374904493,0.00018584903425679925,0.005790854847376882,1.0,0.23900516884159573,0.0189519931954168,0.0011973080938314227,0.9993904844936327,2.5600000000744996e-08,0.00016,0.022481921099886504,0.7625872664036176,0.005062032154143219
0.33,0.04922221024284412,0.9940082170108263,5.088510705097959e-05,0.00539156594968934,0.0031661405348590997,0.0001996253581064553,0.005988323463963484,1.0,0.2458086163261253,0.019008601939754358,0.0012424334024019388,0.999371437383619,2.7225000000745e-08,0.00016500000000000003,0.023103602944530132,0.7558333967952727,0.005151762365551037
0.34,0.050703217532951816,0.9938123474956561,5.306975270533274e-05,0.0056215652847017355,0.003340455747865818,0.00021395988486166064,0.006184088323337427,1.0,0.252592387966651,0.0190600498006643,0.001287891583927607,0.9993523902876055,2.8900000000745003e-08,0.00017,0.02372128815220545,0.7490991917939867,0.005240714851718729
0.35000000000000003,0.05218353835326927,0.9936182686236872,5.527206583160537e-05,0.005852161810260731,0.003518477106965861,0.0002288568307766926,0.006378062549985952,1.0,0.25935698207888663,0.019106859849440574,0.001333686031658847,0.9993333432054928,3.062500000074501e-08,0.00017500000000000005,0.02433502970402375,0.7423841530857312,0.005329038244822027
0.36,0.053663169675933556,0.9934260606341426,5.749208539167766e-05,0.006083216962598283,0.0037001544931097464,0.0002443202243837871,0.006570165904685244,1.0,0.26610285579936316,0.019149497881018402,0.0013798202221422062,0.9993142961371819,3.2400000000745e-08,0.00018,0.024944877793162422,0.7356878235356605,0.005416871111819955
0.37,0.05514210865867093,0.9932357980569352,5.9729873718947124e-05,0.006314601438346192,0.0038854405208172383,0.00026035391494709785,0.006760323857521309,1.0,0.272830431888086,0.019188383691396794,0.0014262976802362933,0.9992952490825734,3.4225000000745e-08,0.00018500000000000005,0.02555087987920503,0.7290097803854542,0.005504342759271388
0.38,0.0566203526416197,0.993047549771074,6.198552532048253e-05,0.006546194845666019,0.004074290431374969,0.00027696157534215304,0.0069484675294839955,1.0,0.27954009840276683,0.019223890949121355,0.0014731219146425834,0.9992762020415684,3.6100000000745004e-08,0.00019000000000000004,0.02615308079494367,0.7223496355790853,0.005591573582205104
0.39,0.05809789913926097,0.9928613798315098,6.42591511291762e-05,0.006777884935114634,0.004266662030236218,0.0002941467096823248,0.007134532865621702,1.0,0.2862322145943903,0.01925635705751617,0.0015202964728549982,0.9992571550140675,3.802500000074501e-08,0.00019500000000000008,0.026751522808979217,0.7157070298672534,0.005678675833254266
0.4,0.059574745838091636,0.9926773474401347,6.655088100632125e-05,0.007009567321335226,0.004462515587702124,0.0003119126553760599,0.007318460664040951,1.0,0.2929071105298882,0.019286082300305984,0.0015678250065934041,0.9992381079999717,4.000000000074501e-08,0.00020000000000000006,0.02734624572504013,0.7090816331847112,0.005765753900965391
0.41000000000000003,0.061050890589232,0.9924955076330471,6.886085700688487e-05,0.0072411447923914005,0.004661813764817916,0.00033026259010094175,0.007500195888642468,1.0,0.29956509159821315,0.019313337756256207,0.0016157112215440129,0.9992190609991817,4.202500000074502e-08,0.0002050000000000001,0.027937286956086212,0.7024731401441896,0.005852905000464266
0.42,0.06252633140523217,0.9923159113192255,7.118923226884814e-05,0.007472527045990032,0.004864521524082751,0.0003491995347112475,0.007679687630446662,1.0,0.30620643848997503,0.019338365342751098,0.0016639589014902964,0.9992000140115984,4.410000000074501e-08,0.00021000000000000006,0.028524681613598783,0.6958812700567626,0.005940219437233084
0.43,0.06400106645430448,0.9921386057583943,7.353616739858623e-05,0.0077036301093893434,0.005070606047988772,0.00036872635863575,0.007856888629728154,1.0,0.3128314103786881,0.019361383195370004,0.001712571909037722,0.9991809670371228,4.622500000074501e-08,0.00021500000000000008,0.029108462589041647,0.6893057637505993,0.006027781187202376
0.44,0.06547509405723724,0.9919636345868037,7.590183874202618e-05,0.007934376116519534,0.005280036659613456,0.000388845782724182,0.008031755250235664,1.0,0.3194402449406911,0.019382585665759906,0.0017615541053846435,0.9991619200756555,4.840000000074501e-08,0.00022000000000000006,0.02968866063326873,0.6827463835510438,0.006115668119630378
0.45,0.06694841268148634,0.9917910383060993,7.828642918217332e-05,0.008164692708192223,0.005492784736226001,0.0004095603847578929,0.008204246990322558,1.0,0.3260331615120329,0.019402148771671613,0.001810909403754528,0.9991428731270976,5.062500000074501e-08,0.00022500000000000008,0.03026530444291772,0.6762029101237301,0.006203952596893582
0.46,0.06842102093699068,0.9916208544992549,8.069012714636661e-05,0.008394512659653335,0.005708823629488086,0.0004308726033287004,0.00837432626701405,1.0,0.33261036244876274,0.019420232459935523,0.0018606417720023766,0.9991238261913499,5.290000000074501e-08,0.00023000000000000006,0.030838420740209288,0.6696751411142915,0.00629270184693386
0.47000000000000003,0.06989291757570512,0.9914531174827006,8.311313454028763e-05,0.00862377398845154,0.005928128604733251,0.00045278473817853806,0.00854195876387873,1.0,0.3391720308958991,0.019436976341546217,0.001910755231372296,0.9991047792683131,5.522500000074501e-08,0.00023500000000000007,0.03140803433366777,0.6631628933793919,0.006381977855390016
0.48,0.07136410148408649,0.9912878590225762,8.555565912574158e-05,0.008852419153381709,0.006150676743071834,0.0004752989572509193,0.008707112714776012,1.0,0.3457183353096338,0.019452507735308436,0.0019612538458006236,0.9990857323578883,5.7600000000745e-08,0.00024000000000000006,0.03197416821601616,0.6566659984645212,0.0064718381666543385
0.49,0.07283457167992771,0.9911251083838093,8.801791326420675e-05,0.009080394848943088,0.006376446872941594,0.0004984172996026621,0.00886975885477723,1.0,0.3522494297024447,0.019466942003489255,0.002012141742412051,0.9990666854599762,6.002500000074501e-08,0.0002450000000000001,0.03253684363262559,0.6501843023588834,0.006562336089414422
0.5,0.07430432731039928,0.9909648921686467,9.05001087696238e-05,0.009307652037906738,0.006605419522516616,0.0005221416771714168,0.009029870581634411,1.0,0.35876545243268204,0.019480380464343982,0.0020634231805915972,0.999047638574478,6.250000000074502e-08,0.00025000000000000006,0.03309608012910632,0.6437176667058098,0.0066535206640857235
0.51,0.07577336764621585,0.9908072348129902,9.30024602408487e-05,0.00953414527123362,0.006837576814156214,0.0005464738802190354,0.009187423459444824,1.0,0.36526652947568916,0.019492915880943037,0.0021151024934269536,0.9990285917012943,6.502500000074502e-08,0.00025500000000000007,0.03365189565685897,0.637265965531638,0.0067454373428934835
0.52,0.07724169207896053,0.990652158555955,9.552518667272736e-05,0.009759832608724445,0.007072902413695835,0.000571415579805029,0.009342395249092049,1.0,0.3717527740867056,0.01950463189100094,0.002167184073433202,0.999009544840326,6.760000000074503e-08,0.00026000000000000014,0.03420430662378352,0.6308290855828095,0.006838128069222871
0.53,0.07870930011857617,0.9904996833911351,9.806851732538081e-05,0.009984675576914922,0.007311381486510726,0.0005969683301202833,0.009494765956981262,1.0,0.37822428633583716,0.019515602231212945,0.002219672313574753,0.9989904979914743,7.022500000074504e-08,0.00026500000000000015,0.0347533279382157,0.6244069267908992,0.006931631319723746
0.54,0.08017619138815421,0.9903498274332393,0.00010063268295952884,0.01020863859261169,0.007553000592306934,0.0006231335732981442,0.009644517468402444,1.0,0.38468115549788606,0.019525894720961477,0.0022725716846180174,0.9989714511546398,7.290000000074504e-08,0.00027000000000000017,0.035298973114136,0.617999399882785,0.007025982680774712
0.55,0.08164236562213334,0.9902026068261153,0.0001032179220902881,0.010431688980884453,0.0077977476535624046,0.0006499126410858677,0.009791633639507066,1.0,0.39112345944242355,0.019535570042658337,0.002325886703117101,0.9989524043297237,7.562500000074506e-08,0.0002750000000000001,0.03584125430272855,0.6116064269905759,0.007121214830490992
0.56,0.08310782266364854,0.9900580357635776,0.00010582448359281004,0.010653796846785059,0.008045611905714784,0.000677306757298701,0.009936100276479244,1.0,0.39755126475774616,0.01954468180064348,0.0023796219250557644,0.9989333575166267,7.840000000074506e-08,0.00028000000000000014,0.03638018234219336,0.6052279415276551,0.0072173576670053466
0.5700000000000001,0.08457256245961889,0.9899161267509998,0.00010845262326250812,0.010874934633303576,0.008296583802874031,0.0007053170423720918,0.010077904873944632,1.0,0.4039646282753994,0.019553279254025144,0.0024337819439741153,0.9989143107152498,8.122500000074506e-08,0.0002850000000000002,0.03691576685203371,0.5988638866641567,0.0073144387505119975
0.58,0.08603658505890015,0.9897768905323316,0.00011110259362470233,0.011095077181096235,0.00855065500016975,0.0007339445150327629,0.010217036687952276,1.0,0.41036359642611436,0.019561406280150916,0.0024883714841657766,0.9988952639254941,8.410000000074504e-08,0.00029000000000000016,0.03744801625070878,0.5925142159710288,0.007412483243538678
0.59,0.08749989060904233,0.9896403361734796,0.00011377464337676499,0.011314201525547235,0.008807818293977207,0.0007631900952976845,0.010353486652594864,1.0,0.41674820570596804,0.019569102123119252,0.0025433954064785296,0.9988762171472604,8.702500000074504e-08,0.0002950000000000001,0.037976937815407744,0.5861788929538736,0.0075115141138848525
0.6,0.08896247935263521,0.9895064711959567,0.00011646902382255976,0.01153228659759534,0.009068067546096022,0.0007930546078764143,0.010487247246358019,1.0,0.42311848354329795,0.019576402726786478,0.0025988586580243207,0.9988571703804496,9.000000000074503e-08,0.00030000000000000014,0.03850253775787096,0.5798578901860321,0.0076115524337950855
0.61,0.09042435162582635,0.9893753015134477,0.00011918599607468416,0.011749313321569156,0.00933139767896152,0.0008235387835694553,0.010618312555556068,1.0,0.4294744476186392,0.019583339781634727,0.00265476619536606,0.9988381236249628,9.302500000074503e-08,0.00030500000000000015,0.03902482122917872,0.5735511899886477,0.00771261728212379
0.62,0.09188550785449319,0.9892468315574809,0.00012192582431218674,0.011965264322847512,0.009597804598894685,0.0008546432627875124,0.01074667814865971,1.0,0.43581610665767107,0.019589941962714137,0.002711123048646257,0.9988190768807008,9.610000000074504e-08,0.0003100000000000001,0.03954379239650127,0.5672587836377193,0.007814726036674833
0.63,0.09334594855085314,0.9891210643695683,0.00012468877261080896,0.01218012370547418,0.009867285132428967,0.0008863685986781844,0.010872340984155964,1.0,0.44214346096391854,0.019596235779277812,0.002767934351106253,0.9988000301475647,9.922500000074504e-08,0.0003150000000000001,0.04005945450677201,0.5609806708313999,0.00791789459658682
0.64,0.09480567431218892,0.9889980015567045,0.0001274751157540671,0.012393877123992097,0.010139837019784432,0.0009187152583475915,0.01099529945504905,1.0,0.4484565019034521,0.019602244846384613,0.0028252052714493386,0.9987809834254555,1.0240000000074504e-07,0.00032000000000000013,0.040571809893213365,0.5547168602052965,0.008022137310498872
0.65,0.09626468581916713,0.9888776432758066,0.00013028514701163627,0.012606511794098739,0.010415458896717062,0.0009516836244476101,0.011115553404420822,1.0,0.45475521161310173,0.019607989491259498,0.002882940972224423,0.998761936714274,1.0562500000074504e-07,0.00032500000000000015,0.04108085999348747,0.5484673696242568,0.008127466965895263
0.66,0.09772298383064233,0.9887599884269496,0.00013311916504396508,0.012818016045936378,0.010694150185765555,0.0009852739999334657,0.011233103932195359,1.0,0.46103956429948395,0.01961348876734724,0.0029411466794168565,0.9987428900139215,1.0890000000074505e-07,0.0003300000000000001,0.04158660545844941,0.5422322248833411,0.008233895235815141
0.67,0.09918056918213258,0.9886450346333605,0.000135977475864702,0.013028379359905848,0.010975911084008175,0.0010194866094796304,0.01134795341514432,1.0,0.46730952586124613,0.01961875999628779,0.002999827680492244,0.9987238433242986,1.1222500000074506e-07,0.0003350000000000001,0.04208904616439035,0.5360114600855791,0.008341432643038776
0.68,0.10063744278479339,0.9885327782132924,0.00013886036803235484,0.013237592488218737,0.011260742571874077,0.0010543216003148653,0.011460105535013936,1.0,0.4735650532198653,0.01962381815839125,0.003058989503286079,0.9987047966453066,1.1560000000074506e-07,0.00034000000000000013,0.042588181204226236,0.52980511831117,0.008450088438535374
0.6900000000000001,0.10209360562112915,0.9884232142961124,0.00014176813708900978,0.013445647103712523,0.011548646318912914,0.0010897790463030963,0.011569565162435963,1.0,0.4798060952790992,0.019628677079633967,0.0031186377443034674,0.9986857499768463,1.1902500000074507e-07,0.00034500000000000015,0.0430840089817282,0.5236132506580328,0.008559870952647921
0.7000000000000001,0.10354905874274653,0.9883163368489368,0.00014470107998356552,0.013652535742685793,0.01183962465371465,0.0011258589499955171,0.01167633833029292,1.0,0.48603259287161404,0.019633349503778274,0.003178778109597133,0.9986667033188189,1.2250000000074506e-07,0.0003500000000000001,0.04357652724160273,0.5174359162951769,0.008670787652257985
0.71,0.10500380326975592,0.9882121386575113,0.000147659497363832,0.013858251916699822,0.01213368057257078,0.0011625612431546376,0.011780432252838112,1.0,0.4922444781272909,0.01963784658357253,0.003239416360937185,0.9986476566711254,1.2602500000074504e-07,0.00035500000000000006,0.04406573306083047,0.5112731830943972,0.008782845028984118
0.72,0.10645784038755943,0.9881106113855854,0.000150643690594512,0.014062789941090954,0.01243081768377306,0.0011998857897260941,0.011881855266321099,1.0,0.4984416748123207,0.0196421783647662,0.003300558352396802,0.9986286100336667,1.2960000000074504e-07,0.0003600000000000001,0.04455162290436753,0.5051251272911782,0.0088960487706695
0.73,0.10791117134377572,0.988011745630263,0.00015365395916887547,0.014266144778103456,0.012731040155243005,0.0012378323886823753,0.011980616773636921,1.0,0.5046240986182152,0.0196463542191751,0.0033622100612225544,0.9986095634063439,1.3322500000074505e-07,0.00036500000000000004,0.04503419267751595,0.49899183319568324,0.00901040391824906
0.74,0.10936379744744544,0.9879155309204852,0.00015669061760113676,0.014468312082738527,0.013034352708749801,0.001276400774826944,0.012076727245843062,1.0,0.5107916567477636,0.019650382567191118,0.003424377500123995,0.998590516789058,1.3690000000074503e-07,0.00037000000000000005,0.045513437731705804,0.49287339360679827,0.009125914819900473
0.75,0.11081572006819347,0.9878219557199999,0.0001597540163639301,0.014669288231044195,0.013340760610258733,0.001315590619667201,0.012170198219191167,1.0,0.5169442475583595,0.01965427066015311,0.00348706662375329,0.99857147018171,1.4062500000074505e-07,0.00037500000000000006,0.04598935287414682,0.48676991016880433,0.009242585102754277
0.76,0.11226694063167175,0.9877310075078046,0.00016284451129684602,0.01486907007925631,0.013650269597680478,0.0013554015354781956,0.012261042214682204,1.0,0.5230817611545735,0.01965802531368261,0.003550283464621474,0.998552423584201,1.4440000000074504e-07,0.00038,0.04646193244007904,0.4806814927788052,0.009360417913752864
0.77,0.1137174606154512,0.987642672830961,0.0001659624691717414,0.015067654898887211,0.0139628858252283,0.001395833079101427,0.012349272685253907,1.0,0.5292040789427851,0.019661652896723055,0.0036140341263778486,0.9985333769964322,1.4822500000074504e-07,0.00038500000000000003,0.04693117034841569,0.47460826003209533,0.009479415984561819
0.78,0.11516728156336126,0.9875569371029843,0.00016910823717095088,0.01526504084912978,0.014278616078335592,0.0014368847385351565,0.01243490421738956,1.0,0.5353110735955247,0.01966515847694534,0.0036783249401724197,0.9985143304183044,1.5210000000074504e-07,0.00039000000000000005,0.047397059886825556,0.46855033925781847,0.009599581159165873
0.79,0.11661640505333448,0.9874737850583415,0.0001722821595821765,0.01546122603264421,0.014597467305278687,0.0014785559626688646,0.012517952076621292,1.0,0.5414026083808195,0.019668547457674133,0.003743162422368588,0.9984952838497188,1.5602500000074504e-07,0.00039500000000000006,0.04785959418011032,0.4625078671896207,0.009720915338082118
0.8,0.11806483272260732,0.9873932003948881,0.00017548459257594003,0.015656209175742654,0.014919446977068944,0.001520846138158457,0.012598432565092632,1.0,0.5474785380757186,0.019671824437558213,0.00380855314075629,0.9984762372905764,1.6000000000074505e-07,0.0004000000000000001,0.04831876583031235,0.4564809890521268,0.009843419798175376
0.81,0.11951256625520071,0.987315165956608,0.00017871587853633596,0.015849989363031378,0.015244562912255517,0.0015637546006894442,0.012676362838818659,1.0,0.5535387078958498,0.019674993576719865,0.003874503795832783,0.9984571907407783,1.6402500000074506e-07,0.00040500000000000003,0.04877456709191202,0.45046985963138136,0.009967095458016032
0.8200000000000001,0.12095960738170362,0.9872396637357802,0.0001819763481253757,0.01604256602055774,0.015572823273482202,0.001607280635210135,0.012751760905519162,1.0,0.5595829535866867,0.019678058637997892,0.00394102122685464,0.9984381442002257,1.6810000000074507e-07,0.00041000000000000005,0.04922698987527082,0.44447464318358393,0.010091942894733067
0.8300000000000001,0.12240595787769182,0.987166674897875,0.00018526634612783707,0.01623393885164975,0.01590423654100355,0.0016514234776057188,0.012824645599723006,1.0,0.5656111014703135,0.019681023116396315,0.004008112356858074,0.9984190976688196,1.7222500000074507e-07,0.00041500000000000006,0.04967602577311529,0.4384955133883228,0.010217962408174491
0.84,0.12385161956109716,0.9870961798355865,0.00018858628942212944,0.016424107811949872,0.01623881146674712,0.0016961823174443892,0.012895036528734796,1.0,0.5716229676625952,0.01968389021602006,0.004075783963419994,0.9984000511464611,1.7640000000074504e-07,0.00042,0.050121666106474776,0.432532654131405,0.010345154045873533
0.85,0.1252965942952587,0.9870281581083507,0.0001919365969065959,0.01661307315828328,0.016576557127824323,0.0017415562947390158,0.012962954133117844,1.0,0.5776183587880368,0.019686662820398663,0.004144042935872757,0.9983810046330512,1.8062500000074504e-07,0.00042500000000000003,0.05056390187117055,0.42658625878999795,0.010473517554180413
