t,V,C_1,C_2,C_3,C_4,C_5,C_6_temp
0.21,-0.05,1.5050003710954368e-08,7.397620740246119e-08,2.4602819086782127e-10,3.4443974020596573e-10,1.5338333644874227e-09,8.484119230564085e-09
0.22,-0.05,1.5050003734730295e-08,7.397620753650426e-08,2.4602820931997406e-10,3.444397623363924e-10,1.5338334610440913e-09,8.484119531778967e-09
0.23,-0.05,1.505000375850622e-08,7.397620767054733e-08,2.460282277721269e-10,3.4443978446681905e-10,1.5338335576007597e-09,8.484119832993848e-09
0.24,-0.05,1.5050003782282146e-08,7.39762078045904e-08,2.4602824622427975e-10,3.444398065972457e-10,1.5338336541574282e-09,8.48412013420873e-09
0.25,-0.05,1.5050003806058073e-08,7.397620793863347e-08,2.4602826467643254e-10,3.4443982872767237e-10,1.5338337507140968e-09,8.484120435423611e-09
0.26,-0.05,1.5050003829834e-08,7.397620807267654e-08,2.460282831285854e-10,3.4443985085809903e-10,1.5338338472707652e-09,8.484120736638492e-09
0.27,-0.05,1.5050003853609923e-08,7.39762082067196e-08,2.4602830158073817e-10,3.444398729885257e-10,1.5338339438274338e-09,8.484121037853374e-09
0.28,-0.05,1.505000387738585e-08,7.397620834076267e-08,2.46028320032891e-10,3.444398951189523e-10,1.5338340403841022e-09,8.484121339068254e-09
0.29,-0.05,1.5050003901161777e-08,7.397620847480573e-08,2.460283384850438e-10,3.4443991724937895e-10,1.5338341369407706e-09,8.484121640283136e-09
0.3,-0.05,1.5050003924937704e-08,7.39762086088488e-08,2.4602835693719665e-10,3.444399393798056e-10,1.5338342334974393e-09,8.484121941498016e-09
0.31,-0.05,1.5050003948713628e-08,7.397620874289187e-08,2.4602837538934944e-10,3.4443996151023227e-10,1.5338343300541077e-09,8.484122242712898e-09
0.32,-0.05,1.5050003972489555e-08,7.397620887693494e-08,2.460283938415023e-10,3.4443998364065893e-10,1.5338344266107763e-09,8.48412254392778e-09
0.33,-0.05,1.5050003996265482e-08,7.397620901097801e-08,2.4602841229365513e-10,3.444400057710856e-10,1.5338345231674447e-09,8.48412284514266e-09
0.34,-0.05,1.5050004020041405e-08,7.397620914502108e-08,2.460284307458079e-10,3.4444002790151225e-10,1.5338346197241131e-09,8.484123146357542e-09
0.35000000000000003,-0.05,1.5050004043817332e-08,7.397620927906415e-08,2.4602844919796077e-10,3.444400500319389e-10,1.5338347162807817e-09,8.484123447572422e-09
0.36,-0.05,1.505000406759326e-08,7.397620941310721e-08,2.4602846765011356e-10,3.4444007216236557e-10,1.5338348128374501e-09,8.484123748787304e-09
0.37,-0.05,1.5050004091369186e-08,7.397620954715028e-08,2.460284861022664e-10,3.4444009429279223e-10,1.5338349093941186e-09,8.484124050002184e-09
0.38,-0.05,1.505000411514511e-08,7.397620968119335e-08,2.460285045544192e-10,3.444401164232189e-10,1.5338350059507872e-09,8.484124351217066e-09
0.39,-0.05,1.5050004138921037e-08,7.397620981523642e-08,2.4602852300657204e-10,3.4444013855364555e-10,1.5338351025074556e-09,8.484124652431947e-09
0.4,-0.05,1.5050004162696964e-08,7.397620994927949e-08,2.4602854145872483e-10,3.4444016068407215e-10,1.5338351990641242e-09,8.484124953646829e-09
0.41000000000000003,-0.05,1.505000418647289e-08,7.397621008332256e-08,2.4602855991087767e-10,3.444401828144988e-10,1.5338352956207926e-09,8.48412525486171e-09
0.42,-0.05,1.5050004210248815e-08,7.397621021736563e-08,2.4602857836303046e-10,3.4444020494492547e-10,1.533835392177461e-09,8.48412555607659e-09
0.43,-0.05,1.505000423402474e-08,7.39762103514087e-08,2.460285968151833e-10,3.4444022707535213e-10,1.5338354887341296e-09,8.484125857291473e-09
0.44,-0.05,1.505000425780067e-08,7.397621048545177e-08,2.4602861526733615e-10,3.444402492057788e-10,1.533835585290798e-09,8.484126158506353e-09
0.45,-0.05,1.5050004281576595e-08,7.397621061949484e-08,2.4602863371948894e-10,3.4444027133620545e-10,1.5338356818474667e-09,8.484126459721235e-09
0.46,-0.05,1.505000430535252e-08,7.39762107535379e-08,2.460286521716418e-10,3.444402934666321e-10,1.533835778404135e-09,8.484126760936115e-09
0.47000000000000003,-0.05,1.5050004329128446e-08,7.397621088758096e-08,2.460286706237946e-10,3.4444031559705877e-10,1.5338358749608035e-09,8.484127062150997e-09
0.48,-0.05,1.5050004352904373e-08,7.397621102162403e-08,2.460286890759474e-10,3.4444033772748543e-10,1.5338359715174721e-09,8.484127363365879e-09
0.49,-0.05,1.50500043766803e-08,7.39762111556671e-08,2.460287075281002e-10,3.444403598579121e-10,1.5338360680741405e-09,8.48412766458076e-09
0.5,-0.05,1.5050004400456224e-08,7.397621128971017e-08,2.4602872598025306e-10,3.4444038198833875e-10,1.533836164630809e-09,8.484127965795641e-09
0.51,-0.05,1.505000442423215e-08,7.397621142375324e-08,2.4602874443240585e-10,3.444404041187654e-10,1.5338362611874776e-09,8.484128267010521e-09
0.52,-0.05,1.5050004448008078e-08,7.397621155779631e-08,2.460287628845587e-10,3.44440426249192e-10,1.533836357744146e-09,8.484128568225403e-09
0.53,-0.05,1.5050004471784e-08,7.397621169183938e-08,2.460287813367115e-10,3.4444044837961867e-10,1.5338364543008146e-09,8.484128869440284e-09
0.54,-0.05,1.5050004495559928e-08,7.397621182588245e-08,2.4602879978886433e-10,3.4444047051004533e-10,1.533836550857483e-09,8.484129170655165e-09
0.55,-0.05,1.5050004519335855e-08,7.397621195992552e-08,2.4602881824101717e-10,3.44440492640472e-10,1.5338366474141514e-09,8.484129471870047e-09
0.56,-0.05,1.5050004543111782e-08,7.397621209396858e-08,2.4602883669316996e-10,3.4444051477089865e-10,1.53383674397082e-09,8.484129773084928e-09
0.5700000000000001,-0.05,1.5050004566887706e-08,7.397621222801165e-08,2.460288551453228e-10,3.444405369013253e-10,1.5338368405274885e-09,8.48413007429981e-09
0.58,-0.05,1.5050004590663633e-08,7.397621236205472e-08,2.460288735974756e-10,3.4444055903175197e-10,1.533836937084157e-09,8.48413037551469e-09
0.59,-0.05,1.505000461443956e-08,7.397621249609779e-08,2.4602889204962844e-10,3.4444058116217863e-10,1.5338370336408255e-09,8.484130676729572e-09
0.6,-0.05,1.5050004638215487e-08,7.397621263014086e-08,2.4602891050178123e-10,3.444406032926053e-10,1.533837130197494e-09,8.484130977944452e-09
0.61,-0.05,1.505000466199141e-08,7.397621276418393e-08,2.460289289539341e-10,3.4444062542303195e-10,1.5338372267541625e-09,8.484131279159334e-09
0.62,-0.05,1.5050004685767337e-08,7.3976212898227e-08,2.4602894740608687e-10,3.444406475534586e-10,1.533837323310831e-09,8.484131580374214e-09
0.63,-0.05,1.5050004709543264e-08,7.397621303227007e-08,2.460289658582397e-10,3.4444066968388527e-10,1.5338374198674996e-09,8.484131881589096e-09
0.64,-0.05,1.505000473331919e-08,7.397621316631314e-08,2.460289843103925e-10,3.4444069181431187e-10,1.533837516424168e-09,8.484132182803978e-09
0.65,-0.05,1.5050004757095115e-08,7.39762133003562e-08,2.4602900276254535e-10,3.4444071394473853e-10,1.5338376129808364e-09,8.484132484018858e-09
0.66,-0.05,1.5050004780871042e-08,7.397621343439926e-08,2.460290212146982e-10,3.444407360751652e-10,1.533837709537505e-09,8.48413278523374e-09
0.67,-0.05,1.505000480464697e-08,7.397621356844233e-08,2.46029039666851e-10,3.4444075820559185e-10,1.5338378060941734e-09,8.48413308644862e-09
0.68,-0.05,1.5050004828422893e-08,7.39762137024854e-08,2.4602905811900383e-10,3.444407803360185e-10,1.5338379026508418e-09,8.484133387663502e-09
0.6900000000000001,-0.05,1.505000485219882e-08,7.397621383652847e-08,2.460290765711566e-10,3.4444080246644517e-10,1.5338379992075104e-09,8.484133688878383e-09
0.7000000000000001,-0.05,1.5050004875974747e-08,7.397621397057154e-08,2.4602909502330946e-10,3.4444082459687183e-10,1.5338380957641789e-09,8.484133990093265e-09
0.71,-0.05,1.5050004899750674e-08,7.397621410461461e-08,2.4602911347546225e-10,3.444408467272985e-10,1.5338381923208475e-09,8.484134291308146e-09
0.72,-0.05,1.5050004923526597e-08,7.397621423865768e-08,2.460291319276151e-10,3.4444086885772515e-10,1.5338382888775159e-09,8.484134592523027e-09
0.73,-0.05,1.5050004947302524e-08,7.397621437270075e-08,2.460291503797679e-10,3.444408909881518e-10,1.5338383854341843e-09,8.484134893737909e-09
0.74,-0.05,1.505000497107845e-08,7.397621450674382e-08,2.4602916883192073e-10,3.4444091311857847e-10,1.533838481990853e-09,8.484135194952789e-09
0.75,-0.05,1.5050004994854378e-08,7.397621464078688e-08,2.460291872840735e-10,3.444409352490051e-10,1.5338385785475213e-09,8.48413549616767e-09
0.76,-0.05,1.5050005018630302e-08,7.397621477482995e-08,2.4602920573622637e-10,3.4444095737943173e-10,1.53383867510419e-09,8.484135797382551e-09
0.77,-0.05,1.505000504240623e-08,7.397621490887302e-08,2.460292241883792e-10,3.444409795098584e-10,1.5338387716608584e-09,8.484136098597433e-09
0.78,-0.05,1.5050005066182156e-08,7.397621504291609e-08,2.46029242640532e-10,3.4444100164028505e-10,1.5338388682175268e-09,8.484136399812313e-09
0.79,-0.05,1.5050005089958083e-08,7.397621517695916e-08,2.4602926109268485e-10,3.444410237707117e-10,1.5338389647741954e-09,8.484136701027195e-09
0.8,-0.05,1.5050005113734006e-08,7.397621531100223e-08,2.4602927954483764e-10,3.4444104590113837e-10,1.5338390613308638e-09,8.484137002242077e-09
0.81,-0.05,1.5050005137509933e-08,7.39762154450453e-08,2.460292979969905e-10,3.4444106803156503e-10,1.5338391578875322e-09,8.484137303456957e-09
0.8200000000000001,-0.05,1.505000516128586e-08,7.397621557908837e-08,2.4602931644914327e-10,3.444410901619917e-10,1.5338392544442008e-09,8.48413760467184e-09
0.8300000000000001,-0.05,1.5050005185061787e-08,7.397621571313144e-08,2.460293349012961e-10,3.4444111229241835e-10,1.5338393510008693e-09,8.48413790588672e-09
0.84,-0.05,1.505000520883771e-08,7.397621584717451e-08,2.460293533534489e-10,3.44441134422845e-10,1.5338394475575379e-09,8.484138207101601e-09
0.85,-0.05,1.5050005226912305e-08,7.397621594933234e-08,2.46029367959927e-10,3.444411519346957e-10,1.5338395239607106e-09,8.48413844344048e-09
0.86,-0.05,1.5050005226666706e-08,7.397621594903277e-08,2.460293702090245e-10,3.4444115460558744e-10,1.5338395356042691e-09,8.484138471312047e-09
0.87,-0.05,1.5050005226421106e-08,7.39762159487332e-08,2.460293724581221e-10,3.4444115727647924e-10,1.5338395472478276e-09,8.484138499183617e-09
0.88,-0.05,1.5050005226175506e-08,7.397621594843363e-08,2.460293747072196e-10,3.44441159947371e-10,1.533839558891386e-09,8.484138527055185e-09
0.89,-0.05,1.5050005225929906e-08,7.397621594813404e-08,2.460293769563172e-10,3.444411626182628e-10,1.5338395705349444e-09,8.484138554926754e-09
0.9,-0.05,1.5050005225684306e-08,7.397621594783447e-08,2.460293792054147e-10,3.4444116528915455e-10,1.533839582178503e-09,8.484138582798322e-09
0.91,-0.05,1.5050005225438706e-08,7.39762159475349e-08,2.460293814545123e-10,3.444411679600463e-10,1.5338395938220614e-09,8.484138610669892e-09
0.92,-0.05,1.5050005225193103e-08,7.397621594723533e-08,2.460293837036098e-10,3.444411706309381e-10,1.5338396054656197e-09,8.48413863854146e-09
0.93,-0.05,1.5050005224947503e-08,7.397621594693574e-08,2.4602938595270737e-10,3.4444117330182986e-10,1.5338396171091782e-09,8.484138666413029e-09
0.9400000000000001,-0.05,1.5050005224701903e-08,7.397621594663617e-08,2.460293882018049e-10,3.4444117597272166e-10,1.5338396287527367e-09,8.484138694284597e-09
0.9500000000000001,-0.05,1.5050005224456304e-08,7.39762159463366e-08,2.460293904509024e-10,3.444411786436134e-10,1.5338396403962952e-09,8.484138722156166e-09
0.96,-0.05,1.5050005224210704e-08,7.397621594603703e-08,2.460293927e-10,3.4444118131450516e-10,1.5338396520398535e-09,8.484138750027734e-09
0.97,-0.05,1.5050005223965104e-08,7.397621594573744e-08,2.460293949490975e-10,3.4444118398539697e-10,1.533839663683412e-09,8.484138777899304e-09
0.98,-0.05,1.5050005223719504e-08,7.397621594543787e-08,2.4602939719819507e-10,3.444411866562887e-10,1.5338396753269705e-09,8.484138805770873e-09
0.99,-0.05,1.5050005223473904e-08,7.39762159451383e-08,2.460293994472926e-10,3.444411893271805e-10,1.533839686970529e-09,8.484138833642441e-09
1.0,-0.05,1.50500052232283e-08,7.397621594483873e-08,2.4602940169639016e-10,3.4444119199807227e-10,1.5338396986140873e-09,8.48413886151401e-09
1.01,-0.05,1.50500052229827e-08,7.397621594453914e-08,2.460294039454877e-10,3.44441194668964e-10,1.5338397102576458e-09,8.484138889385578e-09
1.02,-0.05,1.50500052227371e-08,7.397621594423957e-08,2.460294061945852e-10,3.4444119733985583e-10,1.5338397219012043e-09,8.484138917257148e-09
1.03,-0.05,1.50500052224915e-08,7.397621594394e-08,2.4602940844368277e-10,3.444412000107476e-10,1.5338397335447628e-09,8.484138945128716e-09
1.04,-0.05,1.5050005222245902e-08,7.397621594364043e-08,2.460294106927803e-10,3.4444120268163933e-10,1.533839745188321e-09,8.484138973000285e-09
1.05,-0.05,1.5050005222000302e-08,7.397621594334084e-08,2.4602941294187786e-10,3.4444120535253114e-10,1.5338397568318796e-09,8.484139000871853e-09
1.06,-0.05,1.5050005221754702e-08,7.397621594304127e-08,2.460294151909754e-10,3.444412080234229e-10,1.533839768475438e-09,8.484139028743423e-09
1.07,-0.05,1.50500052215091e-08,7.39762159427417e-08,2.4602941744007295e-10,3.444412106943147e-10,1.5338397801189966e-09,8.48413905661499e-09
1.08,-0.05,1.50500052212635e-08,7.397621594244213e-08,2.4602941968917047e-10,3.4444121336520644e-10,1.5338397917625548e-09,8.48413908448656e-09
1.09,-0.05,1.50500052210179e-08,7.397621594214254e-08,2.4602942193826805e-10,3.444412160360982e-10,1.5338398034061133e-09,8.484139112358128e-09
1.1,-0.05,1.50500052207723e-08,7.397621594184297e-08,2.4602942418736557e-10,3.4444121870699e-10,1.5338398150496718e-09,8.484139140229697e-09
1.11,-0.05,1.50500052205267e-08,7.39762159415434e-08,2.460294264364631e-10,3.4444122137788175e-10,1.5338398266932303e-09,8.484139168101267e-09
1.12,-0.05,1.50500052202811e-08,7.397621594124383e-08,2.4602942868556066e-10,3.4444122404877355e-10,1.5338398383367886e-09,8.484139195972835e-09
1.1300000000000001,-0.05,1.50500052200355e-08,7.397621594094424e-08,2.460294309346582e-10,3.444412267196653e-10,1.5338398499803471e-09,8.484139223844404e-09
1.1400000000000001,-0.05,1.5050005219789897e-08,7.397621594064467e-08,2.4602943318375575e-10,3.4444122939055706e-10,1.5338398616239056e-09,8.484139251715972e-09
1.1500000000000001,-0.05,1.5050005219544297e-08,7.39762159403451e-08,2.4602943543285327e-10,3.4444123206144886e-10,1.5338398732674641e-09,8.484139279587541e-09
1.16,-0.05,1.5050005219298697e-08,7.397621594004553e-08,2.4602943768195084e-10,3.444412347323406e-10,1.5338398849110224e-09,8.48413930745911e-09
1.17,-0.05,1.5050005219053097e-08,7.397621593974596e-08,2.4602943993104836e-10,3.444412374032324e-10,1.533839896554581e-09,8.484139335330679e-09
1.18,-0.05,1.5050005218807497e-08,7.397621593944637e-08,2.4602944218014593e-10,3.4444124007412417e-10,1.5338399081981394e-09,8.484139363202247e-09
1.19,-0.05,1.5050005218561897e-08,7.39762159391468e-08,2.4602944442924345e-10,3.444412427450159e-10,1.533839919841698e-09,8.484139391073816e-09
1.2,-0.05,1.5050005218316297e-08,7.397621593884723e-08,2.4602944667834097e-10,3.444412454159077e-10,1.5338399314852562e-09,8.484139418945384e-09
1.21,-0.05,1.5050005218070694e-08,7.397621593854766e-08,2.4602944892743854e-10,3.4444124808679947e-10,1.5338399431288147e-09,8.484139446816953e-09
1.22,-0.05,1.5050005217825094e-08,7.397621593824807e-08,2.4602945117653606e-10,3.444412507576913e-10,1.5338399547723732e-09,8.484139474688521e-09
1.23,-0.05,1.5050005217579495e-08,7.39762159379485e-08,2.4602945342563363e-10,3.4444125342858303e-10,1.5338399664159317e-09,8.48413950256009e-09
1.24,-0.05,1.5050005217333895e-08,7.397621593764893e-08,2.4602945567473115e-10,3.444412560994748e-10,1.53383997805949e-09,8.48413953043166e-09
1.25,-0.05,1.5050005217088295e-08,7.397621593734936e-08,2.460294579238287e-10,3.444412587703666e-10,1.5338399897030485e-09,8.484139558303228e-09
1.26,-0.05,1.5050005216842695e-08,7.397621593704977e-08,2.4602946017292624e-10,3.4444126144125833e-10,1.533840001346607e-09,8.484139586174798e-09
1.27,-0.05,1.5050005216597095e-08,7.39762159367502e-08,2.460294624220238e-10,3.4444126411215014e-10,1.5338400129901655e-09,8.484139614046365e-09
1.28,-0.05,1.5050005216351492e-08,7.397621593645063e-08,2.4602946467112134e-10,3.444412667830419e-10,1.5338400246337238e-09,8.484139641917935e-09
1.29,-0.05,1.5050005216105892e-08,7.397621593615106e-08,2.4602946692021885e-10,3.4444126945393364e-10,1.5338400362772823e-09,8.484139669789503e-09
1.3,-0.05,1.5050005215860292e-08,7.397621593585147e-08,2.4602946916931643e-10,3.4444127212482544e-10,1.5338400479208408e-09,8.484139697661072e-09
1.31,-0.05,1.5050005215614692e-08,7.39762159355519e-08,2.4602947141841395e-10,3.444412747957172e-10,1.5338400595643993e-09,8.48413972553264e-09
1.32,-0.05,1.5050005215369093e-08,7.397621593525233e-08,2.460294736675115e-10,3.44441277466609e-10,1.5338400712079575e-09,8.48413975340421e-09
1.33,-0.05,1.5050005215123493e-08,7.397621593495276e-08,2.4602947591660904e-10,3.4444128013750075e-10,1.533840082851516e-09,8.484139781275777e-09
1.34,-0.05,1.5050005214877893e-08,7.397621593465317e-08,2.460294781657066e-10,3.444412828083925e-10,1.5338400944950745e-09,8.484139809147347e-09
1.35,-0.05,1.5050005214632293e-08,7.39762159343536e-08,2.4602948041480413e-10,3.444412854792843e-10,1.533840106138633e-09,8.484139837018916e-09
1.36,-0.05,1.505000521438669e-08,7.397621593405403e-08,2.4602948266390165e-10,3.4444128815017606e-10,1.5338401177821913e-09,8.484139864890484e-09
1.37,-0.05,1.505000521414109e-08,7.397621593375446e-08,2.460294849129992e-10,3.4444129082106786e-10,1.5338401294257498e-09,8.484139892762054e-09
1.3800000000000001,-0.05,1.505000521389549e-08,7.397621593345487e-08,2.4602948716209674e-10,3.444412934919596e-10,1.5338401410693083e-09,8.484139920633622e-09
1.3900000000000001,-0.05,1.505000521364989e-08,7.39762159331553e-08,2.460294894111943e-10,3.4444129616285136e-10,1.5338401527128668e-09,8.484139948505191e-09
1.4000000000000001,-0.05,1.505000521340429e-08,7.397621593285573e-08,2.4602949166029183e-10,3.4444129883374317e-10,1.5338401643564251e-09,8.484139976376759e-09
1.41,-0.05,1.505000521315869e-08,7.397621593255616e-08,2.460294939093894e-10,3.444413015046349e-10,1.5338401759999836e-09,8.484140004248329e-09
1.42,-0.05,1.505000521291309e-08,7.397621593225657e-08,2.460294961584869e-10,3.444413041755267e-10,1.5338401876435421e-09,8.484140032119896e-09
1.43,-0.05,1.5050005212667488e-08,7.3976215931957e-08,2.460294984075845e-10,3.444413068464185e-10,1.5338401992871006e-09,8.484140059991466e-09
1.44,-0.05,1.5050005212421888e-08,7.397621593165743e-08,2.46029500656682e-10,3.4444130951731023e-10,1.5338402109306589e-09,8.484140087863034e-09
1.45,-0.05,1.5050005212176288e-08,7.397621593135786e-08,2.4602950290577953e-10,3.4444131218820203e-10,1.5338402225742174e-09,8.484140115734603e-09
1.46,-0.05,1.5050005211930688e-08,7.397621593105827e-08,2.460295051548771e-10,3.444413148590938e-10,1.5338402342177759e-09,8.484140143606171e-09
1.47,-0.05,1.5050005211685088e-08,7.39762159307587e-08,2.460295074039746e-10,3.444413175299856e-10,1.5338402458613344e-09,8.48414017147774e-09
1.48,-0.05,1.505000521143949e-08,7.397621593045913e-08,2.460295096530722e-10,3.4444132020087734e-10,1.5338402575048927e-09,8.48414019934931e-09
1.49,-0.05,1.505000521119389e-08,7.397621593015956e-08,2.460295119021697e-10,3.444413228717691e-10,1.5338402691484512e-09,8.484140227220878e-09
1.5,-0.05,1.5050005210948285e-08,7.397621592985997e-08,2.460295141512673e-10,3.444413255426609e-10,1.5338402807920097e-09,8.484140255092447e-09
1.51,-0.05,1.5050005210702686e-08,7.39762159295604e-08,2.460295164003648e-10,3.4444132821355264e-10,1.533840292435568e-09,8.484140282964015e-09
1.52,-0.05,1.5050005210457086e-08,7.397621592926083e-08,2.460295186494624e-10,3.4444133088444445e-10,1.5338403040791265e-09,8.484140310835585e-09
1.53,-0.05,1.505000521030288e-08,7.39762159290302e-08,2.460295199659589e-10,3.4444133244777527e-10,1.5338403108943265e-09,8.484140327114426e-09
1.54,-0.05,1.5050005210274732e-08,7.397621592889466e-08,2.4602951999608233e-10,3.4444133248340416e-10,1.5338403110495829e-09,8.484140327402968e-09
1.55,-0.05,1.5050005210246588e-08,7.397621592875912e-08,2.460295200262058e-10,3.44441332519033e-10,1.5338403112048395e-09,8.48414032769151e-09
1.56,-0.05,1.505000521021844e-08,7.397621592862358e-08,2.4602952005632925e-10,3.4444133255466184e-10,1.5338403113600962e-09,8.484140327980051e-09
1.57,-0.05,1.5050005210190294e-08,7.397621592848804e-08,2.4602952008645274e-10,3.4444133259029074e-10,1.5338403115153526e-09,8.484140328268593e-09
1.58,-0.05,1.5050005210162146e-08,7.39762159283525e-08,2.460295201165762e-10,3.444413326259196e-10,1.5338403116706092e-09,8.484140328557135e-09
1.59,-0.05,1.5050005210134002e-08,7.397621592821696e-08,2.460295201466996e-10,3.444413326615484e-10,1.5338403118258656e-09,8.484140328845676e-09
1.6,-0.05,1.5050005210105855e-08,7.397621592808143e-08,2.460295201768231e-10,3.4444133269717726e-10,1.5338403119811223e-09,8.484140329134218e-09
1.61,-0.05,1.5050005210077708e-08,7.397621592794589e-08,2.4602952020694654e-10,3.4444133273280615e-10,1.5338403121363787e-09,8.48414032942276e-09
1.62,-0.05,1.505000521004956e-08,7.397621592781035e-08,2.4602952023707e-10,3.44441332768435e-10,1.5338403122916353e-09,8.484140329711302e-09
1.6300000000000001,-0.05,1.5050005210021413e-08,7.397621592767482e-08,2.4602952026719346e-10,3.4444133280406383e-10,1.533840312446892e-09,8.484140329999842e-09
1.6400000000000001,-0.05,1.505000520999327e-08,7.397621592753929e-08,2.460295202973169e-10,3.444413328396927e-10,1.5338403126021484e-09,8.484140330288385e-09
1.6500000000000001,-0.05,1.5050005209965122e-08,7.397621592740375e-08,2.460295203274404e-10,3.4444133287532156e-10,1.533840312757405e-09,8.484140330576927e-09
1.6600000000000001,-0.05,1.5050005209936974e-08,7.397621592726821e-08,2.460295203575638e-10,3.444413329109504e-10,1.5338403129126614e-09,8.484140330865469e-09
1.67,-0.05,1.5050005209908827e-08,7.397621592713267e-08,2.460295203876873e-10,3.4444133294657924e-10,1.533840313067918e-09,8.48414033115401e-09
1.68,-0.05,1.505000520988068e-08,7.397621592699713e-08,2.4602952041781075e-10,3.4444133298220814e-10,1.5338403132231747e-09,8.484140331442551e-09
1.69,-0.05,1.5050005209852536e-08,7.397621592686159e-08,2.460295204479342e-10,3.44441333017837e-10,1.5338403133784311e-09,8.484140331731093e-09
1.7,-0.05,1.505000520982439e-08,7.397621592672605e-08,2.4602952047805767e-10,3.444413330534658e-10,1.5338403135336877e-09,8.484140332019636e-09
1.71,-0.05,1.505000520979624e-08,7.397621592659052e-08,2.460295205081811e-10,3.4444133308909466e-10,1.5338403136889442e-09,8.484140332308176e-09
1.72,-0.05,1.5050005209768094e-08,7.397621592645498e-08,2.460295205383046e-10,3.4444133312472355e-10,1.5338403138442008e-09,8.484140332596718e-09
1.73,-0.05,1.505000520973995e-08,7.397621592631944e-08,2.4602952056842803e-10,3.444413331603524e-10,1.5338403139994572e-09,8.48414033288526e-09
1.74,-0.05,1.5050005209711803e-08,7.39762159261839e-08,2.460295205985515e-10,3.4444133319598123e-10,1.5338403141547139e-09,8.4841403331738e-09
1.75,-0.05,1.5050005209683655e-08,7.397621592604836e-08,2.4602952062867496e-10,3.444413332316101e-10,1.5338403143099705e-09,8.484140333462343e-09
1.76,-0.05,1.5050005209655508e-08,7.397621592591282e-08,2.460295206587984e-10,3.4444133326723896e-10,1.533840314465227e-09,8.484140333750885e-09
1.77,-0.05,1.505000520962736e-08,7.397621592577728e-08,2.460295206889219e-10,3.444413333028678e-10,1.5338403146204835e-09,8.484140334039427e-09
