t,bLR,aG,cAMP,aCaMK,Ca,CaCaM,V
0.36,2.2637323643097867e-105,4.104707405492878e-105,-9.293066544432689e-90,4.797425265234413e-08,2.5742868627675753e-12,9.411390358617295e-14,-69.9999999999917
0.37,2.4645978858971937e-105,4.380331270056433e-105,-8.047041948226972e-90,4.754402400362913e-08,2.5248509192068465e-12,9.230656436347805e-14,-69.99999999999186
0.38,2.5719507733725223e-105,4.669783271940195e-105,-6.965172518610558e-90,4.711755137794967e-08,2.4763086631754217e-12,9.053189765321953e-14,-69.99999999999201
0.39,2.562321079991835e-105,4.97385775536933e-105,-6.147583807904543e-90,4.669470707242889e-08,2.428586179214693e-12,8.878720116407226e-14,-69.99999999999217
0.4,2.4936127531850543e-105,5.290594951676402e-105,-5.347250768236162e-90,4.6275806149591155e-08,2.381865828063531e-12,8.70791418619454e-14,-69.99999999999233
0.41000000000000003,2.3658257929521797e-105,5.61999486086141e-105,-4.564173399605413e-90,4.586084860943646e-08,2.3361476097219355e-12,8.540771974683894e-14,-69.99999999999247
0.42,2.178960199293213e-105,5.962057482924351e-105,-3.798351702012302e-90,4.544983445196481e-08,2.2914315241899068e-12,8.377293481875288e-14,-69.99999999999262
0.43,2.065038812653855e-105,6.159507348992207e-105,-3.1926523052772813e-90,4.504215103523704e-08,2.2473831067612086e-12,8.216255931208635e-14,-69.99999999999275
0.44,1.942245671872898e-105,6.309809743174041e-105,-2.6585392364038424e-90,4.463817801999162e-08,2.2042096287786084e-12,8.058417090349069e-14,-69.9999999999929
0.45,1.8085423554247608e-105,6.4153929854492925e-105,-2.193806646672701e-90,4.423792486536846e-08,2.1619162543489723e-12,7.903795838863586e-14,-69.99999999999304
0.46,1.6639288633094428e-105,6.4762570758179614e-105,-1.798454536083859e-90,4.384139157136755e-08,2.1205029834723e-12,7.752392176752184e-14,-69.99999999999316
0.47000000000000003,1.5132798698341238e-105,6.492026291880474e-105,-1.4701662037348441e-90,4.3448538296997385e-08,2.0799489419490927e-12,7.604129789588542e-14,-69.9999999999933
0.48,1.3721001110472076e-105,6.463900074404417e-105,-1.2002876221167687e-90,4.305923346505075e-08,2.040185390491417e-12,7.458757371958442e-14,-69.99999999999343
0.49,1.2424049673109185e-105,6.406803237015283e-105,-9.798559776319013e-91,4.267344121067369e-08,2.001191383751095e-12,7.316198349314094e-14,-69.99999999999355
0.5,2.475490887752638e-09,4.212596805687872e-16,2.544876748646797e-22,4.229151055927863e-08,1.963034023420035e-12,7.17669804016427e-14,-69.99999999999366
0.51,0.011352403192319779,0.0011365640966030563,0.0002594795213756749,4.191267458027416e-08,3.383604369965964e-09,4.093524953547352e-12,-69.99999984858643
0.52,0.021501951779557524,0.004303651347476838,0.0018974318194155074,4.1562499266424395e-08,3.597254186125391e-07,7.98603366648715e-10,-69.99999026168702
0.53,0.030576097399400357,0.009162871329375799,0.005856308200508163,4.193678322192517e-08,5.186652144512504e-06,1.666173571829945e-08,-69.99989648791907
0.54,0.03868878519037416,0.015409960763043674,0.012701318745070182,4.945488770266197e-08,3.3120824338411626e-05,1.3959448736838918e-07,-69.99947209723167
0.55,0.04594188713435792,0.022774070930110902,0.022710592084239773,9.558798543701276e-08,0.00013493069894405935,7.020612527779354e-07,-69.99819300595748
0.56,0.0524264812699883,0.031016302539173198,0.03594826201397149,2.844562921603679e-07,0.00041362226138569764,2.552249277171587e-06,-69.99518570676489
0.5700000000000001,0.05822399537556526,0.03992774428850922,0.05232318718574761,8.816785332329374e-07,0.0010422458112788054,7.415582137874096e-06,-69.98920116080039
0.58,0.06340722959451413,0.04932721479282027,0.0716356674767832,2.4519551569668737e-06,0.0022758675580807327,1.8289584573220167e-05,-69.97863292760482
0.59,0.06804127039375182,0.05905885912763758,0.09361415361825356,6.045494645214123e-06,0.0044557995954480735,3.9810624613806654e-05,-69.96157140435461
0.6,0.07218430796508823,0.06898971381316535,0.11794376768607287,1.3425201151556403e-05,0.008005742011464163,7.853648138176572e-05,-69.93588334834963
0.61,0.07588836687206976,0.07900731985584705,0.14428808604823412,2.732066625741554e-05,0.013420554389547775,0.00014310371503910695,-69.89930524157684
0.62,0.07919995946397584,0.08901743928683474,0.17230548205471846,5.169079624938837e-05,0.021249148627954496,0.0002442374653402987,-69.84954026535132
0.63,0.08216066979659202,0.09894191153341571,0.20166106268586248,9.197546078873905e-05,0.032073297586246934,0.0003946082504414352,-69.78435017082552
0.64,0.08480767578643711,0.10871667000368282,0.23203512191994216,0.00015531692160801415,0.04648430996580377,0.0006085476399913857,-69.70163690108089
0.65,0.08717421633467798,0.1182899277181242,0.26312885360706134,0.0002507347785461703,0.06505935048359769,0.0009016463947891075,-69.5995072891002
0.66,0.08929000833218594,0.12762053659297257,0.29466788097613156,0.00038924095607532075,0.0883389485443481,0.0012902636289647592,-69.47632619859074
0.67,0.09118162004036422,0.13667651279209736,0.3264041751588923,0.0005838864922510217,0.11680691068906378,0.0017909844443233078,-69.3307505764243
0.68,0.09287280464033502,0.14543372297466672,0.35811670638613713,0.0008497361881387853,0.150873509644815,0.0024200581510791597,-69.16175271706486
0.6900000000000001,0.09438479853397734,0.15387472021469023,0.3896111823811769,0.0012037712490775984,0.19086247170141948,0.003192850314768874,-68.96863510218175
0.7000000000000001,0.09573658800528756,0.1619877185859577,0.42071911978184157,0.0016647243260445197,0.2370020154778571,0.00412333551094665,-68.75103676891361
0.71,0.09694514763078721,0.16976569426245572,0.4512964579883398,0.002252854236843385,0.2894199334403844,0.005223653276266773,-68.50893793749802
0.72,0.09802565343474949,0.17720560111572364,0.48122187437648134,0.0029896702493601383,0.3481425236190801,0.006503743324026752,-68.24266191152938
0.73,0.0989916734527309,0.18430768915830942,0.5103949243080803,0.0038976173514863417,0.41309703799442454,0.007971070472131237,-67.95287594547818
0.74,0.09985533810725389,0.19107491470904348,0.5387341011350086,0.00499973485637557,0.4841172077065064,0.009630444276815786,-67.6405896036348
0.75,0.1006274925388949,0.1975124319004227,0.5661748868171816,0.006319300893106472,0.5609513368839486,0.011483933444523179,-67.30714833452687
0.76,0.10131783275531678,0.2036271562185241,0.5926678460402983,0.007879474981679025,0.6432724182493766,0.013530871325727653,-66.9542190971281
0.77,0.10193502741929303,0.20942739089463816,0.6181768007989885,0.0097029500014698,0.7306896835535608,0.01576794435324233,-66.58376487035638
0.78,0.1024868267850376,0.2149225083946827,0.6426771106751321,0.011811623387726707,0.822761018502666,0.01818935332157178,-66.19800567121862
0.79,0.10298015982295709,0.22012268137230517,0.6661540786765058,0.014226296719240427,0.9190057073277209,0.020787037070722682,-65.79936549718204
0.8,0.10342122122718092,0.2250386547236066,0.6886014894271131,0.016966410275515948,1.0189169420777169,0.023550941927162575,-65.39040703773992
0.81,0.10381554964400022,0.22968155234553156,0.710020276235856,0.020049814821906254,1.1219737197525383,0.02646932269461604,-64.97375778951985
0.8200000000000001,0.10416809689166645,0.23406271849531723,0.7304173345614001,0.023492588587239457,1.2276516959710557,0.029529066016015026,-64.55203322629289
0.8300000000000001,0.10448328976274919,0.23819358639073404,0.7498044712174118,0.027308899200729753,1.3354326964462584,0.03271601833649602,-64.1277635375074
0.84,0.10476508611128782,0.24208556679672555,0.7681974676171253,0.031510905323693245,1.4448128589775735,0.03601530351945131,-63.70333045548892
0.85,0.10501702454433119,0.24574995868113872,0.7856152682810624,0.03610870060642575,1.5553092290645902,0.03941162727267067,-63.280914084955356
0.86,0.10524226866529807,0.24919787773133104,0.8020792842057521,0.04111029723831752,1.666464826466342,0.04288955732913467,-62.86246171438644
0.87,0.10544364687310759,0.2524401984162735,0.8176127951017408,0.04652164328619057,1.7778523046668318,0.04643377085316716,-62.44966349071872
0.88,0.10562368791366646,0.2554875087354578,0.8322404430372012,0.05234666918238226,1.8890763539191147,0.050029270042465004,-62.043955255345566
0.89,0.10578465258558602,0.25835007580876385,0.8459878110179592,0.05858736016205474,1.9997749862496366,0.053661561962496024,-61.64651836118299
0.9,0.1059285621631134,0.2610378200824671,0.8588810739010031,0.06524384880313717,2.1096198816257306,0.05731680292564384,-61.25830336549401
0.91,0.10605722372018252,0.2635602973174447,0.8709467153400388,0.07231452341339399,2.218315993419511,0.06098190899994229,-60.88004775860397
0.92,0.10617225292450946,0.26592668648768436,0.8822112976315765,0.07979614734559605,2.3256005937703432,0.06464463727656988,-60.51230341216251
0.93,0.10627509414936133,0.268145783250131,0.89270128367839,0.08768398529383886,2.431241874805598,0.06829363765377676,-60.155461814226534
0.9400000000000001,0.1063670388706859,0.27022599755312277,0.9024428956484546,0.09597193608098452,2.5350372271440893,0.07191848175899407,-59.809779746632124
0.9500000000000001,0.10644924157373437,0.2721753549070725,0.9114620124988114,0.10465266260076117,2.636811376599136,0.07550967033891913,-59.47540219275448
0.96,0.10652273439293981,0.27400150048016503,0.9197840924459061,0.11371772359310035,2.7364143751699985,0.07905862458405737,-59.152383107337734
0.97,0.10658844003754296,0.27571170550770024,0.9274341196675914,0.12315770074921673,2.8337195795914027,0.08255766378908928,-58.84070317409921
0.98,0.10664718344725878,0.27731287575017294,0.9344365697781408,0.13296232262848764,2.928621620247451,0.08599997153057824,-58.54028566475935
0.99,0.10669970287378949,0.27881156162211074,0.9408153873450412,0.1431205884781567,3.021034335595818,0.08937955374120692,-58.25100785714838
1.0,0.10674665747521801,0.2802139679128156,0.9465939833028493,0.1536208633158761,3.1108891600522526,0.09269119501749179,-57.972713694750425
1.01,0.10678863670289246,0.2815259663562096,0.9517952305870059,0.1644509906123417,3.198133199379947,0.09593040714895812,-57.70521945042142
1.02,0.10682616847065948,0.282753112651466,0.9564414795329639,0.17559839239674502,3.2827273982742113,0.09909336777322025,-57.448322757080355
1.03,0.1068597236991521,0.283900649093378,0.960554552407326,0.1870501420365516,3.3646454781297375,0.10217688995117878,-57.20180691953062
1.04,0.10688972332413034,0.28497352209050536,0.9641557604876606,0.19879305404452324,3.443872310854377,0.1051783599118297,-56.965443728965234
1.05,0.1069165443719826,0.2859763997126932,0.9672659274362485,0.21081376154025178,3.5204024542293215,0.10809567802044984,-56.73900141572016
1.06,0.10694052358900734,0.286913679117933,0.9699053953077394,0.22309877441630244,3.594239235097934,0.11092722254298222,-56.52224044101852
1.07,0.106961962049699,0.2877895008966776,0.9720940392427596,0.2356345420863655,3.665393622503781,0.11367180037139937,-56.31492344032056
1.08,0.10698112898573599,0.28860776196518817,0.9738512812382987,0.24840750690577973,3.7338832693506925,0.11632860355874959,-56.11680769414838
1.09,0.10699826509642874,0.2893721274961716,0.9751961010776151,0.26140415096606046,3.799731676973498,0.11889717011315591,-55.92765610390834
1.1,0.1070135855504373,0.29008604276550287,0.9761470458958694,0.27461103771216744,3.86296744075351,0.12137734726351959,-55.74722908604253
1.11,0.10702728269070291,0.2907527446516714,0.9767222382652968,0.2880148489927674,3.923623570237356,0.1237692574107393,-55.57529149817221
1.12,0.1070395285912446,0.2913752734445006,0.976939383135958,0.301602419415075,3.9817368445277173,0.12607326501416388,-55.411609930515425
1.1300000000000001,0.10705047697164809,0.29195648248254197,0.9768157722074832,0.3153607613132197,4.037347332256923,0.12828995118582912,-55.25595503789978
1.1400000000000001,0.10706026528188835,0.29249904915993796,0.9763682876064863,0.3292770913323143,4.090497870363655,0.13042008574671154,-55.10809894901614
1.1500000000000001,0.1070690164623387,0.2930054849792365,0.975613404046957,0.3433388519540373,4.141233629007634,0.13246460325261628,-54.9678193604904
1.16,0.10707684038946785,0.29347814449866094,0.9745671897733186,0.357533728244831,4.1896017521831554,0.13442458300958499,-54.83489640431432
1.17,0.10708383531726702,0.29391923473091053,0.9732453067436112,0.3718496637933369,4.235651002475535,0.1363012290272753,-54.709114385517466
1.18,0.10709008913287331,0.29433082391189974,0.9716630099081897,0.3862748736185535,4.27943145477998,0.13809585243568379,-54.59026132148238
1.19,0.10709568033190293,0.29471484878988674,0.9698351463837425,0.400797853331136,4.320994258320943,0.13980985775490495,-54.478129241893996
1.2,0.10710067909841048,0.2950731230113558,0.9677761537726796,0.4154073886532586,4.360391375749328,0.14144472766001917,-54.3725137675753
1.21,0.10710514819850876,0.2954073445713606,0.9655000584281086,0.4300925622612938,4.397675368460932,0.14300201033996285,-54.273214752339904
1.22,0.10710914375519627,0.2957191027194224,0.9630204739696735,0.44484275873956897,4.432899210582308,0.14448330851599828,-54.18003552626065
1.23,0.10711271594792372,0.2960098845477484,0.9603505998295071,0.45964766821175407,4.46611612278753,0.145890269523996,-54.09278398546166
1.24,0.10711590965322203,0.29628108133929293,0.9575032199476972,0.4744972888585528,4.49737942106726,0.14722457624451626,-54.011271022708414
1.25,0.10711876498831717,0.2965339943462167,0.9544907026603577,0.48938192799631297,4.526742385548906,0.14848793940650024,-53.93531189731502
1.26,0.10712131779264981,0.29676984006272117,0.9513250000440119,0.5042922025592214,4.554258149755905,0.1496820907778339,-53.86472579738897
1.27,0.10712360010508502,0.29698975575347936,0.9480176481825188,0.5192190386795839,4.57997958905632,0.15080877643452792,-53.799335458692354
1.28,0.10712564057787052,0.2971948045286262,0.944579768105346,0.5341536704338128,4.603959224256581,0.15186975093910038,-53.73896747970944
1.29,0.10712746484378372,0.2973859801323255,0.9410220676186354,0.5490876377613134,4.626249136572286,0.15286677219289843,-53.68345225646381
1.3,0.10712909580978745,0.297564211005902,0.9373548435918593,0.5640127839467866,4.646900900790193,0.15380159733430723,-53.63262387949347
1.31,0.10713055388936799,0.2977303636558604,0.9335879846815792,0.5789212530090352,4.665965532255742,0.1546759795061323,-53.58632021401311
1.32,0.10713185742443813,0.2978852487537858,0.9297309761991716,0.593805484986456,4.6834933911713135,0.15549166198583012,-53.544382824291
1.33,0.10713302283527128,0.2980296237472976,0.9257929042073468,0.6086582124076353,4.699534150875024,0.15625037614051537,-53.50665668664566
1.34,0.10713406478880975,0.29816419580140097,0.9217824607281778,0.6234724562130758,4.714136761806366,0.1569538391448975,-53.47299097891798
1.35,0.10713499637949679,0.2982896249829532,0.917707949571226,0.6382415211429366,4.727349412993694,0.15760375153436593,-53.44323770266798
1.36,0.10713582928226853,0.29840652713096505,0.9135772926143023,0.6529589909828315,4.739219500648719,0.1582017951619526,-53.4172529221565
1.37,0.10713657392561832,0.29851547703777714,0.9093980369555668,0.6676187232846794,4.74979359295584,0.15874963089296468,-53.39489640985238
1.3800000000000001,0.10713723965873076,0.29861701154678666,0.9051773624854701,0.6822148439674183,4.7591173975441965,0.15924889639846035,-53.37603031697099
1.3900000000000001,0.107137834848825,0.2987116317997291,0.9009220901392168,0.6967417419576171,4.7672357453626715,0.15970120495106654,-53.36052180028436
1.4000000000000001,0.10713836697768372,0.2987998054815733,0.8966386905581749,0.7111940635907383,4.774192574858898,0.16010814425072686,-53.34824050675209
1.41,0.1071388427323667,0.2988819689743187,0.8923332930115103,0.7255667069485068,4.780030918132262,0.16047127534638186,-53.33905952549097
1.42,0.10713926808132779,0.29895852931519923,0.8880116946823311,0.739854816104109,4.7847928913182765,0.16079213178115523,-53.33285522276233
1.43,0.10713964836113513,0.2990298662515955,0.8836793701663574,0.7540537752582251,4.788519683814312,0.16107221860672255,-53.32950760980705
1.44,0.10713998834607144,0.29909633407873865,0.8793414812996734,0.7681592028490347,4.791251551164299,0.16131301166112821,-53.32889928887345
1.45,0.1071402923062444,0.29915826330096723,0.8750028871986327,0.7821669456461686,4.793027813316573,0.16151595702854615,-53.330917240967004
1.46,0.10714056406057476,0.29921596220097607,0.8706681544195803,0.79607307282774,4.793886851586355,0.16168247059504146,-53.33545026224607
1.47,0.10714080702334754,0.29926971830583615,0.8663415672075736,0.8098738700553584,4.7938661094824555,0.16181393770717376,-53.34239031783659
1.48,0.10714102424379493,0.29931979971558964,0.862027137796344,0.8235658335618079,4.793002095866316,0.16191171295662513,-53.35163384239288
1.49,0.10714121844854643,0.29936645644517096,0.8577286166182055,0.8371456642737973,4.791330388405526,0.1619771199351713,-53.363079014313044
1.5,0.1071413817762539,0.29940992154826457,0.853449503204552,0.850610258680939,4.788885617559163,0.16201145030821196,-53.37662708965223
1.51,0.0969455347667596,0.29874096141350875,0.8490667866390801,0.8639567158420961,4.785695270457391,0.16201595600152782,-53.39236016878691
1.52,0.08771994679334316,0.29680238905521017,0.8440425034130372,0.8771822995462635,4.781719253266893,0.16199159417672776,-53.41117751657046
1.53,0.07937228974085539,0.29379676665738313,0.8379307094268449,0.8902843709530476,4.776818969023851,0.1619383771395016,-53.43415347416051
1.54,0.07181901812720137,0.28989724288080476,0.8304675124304458,0.9032602313797884,4.770795541391337,0.16185497221659664,-53.462248544508306
1.55,0.06498453488259974,0.2852524898447456,0.8215227591224846,0.9161069437470939,4.763423011882123,0.16173868287739449,-53.49628804767791
1.56,0.05880043899536734,0.27999063751725906,0.8110633193775423,0.9288211705838458,4.754471882855358,0.16158565224986163,-53.53695268254706
1.57,0.053204837488365984,0.27422249372060814,0.7991246582274221,0.9413990460463186,4.743725726251195,0.1613911720338154,-53.584776950681075
1.58,0.04814172803564643,0.2680441332362234,0.7857895437429515,0.9538360932472284,4.730991945362331,0.1611500259622242,-53.64015396777391
1.59,0.04356043714851028,0.26153904040643355,0.7711717450164557,0.966127185193337,4.716108462524425,0.16085681962493942,-53.7033442619498
1.6,0.039415113686332263,0.25477986519795576,0.7554039455239603,0.9782665472589849,4.69894706743721,0.16050627344536167,-53.77448733978698
1.61,0.03566426990591474,0.24782988752862958,0.7386287169248943,0.9902477941563606,4.679414446751336,0.16009346408109074,-53.85361463524507
1.62,0.03227036611233154,0.24074424417436469,0.7209918869905302,1.0020639941022758,4.657451519117641,0.1596140114611598,-53.94066322080087
1.6300000000000001,0.029199435063393626,0.2335709615985668,0.7026377765338181,1.013707753306942,4.633031572848224,0.15906421281065525,-54.03548876131923
1.6400000000000001,0.02642074168312724,0.22635183529423414,0.6837058214344082,1.0251713137168432,4.606157652396803,0.15844112853345077,-54.13787928845188
1.6500000000000001,0.02390647594470584,0.21912317777858029,0.6643283024524262,1.0364466584221583,4.576859466121492,0.15774262522429547,-54.247566640038094
1.6600000000000001,0.021631474396989998,0.2119164649006652,0.6446288593790527,1.0475256191303173,4.54519009183576,0.1569673846506231,-54.36423802325022
1.67,0.01957296791441518,0.20475889602668082,0.6247216134869544,1.0583999820248837,4.5112226305643714,0.15611488512535832,-54.4875458487959
1.68,0.017710354086784102,0.19767387941157594,0.6047107675125023,1.069061588928783,4.4750469269236905,0.1551853606182569,-54.617117287193146
1.69,0.016024991418331476,0.19068145703290917,0.5846905344978095,1.0795024309964014,4.436766462259911,0.1541797444962087,-54.752560885665545
1.7,0.014500012161662868,0.1837986810335416,0.5647452912497972,1.0897147338398612,4.396495462591244,0.15309960362980032,-54.89347555287262
1.71,0.013120153987934657,0.1770399435128249,0.5449499195100045,1.0996910324419784,4.354356263421187,0.15194706572239255,-55.039453899913326
1.72,0.011871606841747406,0.1704172711260186,0.5253702578769657,1.109424236402682,4.310476928246472,0.1507247439501903,-55.190089398170585
1.73,0.010741874710180533,0.16394058658470256,0.5060636309599098,1.1189076845441512,4.26498914644123,0.14943566148749854,-55.34497913294879
1.74,0.009719650715653274,0.1576179417719441,0.4870794237111145,1.1281351892286868,4.2180263983341515,0.14808317813550753,-55.5037279044563
1.75,0.008794704109708626,0.1514557264087356,0.46845967673661487,1.1371010710056009,4.169722373339277,0.14667092056243924,-55.665950750968285
1.76,0.007957778150803719,0.1454588551176569,0.4502396823195582,1.1458001840508727,4.12020963025936,0.14520271748757543,-55.83127509680718
1.77,0.007200496556965,0.13963093775231947,0.4324485725959177,1.1542279343241806,4.069618449190537,0.1436825395727023,-55.99934242880024
1.78,0.0065152798854832975,0.13397443059626724,0.4151098907389549,1.1623802893031692,4.018075906103471,0.14211444546961804,-56.16980974440077
1.79,0.005895269998990334,0.12849077223902805,0.3982421378931763,1.1702537809176015,3.96570512785136,0.14050253375272428,-56.342349697274436
1.8,0.005334261656753662,0.12318050623678647,0.38185928972703753,1.1778455026698884,3.9126247067032427,0.13885090082088153,-56.516652522710615
1.81,0.004826640247730765,0.11804339230217446,0.36597128125247486,1.1851531019708086,3.8589482440929683,0.13716360429171534,-56.692424699893415
1.82,0.004367325412491079,0.11307850667590127,0.3505844594165096,1.1921747682120467,3.804784017244017,0.13544463175829535,-56.86938952189523
1.83,0.0039517201269761255,0.10828433253311956,0.3357020035727073,1.198909217219395,3.750234757451988,0.13369787456745838,-57.04728714237524
1.84,0.003575664912358699,0.10365884067289026,0.3213243122503124,1.2053556724846601,3.695397522480706,0.13192710641434113,-57.22587506296113
1.85,0.0032353961461914177,0.0991995626306747,0.3074493589336628,1.2115138442379547,3.6403636399388057,0.13013596595559723,-57.4049255260243
1.86,0.0029275082428680582,0.09490365651276032,0.2940730171490817,1.2173839067282592,3.585218712336071,0.12832794319498966,-57.58422728091707
1.87,0.002648919671027177,0.09076796585253667,0.28118935443491805,1.2229664741278565,3.5300426838226064,0.12650636950187044,-57.763583532257016
1.8800000000000001,0.00239684220967405,0.08678907233722255,0.268790898928511,1.2282625755345882,3.4749099505758263,0.12467441058635251,-57.94281176659971
1.8900000000000001,0.0021687530260149353,0.08296334315262878,0.25686888075453373,1.2332736295070166,3.419889503368967,0.12283506196863,-58.121743144250395
1.9000000000000001,0.0019623693637001935,0.07928697333919864,0.24541344928012654,1.2380014184044221,3.365045096735899,0.12099114666873878,-58.30022165963641
1.9100000000000001,0.0017756256707013463,0.07575602349955508,0.23441386736606476,1.2424480627704213,3.3104354404638836,0.11914531486767702,-58.478103438546476
1.92,0.0016066529459572566,0.07236645326961096,0.22385868437734277,1.246615995994715,3.256114407980818,0.11730004523938319,-58.655256075112675
1.93,0.0014537600565616199,0.0691141509953518,0.2137358899683378,1.2505079394656606,3.2021312558248844,0.11545764763992182,-58.83155789827995
1.94,0.0013154168129377297,0.0659949599982168,0.20403305038895106,1.2541268783776527,3.1485308494786937,0.11362026689006698,-59.00689727091322
1.95,0.0011902386421946166,0.06300470173232031,0.19473742871765934,1.2574760383093835,3.0953538923107793,0.11178988744717804,-59.181171942634315
1.96,0.0010769727268760596,0.06013919609543539,0.1858360903040213,1.2605588626624524,3.0426371552556426,0.10996833879311185,-59.354288404706786
