t,Ri
2.08,180.24505882846918
2.09,180.15495876429412
2.1,180.06490373909367
2.11,179.97489373042077
2.12,179.88492871584106
2.13,179.79500867293274
2.14,179.70513357928658
2.15,179.615303412506
2.16,179.52551815020698
2.17,179.43577777001812
2.18,179.34608224958058
2.19,179.25643156654814
2.2,179.1668256985872
2.21,179.07726462337672
2.22,178.98774831860828
2.23,178.89827676198607
2.24,178.8088499312268
2.25,178.71946780405992
2.2600000000000002,178.6301303582273
2.27,178.54083757148356
2.2800000000000002,178.45158942159583
2.29,178.36238588634387
2.3000000000000003,178.27322694352003
2.31,178.18411257092924
2.32,178.09504274638908
2.33,178.00601744772968
2.34,177.91703665279374
2.35,177.82810033943665
2.36,177.73920848552632
2.37,177.65036106894325
2.38,177.56155806758062
2.39,177.47279945934415
2.4,177.38408522215212
2.41,177.29541533393547
2.42,177.20678977263773
2.43,177.118208516215
2.44,177.02967154263598
2.45,176.94117882988198
2.46,176.8527303546404
2.47,176.7643260928333
2.48,176.67596602233016
2.49,176.58765012103336
2.5,176.49937836685638
2.5100000000000002,176.41115073772352
2.52,176.32296721157027
2.5300000000000002,176.23482776634302
2.54,176.14673237999918
2.5500000000000003,176.05868103050722
2.56,175.97067369584656
2.57,175.88271035400763
2.58,175.7947909829919
2.59,175.70691556081184
2.6,175.61908406549085
2.61,175.5312964750635
2.62,175.44355276757517
2.63,175.35585292108243
2.64,175.2681969136527
2.65,175.18058472336452
2.66,175.09301632830736
2.67,175.00549170658178
2.68,174.91801083629923
2.69,174.83057369558227
2.7,174.74318026256444
2.71,174.65583051539025
2.72,174.56852443221527
2.73,174.48126199120603
2.74,174.39404317054007
2.75,174.30686794840597
2.7600000000000002,174.21973630300332
2.77,174.13264821254265
2.7800000000000002,174.04560365524557
2.79,173.95860260934464
2.8000000000000003,173.87164505308348
2.81,173.7847309647167
2.82,173.69786032250988
2.83,173.61103310473965
2.84,173.5242492896936
2.85,173.43750885567042
2.86,173.35081178097965
2.87,173.26415804394202
2.88,173.17754762288914
2.89,173.09098049616364
2.9,173.0044566421192
2.91,172.91797603912048
2.92,172.83153866554318
2.93,172.74514449977391
2.94,172.65879352021042
2.95,172.57248570526139
2.96,172.4862210333465
2.97,172.39999948289645
2.98,172.31382103235296
2.99,172.22768566016876
3.0,172.14159334480757
3.0100000000000002,172.05554406474408
3.02,171.96953779846407
3.0300000000000002,171.88357452446428
3.04,171.79765422125246
3.0500000000000003,171.71177686734734
3.06,171.62594244127868
3.0700000000000003,171.5401509215873
3.08,171.45440228682492
3.09,171.36869651555435
3.1,171.28303358634938
3.11,171.19741347779478
3.12,171.1118361684864
3.13,171.026301637031
3.14,170.9408098620464
3.15,170.85536082216143
3.16,170.7699544960159
3.17,170.6845908622607
3.18,170.59926989955764
3.19,170.51399158657952
3.2,170.42875590201027
3.21,170.34356282454468
3.22,170.25841233288864
3.23,170.17330440575907
3.24,170.08823902188377
3.25,170.00321615989708
3.2600000000000002,169.91823579843094
3.27,169.83329791623783
3.2800000000000002,169.7484024920813
3.29,169.66354950473573
3.3000000000000003,169.57873893298637
3.31,169.4939707556295
3.3200000000000003,169.40924495147215
3.33,169.3245614993324
3.34,169.23992037803907
3.35,169.15532156643204
3.36,169.070765043362
3.37,168.9862507876906
3.38,168.90177877829032
3.39,168.8173489940446
3.4,168.7329614138478
3.41,168.6486160166051
3.42,168.56431278123264
3.43,168.4800516866575
3.44,168.3958327118176
3.45,168.31165583566178
3.46,168.22752103714978
3.47,168.14342829525225
3.48,168.05937758895075
3.49,167.97536889723776
3.5,167.89140219911658
3.5100000000000002,167.80747747360152
3.52,167.72359469971775
3.5300000000000002,167.6397538565013
3.54,167.55595492299918
3.5500000000000003,167.47219787826924
3.56,167.38848270138027
3.5700000000000003,167.30480937141195
3.58,167.22117786745486
3.59,167.13758816861048
3.6,167.0540402539912
3.61,166.97053410272034
3.62,166.88706969393206
3.63,166.80364700677148
3.64,166.72026602039463
3.65,166.63692671396836
3.66,166.5536290666705
3.67,166.47037305768978
3.68,166.3871586662258
3.69,166.3039858714891
3.7,166.22085465270104
3.71,166.137764989094
3.72,166.0547168599112
3.73,165.97171024440675
3.74,165.88874512184572
3.75,165.805821471504
3.7600000000000002,165.72293927266847
3.77,165.64009850463685
3.7800000000000002,165.5572991467178
3.79,165.47454117823085
3.8000000000000003,165.3918245785065
3.81,165.30914932688603
3.8200000000000003,165.22651540272173
3.83,165.1439227853768
3.84,165.06137145422525
3.85,164.97886138865206
3.86,164.89639256805316
3.87,164.81396497183525
3.88,164.731578579416
3.89,164.64923337022407
3.9,164.56692932369887
3.91,164.48466641929082
3.92,164.4024446364612
3.93,164.32026395468222
3.94,164.23812435343694
3.95,164.15602581221938
3.96,164.07396831053444
3.97,163.99195182789794
3.98,163.90997634383658
3.99,163.82804183788792
4.0,163.74614828960054
4.01,163.66429567853385
4.0200000000000005,163.58248398425815
4.03,163.50071318635165
4.04,163.41898326383102
4.05,163.33729419584412
4.0600000000000005,163.25564596196637
4.07,163.1740385417836
4.08,163.09247191489212
4.09,163.01094606089865
4.1,162.9294609594203
4.11,162.84801659008463
4.12,162.76661293252965
4.13,162.68524996640377
4.14,162.6039276713658
4.15,162.52264602708496
4.16,162.44140501324102
4.17,162.36020460952406
4.18,162.27904479563458
4.19,162.19792555128353
4.2,162.11684685619235
4.21,162.0358086900928
4.22,161.95481103272715
4.23,161.873853863848
4.24,161.7929371632185
4.25,161.7120609106121
4.26,161.63122508581276
4.2700000000000005,161.5504296686148
4.28,161.46967463882308
4.29,161.38895997625272
4.3,161.30828566072938
4.3100000000000005,161.2276516720891
4.32,161.1470579901784
4.33,161.06650459485417
4.34,160.98599146598372
4.3500000000000005,160.90551858344477
4.36,160.8250859271256
4.37,160.7446934769247
4.38,160.6643412127512
4.39,160.58402911452447
4.4,160.50375716217442
4.41,160.42352533564136
4.42,160.34333361487603
4.43,160.26318197983954
4.44,160.1830704105035
4.45,160.10299888684986
4.46,160.0229673888711
4.47,159.9429758965701
4.48,159.86302438996003
4.49,159.78311284906468
4.5,159.70324125391815
4.51,159.62340958456497
4.5200000000000005,159.54361782106014
4.53,159.46386594346905
4.54,159.3841539318675
4.55,159.30448176634178
4.5600000000000005,159.22484942698856
4.57,159.1452568939149
4.58,159.06570414723834
4.59,158.98619116708684
4.6000000000000005,158.90671793359877
4.61,158.82728442692294
4.62,158.74789062721854
4.63,158.66853651465522
4.64,158.5892220694131
4.65,158.5099472716826
4.66,158.43071210166468
4.67,158.35151653957072
4.68,158.27236056562245
4.69,158.19324416005205
4.7,158.11416730310216
4.71,158.03512997502585
4.72,157.95613215608657
4.73,157.8771738265582
4.74,157.79825496672507
4.75,157.71937555688191
4.76,157.64053557733394
4.7700000000000005,157.56173500839668
4.78,157.48297383039622
4.79,157.40425202366893
4.8,157.32556956856175
4.8100000000000005,157.2469264454319
4.82,157.16832263463442
4.83,157.08975811599944
4.84,157.01123286960086
4.8500000000000005,156.93274687580518
4.86,156.85430011498886
4.87,156.7758925675384
4.88,156.69752421385036
4.89,156.61919503433128
4.9,156.5409050093977
4.91,156.46265411947627
4.92,156.38444234500358
4.93,156.30626966642626
4.94,156.22813606420095
4.95,156.15004151879435
4.96,156.07198601068316
4.97,155.9939695203541
4.98,155.9159920283039
4.99,155.83805351503932
5.0,155.76015396107718
5.01,155.68229334694422
5.0200000000000005,155.6044716531773
5.03,155.5266888603233
5.04,155.44894494893904
5.05,155.37123989959144
5.0600000000000005,155.29357369285736
5.07,155.21594630932378
5.08,155.13835772958765
5.09,155.06080793425593
5.1000000000000005,154.98329690394561
5.11,154.9058246192837
5.12,154.82839106090725
5.13,154.75099620946332
5.14,154.673640045609
5.15,154.59632255001137
5.16,154.51904370334753
5.17,154.44180348630465
5.18,154.3646018795799
5.19,154.28743886388045
5.2,154.21031441992352
5.21,154.13322852843632
5.22,154.05618117015612
5.23,153.97917232583015
5.24,153.90220197621574
5.25,153.82527010208017
5.26,153.7483766842008
5.2700000000000005,153.67152170336496
5.28,153.59470514037005
5.29,153.51792697602343
5.3,153.44118719114255
5.3100000000000005,153.36448576655482
5.32,153.28782268309774
5.33,153.21119792161875
5.34,153.13461146297536
5.3500000000000005,153.0580632880351
5.36,152.9815533776755
5.37,152.90508171278415
5.38,152.82864827425863
5.39,152.75225304300653
5.4,152.67589599994545
5.41,152.5995771260031
5.42,152.52329640211715
5.43,152.44705380923523
5.44,152.3708493283151
5.45,152.29468294032446
5.46,152.21855462624112
5.47,152.1424643670528
5.48,152.0664121437573
5.49,151.9903979373625
5.5,151.91442172888617
5.51,151.8384834993562
5.5200000000000005,151.76258322981045
5.53,151.68672090129684
5.54,151.6108964948733
5.55,151.53510999160775
5.5600000000000005,151.45936137257817
5.57,151.38365061887257
5.58,151.30797771158893
5.59,151.23234263183528
5.6000000000000005,151.15674536072967
5.61,151.08118600228184
5.62,151.0056642836176
5.63,150.93018031655575
5.64,150.8547340822086
5.65,150.77932556169847
5.66,150.7039547361577
5.67,150.6286215867286
5.68,150.55332609456346
5.69,150.47806824082463
5.7,150.40284800668437
5.71,150.32766537332498
5.72,150.25252032193868
5.73,150.17741283372771
5.74,150.1023428899043
5.75,150.0273104716905
5.76,149.9523155603185
5.7700000000000005,149.8773581370303
5.78,149.80243818307792
5.79,149.72755567972334
5.8,149.65271060823838
5.8100000000000005,149.57790294990488
5.82,149.50313268601454
5.83,149.42839979786908
5.84,149.35370426678003
5.8500000000000005,149.27904607406887
5.86,149.20442520106704
5.87,149.1298416291158
5.88,149.05529533956633
5.89,148.98078631377976
5.9,148.90631453312702
5.91,148.83187997898898
5.92,148.7574826327564
5.93,148.68312247582983
5.94,148.60879948961977
5.95,148.53451365554656
5.96,148.4602649550404
5.97,148.38605336954132
5.98,148.3118788804992
5.99,148.23774146937382
6.0,148.1636411176347
6.01,148.08957780676133
6.0200000000000005,148.01555151824286
6.03,147.9415622335784
6.04,147.8676099342768
6.05,147.7936946018568
6.0600000000000005,147.71981621784684
6.07,147.6459747637853
6.08,147.5721702212202
6.09,147.4984025717095
6.1000000000000005,147.4246717968209
6.11,147.3509778781318
6.12,147.2773207972295
6.13,147.20370053571105
6.140000000000001,147.1301170751832
6.15,147.0565703972625
6.16,146.98306048357534
6.17,146.90958731575773
6.18,146.83615087545553
6.19,146.76275114432428
6.2,146.68938810402932
6.21,146.61606173624568
6.22,146.54277202265814
6.23,146.46951894496118
6.24,146.39630248485906
6.25,146.32312262406572
6.26,146.24997934430476
6.2700000000000005,146.17687262730954
6.28,146.10380245482315
6.29,146.03076880859834
6.3,145.95777167039753
6.3100000000000005,145.88481102199285
6.32,145.81188684516613
6.33,145.73899912170882
6.34,145.6661478334221
6.3500000000000005,145.59333296211676
6.36,145.52055448961335
6.37,145.44781239774196
6.38,145.3751066683424
6.390000000000001,145.30243728326408
6.4,145.22980422429762
6.41,145.15720747255938
6.42,145.08464700969853
6.43,145.012122817575
6.44,144.9396348780579
6.45,144.86718317302567
6.46,144.794767684366
6.47,144.72238839397588
6.48,144.6500452837615
6.49,144.57773833563837
6.5,144.5054675315312
6.51,144.43323285337394
6.5200000000000005,144.36103428310977
6.53,144.28887180269118
6.54,144.21674539407974
6.55,144.14465503924635
6.5600000000000005,144.072600720171
6.57,144.00058241884304
6.58,143.92860011726088
6.59,143.8566537974322
6.6000000000000005,143.78474344137373
6.61,143.71286903111155
6.62,143.6410305486808
6.63,143.56922797612577
6.640000000000001,143.4974612955
6.65,143.42573048886607
6.66,143.35403553829576
6.67,143.28237642586998
6.68,143.21075313367874
6.69,143.13916564382117
6.7,143.0676139384056
6.71,142.99609799954936
6.72,142.92461780937893
6.73,142.8531733500299
6.74,142.78176460364688
6.75,142.71039155238367
6.76,142.63905417840303
6.7700000000000005,142.5677524638769
6.78,142.4964863909862
6.79,142.42525594192094
6.8,142.35406109888018
6.8100000000000005,142.282901844072
6.82,142.21177815971356
6.83,142.14069002803097
6.84,142.06963743125948
6.8500000000000005,141.99862035164324
6.86,141.9276387714355
6.87,141.85669267289848
6.88,141.78578203830335
6.890000000000001,141.71490684993034
6.9,141.64406709006863
6.91,141.5732627410164
6.92,141.50249378508076
6.93,141.43176020457784
6.94,141.36106198183268
6.95,141.29039909917927
6.96,141.21977153896057
6.97,141.14917928352853
6.98,141.07862231524388
6.99,141.0081006164764
7.0,140.93761416960479
7.01,140.8671629570166
7.0200000000000005,140.7967469611083
7.03,140.7263661642853
7.04,140.65602054896186
7.05,140.5857100975611
7.0600000000000005,140.51543479251512
7.07,140.4451946162648
7.08,140.37498955125992
7.09,140.30481957995912
7.1000000000000005,140.23468468482986
7.11,140.1645848483485
7.12,140.09452005300025
7.13,140.02449028127904
7.140000000000001,139.95449551568774
7.15,139.884535738738
7.16,139.8146109329503
7.17,139.74472108085394
7.18,139.67486616498692
7.19,139.60504616789615
7.2,139.5352610721373
7.21,139.46551086027478
7.22,139.3957955148818
7.23,139.32611501854038
7.24,139.2564693538412
7.25,139.1868585033838
7.26,139.11728244977638
7.2700000000000005,139.047741175636
7.28,138.97823466358827
7.29,138.90876289626772
7.3,138.8393258563175
7.3100000000000005,138.76992352638945
7.32,138.7005558891442
7.33,138.63122292725106
7.34,138.561924623388
7.3500000000000005,138.49266096024166
7.36,138.42343192050748
7.37,138.35423748688945
7.38,138.28507764210028
7.390000000000001,138.21595236886134
7.4,138.14686164990263
7.41,138.0778054679629
7.42,138.0087838057894
7.43,137.9397966461381
7.44,137.87084397177358
7.45,137.80192576546906
7.46,137.7330420100064
7.47,137.66419268817594
7.48,137.59537778277684
7.49,137.52659727661663
7.5,137.4578511525116
7.51,137.38913939328654
7.5200000000000005,137.32046198177486
7.53,137.25181890081848
7.54,137.18321013326795
7.55,137.11463566198236
7.5600000000000005,137.04609546982934
7.57,136.97758953968506
7.58,136.90911785443424
7.59,136.84068039697013
7.6000000000000005,136.7722771501945
7.61,136.70390809701766
7.62,136.6355732203584
7.63,136.56727250314404
7.640000000000001,136.49900592831037
7.65,136.4307734788017
7.66,136.36257513757084
7.67,136.29441088757906
7.68,136.22628071179605
7.69,136.15818459320005
7.7,136.09012251477773
7.71,136.0220944595242
7.72,135.95410041044303
7.73,135.8861403505462
7.74,135.8182142628542
7.75,135.75032213037917
7.76,135.68246393598326
7.7700000000000005,135.61463966266027
7.78,135.54684929345783
7.79,135.47909281143177
7.8,135.4113701996464
7.8100000000000005,135.34368144117417
7.82,135.27602651909598
7.83,135.20840541650088
7.84,135.14081811648634
7.8500000000000005,135.07326460215805
7.86,135.00574485662997
7.87,134.93825886302432
7.88,134.87080660447162
7.890000000000001,134.80338806411058
7.9,134.73600322508824
7.91,134.6686520705598
7.92,134.60133458368875
7.930000000000001,134.53405074764677
7.94,134.46680054561378
7.95,134.39958396077787
7.96,134.3324009763354
7.97,134.2652515754909
7.98,134.19813574145704
7.99,134.13105345745475
8.0,134.06400470671312
8.01,133.99698947246935
8.02,133.93000773796888
8.03,133.8630594864653
8.040000000000001,133.79614470122024
8.05,133.7292633655036
8.06,133.66241546259343
8.07,133.59560097577577
8.08,133.52881988834488
8.09,133.4620721836031
8.1,133.39535784486097
8.11,133.32867685543695
8.120000000000001,133.26202919865776
8.13,133.1954148578581
8.14,133.12883381638088
8.15,133.06228605757687
8.16,132.99577156480515
8.17,132.92929032143266
8.18,132.8628423108345
8.19,132.7964275163938
8.2,132.7300459215017
8.21,132.66369750955738
8.22,132.59738226396806
8.23,132.531100168149
8.24,132.4648512055234
8.25,132.39863535952253
8.26,132.3324526135856
8.27,132.26630295115984
8.28,132.2001863557005
8.290000000000001,132.13410281067075
8.3,132.06805229954173
8.31,132.00203480579256
8.32,131.93605031291037
8.33,131.8700988043901
8.34,131.80418026373474
8.35,131.7382946744552
8.36,131.67244202007032
8.370000000000001,131.6066222841068
8.38,131.54083545009934
8.39,131.47508150159047
8.4,131.40936042213067
8.41,131.34367219527832
8.42,131.27801680459962
8.43,131.2123942336687
8.44,131.14680446606758
8.45,131.0812474853861
8.46,131.01572327522194
8.47,130.95023181918071
8.48,130.88477310087583
8.49,130.81934710392852
8.5,130.75395381196785
8.51,130.68859320863075
8.52,130.62326527756193
8.53,130.55797000241387
8.540000000000001,130.49270736684696
8.55,130.4274773545293
8.56,130.3622799491368
8.57,130.29711513435316
8.58,130.23198289386985
8.59,130.1668832113861
8.6,130.10181607060892
8.61,130.03678145525305
8.620000000000001,129.971779349041
8.63,129.90680973570295
8.64,129.84187259897698
8.65,129.7769679226087
8.66,129.71209569035156
8.67,129.6472558859667
8.68,129.58244849322293
8.69,129.5176734958968
8.700000000000001,129.4529308777725
8.71,129.388220622642
8.72,129.32354271430484
8.73,129.25889713656827
8.74,129.19428387324726
8.75,129.12970290816435
8.76,129.0651542251498
8.77,129.00063780804143
8.78,128.93615364068478
8.790000000000001,128.87170170693298
8.8,128.80728199064677
8.81,128.74289447569458
8.82,128.67853914595233
8.83,128.61421598530364
8.84,128.54992497763968
8.85,128.48566610685918
8.86,128.42143935686855
8.870000000000001,128.35724471158164
8.88,128.29308215491997
8.89,128.2289516708126
8.9,128.1648532431961
8.91,128.10078685601465
8.92,128.03675249321986
8.93,127.97275013877103
8.94,127.90877977663486
8.950000000000001,127.84484139078559
8.96,127.78093496520503
8.97,127.71706048388243
8.98,127.65321793081456
8.99,127.5894072900057
9.0,127.52562854546757
9.01,127.4618816812194
9.02,127.39816668128789
9.03,127.33448352970717
9.040000000000001,127.27083221051888
9.05,127.20721270777206
9.06,127.1436250055232
9.07,127.08006908783626
9.08,127.0165449387826
9.09,126.95305254244099
9.1,126.88959188299118
9.11,126.8261629454692
9.120000000000001,126.76276571425383
9.13,126.69940017349629
9.14,126.63606630735576
9.15,126.57276409999952
9.16,126.50949353560274
9.17,126.44625459834867
9.18,126.38304727242856
9.19,126.31987154204161
9.200000000000001,126.25672739139502
9.21,126.19361480470403
9.22,126.1305337661918
9.23,126.06748426008953
9.24,126.00446627063634
9.25,125.9414797820794
9.26,125.87852477867376
9.27,125.81560124468254
9.28,125.75270916437674
9.290000000000001,125.68984852203536
9.3,125.62701930194538
9.31,125.56422148840171
9.32,125.50145506570722
9.33,125.43872001817273
9.34,125.37601633011701
9.35,125.31334398586677
9.36,125.25070296975666
9.370000000000001,125.18809326612926
9.38,125.1255148593351
9.39,125.06296773373265
9.4,125.00045187368828
9.41,124.9379672635763
9.42,124.87551388777892
9.43,124.81309173068632
9.44,124.75070077669653
9.450000000000001,124.68834101021554
9.46,124.62601241565724
9.47,124.56371497744341
9.48,124.50144868000372
9.49,124.43921350777579
9.5,124.37700944520508
9.51,124.31483647674496
9.52,124.25269458685672
9.53,124.1905837600095
9.540000000000001,124.12850398068032
9.55,124.0664552333541
9.56,124.00443750252366
9.57,123.94245077268963
9.58,123.88049502836054
9.59,123.8185702540528
9.6,123.75667643429068
9.61,123.6948135536063
9.620000000000001,123.6329815965396
9.63,123.57118054763848
9.64,123.50941039145857
9.65,123.44767111256344
9.66,123.38596269552444
9.67,123.32428512492079
9.68,123.26263838533956
9.69,123.20102246137563
9.700000000000001,123.13943733763169
9.71,123.07788299871834
9.72,123.01635942925391
9.73,122.95486661386462
9.74,122.89340453718448
9.75,122.8319731838553
9.76,122.77057253852674
9.77,122.70920258585623
9.78,122.64786331050904
9.790000000000001,122.5865546971582
9.8,122.5252767304846
9.81,122.46402939517688
9.82,122.40281267593147
9.83,122.34162655745261
9.84,122.28047102445232
9.85,122.21934606165041
9.86,122.15825165377446
9.870000000000001,122.09718778555981
9.88,122.0361544417496
9.89,121.97515160709476
9.9,121.91417926635391
9.91,121.85323740429352
9.92,121.79232600568778
9.93,121.73144505531862
9.94,121.67059453797576
9.950000000000001,121.60977443845663
9.96,121.54898474156646
9.97,121.4882254321182
9.98,121.42749649493251
9.99,121.36679791483785
