t,GLY,G1P,G6P,F6P,FBP,DHAP,GAP,Thirteen_BPG,three_PG,two_PG,PEP,PYR,LAC,Pi,ADP,ATP,AMP,PCr,Cr,NADH,NAD
0.1,2.1253815833e-314,2.1253753265e-314,2.1253808244e-314,2.129013033e-314,2.2554327165e-314,2.2554329536e-314,2.125379358e-314,2.1816222813e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.1253805873e-314,2.1253753423e-314,2.1253815833e-314,2.1253753423e-314,2.1253808244e-314,2.129030361e-314,2.181622313e-314,2.2554331117e-314,2.125379358e-314,2.1816223445e-314
0.11,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.1800381487e-314,2.125375453e-314,2.1253815833e-314,2.125375453e-314,2.1253808244e-314,2.129030361e-314,2.255433191e-314,2.25543327e-314,2.125379358e-314,2.180038125e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1253805873e-314,2.1253753423e-314,2.1253815833e-314,2.1253753423e-314,2.1253808244e-314
0.12,2.129013033e-314,2.255433349e-314,2.255433428e-314,2.125379358e-314,2.1816232615e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.125380611e-314,2.125375358e-314,2.1253815833e-314,2.125375358e-314,2.1253808244e-314,2.129030361e-314,2.18162323e-314,2.2554335465e-314,2.125379358e-314,2.1800381013e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314
0.13,2.125380611e-314,2.125375358e-314,2.1253815833e-314,2.125375358e-314,2.1253808244e-314,2.129013033e-314,2.2554336256e-314,2.255433744e-314,2.125379358e-314,2.1816231983e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.1253806347e-314,2.125375374e-314,2.1253815833e-314,2.125375374e-314,2.1253808244e-314,2.129030361e-314,2.1816231667e-314,2.255433902e-314
0.14,2.125379358e-314,2.1800380776e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1253806347e-314,2.125375374e-314,2.1253815833e-314,2.125375374e-314,2.1253808244e-314,2.129013033e-314,2.2554340603e-314,2.2554342184e-314,2.125379358e-314,2.181623135e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.125380682e-314,2.1253754055e-314,2.1253815833e-314
0.15,2.1253754055e-314,2.1253808244e-314,2.129030361e-314,2.2554342975e-314,2.2554344556e-314,2.125379358e-314,2.1816231034e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.1253806584e-314,2.1253753897e-314,2.1253815833e-314,2.1253753897e-314,2.1253808244e-314,2.129030361e-314,2.181623072e-314,2.2554346137e-314,2.125379358e-314,2.180038054e-314,2.129013033e-314
0.16,2.125381536e-314,2.129013033e-314,2.1253806584e-314,2.1253753897e-314,2.1253815833e-314,2.1253753897e-314,2.1253808244e-314,2.129013033e-314,2.2554348113e-314,2.25543493e-314,2.125379358e-314,2.18162304e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.1800379827e-314,2.125375516e-314,2.1253815833e-314,2.125375516e-314,2.1253808244e-314,2.129030361e-314
0.17,2.255435009e-314,2.2554351275e-314,2.125379358e-314,2.1800379353e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.125380682e-314,2.1253754055e-314,2.1253815833e-314,2.1253754055e-314,2.1253808244e-314,2.129013033e-314,2.255435246e-314,2.255435404e-314,2.125379358e-314,2.1816230086e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.125380706e-314
0.18,2.1253754213e-314,2.1253815833e-314,2.1253754213e-314,2.1253808244e-314,2.129030361e-314,2.2554354833e-314,2.2554355623e-314,2.125379358e-314,2.180037864e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.125380706e-314,2.1253754213e-314,2.1253815833e-314,2.1253754213e-314,2.1253808244e-314,2.129013033e-314,2.2554356414e-314,2.2554357204e-314,2.125379358e-314
0.19,2.181622977e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.1253807296e-314,2.125375437e-314,2.1253815833e-314,2.125375437e-314,2.1253808244e-314,2.129030361e-314,2.1816229453e-314,2.255435839e-314,2.125379358e-314,2.1800378167e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1253807296e-314,2.125375437e-314,2.1253815833e-314,2.125375437e-314
0.2,2.1253808244e-314,2.129013033e-314,2.2554359576e-314,2.2554360366e-314,2.125379358e-314,2.1816229137e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.1800377456e-314,2.125375469e-314,2.1253815833e-314,2.125375469e-314,2.1253808244e-314,2.129030361e-314,2.181622882e-314,2.255436155e-314,2.125379358e-314,2.1800376744e-314,2.129013033e-314,2.125381536e-314
0.21,2.129013033e-314,2.1800376507e-314,2.125375453e-314,2.1253815833e-314,2.125375453e-314,2.1253808244e-314,2.129013033e-314,2.255436234e-314,2.2554363133e-314,2.125379358e-314,2.1816228505e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.1800376033e-314,2.1253754846e-314,2.1253815833e-314,2.1253754846e-314,2.1253808244e-314,2.129030361e-314,2.255436432e-314
0.22,2.25543659e-314,2.125379358e-314,2.181622819e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.180037556e-314,2.125375532e-314,2.1253815833e-314,2.125375532e-314,2.1253808244e-314,2.129030361e-314,2.1827145695e-314,2.255436669e-314,2.125379358e-314,2.180037532e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1744895465e-314,2.125375469e-314
0.23,2.1253815833e-314,2.125375469e-314,2.1253808244e-314,2.129013033e-314,2.255436748e-314,2.255436827e-314,2.125379358e-314,2.1744902816e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1744894516e-314,2.1253754846e-314,2.1253815833e-314,2.1253754846e-314,2.1253808244e-314,2.129013033e-314,2.255436906e-314,2.2554369457e-314,2.125379358e-314,2.182714538e-314
0.24,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.12538054e-314,2.1253753107e-314,2.1253815833e-314,2.1253753107e-314,2.1253808244e-314,2.1290304557e-314,2.2554370247e-314,2.255437104e-314,2.125379358e-314,2.174490187e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1744901394e-314,2.1253755004e-314,2.1253815833e-314,2.1253755004e-314,2.1253808244e-314
0.25,2.129013033e-314,2.255437183e-314,2.255437262e-314,2.125379358e-314,2.18270736e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.174490092e-314,2.125375627e-314,2.1253815833e-314,2.125375627e-314,2.1253808244e-314,2.129030361e-314,2.255437341e-314,2.2554374595e-314,2.125379358e-314,2.182710712e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314
0.26,2.174489997e-314,2.1253756585e-314,2.1253815833e-314,2.1253756585e-314,2.1253808244e-314,2.129030361e-314,2.1827138106e-314,2.2554376176e-314,2.125379358e-314,2.1744899496e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.174489831e-314,2.125375516e-314,2.1253815833e-314,2.125375516e-314,2.1253808244e-314,2.129013033e-314,2.255437736e-314,2.2554377757e-314
0.27,2.125379358e-314,2.1827138423e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.174489665e-314,2.1253755794e-314,2.1253815833e-314,2.1253755794e-314,2.1253808244e-314,2.129030361e-314,2.255437855e-314,2.255437934e-314,2.125379358e-314,2.182714032e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.174489357e-314,2.1253755004e-314,2.1253815833e-314
0.28,2.1253755004e-314,2.1253808244e-314,2.129030361e-314,2.182708467e-314,2.255438013e-314,2.125379358e-314,2.1745028665e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.174502914e-314,2.125375532e-314,2.1253815833e-314,2.125375532e-314,2.1253808244e-314,2.129013033e-314,2.255450922e-314,2.2554462183e-314,2.125379358e-314,2.182713178e-314,2.129030361e-314
0.29,2.125381536e-314,2.129030361e-314,2.1745027953e-314,2.125375548e-314,2.1253815833e-314,2.125375548e-314,2.1253808244e-314,2.129030361e-314,2.255446337e-314,2.255446416e-314,2.125379358e-314,2.174502819e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1745365736e-314,2.125375548e-314,2.1253815833e-314,2.125375548e-314,2.1253808244e-314,2.129013033e-314
0.3,2.255446495e-314,2.2554466136e-314,2.125379358e-314,2.18271321e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.174536621e-314,2.125375595e-314,2.1253815833e-314,2.125375595e-314,2.1253808244e-314,2.129030361e-314,2.2554466926e-314,2.255446811e-314,2.125379358e-314,2.1745365973e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1745384945e-314
0.31,2.1253755636e-314,2.1253815833e-314,2.1253755636e-314,2.1253808244e-314,2.129013033e-314,2.2554468507e-314,2.25544689e-314,2.125379358e-314,2.1827069174e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.1745376645e-314,2.1253755636e-314,2.1253815833e-314,2.1253755636e-314,2.1253808244e-314,2.129030361e-314,2.25544693e-314,2.2554469693e-314,2.125379358e-314
0.32,2.174537641e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.174537617e-314,2.1253755794e-314,2.1253815833e-314,2.1253755794e-314,2.1253808244e-314,2.129013033e-314,2.255447009e-314,2.2554470483e-314,2.125379358e-314,2.1827072653e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.174537546e-314,2.1253756427e-314,2.1253815833e-314,2.1253756427e-314
0.33,2.1253808244e-314,2.129030361e-314,2.2554471274e-314,2.2554472064e-314,2.125379358e-314,2.174537522e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1745374985e-314,2.125375595e-314,2.1253815833e-314,2.125375595e-314,2.1253808244e-314,2.129013033e-314,2.2554472855e-314,2.2554473645e-314,2.125379358e-314,2.182713621e-314,2.129030361e-314,2.125381536e-314
0.34,2.129030361e-314,2.174537475e-314,2.125375611e-314,2.1253815833e-314,2.125375611e-314,2.1253808244e-314,2.129030361e-314,2.2554474436e-314,2.2554475226e-314,2.125379358e-314,2.174537451e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1745374274e-314,2.125375611e-314,2.1253815833e-314,2.125375611e-314,2.1253808244e-314,2.129013033e-314,2.255447641e-314
0.35000000000000003,2.25544776e-314,2.125379358e-314,2.1745367633e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1745367396e-314,2.125375627e-314,2.1253815833e-314,2.125375627e-314,2.1253808244e-314,2.129013033e-314,2.255447839e-314,2.255447918e-314,2.125379358e-314,2.1827135577e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1253805636e-314,2.1253753265e-314
0.36,2.1253815833e-314,2.1253753265e-314,2.1253808244e-314,2.1290304557e-314,2.25545806e-314,2.255328449e-314,2.125379358e-314,2.182707297e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1253805873e-314,2.1253753423e-314,2.1253815833e-314,2.1253753423e-314,2.1253808244e-314,2.1290304557e-314,2.2554479574e-314,2.255458297e-314,2.125379358e-314,2.1827084985e-314
0.37,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.125380611e-314,2.125375358e-314,2.1253815833e-314,2.125375358e-314,2.1253808244e-314,2.1290304557e-314,2.2554480365e-314,2.255458487e-314,2.125379358e-314,2.182712767e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1253806347e-314,2.125375374e-314,2.1253815833e-314,2.125375374e-314,2.1253808244e-314
0.38,2.1290304557e-314,2.2554481155e-314,2.25545972e-314,2.125379358e-314,2.1827126723e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1253806584e-314,2.1253753897e-314,2.1253815833e-314,2.1253753897e-314,2.1253808244e-314,2.1290304557e-314,2.2554481946e-314,2.2554482736e-314,2.125379358e-314,2.182712799e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314
0.39,2.125380682e-314,2.1253754055e-314,2.1253815833e-314,2.1253754055e-314,2.1253808244e-314,2.1290304557e-314,2.255448313e-314,2.25545825e-314,2.125379358e-314,2.1827128304e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.125380706e-314,2.1253754213e-314,2.1253815833e-314,2.1253754213e-314,2.1253808244e-314,2.1290304557e-314,2.255458819e-314,2.2554588664e-314
0.4,2.125379358e-314,2.182712862e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1253807296e-314,2.125375437e-314,2.1253815833e-314,2.125375437e-314,2.1253808244e-314,2.1290304557e-314,2.255448392e-314,2.2554484317e-314,2.125379358e-314,2.182713052e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.174536716e-314,2.125375453e-314,2.1253815833e-314
0.41000000000000003,2.125375453e-314,2.1253808244e-314,2.1290304557e-314,2.2554484713e-314,2.2554485503e-314,2.125379358e-314,2.1827128937e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1745366685e-314,2.125375469e-314,2.1253815833e-314,2.125375469e-314,2.1253808244e-314,2.1290304557e-314,2.25544859e-314,2.255448669e-314,2.125379358e-314,2.182712957e-314,2.1290304557e-314
0.42,2.125381536e-314,2.1290304557e-314,2.174538542e-314,2.1253754846e-314,2.1253815833e-314,2.1253754846e-314,2.1253808244e-314,2.1290304557e-314,2.1827129885e-314,2.255448748e-314,2.125379358e-314,2.182709637e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1749939677e-314,2.1253755004e-314,2.1253815833e-314,2.1253755004e-314,2.1253808244e-314,2.1290304557e-314
0.43,2.182709605e-314,2.2554487875e-314,2.125379358e-314,2.1827140636e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.174995462e-314,2.125375516e-314,2.1253815833e-314,2.125375516e-314,2.1253808244e-314,2.1290304557e-314,2.255448827e-314,2.2554488665e-314,2.125379358e-314,2.182714095e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.174994015e-314
0.44,2.125375532e-314,2.1253815833e-314,2.125375532e-314,2.1253808244e-314,2.1290304557e-314,2.255448906e-314,2.2554489456e-314,2.125379358e-314,2.1827139055e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.174995343e-314,2.125375548e-314,2.1253815833e-314,2.125375548e-314,2.1253808244e-314,2.1290304557e-314,2.2554490246e-314,2.255449064e-314,2.125379358e-314
0.45,2.182713937e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1749952246e-314,2.1253755636e-314,2.1253815833e-314,2.1253755636e-314,2.1253808244e-314,2.1290304557e-314,2.2554491037e-314,2.2554491827e-314,2.125379358e-314,2.173403432e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1749950586e-314,2.1253755794e-314,2.1253815833e-314,2.1253755794e-314
0.46,2.1253808244e-314,2.1290304557e-314,2.255449262e-314,2.255449341e-314,2.125379358e-314,2.173403527e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1749949875e-314,2.125375595e-314,2.1253815833e-314,2.125375595e-314,2.1253808244e-314,2.1290304557e-314,2.1734008076e-314,2.25544942e-314,2.125379358e-314,2.1734016614e-314,2.1290304557e-314,2.125381536e-314
0.47000000000000003,2.1290304557e-314,2.1749948215e-314,2.125375611e-314,2.1253815833e-314,2.125375611e-314,2.1253808244e-314,2.1290304557e-314,2.255449499e-314,2.2554496175e-314,2.125379358e-314,2.173405266e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.174994703e-314,2.125375627e-314,2.1253815833e-314,2.125375627e-314,2.1253808244e-314,2.1290304557e-314,2.255449736e-314
0.48,2.2554497756e-314,2.125379358e-314,2.1734052977e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.174994679e-314,2.1253756427e-314,2.1253815833e-314,2.1253756427e-314,2.1253808244e-314,2.1290304557e-314,2.255449815e-314,2.2554498546e-314,2.125379358e-314,2.1733981515e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.174994608e-314,2.1253756585e-314
0.49,2.1253815833e-314,2.1253756585e-314,2.1253808244e-314,2.1290304557e-314,2.2554499337e-314,2.255449973e-314,2.125379358e-314,2.173398373e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1749945843e-314,2.1253756743e-314,2.1253815833e-314,2.1253756743e-314,2.1253808244e-314,2.1290304557e-314,2.2554500127e-314,2.255450092e-314,2.125379358e-314,2.1733985626e-314
0.5,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1749944895e-314,2.12537569e-314,2.1253815833e-314,2.12537569e-314,2.1253808244e-314,2.1290304557e-314,2.1733982464e-314,2.255450171e-314,2.125379358e-314,2.1734044123e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.174994442e-314,2.125375706e-314,2.1253815833e-314,2.125375706e-314,2.1253808244e-314
0.51,2.1290304557e-314,2.173400175e-314,2.2554502894e-314,2.125379358e-314,2.1734003965e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1749943946e-314,2.1253757217e-314,2.1253815833e-314,2.1253757217e-314,2.1253808244e-314,2.1290304557e-314,2.255450329e-314,2.255450408e-314,2.125379358e-314,2.173400365e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314
0.52,2.174994347e-314,2.1253757375e-314,2.1253815833e-314,2.1253757375e-314,2.1253808244e-314,2.1290304557e-314,2.2554503685e-314,2.2554505266e-314,2.125379358e-314,2.1734003333e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1749942998e-314,2.1253757533e-314,2.1253815833e-314,2.1253757533e-314,2.1253808244e-314,2.1290304557e-314,2.2554504475e-314,2.2554509613e-314
0.53,2.125379358e-314,2.1734003017e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1749942523e-314,2.125375769e-314,2.1253815833e-314,2.125375769e-314,2.1253808244e-314,2.1290304557e-314,2.17340495e-314,2.255451001e-314,2.125379358e-314,2.1734052344e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1749942286e-314,2.125375785e-314,2.1253815833e-314
0.54,2.125375785e-314,2.1253808244e-314,2.1290304557e-314,2.25545108e-314,2.2554511194e-314,2.125379358e-314,2.17340027e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.174994205e-314,2.125375801e-314,2.1253815833e-314,2.125375801e-314,2.1253808244e-314,2.1290304557e-314,2.255451238e-314,2.2554513566e-314,2.125379358e-314,2.173402104e-314,2.1290304557e-314
0.55,2.125381536e-314,2.1290304557e-314,2.17499411e-314,2.1253758166e-314,2.1253815833e-314,2.1253758166e-314,2.1253808244e-314,2.1290304557e-314,2.255451396e-314,2.2554514356e-314,2.125379358e-314,2.1734048866e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1744615626e-314,2.1253758324e-314,2.1253815833e-314,2.1253758324e-314,2.1253808244e-314,2.1290304557e-314
0.56,2.2554515937e-314,2.255451673e-314,2.125379358e-314,2.1733995744e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1744615863e-314,2.125375848e-314,2.1253815833e-314,2.125375848e-314,2.1253808244e-314,2.1290304557e-314,2.2554517123e-314,2.2554595304e-314,2.125379358e-314,2.173403337e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1744616337e-314
0.5700000000000001,2.125375864e-314,2.1253815833e-314,2.125375864e-314,2.1253808244e-314,2.1290304557e-314,2.255451752e-314,2.2554517914e-314,2.125379358e-314,2.173397677e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.174443049e-314,2.12537588e-314,2.1253815833e-314,2.12537588e-314,2.1253808244e-314,2.1290304557e-314,2.2554593407e-314,2.2554592933e-314,2.125379358e-314
0.58,2.1734014716e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1744479106e-314,2.1253758956e-314,2.1253815833e-314,2.1253758956e-314,2.1253808244e-314,2.1290304557e-314,2.2554591984e-314,2.255458914e-314,2.125379358e-314,2.1734015033e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.17444312e-314,2.1253759114e-314,2.1253815833e-314,2.1253759114e-314
0.59,2.1253808244e-314,2.1290304557e-314,2.255451831e-314,2.2554518704e-314,2.125379358e-314,2.173399606e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.174447863e-314,2.1253759272e-314,2.1253815833e-314,2.1253759272e-314,2.1253808244e-314,2.1290304557e-314,2.25545191e-314,2.2554519495e-314,2.125379358e-314,2.1734030526e-314,2.1290304557e-314,2.125381536e-314
0.6,2.1290304557e-314,2.1744474363e-314,2.125375943e-314,2.1253815833e-314,2.125375943e-314,2.1253808244e-314,2.1290304557e-314,2.1733977404e-314,2.255451989e-314,2.125379358e-314,2.173399543e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1742509325e-314,2.125375959e-314,2.1253815833e-314,2.125375959e-314,2.1253808244e-314,2.1290304557e-314,2.2554520285e-314
0.61,2.255452068e-314,2.125379358e-314,2.1734004914e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.174251976e-314,2.1253759747e-314,2.1253815833e-314,2.1253759747e-314,2.1253808244e-314,2.1290304557e-314,2.173403843e-314,2.2554521076e-314,2.125379358e-314,2.173402262e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1742510274e-314,2.1253759905e-314
0.62,2.1253815833e-314,2.1253759905e-314,2.1253808244e-314,2.1290304557e-314,2.255452147e-314,2.255452226e-314,2.125379358e-314,2.173403875e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.174251715e-314,2.1253760063e-314,2.1253815833e-314,2.1253760063e-314,2.1253808244e-314,2.1290304557e-314,2.2554522657e-314,2.255452305e-314,2.125379358e-314,2.173402357e-314
0.63,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1742516203e-314,2.125376022e-314,2.1253815833e-314,2.125376022e-314,2.1253808244e-314,2.1290304557e-314,2.173400839e-314,2.2554523447e-314,2.125379358e-314,2.1734009025e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1742515254e-314,2.125376038e-314,2.1253815833e-314,2.125376038e-314,2.1253808244e-314
0.64,2.1290304557e-314,2.255459056e-314,2.255459483e-314,2.125379358e-314,2.173400112e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.174251383e-314,2.1253760537e-314,2.1253815833e-314,2.1253760537e-314,2.1253808244e-314,2.1290304557e-314,2.2554523843e-314,2.2554597676e-314,2.125379358e-314,2.1734016297e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314
0.65,2.1742512645e-314,2.1253760695e-314,2.1253815833e-314,2.1253760695e-314,2.1253808244e-314,2.1290304557e-314,2.255452424e-314,2.255459388e-314,2.125379358e-314,2.173404918e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.174251241e-314,2.1253760853e-314,2.1253815833e-314,2.1253760853e-314,2.1253808244e-314,2.1290304557e-314,2.255452503e-314,2.255459578e-314
0.66,2.125379358e-314,2.173398942e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.174251051e-314,2.125376101e-314,2.1253815833e-314,2.125376101e-314,2.1253808244e-314,2.1290304557e-314,2.2554525424e-314,2.255459151e-314,2.125379358e-314,2.1734000803e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1742439287e-314,2.125376117e-314,2.1253815833e-314
0.67,2.125376117e-314,2.1253808244e-314,2.1290304557e-314,2.255452582e-314,2.255452661e-314,2.125379358e-314,2.1734000487e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1742446164e-314,2.125376133e-314,2.1253815833e-314,2.125376133e-314,2.1253808244e-314,2.1290304557e-314,2.2554590087e-314,2.2554596253e-314,2.125379358e-314,2.173400776e-314,2.1290304557e-314
