t,Py,Py1,Dw,Qw2,Qw1,Rw,Mw,Px,Px1,Dz,Qz4,Qz2,Qz1,Rz,Qz3,Qz5,Mz
0.1,16.088134629684173,7.6381252610725126,2.4004211417472217,1.2737401092433276,0.32583874900945203,49.674161250990565,0.0,24.87550792332186,0.006775252640992356,3.881313031404356,0.11762506538040209,3.2098148782460246e-05,0.0009701445584985989,49.99897019493354,1.9945821206188045e-07,5.9461049748096815e-05,0.0
0.11,15.394760523757823,8.161744983290316,2.208792199749347,1.4434944929518738,0.34771330729878014,49.65228669270123,0.0,24.86385949611152,0.0074475975235189645,3.870243108346495,0.12858246000020812,3.8606251613951485e-05,0.0010639852885489334,49.99886417459832,2.640794775374313e-07,7.15760336562587e-05,0.0
0.12,14.731344774451385,8.660946021528089,2.024642133167237,1.6077092040205383,0.36764866281222625,49.632351337187785,0.0,24.85234926515288,0.008119055440324839,3.859311050482135,0.13940092598867385,4.567055572131102e-05,0.0011572701110762024,49.99875764702653,3.4104423787531194e-07,8.474181815558136e-05,0.0
0.13,14.09659290725939,9.138595172114053,1.8494533101969128,1.7648119206265656,0.38573476917652283,49.61426523082349,0.0,24.84097545969311,0.008789639357270434,3.8485150949395663,0.150082247281898,5.3280865880330034e-05,0.0012500041108196073,49.99865062308734,4.31333416169434e-07,9.894146841971332e-05,0.0
0.14,13.489266524356362,9.597081954360629,1.684275011873777,1.9136515212830196,0.4020734668432044,49.59792653315681,0.0,24.82973633242279,0.009459362016815536,3.837853502126029,0.1606281841929032,6.142718379756586e-05,0.0013421923135808137,49.99854311350273,5.359063404427972e-07,0.00011415827734856133,0.0
0.15,12.908180845937911,10.038377072017568,1.529783446751839,2.05344208204453,0.41677447120363215,49.58322552879638,0.0,24.818630159147798,0.010128235942055268,3.827324555402883,0.17104047374214096,7.009970428558017e-05,0.0014338396869771803,49.99843512884931,6.557011686672682e-07,0.0001303757625441486,0.0
0.16,12.352202362677465,10.464088700391192,1.3863391012575874,2.183708936931354,0.4299519618110593,49.57004803818895,0.0,24.807655238466225,0.010796273440679868,3.8169265607657263,0.18132082998294105,7.928881151380504e-05,0.001524951141184697,49.99832667956018,7.916353055149007e-07,0.0001475776633282443,0.0
0.17,11.820246594283063,10.875515112407966,1.2540399664797777,2.3042382933089836,0.44172174021124,49.55827825978877,0.0,24.796809891450195,0.011463486608859711,3.806657846529391,0.1914709443219927,8.898507533345965e-05,0.001615531529670784,49.99821777592671,9.446058110042193e-07,0.0001657479378011376,0.0
0.18,11.311275949199903,11.273693078098441,1.1327701243174153,2.415030972701667,0.4521989029809191,49.5478010970191,0.0,24.786092461332572,0.01212988733505716,3.7965167630177223,0.2014924858349434,9.917924767498372e-05,0.0017055856499171077,49.99810842810034,1.1154898012007965e-06,0.0001848707599409446,0.0
0.19,10.824297680691249,11.659441740029534,1.0222434434916763,2.5162605792792285,0.46149597722909635,49.538504022770915,0.0,24.775501313198426,0.012795487303766683,3.7865016822580673,0.21138710157719998,0.00010986225901648652,0.0017951182441325567,49.99799864609428,1.3051448411283762e-06,0.00020493051674284443,0.0
0.2,10.35836193477686,12.033401816781202,0.9220422811999933,2.608236248441945,0.46972147035806233,49.53027852964195,0.0,24.765034833681145,0.01346029799918467,3.7766109976803803,0.22115641689001347,0.00012102521492174249,0.001884133999956522,49.997888439785314,1.5144093300436745e-06,0.00022591180539765072,0.0
0.21,9.912559885618286,12.396070242705525,0.8316513485616828,2.691369871676197,0.47697877976212166,49.52302122023789,0.0,24.754691430663218,0.01412433070881041,3.766843123820883,0.2308020357019297,0.00013265939264629846,0.0019726375511526333,49.99777781891546,1.7441028792248372e-06,0.0002477994305091356,0.0
0.22,9.486021954209543,12.74783040555592,0.7504869438992778,2.766147640234544,0.48336541586617937,49.51663458413383,0.0,24.744469532981483,0.014787596526979552,3.7571964960301805,0.24032554082568405,0.0001447562378102897,0.0020606334782930806,49.99766679309367,1.9950266824204138e-06,0.0002705784013495331,0.0
0.23,9.07791610639096,13.088978231282288,0.6779218458107591,2.8331056623267585,0.4889724918624841,49.51102750813752,0.0,24.734367590136873,0.015450106358331436,3.747669570185779,0.24972849425061858,0.0001573073611365929,0.002148126309433668,49.99755537179753,2.267963879102716e-06,0.00029423392915265567,0.0
0.24,8.68744622641037,13.419744400210671,0.6133061888542688,2.892809373378967,0.4938844377667657,49.50611556223325,0.0,24.724384072008476,0.016111870921211625,3.738260822408915,0.25901243743069713,0.00017030453525297524,0.0022351205207797324,49.99744356437486,2.563679910666517e-06,0.00031875142444407205,0.0
0.25,8.313850562448355,13.740312985984101,0.5559846478313012,2.9458364515675513,0.49817890060114867,49.50182109939886,0.0,24.71451746857195,0.016772900751010875,3.7289687487856287,0.26817889156819374,0.00018373969155692786,0.0023216205373430615,49.99733138004538,2.8829228697111826e-06,0.00034411649440779893,0.0
0.26,7.956400240702146,14.050836841845973,0.5053102871471115,2.992762917451889,0.501926795401001,49.498073204599,0.0,24.70476628962215,0.017433206203441878,3.7197918650920094,0.2772293578931272,0.0001976049171419019,0.0024076307335899414,49.99721882790228,3.226423842541481e-06,0.00037031494028896925,0.0
0.27,7.614397844787589,14.351450056741665,0.46065542615656324,3.0341520984707526,0.5051924753726854,49.49480752462732,0.0,24.695129064499863,0.018092797457754942,3.710728706523546,0.28616531793851313,0.00021189245178369122,0.0024931554340804655,49.997105916913846,3.594897245019747e-06,0.0003973327548319508,0.0
0.28,7.2871760574164295,14.642277810727157,0.4214198744329927,3.070546131856421,0.5080339937105871,49.49196600628942,0.0,24.6856043418227,0.0187516845198939,3.7017778274285047,0.2949882338115052,0.00022659468498573894,0.0025781989140992354,49.996992655925,3.9890411518989825e-06,0.00042515611975339556,0.0
0.29,6.974096361444511,14.923443944015897,0.38703687250477314,3.102459694539599,0.5105034329556294,49.48949656704438,0.0,24.676190689219954,0.019409877225593335,3.692937801045278,0.3036995484604929,0.00024170415308216693,0.0026627654002775647,49.99687905365886,4.409537619764157e-06,0.00045377140324970804,0.0
0.3,6.674547797521066,15.195076552868711,0.35697707017076463,3.1303756496102304,0.5126472802190064,49.487352719781,0.0,24.66688669307141,0.02006738524341838,3.6842072192436284,0.31230068593822485,0.0002572135363973533,0.0027468590712073347,49.99676511871825,4.8570530037066825e-06,0.00048316515753843187,0.0
0.31,6.38794577575742,15.457311908140094,0.33075085277691363,3.1547423161024937,0.5145068311205938,49.485493168879415,0.0,24.657690958250065,0.020724218077748113,3.6755846922697684,0.32079305166102345,0.0002731156564609121,0.0028304840580465913,49.996650859587255,5.3322382678538486e-06,0.0005133241164330578,0.0
0.32,6.113730938943731,15.71029697384206,0.3079093052464667,3.175972087214217,0.5161186075393176,49.483881392460695,0.0,24.648602107868616,0.021380385071703773,3.6670688484952096,0.3291780326641558,0.0002894034732769536,0.0029136444451170296,49.99653628463265,5.835729289873022e-06,0.0005442351929507696,0.0
0.33,5.851368074972886,15.95419078168111,0.2880440795460602,3.1944411433460127,0.5175147771079285,49.48248522289208,0.0,24.639618783029785,0.02203589541002279,3.658658334169322,0.33745699785342576,0.0003060700826465255,0.0029963442704934737,49.9964214021054,6.368147159567971e-06,0.0005758854769526486,0.0
0.34,5.600345076284436,16.189164889350184,0.2707864001609218,3.210490034365386,0.5187235654736932,49.481276434526315,0.0,24.630739642580235,0.022690758121879723,3.650351813175537,0.3456312982530479,0.00032310871354216623,0.0030785875265854586,49.99630622014213,6.93009847168169e-06,0.0006082622328158656,0.0
0.35000000000000003,5.360171944168541,16.41540313774728,0.25580542911701615,3.224424918084185,0.5197696527987997,49.48023034720121,0.0,24.621963362868186,0.023344982083655173,3.642147966791138,0.3537022672498672,0.0003405127255335083,0.0031603781607110444,49.996190746766544,7.522175613019524e-06,0.0006413528971373969,0.0
0.36,5.130379836017171,16.633100873777032,0.2428061589221904,3.2365192902058064,0.5206745508720046,49.479325449128005,0.0,24.613288637504578,0.023998576021653607,3.6340454934505786,0.3616712208339826,0.0003582756062629172,0.00324172007566296,49.99607498989083,8.144957044001496e-06,0.0006751450764688102,0.0
0.37,4.910520153572198,16.84246380251071,0.23152700020343608,3.247016043917099,0.5214569558794664,49.47854304412054,0.0,24.604714177127757,0.024651548514771218,3.6260431085122713,0.3695394578358351,0.000376390968970152,0.003322617130267197,49.99595895731708,8.799007574753072e-06,0.0007096265450816712,0.0
0.38,4.700163670400798,17.043706593637957,0.22173718891011515,3.2561297359612507,0.5221330751286355,49.47786692487138,0.0,24.596238709171594,0.02530390799711461,3.6181395440287845,0.3773082601598171,0.0003948525500650639,0.003403073139934156,49.995842656738674,9.484878635839818e-06,0.000744785242763129,0.0
0.39,4.498899696884205,17.23705134727033,0.21323411757906036,3.264048955845473,0.5227169265754682,49.477283073424545,0.0,24.58786097763702,0.025955662760571478,3.6103335485204036,0.3849788930144617,0.00041365420674737384,0.0034830918772024494,49.995726095741624,1.0203108543749993e-05,0.0007806092726412477,0.0
0.4,4.306335281091105,17.422726004274804,0.20584067446263843,3.270938714634102,0.5232206109032614,49.476779389096755,0.0,24.579579742866915,0.026606820957334004,3.602623886751985,0.3925526051392656,0.0004327899146725827,0.0035626770722754783,49.99560928180593,1.0954222761226864e-05,0.0008170868990396562,0.0
0.41000000000000003,4.122094443986554,17.600962767749433,0.19940265510541316,3.2769427882640243,0.5236545566305637,49.47634544336945,0.0,24.571393781324232,0.027257390602376058,3.59500933951307,0.4000306290282024,0.00045225376566309424,0.0036418324135508704,49.99549222230694,1.1738734152550505e-05,0.0008542065453610948,0.0
0.42,3.9458174474994703,17.771996581914713,0.19378628996598696,3.2821859705858265,0.5240277394481877,49.47597226055183,0.0,24.563301885373427,0.027907379575884978,3.5874887034011813,0.4074141811499789,0.0004720399654636476,0.0037205615481428916,49.99537492451663,1.2557143233866887e-05,0.0008919567919994469,0.0
0.43,3.7771600940365153,17.9360637057574,0.18887592271500292,3.2867762002060976,0.5243478770789003,49.47565212292112,0.0,24.555302863065013,0.028556795625648876,3.5800607906082753,0.4147044621650877,0.0004921428315401768,0.003798868082397929,49.99525739560491,1.340993841866013e-05,0.0009303263742798475,0.0
0.44,3.615793056095848,18.09340040386116,0.18457185857085742,3.290806540043008,0.5246216013861357,49.47537839861388,0.0,24.54739553792327,0.029205646369400255,3.5727244287102824,0.4219026571397079,0.000512556790921231,0.003876755582403139,49.995139642640915,1.4297596258461806e-05,0.0009693041804264662,0.0
0.45,3.4614012346943195,18.24424176733609,0.18078839244410227,3.294356997969607,0.5248546095862919,49.47514539041372,0.0,24.539578748737046,0.029853939297116872,3.5654784604596896,0.42900993575650426,0.0005332763780811129,0.003954227574488364,49.99502167259428,1.522058167888948e-05,0.001008879249557573,0.0
0.46,3.313683145366576,18.388820673189663,0.177452022182048,3.297496181443779,0.525051796374175,49.474948203625836,0.0,24.531851349353545,0.030501681773280585,3.5583217435811205,0.4360274525223755,0.0005542962328638991,0.0040312875457214105,49.99490349233636,1.6179348211105077e-05,0.0010490407697074952,0.0
0.47000000000000003,3.1723503305676624,18.527366880096327,0.1744998417615094,3.30028278933603,0.5252173689024622,49.474782631097554,0.0,24.524212208475145,0.031148881039095033,3.551253150569861,0.44295634697320113,0.0005756110984475368,0.0041079389443967815,49.994785108641516,1.7174338218781488e-05,0.001089778075875084,0.0
0.48,3.0371267973737632,18.660106257390545,0.1718781083971142,3.30276694523571,0.5253549463671777,49.474645053632834,0.0,24.516660209459122,0.03179554421466291,3.5442715684932837,0.44979774387563237,0.0005972158193472386,0.004184185180517952,49.99466652818827,1.8205983120662227e-05,0.0011310806480983226,0.0
0.49,2.907748479424476,18.787260140747467,0.16954097430607468,3.304991379828076,0.5254676458658513,49.47453235413416,0.0,24.509194250120263,0.032441678301123565,3.5373758987951316,0.4565527534259745,0.0006191053394574163,0.004260029626273285,49.99454775756057,1.9274703608797384e-05,0.0011729381095547137,0.0
0.5,2.7839627218618714,18.909044806730645,0.1674493721579088,3.306992471407503,0.5255581564345901,49.47444184356542,0.0,24.501813242536333,0.0330872901827519,3.5305650571025975,0.4632224714462161,0.0006412747001312459,0.004335475616505685,49.994428803248944,2.03809098625551e-05,0.0012153402246870126,0.0
0.51,2.6655277885894373,19.0256710526854,0.16557003888149657,3.3088011587251787,0.5256288023933265,49.474371197606686,0.0,24.49451611285632,0.033732386629018986,3.5238379730361777,0.4698079795772365,0.000663719038297331,0.004410526449176053,49.99430967165171,2.152500175846733e-05,0.0012582768973540472,0.0
0.52,2.552212390735256,19.137343873993725,0.16387466723871788,3.310443735271035,0.5256815974902489,49.474318402509766,0.0,24.487301801111432,0.03437697429661529,3.51719359002224,0.47631034546924467,0.0006864335846126263,0.004485185385820651,49.994190369076094,2.2707369076001983e-05,0.0013017381690062172,0.0
0.53,2.443795235415889,19.24426222690193,0.1623391712224207,3.311942537682198,0.5257182910953829,49.47428170890463,0.0,24.480169261028824,0.03502105973143733,3.5106308651082707,0.4827306229694916,0.0007094136616509053,0.004559455652002455,49.99407090173941,2.3928391699340005e-05,0.0013457142168853292,0.0
0.54,2.340064593978218,19.346618866612655,0.16094305311985369,3.313316539409144,0.525740407471004,49.474259592529016,0.0,24.473117459847963,0.03566464937053814,3.5041487687807553,0.4890698523072985,0.0007326546821261118,0.004633340437756581,49.99395127577018,2.5188439815230405e-05,0.0013901953522484378,0.0
0.55,2.2408178887445116,19.444600248530293,0.1596688580003908,3.3145818627252113,0.5257492792743989,49.47425072072562,0.0,24.466145378139622,0.03630774954404268,3.4977462847856486,0.4953290602764494,0.0007561521471497938,0.004706842898029868,49.99383149720924,2.6487874107011442e-05,0.0014351720186153007,0.0
0.56,2.1458612977577505,19.538386488183903,0.1585017102324262,3.3157522140583606,0.5257460757092147,49.47425392429081,0.0,24.459252009627477,0.036950366477028304,3.491422409951403,0.5015092604149758,0.0007799016445221857,0.004779966153114687,49.993711572010895,2.7827045944846008e-05,0.0014806347900392332,0.0
0.5700000000000001,2.0550093764466264,19.62815136580737,0.1574289157029521,3.316839257746016,0.5257318265510337,49.47426817344898,0.0,24.452436361012197,0.03759250629137149,3.4851761540145056,0.5076114531823877,0.0008038988470560352,0.004852713289077083,49.99359150604394,2.920629757227115e-05,0.0015265743694009098,0.0
0.58,1.96808469566004,19.714062370979423,0.1564396242272193,3.3178529333605513,0.5257074424122308,49.47429255758779,0.0,24.44569745179809,0.038234175007561017,3.479006539447487,0.5136366261343862,0.0008281395109326706,0.004925087358179303,49.9934713050928,3.062596228911741e-05,0.0015729815867248627,0.0
0.59,1.8849174953215897,19.79628077998937,0.15552454345314887,3.3188017246890524,0.5256737318577999,49.47432626814222,0.0,24.43903431412217,0.03887537854647861,3.472912601289368,0.5195857540950953,0.0008526194740896447,0.0049970913792968,49.993350974858544,3.208636463087196e-05,0.0016198473975183416,0.0
0.6,1.805345353026918,19.874961759534973,0.15467569669042214,3.319692887438123,0.5256314158714565,49.47436858412856,0.0,24.43244599258567,0.039516122731147275,3.4668933869784997,0.5254597993268535,0.0008773346546393294,0.005068728338329793,49.99323052095998,3.3587820544554085e-05,0.0016671628811322163,0.0
0.61,1.729212866954194,19.950254491059898,0.15388621791967597,3.3205326419859174,0.5255811400944082,49.47441885990561,0.0,24.425931544087913,0.040156413288448295,3.460947956187764,0.5312597116976032,0.0009022810493178747,0.005140001188609446,49.99310994893468,3.513063756116939e-05,0.0017149192391436269,0.0
0.62,1.6563713524538544,20.0223023119285,0.15315017922245003,3.321326335617654,0.5255234851598971,49.47447651484012,0.0,24.419490037662577,0.04079625585080713,3.4550753806621004,0.5369864288459111,0.0009274547319639649,0.005210912851298743,49.99298926423997,3.6715114964804485e-05,0.0017631077937601072,0.0
0.63,1.5866785518887558,20.091242869999526,0.15246244652779367,3.3220785781117277,0.52545897536048,49.474541024639535,0.0,24.413120554316254,0.041435655957848955,3.4492747440583296,0.5426408763436505,0.0009528518520269064,0.005281466215788122,49.992868472254,3.834154395841518e-05,0.0018117199862449239,0.0
0.64,1.5199983570143452,20.157208285933688,0.15181855688371604,3.3227933570519776,0.5253880860643079,49.47461191393571,0.0,24.4068221868693,0.04207461905802407,3.4435451417872502,0.5482239678563691,0.0009784686331035808,0.005351664140085895,49.99274757827672,4.0010207826359195e-05,0.0018607473753634758,0.0
0.65,1.4562005422633786,20.22032532175157,0.15121461393081925,3.323474135985062,0.5253112500841204,49.4746887499159,0.0,24.40059403979873,0.04271315051020685,3.437885680857745,0.5537366053016061,0.0010043013715008721,0.005421509451204062,49.99262658753085,4.172138209405426e-05,0.0019101816358483628,0.0
0.66,1.3951605108151806,20.28071555538358,0.15064720329711176,3.32412393380125,0.5252288629016404,49.47477113709838,0.0,24.394435229083555,0.043351255585263024,3.432295479723296,0.5591796790047646,0.0010303464348284197,0.005491004945538597,49.99250550516289,4.347533468421418e-05,0.0019600145568867515,0.0
0.67,1.3367590525578859,20.338495557411793,0.15011332293947074,3.324745390030329,0.5251412870302021,49.47485871296981,0.0,24.38834488205247,0.043988939467586516,3.426773668130827,0.5645540678526071,0.001056600260620681,0.0055601533892443876,49.99238433624406,4.5272326069779565e-05,0.0020102380406294544,0.0
0.68,1.280882110168022,20.393777065099695,0.14961031923942164,3.325340824732293,0.5250488560282877,49.47495114397172,0.0,24.382322137233206,0.04462620725661431,3.4213193869712297,0.5698606394450427,0.0010830593549798944,0.0056289575186062825,49.99226308577125,4.711260942448841e-05,0.002060844100715659,0.0
0.6900000000000001,1.2274205563441916,20.446667157628415,0.1491358362008723,3.325912286027402,0.5249518777717279,49.47504812222829,0.0,24.376366144204233,0.045263063968311826,3.4159317881321565,0.5751002502446005,0.0011097202912473964,0.00569742004040491,49.992141758668005,4.899643077024631e-05,0.002111824860818838,0.0
0.7000000000000001,1.1762699814522497,20.49726842972714,0.1486877739847366,3.3264615888206173,0.5248506371946482,49.47514936280536,0.0,24.37047606344867,0.0458995145366295,3.4106100343530397,0.5802737457236442,0.0011365797087024656,0.0057655436322773725,49.992020359785386,5.092402912138893e-05,0.0021631725532134023,0.0
0.71,1.1273304887856948,20.545679161992897,0.14826425202367363,3.326990349221416,0.5247453987549121,49.4752546012451,0.0,24.36465106620992,0.046535563814937404,3.405353299081799,0.5853819605098597,0.0011636343112820678,0.005833330943074005,49.99189889390294,5.2895636626585664e-05,0.0022148795173572208,0.0
0.72,1.0805064993436992,20.59199348795171,0.1478635787760063,3.3275000127045957,0.5246364085193997,49.47536359148061,0.0,24.358890334349457,0.04717121657743253,3.400160766333694,0.5904257185295656,0.0011908808663268866,0.005900784593210175,49.99177736572958,5.491147870776993e-05,0.002266938198494201,0.0
0.73,1.035706565256554,20.636301558067906,0.147484227423566,3.3279918766755467,0.5245238959008889,49.47547610409912,0.0,24.35319306020659,0.0478064775205209,3.395031630552108,0.5954058331490545,0.001218316203351179,0.005967907175013609,49.99165577990451,5.6971774196380866e-05,0.0023193411462749747,0.0
0.74,0.9928431938699581,20.67868969599155,0.14712481466773839,3.328467110138494,0.5244080751937691,49.475591924806245,0.0,24.347558446460887,0.048441351264165884,3.3899650964720003,0.6003231073132196,0.0012459372128450178,0.006034701253065503,49.99153414099806,5.907673546595438e-05,0.0023720810134026833,0.0
0.75,0.9518326724384871,20.719240554784665,0.14678408014476776,3.3289267727768515,0.5242891470783825,49.47571085292163,0.0,24.34198570599482,0.04907584235323437,3.3849603789835245,0.6051783336840099,0.0012737408450784746,0.006101169364541237,49.99141245351261,6.12265685644864e-05,0.00242515055428037,0.0
0.76,0.9125949072284644,20.75803326494154,0.14646087244191594,3.3293718278299984,0.5241672997280874,49.47583270027192,0.0,24.336474061759873,0.049709955258798295,3.380016702999141,0.609972294775333,0.0013017241089482968,0.006167314019542964,49.991290721883416,6.342147334199842e-05,0.0024785426236911892,0.0
0.77,0.8750532681512265,20.795143578614002,0.1461541369496921,3.329803153234776,0.5240427098155334,49.475957290184475,0.0,24.331022746644315,0.05034369437941646,3.3751333033223165,0.6147057630863404,0.0013298840708434706,0.0062331377014284844,49.99116895047949,6.566164357597084e-05,0.0025322501754936754,0.0
0.78,0.8391344353587126,20.830644011486353,0.1458629033225041,3.33022155315494,0.5239155435225576,49.47608445647745,0.0,24.325631003341453,0.05097706404240959,3.3703094245167384,0.6193795012341865,0.0013582178535169933,0.0062986428671389025,49.99104714360443,6.794726709607391e-05,0.002586266261321886,0.0
0.79,0.8047682599784765,20.86460397420795,0.14558627688841347,3.3306277658135794,0.5237859572980091,49.476214042702004,0.0,24.320298084221733,0.05161006850508778,3.365544320779318,0.6239942620829352,0.0013867226350030531,0.006363831947517436,49.99092530549724,7.027852590376956e-05,0.0026405840293213093,0.0
0.8,0.7718876255456655,20.89708990309942,0.14532343002305018,3.331022471354918,0.5236540986220335,49.47634590137798,0.0,24.31502325120521,0.052242711955973374,3.3608372558135735,0.6285507888720796,0.0014153956475384095,0.0064287073476273155,49.99080344033318,7.265559629143863e-05,0.002695196722888455,0.0
0.81,0.740428315246337,20.928165386345658,0.14507359491456362,3.3314062984080115,0.5235201066774267,49.47647989332259,0.0,24.309805775635645,0.052874998516003885,3.356187502704598,0.6330498153434472,0.0014442341765027462,0.006493271447065959,49.99068155222454,7.507864895936489e-05,0.0027500976794254373,0.0
0.8200000000000001,0.7103288900199928,20.95789128128927,0.14483605842739003,3.331779828690741,0.5233841128818707,49.47661588711814,0.0,24.304644938157843,0.05350693223969444,3.3515943437972804,0.6374920658647957,0.0014732355593973867,0.006557526600271524,49.99055964522147,7.754784912838602e-05,0.002805280329125443,0.0
0.8300000000000001,0.6815305659305597,20.98632583158402,0.14461015604713615,3.3321436024854267,0.5232462414674388,49.476753758532574,0.0,24.29954002859496,0.05413851711630133,3.3470570705744476,0.6418782555534885,0.0015023971848228445,0.006621475136829606,49.99043772331275,8.006335665267596e-05,0.002860738193757516,0.0
0.84,0.6539770992148353,21.01352477813548,0.14439526739304093,3.33249812264969,0.5231066099572707,49.47689339004274,0.0,24.294490345828113,0.05476975707095701,3.3425749835373093,0.6462090903978287,0.0015317164914834987,0.006685119361774541,49.990315790426614,8.26253261294632e-05,0.0029164648854731897,0.0
0.85,0.6276146789987294,21.039541463170277,0.14419081259185418,3.332843857831004,0.5229653295771436,49.47703467042287,0.0,24.28949519767857,0.05540065596577353,3.3381473920884708,0.6504852673757776,0.0015611909672221017,0.006748461555884626,49.99019385043146,8.523390700538116e-05,0.0029724541056376456,0.0
0.86,0.6023918193936891,21.06442693467413,0.14399624838533578,3.3331812459321877,0.5228225056824782,49.47717749431753,0.0,24.284553900789856,0.05603121760094728,3.333773614414838,0.6547074745737871,0.001590818148052821,0.006811503975977603,49.99007190713667,8.788924368298296e-05,0.003028699643659845,0.0
0.87,0.5782592599801781,21.08823004337204,0.1438110652422403,3.3335106966477914,0.5226782381099699,49.47732176189004,0.0,24.279665780512648,0.05666144571582983,3.329452977373289,0.6588763913028102,0.0016205956172265128,0.006874248855199577,49.98994996429332,9.05914756236172e-05,0.0030851953758491103,0.0
0.88,0.5551698708026227,21.110997535319033,0.14363478461203702,3.333832593878354,0.5225326215096102,49.4774673784904,0.0,24.2748301707914,0.05729134398997785,3.325184816378078,0.6629926882125585,0.0016505210043156018,0.00693669840330986,49.98982802559494,9.334073744809042e-05,0.003141935264288226,0.0
0.89,0.5330785603592836,21.13277414175465,0.14346695645891988,3.3341472978860796,0.5223857456550022,49.47761425434501,0.0,24.270046414052153,0.05792091604418894,3.320968475289387,0.6670570274045825,0.0016805919843121337,0.006998854806963045,49.98970609467827,9.613715903584606e-05,0.00319891335571765,0.0
0.9,0.5119421860989969,21.153602666617747,0.14330715697944627,3.334455147283267,0.5222376957372882,49.477762304262725,0.0,24.265313861091236,0.05855016544152663,3.3168033063027833,0.6710700625444388,0.0017108062767361278,0.0070607202299889675,49.989584175123944,9.898086562298058e-05,0.003256123780428307,0.0
0.91,0.49171945934756844,21.173524079272173,0.14315498592517792,3.3347564613802714,0.5220885526945522,49.477911447305466,0.0,24.26063187096191,0.05917909568837042,3.312688669836609,0.675032438975954,0.0017411616447203177,0.007122296813677548,49.989462270457274,0.0001018719779029185,0.0033135607511346433,0.0
0.92,0.4723708847134126,21.19257757497014,0.14301006635238364,3.3350515403164587,0.5219383933311592,49.47806160666886,0.0,24.255999810874375,0.05980771023530552,3.308623934432657,0.6789447938219786,0.0017716558942455292,0.007183586677032046,49.989340384148875,0.00010481061211006026,0.003371218561975209,0.0
0.93,0.45385868024657366,21.210800653499494,0.14287204320645838,3.3353406662539435,0.5217872905395996,49.478212709460415,0.0,24.25141705608786,0.06043601247810723,3.3046084766489345,0.6828077560931848,0.0018022868732873287,0.00724459191704118,49.9892185196154,0.00010779688011347546,0.0034290915874370643,0.0
