t,Py,Zn,Py1,Dw,Qw2,Qw1,Rw,Mw,Px,Px1,Dz,Qz4,Qz2,Tp,Tp1,Qz1,Rz,Qz3,Qz5,Mz
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1219957905e-314,0.0,1.761256507213e-312,3.33153339182e-312,3.3951932733e-313,nan,0.0,3.09811385481e-312,2.121995833e-314,3.33153339259e-312,2.12199579116e-313,2.1219957905e-314
0.31,0.0,1.761256507227e-312,3.33153339185e-312,2.3341953778e-313,nan,0.0,3.14055377063e-312,1.93e-322,3.33153339259e-312,2.75859452845e-313,2.1219957905e-314,0.0,1.761256507237e-312,3.352753349967e-312,3.39519327335e-313,nan,0.0,3.20421364436e-312,2.121995833e-314,3.352753350506e-312
0.32,2.12199579116e-313,2.1219957905e-314,0.0,1.76125650725e-312,3.35275334977e-312,2.33419537787e-313,nan,0.0,3.246653560177e-312,1.93e-322,3.352753350506e-312,2.75859452845e-313,2.1219957905e-314,0.0,1.76125650726e-312,3.37397330788e-312,3.3951932734e-313,nan,0.0,3.310313433906e-312
0.33,2.121995833e-314,3.37397330842e-312,2.12199579116e-313,2.1219957905e-314,0.0,1.761256507277e-312,3.37397330769e-312,2.3341953779e-313,nan,0.0,3.352753349725e-312,1.93e-322,3.37397330842e-312,2.75859452845e-313,2.1219957905e-314,0.0,1.761256507287e-312,3.395193265796e-312,4.24399158984e-313,nan
0.34,0.0,3.416413223454e-312,4.2e-322,3.395193266335e-312,2.75859452845e-313,2.1219957905e-314,0.0,1.7612565073e-312,3.3951932658e-312,2.97079411526e-313,nan,0.0,3.458853139273e-312,1.93e-322,3.395193266335e-312,3.60739284484e-313,2.1219957905e-314,0.0,1.76125650731e-312,3.416413223716e-312
0.35000000000000003,4.2439915899e-313,nan,0.0,3.522513013e-312,4.2e-322,3.41641322425e-312,2.75859452845e-313,2.1219957905e-314,0.0,1.761256507326e-312,3.41641322372e-312,2.9707941153e-313,nan,0.0,3.56495292882e-312,1.93e-322,3.41641322425e-312,3.60739284484e-313,2.1219957905e-314,0.0
0.36,1.761256507336e-312,3.437633181635e-312,3.39519327355e-313,nan,0.0,3.62861280255e-312,2.121995833e-314,3.437633182164e-312,2.12199579116e-313,2.1219957905e-314,0.0,1.76125650735e-312,3.43763318143e-312,2.33419537807e-313,nan,0.0,3.67105271837e-312,1.93e-322,3.437633182164e-312,2.75859452845e-313
0.37,2.1219957905e-314,0.0,1.76125650736e-312,3.45885313955e-312,3.3951932736e-313,nan,0.0,3.7347125921e-312,2.121995833e-314,3.45885314008e-312,2.12199579116e-313,2.1219957905e-314,0.0,1.761256507376e-312,3.458853139348e-312,2.3341953781e-313,nan,0.0,3.77715250792e-312,1.93e-322
0.38,3.45885314008e-312,2.75859452845e-313,2.1219957905e-314,0.0,1.761256507386e-312,3.480073097465e-312,4.24399159003e-313,nan,0.0,3.840812381647e-312,4.2e-322,3.480073097993e-312,2.75859452845e-313,2.1219957905e-314,0.0,1.7612565074e-312,3.48007309747e-312,2.97079411545e-313,nan,0.0
0.39,3.883252297466e-312,1.93e-322,3.480073097993e-312,3.60739284484e-313,2.1219957905e-314,0.0,1.76125650741e-312,3.501293055384e-312,4.2439915901e-313,nan,0.0,3.946912171195e-312,4.2e-322,3.50129305591e-312,2.75859452845e-313,2.1219957905e-314,0.0,1.761256507425e-312,3.50129305539e-312,2.9707941155e-313
0.4,nan,0.0,3.989352087015e-312,1.93e-322,3.50129305591e-312,3.60739284484e-313,2.1219957905e-314,0.0,1.761256507435e-312,3.522513013304e-312,4.24399159013e-313,nan,0.0,4.053011960744e-312,4.2e-322,3.522513013823e-312,2.75859452845e-313,2.1219957905e-314,0.0,1.76125650745e-312
0.41000000000000003,3.52251301331e-312,2.97079411555e-313,nan,0.0,4.095451876563e-312,1.93e-322,3.522513013823e-312,3.60739284484e-313,2.1219957905e-314,0.0,1.76125650746e-312,3.543732970917e-312,3.3951932738e-313,nan,0.0,4.15911175029e-312,2.121995833e-314,3.543732971737e-312,2.12199579116e-313,2.1219957905e-314
0.42,0.0,1.761256507474e-312,3.543732970996e-312,2.3341953783e-313,nan,0.0,4.20155166611e-312,1.93e-322,3.543732971737e-312,2.75859452845e-313,2.1219957905e-314,0.0,1.761256507484e-312,3.564952929133e-312,3.39519327384e-313,nan,0.0,4.26521153984e-312,2.121995833e-314,3.56495292965e-312
0.43,2.12199579116e-313,2.1219957905e-314,0.0,1.7612565075e-312,3.564952928916e-312,2.33419537836e-313,nan,0.0,4.30765145566e-312,1.93e-322,3.56495292965e-312,2.75859452845e-313,2.1219957905e-314,0.0,1.76125650751e-312,3.586172887048e-312,4.2439915903e-313,nan,0.0,4.37131132939e-312
0.44,4.2e-322,3.586172887566e-312,2.75859452845e-313,2.1219957905e-314,0.0,1.761256507524e-312,3.58617288705e-312,2.9707941157e-313,nan,0.0,4.41375124521e-312,1.93e-322,3.586172887566e-312,3.60739284484e-313,2.1219957905e-314,0.0,1.761256507534e-312,3.607392844967e-312,3.39519327394e-313,nan
0.45,0.0,4.477411118937e-312,2.121995833e-314,3.60739284548e-312,2.12199579116e-313,2.1219957905e-314,0.0,1.76125650755e-312,3.607392844745e-312,2.33419537846e-313,nan,0.0,4.519851034756e-312,1.93e-322,3.60739284548e-312,2.75859452845e-313,2.1219957905e-314,0.0,1.76125650756e-312,3.62861280288e-312
0.46,3.6073928531e-313,nan,0.0,4.583510908485e-312,2.121995833e-314,3.628612803395e-312,2.12199579116e-313,2.1219957905e-314,0.0,1.761256507573e-312,3.628612802664e-312,2.3341953785e-313,nan,0.0,4.625950824304e-312,1.93e-322,3.628612803395e-312,2.97079410755e-313,2.1219957905e-314,0.0
0.47000000000000003,1.761256507583e-312,3.649832760505e-312,4.24399159043e-313,nan,0.0,4.689610698033e-312,4.2e-322,3.64983276131e-312,2.75859452845e-313,2.1219957905e-314,0.0,1.7612565076e-312,3.649832760796e-312,2.97079411585e-313,nan,0.0,4.732050613853e-312,1.93e-322,3.64983276131e-312,3.60739284484e-313
0.48,2.1219957905e-314,0.0,1.76125650761e-312,3.67105271871e-312,3.6073928532e-313,nan,0.0,4.79571048758e-312,2.121995833e-314,3.671052719225e-312,2.12199579116e-313,2.1219957905e-314,0.0,1.761256507623e-312,3.671052718493e-312,2.3341953786e-313,nan,0.0,4.8381504034e-312,1.93e-322
0.49,3.671052719225e-312,2.97079410755e-313,2.1219957905e-314,0.0,1.761256507633e-312,3.692272676625e-312,3.60739285324e-313,nan,0.0,4.90181027713e-312,2.121995833e-314,3.69227267714e-312,2.12199579116e-313,2.1219957905e-314,0.0,1.761256507647e-312,3.692272676413e-312,2.33419537866e-313,nan,0.0
0.5,4.94425019295e-312,1.93e-322,3.69227267714e-312,2.97079410755e-313,2.1219957905e-314,0.0,1.761256507657e-312,3.713492634293e-312,4.2439915906e-313,nan,0.0,5.00791006668e-312,4.2e-322,3.713492635054e-312,2.75859452845e-313,2.1219957905e-314,0.0,1.76125650767e-312,3.71349263454e-312,2.970794116e-313
0.51,nan,0.0,5.050349982497e-312,1.93e-322,3.713492635054e-312,3.60739284484e-313,2.1219957905e-314,0.0,1.76125650768e-312,3.734712592104e-312,3.60739285334e-313,nan,0.0,5.114009856226e-312,2.121995833e-314,3.73471259297e-312,2.12199579116e-313,2.1219957905e-314,0.0,1.761256507697e-312
0.52,3.73471259224e-312,2.33419537876e-313,nan,0.0,5.156449772046e-312,1.93e-322,3.73471259297e-312,2.97079410755e-313,2.1219957905e-314,0.0,1.761256507707e-312,3.755932550364e-312,4.2439915907e-313,nan,0.0,5.220109645775e-312,4.2e-322,3.755932550883e-312,2.75859452845e-313,2.1219957905e-314
0.53,0.0,1.76125650772e-312,3.75593255037e-312,2.9707941161e-313,nan,0.0,5.262549561594e-312,1.93e-322,3.755932550883e-312,3.60739284484e-313,2.1219957905e-314,0.0,1.76125650773e-312,3.777152508284e-312,4.24399159072e-313,nan,0.0,5.326209435323e-312,4.2e-322,3.7771525088e-312
0.54,2.75859452845e-313,2.1219957905e-314,0.0,1.761256507746e-312,3.77715250829e-312,2.97079411615e-313,nan,0.0,5.36864935114e-312,1.93e-322,3.7771525088e-312,3.60739284484e-313,2.1219957905e-314,0.0,1.931016171033e-312,3.798372465853e-312,4.24399159077e-313,nan,0.0,5.43230922487e-312
0.55,4.2e-322,3.79837246671e-312,7.42698526966e-313,2.1219957905e-314,0.0,1.76125650779e-312,3.79837246592e-312,7.6391848563e-313,nan,0.0,5.55962897233e-312,2.5e-323,3.79837246671e-312,8.06358400695e-313,2.1219957905e-314,0.0,1.80369642362e-312,3.79837246583e-312,8.7001827518e-313,nan
0.56,0.0,5.62328884606e-312,1.4853970578e-313,3.79837246671e-312,1.103437811554e-312,2.1219957905e-314,0.0,1.06099790862e-313,3.79837246583e-312,8.7001827518e-313,nan,0.0,5.665728761877e-312,4.2e-322,3.79837246671e-312,1.336857348575e-312,2.1219957905e-314,0.0,1.76125650783e-312,3.79837246587e-312
0.5700000000000001,1.3580773071e-312,nan,0.0,5.729388635606e-312,2.5e-323,3.79837246671e-312,1.400517222304e-312,2.1219957905e-314,0.0,9.54898107273e-313,3.798372465877e-312,8.7001827518e-313,nan,0.0,5.793048509335e-312,1.612716801544e-312,3.79837246671e-312,1.59149684356e-312,2.1219957905e-314,0.0
0.58,9.54898107293e-313,3.79837246588e-312,8.4879831727e-313,nan,0.0,5.856708383064e-312,4.243991608e-314,3.79837246671e-312,1.61271680123e-312,2.1219957905e-314,0.0,1.803696423694e-312,3.79837246583e-312,8.4879832523e-314,nan,0.0,5.98402813052e-312,1.633936759453e-312,3.79837246671e-312,3.39519326624e-313
0.59,2.1219957905e-314,0.0,8.27578359875e-313,3.79837246583e-312,8.4879832523e-314,nan,0.0,6.02646804634e-312,1.0609979e-313,3.819592424627e-312,5.3049894784e-313,2.1219957905e-314,0.0,1.803696423734e-312,3.819592423737e-312,5.5171890654e-313,nan,0.0,6.17500775171e-312,3.60739284874e-313
0.6,3.819592424627e-312,7.85138442835e-313,2.1219957905e-314,0.0,1.0609979099e-313,3.819592423737e-312,5.5171890654e-313,nan,0.0,6.21744766753e-312,4.2e-322,3.819592424627e-312,1.060997895685e-312,2.1219957905e-314,0.0,1.76125650796e-312,3.81959242377e-312,1.08221785428e-312,nan,0.0
0.61,6.281107541257e-312,2.5e-323,3.819592424627e-312,1.124657769414e-312,2.1219957905e-314,0.0,1.80369642379e-312,3.819592423737e-312,1.14587772801e-312,nan,0.0,6.344767414986e-312,1.90979621597e-313,3.819592424627e-312,1.379297264444e-312,2.1219957905e-314,0.0,1.0609979103e-313,3.819592423737e-312,1.14587772801e-312
0.62,nan,0.0,6.387207330805e-312,2.1219957932e-313,3.819592424627e-312,1.40051722224e-312,2.1219957905e-314,0.0,1.761256508e-312,3.819592424113e-312,1.442957138746e-312,nan,0.0,6.472087162444e-312,2.3341953723e-313,3.819592424627e-312,1.59149684342e-312,2.1219957905e-314,0.0,1.124657770723e-312
0.63,3.819592423747e-312,4.2439915908e-313,nan,0.0,6.535747036173e-312,4.2e-322,3.819592424627e-312,2.75859452845e-313,2.1219957905e-314,0.0,1.761256508043e-312,3.819592424123e-312,2.97079411624e-313,nan,0.0,6.64184682572e-312,1.93e-322,3.819592424627e-312,3.60739284484e-313,2.1219957905e-314
0.64,0.0,1.93101617133e-312,3.84081238167e-312,4.24399159087e-313,nan,0.0,6.70550669945e-312,4.2e-322,3.84081238254e-312,7.42698526966e-313,2.1219957905e-314,0.0,1.761256508087e-312,3.84081238172e-312,7.6391848564e-313,nan,0.0,6.83282644691e-312,2.5e-323,3.84081238254e-312
0.65,8.06358400695e-313,2.1219957905e-314,0.0,1.803696423916e-312,3.840812381647e-312,8.7001827519e-313,nan,0.0,6.896486320637e-312,1.4853970578e-313,3.84081238254e-312,1.103437811554e-312,2.1219957905e-314,0.0,1.0609979116e-313,3.840812381647e-312,8.7001827519e-313,nan,0.0,6.938926236456e-312
0.66,4.2e-322,3.84081238254e-312,1.336857348575e-312,2.1219957905e-314,0.0,1.761256508127e-312,3.84081238169e-312,1.35807730711e-312,nan,0.0,7.002586110185e-312,2.5e-323,3.84081238254e-312,1.400517222304e-312,2.1219957905e-314,0.0,9.5489810757e-313,3.840812381697e-312,8.7001827519e-313,nan
0.67,0.0,7.066245983914e-312,1.612716801544e-312,3.84081238254e-312,1.59149684356e-312,2.1219957905e-314,0.0,9.5489810759e-313,3.8408123817e-312,8.4879831728e-313,nan,0.0,7.129905857643e-312,4.243991608e-314,3.84081238254e-312,1.61271680123e-312,2.1219957905e-314,0.0,1.80369642399e-312,3.840812381647e-312
0.68,8.4879832533e-314,nan,0.0,7.2572256051e-312,1.35807730663e-312,3.84081238254e-312,3.39519326624e-313,2.1219957905e-314,0.0,8.2757836017e-313,3.840812381647e-312,8.4879832533e-314,nan,0.0,7.29966552092e-312,1.676376675273e-312,3.862032340456e-312,5.7293886366e-313,2.1219957905e-314,0.0
0.6900000000000001,1.80369642403e-312,3.862032339557e-312,6.1537878028e-313,nan,0.0,7.36332539465e-312,1.4853970578e-313,3.862032340456e-312,8.4879831658e-313,2.1219957905e-314,0.0,1.0609979127e-313,3.862032339557e-312,6.1537878028e-313,nan,0.0,7.40576531047e-312,4.2e-322,3.862032340456e-312,1.0822178536e-312
0.7000000000000001,2.1219957905e-314,0.0,1.761256508235e-312,3.8620323396e-312,1.1034378122e-312,nan,0.0,7.4694251842e-312,2.5e-323,3.862032340456e-312,1.14587772733e-312,2.1219957905e-314,0.0,9.5489810768e-313,3.862032339606e-312,6.1537878028e-313,nan,0.0,7.533085057927e-312,1.0609978977e-313
0.71,3.862032340456e-312,1.16709768513e-312,2.1219957905e-314,0.0,1.803696424084e-312,3.862032339557e-312,8.487983254e-314,nan,0.0,7.617964889565e-312,1.69759663318e-312,3.862032340456e-312,3.39519326624e-313,2.1219957905e-314,0.0,8.27578360255e-313,3.862032339557e-312,8.487983254e-314,nan,0.0
0.72,7.660404805385e-312,4.2e-322,3.88325229837e-312,6.1537877948e-313,2.1219957905e-314,0.0,1.761256508295e-312,3.88325229752e-312,6.36598738194e-313,nan,0.0,7.724064679114e-312,2.5e-323,3.88325229837e-312,6.7903865321e-313,2.1219957905e-314,0.0,1.803696424124e-312,3.883252297466e-312,7.2147856983e-313
0.73,nan,0.0,7.787724552843e-312,2.75859453236e-313,3.88325229837e-312,9.5489810615e-313,2.1219957905e-314,0.0,1.06099791366e-313,3.883252297466e-312,7.2147856983e-313,nan,0.0,7.83016446866e-312,4.2e-322,3.88325229837e-312,1.188317643173e-312,2.1219957905e-314,0.0,1.761256508334e-312
0.74,3.8832522975e-312,1.209537601754e-312,nan,0.0,7.89382434239e-312,2.5e-323,3.88325229837e-312,1.2519775169e-312,2.1219957905e-314,0.0,9.54898107777e-313,3.88325229749e-312,7.2147856983e-313,nan,0.0,7.95748421612e-312,2.3341953723e-313,3.88325229837e-312,1.27319747468e-312,2.1219957905e-314
0.75,0.0,1.803696424183e-312,3.883252297466e-312,8.4879832543e-314,nan,0.0,8.04236404776e-312,1.71881659109e-312,3.88325229837e-312,3.39519326624e-313,2.1219957905e-314,0.0,8.27578360354e-313,3.883252297466e-312,8.4879832543e-314,nan,0.0,8.08480396358e-312,4.2e-322,3.904472256285e-312
0.76,6.36598737393e-313,2.1219957905e-314,0.0,1.761256508393e-312,3.90447225544e-312,6.5781869611e-313,nan,0.0,8.148463837307e-312,2.5e-323,3.904472256285e-312,7.0025861112e-313,2.1219957905e-314,0.0,1.803696424223e-312,3.904472255376e-312,7.21478569837e-313,nan,0.0,8.212123711036e-312
0.77,1.4853970578e-313,3.904472256285e-312,9.5489810615e-313,2.1219957905e-314,0.0,1.06099791465e-313,3.904472255376e-312,7.21478569837e-313,nan,0.0,8.254563626855e-312,1.0609978977e-313,3.904472256285e-312,9.7611806395e-313,2.1219957905e-314,0.0,1.80369642425e-312,3.904472255376e-312,1.01855798057e-312,nan
0.78,0.0,8.339443458494e-312,2.33419537416e-313,3.904472256285e-312,1.251977516956e-312,2.1219957905e-314,0.0,1.06099791495e-313,3.904472255376e-312,1.01855798057e-312,nan,0.0,8.381883374313e-312,2.3341953723e-313,3.904472256285e-312,1.27319747468e-312,2.1219957905e-314,0.0,1.80369642428e-312,3.904472255376e-312
0.79,8.487983255e-314,nan,0.0,8.46676320595e-312,1.740036549e-312,3.904472256285e-312,3.39519326624e-313,2.1219957905e-314,0.0,8.27578360453e-313,3.904472255376e-312,8.487983255e-314,nan,0.0,8.50920312177e-312,1.060997895893e-312,3.9256922142e-312,5.7293886366e-313,2.1219957905e-314,0.0
0.8,1.76125650849e-312,3.925692213533e-312,6.15378780294e-313,nan,0.0,8.5728629955e-312,1.76125650691e-312,3.9256922142e-312,9.76118064027e-313,2.1219957905e-314,0.0,1.80369642432e-312,3.925692213286e-312,9.9733802267e-313,nan,0.0,8.61530291132e-312,6.365987414e-314,3.9256922142e-312,1.23075755904e-312
0.81,2.1219957905e-314,0.0,1.0609979156e-313,3.925692213286e-312,9.9733802267e-313,nan,0.0,8.65774282714e-312,2.3341953723e-313,3.9256922142e-312,1.25197751685e-312,2.1219957905e-314,0.0,9.5489810796e-313,3.925692213286e-312,6.15378780294e-313,nan,0.0,8.742622658777e-312,2.3341953723e-313
0.8200000000000001,3.9256922142e-312,1.27319747468e-312,2.1219957905e-314,0.0,1.803696424366e-312,3.925692213286e-312,8.4879832553e-314,nan,0.0,8.827502490416e-312,1.78247646482e-312,3.9256922142e-312,3.39519326624e-313,2.1219957905e-314,0.0,8.27578360537e-313,3.925692213286e-312,8.4879832553e-314,nan,0.0
0.8300000000000001,8.869942406235e-312,4.2e-322,3.946912172114e-312,6.1537877948e-313,2.1219957905e-314,0.0,1.761256508576e-312,3.94691217151e-312,6.3659873821e-313,nan,0.0,8.933602279964e-312,2.5e-323,3.946912172114e-312,7.00258611117e-313,2.1219957905e-314,0.0,1.761256508586e-312,3.946912171615e-312,7.21478569847e-313
0.84,nan,0.0,8.997262153693e-312,1.0609978977e-313,3.946912172114e-312,8.91238232304e-313,2.1219957905e-314,0.0,1.80369642442e-312,3.946912171195e-312,8.487983256e-314,nan,0.0,9.06092202742e-312,1.82491638064e-312,3.946912172114e-312,3.39519326624e-313,2.1219957905e-314,0.0,8.2757836059e-313
0.85,3.946912171195e-312,8.487983256e-314,nan,0.0,9.10336194324e-312,4.2e-322,3.96813213003e-312,6.1537877948e-313,2.1219957905e-314,0.0,1.76125650863e-312,3.96813212942e-312,6.36598738213e-313,nan,0.0,9.16702181697e-312,2.5e-323,3.96813213003e-312,7.00258611117e-313,2.1219957905e-314
0.86,0.0,1.76125650864e-312,3.968132129535e-312,7.2147856985e-313,nan,0.0,9.2306816907e-312,1.0609978977e-313,3.96813213003e-312,8.70018274395e-313,2.1219957905e-314,0.0,1.803696424475e-312,3.968132129105e-312,8.4879832563e-314,nan,0.0,9.29434156443e-312,1.86735629646e-312,3.96813213003e-312
0.87,3.39519326624e-313,2.1219957905e-314,0.0,8.27578360645e-313,3.968132129105e-312,8.4879832563e-314,nan,0.0,9.336781480247e-312,4.2e-322,3.989352087944e-312,6.1537877948e-313,2.1219957905e-314,0.0,1.761256508685e-312,3.98935208733e-312,6.3659873822e-313,nan,0.0,9.400441353976e-312
0.88,2.5e-323,3.989352087944e-312,7.00258611117e-313,2.1219957905e-314,0.0,1.761256508695e-312,3.989352087454e-312,7.21478569857e-313,nan,0.0,9.464101227705e-312,1.0609978977e-313,3.989352087944e-312,8.70018274395e-313,2.1219957905e-314,0.0,1.80369642453e-312,3.989352087015e-312,8.4879832567e-314,nan
0.89,0.0,9.527761101434e-312,1.90979621228e-312,3.989352087944e-312,3.39519326624e-313,2.1219957905e-314,0.0,8.275783607e-313,3.989352087015e-312,8.4879832567e-314,nan,0.0,9.570201017253e-312,4.2e-322,4.01057204586e-312,6.1537877948e-313,2.1219957905e-314,0.0,1.76125650874e-312,4.01057204524e-312
0.9,6.36598738223e-313,nan,0.0,9.63386089098e-312,2.5e-323,4.01057204586e-312,7.00258611117e-313,2.1219957905e-314,0.0,1.76125650875e-312,4.010572045374e-312,7.2147856986e-313,nan,0.0,9.69752076471e-312,1.0609978977e-313,4.01057204586e-312,8.70018274395e-313,2.1219957905e-314,0.0
0.91,1.803696424583e-312,4.010572044924e-312,8.487983257e-314,nan,0.0,9.76118063844e-312,1.9522361281e-312,4.01057204586e-312,3.39519326624e-313,2.1219957905e-314,0.0,8.27578360754e-313,4.010572044924e-312,8.487983257e-314,nan,0.0,9.80362055426e-312,4.2e-322,4.031792003773e-312,6.1537877948e-313
0.92,2.1219957905e-314,0.0,1.761256508794e-312,4.03179200324e-312,6.3659873823e-313,nan,0.0,9.86728042799e-312,2.5e-323,4.031792003773e-312,7.00258611117e-313,2.1219957905e-314,0.0,1.93101617208e-312,4.03179200287e-312,7.21478569867e-313,nan,0.0,9.930940301717e-312,4.2e-322
0.93,4.031792003773e-312,9.9733802194e-313,2.1219957905e-314,0.0,1.76125650884e-312,4.03179200296e-312,1.0185579806e-312,nan,0.0,1.0058260049175e-311,2.5e-323,4.031792003773e-312,1.08221785358e-312,2.1219957905e-314,0.0,1.803696424667e-312,4.031792002834e-312,1.10343781224e-312,nan,0.0
0.9400000000000001,1.0121919922904e-311,7.6391848516e-313,4.031792003773e-312,1.358077306524e-312,2.1219957905e-314,0.0,1.0609979191e-313,4.031792002834e-312,1.10343781224e-312,nan,0.0,1.0164359838724e-311,2.3341953723e-313,4.031792003773e-312,1.379297264315e-312,2.1219957905e-314,0.0,1.12465777159e-312,4.03179200284e-312,7.21478569867e-313
0.9500000000000001,nan,0.0,1.024923967036e-311,1.0609978977e-313,4.031792003773e-312,1.400517222136e-312,2.1219957905e-314,0.0,1.803696424727e-312,4.031792002834e-312,8.4879832577e-314,nan,0.0,1.037655941782e-311,1.97345608601e-312,4.031792003773e-312,3.39519326624e-313,2.1219957905e-314,0.0,8.27578360897e-313
0.96,4.031792002834e-312,8.4879832577e-314,nan,0.0,1.041899933364e-311,4.2e-322,4.053011961687e-312,6.1537877948e-313,2.1219957905e-314,0.0,1.761256508937e-312,4.05301196115e-312,6.36598738233e-313,nan,0.0,1.048265920737e-311,2.5e-323,4.053011961687e-312,7.00258611117e-313,2.1219957905e-314
