t,ATbl,ADbl,CT_A,CD_A,ATl,ADl,ATif,ATst,ATp,ADp,CT_R,CD_R,CDT,CDD,CTT,CDD5a,CDDcd,CDDsec,CDDcp,CDT5a,CDTcd,CDTsec,CDTcp,CTT5a,CTTcd,CTTsec,CTTcp,ATb,ADb,ALH,AR,VPC1,VPL1
0.1,0.010943996341544703,-0.007817067621243911,6.970265741965174,0.5503246638067218,0.11789805957284227,-0.0041626050737468365,0.4953649499447916,0.0,-0.039032705775651544,-0.04911296421484387,0.0837611778441787,0.131482730818982,4.7717579964770684e-05,7.481465847758e-05,3.0434803887202482e-05,1.9923119851739685e-08,1.991105677029853e-08,1.9870934063994165e-08,1.9672323125846034e-08,1.2592162477724924e-08,1.2531746729955733e-08,1.2333811112181162e-08,1.1418340665697392e-08,7.992624262911614e-09,7.935401616816857e-09,7.749515716082568e-09,6.92106751226015e-09,0.0014591048198247163,0.0038488731460141483,0.00015994912689258387,9.501156850665683e-05,0.0,0.0
0.11,0.012072819355578085,-0.008596697040740396,6.970265741965171,0.5503246638067203,0.11927277054021919,-0.004191292968421956,0.5449012542931176,0.0,-0.042921157839457436,-0.05400904833511392,0.09207157485995093,0.14459996611688222,6.299557353314169e-05,9.880658803168502e-05,4.016378464501986e-05,2.8983465060838487e-08,2.8964144284161144e-08,2.8899896042661765e-08,2.8582181534871593e-08,1.8294852442366552e-08,1.8198305600457074e-08,1.7882540564030532e-08,1.643311519738396e-08,1.1602206767421106e-08,1.151088940597734e-08,1.1215005011038522e-08,9.910712519936169e-09,0.00156981786714416,0.00423032719693579,0.00017526111760098097,9.617136173937366e-05,0.0,0.0
0.12,0.013201467548524564,-0.009376573722790979,6.97026574196519,0.5503246638067296,0.12027127261233928,-0.0042107943393033306,0.5944375586414437,0.0,-0.04680692249446457,-0.05890237260511801,0.1003700573397863,0.15771152939623806,8.1122856849771e-05,0.00012728789961157435,5.1701114105218064e-05,4.078841078190839e-08,4.075872301827313e-08,4.066002265576049e-08,4.017242998257445e-08,2.5712853003480723e-08,2.556483591153752e-08,2.5081565145444057e-08,2.2879901664621472e-08,1.6292368649926044e-08,1.6152563064936208e-08,1.5700722403201775e-08,1.3730513760871753e-08,0.0016805309144636,0.004611781247857432,0.00019045110106339944,9.733119078067307e-05,0.0,0.0
0.13,0.01432994102923394,-0.010156697791457281,6.970265741965471,0.5503246638068717,0.12099651814214966,-0.004224050799872298,0.6439738629897696,0.0,-0.050690000908573715,-0.06379293795984549,0.10865663735031117,0.17081742001518946,0.00010230833154868684,0.00016059178815607507,6.517774206566189e-05,5.582483864372141e-08,5.578078261528751e-08,5.563434552105213e-08,5.491165572990256e-08,3.5145933821290753e-08,3.4926774506015147e-08,3.4212456158837156e-08,3.098249068547032e-08,2.2250049654294398e-08,2.2043335680178116e-08,2.1376951609357627e-08,1.850243362449289e-08,0.0017912439617830565,0.004993235298779083,0.00020552004944396511,9.849112837650223e-05,0.0,0.0
0.14,0.015458239896581686,-0.010937069386988128,6.970265741967596,0.5503246638079405,0.12152328689736559,-0.004233062087104705,0.6935101673380955,0.0,-0.054570394097077694,-0.06868074517546487,0.11693132659713443,0.18391763711527714,0.0001267536247216816,0.000199040565839128,8.07197701148665e-05,7.461368697161288e-08,7.45502191885531e-08,7.433930612544756e-08,7.329946624387555e-08,4.691367966486593e-08,4.659866739904317e-08,4.557369285476173e-08,4.0973439089742e-08,2.9674062125057048e-08,2.9377350544652612e-08,2.8423269749489975e-08,2.435154678082065e-08,0.001901957009102604,0.00537468934970079,0.00022046892716051617,9.965124473776995e-05,0.0,0.0
0.15,0.01658636423982424,-0.01171768866528303,6.9702657419776655,0.550324663813013,0.12190590035757352,-0.004239187882393113,0.7430464716864212,0.0,-0.058448102928014306,-0.07356579487485784,0.125194136437667,0.19701217962866613,0.0001546533143501655,0.00024294599748717448,9.844860317625108e-05,9.770880174853209e-08,9.761967639864392e-08,9.732356461594904e-08,9.586515122728788e-08,6.135462954274842e-08,6.091326820215377e-08,5.9479647740492254e-08,5.309286090434514e-08,3.8774492484507364e-08,3.8359348888560304e-08,3.702783162604564e-08,3.1405308625979154e-08,0.0020126700564225527,0.005756143400622747,0.00023529869094632394,0.00010081160761993739,0.0,0.0
0.16,0.017714314138940552,-0.012498555797373991,6.970265742063234,0.5503246638556384,0.12218380441301016,-0.004243351989643918,0.7925827760347472,0.0,-0.062323128127353536,-0.07844808753298214,0.13344507789352278,0.21010104628513598,0.00018619514769608814,0.000292609625545969,0.00011848109630631349,1.2569582318928074e-07,1.2557342249635398e-07,1.2516684577538091e-07,1.231663887708595e-07,7.882544401575942e-08,7.822066709719815e-08,7.62596113396397e-08,6.758730747760343e-08,4.977212342412021e-08,4.920406085185792e-08,4.738668665782958e-08,3.9792898244537087e-08,0.0021233831037463144,0.006137597451547049,0.00025001028991126844,0.00010197228240947695,0.0,0.0
0.17,0.01884208966498491,-0.013279670968909632,6.970265741978392,0.5503246638130991,0.12238565647145802,-0.004246182685841242,0.8421190803830734,0.0,-0.0661954702840274,-0.08332762348207173,0.14168416166262005,0.22318423561890283,0.0002215602530199967,0.0003483230851419377,0.00014092969699537532,1.5919110605439174e-07,1.590262614405573e-07,1.5847882022859594e-07,1.557879932987559e-07,9.970009920282596e-08,9.888744873579692e-08,9.625685420994373e-08,8.470872926904005e-08,6.289787570399332e-08,6.213561843553284e-08,5.970312651120038e-08,4.9644627804391346e-08,0.0022340961510614716,0.006519051502466038,0.00026460466560293566,0.00010313333213475173,0.0,0.0
0.18,0.01996969088036963,-0.01406103437969167,6.970265741964693,0.5503246638064344,0.1225322708158428,-0.004248107010400145,0.8916553847313992,0.0,-0.07006512985480372,-0.08820440291667558,0.14991139813072488,0.23626174597513183,0.0002609233446701955,0.000410368409302228,0.00016590258300103967,1.9884067346864814e-07,1.9862247785416653e-07,1.9789802063584115e-07,1.9434070500995263e-07,1.243691072881365e-07,1.2329587884720752e-07,1.1982772585150678e-07,1.0471351625982334e-07,7.839226940866133e-08,7.738699024153868e-08,7.418706299493001e-08,6.10914143301613e-08,0.0023448091983802196,0.0069005055533872635,0.0002790827520661256,0.00010429481767177663,0.0,0.0
0.19,0.021097117839218586,-0.01484264624317673,6.9702657419597625,0.5503246638034629,0.12263876089918278,-0.004249415080760333,0.9411916890797251,0.0,-0.07393210716900918,-0.09307842589854112,0.15812679738288962,0.24933357551638924,0.000304452921787908,0.0004790183246958964,0.00019350379587992252,2.4531920299231804e-07,2.4503481455445745e-07,2.440907915683412e-07,2.3946001925819313e-07,1.532387625331798e-07,1.5184311846498008e-07,1.4734078900988178e-07,1.2786161144963918e-07,9.65049039159629e-08,9.519943714711567e-08,9.105443485131912e-08,7.42643078436508e-08,0.002455522245699412,0.00728195960430872,0.00029344547590337176,0.00010545679768408864,0.0,0.0
0.2,0.022224370587651924,-0.015624506786029209,6.970265741969353,0.5503246638092241,0.12271610584926454,-0.004250304196554879,0.9907279934280511,0.0,-0.07779640243310898,-0.09794969236134901,0.16633036921424219,0.2623997222287359,0.00035231146093292167,0.0005545365383472483,0.000223833370423315,2.993290433927702e-07,2.9896348109062813e-07,2.9775027144747237e-07,2.918050539428858e-07,1.867304115606059e-07,1.849404644276969e-07,1.7917598756254343e-07,1.544156916227187e-07,1.174939556634011e-07,1.158219878689912e-07,1.1052664183600629e-07,8.929407000210315e-08,0.002566235293019337,0.007663413655230721,0.000307693756333892,0.00010661932874566215,0.0,0.0
0.21,0.023351449164082647,-0.0164066162476747,6.970265742023356,0.5503246638415086,0.12277228688879074,-0.004250908692757136,1.040264297776377,0.0,-0.0816580157351471,-0.10281820211530421,0.1745221231406983,0.2754601839277735,0.0004046556028058712,0.000637178015581963,0.0002569874601158918,3.615992612134946e-07,3.611351923772654e-07,3.595954056069411e-07,3.520574537883892e-07,2.252797471910897e-07,2.2301261536700267e-07,2.157238469024204e-07,1.8464041137951732e-07,1.4162569317497482e-07,1.3951093379870668e-07,1.3283000508702414e-07,1.0631079904614101e-07,0.0026769483403415056,0.008044867706154377,0.0003218285052524708,0.00010778246540239928,0.0,0.0
0.22,0.024478353599508597,-0.0171889748798641,6.970265742034007,0.5503246638476372,0.12281309432915838,-0.004251319656780013,1.0898006021247029,0.0,-0.0855169470490435,-0.10768395485157911,0.18270206840921138,0.28851495826443535,0.0004616363329134991,0.0007271892489768003,0.0002930584585144029,4.328847179008176e-07,4.323022381924172e-07,4.303699912749929e-07,4.2092033244856766e-07,2.6933612642900565e-07,2.6649696381829625e-07,2.573847075416841e-07,2.1880170993031244e-07,1.691740097743987e-07,1.6652934356451013e-07,1.5819525424305165e-07,1.2544359947313585e-07,0.0027876613876614866,0.0084263217570764,0.0003358506272879548,0.00010894626023120115,0.0,0.0
0.23,0.025605083917786233,-0.017971582946257524,6.970265741844069,0.5503246637349398,0.12284273300178741,-0.004251598989603364,1.1393369064730288,0.0,-0.08937319623876416,-0.11254695014662536,0.19087021400770254,0.3015640427305991,0.0005233991568577525,0.0008248085193230581,0.00033213511700547275,5.139651740362397e-07,5.132415800544475e-07,5.108417508740699e-07,4.991172481587347e-07,3.1936190986310033e-07,3.1584291148624204e-07,3.0456798806412546e-07,2.571661712742969e-07,2.0041997197043627e-07,1.9714659505058428e-07,1.868570380543452e-07,1.4682028847950657e-07,0.0028983744349713376,0.008807775807991011,0.00034976101986109977,0.00011011076390186891,0.0,0.0
0.24,0.02673164013585242,-0.018754440722052453,6.9702657421319705,0.5503246639054972,0.12286425976751365,-0.004251788859775342,1.1888732108213547,0.0,-0.09322676306236374,-0.11740718746635385,0.19902656867469473,0.3146074346645339,0.0005900842702352614,0.0009302661485830809,0.00037430265893376836,6.056444207294819e-07,6.047539755340329e-07,6.018014336981159e-07,5.873912130009517e-07,3.7583182252212836e-07,3.7151120770126864e-07,3.576914774071547e-07,3.000004364398294e-07,2.3565138353559617e-07,2.3163792488217948e-07,2.1905345837985078e-07,1.7056713750878272e-07,0.0030090874823053156,0.009189229858923294,0.0003635605732410639,0.00011127602524926624,0.0,0.0
0.25,0.027858022264110452,-0.019537548493498827,6.970265741918652,0.5503246637794474,0.12287989748553245,-0.004251917989422451,1.2384095151696808,0.0,-0.09707764717590407,-0.12226466617018679,0.20717114090870117,0.3276451312562101,0.0006618267232875908,0.001043784745047531,0.00041964289019546906,7.087494374494512e-07,7.076631292720964e-07,7.040619452156244e-07,6.865037348856681e-07,4.3923233561029205e-07,4.3397331043690394e-07,4.171806555989073e-07,3.475706647143159e-07,2.751623648479042e-07,2.7028399487966054e-07,2.5502562676423155e-07,1.968086459475667e-07,0.003119800529613984,0.009570683909837072,0.0003772501706050114,0.00011244209129654017,0.0,0.0
0.26,0.028984230306508266,-0.02032090655764472,6.970265741965812,0.5503246638071768,0.12289125695433499,-0.004252005799075916,1.2879458195180065,0.0,-0.10092584813724369,-0.12711938551497606,0.21530393897723563,0.34067712955239865,0.0007387565801073457,0.0011655794404029135,0.000468234306166187,8.241295772582889e-07,8.228148716796007e-07,8.184575050105491e-07,7.972338934408463e-07,5.100610698799641e-07,5.037107706969305e-07,4.834680438845675e-07,4.001420438355877e-07,3.192529480387489e-07,3.133704760649691e-07,2.95017244215848e-07,2.2566734600890538e-07,0.003230513576935804,0.009952137960760441,0.00039083068809104806,0.00011360900735790899,0.0,0.0
0.27,0.03011026426092456,-0.02110451522186384,6.970265741965404,0.5503246638068987,0.1228995070357733,-0.004252065473422243,1.3374821238663324,0.0,-0.10477136540971627,-0.13197134465880725,0.22342497092557162,0.35370342646163133,0.0008209990731467582,0.001295858119817787,0.0005201521954665047,9.526557756699241e-07,9.510763615034459e-07,9.458428294168548e-07,9.203774451305876e-07,5.888262176529962e-07,5.812146370334666e-07,5.569925800697675e-07,4.5797834039253e-07,3.6822868575127016e-07,3.611876477591472e-07,3.3927420075512197e-07,2.5726363222614716e-07,0.0033412266242552244,0.010333592011682064,0.00040430299485723933,0.00011477681705371399,0.0,0.0
0.28,0.031236124119332617,-0.021888374803550173,6.970265741961497,0.5503246638040807,0.12290549789152846,-0.004252106010453554,1.387018428214658,0.0,-0.10861419836569897,-0.13682054266468963,0.2315342445852486,0.3667240187590184,0.0009086747530915104,0.001434821645140389,0.0005754687406076124,1.0952197828062077e-06,1.0933353119289451e-06,1.0870923385077339e-06,1.0567459571981163e-06,6.760459832300694e-07,6.669848799090307e-07,6.381990186703827e-07,5.213414889322175e-07,4.224002733127574e-07,4.14030011540892e-07,3.8804419434192226e-07,2.917156142150742e-07,0.0034519396715744673,0.01071504606260353,0.00041766795313575905,0.0001159455623828073,0.0,0.0
0.29,0.03236180986804804,-0.022672485629757495,6.9702657419772756,0.550324663815491,0.12290984859167696,-0.0042521335557301225,1.436554732562984,0.0,-0.11245434629007334,-0.14166697850413515,0.23963176758231347,0.3797389030909195,0.0010018996341902256,0.0015826640713413867,0.0006342531155782307,1.252733418382501e-06,1.2504992397468984e-06,1.2430993869535894e-06,1.2071659698536461e-06,7.722480413157469e-07,7.615298354939806e-07,7.275373552963734e-07,5.904912178448304e-07,4.820831840418173e-07,4.721959197422229e-07,4.415763686509921e-07,3.291389909997231e-07,0.0035626527188947037,0.011096500113525882,0.0004309264182884809,0.00011711528376780494,0.0,0.0
0.3,0.0334873214879535,-0.023456848036860416,6.970265741943982,0.5503246637913803,0.12291300979878632,-0.004252152307692305,1.4860910369113098,0.0,-0.11629180838357003,-0.14651065106061767,0.24771754734527804,0.39274807597945666,0.0011007853346882844,0.0017395728556788487,0.0006965715801366302,1.426127851268174e-06,1.423494739349886e-06,1.4147755205779944e-06,1.3724781888625955e-06,8.779690148313935e-07,8.653656703687969e-07,8.254622770063008e-07,6.656847130959781e-07,5.47597318678619e-07,5.359872195524205e-07,5.001209709171918e-07,3.69646946705516e-07,0.003673365766212464,0.01147795416444602,0.0004440792388617977,0.00011828602010479914,0.0,0.0
0.31,0.034612658954698436,-0.024241462370242117,6.97026574198446,0.5503246638207684,0.12291530727215547,-0.004252165083823833,1.535627341259636,0.0,-0.12012658376600995,-0.15135155913292475,0.25579159111282646,0.4057515338268868,0.001205439212901,0.0019057290603798542,0.0007624875711682579,1.6163529009211404e-06,1.6132667788302192e-06,1.603049755791974e-06,1.5535367051960226e-06,9.937539699831917e-07,9.790158648250855e-07,9.324326357079492e-07,7.471763146353308e-07,6.19266667377342e-07,6.057089109910155e-07,5.639290275105201e-07,4.1335006426694243e-07,0.0037840788135339505,0.011859408215369497,0.0004571272566405696,0.00011945780881127668,0.0,0.0
0.32,0.0357378222389228,-0.025026328983964553,6.9702657421003344,0.5503246639036644,0.12291697668248254,-0.004252173781640757,1.5851636456079619,0.0,-0.12395867147945096,-0.1561897014384123,0.26385390594129654,0.4187492729198492,0.001315964499304551,0.0020813075494006193,0.0008320617913639203,1.8243763587773048e-06,1.820778016241866e-06,1.8088678799044779e-06,1.7512082393661717e-06,1.1201559270663765e-06,1.1030107131169893e-06,1.048910942464268e-06,8.352172409268099e-07,6.974189831426201e-07,6.816688174918736e-07,6.332520354628194e-07,4.6035625385703385e-07,0.0038947918608592436,0.01224086226629631,0.0004700713067023831,0.00012063068587203946,0.0,0.0
0.33,0.03686281130636329,-0.02581144824054776,6.970265744030072,0.5503246652948801,0.12291818830345624,-0.0042521796797306945,1.6346999499562884,0.0,-0.12778807049122473,-0.1610250766161453,0.27190449871189876,0.43174128943346624,0.001432460424002552,0.00226647717830976,0.0009053522947867328,2.051183332795536e-06,2.047008139261767e-06,2.0331917756619742e-06,1.966371414405836e-06,1.2577353895263892e-06,1.2378868433698996e-06,1.1753628859706283e-06,9.300553450161317e-07,7.823854685339308e-07,7.64177271090904e-07,7.08341672344445e-07,5.107706974025492e-07,0.0040055049082761305,0.012622316317304746,0.0004829122174686963,0.00012180468588570958,0.0,0.0
0.34,0.03798762611858264,-0.026596820510198307,6.970265740764812,0.550324662943141,0.12291906780249606,-0.004252183681867908,1.6842362543046134,0.0,-0.1316147796969219,-0.16585768322998556,0.2799433761377966,0.4447275794353671,0.0015550223420164205,0.002461400980934936,0.0009824145709751075,2.297775602890208e-06,2.2929532158541685e-06,2.27699875718323e-06,2.199916042316566e-06,1.4070598816028603e-06,1.384186746726005e-06,1.312256862351947e-06,1.0319348848669305e-06,8.745004686026406e-07,8.535468044646844e-07,7.894495146853937e-07,5.646958001597019e-07,0.004116217955430688,0.01300377036807967,0.0004956508107706361,0.00012297984209773028,0.0,0.0
0.35000000000000003,0.03911226663185151,-0.02738244617168082,6.970265742274701,0.5503246640280456,0.12291970668139005,-0.004252186405742889,1.73377255865294,0.0,-0.13543879792324087,-0.17068751977153823,0.2879705447708819,0.4577081388895412,0.0016837418528362223,0.002666236347473117,0.001063301625184744,2.5651710050797856e-06,2.5596250739555267e-06,2.541280935949181e-06,2.452742446043042e-06,1.5687035086116547e-06,1.5424583308540024e-06,1.460063534826579e-06,1.1410963314410495e-06,9.741011802694824e-07,9.500918610423252e-07,8.768267789504586e-07,6.222311610056062e-07,0.004226931002826374,0.013385224419068998,0.0005082879018705342,0.0001241561864688914,0.0,0.0
0.36,0.040236732799027536,-0.02816832561053786,6.970265742098106,0.5503246639028941,0.12292017134792597,-0.0042521882694752395,1.7833088630012657,0.0,-0.1392601239307591,-0.17551458466301859,0.29598601100834404,0.4706829636600768,0.001818706916723979,0.0028811351977697363,0.0011480640564464522,2.854402831848291e-06,2.8480506975468767e-06,2.827044603771127e-06,2.7257608015029354e-06,1.7432465300011993e-06,1.7132544871894166e-06,1.619255410048879e-06,1.2577761958199457e-06,1.0815273709595726e-06,1.0541285152574158e-06,9.70724074911801e-07,6.834735512284722e-07,0.004337644050136897,0.01376667846998283,0.0005208242995543269,0.0001253337496812406,0.0,0.0
0.37,0.041361024568496,-0.028954459219914158,6.970265741697224,0.5503246636154843,0.12292050979963637,-0.004252189552390684,1.8328451673495916,0.0,-0.14307875641662057,-0.18033887626003176,0.30398978109904273,0.4836520495147903,0.0019600019674718846,0.0031062441493237523,0.0012367501332398308,3.1665192502003625e-06,3.15927164061098e-06,3.13530963429023e-06,3.019890501506507e-06,1.9312749463497585e-06,1.8971326731577422e-06,1.7903064326356858e-06,1.3822068769675404e-06,1.197121107338499e-06,1.1659742038600574e-06,1.071391172519394e-06,7.485169025303099e-07,0.004448357097436095,0.014148132520886541,0.0005332608061539968,0.00012651256120297408,0.0,0.0
0.38,0.042485141884771774,-0.029740847399914276,6.970265742001227,0.5503246638310119,0.12292075631541834,-0.004252190432339375,1.8823814716979175,0.0,-0.1468946940171541,-0.1851603928542814,0.311981861149713,0.49661539212876205,0.0021077080222765,0.0033417046810020026,0.0013294058672274258,3.5025827341056813e-06,3.4943434556347092e-06,3.467108899549029e-06,3.3360595374778106e-06,2.13338009769938e-06,2.0946545065791537e-06,1.973691594457267e-06,1.514616526038534e-06,1.3212264922599562e-06,1.2859474662152343e-06,1.1790767797067954e-06,8.174523023329059e-07,0.004559070144770887,0.014529586571821629,0.0005455982176091566,0.00012769264931798916,0.0,0.0
0.39,0.04360908468873674,-0.030527490557288213,6.970265741969399,0.5503246638104101,0.12292093542373722,-0.004252191029213318,1.9319177760462436,0.0,-0.1507079353103696,-0.18997913267615235,0.319962257130877,0.5095729870877082,0.0022619027864776904,0.003587653289112322,0.001426075083535944,3.863669522528945e-06,3.854335147977198e-06,3.8234877133731905e-06,3.6752039128296347e-06,2.3501582820414166e-06,2.3063853817092858e-06,2.1698865700014903e-06,1.6552289380082046e-06,1.4541894162907586e-06,1.4143677005175247e-06,1.2940283393148286e-06,8.903680002394933e-07,0.00466978319208872,0.014911040622741987,0.0005578373235195604,0.0001288740411609366,0.0,0.0
0.4,0.04473285291763023,-0.031314389105334406,6.970265741967943,0.5503246638091547,0.12292106523122448,-0.004252191430173704,1.9814540803945693,0.0,-0.15451847881841524,-0.19479509389725239,0.3279309748826702,0.5225248298913052,0.0024226607566553027,0.0038442216410317326,0.0015267994899337567,4.250869085600273e-06,4.240328638471459e-06,4.20550328329701e-06,4.038267066412656e-06,2.5822103802079483e-06,2.5328940921386213e-06,2.379367359840125e-06,1.8042634500583193e-06,1.5963573138488457e-06,1.5515549250024907e-06,1.4164918317547157e-06,9.673494165680298e-07,0.004780496239408087,0.01529249467366355,0.000569978907191646,0.00013005676275698754,0.0,0.0
0.41000000000000003,0.04585644650529218,-0.032101543463588754,6.970265741977382,0.5503246638174342,0.12292115809853096,-0.004252191685555881,2.0309903847428954,0.0,-0.15832632300988972,-0.19960827463280462,0.33588802012029495,0.5354709159563076,0.002590053317646796,0.004111536719788263,0.0016316187419211912,4.665283621043631e-06,4.65341825661851e-06,4.614224194206085e-06,4.426199333400996e-06,2.8301415045911337e-06,2.7747524792608656e-06,2.602609964791386e-06,1.961934871198776e-06,1.7480789365626711e-06,1.6978295579322212e-06,1.5467116000446142e-06,1.0484791634574138e-06,0.004891209286728005,0.015673948724585707,0.0005820237456904721,0.00013124083905369328,0.0,0.0
