t,VP,PRP,VTS2,TSP
0.89,2.9978886671336507,216.20557964934008,-0.00010563854063630216,279.98209393449247
0.9,2.9978209831073355,216.2051631350257,-0.00010679856940300641,279.98250133761127
0.91,2.9977534341891476,216.20474670213756,-0.00010795803310566017,279.98290854476755
0.92,2.9976860200952036,216.20433035049095,-0.00010911693278027539,279.983315556352
0.93,2.9976187405423476,216.203914079902,-0.00011027526946010828,279.98372237275413
0.9400000000000001,2.9975515952481517,216.20349789018766,-0.00011143304417565916,279.9841289943624
0.9500000000000001,2.997484583930916,216.20308178116565,-0.0001125902579546726,279.9845354215641
0.96,2.997417706309668,216.20266575265447,-0.00011374691182213733,279.98494165474546
0.97,2.9973509621041634,216.20224980447344,-0.00011490300680028632,279.9853476942917
0.98,2.9972843510348857,216.20183393644265,-0.00011605854390859669,279.985753540587
0.99,2.997217872823046,216.201418148383,-0.00011721352416378974,279.9861591940142
1.0,2.997151527190583,216.20100244011618,-0.000118367948579831,279.9865646549553
1.01,2.997085313860164,216.20058681146466,-0.00011952181816793018,279.98696992379115
1.02,2.9970192325551834,216.20017126225176,-0.00012067513393654119,279.98737500090147
1.03,2.996953282999764,216.19975579230154,-0.0001218278968913621,279.9877798866649
1.04,2.996887464918756,216.19934040143886,-0.0001229801080353352,279.98818458145905
1.05,2.9968217780213657,216.19892508946288,-0.00012413176843387717,279.98858908568724
1.06,2.99675622199093,216.19850985613056,-0.00012528287925562528,279.98899339979573
1.07,2.996690796549039,216.19809470126035,-0.0001264334415169433,279.9893975241677
1.08,2.9966255014199024,216.19767962467455,-0.00012758345622390302,279.9898014591823
1.09,2.9965603363283915,216.19726462619613,-0.00012873292438008243,279.9902052052175
1.1,2.99649530100004,216.19684970564876,-0.00012988184698656578,279.9906087626505
1.11,2.996430395161044,216.19643486285685,-0.00013103022504194357,279.9910121318574
1.12,2.9963656185382606,216.1960200976454,-0.00013217805954231253,279.9914153132134
1.1300000000000001,2.99630097085921,216.19560540984017,-0.0001333253514812756,279.9918183070927
1.1400000000000001,2.9962364518520737,216.1951907992676,-0.00013447210184994193,279.9922211138684
1.1500000000000001,2.996172061245696,216.1947762657548,-0.000135618311636927,279.9926237339128
1.16,2.9961077987695828,216.1943618091296,-0.00013676398182835243,279.9930261675972
1.17,2.996043664153902,216.19394742922043,-0.00013790911340784613,279.99342841529176
1.18,2.9959796571294834,216.19353312585653,-0.00013905370735654225,279.99383047736586
1.19,2.995915777427819,216.19311889886774,-0.0001401977646530811,279.9942323541878
1.2,2.995852024781064,216.19270474808465,-0.00014134128627360927,279.9946340461248
1.21,2.9957883989220333,216.19229067333848,-0.00014248427319177962,279.99503555354335
1.22,2.995724899584206,216.19187667446116,-0.0001436267263787512,279.99543687680887
1.23,2.995661526501722,216.19146275128531,-0.0001447686468031893,279.9958380162856
1.24,2.995598279409384,216.19104890364426,-0.00014591003543126547,279.9962389723371
1.25,2.9955351580426557,216.190635131372,-0.00014705089322665746,279.99663974532575
1.26,2.9954721621376645,216.19022143430323,-0.00014819122115054925,279.997040335613
1.27,2.9954092914311983,216.1898078122733,-0.00014933102016163112,279.9974407435595
1.28,2.9953465456607082,216.1893942651183,-0.0001504702912160995,279.99784096952453
1.29,2.995283924564306,216.18898079267495,-0.00015160903526765707,279.9982410138668
1.3,2.995221427880767,216.1885673947807,-0.00015274725326751282,279.99864087694374
1.31,2.9951590553495278,216.1881540712737,-0.0001538849461643819,279.999040559112
1.32,2.9950968067106873,216.18774082199275,-0.0001550221149044857,279.99944006072724
1.33,2.9950346817050058,216.1873276467773,-0.00015615876043155187,279.999839382144
1.34,2.9949726800739067,216.18691454546766,-0.00015729488368681425,280.0002385237159
1.35,2.9949108015594748,216.1865015179046,-0.000158430485609013,280.0006374857957
1.36,2.994849045904457,216.18608856392973,-0.00015956556713439445,280.001036268735
1.37,2.9947874128522627,216.1856756833853,-0.00016070012919671114,280.0014348728846
1.3800000000000001,2.9947259021469623,216.18526287611428,-0.00016183417272722193,280.00183329859414
1.3900000000000001,2.9946645135332894,216.18485014196025,-0.0001629676986546918,280.00223154621244
1.4000000000000001,2.9946032467566392,216.1844374807676,-0.00016410070790539208,280.0026296160873
1.41,2.994542101563069,216.18402489238127,-0.00016523320140310023,280.0030275085654
1.42,2.994481077699298,216.183612376647,-0.00016636518006910006,280.0034252239927
1.43,2.9944201749127073,216.18319993341115,-0.00016749664482218154,280.0038227627139
1.44,2.99435939295134,216.18278756252082,-0.00016862759657864084,280.00422012507306
1.45,2.994298731563903,216.18237526382373,-0.00016975803625228047,280.0046173114129
1.46,2.9942381904997624,216.18196303716837,-0.00017088796475440906,280.0050143220754
1.47,2.994177769508948,216.18155088240383,-0.00017201738299384153,280.00541115740145
1.48,2.994117468342152,216.18113879938,-0.0001731462918768991,280.00580781773107
1.49,2.9940572867507274,216.18072678794732,-0.00017427469230740905,280.0062043034032
1.5,2.9939972244866904,216.18031484795705,-0.0001754025851867051,280.0066006147558
1.51,2.9939372813027183,216.17990297926107,-0.00017652997141362703,280.006996752126
1.52,2.9938774569521516,216.17949118171194,-0.00017765685188452095,280.00739271584973
1.53,2.9938177511889914,216.1790794551629,-0.0001787832274932392,280.0077885062621
1.54,2.9937581637679016,216.17866779946797,-0.00017990909913114038,280.00818412369716
1.55,2.993698694444209,216.17825621448173,-0.00018103446768708917,280.0085795684881
1.56,2.993639342973901,216.17784470005955,-0.00018215933404745668,280.0089748409669
1.57,2.9935801090607317,216.17743325598454,-0.0001832836993020597,280.0093699415482
1.58,2.9935209923990245,216.17702188202654,-0.00018440756457751303,280.00976487066123
1.59,2.9934619927401767,216.17661057803386,-0.00018553093077830986,280.01015962864557
1.6,2.993403109836166,216.17619934385547,-0.00018665379880677217,280.0105542158399
1.61,2.993344343439509,216.17578817934074,-0.00018777616956320613,280.01094863258214
1.62,2.9932856933032603,216.1753770843396,-0.0001888980439459022,280.01134287920945
1.6300000000000001,2.993227159181015,216.17496605870258,-0.00019001942285113498,280.0117369560582
1.6400000000000001,2.993168740826908,216.17455510228058,-0.00019114030717316328,280.0121308634639
1.6500000000000001,2.993110437995613,216.17414421492515,-0.00019226069780423018,280.01252460176136
1.6600000000000001,2.993052250442341,216.17373339648827,-0.0001933805956345629,280.0129181712845
1.67,2.9929941779228453,216.1733226468225,-0.0001945000015523729,280.0133115723667
1.68,2.992936220193417,216.17291196578086,-0.0001956189164438559,280.0137048053403
1.69,2.992878377010887,216.17250135321697,-0.00019673734119319175,280.0140978705369
1.7,2.9928206481326245,216.1720908089849,-0.00019785527668254453,280.0144907682874
1.71,2.992763033316539,216.17168033293925,-0.00019897272379206259,280.0148834989218
1.72,2.9927055323210787,216.17126992493516,-0.0002000896833998784,280.0152760627695
1.73,2.9926481449052313,216.17085958482826,-0.0002012061563821087,280.0156684601589
1.74,2.9925908708285243,216.17044931247474,-0.00020232214361285447,280.01606069141786
1.75,2.992533709851023,216.1700391077313,-0.00020343764596420077,280.01645275687315
1.76,2.992476661733334,216.16962897045508,-0.000204552664306217,280.01684465685105
1.77,2.9924197262366015,216.1692189005039,-0.00020566719950695678,280.0172363916768
1.78,2.99236290312251,216.1688088977359,-0.00020678125243245781,280.0176279616751
1.79,2.9923061921532823,216.16839896200992,-0.00020789482394674213,280.0180193671697
1.8,2.9922495930916817,216.16798909318518,-0.00020900791491181594,280.0184106084836
1.81,2.9921931057010096,216.1675792911215,-0.0002101205261876696,280.018801685939
1.82,2.992136729745108,216.16716955567927,-0.00021123265863227779,280.01919259985743
1.83,2.9920804649883563,216.1667598867192,-0.0002123443131015993,280.01958335055946
1.84,2.9920243111956757,216.16635028410272,-0.00021345549044957723,280.019973938365
1.85,2.991968268132524,216.1659407476917,-0.00021456619152813875,280.0203643635931
1.86,2.9919123355649,216.16553127734855,-0.0002156764171871954,280.02075462656217
1.87,2.991856513259342,216.16512187293614,-0.0002167861682746428,280.02114472758956
1.8800000000000001,2.991800800982926,216.1647125343179,-0.00021789544563636086,280.0215346669921
1.8900000000000001,2.991745198503269,216.16430326135782,-0.0002190042501162137,280.0219244450858
1.9000000000000001,2.9916897055885254,216.16389405392033,-0.00022011258255604958,280.0223140621858
1.9100000000000001,2.991634322007391,216.16348491187046,-0.00022122044379570103,280.0227035186063
1.92,2.9915790475290995,216.16307583507367,-0.00022232783467298478,280.02309281466114
1.93,2.9915238819234244,216.16266682339602,-0.0002234347560237018,280.023481950663
1.94,2.991468824960678,216.16225787670405,-0.0002245412086816372,280.0238709269239
1.95,2.9914138764117126,216.1618489948648,-0.00022564719347856034,280.0242597437551
1.96,2.991359036047919,216.16144017774587,-0.0002267527112442248,280.0246484014672
1.97,2.9913043036412277,216.16103142521536,-0.00022785776280636837,280.02503690036957
1.98,2.9912496789641088,216.1606227371419,-0.00022896234899071305,280.02542524077137
1.99,2.991195161789571,216.1602141133946,-0.000230066470620965,280.02581342298055
2.0,2.991140751891163,216.15980555384314,-0.00023117012851881467,280.0262014473045
2.0100000000000002,2.991086449042972,216.15939705835768,-0.00023227332350393668,280.0265893140498
2.02,2.991032253019625,216.15898862680893,-0.0002333760563939898,280.026977023522
2.0300000000000002,2.990978163596288,216.15858025906812,-0.0002344783280046172,280.0273645760263
2.04,2.990924180548667,216.15817195500694,-0.000235580139149446,280.0277519718667
2.05,2.990870303653006,216.15776371449766,-0.00023668149064008773,280.0281392113467
2.06,2.990816532686089,216.15735553741308,-0.0002377823832861381,280.0285262947689
2.07,2.9907628674252402,216.15694742362643,-0.00023888281789517693,280.02891322243505
2.08,2.9907093076473847,216.15653937301005,-0.00023998279527649824,280.0292999946478
2.09,2.9906558531006757,216.1561313853888,-0.00024108231635405563,280.02968661175703
2.1,2.9906025035475823,216.15572346061055,-0.0002421813819949509,280.0300730740893
2.11,2.9905492587649207,216.1553155985464,-0.00024327999300930613,280.03045938194754
2.12,2.9904961185299967,216.15490779906773,-0.0002443781502054262,280.0308455356342
2.13,2.990443082620605,216.15450006204645,-0.0002454758543897982,280.0312315354509
2.14,2.99039015081503,216.1540923873549,-0.0002465731063670921,280.03161738169865
2.15,2.990337322892046,216.1536847748658,-0.0002476699069401602,280.0320030746776
2.16,2.990284598630916,216.15327722445238,-0.0002487662569100374,280.0323886146874
2.17,2.990231977811393,216.15286973598825,-0.0002498621570759411,280.0327740020268
2.18,2.990179460213719,216.1524623093475,-0.0002509576082352714,280.033159236994
2.19,2.990127045618627,216.15205494440463,-0.0002520526111836107,280.0335443198864
2.2,2.9900747338073366,216.15164764103457,-0.0002531471667147243,280.03392925100076
2.21,2.9900225245615597,216.15124039911274,-0.0002542412756205595,280.0343140306331
2.22,2.989970417663496,216.15083321851495,-0.0002553349386912467,280.0346986590787
2.23,2.9899184128958347,216.15042609911745,-0.00025642815671509853,280.03508313663224
2.24,2.989866510041755,216.15001904079693,-0.0002575209304786103,280.0354674635877
2.25,2.9898147088849263,216.14961204343055,-0.0002586132607664597,280.03585164023815
2.2600000000000002,2.9897630092095056,216.14920510689586,-0.00025970514836150716,280.0362356668762
2.27,2.989711410800141,216.14879823107088,-0.00026079659404479544,280.0366195437937
2.2800000000000002,2.9896599134419684,216.14839141583406,-0.00026188759859555017,280.03700327128166
2.29,2.989608516920615,216.14798466106427,-0.0002629781627911791,280.0373868496306
2.3000000000000003,2.989557221022196,216.14757796664082,-0.0002640682874072729,280.0377702791301
2.31,2.9895060255333172,216.1471713324435,-0.0002651579732176045,280.03815356006925
2.32,2.9894549302410733,216.14676475835248,-0.00026624722099412957,280.0385366927363
2.33,2.989403934933048,216.1463582442484,-0.0002673360315069863,280.0389196774189
2.34,2.989353039397315,216.14595179001233,-0.0002684244055244953,280.03930251440386
2.35,2.989302243422438,216.1455453955258,-0.0002695123438131598,280.03968520397746
2.36,2.989251546797469,216.14513906067074,-0.0002705998471376656,280.04006774642517
2.37,2.98920094931195,216.14473278532952,-0.000271686916260881,280.0404501420317
2.38,2.989150450755912,216.144326569385,-0.0002727735519438569,280.04083239108127
2.39,2.9891000509198773,216.14392041272038,-0.00027385975494582666,280.0412144938571
2.4,2.9890497495948547,216.1435143152194,-0.0002749455260242062,280.041596450642
2.41,2.988999546572345,216.14310827676616,-0.0002760308659345941,280.0419782617178
2.42,2.988949441644337,216.14270229724528,-0.0002771157754307713,280.0423599273659
2.43,2.9888994346033098,216.1422963765417,-0.00027820025526470145,280.04274144786683
2.44,2.988849525242231,216.14189051454093,-0.0002792843061865306,280.0431228235004
2.45,2.988799713354559,216.1414847111288,-0.0002803679289445875,280.0435040545459
2.46,2.9887499987342405,216.14107896619166,-0.00028145112428538325,280.0438851412817
2.47,2.988700381175712,216.14067327961627,-0.0002825338929536117,280.04426608398546
2.48,2.9886508604739,216.14026765128983,-0.00028361623569214906,280.04464688293444
2.49,2.988601436424219,216.13986208109992,-0.00028469815324205425,280.04502753840484
2.5,2.988552108822575,216.1394565689347,-0.0002857796463425686,280.04540805067234
2.5100000000000002,2.9885028774653613,216.1390511146826,-0.0002868607157311161,280.0457884200119
2.52,2.9884537421494626,216.13864571823257,-0.0002879413621433031,280.04616864669777
2.5300000000000002,2.988404702672252,216.138240379474,-0.0002890215863129187,280.04654873100344
2.54,2.9883557588315925,216.13783509829676,-0.00029010138897193443,280.0469286732018
2.5500000000000003,2.9883069104258357,216.13742987459105,-0.0002911807708505044,280.047308473565
2.56,2.9882581572538234,216.1370247082476,-0.0002922597326769653,280.0476881323644
2.57,2.988209499114887,216.1366195991575,-0.0002933382751778361,280.04806764987075
2.58,2.9881609358088475,216.13621454721235,-0.00029441639907781884,280.0484470263541
2.59,2.988112467136014,216.13580955230415,-0.0002954941050997976,280.04882626208376
2.6,2.9880640956014948,216.1354046182838,-0.0002965713833757526,280.0492053530277
2.61,2.988015815303553,216.1349997366963,-0.00029764825695590476,280.0495843085233
2.62,2.9879676290163317,216.13459491178585,-0.0002987247149189903,280.0499631241109
2.63,2.9879195365384303,216.1341901434408,-0.00029980075799498505,280.05034180006277
2.64,2.987871537668937,216.13378543155,-0.00030087638691205616,280.05072033665056
2.65,2.987823632207425,216.13338077600264,-0.0003019516023965655,280.0510987341453
2.66,2.9877758199539537,216.1329761766885,-0.00030302640517307345,280.05147699281713
2.67,2.987728100709066,216.1325716334976,-0.00030410079596434225,280.05185511293564
2.68,2.98768047427379,216.13216714632054,-0.0003051747754913397,280.05223309476975
2.69,2.9876329404496356,216.1317627150483,-0.0003062483444732427,280.0526109385876
2.7,2.987585499038594,216.13135833957224,-0.0003073215036274408,280.0529886446566
2.71,2.9875381498431377,216.13095401978424,-0.0003083942536695398,280.0533662132436
2.72,2.9874908926662194,216.13054975557648,-0.00030946659531336533,280.0537436446147
2.73,2.98744372731127,216.13014554684167,-0.00031053852927096637,280.0541209390353
2.74,2.9873966535822,216.1297413934729,-0.00031161005625261886,280.0544980967701
2.75,2.9873496712833956,216.12933729536368,-0.0003126811769668293,280.0548751180832
2.7600000000000002,2.9873027802197196,216.1289332524079,-0.00031375189212033824,280.05525200323797
2.77,2.9872559801965113,216.12852926449995,-0.00031482220241812385,280.05562875249706
2.7800000000000002,2.987209271019583,216.1281253315346,-0.0003158921085634057,280.0560053661224
2.79,2.987162652495221,216.12772145340696,-0.0003169616112576479,280.0563818443755
2.8000000000000003,2.987116124430185,216.12731763001267,-0.00031803071120056325,280.05675818751683
2.81,2.987069686631706,216.1269138612477,-0.00031909940909011626,280.0571343958065
2.82,2.987023338907485,216.12651014700847,-0.00032016770562252704,280.05751046950377
2.83,2.9869770810656937,216.12610648719183,-0.00032123560149227483,280.0578864088672
2.84,2.986930912914973,216.12570288169496,-0.0003223030973921014,280.0582622141548
2.85,2.9868848342644316,216.1252993304155,-0.000323370194013015,280.0586378856239
2.86,2.986838844923645,216.1248958332515,-0.0003244368920442933,280.05901342353116
2.87,2.9867929447026556,216.12449239010138,-0.0003255031921734877,280.0593888281324
2.88,2.9867471334119706,216.124089000864,-0.00032656909508642644,280.059764099683
2.89,2.9867014108625622,216.1236856654386,-0.00032763460146721814,280.06013923843756
2.9,2.9866557768658653,216.1232823837248,-0.0003286997119982556,280.06051424465005
2.91,2.9866102312337786,216.12287915562266,-0.00032976442736021934,280.06088911857387
2.92,2.986564773778661,216.12247598103264,-0.000330828748232081,280.0612638604615
2.93,2.986519404313334,216.1220728598555,-0.0003318926752911071,280.06163847056513
2.94,2.9864741226510767,216.12166979199256,-0.00033295620921286234,280.0620129491359
2.95,2.98642892860563,216.12126677734537,-0.00033401935067121376,280.0623872964247
2.96,2.98638382199119,216.12086381581597,-0.0003350821003383334,280.0627615126814
2.97,2.9863388026224116,216.12046090730672,-0.00033614445888470283,280.0631355981554
2.98,2.986293870314406,216.1200580517205,-0.00033720642697911596,280.06350955309546
2.99,2.9862490248827394,216.11965524896038,-0.0003382680052886831,280.0638833777497
3.0,2.9862042661434316,216.11925249893,-0.00033932919447883416,280.0642570723654
3.0100000000000002,2.986159593912957,216.11884980153326,-0.0003403899952133227,280.06463063718957
3.02,2.986115008008242,216.1184471566745,-0.0003414504081542289,280.0650040724682
3.0300000000000002,2.9860705082466645,216.11804456425847,-0.00034251043396196383,280.0653773784468
3.04,2.9860260944460544,216.11764202419025,-0.00034357007329527216,280.0657505553703
3.0500000000000003,2.98598176642469,216.11723953637528,-0.0003446293268112366,280.0661236034828
3.06,2.9859375240012995,216.11683710071944,-0.00034568819516528083,280.06649652302804
3.0700000000000003,2.985893366995058,216.11643471712895,-0.00034674667901117345,280.06686931424883
3.08,2.985849295225589,216.1160323855104,-0.00034780477900103144,280.06724197738754
3.09,2.985805308512961,216.11563010577083,-0.0003488624957853235,280.06761451268585
3.1,2.985761406677689,216.11522787781752,-0.0003499198300128742,280.0679869203848
3.11,2.9857175895407315,216.1148257015582,-0.00035097678233086683,280.0683592007247
3.12,2.985673856912463,216.1144235768866,-0.00035203335342736785,280.06873135396245
3.13,2.9856302085781263,216.1140215036633,-0.00035308954408741337,280.06910338039376
3.14,2.9855866443552204,216.11361948179092,-0.0003541453549717426,280.06947528026444
3.15,2.9855431640643246,216.11321751117583,-0.00035520078672929473,280.06984705381575
3.16,2.9854997675264174,216.11281559172474,-0.00035625584000753915,280.0702187012884
3.17,2.9854564545628763,216.11241372334464,-0.00035731051545247937,280.0705902229224
3.18,2.9854132249954772,216.11201190594286,-0.0003583648137086585,280.07096161895737
3.19,2.985370078646392,216.11161013942706,-0.0003594187354191632,280.0713328896322
3.2,2.9853270153381883,216.11120842370514,-0.00036047228122562913,280.0717040351853
3.21,2.985284034893827,216.11080675868533,-0.000361525451768245,280.07207505585467
3.22,2.985241137136663,216.1104051442762,-0.000362578247685758,280.0724459518775
3.23,2.9851983218904423,216.11000358038658,-0.00036363066961547774,280.07281672349063
3.24,2.985155588979301,216.10960206692562,-0.0003646827181932817,280.0731873709302
3.25,2.985112938227766,216.10920060380275,-0.0003657343940536194,280.073557894432
3.2600000000000002,2.9850703694607503,216.1087991909277,-0.00036678569782951754,280.0739282942311
3.27,2.985027882503555,216.10839782821054,-0.0003678366301525842,280.07429857056206
3.2800000000000002,2.9849854771818674,216.10799651556152,-0.00036888719165301424,280.074668723659
3.29,2.984943153321757,216.10759525289131,-0.0003699373829595933,280.0750387537554
3.3000000000000003,2.9849009107496784,216.1071940401108,-0.0003709872046997033,280.0754086610842
3.31,2.984858749292468,216.10679287713117,-0.00037203665749932627,280.0757784458779
3.3200000000000003,2.9848166687773428,216.10639176386388,-0.0003730857419830499,280.0761481083684
3.33,2.984774669031899,216.10599070022073,-0.0003741344587740717,280.07651764878705
3.34,2.984732749884112,216.1055896861137,-0.000375182808494204,280.07688706736474
3.35,2.9846909111623336,216.10518872145516,-0.00037623079176387855,280.07725636433173
3.36,2.984649152695292,216.10478780615767,-0.0003772784092021512,280.0776255399179
3.37,2.98460747431209,216.10438694013413,-0.0003783256614267069,280.0779945943525
3.38,2.984565875842204,216.1039861232977,-0.00037937254905386406,280.07836352786427
3.39,2.9845243571154834,216.10358535556173,-0.00038041907269857937,280.0787323406815
3.4,2.984482917962147,216.10318463684,-0.0003814652329744527,280.0791010330318
3.41,2.9844415582127857,216.10278396704646,-0.0003825110304937317,280.0794696051425
3.42,2.984400277698357,216.1023833460953,-0.00038355646586731636,280.07983805724024
3.43,2.984359076250188,216.10198277390109,-0.000384601539704764,280.0802063895512
3.44,2.98431795369997,216.1015822503785,-0.00038564625261429386,280.08057460230106
3.45,2.984276909879761,216.1011817754426,-0.0003866906052027918,280.080942695715
