t,V,m,h1,h2,d_L,f_L,d_T,f_T,q,r,P_af,P_as,P_i,xs,y
0.11,10.489530625058528,0.9998114392107803,6.164997896827113e-06,5.422162605952345e-06,0.9959687941815575,0.03397585395629438,0.9990849748282168,0.00011549814434340757,0.0040253073055752445,0.50762362749106,0.9222886822877437,0.6314300816136644,0.050181028641669165,0.12657936389628985,0.0006579573843737661
0.12,7.000927718963408,0.9996430708279456,1.0584032902161771e-05,9.129319906222962e-06,0.9929165777201702,0.026462828801076616,0.9984774634332867,0.0001692892406372226,0.005017997142322604,0.4662748487415893,0.9142266522156048,0.642643821601352,0.0688279453276116,0.12923825129442776,0.0006847333152812407
0.13,2.9578470242548747,0.9992525832768783,1.9798536144823076e-05,1.67200015495243e-05,0.9864872804440082,0.020615404583468475,0.9972561470718483,0.00026304838939472035,0.006568517674826777,0.41943707032944855,0.8998545911524574,0.6501497027006782,0.09835448255793613,0.13054598597193476,0.0007940736662470953
0.14,-1.8129214594567902,0.9982146737185501,4.1404519581716985e-05,3.401719212223664e-05,0.9715229358510541,0.016072407982320826,0.9945170615850562,0.00044011836749702844,0.009034062275541035,0.36752474038387284,0.879311332994799,0.6543605801049452,0.14695469527427815,0.13078975505284351,0.0009868530951095554
0.15,-7.68752196687906,0.9948086773121106,0.00010243583671768524,8.08080350677191e-05,0.9315235215417439,0.012574090325320019,0.987226264963921,0.0008190239286654545,0.013261908343968044,0.31107617256370107,0.8521900684124292,0.6556143343052006,0.23121041312865692,0.13020439941963288,0.0012918938538074565
0.16,-15.349639367189313,0.9795922903969148,0.0003326498021037315,0.000246818284813224,0.8092074459094136,0.010053076171727722,0.9622595622410852,0.0017841277318733952,0.021512602777987666,0.2524464879868265,0.818123688924425,0.6542000707644289,0.38134786387954284,0.1289519244792749,0.0017800860870883712
0.17,-25.4010446357582,0.8940224218861477,0.0015597913385362052,0.0010864332945294838,0.4959117573072895,0.009696023415047246,0.8555939182607583,0.004667120846165497,0.03980127915120621,0.198232966428434,0.7769505520242753,0.6503476049829764,0.6125657394511348,0.12710231320331397,0.0026023822274212874
0.18,-36.25589792268934,0.6357442301778801,0.007833516445102839,0.005577556296731878,0.171972777920048,0.024325902921104047,0.5437130846514456,0.012783893064254858,0.06822734145111059,0.1475713673484807,0.7261229567257985,0.6438523030843337,0.8215783758565535,0.12464310204554424,0.004000070461727997
0.19,-44.45666036248219,0.4152964649258614,0.021043786704119796,0.009318720373107117,0.04491026880580037,0.1303119827826996,0.2577214136576028,0.028949815230769702,0.08986089882786391,0.09240380863244838,0.6617598261153597,0.6341090687996606,0.9174251523401495,0.12161641613675739,0.006123309237879047
0.2,-49.6179034016016,0.3072738732544308,0.034190475104494536,0.009770831396989227,0.014637194326996035,0.3557245135024702,0.13779204378518284,0.051330173233683635,0.11925040482209869,0.056596439179009715,0.5873268163971552,0.621316688079764,0.9515626260273808,0.11819700663869048,0.008873632124042253
0.21,-52.85132218826738,0.25277881337627234,0.04645506655737122,0.010126108878163257,0.0072670306402840825,0.5800101590408092,0.0895901389917437,0.07634336922938557,0.16124679653795307,0.04185685626931142,0.5100894727147709,0.6062535536407307,0.965588943076721,0.11455730349799764,0.012074392797032518
0.22,-54.74975775794816,0.224910938672532,0.05911619199388923,0.010646501552656893,0.004871467828976075,0.7346861683440564,0.06889395052559301,0.10050205927632896,0.20968660431509664,0.036016551253751965,0.43629133504680023,0.5897920743940768,0.9720120423502884,0.1108281748392439,0.015555840789849906
0.23,-55.648270252618865,0.2125943861978096,0.0721141768066343,0.011307884616207459,0.003982293081220461,0.8224571115828357,0.060647773969404864,0.12080696985248543,0.25656014716612263,0.033551903673077296,0.37000088267902703,0.5727627680810414,0.9747981625833265,0.10711001341134382,0.0191592518255492
0.24,-55.768599221967726,0.21072586060402387,0.08433997360613071,0.012027339954749286,0.0037618293866550304,0.8652154238246151,0.059470391955089436,0.13510544829284976,0.29607351213317584,0.03279701295881832,0.31310394367530525,0.5558664281174607,0.9754385451221655,0.10347756793325386,0.022743401751923697
0.25,-55.26387375107527,0.2169751747859559,0.09451272648587723,0.012717672674145157,0.0039752015221293695,0.8803505742375808,0.06360463070679641,0.14218700665144313,0.3254569637563923,0.03319260074636091,0.265859207687133,0.5396372139313281,0.9745021660409919,0.09998398633776905,0.02618813863576758
0.26,-54.236593253829994,0.2305957795599164,0.1016449645591028,0.013314669770877873,0.004601506163457655,0.8771437158890432,0.07305740504548972,0.14171135203734248,0.3442736939489404,0.03452288697066015,0.22757064622604029,0.524447354716835,0.9721142548877764,0.09666524192447323,0.02939372018812069
0.27,-52.74789259489677,0.2519824665417873,0.10494037245129523,0.013787667408685061,0.005759539361191773,0.8586630332888733,0.08914881184431424,0.13407603230755163,0.353458909322536,0.03672943575516176,0.19712892591418085,0.5105344720155998,0.9680975075962147,0.09354454828316909,0.032277104774551514
0.28,-50.82448448941158,0.2825764123298732,0.10316392017444075,0.014142175676340914,0.007742135632189035,0.8238071941347747,0.11468469877572593,0.12028720932997713,0.3545873386065729,0.03985638275679684,0.1733586787703327,0.4980348863677878,0.9619660444779197,0.09063624060088227,0.03476679302542936
0.29,-48.46767685215806,0.3249163272123428,0.09359831107509065,0.014428752349997494,0.011149859187488367,0.7690513649077307,0.1544595608861284,0.1018661298685049,0.3494039271340197,0.04402726556354913,0.15520407034302233,0.48701228747925873,0.9528205229794806,0.08794875641844993,0.036797606943950976
0.3,-45.67069425855893,0.382544521095506,0.07204286528750689,0.014791206242622295,0.017189653530067885,0.6914553190603476,0.2155195479891054,0.08080050624899497,0.33939874651974855,0.04941810711007405,0.14180881330427875,0.47747603887712936,0.9391696850729215,0.08548640946503155,0.03830688016615396
0.31,-42.441468002082274,0.4592354781669813,0.040350321974215585,0.015569257096587491,0.028278420275467023,0.5942760484844001,0.30563368971069366,0.05947324443505706,0.32489890045859277,0.05621374794337008,0.13254104893515922,0.4693886165496169,0.9187350874670099,0.08324983195300412,0.03923363141274279
0.32,-38.76683462825514,0.5581059378027678,0.017015529949321886,0.015965420880967134,0.049420119335931864,0.490770797928611,0.429337788443556,0.040290737189322384,0.30268670569350054,0.06463273553576916,0.1270217104254083,0.4626760025690836,0.8880037546932066,0.08123657173682758,0.03951763124161553
0.33,-34.31121547206427,0.685672765969765,0.0075992393742885115,0.01001753620833201,0.09387401055955855,0.39727507511427174,0.5893837866941136,0.024685610741333634,0.2619354134187837,0.07540563212606254,0.12531242633359838,0.4572837608825434,0.8387515121591542,0.07944831039771039,0.03907205101397719
0.34,-27.265702756244295,0.8583868729622517,0.0025646938020685147,0.0039348513928035445,0.22382749620962253,0.3196643715076815,0.7964643365362915,0.012085173474424303,0.1881990001128825,0.09266172802572101,0.12903458072542603,0.4533702336878439,0.7355018728346392,0.07792242539220602,0.03762408199580545
0.35000000000000003,-10.728132127759396,0.9907305798989073,0.0002213225060844464,0.0007679708381238088,0.7394875669305541,0.24960047988986417,0.9761851617616016,0.002036555970187215,0.10146759919657337,0.15860649442830513,0.15282886322318956,0.45231343757041576,0.41107990861938765,0.07688940505487254,0.03382910747239892
0.36,8.120365495976493,0.9997050778668071,1.0462004886908861e-05,6.967533090145229e-05,0.9916209190992931,0.1942433549827256,0.9986197902539226,0.0001611603604869726,0.04432371050629308,0.38648644782189717,0.2899175282026816,0.4619068557936428,0.09127477645540408,0.077834250830121,0.024244008506593848
0.37,15.826850392387115,0.999928563120481,2.8895691187625603e-06,7.716986354600187e-06,0.9981553864641046,0.1512724406627795,0.9995709660009113,6.5396248262962e-05,0.018965532858953072,0.5333571474131839,0.5328686237541289,0.48615149394021734,0.0360881517633982,0.08322056835188425,0.013222071953218733
0.38,18.66318085817493,0.9999576157691817,1.79702024595474e-06,2.301221661546175e-06,0.9988986399456167,0.1178103104776795,0.9997202684573948,4.728174023598978e-05,0.00879371860922906,0.587471036502226,0.7319466898129579,0.5178189143962539,0.025348264730777084,0.0923504792498483,0.006226870274033659
0.39,19.144519542353574,0.9999612508848302,1.638444126541728e-06,1.6850556411682293e-06,0.9990031892682047,0.09175049287098669,0.999740741700426,4.464598636591765e-05,0.004839123346512543,0.6020065947233981,0.8466762556893507,0.5503904256059841,0.02325817427609998,0.10293709672166243,0.002855094284476553
0.4,18.207676909586596,0.9999540431006848,1.8764111355963838e-06,1.792963361931733e-06,0.9988493307382507,0.07145527387813733,0.9997034678942859,4.941576164061211e-05,0.0034174982426971815,0.5957330517538322,0.9019434771055093,0.5800120377594339,0.024864053199057677,0.11301362997307095,0.0014189592349394525
0.41000000000000003,16.33225281004691,0.9999352535649909,2.4970341322765073e-06,2.2932880187765823e-06,0.9984432209869739,0.055649504846777435,0.9996103781709179,6.0719545541336544e-05,0.0030876043298195418,0.576179711668422,0.9250218903396997,0.6049923479893342,0.029324643005123906,0.12144477289028459,0.0008421993465624172
0.42,13.78867390591584,0.9998968952612041,3.695688233570138e-06,3.305754786026951e-06,0.997645805350126,0.04334023157316722,0.9994351428416468,8.033150207145105e-05,0.003310718183720884,0.547159532951303,0.9314760803048117,0.6249696736366079,0.03699277767871006,0.12782778952548096,0.0006319198111129613
0.43,10.717811957938423,0.999819167602417,5.944716841132177e-06,5.210762259088931e-06,0.9961212870716764,0.033754345170753985,0.9991153411990721,0.00011259352851017617,0.003920371375548241,0.5108554302662978,0.9284729131009201,0.640222920302787,0.049042628484442255,0.13221895707671552,0.0005891432918759204
0.44,7.161724648086026,0.9996534389572556,1.0315865743032682e-05,8.876316733786213e-06,0.9931062457698985,0.026290251810265924,0.9985132473080085,0.00016627683202598327,0.004929580653125264,0.46855675684611864,0.9188943536638868,0.6512512058602011,0.06774194408418781,0.13489026977393348,0.0006395129640837514
0.45,3.065679607193808,0.9992672104751309,1.9459243783710112e-05,1.6402655145545415e-05,0.9867315574534246,0.020480878721400038,0.9972996376121794,0.0002598896557675332,0.006490300290689938,0.42096998648415584,0.9035934300378554,0.6585636196565353,0.0973309520379991,0.13617151700125907,0.0007615801919122159
0.46,-1.7514169600264677,0.9982346716167134,4.099181402164129e-05,3.362380505791219e-05,0.9718239637740081,0.01596742307876567,0.9945671854309724,0.0004370377135601353,0.008965566124334813,0.3684379951839735,0.8824402732919895,0.6625944101835749,0.14608821119924664,0.13636716645875135,0.0009617398540055638
0.47000000000000003,-7.675225549870194,0.9948204987462228,0.00010219051326187309,8.047860541081708e-05,0.931732798444432,0.012492079239501228,0.9872527013993657,0.0008174965634727213,0.013212681557662215,0.3114536852785526,0.8548809846639208,0.6636889701577675,0.23082242620658047,0.13571983331450477,0.0012716775907884986
0.48,-15.404344051350833,0.9793971711809436,0.0003352710950869775,0.0002482209972539112,0.808224284942832,0.009991134520903399,0.9619854742871511,0.0017921525841359557,0.02152762902260053,0.2523841138097657,0.8204658257289185,0.6621356211938455,0.38228301091606115,0.13439274674655444,0.0017644330264357385
0.49,-25.548111672900415,0.8917324107897878,0.0015943309529421262,0.0011079256850609245,0.4914528700533905,0.009692499922098679,0.8529814525303564,0.0047238595428750925,0.04003683756898678,0.1979166760062777,0.7789691752794548,0.6581527349445219,0.615528104055865,0.13245114779636902,0.0025940345697519542
0.5,-36.46531271329957,0.6297598500800274,0.008051625223018333,0.00571188859315837,0.168226557465272,0.025049015334276115,0.5360772074438721,0.013003804752162208,0.06850609305224928,0.14685821953433678,0.7276911212288701,0.6514980065515028,0.8244409417221296,0.12987446130587904,0.004005792730819293
0.51,-44.663337971021924,0.41049489680571294,0.021416226786935444,0.00930540183419658,0.0434719659663834,0.13501390114897288,0.25191211068620445,0.029458133136100562,0.09019187976816148,0.09133487464796658,0.6626778493344498,0.641532090262366,0.9189732040021389,0.12670491808604345,0.006149565115865441
0.52,-49.82071105008171,0.3036288088369658,0.034582840612665346,0.009737262943499497,0.014135417763870338,0.364200834686288,0.13427617968071906,0.05219667070944705,0.12022043312178567,0.05583937759385103,0.5875353488630564,0.6284603071957695,0.9524799402210153,0.12312594028712001,0.008924243509360535
0.53,-53.056525017430666,0.24969133088969478,0.04693384371947453,0.010101929528398645,0.007019244344134459,0.5888799290907993,0.08715518778289472,0.07761710541294246,0.16313915385780753,0.041368516404256934,0.5096299006215661,0.6130739727267599,0.9662558221236337,0.11931715243155905,0.01215293198628072
0.54,-54.95629253419482,0.2221222995940816,0.059807536006205864,0.010641850503999961,0.004705670404280314,0.742153070098771,0.06696889034086201,0.10218764003566676,0.21250287390036238,0.035632365116345974,0.43527627743122826,0.5962631289588725,0.9725626601630452,0.11541527906219352,0.01566505956693406
0.55,-55.85380005211681,0.2099654088329265,0.07310343470427669,0.011328438502507582,0.0038477639231108388,0.8283712883640638,0.058947421700048096,0.12285925997927293,0.2601130708261292,0.03320686995112,0.36857918964140424,0.5788776335766652,0.9752940318640868,0.11152551726688556,0.019300501636390983
0.56,-55.97195348271734,0.20814935696396436,0.08564120394035032,0.01207495509889496,0.0036364279335762747,0.8700592500366705,0.05781924573273519,0.13744483954336328,0.3001102803930737,0.03246776565843758,0.3114214968046968,0.5616342395290601,0.9759173702388511,0.10772618497834965,0.0229167452859382
0.5700000000000001,-55.46558800075506,0.21434777672669497,0.09608629926138312,0.012791008863207968,0.003844325109437549,0.8846863741899811,0.061861345564188215,0.14471790147534971,0.32974696037356505,0.03286593939117838,0.2640341280790571,0.5450776389663597,0.9749943093690878,0.10407282763557463,0.026392791000235487
0.58,-54.43879025349318,0.22780186036987984,0.1034351206975724,0.013410181166945805,0.0044506235206600705,0.8814683292077379,0.07107161342276713,0.14433597779335355,0.34864373499923695,0.034187334071291174,0.22568541682518647,0.529585504438756,0.9726511287662523,0.10060286668359189,0.029628535106302655
0.59,-52.954083935710734,0.2488775901535026,0.1069192823851492,0.013900427419200079,0.005568636476684808,0.8634253778392493,0.08672250235669327,0.13670227529377896,0.3577936500147133,0.0363725986347251,0.1952331432587006,0.5153971404809646,0.9687189264373948,0.09734027382335873,0.03254098256465758
0.6,-51.03937512391028,0.27896793150834015,0.1053834302840633,0.014265996583699847,0.007477658317481825,0.8294450535157637,0.11152565225262297,0.12283112393803503,0.3588159644835524,0.03946358384693592,0.1714758674548607,0.5026482105534879,0.9627297697227928,0.09429968214648811,0.035058986144771154
0.61,-48.696706796593695,0.32054464245201764,0.09622906665105808,0.014554372150182845,0.010749212122599052,0.7759467573481369,0.1501313524727556,0.1042494332700792,0.35348905346900583,0.043580980225757425,0.15333862563431983,0.4914006139745362,0.9538161690283338,0.09148954974341435,0.03711791428347849
0.62,-45.91896519263518,0.3770885500364912,0.0751890860958143,0.014898885359611173,0.01652971663012134,0.6996943283704393,0.20944370915964045,0.08294416443412346,0.3433468192010079,0.04889889960936237,0.13995151373326142,0.4816617425251686,0.9405369917662031,0.08891406959450811,0.038655683974901135
0.63,-42.71341387347084,0.4523685095269732,0.043161043288295974,0.015622680846501855,0.027110071680918123,0.6032665693616989,0.2972653786962946,0.061296223967887906,0.328836359905727,0.05560135891713743,0.13067221730998735,0.47339231801536275,0.9206874470238601,0.08657366712772674,0.03961178296050541
0.64,-39.074977083931515,0.5494488351071403,0.01821962868043674,0.0161870490628624,0.047186571947351964,0.49931619382438663,0.41837510498569125,0.0417389857791398,0.307077817609903,0.06389413598560921,0.12510781488264378,0.4665153570996707,0.8909194206374939,0.08446541912609479,0.039926914624645114
0.65,-34.71626722260016,0.6741662398268523,0.008115903293426568,0.010647064019331933,0.08879037033781796,0.40443423821657337,0.5751873327240135,0.025799077179504283,0.26784786289235163,0.07442131143538687,0.12327622758484187,0.4609668077802499,0.8437633118288057,0.08258956977043666,0.0395196222483404
0.66,-28.034101449453086,0.8431320103320911,0.002877719123193343,0.004306922623961405,0.20561169778409408,0.3257409400469159,0.7783447798298986,0.013021060284746895,0.1960715760882336,0.09072537197343106,0.12656844424940852,0.45687160058083975,0.7481283253375326,0.08097874712604493,0.03814496466646946
0.67,-12.547913480487136,0.9871553455916688,0.0002914349511851855,0.0009103013172188713,0.6857876418088011,0.2548838214804153,0.9691448561685531,0.002566428516193165,0.10803092152771705,0.14751331111071606,0.14705304880459427,0.4553868525610489,0.44923875452053197,0.07983489691954397,0.034615694315442376
0.68,7.120399485063607,0.999645509653107,1.2372672806693136e-05,8.46680635363808e-05,0.9895261561683513,0.19830393872083413,0.9983918292069354,0.0001819279851467382,0.04759865524574197,0.3685989511387326,0.2716471990490452,0.4636729058720768,0.10206500487055396,0.08047698295531175,0.02540274025821835
0.6900000000000001,15.444508418531724,0.9999233494866492,3.0790426336295077e-06,8.942019538452438e-06,0.9980221152761962,0.1544338535009169,0.9995455298405443,6.83260419442078e-05,0.020302807644539768,0.5261109216738825,0.5128882825343413,0.48681953174071824,0.03781454357258224,0.08545253093685908,0.014096393941017065
0.7000000000000001,18.5360384012531,0.9999566105834963,1.8363575143289854e-06,2.4317630041557505e-06,0.9988726566341989,0.1202723335608181,0.99971483052301,4.797519277778997e-05,0.009320774692580237,0.5849504121461686,0.7188181547032131,0.5179618565553262,0.02577086127685713,0.0943121031298095,0.006684894134211533
0.71,19.15897688048524,0.9999613497486189,1.6364740016477961e-06,1.6983035646664937e-06,0.9990044117429695,0.09366789574772762,0.9997412092450362,4.458476213035954e-05,0.005039750099164149,0.6016707913267523,0.8398577351604588,0.5504189691002421,0.02328086772831259,0.10480532618935874,0.003058619927724696
0.72,18.311185770118545,0.9999549057317547,1.847557995038562e-06,1.7724684465303261e-06,0.99886805673274,0.07294853575572938,0.9997078804307892,4.8859536769483415e-05,0.0034834823734893384,0.596672843515659,0.8988221838986383,0.5801575069222892,0.02465319636044916,0.11491517353777467,0.0015037809451132196
0.73,16.49524221149682,0.9999371548237168,2.435368343477667e-06,2.242024040573276e-06,0.9984838182646555,0.05681244293596511,0.9996195312811688,5.964069294396663e-05,0.003092788568708578,0.5779683162829391,0.9237977528994051,0.6053542657019693,0.02889718674739773,0.12344300671764863,0.0008764088773493381
0.74,13.994323580255479,0.9999007023451189,3.5800565245447164e-06,3.2076060743327897e-06,0.9977233209867596,0.04424589895649814,0.999451861857698,7.853394445358156e-05,0.0032817006861372918,0.5495588026086029,0.9312513466372917,0.6255726032478038,0.03630015541909715,0.12993912774676944,0.0006441919006063894
0.75,10.957971616794579,0.9998269412999918,5.727486034726106e-06,5.0269464557359104e-06,0.9962696932125582,0.03445961507404852,0.9991458432434959,0.00010966148496174718,0.003863635691926973,0.5137220029885177,0.9288553513385662,0.6410575091566938,0.047974159473838256,0.1344336170242983,0.0005907738559023009
0.76,7.435363543896447,0.9996703560137852,9.887210846090589e-06,8.518324852594195e-06,0.9934037714918793,0.026839360073955515,0.9985714546054705,0.0001613690588265311,0.004840597713334206,0.4718046144544613,0.9197330067760479,0.6522971984851725,0.06609091613440894,0.13718771948868036,0.0006346440378219803
0.77,3.379342274962873,0.9993080298551961,1.8536132539089797e-05,1.5648334439320123e-05,0.9873762515132308,0.020908107849351446,0.9974201356819734,0.0002511775422657694,0.006353589317798805,0.4245520333090686,0.9048509305805393,0.6598007052925812,0.0947072393731019,0.13852942772606314,0.0007511922055700896
0.78,-1.3805436878795825,0.9983500860349829,3.870780905639795e-05,3.1818567080749776e-05,0.973390408343824,0.016298859732159762,0.9948512297395269,0.00041999860601985364,0.008745455246754663,0.37232548334421495,0.8841336151922552,0.6640061051033107,0.14171787838661537,0.13876558260961114,0.0009448976526288345
0.79,-7.21239246933683,0.9952367325271948,9.515785719653628e-05,7.51891093600234e-05,0.9361587154621095,0.01274510622326847,0.9880703970040752,0.0007789408363108307,0.01282151620682099,0.3155752235731189,0.8570431834113309,0.6652622660843968,0.22314765530350708,0.13814270353236713,0.001245317817941035
0.8,-14.79424174023586,0.9814900330508654,0.00030525822666080144,0.00022707567031516327,0.8219957393564755,0.010158188793803404,0.9650855726088899,0.0016869113928699578,0.020720266013787274,0.2564428878465276,0.8231055203149847,0.6638579804226735,0.36891595216771494,0.13682854364085884,0.0017216314215051255
0.81,-24.792724377549455,0.9031476303651241,0.0014195416579336477,0.000988687937410413,0.5182366090476626,0.009562953165525858,0.8662934319763814,0.004402239088176239,0.03826300033681541,0.20140788673261337,0.7821233442832871,0.6600200147395475,0.5983935914458898,0.13489306316908858,0.002520983614573928
0.8200000000000001,-35.78890747319422,0.6491939431626336,0.0073326536767225085,0.005221838661786234,0.1833825051949092,0.022438068791453863,0.5611310212801432,0.012194458733788664,0.06680825578614842,0.15059688175890149,0.7316674001783401,0.6535483855794538,0.814079832491965,0.13231509736393385,0.0038860036242315925
0.8300000000000001,-44.234724475249536,0.42060703490521,0.020490152322940172,0.009238407164372417,0.047482153777313345,0.12303763079364134,0.26429126555761717,0.028132495553046973,0.08861857957031109,0.09467873454959459,0.6675272006375625,0.6437816548151113,0.9153494238396491,0.12912545546977375,0.005982453539850675
0.84,-49.563068680674164,0.30834432655583355,0.03376566041543724,0.009710630503103326,0.014991630034332994,0.3481705340225795,0.13884336733931182,0.05060343395007137,0.11780067048723206,0.057357498582953664,0.5927786679263906,0.6308549323845254,0.9511629821149359,0.1255048988523129,0.008722366211021328
0.85,-52.91090790472902,0.25193301600860785,0.04613247808819858,0.010067051926489363,0.007248759183967583,0.5766178270899823,0.08891559658460908,0.07602017073370261,0.16011126288976305,0.04191539270124742,0.5147646683958761,0.615544325723168,0.9657120192471571,0.12163930047766218,0.011929222576271036
0.86,-54.89255786557525,0.223015744048429,0.0589891894608137,0.01059760113312815,0.004777365804406991,0.735033069260528,0.0675785747797663,0.10082798656877669,0.20945590303560074,0.035832730200048415,0.4399400896819561,0.598741322264584,0.9723523148360426,0.1176703548036038,0.015431776572767085
0.87,-55.85251662961025,0.21000748763973293,0.07233744167043077,0.011280631421135117,0.0038602847738087222,0.8249900027249812,0.05897180341492534,0.12192012824358726,0.2575441965581915,0.03325541143996651,0.3725803178312807,0.5813056784471706,0.9752628879759353,0.11370722903381393,0.01906870555894803
0.88,-56.01980600983052,0.20756791607470604,0.08502862549946145,0.012030664108858056,0.0036158007151296267,0.868963779615499,0.057447899472541725,0.13703691252520714,0.2982864018448947,0.03242384151104913,0.31470904563091223,0.563968318433897,0.9760071369411054,0.10983145179873675,0.022695866386732176
0.89,-55.55362339290081,0.2132287083734002,0.09570684790472672,0.012755878276986198,0.0037955336644832902,0.885024918992983,0.06112432148712016,0.14488269666759324,0.32873448668759137,0.03275123441395302,0.26664601334278737,0.547288248453837,0.9751878629606119,0.10610102995478854,0.0261905831481159
0.9,-54.56156153894448,0.22613807770220262,0.10333861007574131,0.013387282220396361,0.00436811738919421,0.8829082620889125,0.0698999209031415,0.14505652940748362,0.3483854146667048,0.03400876126028782,0.22770155753812546,0.5316551850004586,0.9729554481852329,0.10255515440538132,0.029451325181797813
0.91,-53.109097998132484,0.24658286837400373,0.10715764269977757,0.013890053624905143,0.0054363380413287275,0.865988328754176,0.08494808013937959,0.137914473700637,0.35817312794297346,0.03612835548163721,0.19674373548091295,0.5173174106326882,0.969162283523381,0.09921898610200604,0.03239407436078551
0.92,-51.226584994749324,0.2758728858049175,0.10608067866001884,0.014265593291214216,0.007262538119734625,0.8333922371291762,0.1088469021244999,0.124432544627172,0.3596977125255443,0.03914510030864598,0.1725638064693212,0.5044167506304968,0.9633672012139873,0.096107903327961,0.03494710413839784
0.93,-48.91765918313206,0.3163880076304399,0.09766952335525249,0.014557123433981932,0.01038551970136169,0.7816439332726407,0.1460629018071964,0.10610408608774685,0.35474354472482705,0.043174115499738965,0.15407164386448483,0.49301923902097144,0.9547421034984407,0.0932308062991341,0.03704559413244058
0.9400000000000001,-46.17507300374721,0.37153552452559174,0.07769287963484624,0.014887162125788507,0.01588579617569882,0.707290806992255,0.2033208685574137,0.08488370224005391,0.34488678952459073,0.048386453686449574,0.14037981859086318,0.48313540309087033,0.9419027632012978,0.09059216943329393,0.03862748683402145
0.9500000000000001,-43.00456166308166,0.44509937447361936,0.046027225040018216,0.015561688465598446,0.025921786142825712,0.6121735176652766,0.2884626519400594,0.06312814762210733,0.3307219042674184,0.05496641909285248,0.1308281490838043,0.47472882959106094,0.9227195608981338,0.08819264384809483,0.039632246207720545
0.96,-39.40750398480282,0.5401671367508682,0.019642468171688705,0.01629256380702303,0.04488628663233748,0.5081493652017579,0.4066317372317848,0.043293200441651906,0.3097843900495451,0.06311074608321898,0.12500173597526693,0.4677238915220416,0.8939918126378228,0.08602933069961508,0.04000090717439851
0.97,-35.14408557087767,0.6619394610490718,0.008707203658949506,0.011329999424902997,0.08366255351778472,0.4119738609421778,0.5600339669509445,0.027026876291403698,0.27261064092199033,0.0733830774797698,0.12286834876755309,0.46205044730011763,0.848945580921312,0.08410141563697836,0.039656746778693644
