t,pM9,M3,M3_pM9,M3_T1,T1,pM9_T1,M3_pM9_T1,M9_T1_star,M9,M9_T1,M9_T1_M3,pM9_T1_M3,M3_pM9_T1_M3,Tr,Tr_pM9,Tr_pM9_T1,Tr_pM9_T1_M3
0.23,2.9919683985355447e-07,4.3882940552157615e-08,3.229633272581046e-11,6.070618742479315e-09,2.9322735009674197e-07,6.878049919217665e-10,3.6105025998684744e-14,2.8786081181171034e-15,2.0135105955585478e-14,4.253810461092365e-18,3.9485518494557477e-19,1.4105952030590884e-11,5.466562042121134e-16,9.993110680206848e-08,6.881251783509715e-11,7.945822300307065e-14,1.2218734008061792e-15
0.24,2.9916210248936475e-07,4.363714864691253e-08,3.360544140695483e-11,6.313892734870998e-09,2.9295363288555445e-07,7.170321112710278e-10,3.915067856841527e-14,3.236944650582442e-15,2.1806130307620153e-14,4.804539846719181e-18,4.582698260838924e-19,1.5311421871310682e-11,6.1355585914458015e-16,9.992811627850277e-08,7.179588352346333e-11,8.646128409787349e-14,1.3766896437152414e-15
0.25,2.9912738002500397e-07,4.339295946638101e-08,3.490692963667858e-11,6.555525071338503e-09,2.9268156396335503e-07,7.462057326866476e-10,4.230943006153616e-14,3.6208947677031655e-15,2.3536318827369895e-14,5.3966386879028396e-18,5.275888266836815e-19,1.6563309614287325e-11,6.851224934914573e-16,9.992512615689047e-08,7.47785437341048e-11,9.37565485335518e-14,1.5428268718381844e-15
0.26,2.9909267246047206e-07,4.315037301056307e-08,3.620079741498171e-11,6.79551575188183e-09,2.924111433301437e-07,7.75325856168626e-10,4.5581280478047414e-14,4.030458469479274e-15,2.532567151483471e-14,6.03010698464334e-18,6.028121867449419e-19,1.7861615259520804e-11,7.613561072527447e-16,9.992213643723157e-08,7.776049846702151e-11,1.0134401631010554e-13,1.720285085175008e-15
0.27,2.9905797979576904e-07,4.2909389279458694e-08,3.748704474186421e-11,7.033864776500978e-09,2.921423709859205e-07,8.043924817169628e-10,4.896622981794902e-14,4.465635755910766e-15,2.7174188370014595e-14,6.7049447369406825e-18,6.839399062676735e-19,1.9206338807011122e-11,8.422567004284423e-16,9.991914711952605e-08,8.07417477222135e-11,1.092236874275347e-13,1.9090642837257123e-15
0.28,2.9902330203089494e-07,4.267000827306789e-08,3.8765671617326094e-11,7.270572145195948e-09,2.9187524693068534e-07,8.334056093316581e-10,5.2464278081240983e-14,4.926426626997642e-15,2.908186939290955e-14,7.421151944794866e-18,7.709719852518764e-19,2.0597480256758275e-11,9.278242730185502e-16,9.991615820377394e-08,8.372229149968076e-11,1.173955618858393e-13,2.1091644674902967e-15
0.29,2.989886389019381e-07,4.243216772472001e-08,4.0036926503290484e-11,7.5057022011887e-09,2.9160970680193564e-07,8.623675824923677e-10,5.606773887412122e-14,5.4171194048542115e-15,3.104362401608839e-14,8.188742698503725e-18,8.666949199870466e-19,2.2032718732061976e-11,1.0186999358451832e-15,9.991316968929682e-08,8.670213105898017e-11,1.2585679369328824e-13,2.3228504876795642e-15
0.3,2.989539900557904e-07,4.219578432294997e-08,4.130114183646255e-11,7.73934103432527e-09,2.9134566448402805e-07,8.912815367244295e-10,5.976632796712849e-14,5.943451772165379e-15,3.305264116990021e-14,9.021115635337347e-18,9.748369825305517e-19,2.3508948949852982e-11,1.1157414813887342e-15,9.991018157518698e-08,8.968126808537181e-11,1.3460357497420424e-13,2.5531526664637543e-15
0.31,2.989193554906432e-07,4.196085764105894e-08,4.25583193194934e-11,7.971489085534614e-09,2.910831195359015e-07,9.201474880871579e-10,6.355999268721417e-14,6.505453115793844e-15,3.510888596988385e-14,9.918339379500909e-18,1.0954172680859927e-18,2.5026155005709217e-11,1.218953303030857e-15,9.990719386143975e-08,9.265970258748712e-11,1.4363588622567534e-13,2.8000865243354466e-15
0.32,2.988847352064967e-07,4.1727387679046906e-08,4.380845895238302e-11,8.202146354816738e-09,2.9082207195755603e-07,9.489654365805533e-10,6.744873303437822e-14,7.103123435739605e-15,3.7212358416039326e-14,1.0880413930994416e-17,1.228435776653369e-18,2.658433689963067e-11,1.328335400771552e-15,9.990420654805516e-08,9.563743456532609e-11,1.529537274477015e-13,3.0636520612946434e-15
0.33,2.9885012920335074e-07,4.149537443691388e-08,4.5051560735131435e-11,8.431312842171641e-09,2.905625217489916e-07,9.77735382204615e-10,7.143254900862064e-14,7.736462732002664e-15,3.9363058508366625e-14,1.1907339289817862e-17,1.3738925082326805e-18,2.818349463161735e-11,1.4438877746108185e-15,9.990121963503318e-08,9.861446401888872e-11,1.6255709864028275e-13,3.343849277341342e-15
0.34,2.9881553748120543e-07,4.126481791465984e-08,4.6287624667738616e-11,8.65898854759932e-09,2.903044689102082e-07,1.006457324959344e-09,7.551144060994146e-14,8.40547100458302e-15,4.1560986246865754e-14,1.2999115455971248e-17,1.5317874628239277e-18,2.982362820166925e-11,1.5656104245486573e-15,9.989823312237384e-08,1.0159079094817501e-10,1.724459998034191e-13,3.640678172475545e-15
0.35000000000000003,2.987809600400607e-07,4.103571811228481e-08,4.7516650750204587e-11,8.885173471099779e-09,2.900479134412059e-07,1.0351312648447395e-09,7.968540783834065e-14,9.11014825348067e-15,4.38061416315367e-14,1.4155742429454577e-17,1.70212064042711e-18,3.1504737609786376e-11,1.693503350585068e-15,9.989524701007712e-08,1.0456641535318496e-10,1.8262043093711053e-13,3.954138746697252e-15
0.36,2.9874639687991657e-07,4.080807502978879e-08,4.8738638982529326e-11,9.109867612673013e-09,2.897928553419846e-07,1.0637572018608015e-09,8.39544506938182e-14,9.850494478695617e-15,4.609852466237947e-14,1.537722021026784e-17,1.884892041042227e-18,3.3226822855968707e-11,1.8275665527200497e-15,9.989226129814302e-08,1.0754133723391855e-10,1.93080392041357e-13,4.284231000006459e-15
0.37,2.9871184800077306e-07,4.0581888667171764e-08,4.995358936471286e-11,9.333070972319027e-09,2.895392946125444e-07,1.0923351360075307e-09,8.831856917637416e-14,1.0626509680227863e-14,4.843813533939407e-14,1.666354879841105e-17,2.08010166466928e-18,3.4989883940216275e-11,1.967800030953604e-15,9.988927598657156e-08,1.1051555659037583e-10,2.0382588311615864e-13,4.6309549324031716e-15
0.38,2.986773134026301e-07,4.035715902443374e-08,5.116150189675517e-11,9.55478355003782e-09,2.892872312528852e-07,1.1208650672849265e-09,9.27777632860085e-14,1.1438193858077405e-14,5.0824973662580505e-14,1.8014728193884204e-17,2.2877495113082686e-18,3.679392086252907e-11,2.1142037852857306e-15,9.988629107536273e-08,1.1348907342255675e-10,2.1485690416151535e-13,4.994310543887388e-15
0.39,2.986427930854878e-07,4.013388610157471e-08,5.2362376578656255e-11,9.77500534582939e-09,2.890366652630071e-07,1.149346995692989e-09,9.733203302272122e-14,1.2285547012244245e-14,5.325903963193876e-14,1.94307583966873e-17,2.5078355809591926e-18,3.863893362290708e-11,2.2667778157164286e-15,9.988330656451651e-08,1.1646188773046134e-10,2.2617345517742716e-13,5.374297834459107e-15
0.4,2.9860828704934605e-07,3.9912069898594694e-08,5.355621341041613e-11,9.993736359693739e-09,2.8878759664291e-07,1.1777809212317185e-09,1.0198137838651232e-13,1.3168569142728382e-14,5.574033324746884e-14,2.0911639406820333e-17,2.7403598736220516e-18,4.052492222135032e-11,2.425522122245699e-15,9.988032245403294e-08,1.194339995140896e-10,2.3777553616389406e-13,5.77091680411833e-15
0.41000000000000003,2.98573794849492e-07,3.969161110906328e-08,5.4743421826468165e-11,1.0211079452949608e-08,2.8853992249603e-07,1.206170846975798e-09,1.0671241927316684e-13,1.4088608232778229e-14,5.826606546644877e-14,2.248343994482233e-17,2.993212628897445e-18,4.244793218226166e-11,2.5905031220011027e-15,9.987733874251584e-08,1.2240541159575814e-10,2.4965832874681416e-13,6.187559641862861e-15
0.42,2.9853931526774624e-07,3.947223770799197e-08,5.5925123369461736e-11,1.0427316388308033e-08,2.882933609631105e-07,1.234527738341469e-09,1.1148850425254896e-13,1.5049356743458475e-14,6.082859640784147e-14,2.4217568713810682e-17,3.2880071736196858e-18,4.4397131214371664e-11,2.7619027479983495e-15,9.98743554261409e-08,1.2537613170649316e-10,2.6180863420225233e-13,6.633518396249304e-15
0.43,2.985048482344859e-07,3.925393414826225e-08,5.710138213923037e-11,1.0642463269430236e-08,2.880478959349724e-07,1.262852222038164e-09,1.1630753857545912e-13,1.6051025711005108e-14,6.34274894274388e-14,2.611810695490418e-17,3.6259787801623245e-18,4.6371900216778036e-11,2.9397313983048033e-15,9.987137250468953e-08,1.283461602881484e-10,2.7422569817993293e-13,7.109324138267554e-15
0.44,2.98470393749711e-07,3.903670042987415e-08,5.8272198135774e-11,1.08565200963162e-08,2.878035274116157e-07,1.2911442980658808e-09,1.2116952224189681e-13,1.7093615135418077e-14,6.606274452524059e-14,2.818505466810282e-17,4.007127448525361e-18,4.8372239189480677e-11,3.123989072920464e-15,9.986838997816172e-08,1.313154973407237e-10,2.8690952067985595e-13,7.614976867917584e-15
0.45,2.9843595181342146e-07,3.882053655282765e-08,5.943757135909267e-11,1.106948686896593e-08,2.875602553930405e-07,1.3194039664246205e-09,1.2607445525186233e-13,1.8177125016697533e-14,6.873436170124695e-14,3.041841185340641e-17,4.431453178708771e-18,5.039814813247974e-11,3.314675771845325e-15,9.986540784655749e-08,1.3428414286421907e-10,2.998601017020218e-13,8.150476585199396e-15
0.46,2.984015224256173e-07,3.860544251712276e-08,6.059750180918633e-11,1.1281363587379426e-08,2.873180798792466e-07,1.347631227114383e-09,1.3102233760535548e-13,1.9301555354843325e-14,7.144234095545783e-14,3.2818178510815245e-17,4.8989559707125295e-18,5.244962704577502e-11,3.511791495079387e-15,9.986242610987682e-08,1.372520968586345e-10,3.130774412464305e-13,8.715823290113014e-15
0.47000000000000003,2.983671055862986e-07,3.839141832275947e-08,6.175198948605504e-11,1.1492150251556688e-08,2.8707700087023416e-07,1.3758260801351676e-09,1.3601316930237636e-13,2.0466906149855503e-14,7.418668228787323e-14,3.5384354640329125e-17,5.4096358245367105e-18,5.452667592936662e-11,3.715336242622656e-15,9.985944476811972e-08,1.4021935932397005e-10,3.265615393130816e-13,9.311016982658414e-15
0.48,2.9833270129546526e-07,3.817846396973779e-08,6.290103438969873e-11,1.1701846861497716e-08,2.868370183660031e-07,1.4039885254869755e-09,1.4104695034292498e-13,2.1673177401734118e-14,7.69673856984932e-14,3.811694024194815e-17,5.963492740181265e-18,5.662929478325459e-11,3.925310014475131e-15,9.98564638212862e-08,1.431859302602257e-10,3.4031239590197515e-13,9.936057662835595e-15
0.49,2.9829830955311736e-07,3.7966579458057716e-08,6.404463652011746e-11,1.1910453417202509e-08,2.8659813236655355e-07,1.4321185631698062e-09,1.4612368072700132e-13,2.292036911047917e-14,7.978445118731769e-14,4.101593531567232e-17,6.5605267176461676e-18,5.875748360743878e-11,4.1417128106368075e-15,9.985348326937624e-08,1.4615180966740149e-10,3.543300110131119e-13,1.0590945330644582e-14
0.5,2.982639303592549e-07,3.775576478771925e-08,6.518279587731121e-11,1.211796991867107e-08,2.863603428718853e-07,1.4602161931836589e-09,1.512433604546054e-13,2.4208481276090507e-14,8.263787875434669e-14,4.408133986150154e-17,7.200737756931493e-18,6.091124240191934e-11,4.3645446311076906e-15,9.985050311238986e-08,1.4911699754549732e-10,3.6861438464649153e-13,1.127567998608535e-14
0.51,2.982295637138778e-07,3.754601995872239e-08,6.631551246127997e-11,1.2324396365903396e-08,2.8612364988199855e-07,1.4882814155285349e-09,1.564059895257371e-13,2.5537513898568382e-14,8.552766839958022e-14,4.73131538794359e-17,7.884125858037192e-18,6.309057116669627e-11,4.593805475887774e-15,9.984752335032706e-08,1.520814938945132e-10,3.8316551680211316e-13,1.19902616291579e-14
0.52,2.981952096169861e-07,3.733734497106713e-08,6.744278627202377e-11,1.2529732758899488e-08,2.858880533968931e-07,1.5163142302044333e-09,1.6161156794039652e-13,2.6907466977912542e-14,8.845382012301836e-14,5.071137736947521e-17,8.610691020963263e-18,6.529546990176941e-11,4.829495344977065e-15,9.98445439831878e-08,1.550452987144492e-10,3.979834074799776e-13,1.2734690259862256e-14
0.53,2.981608680685798e-07,3.7129739824753475e-08,6.856461730954258e-11,1.2733979097659347e-08,2.8565355341656915e-07,1.5443146372113541e-09,1.6686009569858379e-13,2.831834051412309e-14,9.141633392466098e-14,5.4276010331619666e-17,9.380433245709733e-18,6.752593860713888e-11,5.07161423837555e-15,9.984156501097213e-08,1.5800841200530527e-10,4.130680566800853e-13,1.3508965878198394e-14
0.54,2.9812653906865893e-07,3.692320451978143e-08,6.96810055738364e-11,1.293713538218297e-08,2.8542014994102664e-07,1.5722826365492978e-09,1.7215157280029868e-13,2.977013450720012e-14,9.441520980450811e-14,5.800705276586946e-17,1.01933525322766e-17,6.978197728280472e-11,5.320162156083248e-15,9.983858643368003e-08,1.6097083376708144e-10,4.2841946440243503e-13,1.4313088484166312e-14
0.55,2.9809222261722344e-07,3.671773905615099e-08,7.079195106490523e-11,1.313920161247036e-08,2.851878429702655e-07,1.600218228218264e-09,1.774859992455413e-13,3.126284895714349e-14,9.745044776255986e-14,6.190450467222431e-17,1.1049448880663792e-17,7.206358592876687e-11,5.575139098100146e-15,9.983560825131149e-08,1.639325639997777e-10,4.440376306470276e-13,1.5147058077766012e-14
0.56,2.9805791871427337e-07,3.651334343386215e-08,7.18974537827491e-11,1.3340177788521517e-08,2.8495663250428577e-07,1.6281214122182534e-09,1.8286337503431176e-13,3.279648386395325e-14,1.0052204779881608e-13,6.59683660506841e-17,1.1948722290871406e-17,7.43707645450253e-11,5.8365450644262455e-15,9.983263046386653e-08,1.6689360270339405e-10,4.599225554138626e-13,1.6010874658997544e-14
0.5700000000000001,2.9802362735980874e-07,3.631001765291492e-08,7.299751372736798e-11,1.3540063910336439e-08,2.8472651854308746e-07,1.6559921885492648e-09,1.8828370016660974e-13,3.437103922762947e-14,1.0363000991327682e-13,7.019863690124894e-17,1.2891172762899394e-17,7.670351313158004e-11,6.104380055061558e-15,9.982965307134513e-08,1.6985394987793048e-10,4.760742387029404e-13,1.690453822786083e-14
0.58,2.979893485538295e-07,3.61077617133093e-08,7.409213089876188e-11,1.3738859977915126e-08,2.8449750108667056e-07,1.683830557211299e-09,1.9374697464243556e-13,3.598651504817197e-14,1.0677433410594207e-13,7.459531722391902e-17,1.3876800296747754e-17,7.906183168843111e-11,6.378644070006065e-15,9.982667607374731e-08,1.7281360552338698e-10,4.92492680514261e-13,1.78280487843559e-14
0.59,2.979550822963356e-07,3.5906575615045286e-08,7.518130529693079e-11,1.3936565991257581e-08,2.8426958013503505e-07,1.7116365182043558e-09,1.99253198461789e-13,3.764291132558096e-14,1.0995502037681195e-13,7.915840701869425e-17,1.4905604892416513e-17,8.144572021557849e-11,6.659337109259778e-15,9.982369947107306e-08,1.757725696397636e-10,5.091778808478241e-13,1.8781406328482775e-14
0.6,2.979208285873272e-07,3.570645935812287e-08,7.626503692187474e-11,1.4133181950363801e-08,2.8404275568818095e-07,1.7394100715284358e-09,2.0480237162467018e-13,3.934022805985634e-14,1.131720687258863e-13,8.388790628557452e-17,1.597758654990562e-17,8.385517871302217e-11,6.946459172822699e-15,9.982072326332237e-08,1.787308422270603e-10,5.2612983970363e-13,1.976461086024143e-14
0.61,2.978865874268041e-07,3.550741294254207e-08,7.73433257735937e-11,1.4328707855233788e-08,2.838170277461083e-07,1.767151217183538e-09,2.1039449413107918e-13,4.107846525099805e-14,1.164254791531652e-13,8.878381502455984e-17,1.7092745269215174e-17,8.629020718076219e-11,7.24001026069482e-15,9.981774745049525e-08,1.816884232852771e-10,5.433485570816787e-13,2.0777662379631894e-14
0.62,2.978523588147665e-07,3.5309436368302865e-08,7.841617185208769e-11,1.4523143705867543e-08,2.8359239630881707e-07,1.7948599551696635e-09,2.1602956598101592e-13,4.2857622899006226e-14,1.197152516586487e-13,9.384613323565031e-17,1.8251081050345077e-17,8.875080561879854e-11,7.539990372876154e-15,9.981477203259171e-08,1.84645312814414e-10,5.608340329819698e-13,2.1820560886654138e-14
0.63,2.9781814275121424e-07,3.5112529635405276e-08,7.948357515735667e-11,1.471648950226506e-08,2.833688613763072e-07,1.8225362854868112e-09,2.217075871744803e-13,4.467770100388081e-14,1.2304138624233665e-13,9.907486091884592e-17,1.9452593893295328e-17,9.123697402713117e-11,7.846399509366683e-15,9.981179700961173e-08,1.8760151081447097e-10,5.78586267404504e-13,2.2893306381308164e-14
0.64,2.9778393923614744e-07,3.491669274384929e-08,8.054553568940069e-11,1.4908745244426345e-08,2.831464229485788e-07,1.8501802081349815e-09,2.274285577114724e-13,4.6538699565621736e-14,1.2640388290422917e-13,1.0446999807414667e-16,2.069728379806605e-17,9.374871240576016e-11,8.159237670166418e-15,9.980882238155533e-08,1.9055701728544802e-10,5.966052603492806e-13,2.3995898863593995e-14
0.65,2.9774974826956603e-07,3.47219256936349e-08,8.160205344821972e-11,1.5099910932351394e-08,2.8292508102563175e-07,1.8777917231141743e-09,2.331924775919922e-13,4.8440618584229044e-14,1.298027416443262e-13,1.1003154470155257e-16,2.1985150764657074e-17,9.62860207546854e-11,8.478504855275348e-15,9.98058481484225e-08,1.9351183222734517e-10,6.148910118162999e-13,2.5128338333511583e-14
0.66,2.9771556985147e-07,3.452822848476213e-08,8.265312843381375e-11,1.528998656604021e-08,2.8270483560746617e-07,1.90537083042439e-09,2.3899934681603977e-13,5.038345805970284e-14,1.3323796246262776e-13,1.1575950080106342e-16,2.3316194793068494e-17,9.884889907390695e-11,8.804201064693491e-15,9.980287431021323e-08,1.964659556401624e-10,6.334435218055615e-13,2.6290624791061002e-14
0.67,2.976814039818594e-07,3.4335601117230954e-08,8.369876064618283e-11,1.5478972145492795e-08,2.82485686694082e-07,1.932917530065629e-09,2.4484916538361506e-13,5.236721799204295e-14,1.367095453591339e-13,1.2165386637267932e-16,2.4690415883300313e-17,1.0143734736342487e-10,9.13632629842084e-15,9.979990086692754e-08,1.9941938752389976e-10,6.52262790317066e-13,2.7482758236242178e-14
0.68,2.976472506607342e-07,3.414404359104139e-08,8.473895008532692e-11,1.5666867670709144e-08,2.822676342854792e-07,1.96043182203789e-09,2.50741933294718e-13,5.4391898381249465e-14,1.4021749033384454e-13,1.2771464141640046e-16,2.610781403535253e-17,1.0405136562323908e-10,9.474880556457391e-15,9.979692781856542e-08,2.0237212787855718e-10,6.713488173508134e-13,2.870473866905516e-14
0.6900000000000001,2.976131098880944e-07,3.395355590619343e-08,8.577369675124603e-11,1.585367314168926e-08,2.8205067838165784e-07,1.9879137063411736e-09,2.566776505493487e-13,5.645749922732242e-14,1.4376179738675975e-13,1.3394182593222674e-16,2.7568389249225093e-17,1.0669095385334958e-10,9.819863838803142e-15,9.979395516512686e-08,2.0532417670413465e-10,6.907016029068031e-13,2.995656608949992e-14
