t,X,K,V,Y,Z
0.54,99999999983.77435,1.3500000000493638e-14,38824.59445219932,85.04411684398283,5.628157457010792e-07
0.55,99999999983.24777,1.3500000000509665e-14,39283.21603487004,84.78936666530281,5.749345363503425e-07
0.56,99999999982.71507,1.350000000052588e-14,39734.743231244196,84.53537958928995,5.871080725539728e-07
0.5700000000000001,99999999982.17635,1.350000000054228e-14,40179.25422350776,84.28215333006709,5.99335650806469e-07
0.58,99999999981.6317,1.3500000000558858e-14,40616.82638981689,84.0296856086055,6.116168509266254e-07
0.59,99999999981.08119,1.3500000000575617e-14,41047.53630897832,83.7779741527054,6.23951801656174e-07
0.6,99999999980.52496,1.350000000059255e-14,41471.459775030795,83.52701669697355,6.3634064248761e-07
0.61,99999999979.96306,1.3500000000609656e-14,41888.67180502683,83.27681098280283,6.48783525283208e-07
0.62,99999999979.3956,1.350000000062693e-14,42299.24664672181,83.02735475835206,6.612806161277062e-07
0.63,99999999978.82266,1.3500000000644374e-14,42703.257786170085,82.77864577852569,6.738320974146603e-07
0.64,99999999978.24432,1.3500000000661981e-14,43100.77795535669,82.53068180495357,6.864381674263061e-07
0.65,99999999977.6607,1.350000000067975e-14,43491.87914471233,82.28346060596876,6.990989339193614e-07
0.66,99999999977.07185,1.3500000000697679e-14,43876.63260577261,82.03697995658933,7.118145163576951e-07
0.67,99999999976.47789,1.3500000000715763e-14,44255.10885701712,81.79123763849924,7.245850785152751e-07
0.68,99999999975.87888,1.3500000000734003e-14,44627.37769299985,81.54623144002743,7.374107890690529e-07
0.6900000000000001,99999999975.27492,1.3500000000752393e-14,44993.50819153577,81.30195915612795,7.502918219400076e-07
0.7000000000000001,99999999974.66606,1.3500000000770933e-14,45353.568720802396,81.05841858836017,7.632283567004283e-07
0.71,99999999974.05241,1.3500000000789617e-14,45707.626946356344,80.815607544869,7.762205790474316e-07
0.72,99999999973.43405,1.3500000000808448e-14,46055.74983812904,80.5735238403651,7.892686809637208e-07
0.73,99999999972.81107,1.350000000082742e-14,46398.00368184163,80.33216529610452,8.023728343127738e-07
0.74,99999999972.18352,1.350000000084653e-14,46734.45408216881,80.09152973986971,8.155332127828726e-07
0.75,99999999971.55148,1.3500000000865779e-14,47065.165967400375,79.85161500595036,8.287500045403614e-07
0.76,99999999970.91505,1.3500000000885161e-14,47390.2035981193,79.61241893512361,8.420234006971303e-07
0.77,99999999970.2743,1.3500000000904676e-14,47709.630573846276,79.3739393746346,8.553535953664365e-07
0.78,99999999969.6293,1.350000000092432e-14,48023.50983960649,79.13617417817709,8.68740785741481e-07
0.79,99999999968.98012,1.3500000000944092e-14,48331.90369241882,78.89912120587424,8.821851721967385e-07
0.8,99999999968.32684,1.350000000096399e-14,48634.873787726785,78.66277832425928,8.956869583681681e-07
0.81,99999999967.66954,1.3500000000984012e-14,48932.481148982864,78.42714340625564,9.092463439722939e-07
0.8200000000000001,99999999967.00827,1.3500000001004153e-14,49224.786171822205,78.1922143311583,9.228635296706834e-07
0.8300000000000001,99999999966.34312,1.3500000001024414e-14,49511.84862813688,77.9579889846152,9.365387220064325e-07
0.84,99999999965.67416,1.3500000001044792e-14,49793.7276739269,77.72446525860789,9.502721296738864e-07
0.85,99999999965.00146,1.3500000001065285e-14,50070.481855427744,77.49164105143255,9.640639635216205e-07
0.86,99999999964.32509,1.350000000108589e-14,50342.16911516574,77.25951426768108,9.779144365656097e-07
0.87,99999999963.64511,1.3500000001106605e-14,50608.846797941515,77.02808281822232,9.918237640125897e-07
0.88,99999999962.96158,1.3500000001127428e-14,50870.57165674706,76.79734462018315,1.0057921632893539e-06
0.89,99999999962.27458,1.3500000001148358e-14,51127.39986335221,76.56729759692863,1.0198198506292724e-06
0.9,99999999961.58418,1.3500000001169394e-14,51379.387010990205,76.33793967804408,1.0339070433704308e-06
0.91,99999999960.89044,1.3500000001190531e-14,51626.588115812854,76.10926879931766,1.0480539631075505e-06
0.92,99999999960.19342,1.3500000001211769e-14,51869.057625760164,75.88128290272097,1.062260833401921e-06
0.93,99999999959.49318,1.3500000001233104e-14,52106.84942617516,75.65397993639054,1.0765278798193818e-06
0.9400000000000001,99999999958.7898,1.3500000001254536e-14,52340.016845349244,75.42735785460938,1.0908553299766138e-06
0.9500000000000001,99999999958.08331,1.3500000001276064e-14,52568.612659998056,75.20141461778863,1.1052434135957346e-06
0.96,99999999957.37381,1.3500000001297685e-14,52792.68910066785,74.97614819244917,1.1196923625672024e-06
0.97,99999999956.66135,1.3500000001319396e-14,53012.29785707243,74.75155655120349,1.1342024110210247e-06
0.98,99999999955.94597,1.3500000001341195e-14,53227.49008336054,74.52763767273737,1.1487737954062739e-06
0.99,99999999955.22775,1.3500000001363085e-14,53438.31640331381,74.30438954179175,1.1634067545789094e-06
1.0,99999999954.50673,1.3500000001385058e-14,53644.82692694052,74.08181014914162,1.1781015225177788e-06
1.01,99999999953.78299,1.3500000001407116e-14,53847.07125202072,73.85989749157892,1.192858330690908e-06
1.02,99999999953.05656,1.3500000001429254e-14,54045.09845252741,73.63864957189898,1.2076774188331193e-06
1.03,99999999952.32755,1.3500000001451475e-14,54238.957094051555,73.41806439887988,1.2225590283050864e-06
1.04,99999999951.59595,1.3500000001473773e-14,54428.69523884922,73.19813998726444,1.2375034020961546e-06
1.05,99999999950.86186,1.350000000149615e-14,54614.36045081005,72.97887435774246,1.252510784841346e-06
1.06,99999999950.1253,1.35000000015186e-14,54795.99980036357,72.76026553693293,1.2675814228419574e-06
1.07,99999999949.38637,1.3500000001541126e-14,54973.65986932339,72.54231155736625,1.2827155640897587e-06
1.08,99999999948.6451,1.3500000001563722e-14,55147.38675566918,72.32501045746663,1.2979134582947842e-06
1.09,99999999947.90152,1.3500000001586389e-14,55317.22607826649,72.10836028153442,1.3131753569167217e-06
1.1,99999999947.15572,1.3500000001609126e-14,55483.222981524465,71.89235907972858,1.3285015131998965e-06
1.11,99999999946.40771,1.350000000163193e-14,55645.42214831183,71.67700490804683,1.3438921796186564e-06
1.12,99999999945.65758,1.3500000001654799e-14,55803.86780551513,71.46229582830779,1.3593476076001265e-06
1.1300000000000001,99999999944.90536,1.3500000001677733e-14,55958.60371084723,71.24822990813884,1.3748680530747953e-06
1.1400000000000001,99999999944.15112,1.350000000170073e-14,56109.67316708515,71.03480522095585,1.3904537734625778e-06
1.1500000000000001,99999999943.3949,1.3500000001723787e-14,56257.11902669939,70.82201984594583,1.4061050276377746e-06
1.16,99999999942.63673,1.3500000001746905e-14,56400.98369630044,70.60987186804977,1.421822075935171e-06
1.17,99999999941.87668,1.350000000177008e-14,56541.309141029626,70.3983593779453,1.437605180157755e-06
1.18,99999999941.11478,1.3500000001793314e-14,56678.13688889402,70.18748047202962,1.4534546035860546e-06
1.19,99999999940.35109,1.35000000018166e-14,56811.50803504558,69.97723325240243,1.4693706109890973e-06
1.2,99999999939.58566,1.3500000001839943e-14,56941.46324600445,69.7676158268488,1.4853534686369889e-06
1.21,99999999938.81851,1.350000000186334e-14,57068.042763826445,69.55862630882227,1.5014034443151119e-06
1.22,99999999938.04973,1.3500000001886784e-14,57191.2864166161,69.3502628174259,1.5175208065006422e-06
1.23,99999999937.27933,1.350000000191028e-14,57311.23362680552,69.1425234773941,1.5337058238262994e-06
1.24,99999999936.50735,1.3500000001933826e-14,57427.92339631913,68.93540641908163,1.54995876756894e-06
1.25,99999999935.73387,1.3500000001957417e-14,57541.39431992074,68.72890977844395,1.5662799104374018e-06
1.26,99999999934.9589,1.3500000001981055e-14,57651.68458957186,68.52303169702029,1.5826695265331908e-06
1.27,99999999934.18248,1.3500000002004736e-14,57758.831998414775,68.31777032191707,1.5991278913546588e-06
1.28,99999999933.40468,1.3500000002028462e-14,57862.87394470575,68.11312380579115,1.6156552818020264e-06
1.29,99999999932.62553,1.350000000205223e-14,57963.84743569835,67.90909030683328,1.6322519761832493e-06
1.3,99999999931.84506,1.3500000002076038e-14,58061.789091476785,67.70566798875157,1.6489182542207306e-06
1.31,99999999931.06332,1.3500000002099887e-14,58156.7351487394,67.50285502075498,1.6656543970588765e-06
1.32,99999999930.28036,1.3500000002123774e-14,58248.72146453221,67.30064957753689,1.6824606872724994e-06
1.33,99999999929.49619,1.3500000002147697e-14,58337.78352455491,67.09904983925716,1.6993374085347916e-06
1.34,99999999928.71088,1.3500000002171658e-14,58423.95645301502,66.89805399152387,1.716284845168156e-06
1.35,99999999927.92445,1.3500000002195652e-14,58507.27499793877,66.6976602253829,1.7333032835042507e-06
1.36,99999999927.13696,1.3500000002219679e-14,58587.77354291577,66.49786673729916,1.7503930112895683e-06
1.37,99999999926.34843,1.350000000224374e-14,58665.48611127445,66.29867172914008,1.7675543176470025e-06
1.3800000000000001,99999999925.5589,1.3500000002267832e-14,58740.446369650126,66.10007340815953,1.7847874930794346e-06
1.3900000000000001,99999999924.7684,1.3500000002291954e-14,58812.68763150833,65.90206998698166,1.8020928294737741e-06
1.4000000000000001,99999999923.97699,1.3500000002316104e-14,58882.242860623475,65.70465968358485,1.8194706201054546e-06
1.41,99999999923.18468,1.3500000002340285e-14,58949.14467451298,65.50784072128576,1.8369211596433858e-06
1.42,99999999922.39153,1.350000000236449e-14,59013.4253478267,65.31161132872332,1.8544447441553614e-06
1.43,99999999921.59753,1.3500000002388722e-14,59075.11681569168,65.11596973984282,1.8720416711139195e-06
1.44,99999999920.80278,1.3500000002412978e-14,59134.25068023681,64.92091419387896,1.8897122392762572e-06
1.45,99999999920.00726,1.3500000002437259e-14,59190.858221099275,64.72644293533736,1.9074567484067505e-06
1.46,99999999919.21103,1.3500000002461562e-14,59244.97038177054,64.53255421398494,1.9252754999453254e-06
1.47,99999999918.41412,1.3500000002485888e-14,59296.617779515465,64.33924628483182,1.9431687967504104e-06
1.48,99999999917.61656,1.3500000002510232e-14,59345.83070941907,64.14651740811526,1.9611369430708166e-06
1.49,99999999916.81839,1.3500000002534598e-14,59392.639147581045,63.95436584928413,1.9791802445497163e-06
1.5,99999999916.01962,1.3500000002558982e-14,59437.072754270484,63.76278987898323,1.9972990082289027e-06
1.51,99999999915.22032,1.3500000002583383e-14,59479.16087704045,63.571787773037805,2.015493542553318e-06
1.52,99999999914.42049,1.3500000002607801e-14,59518.93255380268,63.38135781243806,2.0337641573758554e-06
1.53,99999999913.62016,1.3500000002632236e-14,59556.416515862256,63.191498283323696,2.0521111639624375e-06
1.54,99999999912.81938,1.3500000002656686e-14,59591.641190912254,63.00220747696857,2.0705348749973627e-06
1.55,99999999912.01817,1.3500000002681148e-14,59624.634707172554,62.81348368976486,2.089035604560508e-06
1.56,99999999911.21657,1.3500000002705625e-14,59655.424908918496,62.62532522320289,2.1076136678304612e-06
1.57,99999999910.4146,1.3500000002730113e-14,59684.03933562377,62.437730383865166,2.1262693816603055e-06
1.58,99999999909.61227,1.3500000002754613e-14,59710.50523665304,62.25069748340647,2.1450030642994472e-06
1.59,99999999908.80965,1.3500000002779123e-14,59734.84957325233,62.064224838539154,2.163815035419635e-06
1.6,99999999908.00674,1.3500000002803642e-14,59757.09902142231,61.87831077101793,2.182705616119104e-06
1.61,99999999907.20357,1.3500000002828171e-14,59777.27997475291,61.69295360762483,2.2016751289269607e-06
1.62,99999999906.40018,1.3500000002852708e-14,59795.41854721974,61.50815168015414,2.220723897807796e-06
1.6300000000000001,99999999905.59659,1.3500000002877251e-14,59811.540575942585,61.32390332539747,2.2398522481665275e-06
1.6400000000000001,99999999904.79283,1.35000000029018e-14,59825.67162390645,61.14020688512874,2.2590605068534448e-06
1.6500000000000001,99999999903.98892,1.3500000002926356e-14,59837.83698264546,60.957060706089365,2.2783490021694696e-06
1.6600000000000001,99999999903.18489,1.3500000002950915e-14,59848.06167664653,60.774463139972646,2.2977180638456692e-06
1.67,99999999902.38077,1.3500000002975478e-14,59856.3704748981,60.59241254340519,2.317168022916919e-06
1.68,99999999901.57658,1.3500000003000045e-14,59862.787877145805,60.41090727793908,2.336699211968678e-06
1.69,99999999900.77235,1.3500000003024613e-14,59867.338121347304,60.229945710035125,2.356311965070386e-06
1.7,99999999899.96811,1.3500000003049183e-14,59870.04518788303,60.04952621104745,2.376006617756404e-06
1.71,99999999899.16388,1.3500000003073755e-14,59870.932802125055,59.86964715720889,2.3957835070308303e-06
1.72,99999999898.35968,1.3500000003098326e-14,59870.02443697735,59.69030692961638,2.4156429713723717e-06
1.73,99999999897.55553,1.3500000003122896e-14,59867.34331538781,59.51150391421642,2.43558535073926e-06
1.74,99999999896.75146,1.3500000003147464e-14,59862.9124128327,59.333236501790545,2.455610986574199e-06
1.75,99999999895.9475,1.3500000003172031e-14,59856.75445977402,59.1555030879409,2.4757202218093326e-06
1.76,99999999895.14366,1.3500000003196595e-14,59848.89194409026,58.9783020730758,2.495913400871225e-06
1.77,99999999894.33997,1.3500000003221155e-14,59839.34711348118,58.801631862395375,2.5161908696858358e-06
1.78,99999999893.53645,1.350000000324571e-14,59828.141977847015,58.625490865877225,2.536552975683484e-06
1.79,99999999892.73314,1.3500000003270262e-14,59815.298311642786,58.449877498262154,2.5570000678037904e-06
1.8,99999999891.93002,1.3500000003294808e-14,59800.837657918084,58.27479017903912,2.577532496490637e-06
1.81,99999999891.12717,1.3500000003319346e-14,59784.781339966656,58.10022733242672,2.598150613642718e-06
1.82,99999999890.32455,1.3500000003343878e-14,59767.1504468937,57.92618738736677,2.6188547727154937e-06
1.83,99999999889.52223,1.3500000003368402e-14,59747.96584071891,57.75266877750797,2.639645328697771e-06
1.84,99999999888.7202,1.350000000339292e-14,59727.24816045743,57.57966994119099,2.660522638105633e-06
1.85,99999999887.9185,1.3500000003417427e-14,59705.01782443783,57.40718932143439,2.6814870589864e-06
1.86,99999999887.11714,1.3500000003441926e-14,59681.2950326049,57.235225365920535,2.702538950922451e-06
1.87,99999999886.31615,1.3500000003466413e-14,59656.09976880764,57.063776526981705,2.723678675034897e-06
1.8800000000000001,99999999885.51553,1.350000000349089e-14,59629.45180307338,56.89284126158604,2.7449065939870884e-06
1.8900000000000001,99999999884.71532,1.3500000003515356e-14,59601.37069386861,56.72241803132369,2.766223071987951e-06
1.9000000000000001,99999999883.91553,1.350000000353981e-14,59571.875790347156,56.55250530239291,2.7876284747951326e-06
1.9100000000000001,99999999883.11617,1.3500000003564253e-14,59540.98623458648,56.38310154558622,2.8091231697179506e-06
1.92,99999999882.31728,1.3500000003588682e-14,59508.72096381278,56.21420523627662,2.8307075256201297e-06
1.93,99999999881.51886,1.3500000003613097e-14,59475.09871261545,56.045814854403794,2.8523819129223164e-06
1.94,99999999880.72092,1.3500000003637498e-14,59440.138012656476,55.877928884461284,2.87414670366754e-06
1.95,99999999879.92351,1.3500000003661885e-14,59403.85718022287,55.71054581548766,2.89600227189405e-06
1.96,99999999879.12663,1.3500000003686256e-14,59366.274344091034,55.543664141044296,2.9179489929868543e-06
1.97,99999999878.33029,1.3500000003710613e-14,59327.40744057043,55.37728235920409,2.93998724385991e-06
1.98,99999999877.53453,1.3500000003734953e-14,59287.27421268944,55.211398972538895,2.9621174030329527e-06
1.99,99999999876.73933,1.3500000003759276e-14,59245.892212202685,55.0460124881061,2.9843398506364147e-06
2.0,99999999875.94475,1.3500000003783581e-14,59203.278801583416,54.88112141743509,3.0066549684162744e-06
2.0100000000000002,99999999875.15079,1.350000000380787e-14,59159.45115600141,54.71672427651389,3.0290631397388158e-06
2.02,99999999874.35744,1.3500000003832139e-14,59114.42626528685,54.55281958577575,3.0515647495952974e-06
2.0300000000000002,99999999873.56474,1.350000000385639e-14,59068.2209358806,54.38940587008586,3.074160184606534e-06
2.04,99999999872.77272,1.3500000003880622e-14,59020.85179277133,54.22648165872799,3.0968498330273642e-06
2.05,99999999871.98137,1.3500000003904836e-14,58972.33528142001,54.06404548539128,3.1196340847510206e-06
2.06,99999999871.1907,1.3500000003929027e-14,58922.68766967204,53.90209588815698,3.1425133313133795e-06
2.07,99999999870.40077,1.3500000003953199e-14,58871.92504965769,53.740631409485296,3.1654879658970874e-06
2.08,99999999869.61153,1.3500000003977349e-14,58820.063337989115,53.57965059620279,3.1885583833799876e-06
2.09,99999999868.82304,1.3500000004001477e-14,58767.118266971374,53.41915199949309,3.2117249806189965e-06
2.1,99999999868.03532,1.3500000004025585e-14,58713.10540481232,53.25913417487726,3.234988155972354e-06
2.11,99999999867.24835,1.3500000004049669e-14,58658.04015260902,53.099595682202605,3.2583483094310695e-06
2.12,99999999866.46217,1.350000000407373e-14,58601.93774394704,52.94053508563033,3.281805842681399e-06
2.13,99999999865.67679,1.350000000409777e-14,58544.81324662563,52.78195095362271,3.305361159111095e-06
2.14,99999999864.89221,1.3500000004121785e-14,58486.6815643676,52.623841858930135,3.329014663815688e-06
2.15,99999999864.10846,1.3500000004145776e-14,58427.55743851424,52.46620637857832,3.3527667636047537e-06
2.16,99999999863.32555,1.3500000004169741e-14,58367.45544970546,52.30904309385543,3.376617867008209e-06
2.17,99999999862.54349,1.3500000004193683e-14,58306.39001954556,52.15235059029934,3.4005683842825877e-06
2.18,99999999861.76227,1.35000000042176e-14,58244.375412254725,51.996127457684906,3.424618727417339e-06
2.19,99999999860.98195,1.350000000424149e-14,58181.425736306745,51.84037229001125,3.448769310141109e-06
2.2,99999999860.2025,1.3500000004265354e-14,58117.55494605296,51.68508368548909,3.473020547928038e-06
2.21,99999999859.42397,1.3500000004289192e-14,58052.776843333,51.53026024652812,3.4973728580040346e-06
2.22,99999999858.64633,1.3500000004313005e-14,57987.10507846882,51.37590057972462,3.5218266593639062e-06
2.23,99999999857.86961,1.3500000004336789e-14,57920.55314775978,51.22200329585011,3.546382372851061e-06
2.24,99999999857.09384,1.3500000004360545e-14,57853.13440195285,51.06856700983675,3.571040421039915e-06
2.25,99999999856.31902,1.3500000004384274e-14,57784.86204605906,50.91559034076545,3.5958012282734504e-06
2.2600000000000002,99999999855.54515,1.3500000004407976e-14,57715.749140010135,50.76307191185363,3.6206652206854736e-06
2.27,99999999854.77225,1.3500000004431648e-14,57645.808600151715,50.61101035044286,3.645632826207613e-06
2.2800000000000002,99999999854.00034,1.350000000445529e-14,57575.05320072271,50.4594042879865,3.6707044745763583e-06
2.29,99999999853.22942,1.3500000004478905e-14,57503.49557532093,50.30825236003739,3.6958805973401183e-06
2.3000000000000003,99999999852.45949,1.3500000004502489e-14,57431.14821835517,50.15755320623554,3.7211616278663198e-06
2.31,99999999851.69058,1.3500000004526045e-14,57358.02348648405,50.00730547029591,3.746548001348519e-06
2.32,99999999850.92268,1.3500000004549568e-14,57284.133600041736,49.857507799996206,3.7720401548135563e-06
2.33,99999999850.15584,1.3500000004573062e-14,57209.4906444508,49.70815884716467,3.7976385271287282e-06
2.34,99999999849.39003,1.3500000004596526e-14,57134.10657162242,49.559257267668,3.823343559008984e-06
2.35,99999999848.62526,1.3500000004619958e-14,57057.993201344085,49.4108017213992,3.849155693024164e-06
2.36,99999999847.86157,1.350000000464336e-14,56981.16222231185,49.26279087226561,3.875075373608917e-06
2.37,99999999847.09895,1.3500000004666728e-14,56903.625190991785,49.11522338817715,3.901103047089545e-06
2.38,99999999846.33742,1.3500000004690066e-14,56825.39353711194,48.968097941033825,3.927239161658939e-06
2.39,99999999845.57697,1.350000000471337e-14,56746.47856401092,48.821413206713885,3.953484167391662e-06
2.4,99999999844.81761,1.3500000004736644e-14,56666.891449402676,48.67516786506199,3.979838516255694e-06
2.41,99999999844.05937,1.3500000004759883e-14,56586.643246667736,48.52936059987729,4.006302662120017e-06
2.42,99999999843.30226,1.350000000478309e-14,56505.7448861321,48.383990098901656,4.032877060762211e-06
2.43,99999999842.54626,1.3500000004806264e-14,56424.20717633374,48.23905505380776,4.059562169876113e-06
2.44,99999999841.7914,1.3500000004829403e-14,56342.040805276905,48.09455416018739,4.086358449079472e-06
2.45,99999999841.03769,1.3500000004852508e-14,56259.256341674554,47.950486117539675,4.113266359921679e-06
2.46,99999999840.28513,1.3500000004875581e-14,56175.864236178844,47.806849629259375,4.140286365891495e-06
2.47,99999999839.53372,1.3500000004898617e-14,56091.874822600046,47.663643402625205,4.167418932424832e-06
2.48,99999999838.78348,1.350000000492162e-14,56007.29831911397,47.52086614878823,4.194664526912557e-06
2.49,99999999838.03442,1.3500000004944589e-14,55922.14482945808,47.378516582760206,4.222023618708337e-06
2.5,99999999837.28653,1.3500000004967521e-14,55836.42434403031,47.236593423402134,4.2494966791375624e-06
2.5100000000000002,99999999836.53986,1.350000000499042e-14,55750.14674038743,47.095095393412905,4.277084181513597e-06
2.52,99999999835.79436,1.3500000005013281e-14,55663.321785505475,46.95402121931744,4.304786601132166e-06
2.5300000000000002,99999999835.05008,1.3500000005036108e-14,55575.95913668495,46.81336963145525,4.332604415282389e-06
2.54,99999999834.307,1.3500000005058898e-14,55488.068342535385,46.67313936396915,4.36053810325671e-06
2.5500000000000003,99999999833.56516,1.3500000005081652e-14,55399.658844100275,46.533329154793776,4.388588146359018e-06
2.56,99999999832.82454,1.350000000510437e-14,55310.7399759714,46.393937745644294,4.416755027912789e-06
2.57,99999999832.08514,1.3500000005127051e-14,55221.3209673929,46.254963882005065,4.4450392332692795e-06
2.58,99999999831.347,1.3500000005149696e-14,55131.410943355026,46.1164063131183,4.473441249815743e-06
2.59,99999999830.61009,1.3500000005172303e-14,55041.01892567796,45.97826379197288,4.501961566983685e-06
2.6,99999999829.87444,1.3500000005194874e-14,54950.15383408572,45.84053507529307,4.530600676257157e-06
2.61,99999999829.14005,1.3500000005217405e-14,54858.82448727033,45.703218923527366,4.559359071181079e-06
2.62,99999999828.40692,1.3500000005239902e-14,54767.03960394644,45.5663141008373,4.588237247369606e-06
2.63,99999999827.67506,1.350000000526236e-14,54674.80780389659,45.42981937508636,4.6172357025145155e-06
2.64,99999999826.94449,1.3500000005284779e-14,54582.13760881397,45.29373351782889,4.646354936394319e-06
2.65,99999999826.2152,1.350000000530716e-14,54489.037441696855,45.15805530429937,4.675595450888396e-06
2.66,99999999825.48718,1.3500000005329503e-14,54395.515630468406,45.022783513400874,4.704957749976452e-06
2.67,99999999824.76048,1.3500000005351808e-14,54301.58040843709,44.88791692769423,4.734442339748955e-06
2.68,99999999824.03506,1.3500000005374073e-14,54207.23991490354,44.75345433338705,4.764049728417087e-06
