t,C1,C2,C3,O1,O2,C4
0.36,-146008286.86668977,-4948255500.390056,-293529286.36680716,-1204532573.4628417,-173399774.76529357,-19086527.7071956
0.37,4151164358.206456,-14425143490.439741,-1227754187.1972392,-3607287229.0790634,-1018583690.3696947,-120656052.9438606
0.38,14611964064.488297,-31478018555.127235,-3130611340.890461,-7987976714.545211,-2845292304.376458,-342179724.7476456
0.39,34931902418.41191,-55859651447.047554,-6287258022.658748,-14363648871.855152,-6058334461.44693,-735096250.4954183
0.4,66926658280.50594,-78328167735.45459,-10274900506.229036,-20516903283.706585,-10506828449.583025,-1285676172.1671863
0.41000000000000003,103689453598.58907,-68376823863.81964,-12649243739.869007,-18858140196.948784,-14246530952.748272,-1765348000.0238883
0.42,115345420463.0386,44890634542.914154,-6606090967.501984,8539983193.240372,-11209371346.47407,-1446550081.3509598
0.43,24884007785.347282,394295621370.43976,22312437183.112232,95704249133.09969,12331791906.063759,1332672614.2940626
0.44,-323512692701.4558,1180061053416.1265,99130550794.5851,294760538011.17175,81523786865.67975,9641993936.311966
0.45,-1186525512819.767,2612229333883.62,257677861673.8056,662343142409.2766,233197395656.47568,28025870492.563404
0.46,-2884557933936.197,4695768416785.213,524307254391.1713,1206373581617.0513,503462398305.8892,61056983646.0023
0.47000000000000003,-5597607740030.361,6704570951690.935,868836913572.3867,1753419109207.2205,884651082018.6156,108187149624.0028
0.48,-8803514093005.865,6155529132306.326,1095565752848.038,1686559394402.297,1222997411498.9663,151380188740.9077
0.49,-10092552555072.203,-2814442895578.611,646741717240.9893,-475512631744.15234,1023503582178.4758,131332389326.15361
0.5,-3129399981533.49,-31330342541638.242,-1679264358734.5886,-7580440193210.184,-850709752662.1415,-89526312909.93793
0.51,25074020968161.69,-96428366513071.77,-7989727959782.005,-24057762722803.83,-6509035387355.109,-768549074164.7218
0.52,96209663230462.73,-216603709862526.22,-21189527951827.332,-54875334525177.91,-19092578971603.7,-2292969689218.7407
0.53,237991377877673.53,-394396190819529.3,-43688334962169.57,-101233298974592.89,-41805641839115.484,-5067333728037.248
0.54,467792736328207.44,-573007430856340.6,-73392975739195.62,-149634172809324.75,-74417663220176.84,-9095546990842.393
0.55,746575307330563.5,-550591598642398.44,-94672324772585.53,-150001329807631.28,-104811293255046.44,-12959886186882.766
0.56,880327118959779.5,157318260108434.97,-61854198209163.945,19958808170246.676,-92656997992683.39,-11832582613091.957
0.5700000000000001,348359694787229.75,2481772274573924.5,124852221692980.45,598366047495368.0,56123960419159.32,5664438862585.797
0.58,-1931079277076441.2,7870509766694484.0,642737057704632.2,1961183323456840.8,518324428723261.75,61088908691643.11
0.59,-7789321271451650.0,1.7946031151031968e+16,1740811274876550.8,4542718782932021.0,1561471998573549.8,187393920021747.28
0.6,-1.9618299978997452e+16,3.3096579890175452e+16,3637481954217803.5,8487806890516179.0,3468606905260624.5,420217951925472.94
0.61,-3.9062041237586e+16,4.890123901829886e+16,6193543305474613.0,1.2751976544940028e+16,6254490327221032.0,764009407374569.6
0.62,-6.324200906654348e+16,4.897523393690893e+16,8163750394997889.0,1.3276353483401658e+16,8968055368774690.0,1107810208533438.0
0.63,-7.656863221659218e+16,-6678817371862610.0,5812218330631940.0,-26605575218630.875,8327691663783219.0,1059121360354013.6
0.64,-3.6288850460408136e+16,-1.9591679309003763e+17,-9141681993572642.0,-4.705235911283088e+16,-3445303477102306.5,-322319733518778.56
0.65,1.4762308180806208e+17,-6.416208761146029e+17,-5.16004285545721e+16,-1.596746170000196e+17,-4.1155982410233256e+16,-4840849275343930.0
0.66,6.296252029839789e+17,-1.4856468129071214e+18,-1.4287535411510064e+17,-3.757466519680164e+17,-1.2756031119682397e+17,-1.529722348852587e+16
0.67,1.6157426746776422e+18,-2.775006037818801e+18,-3.02616148007034e+17,-7.110553875342093e+17,-2.8755792674641517e+17,-3.4819136122586804e+16
0.68,3.25918518816182e+18,-4.1675465573071534e+18,-5.22160460003089e+17,-1.0853089805782947e+18,-5.252028935736692e+17,-6.411980896328522e+16
0.6900000000000001,5.35141809282177e+18,-4.3351815978136407e+18,-7.025886288161706e+17,-1.170029762831132e+18,-7.661843254008643e+17,-9.455753455724309e+16
0.7000000000000001,6.642407732382384e+18,2.139313905480704e+16,-5.386548883786743e+17,-1.3386853046905232e+17,-7.438354722208166e+17,-9.426609443713986e+16
0.71,3.625241939354514e+18,1.5407339917226078e+19,6.562134591031694e+17,3.6841510803338296e+18,1.8446712455896704e+17,1.4389897528552728e+16
0.72,-1.11862774993647e+19,5.224074932756739e+19,4.1335734388933407e+18,1.2983255099384527e+19,3.2575129324354156e+18,3.8230606077600256e+17
0.73,-5.080703625106334e+19,1.2288628759803114e+20,1.171456027123296e+19,3.1053487347648053e+19,1.0408544453237354e+19,1.2472391307625925e+18
0.74,-1.3294906810968557e+20,2.3247724942849635e+20,2.5155841224038375e+19,5.951847835701732e+19,2.382005725699576e+19,2.8827462759715825e+18
0.75,-2.717173726366912e+20,3.5470687419636875e+20,4.398042905571189e+19,9.225358550188623e+19,4.406443274401226e+19,5.37669592174145e+18
0.76,-4.523539923000563e+20,3.820913456723251e+20,6.035488511367226e+19,1.0271904894614946e+20,6.5365149102963515e+19,8.059804747775177e+18
0.77,-5.748544026931876e+20,4.271788207214369e+19,4.936759964291118e+19,2.2462248002520236e+19,6.608306713829742e+19,8.348673181437383e+18
0.78,-3.518508146709397e+20,-1.2065086333227589e+21,-4.586113983371704e+19,-2.8707305528871305e+20,-6.825545725875491e+18,-1.6133380201632944e+17
0.79,8.386862426559574e+20,-4.247867296563399e+21,-3.3035030075469896e+20,-1.0542264506518151e+21,-2.569299986285649e+20,-3.0079309892286145e+19
0.8,4.0923931249970176e+21,-1.0156109672157584e+22,-9.594984466968344e+20,-2.564226336500103e+21,-8.482753487880714e+20,-1.015651753656383e+20
0.81,1.092927529591364e+22,-1.945975345941357e+22,-2.0894892934540742e+21,-4.977882370783756e+21,-1.9715327550399817e+21,-2.384712489650122e+20
0.8200000000000001,2.263503147248411e+22,-3.015172445511427e+22,-3.700966496076128e+21,-7.832303025280946e+21,-3.693864811886173e+21,-4.504782895305468e+20
0.8300000000000001,3.819865128848395e+22,-3.3547388719763707e+22,-5.175740852844949e+21,-8.986889087138414e+21,-5.568870539121496e+21,-6.860857641751098e+20
0.84,4.963933955944883e+22,-7.257183260908696e+21,-4.4831879239293694e+21,-2.8104970190328976e+21,-5.843200695148481e+21,-7.361775702816991e+20
0.85,3.343410073387518e+22,9.402395524278507e+22,3.0850836692477983e+21,2.224584470924298e+22,-1.4230548456513552e+20,-7.2860154725516394e+19
0.86,-6.2060411351166486e+22,3.4493382305577464e+23,2.6333798007384478e+22,8.547840145353922e+22,2.018575990259661e+22,2.3566567626265762e+21
0.87,-3.289947080088163e+23,8.386527840482072e+23,7.850500981336812e+22,2.115568369368336e+23,6.90451669568794e+22,8.25987609806246e+21
0.88,-8.9759429895252e+23,1.627565758930961e+24,1.7341813911693194e+23,4.1599222475718826e+23,1.6304400834285115e+23,1.971071176623599e+22
0.89,-1.8840856725232285e+24,2.5599446279067827e+24,3.111570579091896e+23,6.641900298039371e+23,3.093931543746708e+23,3.7711351968783435e+22
0.9,-3.222479336056318e+24,2.9352891208628377e+24,4.4312355881441e+23,7.838158727074986e+23,4.738302081627282e+23,5.832878863690092e+22
0.91,-4.277580608468164e+24,9.117175069065958e+23,4.040032700756836e+23,3.1206963829381536e+23,5.145086864551027e+23,6.4663285965674055e+22
0.92,-3.125975131690315e+24,-7.287119495465321e+24,-1.9563257401651707e+23,-1.7129179625121084e+24,7.097667589535094e+22,1.3243005982312266e+22
0.93,4.516537162763237e+24,-2.7968781519509213e+25,-2.093348307111139e+24,-6.920175743391659e+24,-1.578950005182664e+24,-1.837640428874503e+23
0.9400000000000001,2.639354677624118e+25,-6.919295565427726e+25,-6.416067929828179e+24,-1.7438766220695011e+25,-5.612470100315854e+24,-6.70824391195596e+23
0.9500000000000001,7.364445594625504e+25,-1.3601520332081114e+26,-1.4381358145431773e+25,-3.473572131661344e+25,-1.3472264507088865e+25,-1.6277964041649046e+24
0.96,1.5670252952153666e+26,-2.1709267414402135e+26,-2.61372978894069e+25,-5.6261359786714456e+25,-2.5892963853078065e+25,-3.1543816855840556e+24
0.97,2.7159141725670474e+26,-2.5602726554190283e+26,-3.7879838459424643e+25,-6.8168824231289565e+25,-4.026589693768563e+25,-4.952915130832868e+24
0.98,3.679039677274187e+26,-1.0143899479884478e+26,-3.616834067197039e+25,-3.2459297702026533e+25,-4.513460058147863e+25,-5.659988222264941e+24
0.99,2.8854549432385194e+26,5.6119561971229045e+26,1.1179649994102548e+25,1.3091415312282203e+26,-1.082562441850896e+25,-1.6989973498113752e+24
1.0,-3.2160364850741626e+26,2.264385746628326e+27,1.6589818816226614e+26,5.593430307122498e+26,1.2289419893112647e+26,1.4251860303023882e+25
1.01,-2.112684508095159e+27,5.703740123882221e+27,5.2377048707590855e+26,1.4361998697813838e+27,4.555867566951016e+26,5.440273910806563e+25
1.02,-6.036131567256984e+27,1.1357606846308587e+28,1.1916635467438604e+27,2.8981451077212877e+27,1.112258774392287e+27,1.3431467629539803e+26
1.03,-1.302286730365326e+28,1.8389687931805985e+28,2.1936389994359076e+27,4.7605787489835977e+27,2.1652000766475496e+27,2.636354024990002e+26
1.04,-2.2868408409841426e+28,2.2268244355302276e+28,3.233382109576748e+27,5.913277231759446e+27,3.41769219270591e+27,4.200807249309916e+26
1.05,-3.158550071503372e+28,1.0563732924787592e+28,3.21962862801037e+27,3.239398959144817e+27,3.9460591322359804e+27,4.9385693478658854e+26
1.06,-2.6358527025516286e+28,-4.289903861804962e+28,-5.049218239310469e+26,-9.917297339464016e+27,1.3097566397940892e+27,1.9097890650342662e+26
1.07,2.2224627777604643e+28,-1.830326680459903e+29,-1.3103177130315813e+28,-4.513332033385134e+28,-9.510921361461006e+27,-1.098425455308019e+27
1.08,1.6870204340732492e+29,-4.697515339340274e+29,-4.270647396783532e+28,-1.181723945639446e+29,-3.6927786727827846e+28,-4.4053041337487276e+27
1.09,4.942220754774948e+29,-9.476301518452205e+29,-9.866260168467928e+28,-2.4161185830641134e+29,-9.174753962054785e+28,-1.1073013714682906e+28
1.1,1.0814124157900756e+30,-1.5560904449532089e+30,-1.83949754094593e+29,-4.023982126890428e+29,-1.8091006536571238e+29,-2.201625274473579e+28
1.11,1.9237961738466604e+30,-1.93176436216478e+30,-2.7561490225948245e+29,-5.117181983925648e+29,-2.89753905796353e+29,-3.5589114825615984e+28
1.12,2.707104637775309e+30,-1.0550979016197314e+30,-2.8518520264184486e+29,-3.141755563046004e+29,-3.439471134431782e+29,-4.296730902360961e+28
1.1300000000000001,2.3871324143663942e+30,3.250528001485253e+30,6.562519892910458e+27,7.432848445622687e+29,-1.4295316324877458e+29,-2.0009504063697032e+28
1.1400000000000001,-1.470122000189481e+30,1.4769500547886104e+31,1.0310598175728288e+30,3.635185388485731e+30,7.312281643820297e+29,8.404356903591148e+28
1.1500000000000001,-1.3435801826917535e+31,3.86526175130329e+31,3.477803697721869e+30,9.714263073716332e+30,2.9885867612841643e+30,3.56153269566425e+29
1.16,-4.0421746549783993e+31,7.900329020147789e+31,8.161928212182753e+30,2.0126660219915178e+31,7.561351544359152e+30,9.120522915902684e+29
1.17,-8.972810980506723e+31,1.3153511693159477e+32,1.541232812165139e+31,3.397917039283164e+31,1.510353011771702e+31,1.8371114264290824e+30
1.18,-1.6169391443981968e+32,1.6717853251881745e+32,2.346243511434791e+31,4.418465218001356e+31,2.453829581939838e+31,3.01183408330286e+30
1.19,-2.316477384212409e+32,1.0238847983763553e+32,2.515038708749791e+31,2.983786191548602e+31,2.9895828907349306e+31,3.728484170862563e+30
1.2,-2.146172767239938e+32,-2.4368982192927467e+32,2.406532579593609e+30,-5.497693288631008e+31,1.4714319744038826e+31,2.00659838029992e+30
1.21,9.065597667142466e+31,-1.1896369315277256e+33,-8.079214879484501e+31,-2.9222154201985106e+32,-5.5786316527565275e+31,-6.3751380383065e+30
1.22,1.0669858273461675e+33,-3.177477744624925e+33,-2.8284647985052228e+32,-7.977852678513111e+32,-2.414738178174095e+32,-2.8744987344754056e+31
1.23,3.3023312398834935e+33,-6.581226238008108e+33,-6.746364353726324e+32,-1.675255443840822e+33,-6.2260573674012096e+32,-7.505452547525386e+31
1.24,7.439022513535094e+33,-1.1107305810153045e+34,-1.290259301374577e+33,-2.866436730776376e+33,-1.2599325430363606e+33,-1.5317281967539505e+32
1.25,1.3578357335478387e+34,-1.4435874621380837e+34,-1.9947727616911184e+33,-3.8073077816735706e+33,-2.0758431811200348e+33,-2.5461831041484776e+32
1.26,1.979220340632927e+34,-9.728248785055213e+33,-2.2093620073734078e+33,-2.7885574512588644e+33,-2.5919146677216542e+33,-3.2275643185124587e+32
1.27,1.9175170728263234e+34,1.8030778538142543e+34,-4.4595829036451726e+32,3.9987750493415904e+33,-1.458167958879057e+33,-1.9528311742629514e+32
1.28,-4.9000355851780887e+33,9.563586691280565e+34,6.300830587838584e+33,2.3441923024603983e+34,4.2170112738476624e+33,4.785819676609309e+32
1.29,-8.446603724702386e+34,2.6095685775456975e+35,2.2972271052456973e+34,6.545352812295556e+34,1.947701101993759e+34,2.315818568239514e+33
1.3,-2.694760707860664e+35,5.478028814048134e+35,5.57158130991583e+34,1.3933049215262434e+35,5.121850308501222e+34,6.170609492483985e+33
1.31,-6.162409891986479e+35,9.370188449187726e+35,1.079268614939492e+35,2.4157726485079276e+35,1.0501968218519553e+35,1.2760954403667262e+34
1.32,-1.1392692664265065e+36,1.243970711214928e+36,1.6938951589892295e+35,3.2743889867889385e+35,1.7542622659257966e+35,2.150338553653297e+34
1.33,-1.6886385832683175e+36,9.094807079910097e+35,1.9340469761910287e+35,2.5731234075242004e+35,2.2418613167179255e+35,2.787695027559989e+34
1.34,-1.7039597276278312e+36,-1.3120683726111238e+36,5.753964384621322e+34,-2.8452160534056224e+35,1.4070614148287178e+35,1.8594403003447866e+34
1.35,1.8728311199575086e+35,-7.672273206143079e+36,-4.887453633287181e+35,-1.876290564451815e+36,-3.1523137421410553e+35,-3.546997747964378e+34
1.36,6.66329119975681e+36,-2.141046439798169e+37,-1.8630933439181318e+36,-5.364612810713423e+36,-1.5680997623880505e+36,-1.8621352842368077e+35
1.37,2.1963080120877245e+37,-4.556145834321245e+37,-4.597406885955162e+36,-1.1578879074630476e+37,-4.209506296698296e+36,-5.06830885663746e+35
1.3800000000000001,5.100693315797408e+37,-7.897175205683977e+37,-9.02047372106546e+36,-2.0340613155897313e+37,-8.746808394605883e+36,-1.0622834687464547e+36
1.3900000000000001,9.550739400536669e+37,-1.0698960893736465e+38,-1.4367227800201752e+37,-2.8110012959479068e+37,-1.4810091151764236e+37,-1.8142421217484373e+36
1.4000000000000001,1.4387513877269208e+38,-8.394455111009984e+37,-1.6876838097714915e+37,-2.3498816244194736e+37,-1.934863098704724e+37,-2.4027723584358165e+36
1.41,1.507002901248614e+38,9.341279822143971e+37,-6.48545018088617e+36,1.9641188183954395e+37,-1.3312025051572205e+37,-1.741278362258432e+36
1.42,2.785774756094542e+36,6.141223684999866e+38,3.767621254962165e+37,1.4981428116293669e+38,2.323961609529957e+37,2.5866480727877584e+36
1.43,-5.236080283136229e+38,1.754858277278372e+39,1.508723072696623e+38,4.392260206914806e+38,1.2599951817750996e+38,1.494246541764404e+37
1.44,-1.7877922901538847e+39,3.786397180451761e+39,3.790239043381175e+38,9.614815417733716e+38,3.456331641908171e+38,4.1588250671868283e+37
1.45,-4.218399697390547e+39,6.649504520619458e+39,7.533195883498541e+38,1.711100430433262e+39,7.279213120785097e+38,8.835956215019102e+37
1.46,-7.999895186174216e+39,9.185237165519499e+39,1.2172267388104835e+39,2.409112691937334e+39,1.249097565697352e+39,1.529207005383915e+38
1.47,-1.2242449952977598e+40,7.667871784169964e+39,1.4684634809908502e+39,2.1276468472384283e+39,1.6665230112936374e+39,2.066987531772527e+38
1.48,-1.3272103579198335e+40,-6.453985900154441e+39,6.805871673609381e+38,-1.2971411537815473e+39,1.2403729504677943e+39,1.6093488337806983e+38
1.49,-1.7612937142844018e+39,-4.903816087770443e+40,-2.883379491205964e+39,-1.1930566970468223e+40,-1.683187356327226e+39,-1.8468607988149338e+38
1.5,4.0966420324624973e+40,-1.436821443403709e+41,-1.2198083806184548e+40,-3.592252383096484e+40,-1.0102881333240937e+40,-1.1963809512455845e+39
1.51,1.4533377103533809e+41,-3.1441906939865514e+41,-3.1219940896769786e+40,-7.977518327246494e+40,-2.8350973094758187e+40,-3.409089441944618e+39
1.52,3.485791637605487e+41,-5.593840589091952e+41,-6.286104143634501e+40,-1.438131914891846e+41,-6.05306043300132e+40,-7.343820384738922e+39
1.53,6.695341803706749e+41,-7.87233189594228e+41,-1.0301463979659597e+41,-2.0613897737132493e+41,-1.0524982646858987e+41,-1.2877461202683776e+40
1.54,1.0404202550650709e+42,-6.9440004523072135e+41,-1.2743522899651694e+41,-1.912498531496687e+41,-1.4326830036192936e+41,-1.774902964602264e+40
1.55,1.1644794136161806e+42,4.267830607372199e+41,-6.832258660932297e+40,7.976992308186169e+40,-1.1417814883072673e+41,-1.4716725104995884e+40
1.56,2.738053182754417e+41,3.90544299113183e+42,2.1877963759463524e+41,9.473648683841068e+41,1.1908050572697228e+41,1.2811665904349124e+40
1.57,-3.189355289568665e+42,1.1751488449531574e+43,9.845528972624655e+41,2.93465901132718e+42,8.082227206195738e+41,9.555967352191187e+40
1.58,-1.1798143931947419e+43,2.60881911012624e+43,2.5692182701320976e+42,6.613703710465202e+42,2.3231425281568947e+42,2.791595342361013e+41
1.59,-2.8779606062399417e+43,4.701564579911727e+43,5.241286739432961e+42,1.2076499525185637e+43,5.029450820874337e+42,6.098805304198041e+41
1.6,-5.598945250376721e+43,6.736315069581719e+43,8.709048399979578e+42,1.7611940639471126e+43,8.860184291702546e+42,1.0834189932348727e+42
1.61,-8.83139216739804e+43,6.242815292493538e+43,1.10321918548019e+43,1.7084447762398643e+43,1.2294701905377033e+43,1.5214947476051778e+42
1.62,-1.0182482825163926e+44,-2.6303455194362666e+43,6.654145399911966e+42,-4.2870174689907525e+42,1.0406455663051636e+43,1.3339714872565673e+42
1.6300000000000001,-3.3361508113193053e+43,-3.101398496271492e+44,-1.6429320546893046e+43,-7.498905880258375e+43,-8.153991960369302e+42,-8.523648420773282e+41
1.6400000000000001,2.469009512611117e+44,-9.60053585351939e+44,-7.932410431676056e+43,-2.3946491091309634e+44,-6.44977229202416e+43,-7.612863386385392e+42
1.6500000000000001,9.563735567634535e+44,-2.1628640683019556e+45,-2.1123420423959698e+44,-5.478591486730422e+44,-1.9016250935920426e+44,-2.283482964276295e+43
1.6600000000000001,2.374061269383257e+45,-3.94815065060638e+45,-4.36666109516376e+44,-1.013232676160701e+45,-4.1756095557602576e+44,-5.060811312194969e+43
1.67,4.6782988821601677e+45,-5.755521224445117e+45,-7.355305028685956e+44,-1.5025596637055693e+45,-7.451941845591092e+44,-9.106956815056084e+43
1.68,7.487716550238352e+45,-5.577505654449849e+45,-9.529271073443001e+44,-1.517944202627525e+45,-1.0533206790001204e+45,-1.3021700491947063e+44
1.69,8.876535034296428e+45,1.4201086054085686e+45,-6.339452415889231e+44,1.606972416774598e+44,-9.40653789254904e+44,-1.2002116571437293e+44
1.7,3.6546776950275614e+45,2.455118400172839e+46,1.2181643493554601e+45,5.915031045652609e+45,5.318384681744791e+44,5.307430943609773e+43
1.71,-1.8989033110063533e+46,7.834151439370336e+46,6.3787742680678e+45,1.9516365555267484e+46,5.1332293829325345e+45,6.047635650259938e+44
1.72,-7.740581890189077e+46,1.7916856496233163e+47,1.7350485343149893e+46,4.5345783127211775e+46,1.554889142218108e+46,1.8657679920641032e+45
1.73,-1.9566618054146785e+47,3.312612519397358e+47,3.6351041123137964e+46,8.493935032834043e+46,3.4639461127665763e+46,4.1961014019916915e+45
1.74,-3.905895605905968e+47,4.9104759336412064e+47,6.205853461213274e+46,1.2801579767177528e+47,6.261949571511104e+46,7.648359117202569e+45
1.75,-6.341434751024557e+47,4.956178945220897e+47,8.213961438976929e+46,1.3423107283152858e+47,9.009870313703694e+46,1.1127666671929558e+46
1.76,-7.716472783104383e+47,-5.407044000313532e+46,5.939168059284364e+46,2.962445426441946e+45,8.443290935990859e+46,1.073027680831871e+46
1.77,-3.770331776372673e+47,-1.9367322387759158e+48,-8.888227393503988e+46,-4.6475212091088e+47,-3.200690676821189e+46,-2.9263240611006155e+45
1.78,1.449287326487863e+48,-6.385013183391603e+48,-5.118886503045061e+47,-1.5885689038415887e+48,-4.073429213376182e+47,-4.789234746142862e+46
1.79,6.254797470007202e+48,-1.482990300250313e+49,-1.4237440549934756e+48,-3.750115429327318e+48,-1.2699370069549711e+48,-1.5226975668237956e+47
1.8,1.6111972084304948e+49,-2.7770204356072643e+49,-3.023709630209341e+48,-7.114518080946354e+48,-2.8712560446183952e+48,-3.4763180615661225e+47
1.81,3.258414369791476e+49,-4.183783298582758e+49,-5.2309990489100286e+48,-1.0892553122252696e+49,-5.257391676131167e+48,-6.417829371926131e+47
1.82,5.364879341331303e+49,-4.3831889011106985e+49,-7.066458577331214e+48,-1.1820275096473977e+49,-7.695345220653268e+48,-9.495405350107766e+47
1.83,6.690842595722079e+49,-8.418449614471606e+47,-5.4910834673516715e+48,-1.6064828016112932e+48,-7.533142850760552e+48,-9.540561769048294e+47
1.84,3.742089114136276e+49,1.5218660178714975e+50,6.350696885304577e+48,3.6356582700961036e+49,1.641318491747982e+48,1.1923178747822133e+47
1.85,-1.0960843610822762e+50,5.1973532960437485e+50,4.0987552687518243e+49,1.2913322167255028e+50,3.221992478356893e+49,3.779609796181612e+48
1.86,-5.045488306120209e+50,1.2264635185271982e+51,1.167112454102406e+50,3.0987558623805977e+50,1.0359864190502315e+50,1.2412106227018773e+49
1.87,-1.3255073486254311e+51,2.3260775250446142e+51,2.5131514326072355e+50,5.9541985852838905e+50,2.3780406443394806e+50,2.877645902405351e+49
1.8800000000000001,-2.7161046631232727e+51,3.559987148801623e+51,4.4051468807251276e+50,9.256661233592606e+50,4.41019906454879e+50,5.380701684652572e+49
1.8900000000000001,-4.534000074631493e+51,3.860162434071111e+51,6.068215643945812e+50,1.0369879813801274e+51,6.563293593037032e+50,8.091448092224185e+49
1.9000000000000001,-5.787843481537887e+51,5.147548524209255e+50,5.022757874024088e+50,2.4681776232139955e+50,6.685949760939517e+50,8.441950188545234e+49
1.9100000000000001,-3.614951205872723e+51,-1.1906551488900918e+52,-4.4098681688364075e+50,-2.8300216642962002e+51,-5.136368496739223e+49,4.3462257101513816e+47
1.92,8.198397710066038e+51,-4.22501395092205e+52,-3.274077587717021e+51,-1.0482546009780359e+52,-2.5394075203453754e+51,-2.9713859981957333e+50
1.93,4.062513444828957e+52,-1.0134587977076232e+53,-9.55741179474265e+51,-2.5583484365619283e+52,-8.441002792562997e+51,-1.0104868975539538e+51
1.94,1.0894482298053688e+53,-1.9467513811750105e+53,-2.0871398546045886e+52,-4.979047683257177e+52,-1.9679298535987537e+52,-2.3801018924241284e+51
1.95,2.2622582479898583e+53,-3.0254203144486264e+53,-3.706279316141444e+52,-7.857051613333626e+52,-3.6963993132707556e+52,-4.507396853774114e+51
1.96,3.827945221438101e+53,-3.3867909960158873e+53,-5.20209140004185e+52,-9.066802173763958e+52,-5.590220993698165e+52,-6.886042385989294e+51
1.97,4.995773868419496e+53,-7.98303528061991e+52,-4.55386970947602e+52,-2.994303687614435e+52,-5.906732060986295e+52,-7.438045536574835e+51
1.98,3.4229427534837304e+53,9.269305690497927e+53,2.9382889194503496e+52,2.1904393701460926e+53,-2.8250730649493883e+51,-8.984946038064115e+50
