t,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,C,C_star,M,A,T
0.13,1.6073908737886862,1.6715036572476696,0.8690868322553318,0.3012504910442608,0.07831654452194939,0.0162880691148269,0.0028229555869095525,0.0004193622014413247,5.4511258264731955e-05,6.2987661224443606e-06,6.551306883294973e-07,6.32006949819456e-08,1.0436622627433315e-09,3.191602383837137e-13,498.7016885362315,0.6173418911004089
0.14,1.532058550825519,1.7157078084996256,0.9606856365826011,0.35861464682470967,0.10040050996052068,0.0224871323700616,0.004197114243889427,0.0006714578500814101,9.3993196692658e-05,1.1696033246867454e-05,1.30998712372464e-06,1.3628868376811552e-07,2.4262841732049015e-09,8.597962918270372e-13,498.6019581718215,0.6622233906062621
0.15,1.4602567685527401,1.7520962182085749,1.0511306039679496,0.42040141187166047,0.12610515247807616,0.030261586905098257,0.006051586406739706,0.0010372859903730151,0.00015557373593745548,2.0741145055978375e-05,2.4888752316663206e-06,2.778371288448927e-07,5.305289158289577e-09,2.156595982807133e-12,498.502247751412,0.7067472705023988
0.16,1.3918200638980895,1.781304453544098,1.139890721403425,0.48629190408328404,0.15559371565693786,0.039826965227174056,0.008495347108739476,0.0015532348565130423,0.0002484855175156057,3.533619025566756e-05,4.522758238107207e-06,5.393333575840028e-07,1.0997333026784185e-08,5.08282385200886e-12,498.40255727094575,0.7509163803330027
0.17,1.3265907284173157,1.8039256626806721,1.226507814907805,0.5559436293165791,0.18899590655235954,0.051400121940837804,0.011649162113201827,0.002262963823778702,0.0003846521822650444,5.811803044045094e-05,7.903364832783974e-06,1.0028634781043858e-06,2.1751586099974424e-08,1.1341972667347497e-11,498.3028867263168,0.7947335469374889
0.18,1.264418444864148,1.820513156766153,1.3105899238313081,0.6289970114570174,0.2264078860891075,0.06519654765439008,0.015645032021640387,0.0032179620311058657,0.0005791525040446719,9.265212147878056e-05,1.3340484310851773e-05,1.7950552563824035e-06,4.127127642552731e-08,2.4112283241464562e-11,498.2032361133431,0.8382015746319167
0.19,1.2051599407832185,1.8315828428900751,1.3918051814671955,0.7050811202964077,0.2678927361563589,0.08142782862074079,0.02062545732734076,0.004478030665888337,0.0008507032174583275,0.00014365424060483852,2.1832814343651828e-05,3.1056760984748163e-06,7.545949579728682e-08,4.909615355160463e-11,498.10360542772645,0.8813232453892698
0.2,1.1486786583755928,1.837615515884327,1.469876168985067,0.7838186681623711,0.3134813272790588,0.10029927600581069,0.026742545658696076,0.006111679067075243,0.0012221538231600073,0.0002172400488219564,3.475383522442406e-05,5.211801500204972e-06,1.3345384828414496e-07,9.616118216990263e-11,498.0039946649965,0.924101319018753
0.21,1.0948444398464745,1.8390590171552281,1.5445747084055388,0.8648303482525913,0.3631735100118182,0.12200774752437998,0.034156982323485345,0.008196427141676734,0.0017209856718407393,0.00032120175938378856,5.3954173236912566e-05,8.50866826231567e-06,2.2903446478401015e-07,1.8185389973274585e-10,497.9044038204348,0.9665385333443367
0.22,1.0435332272636064,1.8363302705842612,1.6157170529007043,0.9477386025355348,0.4169395396602942,0.14673968455733707,0.04303689248237699,0.01081900526961754,0.002379805378658773,0.00046531081399153664,8.1882257482152e-05,1.3548638383645716e-05,3.825173214430813e-07,3.3318011642942536e-10,497.80483288897176,1.0086376043828558
0.23,0.994626776898428,1.829817195509614,1.683159475904841,1.0321708107038345,0.4747217552143701,0.17466934050295724,0.053556603363253734,0.014075458246220453,0.003236829582794863,0.0006616441866504103,0.0001217231435333354,2.108885474620773e-05,6.232052135123134e-07,5.930424264957266e-10,497.70528186505254,1.050401226521959
0.24,0.9480123866756995,1.8198805110603893,1.746794199231027,1.1177620280332108,0.5364363761558751,0.20595724393496903,0.06589534047186452,0.018071139880857064,0.004336349088307374,0.0009249328683767065,0.00017755772493620667,3.214945522144232e-05,9.92554842976009e-07,1.028022232508088e-09,497.6057507424634,1.0918320726984518
0.25,0.9035826364344008,1.8068554345947545,1.8065456505132929,1.2041572865871437,0.6019754150026047,0.24074887871894246,0.0802358707348332,0.022920605162143625,0.005729167153116991,0.0012729290414637462,0.00025454227494511877,4.8083398132356754e-05,1.5481945262302734e-06,1.7392653044599214e-09,497.5062395141093,1.1329327945775987
0.26,0.8612351404004235,1.7910532801935128,1.8623670265406858,1.2910135047247713,0.6712086687224927,0.2791735768963951,0.09676311357798285,0.028747400681311753,0.007473005011847935,0.001726788916706874,0.0003591087864830323,7.065916347688051e-05,2.3689425528058753e-06,2.877426681480111e-09,497.4067481717359,1.1737060227341198
0.27,0.8208723112438989,1.7727629633942243,1.9142371384128851,1.3780010500030875,0.7439857548410039,0.32134361467816663,0.11566274466268626,0.03568375425114747,0.009632866870134829,0.00231146803387162,0.0004991865566088079,0.00010215765821018267,3.560990557102197e-06,4.662852927069973e-09,497.30727670558383,1.214154366835765
0.28,0.7824011351996308,1.7522524173112508,1.9621575182726363,1.4648049949548574,0.8201381560784624,0.36735351971705216,0.1371197951272634,0.04387017140570112,0.012281361187444485,0.0030561243106453817,0.0006844442666790274,0.0001454845346511988,5.265451186912324e-06,7.412479190668224e-09,497.20782510396543,1.2542804158305785
0.29,0.7457329577273433,1.7297699251401828,2.006149769155299,1.5511260965761307,0.8994812597355984,0.41727956505864505,0.16131727412191382,0.05345494128729833,0.01549897062126191,0.0039945256005096,0.0009265525816606175,0.0002042990710558497,7.667446322815057e-06,1.1575101143200057e-08,497.1083933527518,1.2940867381390917
0.3,0.7107832792193948,1.7055453737939033,2.0462531399593558,1.6366815321168473,0.9818163678752383,0.47117944584181853,0.1884348230240617,0.06459355921875692,0.019374267521787284,0.005165456989479475,0.0012394661862372212,0.00028316071601268905,1.1006952425663487e-05,1.7777105960121346e-08,497.00898143475706,1.333575881853004
0.31,0.6774715602861296,1.6797914331365678,2.0825223090261185,1.721205419438262,1.0669326618500758,0.5290921271735286,0.2186474138771678,0.07744807240502558,0.02400407174828631,0.006613123259084109,0.001639724094030411,0.00038769429826634235,1.5591620070016156e-05,2.688106543914505e-08,496.9095893290063,1.3727503749421222
0.32,0.645721036168421,1.652704665060936,2.1150253608456935,1.8044491477083584,1.1546091078011533,0.591037850578277,0.2521241026060278,0.09218635789282624,0.02949354603884969,0.008387542561879558,0.0021467671255240607,0.0005247746413568995,2.1811776658818663e-05,4.005995140112196e-08,496.8102170098741,1.4116127254716146
0.33,0.6154585398498569,1.624466566406234,2.143841941482947,1.8861815418891246,1.2446162920594805,0.6570182858980649,0.289026848065229,0.10898133825278963,0.03595622857617005,0.010544926413824297,0.002783270564633296,0.0007027314199556502,3.0157849153477395e-05,5.889010088484051e-08,496.7108644460775,1.450165421831868
0.34,0.5866143334682362,1.595244549408759,2.1690615796940738,1.966188881365115,1.3367181784489022,0.7270168163179812,0.32950940309888893,0.12801014478512765,0.04351400072348338,0.013148041723164305,0.0035754900736600977,0.0009315746661752368,4.12404332266265e-05,8.546677205464866e-08,496.61153159950874,1.488410932983775
0.35000000000000003,0.5591219476089508,1.5651928635758132,2.1907821597728425,2.04427479529383,1.430673776912668,0.800998944611294,0.3737162858675336,0.14945323641657152,0.0522969879374022,0.016266550538224504,0.004553619121842372,0.0012232414902585403,5.5813229862748765e-05,1.2254575502156157e-07,496.51221842389333,1.5263517087219882
0.36,0.5329180281682023,1.534453461694796,2.2091085374981487,2.1202600450587554,1.5262387261930903,0.8789128063324473,0.4217818328273443,0.17349348352852098,0.06244339642213701,0.0199773235686442,0.005752154384541942,0.0015918637107495855,7.479909309215235e-05,1.7371714385318864e-07,496.4129248632548,1.5639901799605742
0.37,0.5079421904010711,1.5031568136329947,2.224151285683089,2.1939822169250887,1.6231667770157387,0.9606897809030703,0.47382934307203645,0.2003152221927415,0.07409928291035081,0.024364723786375806,0.007210268268976266,0.0020540570569992497,9.931935516837811e-05,2.436135660386999e-07,496.31365085017654,1.6013287590427565
0.38,0.48413687982315173,1.4714226707064295,2.2360255610697375,2.265295332831651,1.7212111831124213,1.0462451847484924,0.5299703110264223,0.23010329096634402,0.08741826225619159,0.029520855820600864,0.008972183856259593,0.0026292309010796256,0.00013072670456518938,3.3816188241607286e-07,496.2143963038377,1.6383698400812432
0.39,0.4614472395209119,1.4393607847446883,2.2448500778493807,2.3340694029682454,1.8201259890130987,1.1354790345484942,0.5903037556022213,0.2630420579385385,0.10256115168326993,0.03554577737124133,0.01108754995859952,0.003339918670388727,0.00017064183390097802,4.64883407554401e-07,496.1151611278088,1.6751157993328007
0.4,0.4398209839407888,1.4070715810533645,2.2507461914834512,2.400189911628593,1.9196672238447887,1.2282768794758332,0.6549156400633744,0.2993144392631262,0.11969555499694695,0.042547672798380905,0.01361181523911521,0.004212128115739384,0.00022099385211174353,6.332451447980002e-07,496.01594520760517,1.7115689956088227
0.41000000000000003,0.41920827828439344,1.3746467930367616,2.2538370669908145,2.463557271971009,2.019593996384348,1.3245106720342434,0.7238783883778043,0.33910093024453747,0.13899539131870076,0.05064298028905131,0.016606593648746316,0.005275710075223292,0.0002840649700259378,8.550788886571732e-07,495.9167484079579,1.7477317707340179
0.42,0.3995616238135407,1.3421700556967617,2.254246941395481,2.5240862351510165,2.119669495238077,1.4240396895534833,0.7972504922037682,0.38257864121482305,0.16064036942651297,0.05995647674313763,0.020140022964076534,0.006564745010034247,0.0003625392382445302,1.1450661066411024e-06,495.8175705698171,1.783606450051605
0.43,0.38083574853478463,1.3097174626864343,2.252100465001219,2.5817052741167856,2.2196618936474137,1.5267114863177043,0.8750762113596492,0.4299203519070769,0.18481541090979697,0.07062131490462067,0.02428711145285143,0.00811794641280322,0.00045955565114331586,1.5212993951303187e-06,495.71841150706143,1.8191953429827694
0.44,0.36298750279753766,1.277358090834707,2.247522109702775,2.636355954612792,2.3193451646601266,1.6323628605697071,0.9573853622272437,0.4812935959582227,0.21171003062594188,0.08277901017599903,0.02913006632201892,0.00997907779318212,0.0005787657961364514,2.005938144472304e-06,495.61927100289245,1.854500743652817
0.45,0.3459757599697986,1.2451544906550063,2.240635649428816,2.6879922859726824,2.4184998083509712,1.7408208422954523,1.0441931924154708,0.5368597709577964,0.24151767416684355,0.09657937938238582,0.0347586054577469,0.012197382997665183,0.0007243958940865455,2.625956834713598e-06,495.52014880592463,1.8895249315827756
0.46,0.32976132217821347,1.2131631430415024,2.231563711571535,2.7365800546742762,2.5169134878819466,1.8519037013782824,1.135500344490574,0.5967732745931636,0.27443501033303414,0.11218043041029523,0.041270252926101036,0.014828030890240724,0.0009013133005457284,3.4139827847740145e-06,495.421044625967,1.9242701724443054
0.47000000000000003,0.3143068293664332,1.1814348967617407,2.220427355782269,2.782096186038807,2.614381597569838,1.9654219174922387,1.2312928874072262,0.6611807083292394,0.3106612110248616,0.12974819526766132,0.04877059522556127,0.01793256074114433,0.0011150979018497062,4.409294059673032e-06,495.32195812942746,1.9587387189274224
0.48,0.29957667402638877,1.1500153669163435,2.207345740062989,2.824528069448949,2.710707735674108,2.081179191771375,1.3315424401859939,0.7302200916645706,0.35039717794093106,0.14945651864136456,0.05737352863991864,0.02157934494650141,0.0013721176711913262,5.658887818278841e-06,495.2228889344391,1.9929328116580018
0.49,0.2855369187234133,1.1189453183371465,2.1924358031922577,2.8638729191801535,2.8057041224245043,2.198973406229963,1.4362063484619152,0.8040201529954395,0.3938447723296237,0.17148679255353877,0.06720145951508752,0.025844044537347545,0.0016796088651295795,7.218741887701109e-06,495.12383660560107,2.0268546802506986
0.5,0.27215521856239466,1.088261016144872,2.175812015554172,2.9001371197450307,2.89919192997412,2.3185976001825166,1.5452279470201165,0.8826996483793917,0.44120600312610303,0.19602764272486364,0.07838548680739744,0.030810077147991034,0.00204576057674912,9.155174236757803e-06,495.0248006484129,2.0605065444308663
0.51,0.2594007464215224,1.0579945612679764,2.157586147286499,2.9333356027408946,2.9910015625723574,2.43984089672814,1.6585368686230666,0.9663667541750922,0.4926822229565557,0.2232745652938301,0.09106553697406503,0.03656907440789591,0.0024798035572920797,1.1546407086997539e-05,494.9257805033377,2.093890615299313
0.52,0.2472441223356603,1.0281741994990081,2.1378670870348437,2.9634912232888655,3.0809728635895315,2.5624894251041765,1.776049421659754,1.0551185008125545,0.5484733021646894,0.25342951828166255,0.10539047110064283,0.04322134139386411,0.002992102999006789,1.4484273207452666e-05,494.82677553955233,2.127009096696128
0.53,0.2356573459756636,0.9988246127480741,2.1167606863456347,2.9906341592159618,3.168955268295329,2.686327204823563,1.8976690180338167,1.1490402716668473,0.6087768045328102,0.2867004656477797,0.1215181492204075,0.050876307721366185,0.003594255394907405,1.807611480715021e-05,494.7277850483451,2.159864186698709
0.54,0.2246137322071678,0.9699671923087448,2.094369631900378,3.0148013260567073,3.254807908992865,2.8111369969619964,2.023286642292864,1.2482053607162122,0.6737871703667512,0.3233008817156186,0.13961545289718727,0.059652965251767526,0.00429918865072075,2.24468907826165e-05,494.6288082361987,2.192458079263468
0.55,0.21408785012723697,0.9416202912140126,2.070793352153357,3.0360358073528033,3.3383996577707573,2.936701129698805,2.152781378880603,1.3526745864488383,0.7436948919004616,0.3634492087649737,0.1598582707549419,0.06968030152816654,0.005121266242129516,2.7741456963001395e-05,494.5298442175363,2.224792965988102
0.56,0.20405546434867183,0.9137994650669524,2.0461279349663895,3.0543863118544587,3.4196091400034274,3.062802275186522,2.286020957393292,1.4624959706986478,0.8186857194814053,0.4073682858474977,0.1824314343831768,0.08109770483684656,0.006076393333277683,3.412711343587931e-05,494.4308920071883,2.2568710380559995
0.5700000000000001,0.19449347985179513,0.8865176911914311,2.020466082086698,3.0699066428832196,3.4983246858248163,3.1892242026013786,2.4228623563160134,1.5777044728510707,0.8989398587688371,0.4552847303802201,0.2075286179967353,0.09405536602229567,0.0071821269733638934,4.179632052754838e-05,494.3319505125227,2.2886944882981517
0.58,0.18537988864409624,0.8597855794935092,1.9938970671287917,3.0826551966335702,3.574444265069243,3.315752477558361,2.5631524084704904,1.6983217882680401,0.9846312128926079,0.5074283009452097,0.23535218603202218,0.10871464189403407,0.008457787011958203,5.096971838688545e-05,494.23301852534723,2.3202655134600496
0.59,0.17669371985180413,0.8336115627293379,1.9665067273724357,3.0926944752961205,3.647875362261324,3.442175134724295,2.7067284623833636,1.824356203264191,1.0759266187032952,0.5640312142114907,0.26611300330948573,0.12524841328657937,0.009924570930748298,6.189932349169903e-05,494.13409471347666,2.3515863165915665
0.6,0.16841499122905937,0.8080020812078537,1.9383774534626153,3.100090628505499,3.7185348471558672,3.568283296055435,2.8534190297613637,1.9558025084861441,1.1729851399658946,0.6253274564761665,0.3000301943833243,0.14384139433654833,0.011605667593129533,7.487206276075209e-05,494.0351776121558,2.382659109661477
0.61,0.1605246635481615,0.7829617511190399,1.9095882023247128,3.1049130150998097,3.786348799935383,3.6938717519776536,3.0030444704701655,2.0926419734136843,1.2759573724124817,0.6915520567944153,0.33733085910673416,0.1646904257568545,0.013526374090259545,9.021352625174002e-05,493.93626561516817,2.4134861163224532
0.62,0.153004597549623,0.7584935183493178,1.8802145314124887,3.1072337782926946,3.851252303226105,3.8187395149503,3.1554176975449515,2.2348423645063247,1.3849847704333271,0.7629403439730984,0.3782497530797424,0.18800473969562884,0.015714212532940204,0.00010829197007901168,493.837356965796,2.4440695748409778
0.63,0.14583751193904554,0.7345988098380081,1.8503286217310377,3.1071274578448946,3.9131892368649894,3.9426903050225173,3.3103448609554773,2.3823580325857137,1.500199040869865,0.8397271958440883,0.4230289092975585,0.21400617184124043,0.018199046202603358,0.00012952267912977065,493.7384497475933,2.4744117412687436
0.64,0.13900694443349645,0.711277666600122,1.81999933200488,3.104670610143485,3.9721120260646967,4.065533018413528,3.4676260684968176,2.5351300380358324,1.6217215404427237,0.9221462665836543,0.4719172331899331,0.2429293557449126,0.021013196011593977,0.0001543725330754254,493.63954187501884,2.5045148927460272
0.65,0.1324972138863503,0.6885288737759859,1.7892922442333494,3.099941460104935,4.027981393535655,4.187082136238868,3.6270560815613373,2.693086336226891,1.7496627410553969,1.010429213899079,0.5251700432285638,0.2750218615659934,0.024191555315123126,0.00018336493504029849,493.5406310839393,2.534381331046059
0.66,0.12629338477393814,0.6663500774726703,1.7582697279448793,3.093019566718506,4.0807660817004185,4.307158107311195,3.788425027521155,2.856142000389804,1.8841217164513162,1.1048049173511771,0.5830485832415045,0.31054430474058364,0.02777170313010735,0.0002170849814949958,493.4417149220767,2.564013386272846
0.67,0.12038123307899631,0.6447378960092314,1.726991003293825,3.0839855140263386,4.130442571989272,4.4255876811073565,3.9515190954534467,3.024199496933365,2.0251856860002064,1.2054986969680406,0.6458194877670875,0.3497704038079638,0.031794015397624685,0.00025618497070545727,493.3427907393604,2.5934134207819204
0.68,0.11474721401767876,0.6236880216846237,1.6955122145309014,3.0729206170249466,4.176994789719374,4.542204210116235,4.116121228885709,3.197148996248581,2.1729295957687667,1.312731535264931,0.7137542176492014,0.3929869971549267,0.03630177303140569,0.0003013901804111023,493.2438556782958,2.62258383326967
0.6900000000000001,0.1093784312093813,0.6031953164095099,1.6638865043133948,3.0599066507735677,4.22041380302576,4.656847909177597,4.282011805008085,3.3748687273927875,2.3274157509395534,1.4267193044223256,0.7871284565863924,0.44049401022128387,0.041341266924211424,0.00035350496997619543,493.14490666431084,2.65152706307231
0.7000000000000001,0.10426260742241134,0.5832538998298036,1.6321640934546466,3.0450255977483605,4.260697511068862,4.769366081921434,4.448969307077758,3.557225365771006,2.488693487505191,1.5476720021774935,0.8662214815009698,0.49260437944540114,0.04696189862571564,0.000413419146804579,493.04594039618706,2.6802455946261685
0.71,0.09938805666997724,0.5638572316687871,1.6003923623106133,3.02835941285812,4.29785033262284,4.879613309811849,4.616770974538959,3.744074456970517,2.65679889934634,1.6757930020385414,0.9513154979522325,0.5496439222557266,0.05321627666365703,0.0004821146586943501,492.9469533365402,2.7087419621347046
0.72,0.09474365774380143,0.5449981873873626,1.568615936430922,3.009989804889661,4.331882888334608,4.987451610519034,4.785193440685677,3.93526086921998,2.8317546067683894,1.811278317622289,1.0426949529506035,0.6119511622429092,0.060160307572520146,0.0005606725371768615,492.84794170244646,2.7370187543838664
0.73,0.09031882895465265,0.5266691290027173,1.5368767718239065,2.989998036613827,4.362811683759478,5.092750561110228,4.954013348126864,4.130619275500056,3.013569577599273,1.9543158873840636,1.1406458201043472,0.6798771000663324,0.0678532812022678,0.0006502801521827387,492.74890145620685,2.765078619749343
0.74,0.08610350417731709,0.5088619700193787,1.5052142432727582,2.9684647400214774,4.390658789556395,5.1953873923233065,5.123007948495878,4.329974659462419,3.2022389897171455,2.1050848788010925,1.2454548670479748,0.7537849388533928,0.07635794969549639,0.0007522386961635088,492.64982829632595,2.792924271333117
0.75,0.08208810997295678,0.491568236251643,1.473665231516246,2.945469747649914,4.415451526799251,5.29524705162434,5.29195567343229,4.533142844702504,3.397744148846313,2.263755020302554,1.3574088995069402,0.8340497523916799,0.08574059952146182,0.0008679709778970595,492.5507176486999,2.8205584922867706
0.76,0.07826354392838876,0.47477912118321125,1.44226421303307,2.9210919382620144,4.437222149388997,5.392222241291293,5.460636689959099,4.739931041867815,3.6000524440894925,2.4304859560119336,1.4767939944810207,0.9210581108008242,0.09607111628804291,0.0009990293941190892,492.4515646580949,2.8479841412231814
0.77,0.07462115398570282,0.45848553761880606,1.4110433485001312,2.8954090969449404,4.456007532846437,5.486213428663685,5.628833427133092,4.95013841280124,3.809117354556264,2.6054266328560107,1.6038947179961491,1.0152076509920493,0.10742304141105814,0.0011471041718794683,492.3523641799239,2.8752041577825107
0.78,0.0711527187689813,0.4426781654073036,1.3800325707965695,2.868497788725675,4.471848867905492,5.577128830750214,5.796331077368982,5.163556649582611,4.024878501062292,2.788714718524111,1.7389933325467237,1.1169065978263992,0.11987362046360558,0.001314031818532078,492.2531107723604,2.902221568305384
0.79,0.06785042892517178,0.4273474949248864,1.3492596736915297,2.8404332446922944,4.484791356467583,5.664884376675297,5.96291807632987,5.379970564773821,4.247261736317594,2.9804760497296887,1.8823690003240061,1.2265732417020367,0.13350384285106476,0.0015018037188337197,492.1537986888417,2.9290394915674196
0.8,0.06470686927400246,0.4124838678874535,1.3187503977913257,2.8112892606410034,4.494883917133057,5.7494036478805555,6.128386549460517,5.599158688693542,4.476179285878561,3.1808241222903204,2.03429697949677,1.3446353595771894,0.14839847157435831,0.0017125749751551048,492.05442187098316,2.9556611446421366
0.81,0.061715001940397515,0.3980775138827136,1.2885285177770034,2.7811381072442036,4.502178891453396,5.8306177990682775,6.292532741336872,5.8208938745589345,4.711529919604986,3.3898596093535764,2.1950478231955834,1.47152960155044,0.1646460642030253,0.001948673283237343,491.95497394193853,2.9820898487429885
0.8200000000000001,0.0588681501693758,0.3841185849555106,1.258615926013743,2.750050450802317,4.506731763574449,5.908465459220497,6.455157408000642,6.044943905511261,4.953199173016008,3.607669927412854,2.3648865780879267,1.607700819909279,0.18233898256531456,0.0022126080415013493,491.8554482002581,3.008329035182223
0.8300000000000001,0.05615998302289473,0.370597186452801,1.2290327167296622,2.718095284515694,4.508600882300499,5.982892615721863,6.6160661901443785,6.271072106105064,5.201059597888389,3.834328832495516,2.5440719895749457,1.753601366096606,0.20157339323405193,0.002507079440087262,491.7558376142374,3.034382251267216
0.84,0.05358450072877299,0.3575034058596841,1.1997972673131994,2.685339869179534,4.507847194362063,6.053852482925311,6.775069953661401,6.499037949933142,5.454971054540225,4.069896064230784,2.7328557150150843,1.9096903381047698,0.22244925618558753,0.0028349876868344033,491.6561348168414,3.060253166240642
0.85,0.0511360207567659,0.3448273388834208,1.17092631847391,2.651849683340863,4.504533984247052,6.121305355518373,6.931985106399472,6.728597666145553,5.714781035265593,4.314417027332993,2.9314815476246987,2.0764327926769295,0.24507030308344163,0.0031994422134740165,491.55633210118543,3.0859455771552247
0.86,0.048809164547537635,0.3325591132300862,1.1424350526722011,2.6176883819135073,4.498726622570268,6.185218448821964,7.086633888136504,6.959504841006136,5.980325019650914,4.567922515129859,3.1401846545649237,2.2542989203465282,0.2695440042424562,0.0036037708715049304,491.45642141662535,3.111463414686558
0.87,0.04659884481738174,0.32068891055421045,1.1143371700938078,2.58291776239732,4.490492325078801,6.245565727917811,7.238844630379788,7.191511011061582,6.2514268633441,4.8304284794582175,3.3591908316944883,2.4437631810903446,0.29598152350190543,0.004051529126741121,491.356394365498,3.136810748888168
0.88,0.044500253512550166,0.30920698587494133,1.08664496369983,2.5475977391733666,4.479899917585822,6.3023277252598175,7.388451994851714,7.424366251584442,6.52789921071744,5.101935835472338,3.5887157757138106,2.6453034150995856,0.3244976628662021,0.004546509088512192,491.2562422004706,3.161991794776458
0.89,0.04250885021995562,0.2981036858264452,1.0593693909864452,2.5117863240162763,4.4670196137714075,6.355491350031806,7.535297180742935,7.657819749424925,6.80954393808878,5.38243031969013,3.828964380989502,2.8593999140961195,0.3552107935157123,0.005092748518871805,491.15595582264126,3.1870109178382844
0.9,0.040620351180066044,0.28736946452019346,1.0325201448546082,2.4755396140202786,4.45192279871298,6.405049687187113,7.679228112647208,7.8916203702802195,7.096152616254114,5.6718823802354015,4.080130056355212,3.086534474615175,0.38824277716033084,0.005694539573820267,491.0555257802556,3.2118726392974946
0.91,0.038830718705814726,0.27699489835309093,1.0061057214891205,2.438911784586702,4.434681824617169,6.451001791675411,7.820099598479022,8.125517207297113,7.387506998714553,5.970247118750723,4.342394072056056,3.3271894190906752,0.42371887363267535,0.006356437427392211,490.9549422682233,3.236581641232647
