t,V,Na_c,Na_i,m,h1,h2,Ca_d,d_L,f_L1,f_L2,K_c,K_i,r,s,a_ur,i_ur,n,pa,Ca_c,Ca_i,O_C,O_TC,O_TMgC,O_TMgMg,O,Ca_rel,Ca_up,O_Calse,F1,F2
0.23,2.5e-323,8.40310333418e-312,1.103437811514e-312,0.0,0.0,5.9415882188e-313,8.40310333418e-312,1.27319747484e-312,0.0,0.0,2.2e-322,8.40310333418e-312,1.27319747479e-312,0.0,0.0,5.3049894815e-313,8.40310333418e-312,1.46417709607e-312,0.0,0.0,2.3341953723e-313,8.40310333418e-312,1.464177095974e-312,0.0,0.0,2.121995817e-314,8.40310333418e-312,1.485397053863e-312,0.0,0.0
0.24,2.2e-322,8.40310333418e-312,1.485397053824e-312,0.0,0.0,2.3341953723e-313,8.40310333418e-312,1.506617011684e-312,0.0,0.0,6.1537877979e-313,8.40310333418e-312,1.67637667522e-312,0.0,0.0,2.2e-322,8.40310333418e-312,1.67637667496e-312,0.0,0.0,6.365987415e-314,8.40310333418e-312,2.75859452845e-313,0.0,0.0,6.365987377e-313,8.40310333418e-312,3.39519326624e-313,0.0,0.0
0.25,1.93e-322,8.40310333418e-312,3.60739284484e-313,0.0,0.0,8.487983205e-314,8.424323292094e-312,5.7293886366e-313,0.0,0.0,8.487983205e-314,8.424323292094e-312,7.6391848489e-313,0.0,0.0,1.48539705817e-313,8.424323292094e-312,8.4879831657e-313,0.0,0.0,2.121995833e-314,8.424323292094e-312,1.01855797987e-312,0.0,0.0,2.12199579507e-313,8.424323292094e-312,1.060997895725e-312,0.0,0.0
0.26,2.5e-323,8.424323292094e-312,1.0822178536e-312,0.0,0.0,6.5781869561e-313,8.424323292094e-312,1.251977516926e-312,0.0,0.0,2.2e-322,8.424323292094e-312,1.251977516877e-312,0.0,0.0,6.7903865352e-313,8.424323292094e-312,1.464177096067e-312,0.0,0.0,2.3341953723e-313,8.424323292094e-312,1.46417709597e-312,0.0,0.0,2.121995817e-314,8.424323292094e-312,1.48539705386e-312,0.0,0.0
0.27,2.2e-322,8.424323292094e-312,1.48539705382e-312,0.0,0.0,2.3341953723e-313,8.424323292094e-312,1.506617011684e-312,0.0,0.0,6.365987415e-314,8.424323292094e-312,2.75859452845e-313,0.0,0.0,7.0025861143e-313,8.424323292094e-312,3.39519326624e-313,0.0,0.0,1.93e-322,8.424323292094e-312,3.60739284484e-313,0.0,0.0,2.121995833e-314,8.44554325001e-312,5.5171890575e-313,0.0,0.0
0.28,2.12199579507e-313,8.44554325001e-312,5.94158821604e-313,0.0,0.0,2.5e-323,8.44554325001e-312,6.1537877948e-313,0.0,0.0,7.2147856934e-313,8.44554325001e-312,7.85138442805e-313,0.0,0.0,2.2e-322,8.44554325001e-312,7.85138442756e-313,0.0,0.0,7.4269852725e-313,8.44554325001e-312,9.76118064037e-313,0.0,0.0,2.3341953723e-313,8.44554325001e-312,9.7611806394e-313,0.0,0.0
0.29,6.365987415e-314,8.44554325001e-312,2.75859452845e-313,0.0,0.0,7.6391848516e-313,8.44554325001e-312,3.18299368714e-313,0.0,0.0,1.93e-322,8.44554325001e-312,3.39519326574e-313,0.0,0.0,7.85138443067e-313,8.466763207923e-312,6.578186953e-313,0.0,0.0,1.48539705817e-313,8.466763207923e-312,7.42698526996e-313,0.0,0.0,6.365987415e-314,8.466763207923e-312,9.76118064027e-313,0.0,0.0
0.3,7.6391848516e-313,8.466763207923e-312,1.018557979896e-312,0.0,0.0,2.5e-323,8.466763207923e-312,1.039777937756e-312,0.0,0.0,2.08e-322,8.466763207923e-312,1.03977793775e-312,0.0,0.0,6.365987415e-314,8.466763207923e-312,1.251977516917e-312,0.0,0.0,7.6391848516e-313,8.466763207923e-312,1.294417432785e-312,0.0,0.0,2.5e-323,8.466763207923e-312,1.315637390646e-312,0.0,0.0
0.31,1.0609978977e-313,8.466763207923e-312,1.315637390576e-312,0.0,0.0,2.121995817e-314,8.466763207923e-312,1.336857348466e-312,0.0,0.0,1.0609978977e-313,8.466763207923e-312,1.336857348407e-312,0.0,0.0,8.06358400977e-313,8.466763207923e-312,1.59149684354e-312,0.0,0.0,2.2e-322,8.466763207923e-312,1.591496843323e-312,0.0,0.0,6.365987415e-314,8.466763207923e-312,2.75859452845e-313,0.0,0.0
0.32,8.27578358887e-313,8.466763207923e-312,3.39519326624e-313,0.0,0.0,1.93e-322,8.466763207923e-312,3.60739284484e-313,0.0,0.0,8.487983205e-314,8.487983165837e-312,5.51718905745e-313,0.0,0.0,8.487983205e-314,8.487983165837e-312,7.42698526976e-313,0.0,0.0,1.48539705817e-313,8.487983165837e-312,8.27578358654e-313,0.0,0.0,2.121995833e-314,8.487983165837e-312,9.97338021956e-313,0.0,0.0
0.33,2.12199579507e-313,8.487983165837e-312,1.03977793781e-312,0.0,0.0,2.5e-323,8.487983165837e-312,1.060997895685e-312,0.0,0.0,8.48798316796e-313,8.487983165837e-312,1.23075755901e-312,0.0,0.0,2.2e-322,8.487983165837e-312,1.23075755896e-312,0.0,0.0,8.70018274706e-313,8.487983165837e-312,1.421737180243e-312,0.0,0.0,2.3341953723e-313,8.487983165837e-312,1.421737180144e-312,0.0,0.0
0.34,2.121995817e-314,8.487983165837e-312,1.442957138034e-312,0.0,0.0,2.2e-322,8.487983165837e-312,1.442957137995e-312,0.0,0.0,2.3341953723e-313,8.487983165837e-312,1.46417709586e-312,0.0,0.0,6.365987415e-314,8.487983165837e-312,2.75859452845e-313,0.0,0.0,8.91238232615e-313,8.487983165837e-312,3.18299368714e-313,0.0,0.0,1.93e-322,8.487983165837e-312,3.39519326574e-313,0.0,0.0
0.35000000000000003,8.487983205e-314,8.50920312375e-312,5.7293886366e-313,0.0,0.0,8.487983205e-314,8.50920312375e-312,7.6391848489e-313,0.0,0.0,1.48539705817e-313,8.50920312375e-312,8.4879831657e-313,0.0,0.0,2.121995833e-314,8.50920312375e-312,1.01855797987e-312,0.0,0.0,2.12199579507e-313,8.50920312375e-312,1.060997895725e-312,0.0,0.0,2.5e-323,8.50920312375e-312,1.0822178536e-312,0.0,0.0
0.36,9.12458190525e-313,8.50920312375e-312,1.251977516926e-312,0.0,0.0,2.2e-322,8.50920312375e-312,1.251977516877e-312,0.0,0.0,9.33678148435e-313,8.50920312375e-312,1.44295713816e-312,0.0,0.0,2.3341953723e-313,8.50920312375e-312,1.44295713806e-312,0.0,0.0,2.121995817e-314,8.50920312375e-312,1.46417709595e-312,0.0,0.0,2.2e-322,8.50920312375e-312,1.46417709591e-312,0.0,0.0
0.37,2.3341953723e-313,8.50920312375e-312,1.485397053775e-312,0.0,0.0,6.365987415e-314,8.50920312375e-312,2.75859452845e-313,0.0,0.0,9.54898106344e-313,8.50920312375e-312,3.39519326624e-313,0.0,0.0,1.93e-322,8.50920312375e-312,3.60739284484e-313,0.0,0.0,9.76118064254e-313,8.530423081667e-312,6.1537877948e-313,0.0,0.0,6.365987415e-314,8.530423081667e-312,8.27578358625e-313,0.0,0.0
0.38,9.54898106344e-313,8.530423081667e-312,8.91238232403e-313,0.0,0.0,2.5e-323,8.530423081667e-312,9.12458190263e-313,0.0,0.0,1.0609978977e-313,8.530423081667e-312,9.12458190214e-313,0.0,0.0,9.97338022164e-313,8.530423081667e-312,1.16709768525e-312,0.0,0.0,2.2e-322,8.530423081667e-312,1.16709768513e-312,0.0,0.0,6.365987415e-314,8.530423081667e-312,2.75859452845e-313,0.0,0.0
0.39,1.018557980073e-312,8.530423081667e-312,3.39519326624e-313,0.0,0.0,1.93e-322,8.530423081667e-312,3.60739284484e-313,0.0,0.0,1.039777937983e-312,8.55164303958e-312,5.9415882157e-313,0.0,0.0,6.365987415e-314,8.55164303958e-312,8.0635840071e-313,0.0,0.0,9.54898106344e-313,8.55164303958e-312,8.7001827449e-313,0.0,0.0,2.5e-323,8.55164303958e-312,8.9123823235e-313,0.0,0.0
0.4,1.0609978977e-313,8.55164303958e-312,8.91238232304e-313,0.0,0.0,1.060997895893e-312,8.55164303958e-312,1.124657769424e-312,0.0,0.0,2.2e-322,8.55164303958e-312,1.12465776931e-312,0.0,0.0,6.365987415e-314,8.55164303958e-312,2.75859452845e-313,0.0,0.0,1.0822178538e-312,8.55164303958e-312,3.39519326624e-313,0.0,0.0,1.93e-322,8.55164303958e-312,3.60739284484e-313,0.0,0.0
0.41000000000000003,8.487983205e-314,8.572862997496e-312,5.51718905745e-313,0.0,0.0,8.487983205e-314,8.572862997496e-312,7.42698526976e-313,0.0,0.0,1.48539705817e-313,8.572862997496e-312,8.27578358654e-313,0.0,0.0,2.121995833e-314,8.572862997496e-312,9.97338021956e-313,0.0,0.0,2.12199579507e-313,8.572862997496e-312,1.03977793781e-312,0.0,0.0,2.5e-323,8.572862997496e-312,1.060997895685e-312,0.0,0.0
0.42,1.10343781171e-312,8.572862997496e-312,1.23075755901e-312,0.0,0.0,2.2e-322,8.572862997496e-312,1.23075755896e-312,0.0,0.0,1.12465776962e-312,8.572862997496e-312,1.442957138153e-312,0.0,0.0,2.3341953723e-313,8.572862997496e-312,1.442957138054e-312,0.0,0.0,2.121995817e-314,8.572862997496e-312,1.464177095944e-312,0.0,0.0,2.2e-322,8.572862997496e-312,1.464177095904e-312,0.0,0.0
0.43,2.3341953723e-313,8.572862997496e-312,1.48539705377e-312,0.0,0.0,6.365987415e-314,8.572862997496e-312,2.75859452845e-313,0.0,0.0,1.14587772753e-312,8.572862997496e-312,3.18299368714e-313,0.0,0.0,1.93e-322,8.572862997496e-312,3.39519326574e-313,0.0,0.0,2.121995833e-314,8.59408295541e-312,5.72938863664e-313,0.0,0.0,2.12199579507e-313,8.59408295541e-312,6.1537877952e-313,0.0,0.0
0.44,2.5e-323,8.59408295541e-312,6.36598737393e-313,0.0,0.0,1.16709768544e-312,8.59408295541e-312,8.0635840072e-313,0.0,0.0,2.2e-322,8.59408295541e-312,8.0635840067e-313,0.0,0.0,2.33419537416e-313,8.59408295541e-312,9.9733802195e-313,0.0,0.0,2.3341953723e-313,8.59408295541e-312,9.97338021852e-313,0.0,0.0,6.365987415e-314,8.59408295541e-312,2.75859452845e-313,0.0,0.0
0.45,1.18831764335e-312,8.59408295541e-312,3.39519326624e-313,0.0,0.0,1.93e-322,8.59408295541e-312,3.60739284484e-313,0.0,0.0,1.20953760126e-312,8.615302913325e-312,6.3659873739e-313,0.0,0.0,1.48539705817e-313,8.615302913325e-312,7.2147856908e-313,0.0,0.0,6.365987415e-314,8.615302913325e-312,9.5489810611e-313,0.0,0.0,1.18831764335e-312,8.615302913325e-312,1.01855797989e-312,0.0,0.0
0.46,2.5e-323,8.615302913325e-312,1.03977793775e-312,0.0,0.0,2.08e-322,8.615302913325e-312,1.039777937746e-312,0.0,0.0,6.365987415e-314,8.615302913325e-312,1.251977516917e-312,0.0,0.0,1.18831764335e-312,8.615302913325e-312,1.315637390695e-312,0.0,0.0,2.5e-323,8.615302913325e-312,1.336857348555e-312,0.0,0.0,1.0609978977e-313,8.615302913325e-312,1.33685734848e-312,0.0,0.0
0.47000000000000003,2.121995817e-314,8.615302913325e-312,1.35807730637e-312,0.0,0.0,1.0609978977e-313,8.615302913325e-312,1.358077306317e-312,0.0,0.0,1.23075755917e-312,8.615302913325e-312,1.591496843545e-312,0.0,0.0,2.2e-322,8.615302913325e-312,1.591496843323e-312,0.0,0.0,6.365987415e-314,8.615302913325e-312,2.75859452845e-313,0.0,0.0,1.25197751708e-312,8.615302913325e-312,3.39519326624e-313,0.0,0.0
0.48,1.93e-322,8.615302913325e-312,3.60739284484e-313,0.0,0.0,8.487983205e-314,8.63652287124e-312,5.51718905745e-313,0.0,0.0,8.487983205e-314,8.63652287124e-312,7.42698526976e-313,0.0,0.0,1.48539705817e-313,8.63652287124e-312,8.27578358654e-313,0.0,0.0,2.121995833e-314,8.63652287124e-312,9.97338021956e-313,0.0,0.0,2.12199579507e-313,8.63652287124e-312,1.03977793781e-312,0.0,0.0
0.49,2.5e-323,8.63652287124e-312,1.060997895685e-312,0.0,0.0,1.27319747499e-312,8.63652287124e-312,1.23075755901e-312,0.0,0.0,2.2e-322,8.63652287124e-312,1.23075755896e-312,0.0,0.0,1.2944174329e-312,8.63652287124e-312,1.421737180243e-312,0.0,0.0,2.3341953723e-313,8.63652287124e-312,1.421737180144e-312,0.0,0.0,2.121995817e-314,8.63652287124e-312,1.442957138034e-312,0.0,0.0
0.5,2.2e-322,8.63652287124e-312,1.442957137995e-312,0.0,0.0,2.3341953723e-313,8.63652287124e-312,1.46417709586e-312,0.0,0.0,6.365987415e-314,8.63652287124e-312,2.75859452845e-313,0.0,0.0,1.31563739081e-312,8.63652287124e-312,3.18299368714e-313,0.0,0.0,1.93e-322,8.63652287124e-312,3.39519326574e-313,0.0,0.0,2.121995833e-314,8.657742829154e-312,5.5171890575e-313,0.0,0.0
0.51,2.12199579507e-313,8.657742829154e-312,5.94158821604e-313,0.0,0.0,2.5e-323,8.657742829154e-312,6.1537877948e-313,0.0,0.0,1.33685734872e-312,8.657742829154e-312,7.85138442805e-313,0.0,0.0,2.2e-322,8.657742829154e-312,7.85138442756e-313,0.0,0.0,6.365987415e-314,8.657742829154e-312,2.75859452845e-313,0.0,0.0,1.35807730663e-312,8.657742829154e-312,3.39519326624e-313,0.0,0.0
0.52,1.93e-322,8.657742829154e-312,3.60739284484e-313,0.0,0.0,1.379297264538e-312,8.67896278707e-312,5.9415882157e-313,0.0,0.0,1.48539705817e-313,8.67896278707e-312,6.7903865325e-313,0.0,0.0,6.365987415e-314,8.67896278707e-312,9.5489810611e-313,0.0,0.0,1.35807730663e-312,8.67896278707e-312,1.01855797989e-312,0.0,0.0,2.5e-323,8.67896278707e-312,1.03977793775e-312,0.0,0.0
0.53,2.08e-322,8.67896278707e-312,1.039777937746e-312,0.0,0.0,6.365987415e-314,8.67896278707e-312,1.251977516917e-312,0.0,0.0,1.35807730663e-312,8.67896278707e-312,1.315637390695e-312,0.0,0.0,2.5e-323,8.67896278707e-312,1.336857348555e-312,0.0,0.0,1.0609978977e-313,8.67896278707e-312,1.33685734848e-312,0.0,0.0,1.400517222447e-312,8.67896278707e-312,1.527836969816e-312,0.0,0.0
0.54,2.3341953723e-313,8.67896278707e-312,1.527836969663e-312,0.0,0.0,1.400517222447e-312,8.67896278707e-312,1.718816591047e-312,0.0,0.0,2.3341953723e-313,8.67896278707e-312,1.718816590845e-312,0.0,0.0,2.121995817e-314,8.67896278707e-312,1.740036548735e-312,0.0,0.0,1.0609978977e-313,8.67896278707e-312,1.74003654869e-312,0.0,0.0,1.421737180357e-312,8.67896278707e-312,1.9522361281e-312,0.0,0.0
0.55,2.2e-322,8.67896278707e-312,1.952236127787e-312,0.0,0.0,6.365987415e-314,8.67896278707e-312,2.75859452845e-313,0.0,0.0,1.442957138266e-312,8.67896278707e-312,3.39519326624e-313,0.0,0.0,1.93e-322,8.67896278707e-312,3.60739284484e-313,0.0,0.0,1.464177096176e-312,8.700182744983e-312,5.7293886366e-313,0.0,0.0,1.48539705817e-313,8.700182744983e-312,6.5781869534e-313,0.0,0.0
0.56,6.365987415e-314,8.700182744983e-312,9.336781482e-313,0.0,0.0,1.35807730663e-312,8.700182744983e-312,9.97338021976e-313,0.0,0.0,2.5e-323,8.700182744983e-312,1.018557979836e-312,0.0,0.0,2.08e-322,8.700182744983e-312,1.01855797983e-312,0.0,0.0,6.365987415e-314,8.700182744983e-312,1.230757559e-312,0.0,0.0,1.35807730663e-312,8.700182744983e-312,1.29441743278e-312,0.0,0.0
0.5700000000000001,2.5e-323,8.700182744983e-312,1.31563739064e-312,0.0,0.0,1.0609978977e-313,8.700182744983e-312,1.315637390566e-312,0.0,0.0,1.485397054086e-312,8.700182744983e-312,1.5066170119e-312,0.0,0.0,2.3341953723e-313,8.700182744983e-312,1.50661701175e-312,0.0,0.0,1.485397054086e-312,8.700182744983e-312,1.697596633133e-312,0.0,0.0,2.3341953723e-313,8.700182744983e-312,1.69759663293e-312,0.0,0.0
0.58,2.121995817e-314,8.700182744983e-312,1.71881659082e-312,0.0,0.0,1.0609978977e-313,8.700182744983e-312,1.71881659078e-312,0.0,0.0,1.506617011995e-312,8.700182744983e-312,1.931016170184e-312,0.0,0.0,2.2e-322,8.700182744983e-312,1.931016169877e-312,0.0,0.0,6.365987415e-314,8.700182744983e-312,2.75859452845e-313,0.0,0.0,1.527836969905e-312,8.700182744983e-312,3.39519326624e-313,0.0,0.0
0.59,1.93e-322,8.700182744983e-312,3.60739284484e-313,0.0,0.0,2.121995833e-314,8.7214027029e-312,5.72938863664e-313,0.0,0.0,2.12199579507e-313,8.7214027029e-312,6.1537877952e-313,0.0,0.0,2.5e-323,8.7214027029e-312,6.36598737393e-313,0.0,0.0,1.549056927815e-312,8.7214027029e-312,8.0635840072e-313,0.0,0.0,2.2e-322,8.7214027029e-312,8.0635840067e-313,0.0,0.0
