t,EGF,R,Ra,R2,RP,R_PL,R_PLP,R_G,R_G_S,R_Sh,R_ShP,R_Sh_G,R_Sh_G_S,G_S,ShP,Sh_G,Sh_G_S,PLC_gamma,PLC_gamma_P,PLC_gamma_P_I,Grb,Shc,SOS
0.1,661.8301232207656,81.8301232207653,17.94079858307196,0.11196984335917504,0.0017808496183496754,0.0002443857149246571,4.387254479229097e-06,1.0032735998589046e-05,6.551606320726763e-08,0.00047738339170238223,5.194814758786191e-05,2.012602385859128e-07,1.0828228986027138e-09,0.02888064341648653,2.383465325143695e-07,1.5825106295703705e-09,2.1971162157255796e-11,104.99975120705342,1.9718301289061628e-08,2.58912604744211e-10,84.97110905438392,149.9994702261667,33.971119289962665
0.11,660.234460244316,80.23446024431566,19.466683801633557,0.1457643810028344,0.0024570361209568167,0.0003734631482729136,7.421968220606803e-06,1.5354799457658327e-05,1.1095836634838858e-07,0.0007226796424354742,8.715375669099674e-05,3.7340959941865713e-07,2.2185363183879232e-09,0.03176657747693972,4.425232827409782e-07,3.242372283357063e-09,4.969288567575584e-11,104.99961907751394,3.683537549895451e-08,5.342227646453859e-10,84.96821757784504,149.99918934515745,33.96823330929647
0.12,658.6747444488052,78.6747444488049,20.945005952006063,0.1850691099681222,0.003282737384898724,0.0005479746277908928,1.1954113921056095e-05,2.256398215213988e-05,1.7891886909681752e-07,0.0010504115642540456,0.0001392106885259124,6.540901775805204e-07,4.255783113129336e-09,0.034652123277584365,7.756937586449222e-07,6.219825838012042e-09,1.0434685751586555e-10,104.9994400052607,6.49656190102601e-08,1.0320162498814257e-09,84.96532446915126,149.9988089373834,33.965347693443434
0.13,657.1500152726511,77.15001527265073,22.37624481913867,0.23008229279289177,0.004269609525501602,0.0007771142166235641,1.847740179756608e-05,3.204829851112288e-05,2.7687808053591843e-07,0.0014756408101101565,0.00021339464374897768,1.0918127603702082e-06,7.725250498892834e-09,0.037537280282666195,1.295701879071253e-06,1.1290316740313776e-08,2.058970618444129e-10,104.99920429731127,1.0918384507549343e-07,1.8865241318607757e-09,84.96242928350652,149.99830855781008,33.96246243490812
0.14,655.6593430766071,75.65934307660675,23.760927591537182,0.280962238499483,0.005428021949603931,0.0010706557863155077,2.757857595128158e-05,4.4222226790679685e-05,4.137509055225838e-07,0.0020139070994472904,0.00031586541864283424,1.7492411893817026e-06,1.3379692430055365e-08,0.04042204782685771,2.0773662203990835e-06,1.9553579220050966e-08,3.853383693197684e-10,104.99890158622232,1.761252110984208e-07,3.290259210295227e-09,84.95953153363564,149.99766636755592,33.95957752465722
0.15,654.2018279467494,74.20182794674888,25.099625748655672,0.33782972881045636,0.006767050019844662,0.001438865710511942,3.994242484844697e-05,5.9523338428757314e-05,5.99972064202495e-07,0.0026810305169105994,0.00045368389431081353,2.7053558996455884e-06,2.2254430943620756e-08,0.043306425101369096,3.215113992885554e-06,3.252183753612086e-08,6.890322397138612e-10,104.99852091209873,2.742550270488762e-07,5.510936041085321e-09,84.95663069076694,149.9968593096536,33.95669295198312
0.16,652.7765985540117,72.7765985540112,26.392951901301792,0.40077041486850984,0.008294492067540644,0.0018924163157124257,5.635591790674013e-05,7.840893046464033e-05,8.47569276223896e-07,0.003492925722486908,0.0006348175848480313,4.057630436769756e-06,3.5736304259238484e-08,0.046190411139694354,4.825642772722564e-06,5.2220221435680424e-08,1.1841571664367096e-09,104.99805080470571,4.1414957918410303e-07,8.911145665865457e-09,84.95372618558945,149.99586328427876,33.95380870437059
0.17,651.382811066031,71.38281106603047,27.641556611641377,0.46983717597998614,0.010016903658313819,0.002442301459754938,7.771149994202726e-05,0.0001013527175473721,1.1702245657353138e-06,0.004465429939387072,0.0008681358543914094,5.924189236461902e-06,5.5640930481405305e-08,0.049074004802972394,7.050572522696965e-06,8.129918266490029e-08,1.9654069315104346e-09,104.99747936428463,6.087848604774172e-07,1.3970858772587591e-08,84.95081740916017,149.99465332053893,33.95092476736614
0.18,650.0196481092192,70.01964810921869,28.846125214033595,0.5450524340708638,0.011939638903069106,0.0030997564484167633,0.00010500951292936363,0.00012884167198074623,1.5833232639390622e-06,0.005614149361468859,0.0011633948570833363,8.44592647781868e-06,8.429828428056855e-08,0.0519572047649077,1.0059064179391805e-05,1.2315888238053698e-07,3.1630766867757204e-09,104.99679433889455,8.738313041891409e-07,2.1312863609456272e-08,84.94790371369314,149.99320374017054,33.948041124450484
0.19,648.6863177781494,68.6863177781487,30.007374658544553,0.6264104138149956,0.014066901806176927,0.003876181473285115,0.0001393598354265134,0.00016137298171363623,2.103991834706723e-06,0.00695432057659883,0.001531213968670342,1.1788558405060101e-05,1.2464623723065504e-07,0.054840009496279346,1.4050371838461354e-05,1.8208496974499597e-07,4.95269278350961e-09,104.99598319900869,1.227951480997235e-06,3.1731175629659287e-08,84.94498441328788,149.99148831484058,33.94515775691297
0.2,647.3820526884695,67.3820526884688,31.126050394627768,0.7138793435931801,0.016401803894383556,0.004783069084866908,0.0001819827948092157,0.00019945114882348932,2.7511252469300613e-06,0.008500687053662711,0.0019830448350281007,1.6144590101759103e-05,1.8033158144841606e-07,0.05772241724905932,1.9256305503560953e-05,2.6339504868174603e-07,7.566262363593901e-09,104.99503320879958,1.6930984231036597e-06,4.622237113523255e-08,84.94205878459388,149.98948041592283,33.94227464372786
0.21,646.1061090723576,66.10610907235704,32.202923311420896,0.8074035907264886,0.01894642433539505,0.005831936523752575,0.0002342093582765126,0.00024358526196264352,3.545403949998033e-06,0.010267392049029904,0.00253113345258416,2.173518125803287e-05,2.558183051975077e-07,0.06060442604012615,2.5943585887814174e-05,3.7359541789869524e-07,1.1305305584535408e-08,104.99393149328533,2.2948127828040393e-06,6.601991184843113e-08,84.93912606739369,149.98715315501224,33.939391761432326
0.22,644.8577659137376,64.85776591373704,33.23878674973938,0.906905725451717,0.02170187264951865,0.007034262636988373,0.0002974806724370204,0.00029428643395285937,4.509301356844229e-06,0.012267886167414664,0.003188476552021313,2.881189377378969e-05,3.565025874423233e-07,0.06348603363461836,3.44160703369357e-05,5.205472765578888e-07,1.6555771091944737e-08,104.99266510154266,3.0625165679137672e-06,9.263141683234495e-08,84.93618546513066,149.98447951571086,33.93650908400568
0.23,643.6363241212094,63.63632412120888,34.23445359873667,1.012288509063291,0.024668352789320037,0.00840142945512675,0.00037334699889206454,0.00035206540906766704,5.667082453467472e-06,0.014514848915674899,0.003968773170951954,3.765830843584674e-05,4.88833989635266e-07,0.06636723752896265,4.501683412138343e-05,7.13641587645085e-07,2.3804941807443175e-08,104.99122106586562,4.029801597504198e-06,1.278788433419654e-07,84.93323614539057,149.98143247649037,33.93362658274967
0.24,642.4411057360228,62.4411057360222,35.19075348618874,1.123436804298868,0.027845227320397046,0.009944668404778844,0.0004634661027048155,0.00041743034075150676,7.0447943063011865e-06,0.01702012339354464,0.0048863722933009356,4.8591503694330205e-05,6.604421612480442e-07,0.06924803493362193,5.8130097906218e-05,9.639815627436865e-07,3.366038173667518e-08,104.98958645683996,5.23471117559402e-06,1.7394145830705066e-07,84.93027724034351,149.97798512462754,33.930744226169544
0.25,641.2714531782581,61.271453178257474,36.10853008764695,1.2402193927284146,0.031231080692868434,0.011675011828534226,0.0005696010675286376,0.0004908847661181106,8.670247991259686e-06,0.01979466518077335,0.005956216900742409,6.196336562712946e-05,8.802691677277798e-07,0.072128422755577,7.418296526853107e-05,1.2845728033548283e-06,4.6871337582665866e-08,104.98774843368999,6.7200120948926695e-06,2.3340193506233905e-07,84.92730784715138,149.97411075987435,33.92786197985594
0.26,640.1267285136853,60.12672851368472,36.98863850971793,1.3624907368873507,0.0348237819658234,0.013603247391783703,0.000693617821262225,0.0005729256881780669,1.0572996118926378e-05,0.022848498446062022,0.007193786602549561,7.816179494552113e-05,1.1587045791473602e-06,0.07500839758069978,9.364704338562977e-05,1.6905171213288134e-06,6.435161087113734e-08,104.9856942920329,8.533459933537749e-06,3.0929418332196926e-07,84.92432702836675,149.96978299253982,33.924979806367006
0.27,639.0063127489067,59.006312748906126,37.831942787967215,1.490092660210082,0.03862054629983679,0.015739876585885423,0.0008374822751604348,0.0006640418116019056,1.278430445515825e-05,0.02619068200230955,0.00861503858354982,9.761176650103891e-05,1.5077239255217662e-06,0.0778879556560224,0.00011703989552617389,2.1992107570321568e-06,8.720458839306852e-08,104.98341150793144,1.0728054016694637e-05,4.051535662704075e-07,84.92133381232215,149.9649758336129,33.922097665111025
0.28,637.9096052063214,57.90960520632091,38.63931365790394,1.6228558202507415,0.04261799429118482,0.01809508439156664,0.0010032563105249021,0.0007647121938640434,1.53371061519131e-05,0.029829304131657415,0.010236342161744674,0.00012077601201207194,1.941038104209423e-06,0.08076709287154629,0.00014492606726311763,2.8305573149236297e-06,1.1675374043762492e-07,104.98088777195541,1.3362268848509024e-05,5.250737190457876e-07,84.91832719346728,149.9596637632782,33.91921551223048
0.29,636.8360228446326,56.836022844632005,39.41162621259893,1.760601288030461,0.04681220865806278,0.020678702018413153,0.0011930947383116473,0.0008754046466032125,1.8265970024128945e-05,0.03377145520251187,0.012074422016591237,0.0001481558714229933,2.4742321069430206e-06,0.08364580474271832,0.00017791829500188848,3.6071654007124646e-06,1.5457059677348728e-07,104.97811102919539,1.650028893034886e-05,6.737590219675346e-07,84.91530613280113,149.9538218126464,33.916333300484574
0.3,635.7849996591374,55.78499965913693,40.14975783796129,1.9031419183066784,0.05119878886602755,0.023500180802865443,0.0014092411073372666,0.0009965745522681358,2.1607051461717732e-05,0.03802322904135976,0.0141462950409779,0.00018029176735265945,3.124914533469881e-06,0.08652408639247275,0.0002166782878712224,4.554560750831578e-06,2.0250822825855176e-07,104.97506950928634,2.021221984577465e-05,8.565836684278053e-07,84.91226955825294,149.94742562387898,33.91345097913332
0.31,634.755986090635,54.75598609063453,40.854586242033506,2.0502836660848414,0.05577290324401837,0.02656856767968829,0.0016540235254053708,0.0011286637443778365,2.539804315259611e-05,0.04258972541367466,0.016469209483643173,0.00021776358207324393,3.912865080526534e-06,0.08940193253364265,0.0002619173924531128,5.701395007972617e-06,2.6273629519824535e-07,104.97175175485616,2.4574287348501824e-05,1.0796514560875738e-06,84.90921636510039,149.94045150713183,33.91056849382185
0.32,633.7484484658653,53.748448465864705,41.52698761497975,2.201826810584332,0.060529339510383966,0.02989248507568607,0.0019298501094873524,0.0012720995550868455,2.967811992270957e-05,0.04747506236388798,0.01906058321477262,0.0002611908592002745,4.860184982290343e-06,0.09227933745129781,0.00031439705594467034,7.079657938147763e-06,3.377786619135048e-07,104.96814664593403,2.966902270397088e-05,1.3498581474029534e-06,84.90614541639293,149.93287648888466,33.90768578646516
0.33,632.7618684525471,52.7618684525465,42.167834918463285,2.3575671025676734,0.0654625553867487,0.033480112225264855,0.002239204493184783,0.0014272939215436672,3.448788371884063e-05,0.05268238840617354,0.021937945280508162,0.00031123288689285483,5.991443368216728e-06,0.09515629498563845,0.0003749291442867085,8.724882559999366e-06,4.3055329839035937e-07,104.96424342289615,3.558543091662981e-05,1.6749545469684182e-06,84.903055543443,149.92467835740297,33.904802795133996
0.34,631.795742541932,51.79574254193141,42.777996294203824,2.5172968297394873,0.07056672232832502,0.03733917167866574,0.002584640965027926,0.001594642690611137,3.986930287821042e-05,0.05821390588306825,0.025118876925060346,0.00036858859209433357,7.333827139157109e-06,0.09803279851487916,0.0004443760438614555,1.067635519915133e-05,5.444145478210189e-07,104.96003170459893,4.241914520367672e-05,2.0636122206165946e-06,84.89994554630267,149.91583569795907,33.90191945394058
0.35000000000000003,630.8495815453524,50.849581545351874,43.35833359520983,2.6808058115242512,0.07583576426268959,0.04147691807411824,0.0029687796928872497,0.001774525017272576,4.5865651894661105e-05,0.06407089506143969,0.02862095685817933,0.00043399628992573855,8.917286460860349e-06,0.100908840938817,0.0005236505869610723,1.2977318246059613e-05,6.831977747562464e-07,104.95550150418133,5.0272561748278674e-05,2.5254899799444714e-06,84.89681419429962,149.90632792340108,33.89903569292508
0.36,629.9229101183322,49.92291011833167,43.90970105504986,2.847882299885242,0.08126339943976998,0.04590012965913709,0.0033943016994878545,0.001967302866151315,5.2521447084655654e-05,0.07025374429853873,0.03246170602412666,0.0005082333096629391,1.077468000404138e-05,0.10378441466257285,0.0006137158319061036,1.5675171358062703e-05,8.512664802020668e-07,104.95064324237796,5.925496139637624e-05,3.071302073441367e-06,84.8936602265967,149.89613529941798,33.896151437943885
0.37,629.0152662931987,49.01526629319812,44.43294403056643,3.0183138384736727,0.08684317777402722,0.05061510142683115,0.0038639439015234513,0.0021733205799213877,5.9882382699984957e-05,0.07676198089515669,0.036658535240628703,0.000592115526048679,1.2941917187367195e-05,0.10665951158082718,0.0007155847278785851,1.8821667818344507e-05,1.0535609094677402e-06,104.94544775916646,6.948261841836054e-05,3.7128868170104524e-06,84.8904823527846,149.88523896646444,33.893266610558406
0.38,628.126201040163,48.12620104016236,44.92889791354464,3.1918880138253543,0.09256851815309919,0.05562764128325601,0.004380494074411979,0.0023929045674436844,6.799526495793714e-05,0.08359430473355269,0.041228696465921824,0.0006864966809632219,1.545809751403437e-05,0.10953412306281984,0.0008303195296917986,2.2473105567393253e-05,1.2956499639985246e-06,104.93990632248031,8.107888505814934e-05,4.463277022056393e-06,84.8872792535708,149.8736209557369,33.89038112792477
0.39,627.2552778374,47.25527783739933,45.39838710718737,3.368393169463025,0.0984327392965307,0.06094306830782516,0.004946785823128439,0.0026263630762442466,7.69079459123335e-05,0.09074862532977414,0.0461892351609505,0.0007922676567807796,1.836564645174961e-05,0.11240823993771003,0.0009590311508913211,2.6690512502954758e-05,1.5837843351152812e-06,104.93401063483186,9.417426673837441e-05,5.33677049950865e-06,84.88404958144008,149.8612642007584,33.88749490268561
0.4,626.4020722617872,46.402072261786614,45.84222412558813,3.5476190428865486,0.10442908618645,0.06656621416861393,0.005565693467355502,0.0028739860894356575,8.666925548678034e-05,0.09822210362287741,0.051556944576125495,0.0009103556108795498,2.1710448826543067e-05,0.11528185248041374,0.0011028783503979288,3.153982725216009e-05,1.9249520082555327e-06,104.92775283688196,0.00010890648037919262,6.349001742537863e-06,84.88079196133572,149.84815254261173,33.88460784286329
0.41000000000000003,625.5661715928297,45.566171592829015,46.261208786756015,3.729357344664489,0.11055076249224803,0.07250142396662976,0.006240127114049108,0.0031360452048518578,9.732893530041546e-05,0.10601118817573779,0.057348324671904594,0.0010417230059573729,2.5541976286125627e-05,0.11815495039845846,0.0012630667884811187,3.7092070417943805e-05,2.3269357238947592e-06,104.92112551141068,0.0001254204950089565,7.517013688176225e-06,84.87750499147303,149.83427073637557,33.881719851754255
0.42,624.7471744333202,44.74717443331954,46.65612750567784,3.9134022769465635,0.11679095448405846,0.07875256051618135,0.006973027665536183,0.0034127936505627095,0.00010893757116144361,0.11411165744015898,0.06357954227098235,0.0011873665447571587,2.991341131751447e-05,0.12102752281928734,0.0014408479656570947,4.342350995685439e-05,2.7983723077016963e-06,104.91412168392982,0.00014386855847231233,8.859330042496294e-06,84.87418724412068,149.81960445048497,33.87883082782595
0.43,623.9446903429778,43.94469034297706,47.027752671179705,4.0995510013863035,0.12314285311747626,0.0853230098442083,0.007767361920383348,0.003704466352026545,0.00012154652627645219,0.12251866180909275,0.07026639417860406,0.0013483160212273784,3.488176598746142e-05,0.123899558278326,0.001637518056024794,5.061581799490227e-05,3.3488137220293806e-06,104.90673482199865,0.00016441020916135664,1.0396027645066832e-05,84.87083726642447,149.80414026353748,33.87594066461571
0.44,623.1583394861417,43.15833948614106,47.376842109376504,4.287604053321329,0.12959967683958382,0.09221568749301096,0.008626117764985263,0.004011280034041569,0.00013520787508549865,0.13122676450281415,0.07742427333028908,0.0015256330844255206,4.050799561865115e-05,0.12677104470786288,0.001854416631051022,5.875621947426816e-05,3.988789807881372e-06,104.8989588336604,0.00018721227277035114,1.2148808900544228e-05,84.86745358129372,149.78786565944665,33.873049250631645
0.45,622.3877522922061,42.38775229220548,47.7041386247698,4.477365709349281,0.13615469061193994,0.09943304641699009,0.009552299438760369,0.004333433388893699,0.00014997433762393975,0.14022998357810762,0.08506813735074625,0.0017204099328945743,4.685710708880644e-05,0.12964196942665449,0.002092925294127709,6.793763212363945e-05,4.729872559977356e-06,104.89078806422494,0.00021244884531665907,1.4141074076126037e-05,84.86403468830218,149.7707690192325,33.870156469256095
0.46,621.6325691285938,41.632569128593154,48.010369616133886,4.668644309422201,0.1428012231822759,0.10697708594206433,0.010548922900077643,0.00467110729007592,0.00016589921474375013,0.14952183365752206,0.09321247982445992,0.0019337679415930664,5.3998261433521214e-05,0.13251231913034164,0.002354466227917353,7.82587973294464e-05,5.58474186646781e-06,104.8822172919023,0.00024030126229368281,1.6397993342912793e-05,84.86057906462264,149.752839610548,33.867262198651645
0.47000000000000003,620.8924399863665,40.89243998636591,48.29624676631177,4.86125253397172,0.14953268278855264,0.11484936167967895,0.011619011307798546,0.005024465047662599,0.00018303632438436505,0.15909536706631877,0.10187130437949238,0.0021668562252184277,6.200487030239167e-05,0.13538207988273018,0.0026405006583472184,8.98244012233968e-05,6.567252675608366e-06,104.8732417223804,0.00027095805376262783,1.8946578423293574e-05,84.85708516599583,149.73406757514653,33.86436631166993
0.48,620.1670241763835,40.167024176382824,48.56246579125437,5.055007644965797,0.1563425717031832,0.12305099609701338,0.012765590619783895,0.005393652693392213,0.00020143993898978125,0.1689432140867814,0.11105810123496104,0.0024208501548157366,7.095468665105984e-05,0.1382512371078682,0.0029525272556183767,0.00010274518666030651,7.692503277886453e-06,104.86385698264203,0.00030461488754653755,2.181575370080951e-05,84.85355142772836,149.71444391489135,33.861468675763234
0.49,619.4559900374987,39.455990037497976,48.80970625541828,5.249731686802347,0.16322449842309456,0.13158269004448014,0.01399168532040518,0.005778799307930588,0.00022116472419779742,0.17905762277421441,0.12078582643228855,0.002696949824183571,8.092988869639552e-05,0.14111977558303282,0.0032920804667667955,0.00011713805457252628,8.97690482272811e-06,104.85405911370958,0.00034147449895702053,2.503642665071102e-05,84.8499762657126,149.69396047565456,33.85856915289928
0.5,618.759014654315,38.75901465431421,49.038631437276564,5.445251656624023,0.17017218880764484,0.1404447347614472,0.015300314272645561,0.006180017370925888,0.0002422656788223158,0.1894304977073105,0.13106688334119124,0.00299637848257542,9.20171579908222e-05,0.14398767943251387,0.0036607288003491154,0.00013312615611478528,1.0438251711646536e-05,104.84384456279868,0.000381746609791446,2.8641557525090025e-05,84.84635807746936,149.67260993010285,33.85566759947899
0.51,618.0757835854798,38.07578358547907,49.24988824893005,5.641399641622866,0.1771794958724844,0.14963702442175086,0.016694486711696523,0.006597403136831172,0.0002647980763197068,0.2000534376005652,0.14191310666931833,0.003320380932752622,0.00010430775081760504,0.14685493212229636,0.004060073061015632,0.00015083897436672162,1.2095792919568551e-05,104.833210174803,0.0004256478355065438,3.26662281411142e-05,84.84269524321373,149.65038575921832,33.852763866257675
0.52,617.4059906050072,37.40599060500654,49.444107218779074,5.838012917814573,0.18424040782879866,0.15915906924478293,0.018177198431228583,0.0070310370390298475,0.0002888174083373428,0.21091777131681644,0.15333574956664087,0.0036702218962744375,0.00011789756067326545,0.14972151645591958,0.004491744533019322,0.00017041239217541296,1.3970304293739557e-05,104.82215318303683,0.00047340157797160415,3.714770927361253e-05,84.83898612694333,149.6272822324302,33.849857798270804
0.53,616.7493374419653,36.749337441964585,49.62190246562059,6.03493405404986,0.19134905629488308,0.16901000852556186,0.01975142794819601,0.007480984090089719,0.00031437932803963164,0.22201459406890903,0.1653454703353679,0.004047184384708726,0.00013288718175746887,0.1525874145701987,0.004957403172098076,0.00019198876157647208,1.608416069893141e-05,104.81067120007809,0.0005252379200748798,4.2125528172435e-05,84.83522907752295,149.60329438793497,33.846949234759336
0.54,616.105533531855,36.105533531854334,49.78387172456378,6.232010984045144,0.198499723043981,0.17918862405715164,0.02142013285604105,0.00794729430326839,0.0003415395955149867,0.23333480193538456,0.17795232194137978,0.004452568049152794,0.00014938196388461465,0.15545260793208843,0.005458735759793427,0.00021571695998268166,1.8461408872078395e-05,104.79876220804483,0.000581393507495899,4.764153457015672e-05,84.83142242978725,149.57841801198165,33.84403800909967
0.55,615.4742958058206,35.47429580581998,49.930596548198906,6.42909697087026,0.20568684173726912,0.18969335501632498,0.02318624676368465,0.008430003189826812,0.00037035402959206614,0.24486912135910255,0.19116575053543972,0.004887687448505516,0.0001674920405130643,0.1583170773391016,0.00599745392441522,0.0002417524047409044,2.112784282555312e-05,104.78642454686906,0.000642111388829906,5.3739962189723366e-05,84.82756450570491,149.55264961444456,33.841123948748
0.56,614.8553484530844,34.855348453083735,50.06264238754076,6.626050645435174,0.21290500345858138,0.2005223118085236,0.025052675810066347,0.008929132202181085,0.0004008784549818529,0.2566081422266042,0.2049945875431287,0.005353870372184226,0.00018733237629090915,0.16118080291712752,0.006575292253436021,0.00027025709783519186,2.411107748661197e-05,104.77365690400248,0.0007076408854494147,6.046749357105823e-05,84.82365361550194,149.52598640705313,33.838206875174144
0.5700000000000001,614.2484226826253,34.24842268262469,50.180558618875516,6.822736076224565,0.22014896292744116,0.21167328830691956,0.027022295382895037,0.009444689118809144,0.0004331686522793196,0.2685423480531281,0.2194470414851187,0.005852456291219746,0.00020902280748689647,0.1640437641189957,0.007194006546444966,0.0003013996605208787,2.744061983927044e-05,104.76045830552336,0.0007782374656139775,6.787332129994755e-05,84.81968805873088,149.49842628453635,33.83528660380143
0.58,613.6532565383047,33.653256538303985,50.284878875417164,7.019022654010095,0.22741363711897872,0.22314377795783938,0.029097947415697843,0.009976668600926535,0.0004672803135691793,0.28066214249272836,0.23453070262795184,0.006384794548330273,0.0002326880532769181,0.16690593972713294,0.007855371720636661,0.00033535532175775186,3.114794644956663e-05,104.74682810286359,0.0008541625558417655,7.600920711078651e-05,84.81566612548858,149.46996779728897,33.832362943959595
0.59,613.0695946770899,33.06959467708908,50.37612113519481,7.214785122506131,0.2346941098913854,0.2349309863903969,0.03128243739575611,0.010525052600937456,0.0005032689956900188,0.2929578769031643,0.2502525386340931,0.006952242797339034,0.00025845774312926735,0.16976730785386418,0.008561180031639115,0.00037230593293612,3.5266575023675354e-05,104.7327659632758,0.0009356833977908879,8.492954033889331e-05,84.8115860975011,149.44061013138278,33.82943569883232
0.6,612.4971881807927,32.49718818079181,50.454787998641564,7.409903494726205,0.24198563170465898,0.2470318461468971,0.03357853177085507,0.011089810867333929,0.0005411900775136482,0.3054198750029088,0.2666188982628694,0.007556165299224522,0.0002864664248132024,0.17262784594434352,0.00931323909867901,0.0004124399519669819,3.983213974093318e-05,104.71827185782138,0.0010230728663731974,9.469139457097993e-05,84.8074462492951,149.4103530838199,33.826504665413616
0.61,611.9357943638239,31.935794363823096,50.52136690486347,7.604263004758987,0.24928361978495503,0.25944303033932853,0.03598895540163609,0.011670901408190396,0.0005810987181495565,0.31803845704907446,0.28363551330001247,0.008197931325450268,0.00031685357089873006,0.1754875307796188,0.010113370053623724,0.0004559524262296496,4.488246374990227e-05,104.70334605037979,0.001116609297488121,0.00010535458182558971,84.80324484930775,149.37919703981106,33.82356963446761
