t,L_cc
0.8200000000000001,9.076828512880327e+223
0.8300000000000001,8.870007018523991e+247
0.84,3.624819835627149e+228
0.85,2.4381298212991525e-152
0.86,4.4403252025433994e+252
0.87,1.3820202852556878e+267
0.88,2.95840555929e-311
0.89,1.8145039427336165e-152
0.9,6.197507958756805e+223
0.91,2.5945812425476085e+161
0.92,4.3605821133337784e+222
0.93,2.7455923059739422e-251
0.9400000000000001,4.724615535731357e+170
0.9500000000000001,1.3849676463424308e+219
0.96,3.1049916404034075e+169
0.97,9.753851612640269e+199
0.98,2.1760341595192922e+243
0.99,2.5120461693981386e+180
1.0,1.8145040042617803e-152
1.01,6.197507958756805e+223
1.02,2.5945812425476085e+161
1.03,6.653720265707059e+217
1.04,5.799161375420798e+58
1.05,3.655882806757633e+233
1.06,3.6248372458940026e+228
1.07,4.824071209795348e+228
1.08,4.786121965915568e+180
1.09,2.4581882272751302e-123
1.1,7.266084021417449e+223
1.11,3.946618425203878e+180
1.12,2.1797885486925235e+243
1.1300000000000001,2.085095290487512e-115
1.1400000000000001,1.9596901119539653e-94
1.1500000000000001,2.4588622526157627e+198
1.16,9.091548620666888e+223
1.17,6.973024681642263e+252
1.18,1.815968905232342e-152
1.19,6.476323361311483e+170
1.2,1.581229967034e-311
1.21,2.676777883241851e+59
1.22,3.655882806757633e+233
1.23,3.6248372458940026e+228
1.24,4.824071209795348e+228
1.25,7.757432376890469e+228
1.26,4.538015533880212e+279
1.27,2.4365744270806435e+198
1.28,9.091548620666888e+223
1.29,6.973024681642263e+252
1.3,1.815968905232342e-152
1.31,9.296030627594593e+199
1.32,-3.8049737239700653e+198
1.33,7.263444776586591e+151
1.34,3.624819835625762e+228
1.35,2.4381298212991525e-152
1.36,4.4403252025433994e+252
1.37,4.9090274060602e+252
1.3800000000000001,5.4968482158796045e+247
1.3900000000000001,1.4883795418806287e-270
1.4000000000000001,2.432993264320662e+198
1.41,9.091548620666888e+223
1.42,6.973024681642263e+252
1.43,1.815968905232342e-152
1.44,4.0497683421489793e-109
1.45,9.300024545133549e+29
1.46,1.8145040182789441e-152
1.47,6.197507958756805e+223
1.48,2.5945812425476085e+161
1.49,4.3605821133337784e+222
1.5,4.562783021124377e-104
1.51,1.3849676463424327e+219
1.52,3.1049916404034075e+169
1.53,9.753851612640269e+199
1.54,3.813882588294515e+180
1.55,7.489590814323158e+247
1.56,4.538015584596492e+279
1.57,3.100553852917923e+169
1.58,6.964114558345015e+252
1.59,5.267572695469827e+170
1.6,4.1901665221478415e+180
1.61,6.022022462661525e+175
1.62,7.265845447915945e+223
1.6300000000000001,3.946618425203878e+180
1.6400000000000001,2.1797885486925235e+243
1.6500000000000001,2.085095290487512e-115
1.6600000000000001,2.8852008217750362e+280
1.67,3.100553853005797e+169
1.68,6.964114558345015e+252
1.69,5.267572695469827e+170
1.7,4.1901665221478415e+180
1.71,9.096110996611994e+223
1.72,2.718625811270067e-109
1.73,1.279206880153498e-152
1.74,6.22655304768775e+228
1.75,9.07652407084304e+223
1.76,9.083672062285132e+223
1.77,9.096110996597444e+223
1.78,1.0735885441434065e+277
1.79,3.1005538558638255e+169
1.8,6.964114558345015e+252
1.81,5.267572695469827e+170
1.82,4.821559619627105e+199
1.83,2.0491942775735791e+214
1.84,1.328712954223e-311
1.85,2.781559407909593e+180
1.86,3.655882806757633e+233
1.87,3.6248372458940026e+228
1.8800000000000001,4.824071209795348e+228
1.8900000000000001,4.786121965915568e+180
1.9000000000000001,1.9999550727874434e+161
1.9100000000000001,3.624819835626796e+228
1.92,2.4381298212991525e-152
1.93,4.4403252025433994e+252
1.94,4.9090274060602e+252
1.95,2.10306502237e-313
1.96,1.0386763017647575e-152
1.97,6.22655304768775e+228
1.98,9.07652407084304e+223
1.99,9.083672062285132e+223
2.0,9.096110996597444e+223
2.0100000000000002,4.909220803177279e+252
2.02,2.31526460147e-313
2.0300000000000002,5.164376765917238e+58
2.04,3.1005538552025645e+169
2.05,6.964114558345015e+252
2.06,5.267572695469827e+170
2.07,3.780823960931824e+180
2.08,2.165525184702076e-256
2.09,3.998998510088403e+252
2.1,6.849789960582627e+180
2.11,4.173335227816748e+199
2.12,4.8364542650929944e+16
2.13,1.4285313591172592e+248
2.14,3.03383791454437e+180
2.15,5.2856226262438295e+180
2.16,6.189556519005837e+223
2.17,-5.251909454346513e+127
2.18,3.343970605198262e+151
2.19,4.173335227816775e+199
2.2,6.189556518871161e+223
2.21,3.545998859880548e+212
2.22,3.671429771105161e+228
2.23,1.3602646816285155e+248
2.24,6.013469302926931e-154
2.25,1.144258939792994e+243
2.2600000000000002,5.5246443463212505e+281
2.27,3.906727286537629e+233
2.2800000000000002,2.3206791636180574e-152
2.29,4.298742766684835e-80
2.3000000000000003,3.8169322598508433e+180
2.31,2.596093290318371e+161
2.32,6.218328879715503e+175
2.33,7.079519866114364e+194
2.34,4.743623351242868e+170
2.35,9.831041102135113e+252
2.36,1.634750019811491e+248
2.37,5.1443254497936656e+151
2.38,9.707665965922094e+189
2.39,9.16223534597176e-72
2.4,4.2420556815527004e+175
2.41,4.768553304043145e+180
2.42,6.189555973406113e+223
2.43,3.785767382821978e-270
2.44,6.63015927078e-312
2.45,-1.6627840436650825e-172
2.46,2.956910563843342e-208
2.47,6.816180731464374e-135
2.48,-1.330230207813683e-171
2.49,-1.9719523416899842e+116
2.5,-4.2023745920292487e-231
2.5100000000000002,1.698905970409313e-285
2.52,2.341576371833688e-179
2.5300000000000002,1.8197721695889287e-285
2.54,-3.2236021513345047e-231
2.5500000000000003,-1.6739865384408605e-307
2.56,2.3210611552745536e-179
2.57,1.819772169588929e-285
2.58,-3.223602132100893e-231
2.59,-4.192799076341796e+78
2.6,-2.2674691170999053e+116
2.61,-5.331049348841888e+83
2.62,3.0912824082129517e-212
2.63,9.808174478479391e+48
2.64,8.702911691103317e-198
2.65,7.808653993273486e+84
2.66,1.70711989573868e-285
2.67,2.3221908062886192e-179
2.68,1.8197721695889283e-285
2.69,-3.22360220888537e-231
2.7,-4.655967433291061e+78
2.71,-2.2674691170999053e+116
2.72,-5.33104934883968e+83
2.73,3.091300538434951e-212
2.74,1888985692787812.0
2.75,8.702911691103317e-198
2.7600000000000002,7.808653993386565e+84
2.77,1.7083512567790694e-285
2.7800000000000002,2.3221908062886192e-179
2.79,1.8197721695889287e-285
2.8000000000000003,-3.223602285707339e-231
2.81,-2.0124941770394106e-307
2.82,5.179200297075484e-188
2.83,3.802394263903561e+48
2.84,5.3779861326344e-310
2.85,0.0
2.86,4.172013486319957e-309
2.87,-1.5573754349669682e-207
2.88,4.94365255701597e-310
2.89,6.136366831622158e-92
2.9,2.853678318661904e-82
2.91,7.62684e-319
2.92,7.229511419054993e+221
2.93,9.354361500658498e-121
2.94,6.653813926254614e+91
2.95,3.731313033315728e+101
2.96,6.518516071921336e+91
2.97,2.12015479491107e-310
2.98,1.2258798051088834e-120
2.99,6.653851225497344e+91
3.0,4.9561734391942195e+101
3.0100000000000002,6.518516072585334e+91
3.02,2.12164019196475e-310
3.0300000000000002,1.5163241987113115e-120
3.04,6.653888524740075e+91
3.0500000000000003,6.412745718735627e+101
3.06,6.518516073154476e+91
3.0700000000000003,2.1231255890191e-310
3.08,1.1365004984e-313
3.09,6.653787044573817e+91
3.1,6.087905152879191e-53
3.11,6.136366831622161e-92
3.12,2.3549448121588976e-120
3.13,3.130573154910495e-135
3.14,4.908283879684e-312
3.15,-2.4731633232479636e-185
3.16,1.9635210910203467e-282
3.17,-4310087557120.0
3.18,-1.0436292587170924e+131
3.19,4.79265319031574e-309
3.2,-1.3923464340683195e+188
3.21,0.41
3.22,-9.610242756880354e+61
3.23,1.019609824999718e-248
3.24,-9.255968540809804e+61
3.25,7.8476764255817e-311
3.2600000000000002,6.590464515506465e-244
3.27,1.9147696395e-314
3.2800000000000002,1.3288996050593e-311
3.29,-4.1614952599779213e+160
3.3000000000000003,-1.3923464651947398e+188
3.31,1449.027
3.3200000000000003,1.25486343096729e-309
3.33,2.7056619985215255e-304
3.34,2.1337646185215534e+242
3.35,3.42431159526686e-210
3.36,3.9140875488e-313
3.37,4.895683450406259e-109
3.38,8.903898063722596e+252
3.39,8.7184937720478e+252
3.4,1.3314478862393e-311
3.41,5.6117881994e-313
3.42,9.217476237090508e+227
3.43,2.46882560429603e-310
3.44,1.6696397965798668e-305
3.45,-3.2317984372887585e-231
3.46,1.152130560490084e+46
3.47,1.5070924069251435e-73
3.48,4.076354129463021e+31
3.49,-3.348391135662435e-308
3.5,1.0874068860768545e-192
3.5100000000000002,4.5111657499434086e-213
3.52,-2.2463394595388908e+117
3.5300000000000002,3.4912709213709226e+60
3.54,-5.113226403570273e-302
3.5500000000000003,6.829101132591131e+161
3.56,-9.653821819360102e-269
3.5700000000000003,1.1473949496658638e+46
3.58,-3.070256928222244e-308
3.59,1.6592512299756691e-197
3.6,2.9564375858829122e-208
3.61,-2.3251446743854844e+117
3.62,2.7316958844828174e+162
3.63,-1.9821604269454232e+83
3.64,2.2885535312081213e+65
3.65,1.6935508240483086e-285
3.66,2.3799499283402615e-292
3.67,0.0
3.68,3.131513167506177e-294
3.69,1.0375481841833e-311
3.7,6.008728179091438e-307
3.71,0.0
3.72,2.772579982279887e-302
3.73,1.95247387e-316
3.74,2.811644423029e-311
3.75,6.965981876099995e-309
3.7600000000000002,4.4391727e-316
3.77,1.190300844478691e-292
3.7800000000000002,1.190545493936701e-292
3.79,6.071029957954e-311
3.8000000000000003,1.82947306e-316
3.81,7.798620049092123e-288
3.8200000000000003,1.0629244806e-313
3.83,1.1903008444789858e-292
3.84,2.8116444230315e-311
3.85,1.0637533852e-313
3.86,5.527799036878e-311
3.87,1.0629244806e-313
3.88,8.071677297614821e-308
3.89,6.40069905186124e-308
3.9,6.09698193e-316
3.91,5.082179919362e-311
3.92,4.672655102865123e-307
3.93,1.8294857e-316
3.94,6.1686858970305e-311
3.95,4.672655102865123e-307
3.96,1.8294857e-316
3.97,1.107040956e-315
3.98,3.349710397778184e-278
3.99,2.79e-321
4.0,1.4407576916299168e-268
4.01,6.55747956681e-312
4.0200000000000005,6.184206213334845e-259
4.03,6.18420621333489e-259
4.04,1.1903008444786921e-292
4.05,5.527799035467e-311
4.0600000000000005,8.28517033664e-313
4.07,1.07121352666e-313
4.08,1.07038464735e-313
4.09,1.07204243127e-313
4.1,2.811644424316e-311
4.11,8.28765705045e-313
4.12,1.0737002405e-313
4.13,6.97141410242901e-309
4.14,8.619527409351798e-288
4.15,2.0068900853408645e-297
4.16,8.06589273741526e-308
4.17,7.042034205242587e-309
4.18,5.1109036353730135e-283
4.19,1.07287136117e-313
4.2,1.0728713359e-313
4.21,1.0753580497e-313
4.22,6.0710299586063e-311
4.23,4.051216386039384e-254
4.24,9.5489810596e-313
4.25,4.897620089930284e-230
4.26,5.527799035467e-311
4.2700000000000005,2.1043763278012762e-220
4.28,2.1043763278007707e-220
4.29,1.19079014339471e-292
4.3,5.566304771087429e-308
4.3100000000000005,6.46073529717e-313
4.32,7.572639059482256e-309
4.33,-1.3923465948620478e+188
4.34,1.0
4.3500000000000005,2.3763644578690717e-212
4.36,3.9426507458179485e+234
4.37,-9.255968547114116e+61
4.38,1.8721301649003e-311
4.39,1.2157261223812179e-224
4.4,3.4896883906e-313
4.41,1.4525994867323584e-308
4.42,1.333602948405004e+241
4.43,7.30390951251e-311
4.44,3.91411073274e-313
4.45,7.355346690480384e-308
4.46,8.91634143644356e+252
4.47,2.5151432939817585e+180
4.48,3.6363235777342703e+180
4.49,1.17549386687014e+214
4.5,5.285563251950556e+180
4.51,5.176286367126963e-109
4.5200000000000005,1.3791736897423786e-94
4.53,9.2190770262e-313
4.54,-5.251909454324463e+127
4.55,2.5846765599374247e+161
4.5600000000000005,1.491668176529217e-154
4.57,1.43661777945027e-310
4.58,4.933183566289931e+257
4.59,2.0693576878363397e+243
4.6000000000000005,1.188317643227e-312
4.61,-8.126663778218442e+115
4.62,6.182609779434788e-247
4.63,-6.900486059405951e-57
4.64,2.9246516200661488e-208
4.65,-5.4925651461796405e-115
4.66,-7.548992848422516e-38
4.67,2.7820108374913094e-194
4.68,6.457224819176662e+37
4.69,3.800664573861656e+100
4.7,-2.2589639812692996e+79
4.71,7.40170079223853e+208
4.72,9.867431352696228e+220
4.73,-6.230272819684647e+233
4.74,3.647580979799335e-304
4.75,1.309234931959034e-309
4.76,2.3769106510365565e-212
4.7700000000000005,1.7348434030899045e+82
4.78,-3.22178376981158e-309
4.79,1.0423489307480627e-139
4.8,1.791662226056498e-126
4.8100000000000005,1.053413951400176e+103
4.82,7.874436436398736e+172
4.83,-1.1176837796477096e+94
4.84,1.30626437071851e-309
4.8500000000000005,3.690193270649803e+19
4.86,1.2423612125195544e-297
4.87,1.8295700030540892e-297
4.88,1.1424472257656129e+46
4.89,-1.5385142274546198e-192
4.9,-1.3783951941550632e-147
4.91,6.829101400745433e+161
4.92,-3.139642838463434e-225
4.93,-3.6330520775844386e-115
4.94,7.783069941856875e-24
4.95,-5.113226406150613e-302
4.96,6.982638858834476e+60
4.97,3.126848791454957e-185
4.98,-3.68420852450883e-111
4.99,-2.1797278953874668e+83
5.0,-1.8132641468234843e+45
5.01,-1.4518905556421049e+79
5.0200000000000005,7.862258113024282e+218
5.03,4.239932062318978e+230
5.04,1.0515059316414218e-297
5.05,-2.325055514551368e+236
5.0600000000000005,3.875442449675138e-304
5.07,1.309235014578826e-309
5.08,5.16568678565076e+120
5.09,1.3379274070544142e-297
5.1000000000000005,1.3780073646422274e+111
5.11,2.2944461048039582e-297
5.12,-2.333002602988118e+236
5.13,1.303804045706463e-309
5.14,4.94774026217158e+173
5.15,2.4847224307378185e-297
5.16,4.238510060519492e-297
5.17,1.1424679149335211e+46
5.18,-1.318477117026823e-192
5.19,-3.195755381210433e-303
5.2,1.1840184771412312e-171
5.21,7.1866029327e-314
5.22,0.0
5.23,6.3659873773e-314
5.24,2.298824775782362e+130
5.25,5e-324
5.26,4.6663787404026e-309
5.2700000000000005,2.7996809277222553e+101
5.28,3.90836e-319
5.29,2.382221481502507e+130
5.3,2e-323
5.3100000000000005,1.67858355216104e-309
5.32,2.693605284874401e+130
5.33,5e-324
5.34,2.561358362e-314
5.3500000000000005,1.885041638938845e-309
5.36,2.7996809277222553e+101
5.37,3.90836e-319
5.38,1.540350996724585e-284
5.39,1.5608273728e-313
5.4,7.061194239840715e+91
5.41,6.653787044575674e+91
5.42,1.554183669236255e-308
5.43,4.6834510373e-314
5.44,6.518547299723883e+91
5.45,2.721086605593e-311
5.46,7.061194240331673e+91
5.47,7.197809722960543e-309
5.48,2.723208601382e-311
5.49,1.4151165534407824e-308
5.5,2.721086605591e-311
5.51,8.178326790500404e-92
5.5200000000000005,9.354376273162328e-121
5.53,1.985226531e-313
5.54,1.579172291670028e-308
5.55,2.7996809277222553e+101
5.5600000000000005,4.6834834174e-314
5.57,1.857317821953206e-308
5.58,2.7996809277222553e+101
5.59,4.6834834174e-314
5.6000000000000005,3.2584240056e-313
5.61,7.468601435107612e+91
5.62,7.14646e-319
5.63,9.502454542840606e+91
5.64,1.67871476910341e-309
5.65,7.876008630374509e+91
5.66,7.876008630388974e+91
5.67,7.061194239842582e+91
5.68,1.4151165530795547e-308
5.69,2.1210036029409e-310
5.7,2.742306563501e-311
5.71,2.740184664847e-311
5.72,2.744428559292e-311
5.73,7.19780972624903e-309
5.74,2.1216402016782e-310
5.75,2.7486725508737e-311
5.76,1.6244131930385833e-284
5.7700000000000005,2.799694746974319e+101
5.78,2.799680980005809e+101
5.79,6.136366946932104e-92
5.8,2.7444583385916993e-284
5.8100000000000005,6.518547299723883e+91
5.82,2.7465506522225e-311
5.83,2.746550555083e-311
5.84,2.7529165424557e-311
5.8500000000000005,1.554183669403208e-308
5.86,6.653787045064776e+91
5.87,2.4445391512558e-310
5.88,6.653787045633917e+91
5.89,1.415116553079561e-308
5.9,7.876008630865468e+91
5.91,7.876008630388986e+91
5.92,6.653787044575674e+91
5.93,7.19780972296062e-309
5.94,2.12185240125727e-310
5.95,2.7486725508737e-311
5.96,2.7507945466647e-311
5.97,1.0229038272108147e-308
5.98,2.7996809277222553e+101
5.99,2.799680980005809e+101
6.0,6.136366947289291e-92
6.01,3.069346471792037e-309
6.0200000000000005,7.197809722954204e-309
6.03,2.7232086985194e-311
6.04,2.74018456771e-311
6.05,6.653787044590492e+91
6.0600000000000005,7.197809722960617e-309
6.07,7.876008631434609e+91
6.08,7.876008630388983e+91
6.09,7.876008630376385e+91
6.1000000000000005,7.876008630376366e+91
6.11,2.44453915125598e-310
6.12,7.876008631434609e+91
6.13,3.324676885641063e-135
6.140000000000001,1.65394823931433e-310
6.15,1.9367634516678357e-282
6.16,8.794677868e-313
6.17,9.148008734706931e-308
6.18,4.271974858731511e+96
6.19,4.79129673640011e-309
6.2,1.333602943436946e+241
6.21,8.933602279972e-311
6.22,2.3414033433586272e-258
6.23,2.64089007422e-313
6.24,1.869800835202585e-308
6.25,3.3265311553093995e-111
6.26,4.832459600536815e+276
6.2700000000000005,2.7044377923689187e-308
6.28,1.3336030974467407e+241
6.29,2.8489915489525e-310
6.3,1.9705759668190667e-46
6.3100000000000005,7.63349857845697e-308
6.32,1.3336031073828565e+241
6.33,3.12060701019625e-310
6.34,5.966672585346476e-154
6.3500000000000005,-3.384606893651731e+125
6.36,5.305868011803723e+180
6.37,4.173335227816748e+199
6.38,2.002566474274058e-307
6.390000000000001,-5.3170021184e-314
6.4,1.9236107176624862e+258
6.41,5.983337528965005e-194
6.42,9.009548108871148e-199
6.43,6.6284520164135466e-242
6.44,-3.270981752180607e+136
6.45,1.4561203763084525e+17
6.46,-8.136030646044622e-134
6.47,-5.5401414236276515e-77
6.48,0.00019697061421503225
6.49,7.606210723220222e+48
6.5,1.652588704818178e+156
6.51,9.659031310888693e+167
6.5200000000000005,-1.662560802723904e+84
6.53,2.0129549111187658e+272
6.54,2.126036403240972e-208
6.55,1.0037221052618547e-297
6.5600000000000005,-2.325055506970713e+236
6.57,3.875442449622088e-304
6.58,2.923672321904233e+48
6.59,3.7942779054156095e+82
6.6000000000000005,-4.143764911278886e+136
6.61,2.854093487511071e+191
6.62,-1.3777517841547555e+78
6.63,7.193469592092295e+155
6.640000000000001,6.077689295083181e+225
6.65,-5.537461577966065e+233
6.66,3.6475670729285695e-304
6.67,1.303802622731633e-309
6.68,1.803728898182132e-130
6.69,1.9187900050497495e-297
6.7,4.5111657499434086e-213
6.71,-2.10939814949972e-154
6.72,1.1532488643946235e+46
6.73,-1.5385142274546198e-192
6.74,-1.7261011374652084e-148
6.75,-3.4798574550717234e+84
6.76,-9.654052883617222e-269
6.7700000000000005,1.3560625576090667e+162
6.78,1.1240405543258105e-300
6.79,-6.0319063329602234e-37
6.8,-1.3674781105284952e-32
6.8100000000000005,5.373580099447808e+95
6.82,6.589873590602222e+119
6.83,-1.7254025589449863e+84
6.84,9.371669108838254e+281
6.8500000000000005,1.691541144616148e-301
6.86,7.774322264116355e+38
6.87,1.1948552234435391e-297
6.88,-2.325550690500134e+236
6.890000000000001,3.8754459249206946e-304
6.9,1.303802871105785e-309
6.91,1.8352188608712584e+106
6.92,1.3379274099030304e-297
6.93,8.544155765830476e+115
6.94,-3.56076678866917e+231
6.95,3.647685291913529e-304
6.96,1.309237335820335e-309
6.97,6.137777241452506e-92
6.98,4.4109771772188866e-297
6.99,4.5111657499434086e-213
7.0,-8.129638139897491e-116
7.01,1.1540851423893942e+46
7.0200000000000005,-1.593523505061569e-192
7.03,-8.630386355581448e-149
7.04,1.0880755461811268e+124
7.05,810778809.3862829
7.0600000000000005,4.0435379105645785e+112
7.07,7.974103724129855e+143
7.08,-2.349789853974503e+79
7.09,2.638978436161256e+262
7.1000000000000005,1.4582252399214846e-301
7.11,4.210865664476789e+19
7.12,1.003719917925272e-297
7.13,-2.323563323309549e+236
7.140000000000001,-9.653718973672851e-269
7.15,1.1709280270480595e+85
7.16,8.898333190752575e-171
7.17,8.72130111791104e-146
7.18,6.82910170242116e+161
7.19,3.09117576037622e-212
7.2,1.928469774865217e-309
7.21,0.0
7.22,4.17201348696754e-309
7.23,-1.557374506699602e-207
7.24,4.3889e-319
7.25,7.05801343521339e+91
7.26,2.7229351597475e-311
7.2700000000000005,7.465445448106881e+91
7.28,2.088097468750467e-53
7.29,2.751642053659481e-135
7.3,1.3794560643974917e+219
7.3100000000000005,7.49736817887822e+247
7.32,7.205350127544561e+159
7.33,1.1192823111800516e+200
7.34,4.451970049791911e+252
7.3500000000000005,1.1558505996e-313
7.36,4.509378810629523e-292
7.37,1.2482532688274361e+246
7.38,-3.630399268102689e+125
7.390000000000001,1.1345433108547838e-301
7.4,1.4366176754309e-310
7.41,7.000892192252507e-61
7.42,8.73990248215742e+245
7.43,2.182559210141513e-251
7.44,-5.642203387781756e-193
7.45,-1.2884680260639964e-152
7.46,-5.925747815000223e-187
7.47,8.674687141158466e+241
7.48,2.100775833194e-312
7.49,0.0
7.5,1.629692768473e-311
7.51,7.47624820461608e-306
7.5200000000000005,1.8957751754551451e-302
7.53,2.9092572655985e-311
7.54,1.1681637757162807e-307
7.55,8.027560340917288e-297
7.5600000000000005,3.9958709036743e-311
7.57,2.770626367431431e-302
7.58,1.7421943884513e-311
7.59,4.675636082552271e-307
7.6000000000000005,6.9258882e-316
7.61,6.556966994083e-312
7.62,8.626629554352372e-288
7.63,1.432e-320
7.640000000000001,0.0
7.65,3.353148152904474e-278
7.66,9.444088137193738e-264
7.67,1.6491650711909907e-244
7.68,0.0
7.69,0.0
7.7,6.960550976978724e-309
7.71,1.82941837e-316
7.72,7.08311004646895e-235
7.73,0.0
7.74,0.0
7.75,6.557160297227e-312
7.76,4.5590554049588823e-225
7.7700000000000005,0.0
7.78,1.0514498956402e-310
7.79,1.3152354862558884e-292
7.8,1.527e-321
7.8100000000000005,1.283456545540086e-210
7.82,0.0
7.83,6.55696700063e-312
7.84,7.482002506516051e-206
7.8500000000000005,2.7718769573680667e-302
7.86,3.611990505562364e-196
7.87,0.0
7.88,5.624201994250627e-309
7.890000000000001,1.527e-321
7.9,8.027561873904199e-297
7.91,1.0351980468454703e-186
7.92,0.0
7.930000000000001,0.0
7.94,1.7160916e-317
7.95,1.2951634e-317
7.96,8.619528295059289e-288
7.97,3.4555e-320
7.98,0.0
7.99,7.666119279615262e-303
8.0,4.450147717014403e-308
8.01,2.347489226e-315
8.02,0.0
8.03,5.648893400007698e-283
8.040000000000001,3.703570649093194e-278
8.05,4.7783097292414975e-298
8.06,3.655986548256e-310
8.07,4.450194439193915e-308
8.08,3.966e-320
8.09,3.2901270132538066e-293
8.1,4.542920394880415e-268
8.11,5.566164857507862e-308
8.120000000000001,2.7980621937770005e+262
8.13,1.6943001521980421e-152
8.14,4.910436233401296e+25
8.15,1.9626727834486345e+243
8.16,4.1693967977089527e-290
8.17,3.70221626877e-313
8.18,3.206009986642736e+260
8.19,1.7321787754919234e+185
8.2,-1.0155491302950292e-73
8.21,1.2826677504469108e-288
8.22,6.214527756904406e+175
8.23,2.7764873914331844e-285
8.24,2.04100133491162e+161
8.25,5.12319443113732e-162
8.26,2.6230703031705856e-232
8.27,7.281973443846407e+223
8.28,1.144477295557447e+243
8.290000000000001,2.4687299032123e-310
8.3,4.826790203370374e+233
8.31,1.24023989984e-312
8.32,7.337301865878537e+223
8.33,1.6779184501878353e+243
8.34,7.337301865879326e+223
8.35,3.1454081991867704e+161
8.36,4.914301853220844e+252
8.370000000000001,7.698438243642453e+218
8.38,1.0231815402945545e-12
8.39,3.9140875488e-313
8.4,1.1430349339848533e+243
8.41,1.2951867294808207e+171
8.42,-3.852845829333139e+127
8.43,2.587422588006407e+161
8.44,1.6936794346863034e-307
8.45,3.66384552557635e-310
8.46,6.681592854739877e+151
8.47,2.1088993839920904e-99
8.48,1.17654719754e-312
8.49,9.4316457503e-313
8.5,5.686316874342249e-32
8.51,2.00512024154e-313
8.52,6.013470016999068e-154
8.53,1.4185249590999093e-251
8.540000000000001,5.56659644046468e+228
8.55,1.8556209483e-312
8.56,1.27360065377986e-309
8.57,4.6933458334393375e-155
8.58,5.717271002197875e+132
8.59,-1.1312454688771413e-230
8.6,1.4517220698246662e+17
8.61,-1.8608443351076785e+93
8.620000000000001,-1.579642878174202e+111
8.63,-6.731243639757669e-153
8.64,-4.118102538546378e+78
8.65,1.7522447419565353e-284
8.66,8.214458863145595e-253
8.67,-5.519997467006122e+116
8.68,2.0099510959304586e-31
8.69,6.798857295563128e-217
8.700000000000001,3.259600117247741e-291
8.71,4.466149222362858e-130
8.72,9.062564651648906e-63
8.73,-3.320024171065636e-269
8.74,4.203363191799283e-183
8.75,7.016128191679729e-41
8.76,-1.7269243733427737e+116
8.77,2.327298303223102e-07
8.78,-6.83744746057507e-264
8.790000000000001,1.9107866801252313e-168
8.8,6.619888578275096e-70
8.81,1.0909181860936935e-50
8.82,1.6606931107351956e-308
8.83,-6.364354020318542e-154
8.84,1.1574269968803263e+46
8.85,7.298576281052264e-140
8.86,6.03619672744e-313
8.870000000000001,4.284e-321
8.88,3.80261645741e-311
8.89,6.140313819937095e-304
8.9,1.8162520375481486e-297
8.91,1.822822813314e-311
8.92,1.1681637757162807e-307
8.93,3.447810913090636e-287
8.94,1.3405416737826548e-292
