t,MT1,MT1cat,MT1T2,MT1T2M2P,M2P,M2,M2T2,M2T2star,M2C1,C1,C1dmt1,C1dm2,T2
0.1,9.827523723451131e-08,2.75080975976422e-12,1.7213929417887637e-09,6.19004584455941e-13,4.9999380986059865e-08,9.21009576167861e-18,8.267931572945599e-20,6.14599771568267e-20,1.444497796428977e-21,9.999932671274213e-07,6.732872577292848e-12,1.4353897248486433e-25,4.827798804412696e-08
0.11,9.810764340737426e-08,3.020883021840508e-12,1.8885914564120473e-09,7.442414410853336e-13,4.999925574680816e-08,1.1564876469066547e-17,1.054560444016971e-19,7.857946015659358e-20,1.844815525723135e-21,9.999926000052588e-07,7.39999473948255e-12,1.837674264621089e-25,4.8110664290212075e-08
0.12,9.794096079306061e-08,3.290021600276408e-12,2.054867867290252e-09,8.813036248310632e-13,4.999911868195115e-08,1.4192903605081713e-17,1.3101318710220628e-19,9.780496814448393e-20,2.29420618009862e-21,9.999919340341866e-07,8.065965811283844e-12,2.289657006670476e-25,4.794425081443208e-08
0.13,9.777518939157039e-08,3.558225495071919e-12,2.2202221744233785e-09,1.03019113569313e-12,4.999896979148885e-08,1.709417716972411e-17,1.593507438309836e-19,1.191365011204978e-19,2.7926697595554337e-21,9.999912692142046e-07,8.730785792696727e-12,2.7913379509968063e-25,4.777874761678698e-08
0.14,9.761032920290358e-08,3.825494706227041e-12,2.384654377811426e-09,1.1909039736715336e-12,4.999880907542125e-08,2.0268697162993738e-17,1.9046871458802904e-19,1.4257405908463518e-19,3.340206264093574e-21,9.999906055453131e-07,9.394454683721199e-12,3.3427170976000785e-25,4.7614154697276776e-08
0.15,9.744637530466253e-08,4.091833954982549e-12,2.5481694421347487e-09,1.3633951124505243e-12,4.999863658075227e-08,2.373785389915662e-17,2.25931701002996e-19,1.6754407681397235e-19,3.945588467818183e-21,9.999899430230503e-07,1.0056976945654027e-11,3.985321270395714e-25,4.745046713822405e-08
0.16,9.728326963153336e-08,4.35729893377655e-12,2.710825931479873e-09,1.5471098228173286e-12,4.999845286194702e-08,2.77539706147821e-17,2.8419596988084154e-19,1.8728069609662438e-19,4.712301281159767e-21,9.999892815947907e-07,1.071840520459628e-11,5.209006882172533e-25,4.7287626929995675e-08
0.17,9.71209953989191e-08,4.6219057412928545e-12,2.8726407746210383e-09,1.7418877524781655e-12,4.999825807928144e-08,3.238998489604042e-17,3.7059656514684945e-19,1.9982815030144534e-19,5.6702584753368124e-21,9.999886212453214e-07,1.1378754672863844e-11,7.15537382996978e-25,4.712561730408998e-08
0.18,9.695955260681974e-08,4.8856543775314594e-12,3.033613971558245e-09,1.9477289014330355e-12,4.999805223275553e-08,3.764589674293155e-17,4.851334868010205e-19,2.0518643942843534e-19,6.819460050349314e-21,9.999879619746427e-07,1.2038025350456717e-11,9.82442211378742e-25,4.6964438260506965e-08
0.19,9.679894125523529e-08,5.148544842492367e-12,3.1937455222914933e-09,2.1646332696819392e-12,4.9997835322369284e-08,4.352170615545553e-17,6.278067348433547e-19,2.0335556347759433e-19,8.159906006197283e-21,9.999873037827543e-07,1.2696217237374903e-11,1.3216151733625502e-24,4.6804089799246636e-08
0.2,9.663916134416575e-08,5.410577136175577e-12,3.3530354268207825e-09,2.3926008572248756e-12,4.999760734812271e-08,5.0017413133612334e-17,7.986163092738516e-19,1.943355224489223e-19,9.691596342880711e-21,9.999866466696566e-07,1.3353330333618398e-11,1.7330562689483984e-24,4.6644571920308984e-08
0.21,9.648021287361111e-08,5.671751258581087e-12,3.511483685146113e-09,2.631631664061844e-12,4.999736831001581e-08,5.713301767740195e-17,9.97562210092511e-19,1.7812631634241941e-19,1.1414531060399598e-20,9.999859906353494e-07,1.4009364639187204e-11,2.216765498136288e-24,4.6485884623694016e-08
0.22,9.632209584357138e-08,5.9320672097089e-12,3.6690902972674852e-09,2.8817256901928465e-12,4.999711820804858e-08,6.486851978682442e-17,1.2246444372993339e-18,1.5472794515808544e-19,1.332871015875395e-20,9.999853356798325e-07,1.466432015408132e-11,2.7727428609262203e-24,4.6328027909401725e-08
0.23,9.616481025404656e-08,6.191524989559016e-12,3.825855263184898e-09,3.142882935617882e-12,4.999685704222102e-08,7.322391946187971e-17,1.4798629908943196e-18,1.2414040889592046e-19,1.5434133637943766e-20,9.999846818031062e-07,1.5318196878300747e-11,3.400988357318194e-24,4.6171001777432125e-08
0.24,9.600835610503664e-08,6.4501245981314315e-12,3.981778582898353e-09,3.4151034003369495e-12,4.999658481253313e-08,8.21992167025678e-17,1.7632178708774675e-18,8.636370755592458e-20,1.7730801497969032e-20,9.999840290051704e-07,1.597099481184548e-11,4.101501987312208e-24,4.6014806227785195e-08
0.25,9.585273339654163e-08,6.707866035426151e-12,4.136860256407849e-09,3.698387084350051e-12,4.999630151898491e-08,9.179441150888874e-17,2.074709077248779e-18,4.139784113809763e-20,2.021871373882977e-20,9.99983377286025e-07,1.662271395471553e-11,4.874283750908265e-24,4.5859441260460956e-08
0.26,9.569794212856151e-08,6.964749301443172e-12,4.291100283713386e-09,3.992733987657185e-12,4.999600716157636e-08,1.0200950388084252e-16,2.4143366100082535e-18,-1.0757190357560345e-20,2.289787036052597e-20,9.999827266456701e-07,1.727335430691089e-11,5.719333648106364e-24,4.5704906875459394e-08
0.27,9.554398156456941e-08,7.220775106343321e-12,4.444499407891967e-09,4.298136846677239e-12,4.9995701747567735e-08,1.1284689853896846e-16,2.786544390129327e-18,-7.362989224641992e-20,2.577085345234032e-20,9.999820770834182e-07,1.7922916556117543e-11,6.638534288294676e-24,4.5551202336962856e-08
0.28,9.539080757078235e-08,7.475986004015179e-12,4.597102155218103e-09,4.614160416871853e-12,4.999538571200447e-08,1.2445068989960639e-16,3.4576187442152172e-18,-3.5865352908257893e-19,2.899238562841457e-20,9.999814285580614e-07,1.857144190949846e-11,7.744694414338676e-24,4.5398283553687407e-08
0.29,9.523839422715663e-08,7.730406986620686e-12,4.748934676248191e-09,4.940549076431846e-12,4.999505931039145e-08,1.3690550550463364e-16,4.583951278744695e-18,-9.900041647610755e-19,3.2653336436925963e-20,9.99980781045399e-07,1.9218954568275268e-11,9.104067298596067e-24,4.524612463054932e-08
0.3,9.508674153369227e-08,7.984038054159842e-12,4.8999969709822335e-09,5.277302825357224e-12,4.9994722542728674e-08,1.5021134535405035e-16,6.165541993717772e-18,-1.9676817992819095e-18,3.6753705877874563e-20,9.999801345454309e-07,1.986545453244799e-11,1.0716652941066858e-23,4.509472556754858e-08
0.31,9.493584949038925e-08,8.236879206632648e-12,5.0502890394202285e-09,5.624421663647985e-12,4.999437540901613e-08,1.643682094478565e-16,8.202390889134436e-18,-3.2916864326450903e-18,4.129349395126035e-20,9.999794890581566e-07,2.0510941802016618e-11,1.2582451341751052e-23,4.49440863646852e-08
0.32,9.47857180972476e-08,8.488930444039102e-12,5.1998108815621776e-09,5.981905591304126e-12,4.999401790925383e-08,1.7937609778605206e-16,1.06944979649947e-17,-4.962018064850609e-18,4.627270065708331e-20,9.999788445835768e-07,2.1155416376981148e-11,1.470146250064865e-23,4.479420702195918e-08
0.33,9.46363473542673e-08,8.740191766379205e-12,5.348562497408079e-09,6.349754608325652e-12,4.999365004344177e-08,1.9523501036863707e-16,1.3641863221298554e-17,-6.978676695898474e-18,5.1691325995343444e-20,9.999782011216909e-07,2.1798878257341585e-11,1.7073686417759642e-23,4.464508753937051e-08
0.34,9.448773726144834e-08,8.990663173652958e-12,5.496543886957933e-09,6.7279687147125584e-12,4.9993271811579947e-08,2.1194494719561143e-16,1.7044486658046002e-17,-9.341662325788676e-18,5.754936996604076e-20,9.999775586724993e-07,2.2441327443097925e-11,1.9699123093084033e-23,4.4496727916919194e-08
0.35000000000000003,9.433988781879075e-08,9.240344665860358e-12,5.6437550502117405e-09,7.116547910464848e-12,4.9992883213668364e-08,2.2950590826697524e-16,2.0902368275237043e-17,-1.205097495452122e-17,6.384683256917525e-20,9.999769172360018e-07,2.308276393425017e-11,2.2577772526621826e-23,4.4349128154605235e-08
0.36,9.419279902629451e-08,9.489236243001407e-12,5.7901959871695e-09,7.515492195582519e-12,4.9992484249707024e-08,2.4791789358272833e-16,2.521550807287165e-17,-1.5106614582096088e-17,7.058371380474688e-20,9.999762768121986e-07,2.3723187730798317e-11,2.5709634718372995e-23,4.420228825242863e-08
0.37,9.404647088395962e-08,9.737337905076105e-12,5.935866697831214e-09,7.924801570065572e-12,4.999207491969592e-08,2.671809031428709e-16,2.998390605094987e-17,-1.8508581208513313e-17,7.776001367275573e-20,9.999756374010894e-07,2.4362598832742376e-11,2.9094709668337585e-23,4.405620821038938e-08
0.38,9.390090339178607e-08,9.984649652084454e-12,6.080767182196881e-09,8.344476033914009e-12,4.9991655223635056e-08,2.8729493694740296e-16,3.520756220947169e-17,-2.2256874833772878e-17,8.537573217320175e-20,9.999749990026745e-07,2.5000997240082337e-11,3.273299737651557e-23,4.3910888028487484e-08
0.39,9.37560965497739e-08,1.023117148402645e-11,6.2248974402665e-09,8.774515587127827e-12,4.999122516152443e-08,3.082599949963244e-16,4.0886476548437097e-17,-2.6351495457874783e-17,9.343086930608495e-20,9.999743616169536e-07,2.56383829528182e-11,3.662449784290696e-23,4.376632770672295e-08
0.4,9.361195500414893e-08,1.0476995724476943e-11,6.368353701988648e-09,9.213951352352483e-12,4.999078570186206e-08,3.1246785042069924e-16,1.5810346076008968e-16,-1.2389026517333136e-16,1.0449836167369909e-19,9.999737251528304e-07,2.6274847064893938e-11,4.2683139922343665e-23,4.362243196566022e-08
0.41000000000000003,9.346835741732763e-08,1.072223985509388e-11,6.511258419877995e-09,9.661550434109709e-12,4.999033807706072e-08,2.7751205189144043e-16,5.282112831954851e-16,-4.333400707987225e-16,1.2185226856554241e-19,9.999730894943848e-07,2.6910505493263414e-11,5.334439619549025e-23,4.3479079562311515e-08
0.42,9.332530336123593e-08,1.0966904290347767e-11,6.6536120259420185e-09,1.011730848279452e-11,4.9989882291468314e-08,2.0331355036249726e-16,1.1517086306536977e-15,-9.55118858677151e-16,1.455041407291995e-19,9.999724546412075e-07,2.754535864687692e-11,6.861685891023198e-23,4.333627006893652e-08
0.43,9.318279283587385e-08,1.1210989030238603e-11,6.795414520180724e-09,1.058122549840697e-11,4.9989418345084835e-08,8.987234583381926e-17,2.0285955031347272e-15,-1.6892266288086172e-15,1.754539781646765e-19,9.999718205932985e-07,2.8179406525734458e-11,8.850052806656884e-23,4.319400348553524e-08
0.44,9.304082584124139e-08,1.145449407476639e-11,6.936665902594105e-09,1.1053301480946993e-11,4.998894623791028e-08,-6.281156169444211e-17,3.158871900638574e-15,-2.6356633811929187e-15,2.1170178087196725e-19,9.999711873506582e-07,2.8812649129836026e-11,1.1299540366449483e-22,4.305227981210766e-08
0.45,9.289940237733855e-08,1.1697419423931122e-11,7.077366173182166e-09,1.1533536430414627e-11,4.9988465969944664e-08,-2.547381722224383e-16,4.5425378231654395e-15,-3.794429115830056e-15,2.5424754885107176e-19,9.999705549132862e-07,2.9445086459181625e-11,1.4210148570402197e-22,4.291109904865379e-08
0.46,9.275852244416531e-08,1.1939765077732805e-11,7.217515331944906e-09,1.2021930346809873e-11,4.998797754118797e-08,-4.859074857501441e-16,6.179593270715122e-15,-5.16552383272023e-15,3.0309128210199e-19,9.999699232811828e-07,3.007671851377124e-11,1.7581877418513522e-22,4.277046119517363e-08
0.47000000000000003,9.261818604172171e-08,1.218153103617143e-11,7.357113378882321e-09,1.2518483230132706e-11,4.9987480951640216e-08,-7.56319502277509e-16,8.070038243287824e-15,-6.748947531863442e-15,3.582329806247282e-19,9.999692924543478e-07,3.07075452936049e-11,2.1414726910784663e-22,4.263036625166718e-08
0.48,9.24783931700077e-08,1.242271729924701e-11,7.496160313994415e-09,1.302319508038315e-11,4.9986976201301385e-08,-1.0659742218045582e-15,1.0213872740883343e-14,-8.54470021325949e-15,4.1967264441929246e-19,9.999686624327813e-07,3.1337566798682595e-11,2.5708697047215016e-22,4.249081421813444e-08
0.49,9.233914382902333e-08,1.2663323866959531e-11,7.634656137281185e-09,1.3536065897561193e-11,4.9986463290171485e-08,-1.4148716443312918e-15,1.2611096763501679e-14,-1.0552781876908575e-14,4.8741027348565815e-19,9.999680332164831e-07,3.19667830290043e-11,3.0463787827805785e-22,4.235180509457541e-08
0.5,9.220043801876855e-08,1.2903350739309e-11,7.772600848742638e-09,1.4057095681666836e-11,4.9985942218250516e-08,-1.8030117698576845e-15,1.5261710311143033e-14,-1.2773192522810697e-14,5.614458678238499e-19,9.999674048054535e-07,3.259519398457005e-11,3.5679999252555166e-22,4.221333888099009e-08
0.51,9.20622757392434e-08,1.3142797916295418e-11,7.909994448378766e-09,1.458628443270009e-11,4.998541298553848e-08,-2.230394598383812e-15,1.8165713383807407e-14,-1.5205932150965453e-14,6.417794274338493e-19,9.999667771996923e-07,3.322279966537982e-11,4.135733132146376e-22,4.207541557737848e-08
0.52,9.192465699044786e-08,1.3381665397918783e-11,8.04683693618957e-09,1.5123632150660943e-11,4.998487559203536e-08,-2.6970201299095987e-15,2.1323105981494396e-14,-1.785100076137345e-14,7.284109523156686e-19,9.999661503991996e-07,3.3849600071433624e-11,4.749578403453277e-22,4.193803518374058e-08
0.53,9.178758177238194e-08,1.36199531841791e-11,8.183128312175055e-09,1.5669138835549382e-11,4.9984330037741186e-08,-3.202888364434994e-15,2.4733888104204404e-14,-2.070839835403428e-14,8.213404424693078e-19,9.999655244039753e-07,3.447559520273146e-11,5.409535739176039e-22,4.180119770007638e-08
0.54,9.165105008504563e-08,1.3857661275076362e-11,8.318868576335217e-09,1.6222804487365433e-11,4.998377632265594e-08,-3.747999301960149e-15,2.839805975193723e-14,-2.3778124928947946e-14,9.205678978947545e-19,9.999648992140194e-07,3.510078505927331e-11,6.115605139314783e-22,4.16649031263859e-08
0.55,9.151506192843893e-08,1.4094789670610572e-11,8.454057728670056e-09,1.6784629106109096e-11,4.998321444677962e-08,-4.332352942485014e-15,3.2315620924693073e-14,-2.706018048611465e-14,1.0260933185920274e-18,9.99964274829332e-07,3.57251696410592e-11,6.867786603869448e-22,4.152915146266912e-08
0.56,9.137961730256185e-08,1.433133837078173e-11,8.588695769179577e-09,1.735461269178036e-11,4.998264441011223e-08,-4.955949286009513e-15,3.648657162247153e-14,-3.055456502553439e-14,1.137916704561114e-18,9.999636512499132e-07,3.634874894808912e-11,7.666080132840094e-22,4.139394270892606e-08
0.5700000000000001,9.12447162074144e-08,1.456730737558983e-11,8.722782697863771e-09,1.793275524437922e-11,4.998206621265377e-08,-5.618788332533696e-15,4.091091184527321e-14,-3.426127854720697e-14,1.2560380558020083e-18,9.999630284757626e-07,3.697152298036307e-11,8.510485726226602e-22,4.12592768651567e-08
0.58,9.111035864299654e-08,1.480269668503488e-11,8.856318514722644e-09,1.8519056763905692e-11,4.998147985440424e-08,-6.320870082057538e-15,4.558864159309751e-14,-3.818032105113238e-14,1.3804573723147224e-18,9.999624065068806e-07,3.759349173788104e-11,9.401003384029181e-22,4.112515393136106e-08
0.59,9.097654460930831e-08,1.5037506299116883e-11,8.989303219756196e-09,1.9113517250359738e-11,4.998088533536364e-08,-7.0621945345811406e-15,5.051976086594482e-14,-4.231169253731103e-14,1.5111746540992626e-18,9.99961785343267e-07,3.8214655220643044e-11,1.0337633106247621e-21,4.099157390753912e-08
0.6,9.084327410634969e-08,1.527173621783583e-11,9.121736812964424e-09,1.971613670374141e-11,4.998028265553197e-08,-7.842761690104377e-15,5.5704269663814953e-14,-4.665539300574232e-14,1.6481899011556042e-18,9.99961164984922e-07,3.883501342864908e-11,1.1320374892882013e-21,4.0858536793690895e-08
0.61,9.071054713412069e-08,1.5505386441191726e-11,9.253619294347335e-09,2.032691512405068e-11,4.9979671814909235e-08,-8.662571548627297e-15,6.11421679867081e-14,-5.121142245642684e-14,1.791503113483778e-18,9.999605454318452e-07,3.945456636189914e-11,1.2349228743932386e-21,4.072604258981637e-08
0.62,9.05783636926213e-08,1.573845696918457e-11,9.384950663904919e-09,2.094585251128756e-11,4.997905281349542e-08,-9.521624110149902e-15,6.683345583462407e-14,-5.59797808893642e-14,1.9411142910837534e-18,9.99959926684037e-07,4.0073314020393224e-11,1.342419465939865e-21,4.0594091295915565e-08
0.63,9.044672378185153e-08,1.597094780181436e-11,9.515730921637183e-09,2.157294886545204e-11,4.997842565129055e-08,-1.0419919374672191e-14,7.277813320756286e-14,-6.09604683045546e-14,2.097023433955555e-18,9.999593087414972e-07,4.069125640413136e-11,1.4545272639280897e-21,4.046268291198846e-08
0.64,9.031562740181137e-08,1.62028589390811e-11,9.645960067544126e-09,2.220820418654412e-11,4.9977790328294597e-08,-1.135745734219419e-14,7.897620010552486e-14,-6.615348470199783e-14,2.25923054209917e-18,9.99958691604226e-07,4.130839351311351e-11,1.5712462683579124e-21,4.0331817438035066e-08
0.65,9.018507455250084e-08,1.6434190380984782e-11,9.775638101625746e-09,2.2851618474563787e-11,4.9977146844507576e-08,-1.2334238012715848e-14,8.542765652850928e-14,-7.15588300816939e-14,2.427735615514599e-18,9.99958075272223e-07,4.192472534733969e-11,1.6925764792293213e-21,4.0201494874055385e-08
0.66,9.00550652339199e-08,1.6664942127525417e-11,9.904765023882042e-09,2.3503191729511077e-11,4.997649519992949e-08,-1.335026138623719e-14,9.213250247651692e-14,-7.717650444364301e-14,2.6025386542018416e-18,9.999574597454886e-07,4.2540251906809896e-11,1.8185178965423253e-21,4.0071715220049414e-08
0.67,8.992559944606859e-08,1.6895114178702996e-11,1.0033340834313019e-08,2.4162923951385954e-11,4.997583539456033e-08,-1.4405527462758166e-14,9.909073794954738e-14,-8.300650778784515e-14,2.783639658160904e-18,9.999568450240227e-07,4.315497319152413e-11,1.9490705202969304e-21,3.994247847601715e-08
0.68,8.97966771889469e-08,1.7124706534517527e-11,1.0161365532918673e-08,2.4830815140188443e-11,4.99751674284001e-08,-1.5500036242278902e-14,1.0630236294760085e-13,-8.904884011430013e-14,2.9710386273917866e-18,9.999562311078253e-07,4.3768889201482404e-11,2.0842343504931277e-21,3.9813784641958593e-08
0.6900000000000001,8.966829846255481e-08,1.7353719194969002e-11,1.0288839119699004e-08,2.550686529591853e-11,4.9974491301448804e-08,-1.6633787724799298e-14,1.1376737747067714e-13,-9.530350142300815e-14,3.164735561894483e-18,9.999556179968962e-07,4.43819999366847e-11,2.224009387130917e-21,3.968563371787375e-08
0.7000000000000001,8.954046326689234e-08,1.758215216005743e-11,1.0415761594654013e-08,2.619107441857623e-11,4.997380701370643e-08,-1.7806781910319352e-14,1.2148578151877625e-13,-1.017704917139692e-13,3.3647304616689867e-18,9.999550056912357e-07,4.499430539713102e-11,2.3683956302103046e-21,3.955802570376262e-08
0.71,8.94131716019595e-08,1.7810005429782797e-11,1.05421329577837e-08,2.6883442508161502e-11,4.9973114565172997e-08,-1.9019018798839116e-14,1.2945757509189798e-13,-1.0844981098718269e-13,3.5710233267153105e-18,9.999543941908436e-07,4.560580558282138e-11,2.5173930797312813e-21,3.943096059962519e-08
0.72,8.928642346775626e-08,1.8037279004145115e-11,1.0667953209088066e-08,2.75839695646744e-11,4.9972413955848486e-08,-2.0270498390358564e-14,1.3768275819004272e-13,-1.1534145924264961e-13,3.783614157033454e-18,9.999537834957198e-07,4.621650049375575e-11,2.671001735693859e-21,3.9304438405461476e-08
0.73,8.916021886428264e-08,1.8263972883144385e-11,1.079322234856711e-08,2.829265558811491e-11,4.9971705185732906e-08,-2.1561220684877672e-14,1.4616133081321048e-13,-1.2244543648036938e-13,4.002502952623418e-18,9.999531736058647e-07,4.6826390129934175e-11,2.829221598098026e-21,3.9178459121271467e-08
0.74,8.903455779153863e-08,1.8490087066780602e-11,1.0917940376220832e-08,2.9009500578483004e-11,4.9970988254826256e-08,-2.2891185682396514e-14,1.5489329296140127e-13,-1.2976174270034218e-13,4.227689713485195e-18,9.999525645212779e-07,4.7435474491356617e-11,2.9920526669437882e-21,3.9053022747055166e-08
0.75,8.890944024952423e-08,1.8715621555053762e-11,1.1042107292049231e-08,2.973450453577871e-11,4.9970263163128545e-08,-2.426039338291499e-14,1.6387864463461487e-13,-1.372903779025678e-13,4.459174439618786e-18,9.999519562419596e-07,4.804375357802308e-11,3.1594949422311454e-21,3.892812928281258e-08
0.76,8.878486623823947e-08,1.8940576347963875e-11,1.1165723096052309e-08,3.046766746000202e-11,4.996952991063975e-08,-2.5668843786433125e-14,1.7311738583285128e-13,-1.4503134208704628e-13,4.696957131024191e-18,9.999513487679098e-07,4.865122738993359e-11,3.3315484239601008e-21,3.88037787285437e-08
0.77,8.86608357576843e-08,1.916495144551093e-11,1.1288787788230065e-08,3.120898935115291e-11,4.9968788497359894e-08,-2.711653689295097e-14,1.8260951655611072e-13,-1.529846352537778e-13,4.941037787701416e-18,9.999507420991283e-07,4.9257895927088113e-11,3.508213112130642e-21,3.867997108424853e-08
0.78,8.853734880785876e-08,1.938874684769494e-11,1.1411301368582498e-08,3.195847020923143e-11,4.996803892328897e-08,-2.860347270246855e-14,1.9235503680439297e-13,-1.6115025740276234e-13,5.1914164096504605e-18,9.999501362356153e-07,4.986375918948667e-11,3.689489006742785e-21,3.855670634992707e-08
0.79,8.841440538876282e-08,1.9611962554515893e-11,1.1533263837109611e-08,3.271611003423754e-11,4.9967281188426966e-08,-3.0129651214985763e-14,2.0235394657769804e-13,-1.6952820853399972e-13,5.448092996871313e-18,9.999495311773708e-07,5.046881717712927e-11,3.875376107796526e-21,3.843398452557932e-08
0.8,8.82920055003965e-08,1.9834598565973793e-11,1.16546751938114e-08,3.3481908826171245e-11,4.99665152927739e-08,-3.169507243050266e-14,2.1260624587602592e-13,-1.7811848864749034e-13,5.711067549363979e-18,9.999489269243948e-07,5.1073069890015874e-11,4.06587441529185e-21,3.8311805611205277e-08
0.81,8.81701491427598e-08,2.005665488206864e-11,1.1775535438687869e-08,3.425586658503257e-11,4.996574123632976e-08,-3.3299736349019243e-14,2.2311193469937683e-13,-1.869210977432336e-13,5.980340067128477e-18,9.99948323476687e-07,5.167651732814653e-11,4.260983929228778e-21,3.819016960680494e-08
0.8200000000000001,8.804883631585272e-08,2.0278131502800437e-11,1.1895844571739013e-08,3.5037983310821485e-11,4.996495901909455e-08,-3.494364297053551e-14,2.3387101304775075e-13,-1.9593603582122968e-13,6.255910550164777e-18,9.99947720834248e-07,5.22791594915212e-11,4.460704649607295e-21,3.8069076512378316e-08
0.8300000000000001,8.792806701967525e-08,2.0499028428169182e-11,1.2015602592964838e-08,3.582825900353801e-11,4.9964168641068274e-08,-3.6626792295051486e-14,2.448834809211475e-13,-2.05163302881479e-13,6.5377789984728965e-18,9.999471189970774e-07,5.2880996380139907e-11,4.66503657642741e-21,3.79485263279254e-08
0.84,8.78078412542274e-08,2.0719345658174873e-11,1.2134809502365337e-08,3.6626693663182134e-11,4.9963370102250927e-08,-3.8349184322567096e-14,2.5614933831956705e-13,-2.1460289892398118e-13,6.825945412052836e-18,9.99946517965175e-07,5.348202799400264e-11,4.873979709689115e-21,3.78285190534462e-08
0.85,8.768815901950916e-08,2.0939083192817508e-11,1.2253465299940516e-08,3.7433287289753844e-11,4.996256340264251e-08,-4.011081905308239e-14,2.6766858524300923e-13,-2.2425482394873618e-13,7.120409790904583e-18,9.999459177385413e-07,5.408225433310939e-11,5.087534049392417e-21,3.77090546889407e-08
0.86,8.756902031552053e-08,2.1158241032097096e-11,1.2371569985690376e-08,3.824803988325318e-11,4.9961748542243024e-08,-4.1911696486597394e-14,2.794412216914746e-13,-2.341190779557442e-13,7.421172135028156e-18,9.99945318317176e-07,5.4681675397460184e-11,5.305699595537315e-21,3.759013323440892e-08
0.87,8.745042514226152e-08,2.137681917601363e-11,1.248912355961491e-08,3.90709514436801e-11,4.996092552105246e-08,-4.375181662311208e-14,2.9146724766496263e-13,-2.441956609450053e-13,7.728232444423537e-18,9.99944719701079e-07,5.5280291187055007e-11,5.528476348123808e-21,3.747175468985084e-08
0.88,8.733237349973213e-08,2.1594817624567114e-11,1.2606126021714124e-08,3.9902021971034646e-11,4.996009433907084e-08,-4.563117946262648e-14,3.0374666316347386e-13,-2.544845729165192e-13,8.041590719090744e-18,9.999441218902507e-07,5.587810170189386e-11,5.755864307151893e-21,3.735391905526647e-08
0.89,8.721486538793235e-08,2.1812236377757545e-11,1.2722577371988017e-08,4.074125146531678e-11,4.995925499629814e-08,-4.754978500514054e-14,3.162794681870081e-13,-2.6498581387028615e-13,8.361246959029759e-18,9.999435248846906e-07,5.6475106941976745e-11,5.987863472621573e-21,3.723662633065581e-08
